"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"25MM AMMUNITION ALL TYPES","Ordnance and Missiles",89444.6205447314,0,292,185,NA
"25MM M242 AUTOMATIC GUN","Ordnance and Missiles",57963198.5261641,0,116,185,NA
"2ACJ","Aircraft",-47637.6085233568,0,452,273.5,NA
"2ACS","Aircraft",657955.44347112,0,383,273.5,NA
"2B-24 SYNTHETIC FLIGHT TR","Electronics, Comms, & Sensors",239733.501173735,0,593,376.5,NA
"2B-31 SYN FLGT TRN CHINOO","Aircraft",5273473.74072012,0,318,273.5,NA
"2CNR","Aircraft",440947.078334544,0,390,273.5,NA
"2CNR","Electronics, Comms, & Sensors",348050.079907854,0,577,376.5,NA
"2CPJ","Space Systems",1290254.20725755,0,49,36.5,NA
"2DBE","Aircraft",629690.259556976,0,385,273.5,NA
"2GDM","Electronics, Comms, & Sensors",645903.688471785,0,548,376.5,NA
"2GEB","Electronics, Comms, & Sensors",198283.210318149,0,603,376.5,NA
"2GFM","Electronics, Comms, & Sensors",391900.533226395,0,572,376.5,NA
"2GID","Ships & Submarines",346899.842859299,0,189,131,NA
"2GMQ","Electronics, Comms, & Sensors",108590.963705448,0,632,376.5,NA
"2GMQ","Facilities and Construction",340669.490187426,0,93,78,NA
"2GMQ","Ships & Submarines",168372.197287558,0,203,131,NA
"2GNB","Ships & Submarines",-46062.3324821814,0,232,131,NA
"2GNR","Electronics, Comms, & Sensors",195192.689238363,0,604,376.5,NA
"2GNR","Ships & Submarines",1616153.49844059,0,168,131,NA
"2GRB","Electronics, Comms, & Sensors",2492291.54492651,0,454,376.5,NA
"2GRP","Electronics, Comms, & Sensors",50071.9924834498,0,655,376.5,NA
"2GRR","Other R&D and Knowledge Based",82138.4362257294,0,94,63,NA
"2GSQ","Electronics, Comms, & Sensors",274397.153021974,0,585,376.5,NA
"2SGK","Ships & Submarines",417118.429566116,0,186,131,NA
"2SGO","Ships & Submarines",294566.858185988,0,195,131,NA
"2SIP","Ships & Submarines",77660.8486312571,0,214,131,NA
"2SMO","Ships & Submarines",51928.7465522318,0,218,131,NA
"3/4 TON 4X2 NTV MAINT TRU","Land Vehicles",457434.759183474,0,165,114,NA
"3/4 TON 4X4 ALL BDY TYPES","Land Vehicles",2657428.36832214,0,129,114,NA
"30 CAL BALL","Ordnance and Missiles",-58789.80071849,0,314,185,NA
"30 CAL M1909 BLANK","Ordnance and Missiles",38382666.9126611,0,125,185,NA
"30-E EMU GENERATOR","Aircraft",1275928.65013849,0,365,273.5,NA
"30MM AMMUNITION ALL TYPES","Ordnance and Missiles",114015118.415252,0,97,185,NA
"30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",6116002.40843321,0,175,185,NA
"319","Electronics, Comms, & Sensors",12592.9999975973,0,659,376.5,NA
"375","Ships & Submarines",2361430.4790966,0,164,131,NA
"38 CAL ALL TYPES","Ordnance and Missiles",155445.44358997,0,276,185,NA
"38 CALIBER","Ordnance and Missiles",1579474.121488,0,229,185,NA
"39A","Electronics, Comms, & Sensors",57870.9462162625,0,650,376.5,NA
"3CNA","Aircraft",328014.076782538,0,403,273.5,NA
"3FBU","Ordnance and Missiles",1197286.24435255,0,237,185,NA
"3HXG","Other R&D and Knowledge Based",254910.510877621,0,88,63,NA
"3HXX","Aircraft",78593.5359779919,0,428,273.5,NA
"400 HZ POWER GENERATOR","Ships & Submarines",25810579.5932414,0,108,131,NA
"404L TRAFF CNTRL & LAND S","Electronics, Comms, & Sensors",22484723.6265916,0,277,376.5,NA
"407L TACTICAL AIR CONTROL","Electronics, Comms, & Sensors",-1346678.93993172,0,689,376.5,NA
"40MM AMMUNITION ALL TYPES","Ordnance and Missiles",105160343.728775,0,104,185,NA
"411L AWACS","Electronics, Comms, & Sensors",404723467.791134,0,64,376.5,NA
"413L DEW LINE","Electronics, Comms, & Sensors",274634077.184695,0,89,376.5,NA
"421","Aircraft",804491.667142528,0,374,273.5,NA
"421","Electronics, Comms, & Sensors",254577.731525185,0,590,376.5,NA
"425L NORAD COC","Electronics, Comms, & Sensors",-748914.658834268,0,685,376.5,NA
"427M CHEYENNE","Electronics, Comms, & Sensors",496795320.473816,0,56,376.5,NA
"433","Aircraft",10486002.3163733,10486002.3163733,292,80,NA
"433L WEATHER SYSTEM","Electronics, Comms, & Sensors",17541263.8781894,0,301,376.5,NA
"436M SAC CMD & CTRL","Aircraft",729250.229187515,0,379,273.5,NA
"439","Ordnance and Missiles",2450878600.01024,73526358000.3073,30,8,NA
"440L FWD SCATTER OTH RAD","Electronics, Comms, & Sensors",35678888.6809813,0,235,376.5,NA
"442","Facilities and Construction",287817.064279263,287817.064279263,95,13,NA
"442","Ordnance and Missiles",3863840079.12035,61821441265.9257,18,10,NA
"442","Other R&D and Knowledge Based",103299398.32723,929694584.945072,15,9,NA
"442","Space Systems",11173883.6290573,0,45,36.5,NA
"443","Land Vehicles",352899208.673877,1411596834.69551,38,13,NA
"443","Ordnance and Missiles",15004578.4946813,0,155,185,NA
"443","Other R&D and Knowledge Based",118755916.907174,118755916.907174,13,13,NA
"443","Ships & Submarines",10199358.2042649,10199358.2042649,134,18,NA
"45 CAL M1911 BALL","Ordnance and Missiles",124972.352452945,0,282,185,NA
"45/69 KW 60 CYCLE DIESEL","Electronics, Comms, & Sensors",30502213.3160333,0,248,376.5,NA
"4500 PSI AIR COMPRESSOR S","Ships & Submarines",6524931.78445113,0,145,131,NA
"466","Electronics, Comms, & Sensors",808728.902348367,0,534,376.5,NA
"466","Facilities and Construction",198024.364457797,0,100,78,NA
"466","Land Vehicles",2727553521.81691,54551070436.3381,16,6,"466"
"466","Ordnance and Missiles",1390213.81707819,0,233,185,NA
"466","Other Services",177189110.340187,531567331.020562,6,3,"466"
"466L ELECTROMAGNETIC INTE","Electronics, Comms, & Sensors",1459877.11743568,0,492,376.5,NA
"469","Electronics, Comms, & Sensors",285400.897309604,0,583,376.5,NA
"469","Land Vehicles",17272.0449658883,0,199,114,NA
"470","Electronics, Comms, & Sensors",3600.77217658429,0,663,376.5,NA
"470","Space Systems",79375911.3711818,158751822.742364,33,12,NA
"474","Aircraft",3522697840.9641,77499352501.2103,68,31,NA
"474","Other R&D and Knowledge Based",102772.034809861,0,93,63,NA
"474L BMEWS","Electronics, Comms, & Sensors",660346023.360149,0,45,376.5,NA
"478T CTC (TRI-TAC)","Electronics, Comms, & Sensors",1025139.63102095,0,515,376.5,NA
"479","Aircraft",63363424.3349568,506907394.679654,229,72,NA
"479","Electronics, Comms, & Sensors",128976.919018479,128976.919018479,621,59,NA
"479","Other R&D and Knowledge Based",1048587.52442021,0,69,63,NA
"483","Electronics, Comms, & Sensors",3777292.07039448,0,428,376.5,NA
"483L DIGITAL COMM SYS","Electronics, Comms, & Sensors",794954.826337506,0,536,376.5,NA
"485L TAC AIR CTRL SYS","Aircraft",3813623.94629622,0,328,273.5,NA
"485L TAC AIR CTRL SYS","Electronics, Comms, & Sensors",5327961.22612044,0,392,376.5,NA
"485L TAC AIR CTRL SYS","Other Products",2097759.13537335,0,22,31.5,NA
"486","Aircraft",25955.4228967451,0,441,273.5,NA
"486L DEEP SEA","Facilities and Construction",154960244.219075,0,21,78,NA
"487L SLFCS","Electronics, Comms, & Sensors",56157396.2229669,0,201,376.5,NA
"487M SPECIAL PURP COMM SY","Electronics, Comms, & Sensors",1048528.12517445,0,511,376.5,NA
"490L AUTOVON DCS AUTOMATI","Electronics, Comms, & Sensors",-31424118.4630511,0,692,376.5,NA
"492L US STRICOM COMMAND C","Electronics, Comms, & Sensors",922964.267728212,0,523,376.5,NA
"494L ERCS EMERG RKT COMM","Electronics, Comms, & Sensors",2055726.52805534,0,467,376.5,NA
"496L SPADATS SPACETRACK","Electronics, Comms, & Sensors",209144407.243248,0,109,376.5,NA
"5 TON 6X6 ALL BODY TYPES","Land Vehicles",259899261.457589,0,44,114,NA
"5 TON 8X8 XM656","Land Vehicles",7578367.04285606,0,99,114,NA
"5 TON M-939","Land Vehicles",698724810.416149,0,26,114,NA
"5""/38 CAL CARTRIDGE","Ordnance and Missiles",220252464.646541,0,81,185,NA
"5-INCH GUIDED PROJ","Ordnance and Missiles",61059272.8475057,0,114,185,NA
"5./54 MK-41 PROJECTILE","Electronics, Comms, & Sensors",4008768.71014473,0,425,376.5,NA
"5.56MM AMMUNITION ALL TYP","Ordnance and Missiles",5124575.41629681,0,183,185,NA
"5.56MM CARBINE","Ordnance and Missiles",186507670.535049,0,86,185,NA
"5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",187712690.712395,0,85,185,NA
"5.56MM RIFLE M16","Other Products",29376535.2293259,0,7,31.5,"5.56MM RIFLE M16"
"50CAL M2 MACHINE GUN","Ordnance and Missiles",32049120.4315277,0,131,185,NA
"50MM M85 MACHINE GUN","Ordnance and Missiles",16016050.8844879,0,151,185,NA
"511","Electronics, Comms, & Sensors",220488.067470875,0,595,376.5,NA
"522","Electronics, Comms, & Sensors",34229410.114632,581899971.948744,239,30,NA
"532","Aircraft",18473.3856207769,0,443,273.5,NA
"536","Aircraft",1814.1933606783,0,447,273.5,NA
"579","Land Vehicles",46420.3035044038,0,196,114,NA
"586","Electronics, Comms, & Sensors",15405287.645129,46215862.935387,307,44,NA
"586","Other R&D and Knowledge Based",467420621.816337,4674206218.16337,5,5,"586"
"586","Space Systems",67018137.8789467,0,35,36.5,NA
"589","Electronics, Comms, & Sensors",121150784.164604,848055489.152227,138,26,NA
"60 KW","Electronics, Comms, & Sensors",7216112.63139432,0,360,376.5,NA
"60MM","Ordnance and Missiles",432556.684068725,0,262,185,NA
"60MM AMMUNITION ALL TYPES","Ordnance and Missiles",25956365.170458,0,136,185,NA
"60MM HE M49A2","Electronics, Comms, & Sensors",40932250.9439605,0,221,376.5,NA
"60MM HE XM720","Ordnance and Missiles",1592836.02690957,0,227,185,NA
"60MM SMK, WP, LWCMS XM722","Ordnance and Missiles",308927.296769135,0,267,185,NA
"7.62MM ALL TY EXCEPT BLAN","Ordnance and Missiles",38456424.1967844,0,124,185,NA
"7.62MM M-240 MACHINE GUN","Ordnance and Missiles",2228965.19312496,0,215,185,NA
"7.62MM M134 AUTOMATIC","Ordnance and Missiles",-100888.515908766,0,316,185,NA
"7.62MM M60 MACHINE GUN","Ordnance and Missiles",251525411.653109,0,77,185,NA
"7.62MM M73 MACHINE GUN","Ordnance and Missiles",848523.723405405,0,248,185,NA
"70MM GUN (VIPER)","Ordnance and Missiles",-6828085.04065573,0,328,185,NA
"716","Facilities and Construction",0,0,137.5,78,NA
"72 KW","Electronics, Comms, & Sensors",953700.395988576,0,522,376.5,NA
"750 KW","Electronics, Comms, & Sensors",238676420.796097,0,93,376.5,NA
"750 KW TURBINE","Ships & Submarines",10728115.1269053,0,132,131,NA
"8 INCH HE","Land Vehicles",4903832.92775481,0,112,114,NA
"81MM AMMUNITION ALL TYPES","Ordnance and Missiles",2923800.57166155,0,206,185,NA
"81MM M29 ON MOUNT M23","Ordnance and Missiles",33937214.650076,0,130,185,NA
"81MM M374 HE CARTRIDGE","Ordnance and Missiles",3952734.83733712,0,193,185,NA
"81MM MORTAR","Ordnance and Missiles",3499070.45416175,0,199,185,NA
"81MM SMOKE XM819","Ordnance and Missiles",2821046.93922539,0,207,185,NA
"81MM SP MORTAR M125","Ordnance and Missiles",1456430.99074016,0,231,185,NA
"8711","Facilities and Construction",46292.945724126,0,124,78,NA
"8712","Facilities and Construction",-1339.68085051034,0,139,78,NA
"9 MM HANDGUN","Ordnance and Missiles",73316.8728132277,0,298,185,NA
"9MM AMMUNITION ALL TYPES","Ordnance and Missiles",3346664.00895695,0,202,185,NA
"9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",24389374.3082799,0,139,185,NA
"<15KW 60 CYCLE DE","Electronics, Comms, & Sensors",161823801.858901,0,123,376.5,NA
"<5KW 60 CYCLE GE","Land Vehicles",482162.733625924,0,163,114,NA
"<60 KW","Electronics, Comms, & Sensors",479214.185593563,0,567,376.5,NA
"<60 KW","Facilities and Construction",4916.59022192925,0,133,78,NA
"<60 KW","Other Products",77723.9091509552,0,45,31.5,NA
"<60 KW","Other R&D and Knowledge Based",400149.280079645,0,85,63,NA
"A-1 SKYRAIDER","Aircraft",38220807.4303879,0,254,273.5,NA
"A-10","Aircraft",2870073481.82836,34440881781.9403,76,39,NA
"A-12 AVENGER (TO REPLACE","Aircraft",1127496534.77435,0,117,273.5,NA
"A-37","Aircraft",24908104.102556,0,265,273.5,NA
"A-4 SKYHAWK","Aircraft",453514182.762878,0,155,273.5,NA
"A-6 INTRUDER","Aircraft",3594327356.12576,0,66,273.5,NA
"A-6E / A-6 UPGRADE","Aircraft",90336.7596932388,0,426,273.5,NA
"A-7 CORSAIR II","Aircraft",228790264.42388,0,181,273.5,NA
"A-7D","Aircraft",495352348.812483,0,151,273.5,NA
"A-7E","Aircraft",171622.441167254,0,419,273.5,NA
"A-9","Other Products",7485359.06340923,0,17,31.5,NA
"A/EA-3 SKYWARRIOR","Electronics, Comms, & Sensors",141114212.271391,0,129,376.5,NA
"A/P22P-9(V) CBR","Aircraft",39886511.4524848,0,252,273.5,NA
"A6","Ordnance and Missiles",1360.81694391715,0,311,185,NA
"AABNCP-E4","Aircraft",912163867.757866,0,124,273.5,NA
"AAG","Aircraft",4225948.56746756,8451897.13493512,325,81,NA
"AAG","Electronics, Comms, & Sensors",57088.241652919,0,652,376.5,NA
"AAG","Ordnance and Missiles",17409.545170502,0,307,185,NA
"ABH","Aircraft",99364323.740314,0,212,273.5,NA
"ABH","Electronics, Comms, & Sensors",3929305.14191138,0,426,376.5,NA
"ABL","Aircraft",19175418.7999642,0,278,273.5,NA
"ABMS","Aircraft",22411108.9219976,22411108.9219976,270,77,NA
"ABMS","Electronics, Comms, & Sensors",87435578.9569693,786920210.612724,167,27,NA
"ABMS","Other R&D and Knowledge Based",99863611.2091261,1697681390.55514,16,8,NA
"ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",8877460791.76138,0,6,114,"ABRAMS SERIES (M1/M1A1/M1"
"ABRAMS UPGRADE","Land Vehicles",7920555201.48429,15841110402.9686,7,9,"ABRAMS UPGRADE"
"ACA","Aircraft",152576720.669946,0,198,273.5,NA
"ACC","Other Services",30749483.815349,0,11,23,NA
"ACD","Aircraft",314944951.885983,0,167,273.5,NA
"ACD","Electronics, Comms, & Sensors",16334676.9820167,0,305,376.5,NA
"ACM","Aircraft",5577867.504942,0,317,273.5,NA
"ACN","Aircraft",22489912.9574523,0,269,273.5,NA
"ACS","Electronics, Comms, & Sensors",1632844689.83921,1632844689.83921,19,19,NA
"ACWS","Aircraft",291741.276851568,0,410,273.5,NA
"ACWS","Electronics, Comms, & Sensors",847268.818035963,1694537.63607193,529,56,NA
"ACWS","Facilities and Construction",436300.29693428,3490402.37547424,91,11,NA
"ACWS","Land Vehicles",466236.658076673,0,164,114,NA
"ACWS","Ordnance and Missiles",82618.2145439459,0,296,185,NA
"ACWS","Other Products",165744.895701254,331489.791402507,41,5,"ACWS"
"ACWS","Other R&D and Knowledge Based",988925.843535999,0,73,63,NA
"ADG","Aircraft",686969714.728341,0,139,273.5,NA
"ADM-141C ITALD","Ordnance and Missiles",37214855.6044113,0,127,185,NA
"ADM-20 QUAIL","Ordnance and Missiles",41033717.1132039,0,122,185,NA
"ADS","Electronics, Comms, & Sensors",2052044197.6181,12312265185.7086,15,10,NA
"ADV AVIATION BASED SHIP-A","Ships & Submarines",626072.443462543,0,182,131,NA
"ADV WIDEBAND","Electronics, Comms, & Sensors",10017806.0055717,0,341,376.5,NA
"ADVANCED CRUISE MISSILE","Ordnance and Missiles",2069389.75157097,0,219,185,NA
"AEB","Aircraft",1413303613.08556,0,108,273.5,NA
"AEC","Aircraft",280516164.128226,0,172,273.5,NA
"AEC","Electronics, Comms, & Sensors",156935760.984359,0,124,376.5,NA
"AEC","Other R&D and Knowledge Based",1047830.59338932,0,70,63,NA
"AEGIS","Missile Defense",9977118910.31815,79816951282.5452,9,10,NA
"AEHF","Space Systems",3847796069.44841,19238980347.2421,11,7,"AEHF"
"AESA","Aircraft",901925947.289926,901925947.289926,128,67,NA
"AF INT COM CTRL SYS","Aircraft",1813290738.0352,0,96,273.5,NA
"AF INT COM CTRL SYS","Electronics, Comms, & Sensors",314453873.173987,0,82,376.5,NA
"AF INT COM CTRL SYS","Facilities and Construction",4567600.26633768,0,54,78,NA
"AF INT COM CTRL SYS","Other R&D and Knowledge Based",241074710.80847,0,8,63,NA
"AFAS (PRE-MS I) 155MM SP","Land Vehicles",4727412.13519554,0,115,114,NA
"AFATDS (ATCCS)","Electronics, Comms, & Sensors",-92490776.2444332,0,693,376.5,NA
"AFATDS ADV FLD ART TAC DA","Electronics, Comms, & Sensors",390671347.599587,0,68,376.5,NA
"AFN","Aircraft",1873689.69786969,0,350,273.5,NA
"AFN","Electronics, Comms, & Sensors",61410918.1438489,0,193,376.5,NA
"AFSATCOMM","Electronics, Comms, & Sensors",2651001938.57019,0,12,376.5,NA
"AFSCN","Electronics, Comms, & Sensors",796675167.964219,0,34,376.5,NA
"AFU","Aircraft",4279572.57661855,0,324,273.5,NA
"AFU","Electronics, Comms, & Sensors",378034.294796619,0,574,376.5,NA
"AFV","Aircraft",59621967.3468966,0,234,273.5,NA
"AGM-129/A ADV CRUISE MISS","Ordnance and Missiles",137117226.109827,0,91,185,NA
"AGM-154A","Ordnance and Missiles",399116592.21881,0,65,185,NA
"AGM-154B","Ordnance and Missiles",3539564.90018869,0,198,185,NA
"AGM-154C","Ordnance and Missiles",18069706.9850275,0,146,185,NA
"AGM-28 HOUND DOG","Aircraft",318567.205381914,0,407,273.5,NA
"AGM-45 SHRIKE","Ordnance and Missiles",-1356313.36222108,0,322,185,NA
"AGM-62 WALLEYE","Ordnance and Missiles",11828987.0480587,0,161,185,NA
"AGM-62/A WALLEYE","Electronics, Comms, & Sensors",5298536.01846541,0,394,376.5,NA
"AGM-65 MAVERICK","Ordnance and Missiles",1693470015.74385,0,37,185,NA
"AGM-69 SRAM(SHT RG ATTK M","Ordnance and Missiles",457378135.662396,0,62,185,NA
"AGM-80 VIPER","Ordnance and Missiles",9624517.0063314,0,167,185,NA
"AGM-84 HARPOON","Missile Defense",3855629836.63274,0,14,48.5,NA
"AGM-87","Ordnance and Missiles",1078144.10078245,0,242,185,NA
"AGM-88 HARM","Ordnance and Missiles",4652131217.84777,0,15,185,NA
"AGM-88E AARGM","Ordnance and Missiles",2062444697.83084,24749336373.9701,32,12,NA
"AH-1 COBRA","Aircraft",324144301.137652,0,165,273.5,NA
"AH-1G HUEYCOBRA","Aircraft",2782757403.11488,0,77,273.5,NA
"AH-1J IRANIAN","Aircraft",39908295.1129301,0,251,273.5,NA
"AH-1J SEA COBRA","Aircraft",993029197.698206,0,121,273.5,NA
"AH-1S COBRA TOW","Aircraft",16282786.2773445,0,282,273.5,NA
"AH-1W SUPER COBRA","Aircraft",905963001.787874,0,127,273.5,NA
"AH-56 CHEYENNE","Aircraft",366544.194144251,0,398,273.5,NA
"AH-64 APACHE","Aircraft",16522884755.1422,0,20,273.5,NA
"AH-64E New Build","Aircraft",3531062635.93357,130649317529.542,67,26,NA
"AH-64E New Build","Electronics, Comms, & Sensors",2304462.72656988,4608925.45313976,462,52,NA
"AH-64E New Build","Facilities and Construction",1644803.4707877,3289606.9415754,69,12,NA
"AH-64E New Build","Ordnance and Missiles",28188.2172738432,0,306,185,NA
"AH-64E New Build","Other Products",7070925.39633344,35354626.9816672,18,2,"AH-64E New Build"
"AH-64E New Build","Other R&D and Knowledge Based",5009406.75157773,5009406.75157773,40,18,NA
"AHD","Aircraft",25179208.2646458,0,263,273.5,NA
"AHE","Aircraft",7995328.29025665,0,300,273.5,NA
"AHJ","Aircraft",15308993.7496614,0,284,273.5,NA
"AHJ","Electronics, Comms, & Sensors",35545795.1151034,0,236,376.5,NA
"AHK","Aircraft",49872430.9637972,0,243,273.5,NA
"AHK","Other R&D and Knowledge Based",3038374.71987326,0,54,63,NA
"AHP","Aircraft",5892992.89703043,0,316,273.5,NA
"AHTSQ-111(Z)","Electronics, Comms, & Sensors",965340.02218117,0,521,376.5,NA
"AHW","Aircraft",1563409.89566621,0,354,273.5,NA
"AIG","Aircraft",79801242.7104295,0,224,273.5,NA
"AIG","Electronics, Comms, & Sensors",12099759.1617348,0,331,376.5,NA
"AIM-54 PHOENIX","Ordnance and Missiles",546044833.767545,0,57,185,NA
"AIM-7 SPARROW","Missile Defense",1000398572.16742,0,23,48.5,NA
"AIM-9 SIDEWINDER","Ordnance and Missiles",1184994838.1529,0,40,185,NA
"AIM-95 AGILE","Ordnance and Missiles",386605012.519251,0,67,185,NA
"AIM-9X","Ordnance and Missiles",3187772640.97377,9563317922.92132,22,17,NA
"AIR CARGO MATERIALS HAND","Aircraft",401413905.233049,0,159,273.5,NA
"AIR CARGO MATERIALS HAND","Facilities and Construction",3460456.81763202,0,59,78,NA
"AIR CARGO MATERIALS HAND","Land Vehicles",267619.497347602,0,174,114,NA
"AIR CARGO MATERIALS HAND","Other Products",799329.398977802,0,26,31.5,NA
"AIR CONDITIONER A3","Aircraft",30378711.7046787,0,257,273.5,NA
"AIR CONDITIONER AM32C10C","Aircraft",1280493.34620556,0,364,273.5,NA
"AIR CONDITIONER AM32C10C","Facilities and Construction",934645.679835471,0,78,78,NA
"AIR CONDITIONER MA-3","Facilities and Construction",1289515.85552061,0,74,78,NA
"AIR CONDITIONERS","Facilities and Construction",4012506.28183039,0,56,78,NA
"AIR CUSHION VEH 30 TON","Land Vehicles",14445948.1955259,0,83,114,NA
"AIR DEFENSE TARGETS","Missile Defense",246035.455557933,0,73,48.5,NA
"AIR TRAFFIC CNTL COMM CON","Aircraft",422978.071568646,0,392,273.5,NA
"AIR TRAFFIC CNTL COMM CON","Electronics, Comms, & Sensors",28632936.7910324,0,253,376.5,NA
"AIR TRAFFIC CNTL COMM CON","Facilities and Construction",545045.527798983,0,87,78,NA
"AIR TRAFFIC CNTL COMM CON","Land Vehicles",484898.360966276,0,162,114,NA
"AIR TRAFFIC CNTL COMM CON","Ordnance and Missiles",49001831.8253807,0,120,185,NA
"AIR TRAFFIC CNTL COMM CON","Other Products",55298.3609533499,0,49,31.5,NA
"AIR TRAFFIC CNTL COMM CON","Other R&D and Knowledge Based",3397182.29928307,0,52,63,NA
"AIRBORNE ECM/ECCM NKC-135","Aircraft",6021468.74470852,0,313,273.5,NA
"AIRBORNE RECON LOW (ARL)","Aircraft",83303962.1460483,0,221,273.5,NA
