"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"CVN 21","Ships & Submarines",31999370014.6957,2822830520.49149,4,4,"CVN 21"
"OTHER ENVIRONMENTAL PROGR","Facilities and Construction",31782356340.8993,586027931.38468,2,4,"OTHER ENVIRONMENTAL PROGR"
"AMRAAM","Ordnance and Missiles",29332027674.0141,1262140086.617,4,5,"AMRAAM"
"EELV","Space Systems",28797634388.2373,407923823.824239,2,2,"EELV"
"LCS","Ships & Submarines",25792429944.3245,289923624.822281,5,7,"LCS"
"DESTROYER DDG-51","Ships & Submarines",24052109885.7649,0,6,128.5,"DESTROYER DDG-51"
"C-130 HERCULES","Aircraft",22572073873.0052,0,16,252.5,NA
"DD(X)","Ships & Submarines",22212478110.1959,126444804.651554,7,8,"DD(X)"
"PATRIOT","Missile Defense",21469972056.1821,-8381621.49242112,3,80,"PATRIOT"
"E-2C ADVANCED HAWKEYE","Aircraft",20492714569.7954,1549107582.30282,17,6,"E-2C ADVANCED HAWKEYE"
"F-100 Engine","Aircraft",19293278873.5338,0,18,252.5,NA
"LPD 17","Ships & Submarines",19113581466.3309,29839395.6860266,8,9,NA
"FCS","Land Vehicles",19077481245.6154,0,2,110,"FCS"
"UH-60 BLACKHAWK UTTAS","Aircraft",18969018600.0776,0,19,252.5,NA
"TITAN IV LAUNCH VEH PROGR","Space Systems",17781807151.9052,0,3,34,"TITAN IV LAUNCH VEH PROGR"
"SUBMARINE NUCLEAR-SSN","Ships & Submarines",17645209560.7205,0,9,128.5,NA
"GMLRS","Ordnance and Missiles",16592064086.506,3756159032.51266,5,2,"GMLRS"
"AH-64 APACHE","Aircraft",16522884755.1422,0,20,252.5,NA
"NAVSTAR GPS","Space Systems",16345827746.2556,284863391.295707,4,4,"NAVSTAR GPS"
"STRYKER (IAV)","Land Vehicles",16319775624.5276,95112903.398881,3,6,"STRYKER (IAV)"
"PATRIOT MISSILE SYS","Missile Defense",16122024474.7026,0,4,46,"PATRIOT MISSILE SYS"
"LTAMDS","Missile Defense",15743288948.4801,3527457079.33766,5,2,"LTAMDS"
"EA-18G","Aircraft",15066800973.7677,1086737608.4413,21,7,"EA-18G"
"SUBMARINE NUCLEAR - SSN","Ships & Submarines",14343255792.5324,0,10,128.5,NA
"LHA ( R )","Ships & Submarines",13307826145.9587,936642042.087109,11,5,"LHA ( R )"
"H-1 UPGRADE","Aircraft",12878944778.0184,189318724.709872,22,25,NA
"CVN 68","Ships & Submarines",12748330712.4223,6918626.14463662,12,10,NA
"CH-47F","Aircraft",12459933284.3802,-7151546.39553795,23,459,NA
"SBIRS HIGH","Space Systems",12337556311.6403,348141769.721923,5,3,"SBIRS HIGH"
"THAAD-THEATER HIGH ALT AI","Missile Defense",11834012470.8813,0,6,46,"THAAD-THEATER HIGH ALT AI"
"BMDS","Missile Defense",11459220551.1954,613121414.885748,7,4,"BMDS"
"V22 VERTICAL LIFT AIRCRAF","Aircraft",11409296189.9989,0,24,252.5,NA
"MILSTAR","Space Systems",11272227488.5474,0,6,34,"MILSTAR"
"AN/FSD JOINT STARS","Electronics, Comms, & Sensors",11194029579.4018,0,2,361,"AN/FSD JOINT STARS"
"TACTICAL UAV","Aircraft",11030780201.7594,2587996.37194935,25,51,NA
"JASSM","Ordnance and Missiles",10911606353.0319,1618344927.38845,6,4,"JASSM"
"JDAM","Ordnance and Missiles",10906364109.2734,554384812.971279,7,7,"JDAM"
"FSCS","Land Vehicles",10576283066.5217,2038612330.62488,4,2,"FSCS"
"PATRIOT/MEADS","Missile Defense",10483498748.3326,14060547.7776201,8,12,NA
"KC-135 STRATOLIFTER","Aircraft",10452793233.7377,0,26,252.5,NA
"CARRIER ACFT NUCLEAR-CVAN","Ships & Submarines",10431615816.9092,0,13,128.5,NA
"BGM-109 TOMAHAWK","Ordnance and Missiles",10431391266.6066,0,8,177.5,NA
"AEGIS","Missile Defense",9977118910.31815,112953454.606273,9,10,NA
"B-1","Aircraft",9974754640.41733,0,27,252.5,NA
"BRADLEY FVS","Land Vehicles",9955436240.37881,1280888.14075252,5,9,"BRADLEY FVS"
"F-14 TOMCAT","Aircraft",9637843552.93169,0,28,252.5,NA
"CH-47D","Aircraft",9483595542.54153,70030489.9579517,29,34,NA
"MQ-9 Reaper","Aircraft",9418690726.58503,499480882.146872,30,15,NA
"CHEM DEMIL-ACWA","Facilities and Construction",9412190893.1303,899384932.290948,3,3,"CHEM DEMIL-ACWA"
"E-2 HAWKEYE","Aircraft",9389308377.24547,0,31,252.5,NA
"MH-60R","Aircraft",9334245526.70669,356550613.44363,32,20,NA
"E-3A","Aircraft",9159631660.39087,922742.584976108,33,53,NA
"SH-60 SEAHAWK","Aircraft",8915018070.55483,-1.92667272645935,34,446,NA
"ABRAMS SERIES (M1/M1A1/M1","Land Vehicles",8877460791.76138,0,6,110,"ABRAMS SERIES (M1/M1A1/M1"
"LONGBOW APACHE BLK III","Aircraft",8620401411.02752,501238068.330273,35,14,NA
"BLACK HAWK (UH-60A/L)","Aircraft",8528211037.55956,424902953.206823,36,17,NA
"TACTICAL TOMAHAWK","Ordnance and Missiles",8525920879.83335,536013163.268821,9,8,NA
NA,"Missile Defense",8518350173.77915,839910411.458473,10,3,NA
"BAMS","Aircraft",8430849803.95653,828074596.567798,37,10,NA
"AV-8 HARRIER","Aircraft",8324656892.60485,0,38,252.5,NA
"CH-47 CHINOOK","Aircraft",8271243969.16916,0,39,252.5,NA
"GLOBAL HAWK","Aircraft",8213075829.10107,13484085.7362681,40,41,NA
"MIDS-LVT","Electronics, Comms, & Sensors",8145602650.61103,664026966.905975,3,2,"MIDS-LVT"
"CG-47 AEGIS","Missile Defense",8055190048.42798,0,11,46,NA
"F-15","Aircraft",8019562304.71631,215110397.589645,41,24,NA
"SINCGARS","Electronics, Comms, & Sensors",7922840905.94608,147604431.262162,4,9,"SINCGARS"
"ABRAMS UPGRADE","Land Vehicles",7920555201.48429,-3524.23732209453,7,208,"ABRAMS UPGRADE"
"B-2A","Aircraft",7849961630.83002,-730486.842124822,42,455,NA
"MISCELLANEOUS-AG","Ships & Submarines",7542833058.49191,0,14,128.5,NA
"ZBL","Aircraft",7358630050.2031,104762021.872449,43,30,NA
"APACHE (AH-64A)","Aircraft",7341539248.11188,-189980.856965757,44,452,NA
"OH-58 KIOWA (AHIP)","Aircraft",7331746064.85365,0,45,252.5,NA
"MUOS","Space Systems",7243681767.17544,3948853.62452955,7,8,"MUOS"
"BLACK HAWK UPGRADE (UH-60","Aircraft",7170395715.42766,532387000.843687,46,13,NA
"JAVELIN","Ordnance and Missiles",7140290372.85558,6077.74893289171,10,31,NA
"DEF ENVIR & RESTORA PRG (","Facilities and Construction",7115643786.20029,0,4,77,"DEF ENVIR & RESTORA PRG ("
"POSEIDON","Aircraft",6849441550.55064,-11516379.9786393,47,460,NA
"C-5 RERP","Aircraft",6840873903.96659,6284731.35294424,48,45,NA
"HLR","Aircraft",6578163996.60281,2179762201.30976,49,5,"HLR"
"FMTV","Land Vehicles",6551781167.15753,0,8,110,NA
"HURRICANE KATRINA","Facilities and Construction",6480484517.51807,0,5,77,"HURRICANE KATRINA"
"RIM-66 STANDARD MISSILE(M","Ordnance and Missiles",6297944634.46316,0,11,177.5,NA
"PAC-3 MSE","Missile Defense",6256840068.72003,326466846.425529,12,7,"PAC-3 MSE"
"GBSD","Other R&D and Knowledge Based",6191089145.21951,2997160139.09104,2,2,"GBSD"
"DERP","Facilities and Construction",5943597826.50486,103667053.989405,6,7,"DERP"
"ASSAULT SHIP AMPHIBIOUS-L","Ships & Submarines",5921767549.61231,0,15,128.5,NA
"T-45 GOSHAWK","Aircraft",5917891910.49463,0,50,252.5,NA
"STATUS OF FORCES AGREEMENT","Facilities and Construction",5828147691.32337,1651433657.35074,7,2,"STATUS OF FORCES AGREEMENT"
"MULT LNCH ROCKET SYS","Ordnance and Missiles",5827311617.58262,0,12,177.5,NA
"CH-53 SEA STALLION","Aircraft",5520796834.81483,0,51,252.5,NA
"NAVSTAR","Space Systems",5454700909.6631,0,8,34,NA
"M1/M1A1 ABRAMS TANK","Land Vehicles",5417718503.14386,4981909.71748258,9,8,NA
"F-110","Aircraft",5406609665.91247,0,52,252.5,NA
"JPATS","Aircraft",5319408146.21748,0,53,252.5,NA
"STANDARD MISSILE 2 (SM 2)","Ordnance and Missiles",5316737778.78932,0,13,177.5,NA
"TRIDENT","Ships & Submarines",5310886840.76181,0,16,128.5,NA
"JSTARS","Aircraft",5288854879.3834,0,54,252.5,NA
"PRV","Aircraft",5231203147.57307,897625619.172647,55,9,NA
"LGM-30 MINUTEMAN","Ordnance and Missiles",5222166424.3539,0,14,177.5,NA
"F-16","Aircraft",5175378209.74092,188406721.020051,56,26,NA
"M-1 COMBAT 105MM GUN (ABR","Land Vehicles",5134703910.53209,0,10,110,NA
"WIDEBAND GAPFILLER","Space Systems",5128273531.37802,71952568.2678826,9,5,"WIDEBAND GAPFILLER"
"EA-6B PROWLER","Aircraft",4991691900.34476,0,57,252.5,NA
"PATRIOT PAC-3","Missile Defense",4967590322.14317,-6760436.57188842,13,79,NA
"Advanced Engine Development","Aircraft",4823651792.22085,446959985.668714,58,16,NA
"P-3 ORION","Aircraft",4816281802.33911,0,59,252.5,NA
"LUH","Aircraft",4670644489.54521,358118309.209251,60,19,NA
"AGM-88 HARM","Ordnance and Missiles",4652131217.84777,0,15,177.5,NA
"T-45TS","Aircraft",4567081366.72085,0,61,252.5,NA
"LAV (NAVY)","Land Vehicles",4488263186.33836,-2453795.71976854,11,209,NA
"TRUCKS 5T","Land Vehicles",4457301713.1724,0,12,110,NA
"BRAC ACTIVITIES","Facilities and Construction",4432880862.36355,25872034.656139,8,8,NA
"EPA SUPERFUND","Facilities and Construction",4350043094.1354,233430681.685144,9,5,"EPA SUPERFUND"
"GAJ","Space Systems",4326136353.58484,0,10,34,NA
"BASE REALIGN & CLOS (BRAC","Facilities and Construction",4265281157.0815,0,10,77,NA
"LASER HELLFIRE","Ordnance and Missiles",4159236836.00441,4428271.46107945,16,22,NA
"AIRCRAFT CARRIER CVAN-65","Ships & Submarines",4102687800.17488,0,17,128.5,NA
"AWACS RSIP (E-3)","Aircraft",4092396540.64888,7129804.33057424,62,44,NA
"MQ-1C Gray Eagle","Aircraft",4062120521.46967,359601989.394348,63,18,NA
"HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",4017329434.54556,0,17,177.5,NA
"SCY","Ships & Submarines",3866360302.05589,0,18,128.5,NA
"442","Ordnance and Missiles",3863840079.12035,736494930.708351,18,6,"442"
"AGM-84 HARPOON","Missile Defense",3855629836.63274,0,14,46,NA
"AEHF","Space Systems",3847796069.44841,13107828.8935572,11,7,"AEHF"
"GUIDED MSL LAUNCH MK-41","Ordnance and Missiles",3832583850.79368,0,19,177.5,NA
"BRADLEY,INFANTRY FT VEH F","Land Vehicles",3775100257.42207,0,13,110,NA
"C-5 GALAXY","Aircraft",3700079839.89814,0,64,252.5,NA
"PEACE SHIELD PROGRAM","Electronics, Comms, & Sensors",3683775573.28698,0,5,361,"PEACE SHIELD PROGRAM"
"Other UAS","Aircraft",3650217117.40639,0,65,252.5,NA
"A-6 INTRUDER","Aircraft",3594327356.12576,0,66,252.5,NA
"AH-64E New Build","Aircraft",3531062635.93357,255300377.944515,67,23,NA
"474","Aircraft",3522697840.9641,296040522.712978,68,22,NA
"GCSS-AF","Electronics, Comms, & Sensors",3446777825.87828,-4384198.14725569,6,692,"GCSS-AF"
"M-2 IFV (BRADLEY)","Land Vehicles",3438828427.85847,0,14,110,NA
"DESTROYER DDG-47 AEGIS","Ships & Submarines",3370493995.97391,0,19,128.5,NA
"SSN-21 SEAWOLF CLASS","Ships & Submarines",3311152337.19068,0,20,128.5,NA
"MH-60S","Aircraft",3275087626.97336,3477900.58549762,69,48,NA
"120MM TANK AMMUNITION","Ordnance and Missiles",3273634881.05794,0,20,177.5,NA
"DEFENSE SUPPORT PROGRAM","Missile Defense",3235857125.9789,0,15,46,NA
"T-56","Aircraft",3223120126.02964,0,70,252.5,NA
"MGM-71 TOW","Ordnance and Missiles",3214881536.14535,0,21,177.5,NA
"AIM-9X","Ordnance and Missiles",3187772640.97377,441298.665205236,22,26,NA
"AMPV","Land Vehicles",3181126202.75058,844392804.172276,15,3,"AMPV"
"EASTERN TEST RANGE","Facilities and Construction",3161437377.10806,0,11,77,NA
"MINUTEMAN III","Ordnance and Missiles",3144941083.83939,317093137.070561,23,10,NA
"SUBMARINE SSN-688","Ships & Submarines",3144864614.94737,0,21,128.5,NA
"F-108","Aircraft",3130107042.25242,0,71,252.5,NA
"KIOWA WARRIOR","Aircraft",3119044421.38092,-13463565.8192965,72,461,NA
"FBCB2","Electronics, Comms, & Sensors",3113673922.46771,0,7,361,"FBCB2"
"RAH 66 COMMANCHE","Aircraft",3078802155.35078,0,73,252.5,NA
"MLRS","Ordnance and Missiles",3066162645.43703,185892233.839347,24,11,NA
"SM-6","Missile Defense",3064145358.99302,388684993.391072,16,5,"SM-6"
"STINGER (RMP)  MANPORTABL","Missile Defense",3049184383.47656,0,17,46,NA
"F-101","Aircraft",2979992793.70245,0,74,252.5,NA
"VH-71","Aircraft",2970669390.01169,0,75,252.5,NA
"ATIRCMS/CMWS","Electronics, Comms, & Sensors",2950057446.96061,0,8,361,NA
"JTRS CLUSTER 1","Electronics, Comms, & Sensors",2945042865.98428,0,9,361,NA
"A-10","Aircraft",2870073481.82836,-36380409.4277532,76,462,NA
"AH-1G HUEYCOBRA","Aircraft",2782757403.11488,0,77,252.5,NA
"ENVIR PROTECT AGENCY SUPE","Facilities and Construction",2769043469.84379,0,12,77,NA
"MIM-23 HAWK","Ordnance and Missiles",2768608422.09843,0,25,177.5,NA
"466","Land Vehicles",2727553521.81691,526635067.450325,16,4,"466"
"FFG(X) Guided Missile Frigate","Ships & Submarines",2707905046.14801,599615991.733071,22,6,"FFG(X) Guided Missile Frigate"
"AN/SQQ-89 SONAR","Electronics, Comms, & Sensors",2705057567.23159,0,10,361,NA
"CEC","Electronics, Comms, & Sensors",2668854679.42263,263292457.906847,11,7,"CEC"
"MX-MISSILE","Ordnance and Missiles",2665266032.51409,0,26,177.5,NA
"AFSATCOMM","Electronics, Comms, & Sensors",2651001938.57019,0,12,361,NA
"WIN-T","Electronics, Comms, & Sensors",2635976883.71811,-108898.022375269,13,684,NA
"LONGBOW APACHE","Aircraft",2610652106.79137,0,78,252.5,NA
"DOCK AMPHIB TRANSPORT-LPD","Ships & Submarines",2605137745.50097,0,23,128.5,NA
"SDB","Ordnance and Missiles",2571772733.93821,33498400.8600681,27,15,NA
"UH-1 IROQUOIS","Aircraft",2562923622.34909,0,79,252.5,NA
"MK15 CLOSE IN WPN SYS","Ordnance and Missiles",2517176612.54388,0,28,177.5,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Electronics, Comms, & Sensors",2509499841.44558,472046626.090302,14,3,"Department of Defense Healthcare Management System Modernization (DHMSM)"
"KC-10A","Aircraft",2481106895.12763,0,80,252.5,NA
"LANDING SHIP DOCK-LSD","Ships & Submarines",2476460979.37655,0,24,128.5,NA
"JSOW","Ordnance and Missiles",2457377803.66225,-1283347.32570453,29,328,NA
"439","Ordnance and Missiles",2450878600.01024,475001610.627081,30,9,NA
"C-10","Aircraft",2398881765.58359,0,81,252.5,NA
"B-52 STRATO FORTRESS","Aircraft",2393373858.14353,0,82,252.5,NA
"COBRA JUDY REPLACEMENT","Missile Defense",2386659166.02616,0,18,46,NA
"PEACEKEEPER MISSILE","Ordnance and Missiles",2326111343.23288,0,31,177.5,NA
"U-2","Aircraft",2292435865.97379,0,83,252.5,NA
"BJN","Aircraft",2266571216.92862,0,84,252.5,NA
"AWACS UPGRADE","Aircraft",2200945871.45989,107085552.998035,85,29,NA
"SUPPORT SHIP COMBAT FAST-","Ships & Submarines",2172916307.96673,0,25,128.5,NA
"SATELLITE COMMUNICATIONS","Space Systems",2169727367.23661,0,12,34,NA
"S-3 VIKING","Aircraft",2105136897.34446,0,86,252.5,NA
"KC-135R","Aircraft",2080608657.87374,-163878.388726537,87,451,NA
"AGM-88E AARGM","Ordnance and Missiles",2062444697.83084,37367107.2872911,32,14,NA
"HIMARS","Ordnance and Missiles",2055560968.4101,-2799598.04294269,33,329,NA
"ADS","Electronics, Comms, & Sensors",2052044197.6181,384628737.306061,15,5,"ADS"
"TF-39","Aircraft",2050005214.03576,0,88,252.5,NA
"ZBL","Electronics, Comms, & Sensors",2023444017.98516,-2079535.2505611,16,691,NA
"JOINT TAC INFO DIST SYS/T","Electronics, Comms, & Sensors",1978624440.27893,0,17,361,NA
"B1-B CMUP","Aircraft",1953780022.57944,0,89,252.5,NA
"P-3C","Aircraft",1933990015.64463,118197.556574763,90,58,NA
"C-141 STARLIFTER","Aircraft",1900545713.97875,0,91,252.5,NA
"RIM-67 STANDARD MISSILE(E","Ordnance and Missiles",1897735113.57332,0,34,177.5,NA
"MK46 TORPEDO LT WT ASW","Ordnance and Missiles",1892544418.31317,0,35,177.5,NA
"CRUISER GUIDED MISSILE-CG","Ships & Submarines",1875736810.30463,0,26,128.5,NA
"H-46 SEA KNIGHT","Aircraft",1872647812.02977,0,92,252.5,NA
"F-111","Aircraft",1869621523.83707,0,93,252.5,NA
"MK48 TORPEDO (ADCAP)","Ordnance and Missiles",1863488486.20051,0,36,177.5,NA
"CH-47F BLOCK II","Aircraft",1852240675.62767,688316418.631603,94,12,NA
"JTRS CLUSTER 5","Electronics, Comms, & Sensors",1847573001.67989,433553133.42373,18,4,"JTRS CLUSTER 5"
"MINEHUNTER COSTL NON-MAG-","Ships & Submarines",1820393347.15412,0,27,128.5,NA
"C-12","Aircraft",1816982077.33588,0,95,252.5,NA
"AF INT COM CTRL SYS","Aircraft",1813290738.0352,0,96,252.5,NA
"E-2C REPRODUCTION","Aircraft",1786645322.94224,0,97,252.5,NA
"IUS FULL SCALE DEVELOP SY","Space Systems",1782158323.94568,0,13,34,NA
"CARGO SHIP-AK","Facilities and Construction",1780736683.52979,0,13,77,NA
"XM-1 FSED TANK PROGRAM","Land Vehicles",1733286393.20445,0,17,110,NA
"LANDING CRAFT LCU","Ships & Submarines",1725934016.50761,0,28,128.5,NA
"AGM-65 MAVERICK","Ordnance and Missiles",1693470015.74385,0,37,177.5,NA
"SPARROW (AIM-7F) (N)","Ordnance and Missiles",1692618108.70478,-20828.3150622555,38,324,NA
"****AFX","Aircraft",1690526763.46854,0,98,252.5,NA
"APS","Missile Defense",1658859400.67317,115538787.27324,19,9,NA
"BLACKHAWK","Aircraft",1656310815.69654,0,99,252.5,NA
"F-4 PHANTOM II","Aircraft",1652116963.44709,0,100,252.5,NA
"ACS","Electronics, Comms, & Sensors",1632844689.83921,-6074563.51832659,19,693,NA
"T-34 MENTOR","Aircraft",1580410442.15303,0,101,252.5,NA
"AN/UYK-43","Electronics, Comms, & Sensors",1546912025.86315,0,20,361,NA
"C-9 SKYTRAIN II","Aircraft",1530117292.88964,0,102,252.5,NA
"T-700","Aircraft",1522658380.5906,0,103,252.5,NA
"EFV (AAAV)","Land Vehicles",1519040746.33651,0,18,110,NA
"F414-GE-400","Aircraft",1498552118.11315,0,104,252.5,NA
"AN/ALQ-119","Electronics, Comms, & Sensors",1489733947.48126,0,21,361,NA
"DEF MET SAT PROGRAM (DMSP","Ordnance and Missiles",1479749167.39429,0,39,177.5,NA
"RIM 7-H-2 NATO SEA SPARRO","Missile Defense",1471588983.54275,0,20,46,NA
"TF-33","Aircraft",1461416735.26236,0,105,252.5,NA
"MQ-9 Reaper","Electronics, Comms, & Sensors",1445705392.67051,131196161.263672,22,10,NA
"F/A-18A/B/C/D","Aircraft",1424005544.81358,875173.358878298,106,54,NA
"AMDR","Missile Defense",1418989789.23865,270612330.218893,21,8,NA
"T-38 TALON","Aircraft",1413658516.63793,0,107,252.5,NA
"AEB","Aircraft",1413303613.08556,0,108,252.5,NA
"H/LGM 25 TITAN","Space Systems",1397706357.65031,0,14,34,NA
"MQ-25 Stingray","Aircraft",1384852683.21418,109011345.042213,109,28,NA
"RSA DINING FACILITY","Facilities and Construction",1340406097.82086,119879944.90802,14,6,"RSA DINING FACILITY"
"AN/BSY-2 SUBMARINE COMBAT","Electronics, Comms, & Sensors",1332251464.70043,0,23,361,NA
"AN/ALQ-135","Electronics, Comms, & Sensors",1314244856.8447,0,24,361,NA
"SICBM SM INT BALL MSL","Space Systems",1289517055.01091,0,15,34,NA
"NMT","Space Systems",1288091730.28374,-9378.29896504797,16,59,NA
"MROI","Aircraft",1267798431.34567,63996224.5119879,110,35,NA
"E-4 (AABNCP)","Aircraft",1255561500.21858,0,111,252.5,NA
"MOBILE SUBSCRIBER EQUIP","Electronics, Comms, & Sensors",1243269089.08279,0,25,361,NA
"AN/BQQ-6 SONAR","Electronics, Comms, & Sensors",1229466476.20255,0,26,361,NA
"B1-B","Aircraft",1216272924.9293,8581898.80252798,112,43,NA
"CARRIER M113 MODS","Land Vehicles",1216161725.71288,0,19,110,NA
"F-5 FREEDOM FIGHTER","Aircraft",1202290563.91703,0,113,252.5,NA
"BRADLEY UPGRADE","Land Vehicles",1194221198.90007,0,20,110,NA
"AIM-9 SIDEWINDER","Ordnance and Missiles",1184994838.1529,0,40,177.5,NA
"BALL MSL DEF SYS","Missile Defense",1181403148.94516,0,22,46,NA
"UH-2 SEASPRITE","Aircraft",1167621973.94615,0,114,252.5,NA
"COMANCHE","Aircraft",1161111752.16636,-7681.66487096916,115,447,NA
"AN/ALR-56 WARNING RECVR","Electronics, Comms, & Sensors",1158962254.85812,0,27,361,NA
"DJN","Aircraft",1156979565.20863,0,116,252.5,NA
"OILER-AO","Ships & Submarines",1138046277.85361,0,29,128.5,NA
"A-12 AVENGER (TO REPLACE","Aircraft",1127496534.77435,0,117,252.5,NA
"PREDATOR UAV","Aircraft",1125635004.18945,0,118,252.5,NA
"CANES","Electronics, Comms, & Sensors",1121974063.84515,171811247.665846,28,8,NA
"VTUAV","Aircraft",1108017728.26021,50576943.0754118,119,36,NA
"T-58","Aircraft",1049796867.8615,0,120,252.5,NA
"ASMS ADV STRATEGIC MSL SY","Space Systems",1036053515.22756,0,17,34,NA
"MK50 TORPEDO","Ordnance and Missiles",1034300710.85306,0,41,177.5,NA
"AIM-7 SPARROW","Missile Defense",1000398572.16742,0,23,46,NA
"DSCS-3 DEF STAT COMM SYS","Space Systems",998590054.347745,0,18,34,NA
"AH-1J SEA COBRA","Aircraft",993029197.698206,0,121,252.5,NA
"STINGER","Missile Defense",991741931.473722,353674985.966693,24,6,"STINGER"
"AMRAAM (NAVY)","Ordnance and Missiles",982002222.923578,0,42,177.5,NA
"AOC-WS","Electronics, Comms, & Sensors",981178943.479571,352970.25868087,29,31,NA
"2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",972670438.924434,0,21,110,NA
"SH-3D SEA KING","Aircraft",962518026.061699,0,122,252.5,NA
"MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",953020771.398272,0,43,177.5,NA
"BSJ","Aircraft",947502050.124883,0,123,252.5,NA
"GBI - GROUND BASED INTERC","Missile Defense",940794073.525082,0,25,46,NA
"SURVEYING SHIP LARGE-AGS","Ships & Submarines",937244887.410407,0,30,128.5,NA
"LVTP-7","Land Vehicles",935722046.477346,0,22,110,NA
"AABNCP-E4","Aircraft",912163867.757866,0,124,252.5,NA
"J-85","Aircraft",910961887.646836,0,125,252.5,NA
"C-5B","Aircraft",907401802.483123,0,126,252.5,NA
"AH-1W SUPER COBRA","Aircraft",905963001.787874,0,127,252.5,NA
"AESA","Aircraft",901925947.289926,0,128,252.5,NA
"DESTROYER DD-963 CLASS","Ships & Submarines",897961780.209498,0,31,128.5,NA
"SDR","Ships & Submarines",897727566.862677,0,32,128.5,NA
"DJM","Land Vehicles",896449865.325944,0,23,110,NA
"E-6A (TACAMO)","Aircraft",896141059.857477,-123560.244062385,129,449,NA
"TOW","Ordnance and Missiles",893722913.850245,16318409.4398326,44,18,NA
"C-20","Aircraft",890556171.334814,0,130,252.5,NA
"AN/UYQ-21 NTDS","Electronics, Comms, & Sensors",881266692.243308,0,30,361,NA
"N WARNING SYS PROG/EX DEW","Electronics, Comms, & Sensors",879861461.341751,0,31,361,NA
"CNA","Ordnance and Missiles",847930496.556166,0,45,177.5,NA
"UH-1N REPLACEMENT","Aircraft",847595032.844264,316492927.805924,131,21,NA
"B-2 RMP","Aircraft",839547770.601961,0,132,252.5,NA
"AN/ALE-50","Electronics, Comms, & Sensors",835328675.264138,0,32,361,NA
"TF-34","Aircraft",832448611.092905,0,133,252.5,NA
"LHD 1","Ships & Submarines",830616815.127046,434303.293667342,33,16,NA
"MINUTEMAN III GRP","Ordnance and Missiles",828172962.667632,0,46,177.5,NA
"HH-53 SUPER JOLLY","Aircraft",825572893.423641,0,134,252.5,NA
"MINUTEMAN III PRP","Ordnance and Missiles",808293045.234231,0,47,177.5,NA
"JTRS WAVEFORM","Electronics, Comms, & Sensors",803224941.988461,-288535.514972136,33,687,NA
"LONGBOW HELLFIRE","Ordnance and Missiles",803139885.500409,0,48,177.5,NA
