"PlatformPortfolio","Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","AH-1W SUPER COBRA",751,9313347,42055057,26140276,5944328,,,,,,,,,,,,,,,,,,,,
"Aircraft","AH-64 APACHE",113,873527,,32232,49750,,,,,,,,,,,,,,,,,,,,
"Aircraft","AHD",1899,,14165839,893000,949000,,,,,,,,,,,0,,,,,,,,,
"Aircraft","AHE",2054,1788363,1017475,170891,1670618,,997904,69407,,,,,,-625364,,,,,,,,,,,
"Aircraft","AHJ",2055,9474970,,,,,,,,,,,,,,,0,,,,,,,,
"Aircraft","AHP",1902,,,,4653000,,,,,,,,,,,,,,,,,,,,
"Aircraft","AHW",1904,1264260,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","AIRBORNE ECM/ECCM NKC-135",1011,,,,1015989,,,,,,,,,,,,,,,,,,,,
"Aircraft","AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,14914244.75,15502452.8125,8853950.6407,42167102.25,80044232.4102,53360982.795
"Aircraft","APC",2057,52870220,3853819,10849416,3279693,,,-525475,,,,,,,,,,,,,,,,,
"Aircraft","ARH",75,,,,,,,-10485,,,,,,,,,,,,,,,,,
"Aircraft","ASF",1908,,,,18304244,,,,,0,,,,,,,,,,,,,,,
"Aircraft","ATR",1909,-541807,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","ATS",2058,254640579,10450242,3404181,-540937,-51551,,,,,,,,,,,,,,,,,,,
"Aircraft","AV-8 HARRIER",795,109505795,60436939,136290632,125659741,,,,,,3000,,,,,,,,,,,,,,
"Aircraft","AV-8A",1342,,,,,,,,4389.8398,,140757.5,,0,,,,,,,,,,,,
"Aircraft","AV-8B",63,,,,,,,2891355.1831,24090618.9426,6216504.9778,24093251.3769,29289691.3878,29737739.2253,21554023.7014,14862784.91,2214991.05,-101521.0013,0,,25917,,,,,
"Aircraft","AV-8B REMANUFACTURE",1818,,,804212,3560426,25558139,22976039.6998,41969843.9609,24150801.9186,14611123.6125,8189802.4536,1372476,1847904.6626,5942655.2813,8747619.57,1424686.94,95825.5391,-599765.2813,846517.0625,1235000,199451.82,0,0,,
"Aircraft","AVG",1910,171453068,173863973,8772236,4590890,424821,,,,,,,,,,,,,,,,,,,
"Aircraft","AVK",2060,7293858,5570905,19726501,740000,,,,,,,,,,,,,,,,,,,,
"Aircraft","AWACS RSIP (E-3)",1815,,,,,1194612,,3164,6321210,790893,0,0,0,,5453328,0,-10727.04,0,,,,,,,
"Aircraft","AWACS UPGRADE",682,,,,,,,,,,,,,,,,,,6957627,3094498,,0,,8757136,4032198
"Aircraft","B-2 RMP",1370,,,,,487778,4823,,409579,1972562.1015,1621627.8,1307700,2055000,20000,,,,,,,,,,,
"Aircraft","B-2A",1860,,,,,,,5814,,,,,,,,,,,,,,,,,
"Aircraft","B1-B",64,,,,,,,,,,,,,,,,157543,,,,,,,,
"Aircraft","B1-B CMUP",693,,,,,,,1313045,273429,0,404024,,,,-3207.92,-2770.35,,,,,,,,,
"Aircraft","BAMS",1367,,,,,700313,5581847,5738962,516248,52355357.2188,377048278.3282,372958619.5781,466768237.5313,440802651,535071752,253766611.41,360852223.1484,591885345.625,590255348.6641,564907981.2442,261638581.9193,630340002.2119,350204467.754,547493304.9033,144764774.6796
"Aircraft","BJM",2062,6245295,2510746,34002121,6689018,,,,,,,,,,,,,,,,,,,,
"Aircraft","BJN",2063,,,60619860,745363296,-14698000,353562528,391996160,0,0,,,,,,,,,,,,,,,
"Aircraft","BLACK HAWK (UH-60A/L)",52,,,,,,,,,,,,,,,,,,,,,,,,388846
"Aircraft","BLACK HAWK UPGRADE (UH-60",1339,,,,,,,,7321696,3936200.4766,6799775.4414,2543749.9608,3511020.6388,1395785.9702,4367199.51,,0,,3176873,5157361,1911470.0585,3683359.7503,26172502.981,25822872.7603,4928443.8382
"Aircraft","BQM-34 FIREBEE",834,,549988,,1687225,,,,,,,,,,,,,,,,,,,,
"Aircraft","BQM-74",869,,591773,,21057064,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-10",1426,822087,2376701,230851,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-12",89,,,1191413,540687,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-124 GLOBEMASTER",1415,,1475000,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-130 AMP",702,,,,,4313404,-668316,,214680,5988482.25,48382603.5,13149.5498,3247771.9102,3443188,4587549.8775,6238868.08,0,0,0,,,,,,
"Aircraft","C-130 HERCULES",716,8898934,38304937,15716184,16802622,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-130H",1827,,,,,,,11172.4805,144102,0,,,,,,,,,,,,,,,
"Aircraft","C-17A",614,,,,,6405774,1213793,24966084,14180388,624159,427383,344193.7031,,,,,,,,,,,,,
"Aircraft","C-2 GREYHOUND",714,8682135,2030046,4113553,414882,,,,,0,,,,,,,,,,,,,,,
"Aircraft","C-20 ACFT",91,,560565,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-20 GULFSTREAM III/IV",730,157823,312935,1643031,222290,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-4 GULFSTREAM",729,2184868,1819118,1801918,,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-47 SKYTRAIN",719,,,136407,757137,,,,,,,,,,,,,,,,,,,,
"Aircraft","C-5 RERP",1326,,,,,,,,,,,,,,839399.22,0,,,,,,,,,
"Aircraft","C-5A",1348,,,,,,201040,,,,,,,,,,,,,,,,,,
"Aircraft","C-9 SKYTRAIN II",724,42662620,51867358,24241935,800876,417402,,,,,,,,,,,,,,,,,,,
"Aircraft","C/MH-53E",16,,,,,,,11017401.1803,44827982.8387,82668923.445,48032497.3237,3394948.9072,10967776.2344,18698436.5,-87565.69,246998,247113.7031,252533.7632,247355,250015.9468,,,,,
"Aircraft","C130-J",631,,,,,1618913,19944732,91004976,23192242,12738758.7675,17436214.0449,12686262.0967,6168515.0087,11747987.3491,36693352.82,66826633,70006397.3014,80880643.2812,107493301.3058,121672664.9208,136501807.8237,161202963.7324,164958866.8361,83030074.6256,58363813.0342
"Aircraft","CH-46 SEA KNIGHT",98,,,,47657307,,,,,,,,,,,,,,,,,,,,
"Aircraft","CH-47F",683,,,,,29483,282425,,18400,,,,,,,,,,,,,,,,
"Aircraft","CH-53 SEA STALLION",760,79901843,79688440,134871708,100935573,-4398279,,,,,,,,,,,,,,,,,,,
"Aircraft","COMANCHE",661,,,,,256400,,19825,,,325669.8282,-20166.9297,,,,,,,,,,,,,
"Aircraft","CV HELO (SH-60F)",642,,,,,,,,1419110,3483362.8161,879621.7554,590917.6033,11739541.7559,36471658.4454,15579965.8,406989,381449,4489960,2288267.3604,0,,,0,,
"Aircraft","DD 963",38,,,,,,,,,,,,,0,756846,0,,,,,,,,,
"Aircraft","DMLSS",1959,,,,,15313,13992,,,,,,,,,,,,,,,,,,
"Aircraft","DPPS",1950,,,,,,,,47360,0,,,,,,,,,,,,,,,
"Aircraft","E-10",1371,,,,,,,222543,1197500,-100,12038.3096,15273,45396,,,,,,,,,,,,
"Aircraft","E-2 HAWKEYE",732,195261873,168322992,333759701,169235171,,,,,,,,,,,,,,,,,,,,
"Aircraft","E-2C",1387,,,,,,,78629.7578,67054.6016,35278,,,,,,,,,,,,,,,
"Aircraft","E-2C ADVANCED HAWKEYE",1358,,,,,31672776,9021325,8609902,16126338,78672314.4727,467055106.2578,591982982.5109,980124725.6754,926531526.8428,909281972.44,947813257.7573,973436823.9532,1544585993.0625,1038928205.836,1102213568.0254,2700303594.5937,1329520292.879,1050583140.168,1282791032.0291,818098630.6222
"Aircraft","E-2C REPRODUCTION",681,,,,,66198705,97463291,101166071.392,24684732.7668,130486323,147718823.6864,146180413.1267,92952578.4774,108382575.2111,104969190.1325,117571002.4813,75327977.8703,88196942,47469200.0938,29791715.5,0,337613.6016,-10000,2793574,
"Aircraft","E-3A",4,,,,1364510,,,44866,10780,,,,,,,,,,,,,,,,
"Aircraft","E-6A (TACAMO)",620,113194103,22641700,24158001,7896194,,,,,350355.5313,6999.1201,,,,63560864.06,61864292.08,101575981.3975,47254068.7656,68900671.836,28145616.5,26436556,2663573.25,-74814.8438,-312838.7188,
"Aircraft","EA-18G",1372,,,,,131319759,268712478,393035102,342773183,348873365,150982364.3203,478906111.3496,203017594.9711,249432490.2188,334152394.62,118863877.14,262587516.1043,335150508.2686,2374751951.6649,1622421956.2735,1272963738.7613,1043242046.7154,1125499751.4621,784823122.6456,902055050.4629
"Aircraft","EA-3",733,,108998,500976,188694,,,,,,,,,,,,,,,,,,,,
"Aircraft","EA-6B",619,,,,,,,1920477.1035,800187.6034,6834113.5166,11600159.375,55638482.88,23315978.5875,41230511.7887,34871559.03,22572315.37,0,,,,,,,,
"Aircraft","EA-6B PROWLER",734,170622581,107326211,89776758,189538172,27451,,0,,0,5726.8198,-86308,,,,,,,,,,,,,
"Aircraft","ENGINE GAS TURB AN/32 85-",1761,102666,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","ENGINE TEST STAND",1770,197676,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","ES-3A VIKING",801,97511,97500,1416994,899860,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-100 UPGRADE",1509,,,,1017072,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-111 TFX",743,34886,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-117 STEALTH",1453,,,,0,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-14 TOMCAT",744,242939376,176107175,218310240,270646321,,,,,,-16926,,,,,,,,,,,,,,
"Aircraft","F-15",23,,,,,,,3230,,,,,,,,,,,,,,,,,
"Aircraft","F-15 EAGLE",1892,54143,,,80920,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-16",24,,,,,,,,,91000,,125146,,,,,,,,,,,,,
"Aircraft","F-16 FALCON",1894,,,,168406,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-18 HORNET",746,913670367,693264799,880644366,1118141582,10557,239000,,,-103704,1119699,-1771937.7734,,,,,,0,,,,,,,
"Aircraft","F-22 Raptor",1436,397506,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-4 PHANTOM",736,5367106,2118283,3141413,1658604,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-5 FREEDOM FIGHTER",738,29590569,1449871,38358892,4788023,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-5E",1320,,,,,,,,,,47019,,,,,,,,,,,,,,
"Aircraft","F-6 SKYRAY",737,,71396,148632,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F/A-18 E/F",1828,,,,,431046485.0591,2115898754,2144448009.458,3015984321.0098,4434604919.4891,2655677808.3533,2476490297.3167,2584349824.7624,2750864360.9116,2565532923.1535,2841161604.9713,512021924.7692,1148829888.9364,126687977.6299,18003960.9373,14788450.2638,-9318690.9102,-348878.6211,2066880.8641,-6583762.4609
"Aircraft","F/A-18A/B/C/D",25,,,,,,,146482903.5158,220494759.5438,85728297.6857,47791847.7737,64172372.8545,32002198.7057,4622679.8534,14249470.06,2423537.7092,1344632.5937,-760796.41,-373465,0,0,,-50961.6992,-72049.78,
"Aircraft","F/A-22",671,,,,,153130,,2123540,207595,,2228000,,,,,,,,,,,,,,
"Aircraft","F404-GE-400 OR 402",811,12123798,41513179,48880009,127752846,,,,,,,,,,,,,,,,,,,,
"Aircraft","F404-RR-408 ENGINE",807,,2318213,5111784,1123643,,,,,,,,,,,,,,,,,,,,
"Aircraft","F405-RR-401 ENGINE",806,29020858,28131471,157642,70000,,,,,,,,,,,,,,,,,,,,
"Aircraft","F414-GE-400",812,361442272,429357444,65890505,56485176,,,,,,,,0,,,,,,,,,,,,
"Aircraft","GGU-71A OBOGS OXY CONCENT",1163,,,,171342,,,,,,,,,,,,,,,,,,,,
"Aircraft","GHY",2087,20834716,1009504,11730586,2862996,2e+05,4246219,,,,,,-366596.75,,,,,,,,,,,,
"Aircraft","GLOBAL HAWK",659,,,,,,3634922,10302832,,14797532,47052804,22034602.6875,11866913.5391,0,0,,0,39928,,92814,582586.9908,695994.8534,-248618.0313,-279.31,-7252.1398
"Aircraft","H-1 UPGRADE",2,,,,,222769729,239589432,249978161.2031,353625946.6744,378753810.2181,620017464.9855,734751291.834,807785307.9746,279062813.1791,1056406779.07,554145111.71,789614308.1772,800862966.8,637648871.4708,779674236.1134,892945902.3943,480436886.0619,248870662.2986,146883396.6929,132677110.2648
"Aircraft","H-13 SIOUX",752,,96426,51848,38728,,,,,,,,,,,,,,,,,,,,
"Aircraft","H-3 SEA KING",1455,,,36520,,,,,,,,,,,,,,,,,,,,,
"Aircraft","H-46 SEA KNIGHT",754,88217178,81375452,71624636,44079303,,,,,,,,,,,,,,,,,,,,
"Aircraft","H-57 SEARANGER",761,7693225,9333286,2780350,38098616,,,,,,,,,,,,,,,,,,,,
"Aircraft","H100-T400-CP400 PT-6T-3",802,10838139,3345485,9353794,10427374,,,,,,,,,,,,,,,,,,,,
"Aircraft","HAEUAV",701,,,,,,,145000,,,,,,,,,,,,,,,,,
"Aircraft","HELICOPTER NEW TRAINING",123,1933116,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","HH-53 SUPER JOLLY",1901,,,,32700,,,,,,,,,,,,,,,,,,,,
"Aircraft","HHD-60",621,,,,,,,,104126.7002,2389547.7969,1736123,2243004,6561462,4730656.5,13000,25977.05,,,,,,,,,
"Aircraft","HLR",1382,,,,,1417910,1407995,,,,,,431301,0,,,,660237,71030797.1719,215220274.0977,241959613.4256,258836796.6642,1429562484.6947,1858354110.9883,921428591.5625
"Aircraft","J-52",803,21919287,20203408,67522878,46344029,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-57",808,55000,36223,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-69",1485,,,141645,,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-79",809,28875,,,43979,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-85",810,9141214,4203704,2601022,1953488,,,,,,,,,,,,,,,,,,,,
"Aircraft","JPATS",1834,,,,,322542,67986,64748,50505,2897876.8067,530759.0996,-103001.7696,,,,,,,,,,,,,
"Aircraft","JSF (F-35)",87,178031456,268635741,6554622,239927692,196180517.0938,297828366,634208169,1065862766.7227,2725377126.3311,3681464062.0067,1874856013.4357,4877655064.5174,4691798600.1306,12181364143.38,3796342018.2,11389818543.0914,10143588537.0827,24140285523.0243,15993414967.9989,17244736490.1055,35959136464.6929,9846932233.464,20737931632.3383,26576552939.8461
"Aircraft","JSTARS",679,,,,,164880,159435,29500,6825,,,,,,,,,,,,,,,,
"Aircraft","KIOWA WARRIOR",70,,,,,,,,,1170,14910,149775,,,,,,,,-12690,,,,,
"Aircraft","LAMPS MKIII (SH-60B)",32,,,,,,,9306608,38656149.602,36182475.3871,33065200.1901,29927518.7589,32725946.5938,32578488,24686625.4,26617757.86,-888662.08,,,,,,,,
"Aircraft","LONGBOW APACHE",1872,,,,,3139153,175056,4294680,,,,,,6352884,0,,,,,,,,,,
"Aircraft","MH-60R",84,,,,,48568887,268113208,233908600.25,564976650.75,359307983.043,475799735.1271,426740742.2968,462051220.8283,707572267.4214,778593605.19,347878909.4,338409332.3307,529296200.6787,174670419.4161,186037987.7061,26051667.5636,32209170.1224,8762906.8531,-27593363.5194,12972367.3974
"Aircraft","MH-60S",687,,,,,74853121,210398846,274310599.7063,186456483.0933,236121602.9437,193982693.2598,121244472.3401,125277199.167,41846486.8069,26942928.74,41016096.37,37033337.63,153300366.44,5286390.6617,9955682.1875,3436630,105959.0977,3587691.3799,1287752.9375,3653868.25
"Aircraft","MH53E SEA DRAGON",762,,41326510,55033753,22358563,,,,,,,,,,,,,,,,,,,,
"Aircraft","MMA",1333,,,,,44613727,434195775,870920182,1073009382,783597489,1088707458.875,1281857793,3025280048.98,3765412842.0601,751416355.82,850821379.74,1754686806.5586,3487666627.7016,2797801509.2609,2756090605.1895,3861285907.9161,2714160029.7484,2620911947.139,614365725.3818,460525784.016
"Aircraft","MQ-25 Stingray",2257,,,,,,,,,,,,,,,,,86960936,35752364,79050816,356893120,448743003.7812,100636620,37054302,108101422
"Aircraft","MQ-9 Reaper",1805,,,,,,,,,,,,,,,,,,,,,16023243,,,99739347
"Aircraft","MROI",2148,,,,,,,,,,,,,,,,,,18890,5583120.9708,7850474.227,120994810.8965,93986580.2218,849058527.0939,12058367.75
"Aircraft","NAVY EPS",2194,,,,,,,,,,,,,,,,,,,,,,,84627.3984,0
"Aircraft","NCES",664,,,,,,,,,,,,,,,,,,,,,,1913615,4150000,587715.375
"Aircraft","OH-58 KIOWA (AHIP)",1898,,,,23094814,45540514,53734922,23705692,0,,,,,,,,,,,,,,,,
"Aircraft","OV-1 MOHAWK",128,,,,279672,,,,,,,,,,,,,,,,,,,,
"Aircraft","Other UAS",2258,,,,,,,,12833825,36365414,47372308,89652502.75,132462345,143051419,12075793,39377370,25848612,108118000,22453691,94483791.5,36467264,15673311,,,
"Aircraft","P-3 ORION",778,127180116,234951885,257775220,297019049,,,,,,,-2271.0801,,,,,,,,,,,,,
"Aircraft","P-3C",1324,,,,,,,37203.5703,1418441.77,160686240.6808,294840920.5511,318946027.6447,204303321.9981,318896528.0628,156806505.3202,9206719.4,822237.2935,955004.6839,177911,-59968.6211,116768.5839,-70723.4219,,,123923
"Aircraft","PIONEER UNMANNED AERIAL V",884,6405333,1743967,,9955794,,,,,,,,,,,,,,,,,,,,
"Aircraft","POSEIDON",1316,,,,,,,,,2093740,826260,2255916,2154775,273440327.125,2309240527.44,2306981122.66,398296202.8731,317989671.3632,15531895.375,-325806.9443,4333676.7031,-26114261,4480592.75,-343140.8906,-34995.9219
"Aircraft","PREDATOR",676,,,,,,,399451,,,,,,,,,,,,,,,,,
"Aircraft","PREDATOR B",1386,,,,,,,,,,,,,,,,,,,,,,,,1181643.5
"Aircraft","PREDATOR UAV",880,1359213,199972,,674917,,,,,,,,,,,,,,,,,,,,
"Aircraft","PRV",1328,,,,,,,,,,,,2900,,,,,,,,,,,,
"Aircraft","REPAIR SHIP AIRCRAFT",1270,70000,,13740,654479,,,,,,,,,,,,,,,,,,,,
"Aircraft","ROCKET LAUNCHER LAU-10",826,,406696,4188995,655277,,,,,,,,,,,,,,,,,,,,
"Aircraft","S-2 TRACKER",779,,2528800,3799665,2793641,,,,,,,,,,,,,,,,,,,,
"Aircraft","S-3 VIKING",781,54036297,49058265,63968311,41503181,,,,,,,,,,,,,-85960,,,,,,,
"Aircraft","S-3A",1317,,,,,,,,1744192.5588,-220,97467.4219,,,,,,,,,,,,,,
"Aircraft","S-61R",758,84648,,,105959,,,,,,,,,,,,,,,,,,,,
"Aircraft","SCOUT",85,,,,,,,,,,,360.6,,,,,,,,,,,,,
"Aircraft","SCOUT ASH",115,,,,4179190,,,,,,,,,,,,,,,,,,,,
"Aircraft","SH-3D SEA KING",749,32331199,9293840,56641025,12764191,,,,,,,155156.1094,,,,,,,,,,,,,
"Aircraft","SH-60 SEAHAWK",1903,331861714,380909001,399936660,460207449,42984000,24591122,2576334,,-61175,,215666,,0,,,,,,,,,,,
"Aircraft","SHILLELAGH MISSILE",1373,,,,,,,,,,4123840.5,758307.0625,,,,,,,,,,,,,
"Aircraft","SRAM",1338,,,,,,,,,,,286641,,,,,,,,,,,,,
"Aircraft","T-2 BUCKEYE",789,34350125,11190881,1664170,32039960,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-34 MENTOR",791,75239866,73919336,98684351,122439075,2663825,,,,-2865323.0352,,,,,,,,,,,,,,,
"Aircraft","T-39 SABRELINER",783,,,2490722,35193819,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-44",785,-2046339,4324238,692529,240550,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-45 GOSHAWK",792,-1983057,5885666,22464073,9542418,,,,,,,23384.7402,,,,,,,,,,,,,
"Aircraft","T-45TS",651,133741883,334540702,132052043,323323613,330833112.6802,342766565,250442459.4805,365518151.1016,71192000.1426,78264108.4307,52213649.1039,30637022.0527,31638842.92,113094565.25,128453082.63,4748803.7788,-10968062,5113307,0,-0.02,0,0,,
"Aircraft","T-46A",637,,,,,,,,,0,,,,,,,,,,,,,,,
"Aircraft","T-56",818,35406351,75004925,20283401,84158344,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-58",819,39226984,20067064,45275760,30766162,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-64",134,24930157,14866400,19061165,60519759,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-700",136,,,,4464400,,,,,,,,,,,,,,,,,,,,
"Aircraft","TA-4 SKYHAWK",787,65241,,1209518,78052,,,,,,,,,,,,,,,,,,,,
"Aircraft","TACTICAL UAV",677,,,,,,,1656650,2625617.3125,25860200.0586,10108731.6485,1485046.6793,191889.8164,40574720,16634890.35,9507168.84,-58.41,,,,,,,,
"Aircraft","TF-30",815,4327832,16365628,22007101,14597354,,,,,,,,,,,,,,,,,,,,
"Aircraft","TF-34",816,27476445,19823710,40343834,30397045,,,,,,,,,,,,,,,,,,,,
"Aircraft","TURBOFAN ENGINES",817,8019970,2251440,34485283,47495980,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-1 IROQUOIS",1897,24237332,4413175,511945,60207,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-2",2149,4300403,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-2 SEASPRITE",748,152657,730085,505110,7037010,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-3H",770,3999892,10480333,11882830,572407,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-60 BLACKHAWK UTTAS",111,,,,55434,,,,,,,,,,,,,,,,,,,,
"Aircraft","V22",624,,,,,217356961,1283300356,1206031696,1982775910.3563,2881445293.0703,2901872805.5129,2996962205.844,2929628105.0959,3033399535.8637,2131176881.66,2172473854.3606,2136690968.9848,2253765097.3908,2336754788.7573,2272881942.6257,1681481548.1261,1734507955.2376,1920098432.6064,1398160121.2844,681632602.168
"Aircraft","V22 VERTICAL LIFT AIRCRAF",1911,107712980,191902553,374110032,407620154,26066412,-79121,2739267,2395295,0,3234767.625,1778353.5625,765458,-330801.8301,,971453,,0,,,,,,,
"Aircraft","VH-3D EXECUTIVE HELICOPTE",772,6285426,37764202,1599582,8795273,,,,,,,,,,,,,,,,,,,,
"Aircraft","VH-71",1384,,,,,,444700000,629200000,398557282,116429627,542002704,69768260,53396892,,,,,,,,,,,,
"Aircraft","VH-80N EXECUTIVE HELICOPT",773,831068,117706,-37140,,,,,,,,,,,,,,,,,,,,,
"Aircraft","VSX ACFT REPLACE S-2E",780,,121469,68672,,,,,,,,,,,,,,,,,,,,,
"Aircraft","VTUAV",660,15886701,8447616,36881568,18714602,,7380121,14621783,38384689,57946203,52790686.5,35904434,69911794.125,115687927,30826848,1547748,5160205.3272,14875630.4903,53563950.336,69971033.6133,37619736.8125,77535188.2431,41720998.75,28956686.2263,14678899.8833
"Aircraft","X-31",797,,27696,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","ZBL",2015,,,,,74868874,85018452,291164451.8125,82095291.8398,303069349.5273,254574280.7266,568436557.4785,142906977.439,119320609.6485,566355410.5913,400391560.02,232673944.9075,30510028.5625,39238040.625,34149001.5,32554374,23473350.1875,-1205964.75,0,
"Aircraft",,,3931457877,3342453606.6894,4861028889.7277,8138149869.9454,11770299844.1456,9434981515.2327,9937469827.8181,9747393371.949,9871904878.9499,9978585098.8595,7768906220.963,7454388289.8926,7651454559.1051,7548253566.6181,5952058611.9099,6699003025.5368,7462625052.1912,8061045103.2855,9260309408.8488,12437390301.1885,11597597805.1248,10662770295.2501,8387574755.9764,5364786818.2916
"Electronics, Comms, & Sensors","****AFX",1896,3884335,6518319,130387828,29835948,-3650000,,,,,,244684,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","2GFM",1010,,248435,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","404L TRAFF CNTRL & LAND S",1708,596561,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","407L TACTICAL AIR CONTROL",1707,,49005,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","483",2049,,,,,,,,,,,,,,,,,,3191100.7208,,,,,,
"Electronics, Comms, & Sensors","5./54 MK-41 PROJECTILE",917,,123965,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","A/EA-3 SKYWARRIOR",709,,,35000,43860,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","ACS",1365,,,,,45667516,181767229,70639249,88321290,155960155,84694653.1953,129462173,78719850.5901,46278229,36550070.7,933811,,,,,,,,,
