"assistance_award_unique_key","recipient_name","transaction_count","cfda_num","cfda_title","assistance_type_code","assistance_type_description","prime_award_base_transaction_description","period_of_performance_start_date","initial_period_of_performance_current_end_date","original_loan_subsidy_cost","face_value_of_loan","non_federal_funding_amount","indirect_cost_federal_share_amount","max_last_modified_date","award_id_fain","award_id_uri","sai_number","federal_action_obligation","total_obligated_amount","total_non_federal_funding_amount","total_face_value_of_loan","total_loan_subsidy_cost","action_date","Fiscal_Year","period_of_performance_current_end_date","awarding_agency_code","awarding_agency_name","awarding_sub_agency_code","awarding_sub_agency_name","awarding_office_code","awarding_office_name","funding_agency_code","funding_sub_agency_code","funding_sub_agency_name","funding_office_code","funding_office_name","recipient_uei","recipient_duns","recipient_name_raw","recipient_parent_uei","recipient_parent_duns","recipient_parent_name","recipient_parent_name_raw","recipient_country_code","recipient_country_name","recipient_address_line_1","recipient_address_line_2","recipient_city_code","recipient_city_name","prime_award_transaction_recipient_county_fips_code","recipient_county_name","prime_award_transaction_recipient_state_fips_code","recipient_state_code","recipient_state_name","recipient_zip_code","recipient_zip_last_4_code","prime_award_transaction_recipient_cd_original","prime_award_transaction_recipient_cd_current","primary_place_of_performance_scope","primary_place_of_performance_country_code","primary_place_of_performance_country_name","primary_place_of_performance_code","primary_place_of_performance_city_name","prime_award_transaction_place_of_performance_county_fips_code","primary_place_of_performance_county_name","prime_award_transaction_place_of_performance_state_fips_code","primary_place_of_performance_state_name","primary_place_of_performance_zip_4","prime_award_transaction_place_of_performance_cd_original","prime_award_transaction_place_of_performance_cd_current","cfda_number","transaction_description","business_funds_indicator_code","business_funds_indicator_description","business_types_code","business_types_description","correction_delete_indicator_code","correction_delete_indicator_description","action_type_code","action_type_description","record_type_code","record_type_description","usaspending_permalink","last_modified_date","USAspending_file_name"
"ASST_NON_DELP0000015_8900","AES ES WESTOVER, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","AES ES WESTOVER, LLC","2010-12-22","2015-12-21",0,0,0,0,"2014-10-02","DELP0000015",NA,"SAI NOT AVAILABLE",0,0,0,0,0,15324,2012,"2015-12-21","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LMEKHZX68J83","961573883","AES ES WESTOVER, LLC",NA,NA,NA,NA,NA,NA,"4300 WILSON BLVD",NA,"82080","VIRGINIA HEIGHTS","5113.0","ARLINGTON","51","VA","VIRGINIA","22203","4168","VA-08","VA-08","SINGLE ZIP CODE",NA,NA,"5190072","ARLINGTON",NA,NA,"51","VIRGINIA","222034168","VA-08",NA,"81.126000000000005","AES ES WESTOVER, LLC","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000015_8900/","2014-10-02","FY2012_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000019_8900","GREAT BASIN TRANSMISSION SOUTH LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","GREAT BASIN TRANSMISSION SOUTH, LLC LOAN NUMBER 1113","2011-01-28","2045-01-27",5025704,324239000,0,0,"2019-02-19","DELP0000019",NA,"SAI NOT AVAILABLE",0,0,0,324239000,5025704,17844,2019,"2045-01-27","089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","X9JASVE9FEA3","965966182","GREAT BASIN TRANSMISSION SOUTH, LLC",NA,NA,NA,NA,"USA","UNITED STATES","400 CHESTERFIELD CENTER","SUITE 110","13600","CHESTERFIELD","29189","ST. LOUIS","29","MO","MISSOURI","63017","4880","MO-02","MO-02","Single ZIP Code","USA","UNITED STATES","MO13600","CHESTERFIELD","29189","ST. LOUIS","29","MISSOURI","63017-4880","MO-02","MO-02","81.126000000000005","TAS::89 0209::TAS
GREAT BASIN TRANSMISSION SOUTH, LLC LOAN NUMBER 1113. MOD 002-CORRECTION OF ISSUING, ADMINISTRATION AND SPONSORING OFFICES.","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"C","REVISION","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000019_8900/","2019-02-19","FY2019_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000020_8900","USG OREGON LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","USG OREGON LLC LOAN NUMBER 1052","2011-01-12","2041-01-11",7219622,93761327,0,0,"2018-09-14","DELP0000020",NA,"SAI NOT AVAILABLE, S",0,0,0,93761327,7219622,17773,2018,"2041-01-11","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"MVLCPMN44LK9","832892736","USG OREGON LLC","RNUAHLGRBK64","106716058","U.S. GEOTHERMAL INC.","U.S. GEOTHERMAL INC.","USA","UNITED STATES","1505 TYRELL LN",NA,"08700","BOISE","16001","ADA","16","ID","IDAHO","83706","4046","ID-02","ID-02","Single ZIP Code","USA","UNITED STATES","ID08830","BOISE","16001","ADA","16","IDAHO","83706-4046","ID-02","ID-02","81.126000000000005","TAS::89 0209::TAS
USG OREGON LLC LOAN NUMBER 1052. MOD 002-CORRECTION OF ISSUING, ADMINISTRATION AND SPONSORING OFFICES.","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"C","REVISION","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000020_8900/","2018-09-14","FY2018_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000024_8900","SOLAR PARTNERS I, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4576::TAS  SOLAR PARTNERS I, LLC LOAN 1059","2011-04-05","2045-04-04",114261014,513763552,0,0,"2018-08-02","DELP0000024",NA,"SAI NOT AVAILABLE",NA,0,0,513763552,114261014,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"NB4KAL1D1FF3","798917154","SOLAR PARTNERS I, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALAMEDA","06","CA","CALIFORNIA","94612","3520",NA,"CA-12",NA,NA,NA,NA,NA,"06001","ALAMEDA","06","CALIFORNIA",NA,NA,"CA-90","81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000024_8900/",NA,NA
"ASST_NON_DELP0000025_8900","SOLAR PARTNERS II, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4576::TAS  SOLAR PARTNERS II, LLC LOAN 1009","2011-04-05","2016-04-04",107009354,485964370,0,0,"2018-08-02","DELP0000025",NA,"SAI NOT AVAILABLE",0,0,0,485964370,107009354,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"H7PJP9AK7QP2","966632510","SOLAR PARTNERS II, LLC",NA,NA,NA,NA,NA,NA,NA,NA,"53000","OAKLAND",NA,"ALAMEDA","06","CA","CALIFORNIA","94612","3520",NA,"CA-12",NA,NA,NA,NA,"OAKLAND",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000025_8900/",NA,NA
"ASST_NON_DELP0000026_8900","SOLAR PARTNERS VIII, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","TAS::89 4576::TAS
SOLAR PARTNERS VIII, LLC LOAN 1109
MOD 1 CHANGING THE POP","2011-04-05","2045-04-04",115153568,509529063,0,0,"2018-08-02","DELP0000026",NA,"SAI  NOT AVAILABLE",0,0,0,509529063,115153568,17724,2018,"2045-04-04","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"JF3JFS5N2B87","798917246","SOLAR PARTNERS VIII, LLC",NA,NA,NA,NA,"USA","UNITED STATES","1999 HARRISON ST, #2150","OAKLAND","53000","OAKLAND","06001","ALAMEDA","06","CA","CALIFORNIA","94612","0001","CA-25","CA-12","County-wide","USA","UNITED STATES","CA**071",NA,"06071","SAN BERNARDINO","06","CALIFORNIA",NA,"CA-25","CA-90","81.126000000000005","TAS::89 4576::TAS
SOLAR PARTNERS VIII, LLC LOAN 1109
MOD 1 CHANGING THE POP","NON","NOT RECOVERY ACT","X","OTHER",NA,NA,"C","REVISION","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000026_8900/","2018-08-02","FY2018_089_Assistance_Full_20230909_1.csv"
"ASST_NON_DELP0000029_8900","SEVERSTAL DEARBORN LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008","2011-07-12","2016-07-11",0,0,0,0,"2015-02-20","DELP0000029",NA,"SAI NOT AVAILABLE",0,0,0,0,0,NA,NA,"2016-07-11","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"QCCUQ3YGQ243","142299051","SEVERSTAL DEARBORN LLC","ER3JHDCB9XL7","645166489","SEVERSTAL OAO",NA,NA,NA,NA,NA,"21000","DEARBORN","26163.0","WAYNE","26","MI","MICHIGAN","48120",NA,"MI-14","MI-12",NA,NA,NA,"26**163",NA,"26163",NA,"26","MICHIGAN",NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000029_8900/",NA,NA
"ASST_NON_DELP0000035_8900","AGUA CALIENTE SOLAR, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4576::TAS  AGUA CALIENTE SOLAR, LLC  LOAN NUMBER 1170","2011-08-04","2016-08-03",71654700,9.67e+08,0,0,"2017-07-05","DELP0000035",NA,"SAI NOT AVAILABLE",0,0,0,9.67e+08,71654700,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"Q7BZPFSS6LK2","832747971","AGUA CALIENTE SOLAR, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000035_8900/",NA,NA
"ASST_NON_DELP0000036_8900","RECORD HILL WIND LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"RECORD HILL WIND, LLC LOAN NUMBER 1217","2011-08-04","2016-08-03",1167250,1.015e+09,0,0,"2017-07-05","DELP0000036",NA,"SAI NOT AVAILABLE",0,0,0,1.015e+09,1167250,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"CAZZCJCGX8M8","832720002","RECORD HILL WIND LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW HAMPSHIRE","03768","3308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000036_8900/",NA,NA
"ASST_NON_DELP0000038_8900","SOLOPOWER, INC.",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 0209::TAS  SOLOPOWER, INC., LOAN NUMBER 1049","2011-08-18","2016-08-17",64742300,184978000,0,0,"2015-02-20","DELP0000038",NA,"SAI NOT AVAILABLE",0,0,0,184978000,64742300,15204,2011,"2016-08-17","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"H69MCD1HNMP1","614756463","SOLOPOWER, INC.",NA,NA,NA,NA,NA,NA,NA,NA,"68000","SAN JOSE","0685.0","SANTA CLARA","06","CA","CALIFORNIA","95138","1400","CA-16","CA-19","SINGLE ZIP CODE",NA,NA,"0668000","SAN JOSE",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000038_8900/",NA,"FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000039_8900","GENESIS SOLAR, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","GENESIS SOLAR, LLC LOAN NUMBER F1017","2011-08-25","2016-08-24",27126000,8.52e+08,0,0,"2015-02-20","DELP0000039",NA,"SAI NOT AVAILABLE",0,0,0,8.52e+08,27126000,15211,2011,"2016-08-24","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LGSANM6QLLJ1","831589200","GENESIS SOLAR, LLC","HEBKU317L6L8","122723174","NEXTERA ENERGY, INC.",NA,NA,NA,"700 UNIVERSE BLVD",NA,"07218","BLYTHE","0665.0","RIVERSIDE","06","CA","FLORIDA","33408","2657","CA-45","CA-21","SINGLE ZIP CODE",NA,NA,"0607218","BLYTHE",NA,NA,"06","CALIFORNIA","92225","CA-45",NA,"81.126000000000005","GENESIS SOLAR, LLC LOAN NUMBER F1017","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000039_8900/","2015-02-20","FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000043_8900","CUBICPV INC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0208::TAS  1366 TECHNOLOGIES, INC  LOAN NUMBER 1270","2011-09-01","2016-08-31",78833242,0,0,0,"2018-03-20","DELP0000043",NA,"SAI NOT AVAILABLE",0,0,0,0,78833242,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"PJ8ADGQ1HCP3","800572237","1366 TECHNOLOGIES INC.","PJ8ADGQ1HCP3","800572237","CUBICPV INC","1366 TECHNOLOGIES INC.",NA,NA,NA,NA,NA,NA,NA,"MIDDLESEX","25","MA","MASSACHUSETTS","02421","3102",NA,"MA-05",NA,NA,NA,NA,NA,NA,NA,"25","MASSACHUSETTS",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000043_8900/",NA,NA
"ASST_NON_DELP0000044_8900","KEPCO SOLAR OF ALAMOSA LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0208::TAS  COGENTRIX OF ALAMOSA, LLC LOAN NUMBER 1232","2011-09-02","2016-09-01",26527178,173267004,0,0,"2017-07-05","DELP0000044",NA,"SAI NOT AVAILABLE",0,0,0,173267004,26527178,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"R14DT4NGWU54","961536468","COGENTRIX OF ALAMOSA, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08","COLORADO",NA,"CO-03",NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000044_8900/",NA,NA
"ASST_NON_DELP0000045_8900","FOTOWATIO NEVADA SOLAR",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","FOTOWATIO NEVADA SOLAR, LLC LOAN NUMBER","2011-09-12","2016-09-11",5460600,45600000,0,0,"2015-02-20","DELP0000045",NA,"SAI NOT AVAILABLE",0,0,0,45600000,5460600,15229,2011,"2016-09-11","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"G42KZTSHG5J1","968752290","FOTOWATIO NEVADA SOLAR",NA,NA,NA,NA,NA,NA,"44 MONTGOMERY ST STE 2200",NA,"40000","LAS VEGAS","323.0","CLARK","32","NV","CALIFORNIA","94104","4709","NV-02","NV-11","SINGLE ZIP CODE",NA,NA,"3240000","LAS VEGAS",NA,NA,"32","NEVADA","89165","NV-02",NA,"81.126000000000005","FOTOWATIO NEVADA SOLAR, LLC LOAN NUMBER","NON",NA,"X","OTHER","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000045_8900/","2015-02-20","FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000046_8900","MOJAVE SOLAR LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 0208::TAS  MOJAVE SOLAR LLC LOAN NUMBER 1131","2011-09-12","2016-09-11",323743641,2248220270,0,0,"2019-02-04","DELP0000046",NA,"SAI NOT AVAILABLE",0,0,0,2248220270,323743641,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"L59KEYPUJ3R3","009497361","MOJAVE SOLAR LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINGLE ZIP CODE",NA,NA,NA,"HINKLEY",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000046_8900/",NA,NA
"ASST_NON_DELP0000048_8900","POET-DSM PROJECT LIBERTY, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","POET PROJECT LIBERTY, LLC LOAN NUMBER  1016","2011-09-19","2016-09-18",16164421,103155208,0,0,"2015-02-20","DELP0000048",NA,"SAI NOT AVAILABLE",0,0,0,103155208,16164421,15236,2011,"2016-09-18","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"GXMBULGMJE31","800093358","POET PROJECT LIBERTY, LLC",NA,NA,NA,NA,NA,NA,"4615 NORTH LEWIS AVENUE",NA,"99147","PALO ALTO (COUNTY)","19147.0","PALO ALTO","19","IA","SOUTH DAKOTA","57104","7116","IA-04","IA-00","SINGLE ZIP CODE",NA,NA,"1999147","SIOUX FALLS",NA,NA,"19","IOWA","57104","IA-04",NA,"81.126000000000005","POET PROJECT LIBERTY, LLC LOAN NUMBER  1016","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000048_8900/","2015-02-20","FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000049_8900","OFC 2 LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS  OFC2, LLC LOAN NUMBER F1021","2011-09-19","2016-09-18",56420000,7e+08,0,0,"2015-08-20","DELP0000049",NA,"SAI NOT AVAILABLE",0,0,0,7e+08,56420000,NA,NA,"2016-09-18","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"EY6ZS7MJSX81","968784236","OFC 2 LLC",NA,NA,NA,NA,NA,NA,NA,NA,"99015","LANDER (COUNTY)","3215.0","LANDER","32","NV","NEVADA","89511","1160","NV-02","NV-02",NA,NA,NA,"32**015",NA,"32015",NA,"32","NEVADA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000049_8900/",NA,NA
"ASST_NON_DELP0000050_8900","GRANITE RELIABLE POWER, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS  GRANITE RELIABLE POWER, LLC LOAN NUMBER F1014","2011-09-21","2016-09-20",21877676,337855008,0,0,"2014-10-02","DELP0000050",NA,"SAI NOT AVAILABLE",0,0,0,337855008,21877676,15238,2011,"2016-09-20","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"HFB4PC4KK5N7","968385190","GRANITE RELIABLE POWER, LLC",NA,NA,NA,NA,NA,NA,"200 DONALD LYNCH BLVD STE 300",NA,NA,NA,NA,NA,NA,NA,"MASSACHUSETTS","01752","4707",NA,NA,"SINGLE ZIP CODE",NA,NA,"3319300",NA,NA,NA,"33","NEW HAMPSHIRE",NA,"NH-02",NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000050_8900/",NA,"FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000051_8900","TONOPAH SOLAR ENERGY, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4572::TAS  TONOPAH SOLAR ENERGY, LLC  LOAN NUMBER 1143","2011-09-21","2016-09-20",104871482,692221000,0,0,"2017-07-05","DELP0000051",NA,"SAI NOT AVAILABLE",0,0,0,692221000,104871482,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"ELZLFRBJ2GG6","831822981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANTA MONICA",NA,"LOS ANGELES","06","CA","CALIFORNIA",NA,NA,NA,"CA-36",NA,NA,NA,NA,"SANTA MONICA",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000051_8900/",NA,NA
"ASST_NON_DELP0000052_8900","MESQUITE SOLAR 1, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"MESQUITE SOLAR 1, LLC LOAN NUMBER 1169","2011-09-23","2016-09-22",9808740,330260600,0,0,"2017-07-05","DELP0000052",NA,"SAI  NOT AVAILABLE",0,0,0,330260600,9808740,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"CSVSN33CH5L7","968267257","MESQUITE SOLAR 1, LLC",NA,NA,NA,NA,NA,NA,"101 ASH STREET",NA,NA,NA,NA,NA,NA,NA,"CALIFORNIA","92101","3017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000052_8900/",NA,NA
"ASST_NON_DELP0000054_8900","AV SOLAR RANCH 1 LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 0209::TAS  AV SOLAR RANCH I, LLC LOAN NUMBER 1166","2011-09-27","2016-09-26",48320800,1.292e+09,0,0,"2017-07-05","DELP0000054",NA,"SAI NOT AVAILABLE",0,0,0,1.292e+09,48320800,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"GRWVG3NP66A9","832213339","AV SOLAR RANCH 1, LLC","RQNMMKNVVES8","001807150","EXELON CORPORATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000054_8900/",NA,NA
"ASST_NON_DELP0000055_8900","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC LOAN NUMBER 1209","2011-09-28","2016-09-27",33232212,127375287,0,0,"2014-10-02","DELP0000055",NA,"SAI NOT AVAILABLE",0,0,0,127375287,33232212,15245,2011,"2016-09-27","089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"U19JMDVZ5FK8","782435874","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC",NA,NA,NA,NA,NA,NA,"16150 MAIN CIRCLE DRIVE","SUITE 200, CARE OF: CARL LAFOY","33425","HUGOTON","20189.0","STEVENS","20","KS","MISSOURI","63017","8520","KS-01","KS-02",NA,NA,NA,"20**189","HUGOTON","20189",NA,"20","KANSAS","67951",NA,NA,"81.126000000000005","ABENGOA BIOENERGY BIOMASS OF KANSAS, LLC LOAN NUMBER 1209","NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A",NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000055_8900/","2014-10-02","FY2011_089_Assistance_Full_20230908_1.csv"
"ASST_NON_DELP0000056_8900","DESERT SUNLIGHT 250, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","DESERT SUNLIGHT 250, LLC LOAN NUMBER F1006","2011-09-28","2016-09-27",98627680,1320800000,0,0,"2022-01-31","DELP0000056",NA,NA,0,0,0,1320800000,98627680,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"WV98YJJWD6M6","968694815","DESERT SUNLIGHT 250, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON",NA,"Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000056_8900/",NA,NA
