"project_name","assistance_award_unique_key","recipient_name","transaction_count","cfda_num","cfda_title","assistance_type_code","assistance_type_description","prime_award_base_transaction_description","period_of_performance_start_date","initial_period_of_performance_current_end_date","original_loan_subsidy_cost","face_value_of_loan","non_federal_funding_amount","indirect_cost_federal_share_amount","max_last_modified_date","award_id_fain","award_id_uri","sai_number","federal_action_obligation","total_obligated_amount","total_non_federal_funding_amount","total_face_value_of_loan","total_loan_subsidy_cost","action_date","Fiscal_Year","awarding_agency_code","awarding_agency_name","awarding_sub_agency_code","awarding_sub_agency_name","awarding_office_code","awarding_office_name","funding_agency_code","funding_sub_agency_code","funding_sub_agency_name","funding_office_code","funding_office_name","recipient_uei","recipient_duns","recipient_name_raw","recipient_parent_uei","recipient_parent_duns","recipient_parent_name","recipient_parent_name_raw","recipient_country_code","recipient_country_name","recipient_address_line_1","recipient_address_line_2","recipient_city_code","recipient_city_name","prime_award_transaction_recipient_county_fips_code","recipient_county_name","prime_award_transaction_recipient_state_fips_code","recipient_state_code","recipient_state_name","recipient_zip_code","recipient_zip_last_4_code","prime_award_transaction_recipient_cd_original","prime_award_transaction_recipient_cd_current","primary_place_of_performance_scope","primary_place_of_performance_country_code","primary_place_of_performance_country_name","primary_place_of_performance_code","primary_place_of_performance_city_name","prime_award_transaction_place_of_performance_county_fips_code","primary_place_of_performance_county_name","prime_award_transaction_place_of_performance_state_fips_code","primary_place_of_performance_state_name","primary_place_of_performance_zip_4","prime_award_transaction_place_of_performance_cd_original","prime_award_transaction_place_of_performance_cd_current","cfda_number","transaction_description","business_funds_indicator_code","business_funds_indicator_description","business_types_code","business_types_description","correction_delete_indicator_code","correction_delete_indicator_description","action_type_code","action_type_description","record_type_code","record_type_description","usaspending_permalink","last_modified_date","energy_innovation_category","project_url","Loan_Type","Loan_Amount","Loan_Status","Issuance_Date","Date_Repaid","Project_Statement","GAO_comments"
"California Valley Solar Ranch","ASST_NON_DELP0000060_8900","HIGH PLAINS RANCH II, LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"TAS::89 4589::TAS  HIGH PLAINS RANCH II, LLC LOAN NUMBER 1229","2011-09-29","2016-09-28",697308846,3550452379,0,0,"2018-08-02","DELP0000060",NA,"SAI NOT AVAILABLE",0,0,0,3550452379,697308846,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"FQYVJTAKQ8D3","966692639","HIGH PLAINS RANCH II, LLC",NA,NA,NA,NA,NA,NA,NA,NA,"68000","SAN JOSE",NA,"SANTA CLARA","06","CA","CALIFORNIA","95134","1506",NA,"CA-17",NA,NA,NA,NA,"SAN JOSE",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000060_8900/",NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/lpo/california-valley-solar-ranch","Loan Guarantee","$1,200,000,000","Active","Sep-11","N/A","To boost output, California Valley Solar Ranch uses innovative single-axis trackers and a wireless monitoring and control system.",""
"Crescent Dunes","ASST_NON_DELP0000051_8900","TONOPAH SOLAR ENERGY, LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4572::TAS  TONOPAH SOLAR ENERGY, LLC  LOAN NUMBER 1143","2011-09-21","2016-09-20",104871482,692221000,0,0,"2017-07-05","DELP0000051",NA,"SAI NOT AVAILABLE",0,0,0,692221000,104871482,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"ELZLFRBJ2GG6","831822981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANTA MONICA",NA,"LOS ANGELES","06","CA","CALIFORNIA",NA,NA,NA,"CA-36",NA,NA,NA,NA,"SANTA MONICA",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000051_8900/",NA,"Renewable Energy (Concentrating Solar Power)","https://en.wikipedia.org/wiki/Crescent_Dunes_Solar_Energy_Project","","692,000,000","DISCONTINUED PROJECTS","9/28/2011","N/A","",""
"Desert Sunlight",NA,NA,5,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan",NA,"2011-09-28","2016-09-27",278303680,3722600000,0,0,"2022-01-31",NA,NA,NA,0,0,0,NA,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,NA,NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/lpo/desert-sunlight","Partial Loan Guarantee","1,500,000,000","Active","Sep-11","N/A","y working with 14 commercial lending partners, Desert Sunlight helped pave the way for future utility-scale photovoltaic solar deals.",""
"Ford","ASST_NON_DECF0000058_8900","FORD MOTOR COMPANY",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"FORD MOTOR COMPANY","2009-09-10","2039-09-09",3000186413,5907041570,0,0,"2018-08-02","DECF0000058",NA,"SAI NOT AVAILABLE",NA,0,0,5907041570,3000186413,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"KTKSAXJJUM87","049967672","FORD MOTOR COMPANY",NA,NA,NA,NA,NA,NA,NA,NA,"21000","DEARBORN",NA,"WAYNE","26","MI","MICHIGAN",NA,NA,NA,"MI-12",NA,NA,NA,NA,"DEARBORN",NA,NA,"26","MICHIGAN",NA,NA,NA,NA,NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000058_8900/",NA,"Advanced Vehicles & Components","https://www.energy.gov/lpo/ford","Direct Loan","$5,900,000,000","Repaid","Sep-09","Jun-22","By upgrading 13 facilities across 6 states, Ford was able to meet consumer demand for better fuel efficiency in more than a dozen popular vehicles.",""
"Fotowatio Nevada","ASST_NON_DELP0000045_8900","FOTOWATIO NEVADA SOLAR",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","FOTOWATIO NEVADA SOLAR, LLC LOAN NUMBER","2011-09-12","2016-09-11",5460600,45600000,0,0,"2015-02-20","DELP0000045",NA,"SAI NOT AVAILABLE",0,0,0,45600000,5460600,15229,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"G42KZTSHG5J1","968752290","FOTOWATIO NEVADA SOLAR",NA,NA,NA,NA,NA,NA,"44 MONTGOMERY ST STE 2200",NA,"40000","LAS VEGAS","323.0","CLARK","32","NV","CALIFORNIA","94104","4709","NV-02","NV-11","SINGLE ZIP CODE",NA,NA,"3240000","LAS VEGAS",NA,NA,"32","NEVADA","89165","NV-02",NA,"81.126000000000005","FOTOWATIO NEVADA SOLAR, LLC LOAN NUMBER","NON","Not Recovery Act","X","OTHER","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000045_8900/","2015-02-20","Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/nepa/doeea-1784-fotowatio-nevada-solar-llc-apex-photovoltaic-solar-power-facility-clark-county","","","Unknown","","N/A","",""
"Genesis","ASST_NON_DELP0000039_8900","GENESIS SOLAR, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","GENESIS SOLAR, LLC LOAN NUMBER F1017","2011-08-25","2016-08-24",27126000,8.52e+08,0,0,"2015-02-20","DELP0000039",NA,"SAI NOT AVAILABLE",0,0,0,8.52e+08,27126000,15211,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"LGSANM6QLLJ1","831589200","GENESIS SOLAR, LLC","HEBKU317L6L8","122723174","NEXTERA ENERGY, INC.",NA,NA,NA,"700 UNIVERSE BLVD",NA,"07218","BLYTHE","0665.0","RIVERSIDE","06","CA","FLORIDA","33408","2657","CA-45","CA-21","SINGLE ZIP CODE",NA,NA,"0607218","BLYTHE",NA,NA,"06","CALIFORNIA","92225","CA-45",NA,"81.126000000000005","GENESIS SOLAR, LLC LOAN NUMBER F1017","NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000039_8900/","2015-02-20","Renewable Energy (Concentrating Solar Power)","https://www.energy.gov/lpo/genesis","Partial Loan Guarantee","$852,000,000","Repaid","Aug-11","Dec-19","Using parabolic trough technology, Genesis is one of the largest concentrating solar power projects in the U.S.",""
"Granite Reliable","ASST_NON_DELP0000050_8900","GRANITE RELIABLE POWER, LLC",2,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS  GRANITE RELIABLE POWER, LLC LOAN NUMBER F1014","2011-09-21","2016-09-20",21877676,337855008,0,0,"2014-10-02","DELP0000050",NA,"SAI NOT AVAILABLE",0,0,0,337855008,21877676,15238,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"HFB4PC4KK5N7","968385190","GRANITE RELIABLE POWER, LLC",NA,NA,NA,NA,NA,NA,"200 DONALD LYNCH BLVD STE 300",NA,NA,NA,NA,NA,NA,NA,"MASSACHUSETTS","01752","4707",NA,NA,"SINGLE ZIP CODE",NA,NA,"3319300",NA,NA,NA,"33","NEW HAMPSHIRE",NA,"NH-02",NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000050_8900/",NA,"Renewable Energy (Onshore Wind)","https://www.energy.gov/lpo/granite-reliable","Partial Loan Guarantee","$169,000,000","Repaid","Sep-11","Aug-21","As one of the first U.S. projects to use larger, more efficient turbines, Granite Reliable is a pioneering American wind farm.",""
"Ivanpah",NA,NA,6,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,NA,"2011-04-05","2016-04-04",336423936,1509256985,0,0,"2018-08-02",NA,NA,NA,NA,0,0,NA,NA,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALAMEDA","06","CA","CALIFORNIA","94612",NA,NA,"CA-12",NA,NA,NA,NA,NA,NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,NA,NA,"Renewable Energy (Concentrating Solar Power)","https://www.energy.gov/lpo/ivanpah","Loan Guarantee","$1,600,000,000","Active","Apr-11","N/A","Rising 450 feet above the California desert, Ivanpah is the world's largest concentrating solar power facility.",""
"Kahuku","ASST_NON_DELP0000001_8900","FIRST WIND HOLDINGS LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","FIRST WIND HOLDINGS, LLC","2010-07-23","2011-07-22",0,0,0,0,"2015-02-18","DELP0000001",NA,"SAI NOT APPLICABLE",0,0,0,0,0,14817,2010,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"J5NLEHHHJAZ6","140568861","FIRST WIND HOLDINGS LLC","J5NLEHHHJAZ6","140568861","FIRST WIND HOLDINGS LLC","FIRST WIND HOLDINGS LLC",NA,NA,"85 WELLS AVENUE, SUITE 305",NA,"45560","NEWTON","2517.0","MIDDLESEX","25","MA","MASSACHUSETTS","02459","3215","MA-04","MA-04","SINGLE ZIP CODE",NA,NA,"1517000","KAHUKU",NA,NA,"15","HAWAII","96731","HI-01",NA,"81.126","FIRST WIND HOLDINGS, LLC","REC","Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000001_8900/","2015-02-18","Renewable Energy (Onshore Wind)","https://www.energy.gov/lpo/kahuku","Loan Guarantee","$117,000,000","Repaid","Jul-10","Feb-15","By combining cutting-edge wind turbine generators and a control system, Kahuku brings wind power to the Aloha State's island-based power grid.",""
"Mesquite 1","ASST_NON_DELP0000052_8900","MESQUITE SOLAR 1, LLC",2,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"MESQUITE SOLAR 1, LLC LOAN NUMBER 1169","2011-09-23","2016-09-22",9808740,330260600,0,0,"2017-07-05","DELP0000052",NA,"SAI  NOT AVAILABLE",0,0,0,330260600,9808740,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"CSVSN33CH5L7","968267257","MESQUITE SOLAR 1, LLC",NA,NA,NA,NA,NA,NA,"101 ASH STREET",NA,NA,NA,NA,NA,NA,NA,"CALIFORNIA","92101","3017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000052_8900/",NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.energy.gov/lpo/mesquite-1","Loan Guarantee","$337,000,000","Active","Sep-11","N/A","As one of the first U.S. photovoltaic solar facilities larger than 100 MW, Mesquite 1 helped launch utility-scale solar in America.",""
"Mojave","ASST_NON_DELP0000046_8900","MOJAVE SOLAR LLC",4,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 0208::TAS  MOJAVE SOLAR LLC LOAN NUMBER 1131","2011-09-12","2016-09-11",323743641,2248220270,0,0,"2019-02-04","DELP0000046",NA,"SAI NOT AVAILABLE",0,0,0,2248220270,323743641,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"L59KEYPUJ3R3","009497361","MOJAVE SOLAR LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SINGLE ZIP CODE",NA,NA,NA,"HINKLEY",NA,NA,"06","CALIFORNIA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000046_8900/",NA,"Renewable Energy (Concentrating Solar Power)","https://www.energy.gov/lpo/mojave","Loan Guarantee","$1,200,000,000","Active","Sep-11","N/A","Innovative design enhances proven technologies at Mojave, one of the world's largest parabolic trough concentrating solar power plants.",""
"Nissan","ASST_NON_DECF0000060_8900","NISSAN NORTH AMERICA, INC.",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY",NA,NA,45017250,1447500000,0,0,"2018-04-05","DECF0000060",NA,"SAI NOT AVAILABLE",0,0,0,1447500000,45017250,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"MDHJNMFAJGS5","009602533",NA,"PMMZY68MNTL3","690542212","NISSAN MOTOR CO.,LTD.","NISSAN MOTOR CO.,LTD.",NA,NA,NA,NA,"27740","FRANKLIN",NA,"WILLIAMSON","47","TN","TENNESSEE",NA,NA,"TN-07","TN-07",NA,NA,NA,NA,NA,NA,NA,"47","TENNESSEE",NA,NA,NA,NA,NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DECF0000060_8900/",NA,"Advanced Vehicles & Components","https://www.energy.gov/lpo/nissan","Direct Loan","$1,450,000,000","Repaid","Jan-10","Sep-17","A new advanced battery manufacturing plant and facility upgrades allowed Nissan to manufacture the all-electric LEAF for America, in America.",""
"One Nevada Line","ASST_NON_DELP0000019_8900","GREAT BASIN TRANSMISSION SOUTH LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","GREAT BASIN TRANSMISSION SOUTH, LLC LOAN NUMBER 1113","2011-01-28","2045-01-27",5025704,324239000,0,0,"2019-02-19","DELP0000019",NA,"SAI NOT AVAILABLE",0,0,0,324239000,5025704,17844,2019,"089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","X9JASVE9FEA3","965966182","GREAT BASIN TRANSMISSION SOUTH, LLC",NA,NA,NA,NA,"USA","UNITED STATES","400 CHESTERFIELD CENTER","SUITE 110","13600","CHESTERFIELD","29189","ST. LOUIS","29","MO","MISSOURI","63017","4880","MO-02","MO-02","Single ZIP Code","USA","UNITED STATES","MO13600","CHESTERFIELD","29189","ST. LOUIS","29","MISSOURI","63017-4880","MO-02","MO-02","81.126000000000005","TAS::89 0209::TAS
GREAT BASIN TRANSMISSION SOUTH, LLC LOAN NUMBER 1113. MOD 002-CORRECTION OF ISSUING, ADMINISTRATION AND SPONSORING OFFICES.","NON","Not Recovery Act","X","OTHER",NA,NA,"C","Revision","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000019_8900/","2019-02-19","Transmission","https://www.energy.gov/lpo/one-nevada-line","Loan TypeLoan Guarantee","$343,000,000","Active","Feb-11","N/A","Using advanced electric transmission towers, One Nevada Line improves grid reliability and delivers renewable electricity to high demand areas.",""
"Ormat Nevada","ASST_NON_DELP0000049_8900","OFC 2 LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 4576::TAS  OFC2, LLC LOAN NUMBER F1021","2011-09-19","2016-09-18",56420000,7e+08,0,0,"2015-08-20","DELP0000049",NA,"SAI NOT AVAILABLE",0,0,0,7e+08,56420000,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"EY6ZS7MJSX81","968784236","OFC 2 LLC",NA,NA,NA,NA,NA,NA,NA,NA,"99015","LANDER (COUNTY)","3215.0","LANDER","32","NV","NEVADA","89511","1160","NV-02","NV-02",NA,NA,NA,"32**015",NA,"32015",NA,"32","NEVADA",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000049_8900/",NA,"Renewable Energy (Geothermal)","https://www.energy.gov/lpo/ormat-nevada","Partial Loan Guarantee","$350,000,000","Active","Sep-11","N/A","With 3 facilities across the state, Ormat Nevada increases Nevada's clean power capacity by tapping into a vast underground geothermal reservoir.",""
"POET Project Liberty, LLC","ASST_NON_DELP0000048_8900","POET-DSM PROJECT LIBERTY, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","POET PROJECT LIBERTY, LLC LOAN NUMBER  1016","2011-09-19","2016-09-18",16164421,103155208,0,0,"2015-02-20","DELP0000048",NA,"SAI NOT AVAILABLE",0,0,0,103155208,16164421,15236,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"GXMBULGMJE31","800093358","POET PROJECT LIBERTY, LLC",NA,NA,NA,NA,NA,NA,"4615 NORTH LEWIS AVENUE",NA,"99147","PALO ALTO (COUNTY)","19147.0","PALO ALTO","19","IA","SOUTH DAKOTA","57104","7116","IA-04","IA-00","SINGLE ZIP CODE",NA,NA,"1999147","SIOUX FALLS",NA,NA,"19","IOWA","57104","IA-04",NA,"81.126000000000005","POET PROJECT LIBERTY, LLC LOAN NUMBER  1016","NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)","L",NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000048_8900/","2015-02-20","Biofuels","https://www.energy.gov/eere/bioenergy/poet-dsm-project-liberty","","1,030,000,000","PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT","9/23/2011","N/A","","Withdrew prior to drawing funds"
"ProSun Project Company, LLC (Project AMP)","ASST_NON_DELP0000059_8900","PROSUN PROJECT COMPANY, LLC",2,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",8,"Guaranteed/Insured Loan","TAS::89 0209::TAS  PROSUN PROJECT COMPANY LOAN F1029","2011-09-28","2016-09-27",204960000,1.4e+09,0,0,"2015-02-20","DELP0000059",NA,"SAI NOT AVAILABLE",0,0,0,1.4e+09,204960000,15245,2011,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"NEAAN5FHQFJ1","968958392","PROSUN PROJECT COMPANY, LLC",NA,NA,NA,NA,NA,NA,"4545 AIRPORT WAY",NA,"20000","DENVER","0831.0","DENVER","08","CO","COLORADO","80239","5716","CO-01","CO-01",NA,NA,NA,"08**031",NA,"08031",NA,"08","COLORADO",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,"A","NEW Assistance Award","2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000059_8900/",NA,"Renewable Energy (Utility-Scale PV Solar)","https://www.gao.gov/assets/gao-14-645t.pdf","","1,400,000,000","PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT","9/30/2011","N/A","","Deobligated prior to drawing funds"
"Record Hill","ASST_NON_DELP0000036_8900","RECORD HILL WIND LLC",2,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",NA,NA,"RECORD HILL WIND, LLC LOAN NUMBER 1217","2011-08-04","2016-08-03",1167250,1.015e+09,0,0,"2017-07-05","DELP0000036",NA,"SAI NOT AVAILABLE",0,0,0,1.015e+09,1167250,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"CAZZCJCGX8M8","832720002","RECORD HILL WIND LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW HAMPSHIRE","03768","3308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act",NA,NA,NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000036_8900/",NA,"Renewable Energy (Onshore Wind)","https://www.energy.gov/lpo/record-hill","Loan Guarantee","$102,000,000","Active","Aug-11","N/A","Robust turbine technologies at Record Hill allow more power output during extreme weather conditions than conventional wind energy technology.",""
"Sevestal Dearborn","ASST_NON_DELP0000029_8900","SEVERSTAL DEARBORN LLC",3,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008","2011-07-12","2016-07-11",0,0,0,0,"2015-02-20","DELP0000029",NA,"SAI NOT AVAILABLE",0,0,0,0,0,NA,NA,"089","Department of Energy","8900.0","Department of Energy",NA,NA,NA,NA,NA,NA,NA,"QCCUQ3YGQ243","142299051","SEVERSTAL DEARBORN LLC","ER3JHDCB9XL7","645166489","SEVERSTAL OAO",NA,NA,NA,NA,NA,"21000","DEARBORN","26163.0","WAYNE","26","MI","MICHIGAN","48120",NA,"MI-14","MI-12",NA,NA,NA,"26**163",NA,"26163",NA,"26","MICHIGAN",NA,NA,NA,"81.126000000000005",NA,"NON","Not Recovery Act","Q","FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS)",NA,NA,NA,NA,"2.0",NA,"https://www.usaspending.gov/award/ASST_NON_DELP0000029_8900/",NA,"Advanced Vehicles & Components","https://www.energy.gov/articles/department-energy-offers-severstal-dearborn-llc-730-million-conditional-loan-commitment","","","Unknown","","N/A","",""
"Shepherds Flat","ASST_NON_DELP0000013_8900","CAITHNESS SHEPHERDS FLAT, LLC",1,"81.126","FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES",7,"Direct Loan","CAITHNESS SHEPHERDS FLAT, LLC LOAN","2010-12-16","2040-12-15",38662668,1314205000,0,0,"2019-02-04","DELP0000013",NA,"NO SAI AVAILABLE",0,0,0,1314205000,38662668,17927,2019,"089","Department of Energy","8900.0","Department of Energy","893030.0","HEADQUARTERS PROCUREMENT SERVICES","089","8900.0","Department of Energy","894009.0","LOAN PROGRAMS OFFICE","DBQCBJALZ9B5","781099986","CAITHNESS SHEPHERDS FLAT",NA,NA,NA,NA,"USA","UNITED STATES","C/O CAITHNESS CORPORATION","565 5TH AVE., 29TH FLOOR","51000","NEW YORK","36061","NEW YORK","36","NY","NEW YORK","10017","2413","NY-14","NY-12","County-wide","USA","UNITED STATES","OR**021",NA,"41021","GILLIAM","41","OREGON",NA,"OR-02","OR-02","81.126000000000005","CHANGING POP OF STRIPES DOCUMENT","NON","Not Recovery Act","X","OTHER",NA,NA,"C","Revision","2.0","NON-AGGREGATE RECORD","https://www.usaspending.gov/award/ASST_NON_DELP0000013_8900/","2019-02-04","Renewable Energy (Onshore Wind)","https://www.energy.gov/lpo/shepherds-flat","Partial Loan Guarantee","$1,300,000,000","Active","Dec-10","N/A","Spanning two counties of working heritage ranch land in eastern Oregon, Shepherds Flat is one of the world's largest wind farms.",""
