"PROGRAM","BUSINESS_STATE","BUSINESS_COUNTY","BUSINESS_CITY","BUSINESS_ZIP","RURAL","URBAN","SBA_DISTRICT_OFFICE","CONGRESSIONAL_DISTRICT","PROJECT_NAICS","BUSINESS_NAICS","BUSINESS_STARTED","QUICK_BOND","BUSINESS_8A","BUSINESS_HUBZONE","PRINCIPAL_1_VETERAN","PRINCIPAL_1_GENDER","PRINCIPAL_1_RACE","PRINCIPAL_1_HISPANIC","PRINCIPAL_2_VETERAN","PRINCIPAL_2_GENDER","PRINCIPAL_2_RACE","PRINCIPAL_2_HISPANIC","PRINCIPAL_3_VETERAN","PRINCIPAL_3_GENDER","PRINCIPAL_3_RACE","PRINCIPAL_3_HISPANIC","PRINCIPAL_4_VETERAN","PRINCIPAL_4_GENDER","PRINCIPAL_4_RACE","PRINCIPAL_4_HISPANIC","PRINCIPAL_5_VETERAN","PRINCIPAL_5_GENDER","PRINCIPAL_5_RACE","PRINCIPAL_5_HISPANIC","LARGEST_CONTRACT_Then_Year","PROJECT_START_DATE","PROJECT_END_DATE","PROJECT_NAICS_TEXT","PROJECT_STATE","PROJECT_COUNTY","PROJECT_ZIP","OBLIGEE_TYPE","APPLICANT_CATEGORY","PERCENT_SUBCONTRACT","CONTRACTOR_JOB_STARTED","GUARANTY_PERCENT","INSTANCE_NUMBER","INSTANCE_TYPE","INSTANCE_DATE","INSTANCE_CONTRACT_AMOUNT","BOND_STATUS","BOND_TYPE","JOB_RETAINED","JOB_CREATED","BOND_DECISION","BOND_LINE","ProjectStartYear","count","AnyTag","ProjectStartFiscalYear","LARGEST_CONTRACT_OMB24_GDP22","CriticalTech"
"SBG","VA","FAIRFAX","GREAT FALLS",22066,"Yes","No",353,10,541512,541512,"5/9/2001","No","Yes","No","Non-Veteran","Male","Black","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545347,2011-01-24,"7/24/2011","Computer Systems Design Services","DC","DISTRICT OF COLUMBIA",20036,"Federal","Prime",0,"No",90,0,"Original","2/2/2011",743271,"Active","FINAL",1,1,"Approve","No",2011,1,TRUE,2011,699343.662714649,"Computing"
"PSB","CA","SAN DIEGO","ENCINITAS",92024,"No","Yes",954,49,221111,236220,"3/29/1989","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CA","LOS ANGELES",90012,"Local","Prime",NA,"No",70,0,"Original","2/14/2011",950000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"SBG","PA","YORK","SEVEN VALLEYS",17360,"Yes","No",303,11,541711,541711,"1/1/2002","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,2011-02-15,"6/1/2011","Research and Development in Biotechnology","PA","PHILADELPHIA",19102,"Private","SubContractor",2,"No",80,0,"Original","2/18/2011",526267,"Closed","FINAL",12,0,"Approve","No",2011,1,TRUE,2011,1538859.46976435,"Biotechnology"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","NE","DAWSON",68850,"Local","Prime",NA,"No",70,0,"Original","2/28/2011",275000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","NE","YORK",68467,"Local","Prime",NA,"No",70,0,"Original","3/1/2011",475000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"SBG","VA","FAIRFAX","GREAT FALLS",22066,"Yes","No",353,10,541512,541512,"5/9/2001","No","Yes","No","Non-Veteran","Male","Black","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545347,2011-01-24,"7/24/2011","Computer Systems Design Services","DC","DISTRICT OF COLUMBIA",20036,"Federal","Prime",0,"No",90,1,"Increase","3/4/2011",743271,"Active","FINAL",1,1,"Approve","No",2011,1,TRUE,2011,699343.662714649,"Computing"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-01,"11/1/2011","Hydroelectric Power Generation","CO","MESA",81502,"Local","Prime",NA,"No",70,0,"Original","3/8/2011",315000,"Active","BID",0,0,"Approve","No",2011,1,TRUE,2011,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","NE","PLATTE",68602,"Local","Prime",NA,"No",70,0,"Original","3/11/2011",1600000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CO","LARIMER",80539,"Federal","Prime",NA,"No",70,1,"Increase","3/23/2011",1400000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CO","LARIMER",80539,"Federal","Prime",NA,"No",70,0,"Original","3/23/2011",1100000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CO","LARIMER",80539,"Federal","Prime",NA,"No",70,2,"Decrease","3/28/2011",1400000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","NE","BURT",68061,"Local","Prime",NA,"No",70,0,"Original","3/28/2011",350000,"Cancelled","BID",NA,NA,"Approve","No",NA,1,TRUE,NA,NA,"Renewables"
"SBG","PA","YORK","SEVEN VALLEYS",17360,"Yes","No",303,11,541711,541711,"1/1/2002","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,2011-02-15,"6/1/2011","Research and Development in Biotechnology","PA","PHILADELPHIA",19102,"Private","SubContractor",2,"No",80,1,"Increase","3/29/2011",526267.18,"Closed","FINAL",12,0,"Approve","No",2011,1,TRUE,2011,1538859.46976435,"Biotechnology"
"SBG","PA","LEHIGH","ALLENTOWN",18103,"No","Yes",303,7,541519,541512,"10/18/1954","No","No","No","Unknown/NotStated","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,2011-06-15,"9/30/2011","Other Computer Related Services","PA","BUCKS",18974,"Local","Prime",0,"No",80,0,"Original","5/20/2011",750000,"Cancelled","BID",NA,NA,"Approve","No",2011,1,TRUE,2011,NA,"Computing"
"SBG","CO","ARAPAHOE","Highlands Ranch",80129,"No","Yes",811,6,541512,541512,"4/24/1988","No","No","No","Non-Veteran","Female","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417000,2011-08-22,"11/10/2011","Computer Systems Design Services","HI","KAUAI",96766,"Local","Prime",0,"No",80,0,"Original","8/16/2011",337404.94,"Cancelled","FINAL",2,2,"Approve","No",2011,1,TRUE,2011,1817136.5572134,"Computing"
"SBG","CO","ARAPAHOE","Highlands Ranch",80129,"No","Yes",811,6,541512,541512,"4/24/1988","No","No","No","Non-Veteran","Female","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-15,"1/15/2012","Computer Systems Design Services","IL","LA SALLE",61364,"Local","Prime",5,"No",80,0,"Original","8/26/2011",2e+05,"Cancelled","BID",NA,NA,"Approve","No",2011,1,TRUE,2012,NA,"Computing"
"SBG","FL","ESCAMBIA","PENSACOLA",32505,"No","Yes",491,1,221111,236220,"3/1/1986","No","Yes","Yes","Non-Veteran","Male","Black","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+05,2011-10-30,"3/27/2012","Hydroelectric Power Generation","FL","OKALOOSA",32542,"Federal","Prime",25,"No",90,0,"Original","10/19/2011",156404.18,"Active","FINAL",6,1,"Approve","No",2011,1,TRUE,2012,881509.999831808,"Renewables"
"SBG","CO","ARAPAHOE","Highlands Ranch",80129,"No","Yes",811,6,541512,541512,"4/24/1988","No","No","No","Non-Veteran","Female","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,2011-11-07,"4/5/2012","Computer Systems Design Services","VA","CHESTERFIELD",23832,"State","Prime",5,"No",80,0,"Original","11/7/2011",1624956.11,"Active","FINAL",4,0,"Approve","No",2011,1,TRUE,2012,1763019.99966362,"Computing"
"SBG","CO","ARAPAHOE","Highlands Ranch",80129,"No","Yes",811,6,541512,541512,"4/24/1988","No","No","No","Non-Veteran","Female","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,2011-11-07,"4/5/2012","Computer Systems Design Services","VA","CHESTERFIELD",23832,"State","Prime",5,"No",80,1,"Decrease","3/29/2012",1624956.11,"Active","FINAL",4,0,"Withdraw","No",2011,1,TRUE,2012,1763019.99966362,"Computing"
"SBG","VA","FAIRFAX","GREAT FALLS",22066,"Yes","No",353,10,541512,541512,"5/9/2001","No","Yes","No","Non-Veteran","Male","Black","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e+05,2012-06-01,"8/1/2012","Computer Systems Design Services","DC","DISTRICT OF COLUMBIA",20016,"Federal","Prime",0,"No",90,0,"Original","6/8/2012",127362.59,"Active","FINAL",10,0,"Approve","No",2012,1,TRUE,2012,1007439.99980778,"Computing"
"SBG","FL","SAINT LUCIE","FORT PIERCE",34950,"No","Yes",455,18,334514,238220,"8/17/2009","No","No","No","Service Disabled Veteran","Male","White","No","Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,1324845,2012-08-31,"2/28/2013","Totalizing Fluid Meter and Counting Device Manufacturing","ID","BONNEVILLE",83415,"Federal","Prime",49,"No",90,0,"Original","7/17/2012",1500000,"Cancelled","BID",NA,NA,"Approve","No",2012,1,TRUE,2012,1668377.30818167,"High Technology"
"SBG","FL","SAINT LUCIE","FORT PIERCE",34950,"No","Yes",455,18,334514,238220,"8/17/2009","No","No","No","Service Disabled Veteran","Male","White","No","Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,1324845,2012-08-31,"2/28/2013","Totalizing Fluid Meter and Counting Device Manufacturing","ID","BONNEVILLE",83415,"Federal","Prime",49,"No",82,1,"Increase","7/26/2012",2200000,"Cancelled","BID",NA,NA,"Withdraw","No",2012,1,TRUE,2012,1668377.30818167,"High Technology"
"SBG","CA","LOS ANGELES","WOODLAND HILLS",91364,"No","Yes",914,30,221111,236220,"9/13/2001","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-20,"4/20/2013","Hydroelectric Power Generation","CA","SANTA BARBARA",93101,"Local","Prime",50,"No",80,0,"Original","11/9/2012",1e+06,"Cancelled","BID",NA,NA,"Approve","No",2012,1,TRUE,2013,NA,"Renewables"
"SBG","MI","KENT","WYOMING",49509,"No","Yes",515,2,518210,541512,"5/10/1993","No","No","No","Non-Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875000,2013-04-30,"4/30/2014","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","GA","CHATTAHOOCHEE",31905,"Private","SubContractor",0,"No",80,0,"Original","4/18/2013",451208.12,"Active","FINAL",18,0,"Approve","No",2013,1,TRUE,2013,1082085.33782789,"Computing"
"SBG","MI","KENT","WYOMING",49509,"No","Yes",515,2,518210,541512,"5/10/1993","No","No","No","Non-Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875000,2013-04-30,"4/30/2014","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","GA","CHATTAHOOCHEE",31905,"Private","SubContractor",0,"No",80,1,"Decrease","4/24/2013",451208.12,"Active","FINAL",18,0,"Approve","No",2013,1,TRUE,2013,1082085.33782789,"Computing"
"SBG","FL","OKALOOSA","DESTIN",32541,"No","Yes",491,1,221111,238210,"6/3/1996","No","No","No","Service Disabled Veteran","Male","White","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-09-01,"6/1/2014","Hydroelectric Power Generation","TN","RUTHERFORD",37129,"Federal","Prime",20,"No",90,0,"Original","7/19/2013",250000,"Cancelled","BID",NA,NA,"Approve","No",2013,1,TRUE,2013,NA,"Renewables"
"SBG","SD","LINCOLN","SIOUX FALLS",57108,"No","Yes",876,0,541519,541519,"1/30/2003","No","No","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,2014-04-01,"1/30/2015","Other Computer Related Services","MN","WRIGHT",55313,"Local","Prime",0,"No",80,0,"Original","1/10/2014",850000,"Reinstate","BID",0,1,"Approve","No",2014,1,TRUE,2014,2426396.91765094,"Computing"
"SBG","SD","LINCOLN","SIOUX FALLS",57108,"No","Yes",876,0,541519,541519,"1/30/2003","No","No","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,"3/13/2015","Other Computer Related Services","MN","ITASCA",55744,"Local","Prime",0,"No",80,0,"Original","2/7/2014",5e+05,"Cancelled","BID",NA,NA,"Approve","No",2014,1,TRUE,2014,NA,"Computing"
"SBG","SD","LINCOLN","SIOUX FALLS",57108,"No","Yes",876,0,541519,541519,"1/30/2003","No","No","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,2014-04-01,"1/30/2015","Other Computer Related Services","MN","WRIGHT",55313,"Local","Prime",0,"No",80,1,"Original","8/4/2014",785731,"Reinstate","FINAL",0,1,"Approve","No",2014,1,TRUE,2014,2426396.91765094,"Computing"
"SBG","OH","LORAIN","NORTH RIDGEVILLE",44039,"Yes","No",549,7,541512,541512,"10/16/1997","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435030,2014-09-01,"12/19/2014","Computer Systems Design Services","OH","LORAIN",44089,"Local","Prime",10,"No",80,0,"Original","8/18/2014",825000,"Cancelled","BID",NA,NA,"Approve","No",2014,1,TRUE,2014,527777.725542844,"Computing"
"SBG","OH","LORAIN","NORTH RIDGEVILLE",44039,"Yes","No",549,7,541512,541512,"10/16/1997","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-06,"2/14/2015","Computer Systems Design Services","OH","LORAIN",44011,"Local","Prime",0,"No",80,0,"Original","9/16/2014",8e+05,"Cancelled","BID",NA,NA,"Approve","No",2014,1,TRUE,2015,NA,"Computing"
"SBG","OH","LORAIN","NORTH RIDGEVILLE",44039,"Yes","No",549,7,541512,541512,"10/16/1997","No","No","No","Non-Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-06,"2/14/2015","Computer Systems Design Services","OH","LORAIN",44011,"Local","Prime",0,"No",80,1,"Decrease","9/22/2014",175000,"Cancelled","BID",NA,NA,"Approve","No",2014,1,TRUE,2015,NA,"Computing"
