assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation.x,total_obligated_amount.x,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,federal_action_obligation.y,total_obligated_amount.y,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech
8300_09557895ST1002_-NONE-_31.007_-NONE-,ASST_NON_09557895ST1002_8300,09557895ST1002,NA,NA,SAI EXEMPT,700000,700000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2014-04-23,2014,2014-05-01,2015-05-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M8JFH3G9LC45,062751995,WILLIAMSON ASSOCIATES INC,WILLIAMSON & ASSOCIATES INC.,M8JFH3G9LC45,062751995,WILLIAMSON ASSOCIATES INC,WILLIAMSON ASSOCIATES INC,USA,UNITED STATES,1124 NW 53RD ST,NA,63000,SEATTLE,53033,KING,53,WA,WASHINGTON,98107,3735,WA-07,WA-07,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,5363000,SEATTLE,53033,KING,53,WA,981073735,WA-07,WA-07,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,"EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NON,NA,R,SMALL BUSINESS,NA,NA,B,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09557895ST1002_8300/,2014-06-04,FY2014_083_Assistance_Full_20230909_1.csv,2150000,2150000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8300_09581678ST1001_-NONE-_31.007_-NONE-,ASST_NON_09581678ST1001_8300,09581678ST1001,NA,NA,SAI EXEMPT,450000,450000,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2013-12-08,2014,2014-01-15,2015-02-01,083,Export-Import Bank of the United States,8300.0,Export-Import Bank of the United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F27AZM8TUS35,046020319,GENERAL OCEANICS INC,"GENERAL OCEANICS, INC.",NA,NA,NA,NA,USA,UNITED STATES,1295 NW 163RD ST,NA,45000,MIAMI,12086,MIAMI-DADE,12,FL,FLORIDA,33169,5830,FL-24,FL-24,NA,NA,NA,SINGLE ZIP CODE,USA,UNITED STATES,1245000,MIAMI,12086,MIAMI-DADE,12,FL,331695830,FL-24,FL-24,NA,31.0070,EXPORT - LOAN GUARANTEE/INSURED LOANS,NA,NA,09,NA,"EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","EXPORT INSURANCE COVERED PRODUCTS: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NON,NA,R,SMALL BUSINESS,C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09581678ST1001_8300/,2014-04-25,FY2014_083_Assistance_Full_20230909_1.csv,2150000,2150000,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300_09E3117534410001_09E31175344100012009OCT31_59.016_-NONE-,ASST_NON_09E3117534410001_7300,09E3117534410001,NA,09E31175344100012009OCT31,SAI NOT AVAILABLE,518894,518894,NA,NA,129723,129723,0,0,0,0,NA,NA,NA,NA,NA,2009-10-06,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Z2CYUAYZYVD1,073067931,AMERICAN SOLAR INC,AMERICAN SOLAR  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ANNANDALE,24031,MONTGOMERY,24,MD,VIRGINIA,22003,0000,MD-08,MD-90,NA,NA,NA,NA,USA,UNITED STATES,24**031,HYATTSVILLE,24031,MONTGOMERY,24,MARYLAND,207830000,MD-08,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,W912DR-09-C-0043: RENEWABLE ENERGY ROOF SYSTEM AT ADELPHI LABORATORY CENTER,W912DR-09-C-0043: RENEWABLE ENERGY ROOF SYSTEM AT ADELPHI LABORATORY CENTER,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09E3117534410001_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,518894,518894,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
7300_08E5106246690021_08E51062466900212007OCT5368_59.016_-NONE-,ASST_NON_08E5106246690021_7300,08E5106246690021,NA,08E51062466900212007OCT5369,SAI NOT AVAILABLE,45000,0,NA,NA,5000,0,0,0,0,0,NA,NA,NA,NA,NA,2008-04-09,2008,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRINCE VENTURES  LLC,PRINCE VENTURES  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,DOUGLASVILLE,13121,FULTON,13,GA,GEORGIA,30134,0134,GA-13,GA-90,NA,NA,NA,NA,USA,UNITED STATES,13**121,ATLANTA,13121,FULTON,13,GEORGIA,303320000,GA-05,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,LANDSCAPE RENOVATION AT THE BIOTECHNOLOGY CAMPUS  SOUTHERN BOUNDARY,LANDSCAPE RENOVATION AT THE BIOTECHNOLOGY CAMPUS  SOUTHERN BOUNDARY,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_08E5106246690021_7300/,2010-08-11,FY2008_073_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300_08E5106246690021_08E51062466900212007OCT5369_59.016_-NONE-,ASST_NON_08E5106246690021_7300,08E5106246690021,NA,08E51062466900212007OCT5369,SAI NOT AVAILABLE,-45000,0,NA,NA,-5000,0,0,0,0,0,NA,NA,NA,NA,NA,2008-04-21,2008,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRINCE VENTURES  LLC,PRINCE VENTURES  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,DOUGLASVILLE,13121,FULTON,13,GA,GEORGIA,30134,0134,GA-13,GA-90,NA,NA,NA,NA,USA,UNITED STATES,13**121,ATLANTA,13121,FULTON,13,GEORGIA,303320000,GA-05,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,LANDSCAPE RENOVATION AT THE BIOTECHNOLOGY CAMPUS  SOUTHERN BOUNDARY,LANDSCAPE RENOVATION AT THE BIOTECHNOLOGY CAMPUS  SOUTHERN BOUNDARY,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_08E5106246690021_7300/,2010-08-11,FY2008_073_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300_08E5220501650001_08E52205016500012007OCT5487_59.016_-NONE-,ASST_NON_08E5220501650001_7300,08E5220501650001,NA,08E52205016500012007OCT5487,SAI NOT AVAILABLE,719735,719735,NA,NA,79971,79971,0,0,0,0,NA,NA,NA,NA,NA,2007-10-10,2008,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PMWXGHMMM2N4,125472584,A WASH & ASSOCIATES INC,A. WASH & ASSOCIATES  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,WASHINGTON,11001,DISTRICT OF COLUMBIA,11,DC,DISTRICT OF COLUMBIA,20003,0000,DC-01,DC-98,NA,NA,NA,NA,USA,UNITED STATES,11**001,WASHINGTON,11001,DISTRICT OF COLUMBIA,11,DIST. OF COLUMBIA,203170000,DC-01,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,HIGH TECH FILTRATION SYSTEM INSTALLATION,HIGH TECH FILTRATION SYSTEM INSTALLATION,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_08E5220501650001_7300/,2010-08-11,FY2008_073_Assistance_Full_20230908_1.csv,719735,719735,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300_SBAHQ13G0012_-NONE-_59.058_-NONE-,ASST_NON_SBAHQ13G0012_7300,SBAHQ13G0012,NA,NA,0000000000000,95000,95000,NA,NA,71250,71250,0,0,0,0,NA,NA,NA,NA,NA,2013-09-06,2013,2013-09-30,2014-09-29,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T72NHKM259N3,059007500,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE,T72NHKM259N3,059007500,UNIVERSITY OF DELAWARE,UNIVERSITY OF DELAWARE,NA,NA,210 HULLIHEN HALL,NA,50670,NEWARK,103.0,NEW CASTLE,10,DE,DELAWARE,19716,4602,DE-01,DE-00,NA,NA,NA,SINGLE ZIP CODE,NA,NA,1050670,NEWARK,NA,NA,10,DELAWARE,19716,DE-01,NA,NA,59.058,FEDERAL AND STATE TECHNOLOGY PARTNERSHIP PROGRAM,NA,NA,09,NA,FAST FY 13,FAST FY 13,NON,NA,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_SBAHQ13G0012_7300/,2013-10-17,FY2013_073_Assistance_Full_20230908_1.csv,95000,95000,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300_16E4534809640007_16E45348096400072016AUG119_59.016_-NONE-,ASST_NON_16E4534809640007_7300,16E4534809640007,NA,NA,SAI NOT AVAILABLE,383600,0,NA,NA,164400,164400,0,0,33860.47,0,NA,NA,NA,NA,NA,2016-08-11,2016,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDEEC5GLCGG7,044606949,DIVERSITY CONSTRUCTION GROUP LLC,"DIVERSITY CONSTRUCTION GROUP, LLC",NA,NA,NA,NA,USA,UNITED STATES,531 CORTLAND CIRCLE,NA,00000,CHESHIRE,09009,NEW HAVEN,09,CT,CONNECTICUT,06410,0000,CT-05,CT-05,NA,NA,NA,NA,USA,UNITED STATES,09**009,NA,09009,NEW HAVEN,09,CONNECTICUT,000000000,CT-05,NA,NA,59.016,PREFERRED SURETY BOND,NA,NA,09,NA,BIOTECHNOLOGY LABORATORY RENOVATIONS,BIOTECHNOLOGY LABORATORY RENOVATIONS,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_16E4534809640007_7300/,2016-09-07,FY2016_073_Assistance_Full_20230909_1.csv,383600,0,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DECF0000059_-NONE-_81.126_A000,ASST_NON_DECF0000059_8900,DECF0000059,A000,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009-09-11,2009,2009-09-11,2009-12-19,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBTHGLM2G9D3,148284255,"TESLA, INC.","TESLA MOTORS, INC.",TBTHGLM2G9D3,148284255,"TESLA, INC.","TESLA MOTORS, INC.",NA,NA,3500 DEER CREEK RD,NA,65070,SAN CARLOS,0681.0,SAN MATEO,06,CA,CALIFORNIA,94070,0000,CA-12,CA-15,NA,NA,NA,SINGLE ZIP CODE,NA,NA,0665070,SAN CARLOS,NA,NA,06,CALIFORNIA,940700001,CA-12,NA,NA,81.126,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,"TESLA MOTORS, INC., ATVM DIRECT LOAN AUTHORITY","TESLA MOTORS, INC., ATVM DIRECT LOAN AUTHORITY",NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DECF0000059_8900/,2012-06-22,FY2009_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DECF0000060_-NONE-_81.126_A000,ASST_NON_DECF0000060_8900,DECF0000060,A000,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,0,0,1447500000,45017250,NA,NA,NA,NA,NA,2009-09-11,2009,2009-09-11,2011-03-15,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDHJNMFAJGS5,009602533,"NISSAN NORTH AMERICA, INC.",NISSAN NORTH AMERICA INC.,PMMZY68MNTL3,690542212,"NISSAN MOTOR CO.,LTD.","NISSAN MOTOR CO.,LTD.",NA,NA,ONE NISSAN WAY,NA,27740,FRANKLIN,47187.0,WILLIAMSON,47,TN,TENNESSEE,37067,0000,TN-07,TN-07,NA,NA,NA,SINGLE ZIP CODE,NA,NA,4727740,FRANKLIN,NA,NA,47,TENNESSEE,370640700,TN-07,NA,NA,81.126,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,"NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY","NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY",NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DECF0000060_8900/,2012-06-22,FY2009_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DEFG5209NA29458_-NONE-_81.112_0001,ASST_NON_DEFG5209NA29458_8900,DEFG5209NA29458,0001,NA,SAI EXEMPT,0,224888,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2010-07-02,2010,2010-09-11,2011-09-10,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M746VC6XMNH9,804878247,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,THE RESEARCH FOUNDATION OF STATE UNIVERSITY O,GMZUKXFDJMA9,020657151,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,NA,NA,NA,NA,71608,STONY BROOK,36103.0,SUFFOLK,36,NY,NEW YORK,11794,3362,NA,NY-01,NA,NA,NA,CITY-WIDE,NA,NA,3671608,STONY BROOK,NA,SUFFOLK,36,NEW YORK,NA,NA,NY-01,NA,81.112,STEWARDSHIP SCIENCE GRANT PROGRAM,NA,NA,07,NA,THERMOELASTICITY OF SSP MATERIALS:  AN INTEGRATED ACOUSTIC AND DIFFRACTION STUDY AT HIGH -P AND HIGH - T,THERMOELASTICITY OF SSP MATERIALS:  AN INTEGRATED ACOUSTIC AND DIFFRACTION STUDY AT HIGH -P AND HIGH - T,NON,NA,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,L,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DEFG5209NA29458_8900/,2015-02-18,FY2010_089_Assistance_Full_20230908_1.csv,0,224888,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DECF0000060_-NONE-_81.126_A001,ASST_NON_DECF0000060_8900,DECF0000060,A001,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,0,0,1447500000,45017250,NA,NA,NA,NA,NA,2010-03-15,2010,2009-09-11,2011-03-15,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDHJNMFAJGS5,009602533,"NISSAN NORTH AMERICA, INC.",NISSAN NORTH AMERICA INC.,PMMZY68MNTL3,690542212,"NISSAN MOTOR CO.,LTD.","NISSAN MOTOR CO.,LTD.",NA,NA,ONE NISSAN WAY,NA,27740,FRANKLIN,47187.0,WILLIAMSON,47,TN,TENNESSEE,37067,0000,TN-07,TN-07,NA,NA,NA,SINGLE ZIP CODE,NA,NA,4727740,FRANKLIN,NA,NA,47,TENNESSEE,370640700,TN-07,NA,NA,81.126,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,"NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY","NISSAN NORTH AMERICA INC.,  ADVANCED TECHNOLOGY VEHICLE MANUFACTURING DIRECT LOAN AUTHORITY",NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DECF0000060_8900/,2012-06-22,FY2010_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DELP0000029_-NONE-_81.126_A000,ASST_NON_DELP0000029_8900,DELP0000029,A000,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,2011-07-12,2011,2011-07-12,2016-07-11,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QCCUQ3YGQ243,142299051,SEVERSTAL DEARBORN LLC,SEVERSTAL DEARBORN LLC,ER3JHDCB9XL7,645166489,SEVERSTAL OAO,NA,NA,NA,14661 ROTUNDA DR,NA,21000,DEARBORN,26163.0,WAYNE,26,MI,MICHIGAN,48120,0000,MI-14,MI-12,NA,NA,NA,COUNTY-WIDE,NA,NA,26**163,NA,26163,WAYNE,26,MICHIGAN,NA,NA,MI-90,NA,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008,TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),C,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DELP0000029_8900/,2012-06-22,FY2011_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DELP0000029_-NONE-_81.126_-NONE-,ASST_NON_DELP0000029_8900,DELP0000029,NA,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,730855848,162249998,0,0,NA,NA,NA,NA,NA,2011-07-12,2011,2011-07-12,2016-07-11,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QCCUQ3YGQ243,142299051,SEVERSTAL DEARBORN LLC,SEVERSTAL DEARBORN LLC,ER3JHDCB9XL7,645166489,SEVERSTAL OAO,NA,NA,NA,14661 ROTUNDA DR.,NA,21000,DEARBORN,26163.0,WAYNE,26,MI,MICHIGAN,48120,NA,MI-14,MI-12,NA,NA,NA,NA,NA,NA,26**163,DEARBORN,26163,NA,26,MICHIGAN,48120,NA,NA,NA,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,SEVERSTAL DEARBORN LLC,TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),L,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DELP0000029_8900/,2015-02-20,FY2011_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DELP0000009_-NONE-_81.126_A000,ASST_NON_DELP0000009_8900,DELP0000009,A000,NA,NO SAI NUMBER AVAIL,0,-477500,NA,NA,0,0,49962446,0,0,0,NA,NA,NA,NA,NA,2010-11-23,2011,2010-11-23,2015-11-30,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q5KJU3XEC4P4,788877350,"VEHICLE PRODUCTION GROUP LLC, THE","VEHICLE PRODUCTION GROUP LLC, THE",NA,NA,NA,NA,NA,NA,333 REPUBLIC DR,NA,80680,TROY,26123.0,NEWAYGO,26,MI,MICHIGAN,48083,0000,MI-09,MI-11,NA,NA,NA,SINGLE ZIP CODE,NA,NA,1849932,MISHAWAKA,NA,NA,18,INDIANA,465441200,IN-02,NA,NA,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,"TAS::89 4579::TAS THE VEHICLE PRODUCTION GROUP, LLC LOAN NUMBER A1007","TAS::89 4579::TAS THE VEHICLE PRODUCTION GROUP, LLC LOAN NUMBER A1007",NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DELP0000009_8900/,2014-04-29,FY2011_089_Assistance_Full_20230908_1.csv,0,-477500,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8900_DELP0000029_-NONE-_81.126_A002,ASST_NON_DELP0000029_8900,DELP0000029,A002,NA,SAI NOT AVAILABLE,0,0,NA,NA,0,0,-730855848,-162249998,0,0,NA,NA,NA,NA,NA,2012-02-02,2012,2011-07-12,2016-07-11,089,Department of Energy,8900.0,Department of Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QCCUQ3YGQ243,142299051,SEVERSTAL DEARBORN LLC,SEVERSTAL DEARBORN LLC,ER3JHDCB9XL7,645166489,SEVERSTAL OAO,NA,NA,NA,14661 ROTUNDA DR,NA,21000,DEARBORN,26163.0,WAYNE,26,MI,MICHIGAN,48120,0000,MI-14,MI-12,NA,NA,NA,COUNTY-WIDE,NA,NA,26**163,NA,26163,WAYNE,26,MICHIGAN,NA,NA,MI-90,NA,81.126000000000005,FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES,NA,NA,07,NA,TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008,TAS::89 0323::TAS  SEVERSTAL DEARBORN LLC LOAN NUMBER A1008,NON,NA,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_DELP0000029_8900/,2014-04-29,FY2012_089_Assistance_Full_20230908_1.csv,0,0,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
