"cfda_title","cfda_num","assistance_type_code","n","total_outlayed_amount_for_overall_award","face_value_of_loan","min_period_of_performance_start_date"
"ARC","59.057",8,22,0,-111641,NA
"ILP","59.062",8,5,0,-1539000,NA
"INTERMEDIARY LOAN PROGRAM","59.062",8,4,0,-2285000,NA
"DISASTER","59.063",8,4881,199250.22,244089400,NA
"DISASTER ASSISTANCE LOANS (DISASTER RELIEF APPROPRIATIONS ACT)","59.063",8,8615,0,254386648,NA
"PAYCHECK PROTECTION LOAN PROGRAM (PPP)","59.073",8,13915818,860777644920.997,792586877732.637,NA
"OED RESOURCE PARTNERS TRAINING PORTAL (RPTP)","59.074",11,1,21070077.36,0,"2020-04-27"
"RESEARCH AND DEVELOPMENT","64.054",11,17,0,0,"2022-01-12"
"INVENTIONS AND INNOVATIONS","81.036",11,1,0,0,"1998-06-08"
"STATE ENERGY PROGRAM","81.041",7,1,0,0,"2007-07-01"
"OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM","81.049",8,1,0,0,"1999-01-01"
"OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM","81.049",11,123,127085.85,0,"1993-05-04"
"UNIVERSITY COAL RESEARCH","81.057",11,14,0,0,"1994-06-16"
"INDUSTRIAL ENERGY CONSERVATION","81.078",11,1,0,0,"1996-09-27"
"MINORITY HONORS TRAINING AND INDUSTRIAL ASSISTANCE PROGRAM","81.084",11,2,0,0,"1990-07-06"
"CONSERVATION RESEARCH AND DEVELOPMENT","81.086",11,8,0,0,"1997-09-26"
"RENEWABLE ENERGY RESEARCH AND DEVELOPMENT","81.087",11,55,0,0,"1997-09-22"
"FOSSIL ENERGY RESEARCH AND DEVELOPMENT","81.089",7,2,0,0,"2006-04-01"
"FOSSIL ENERGY RESEARCH AND DEVELOPMENT","81.089",11,42,0,0,"1995-04-06"
"REMEDIAL ACTION AND WASTE TECHNOLOGY","81.092",11,51,0,0,"1990-03-01"
"ENVIRONMENTAL REMEDIATION AND WASTE PROCESSING AND DISPOSAL","81.104",11,1,0,0,"1999-12-23"
"OFFICE OF ENVIRONMENTAL WASTE PROCESSING","81.104",11,46,0,0,"2000-09-22"
"NATIONAL INDUSTRIAL COMPETITIVENESS THROUGH ENERGY, ENVIRONMENT, AND ECONOMICS","81.105",11,1,0,0,"2001-02-01"
"STEWARDSHIP SCIENCE GRANT PROGRAM","81.112",7,1,0,0,"2010-09-11"
"DEFENSE NUCLEAR NONPROLIFERATION RESEARCH","81.113",11,2,0,0,"2001-01-19"
"SCIENCE AND ENGINEERING TRAINING TO SUPPORT DIVERSITY-RELATED PROGRAMS","81.116",11,2,0,0,"2000-05-01"
"ENERGY EFFICIENCY AND RENEWABLE ENERGY INFORMATION DISSEMINATION, OUTREACH, TRAINING AND TECHNICAL ANALYSIS/ASSISTANCE","81.117",11,23,0,0,"2004-09-25"
"STATE ENERGY PROGRAM SPECIAL PROJECTS","81.119",11,2,0,0,"2017-01-18"
"FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES","81.126",7,40,0,26292164922.71,NA
"FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES","81.126",8,59,0,27261327394,"2009-09-14"
"FEDERAL LOAN GUARANTEES FOR INNOVATIVE ENERGY TECHNOLOGIES","81.126",11,6,0,0,"2009-09-10"
"ADVANCED RESEARCH PROJECTS AGENCY - ENERGY","81.135",11,9,1953460.14,0,"2010-01-15"
"ENVIRONMENTAL MONITORING/CLEANUP, CULTURAL AND RESOURCE MGMT., EMERGENCY RESPONSE RESEARCH, OUTREACH, TECHNICAL ANALYSIS","81.214",11,7,791885.4,0,"2016-08-11"
"MISCELLANEOUS FEDERAL ASSISTANCE ACTIONS","81.502",11,13,0,0,"1988-09-27"
"US FEDERAL ASSISTANCE ACTIONS                                  DEPARTMENT","81.AAB",11,68,0,0,"1988-09-27"
