recipient_uei,recipient_name,Status,recipient_category,project_name,recipient_duns,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code
H7PJP9AK7QP2,"SOLAR PARTNERS II, LLC",Active,Renewable Energy (Concentrating Solar Power),Ivanpah,966632510,"SOLAR PARTNERS II, LLC",,,,,,,,,53000,OAKLAND,,ALAMEDA,06,CA,CALIFORNIA,94612,3520
JF3JFS5N2B87,"SOLAR PARTNERS VIII, LLC",Active,Renewable Energy (Concentrating Solar Power),Ivanpah,798917246,"SOLAR PARTNERS VIII, LLC",,,,,USA,UNITED STATES,"1999 HARRISON ST, #2150",OAKLAND,53000,OAKLAND,06001,ALAMEDA,06,CA,CALIFORNIA,94612,0001
H69MCD1HNMP1,"SOLOPOWER, INC.",PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT,,"SoloPower, Inc.",614756463,"SOLOPOWER, INC.",,,,,,,,,68000,SAN JOSE,0685.0,SANTA CLARA,06,CA,CALIFORNIA,95138,1400
MYL9VH45S295,"SOLYNDRA, INC.",DISCONTINUED PROJECTS,Solar Manufacturing,Solyndra,610713286,"SOLYNDRA, INC.",,,,,,,47700 KATO RD,,91070,FREMONT (CCD),061.0,ALAMEDA,06,CA,CALIFORNIA,94538,7307
D2JVJ16N8L11,STEPHENTOWN REGULATION SERVICES LLC,DISCONTINUED PROJECTS,Storage,Stephentown Spindle,963189472,STEPHENTOWN REGULATION SERVICES LLC,,,,,,,,,70955,,2517,MIDDLESEX,25,MA,MASSACHUSETTS,01879,2041
W9DZKJF3CK59,"STEPHENTOWN SPINDLE, LLC",DISCONTINUED PROJECTS,Storage,Stephentown Spindle,078408290,"STEPHENTOWN SPINDLE, LLC",,,,,,,"STEPHENTOWN SPINDLE, LLC",,70955,TYNGSBORO (TOWN NAME,2517,MIDDLESEX,25,MA,,70955,
MTVGPRKRPVP4,SYRAH TECHNOLOGIES LLC,Active,Critical Materials,Syrah Vidalia,,SYRAH TECHNOLOGIES LLC,,,,,USA,UNITED STATES,2001 D A BIGLANE RD,,78470,VIDALIA,22029,CONCORDIA,22,LA,LOUISIANA,71373,6377
TBTHGLM2G9D3,"TESLA, INC.",Repaid,Advanced Vehicles & Components,Tesla,148284255,"TESLA MOTORS, INC.",TBTHGLM2G9D3,148284255,"TESLA, INC.","TESLA MOTORS, INC.",,,3500 DEER CREEK RD,,65070,SAN CARLOS,0681.0,SAN MATEO,06,CA,CALIFORNIA,94070,0000
ELZLFRBJ2GG6,"TONOPAH SOLAR ENERGY, LLC",Crescent Dunes,DISCONTINUED PROJECTS,Crescent Dunes,831822981,,,,,,,,,,,SANTA MONICA,,LOS ANGELES,06,CA,CALIFORNIA,,
,ULTIUM CELLS LLC,Active,Advanced Vehicles & Components,Ultium Cells,,ULTIUM CELLS LLC,,,,,USA,UNITED STATES,7400 TOD AVENUE SW,,80892,WARREN,39099,MAHONING,39,OH,OHIO,44481,
MVLCPMN44LK9,USG OREGON LLC,Active,Renewable Energy (Geothermal),USG Oregon,832892736,USG OREGON LLC,RNUAHLGRBK64,106716058,U.S. GEOTHERMAL INC.,U.S. GEOTHERMAL INC.,USA,UNITED STATES,1505 TYRELL LN,,08700,BOISE,16001,ADA,16,ID,IDAHO,83706,4046
Q5KJU3XEC4P4,"VEHICLE PRODUCTION GROUP LLC, THE",DISCONTINUED PROJECTS,Advanced Vehicles & Components,VPG,788877350,"VEHICLE PRODUCTION GROUP LLC, THE",,,,,,,333 REPUBLIC DR,,80680,TROY,26123,NEWAYGO,26,MI,MICHIGAN,48083,0000
