Fiscal.Year,Unique.Identifier,Deal.Number,Decision,Decision.Date,Effective.Date,Expiration.Date,Brokered,Deal.Cancelled,Country,Program,Policy.Type,Decision.Authority,Primary.Export.Product.NAICS.SIC.code,Product.Description,Term,Primary.Applicant,Primary.Lender,Primary.Exporter,Primary.Exporter.City,Primary.Exporter.State.Code,Primary.Exporter.State.Name,Primary.Borrower,Primary.Source.of.Repayment.(PSOR),Working.Capital.Delegated.Authority,Approved.Declined.Amount,Disbursed.Shipped.Amount,Undisbursed.Exposure.Amount,Outstanding.Exposure.Amount,Small.Business.Authorized.Amount,Woman.Owned.Authorized.Amount,Minority.Owned.Authorized.Amount,Loan.Interest.Rate,Multiyear.Working.Capital.Extension,Primary.Export.Product.NAICS,Primary.Export.Product.SIC,Primary.Export.Product.SIC.code,principalnaicscodeText,SIC.Titles.and.Part.Descriptions,AnyTag,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,CriticalTech
2007,08082821XX0002,AP082821XX,Approved,09/11/2007 12:00:00 AM,9/11/2007,07/29/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,2096,Potato Chips - Corn Chips - and Similar Snacks,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Business Credit Inc.,"Good Health Natural Foods, Inc",Northport,NY,New York,"Good Health Natural Foods, Inc","Good Health Natural Foods, Inc",Yes,540000,540000,0,0,540000,0,0,,,,2096,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,
2007,08082860XX0001,AP082860XX,Approved,10/24/2006 12:00:00 AM,11/3/2006,05/25/2007 12:00:00 AM,No,No,Russia,Guarantee,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Medium Term,"Worldbusiness Capital, Inc.","Worldbusiness Capital, Inc.","Viasat, Inc",Carlsbad,CA,California,Kommercheskii Bank Sdm-Bank (Oao),Kommercheskii Bank Sdm-Bank (Oao),,1118457.74,1118457.74,0,0,0,0,0,,,334220,,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2007,08082913XX0001,AP082913XX,Approved,10/11/2006 12:00:00 AM,10/11/2006,09/30/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Citizens Bank Of Massachusetts,Citizens Bank Of Massachusetts,Progression Inc.,Haverhill,MA,Massachusetts,Progression Inc.,Progression Inc.,Yes,450000,450000,0,0,450000,0,0,,,334513,,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08082918XX0001,AP082918XX,Approved,10/13/2006 12:00:00 AM,10/13/2006,10/01/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Amegy Bank National Association,Amegy Bank National Association,"Hpi, Llc",Houston,TX,Texas,"Hpi, Llc","Hpi, Llc",Yes,1575000,1575000,0,0,1575000,0,0,,,334513,,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08082945XX0001,AP082945XX,Approved,01/30/2007 12:00:00 AM,1/30/2007,10/17/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334412,Bare Printed Circuit Board Manufacturing,Short Term,Td Banknorth Na,Td Banknorth Na,Azores Corp.,Wilmington,MA,Massachusetts,Azores Corp.,Azores Corp.,Yes,3600000,3600000,0,0,3600000,0,0,,,334412,,,Bare Printed Circuit Board Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2007,08082951XX0001,AP082951XX,Approved,11/30/2006 12:00:00 AM,11/30/2006,06/15/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,511210,Software Publishers,Short Term,Branch Banking And Trust Company,Branch Banking And Trust Company,Blue Ridge Numerics Inc,Charlottesville,VA,Virginia,Blue Ridge Numerics Inc,Blue Ridge Numerics Inc,Yes,450000,450000,0,0,450000,450000,0,,,511210,,,Software Publishers,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08082984XX0001,AP082984XX,Approved,01/26/2007 12:00:00 AM,1/26/2007,10/31/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334413,Semiconductor and Related Device Manufacturing,Short Term,General Electric Capital Corporation,"Heller Financial, Inc.",Rubicon Technology Inc.,Franklin Park,IL,Illinois,Rubicon Technology Inc.,Rubicon Technology Inc.,Yes,2250000,2250000,0,0,2250000,0,0,,,334413,,,Semiconductor and Related Device Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2007,08083042XX0001,AP083042XX,Approved,01/31/2007 12:00:00 AM,1/31/2007,11/20/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Short Term,Branch Banking And Trust Company,Branch Banking And Trust Company,"Perceptics, Llc",Knoxville,TN,Tennessee,"Perceptics, Llc","Perceptics, Llc",Yes,900000,900000,0,0,900000,0,0,,,334118,,,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08083108XX0001,AP083108XX,Approved,03/05/2007 12:00:00 AM,3/5/2007,12/28/2007 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541380,Testing Laboratories,Short Term,Comerica Bank,Comerica Bank,"New Age/Landmark, Inc",Benton Harbor,MI,Michigan,"New Age/Landmark, Inc","New Age/Landmark, Inc",Yes,225000,225000,0,0,225000,0,0,,,541380,,,Testing Laboratories,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08083214XX0001,AP083214XX,Approved,04/26/2007 12:00:00 AM,4/26/2007,10/31/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,511210,Software Publishers,Short Term,Silicon Valley Bank,Silicon Valley Bank,Indicative Software Inc.,Fort Collins,CO,Colorado,Indicative Software Inc.,Indicative Software Inc.,Yes,450000,450000,0,0,450000,0,0,,,511210,,,Software Publishers,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08083231XX0001,AP083231XX,Approved,05/18/2007 12:00:00 AM,5/18/2007,03/31/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541690,Other Scientific and Technical Consulting Services,Short Term,Sterling Bank,Sterling Bank,G & W Systems Consulting Corp,Houston,TX,Texas,G & W Systems Consulting Corp,G & W Systems Consulting Corp,Yes,818009,818009,0,0,818009,0,0,,,541690,,,Other Scientific and Technical Consulting Services,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08083244XX0001,AP083244XX,Approved,05/14/2007 12:00:00 AM,5/14/2007,03/29/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334290,Other Communications Equipment Manufacturing,Short Term,Silicon Valley Bank,Silicon Valley Bank,"Crossbeam Systems, Inc.",Boxborough,MA,Massachusetts,"Crossbeam Systems, Inc.","Crossbeam Systems, Inc.",Yes,5400000,5400000,0,0,5400000,0,0,,,334290,,,Other Communications Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2007,08083282XX0001,AP083282XX,Approved,05/14/2007 12:00:00 AM,5/14/2007,04/30/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541512,Computer Systems Design Services,Short Term,"Bridge Bank, N.A.","Bridge Bank, N.A.","Verimatrix, Inc.",San Diego,CA,California,"Verimatrix, Inc.","Verimatrix, Inc.",Yes,1912500,1912500,0,0,1912500,0,0,,,541512,,,Computer Systems Design Services,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08083314XX0001,AP083314XX,Approved,06/08/2007 12:00:00 AM,6/8/2007,03/28/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541690,Other Scientific and Technical Consulting Services,Short Term,Jpmorgan Chase Bank N.A.,Jpmorgan Chase Bank N.A.,Scotia Group Inc,Dallas,TX,Texas,Scotia Group Inc,Scotia Group Inc,Yes,1800000,1800000,0,0,1800000,0,0,,,541690,,,Other Scientific and Technical Consulting Services,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08083334XX0001,AP083334XX,Approved,08/13/2007 12:00:00 AM,8/13/2007,06/05/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334111,Electronic Computer Manufacturing,Short Term,East West Bank,East West Bank,Intercommercial Group Llc,City Of Industry,CA,California,Intercommercial Group Llc,Intercommercial Group Llc,Yes,270000,270000,0,0,270000,0,270000,,,334111,,,Electronic Computer Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08083347XX0001,AP083347XX,Approved,08/02/2007 12:00:00 AM,8/2/2007,06/01/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541380,Testing Laboratories,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Bank N A,"7 Layers, Incorporation",Irvine,CA,California,"7 Layers, Incorporation","7 Layers, Incorporation",Yes,540000,540000,0,0,540000,0,0,,,541380,,,Testing Laboratories,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08083392XX0001,AP083392XX,Approved,09/27/2007 12:00:00 AM,9/27/2007,09/30/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, a",Short Term,Pacific Western Bank,Pacific Western Bank,Fundamental Technologies International,Long Beach,CA,California,Fundamental Technologies International,Fundamental Technologies International,Yes,270000,270000,0,0,270000,0,0,,,334513,,,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08083413XX0001,AP083413XX,Approved,08/27/2007 12:00:00 AM,8/27/2007,08/01/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,City National Bank,City National Bank,Video Products Group Inc,Oxnard,CA,California,Video Products Group Inc,Video Products Group Inc,Yes,900000,900000,0,0,900000,900000,0,,,334220,,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2007,08083430XX0001,AP083430XX,Approved,08/23/2007 12:00:00 AM,8/23/2007,07/27/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System",Short Term,Citizens Bank Of Pennsylvania,Citizens Bank Of Pennsylvania,Sensis Corporation,East Syracuse,NY,New York,Sensis Corporation,Sensis Corporation,Yes,6750000,6750000,0,0,0,0,0,,,334511,,,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,TRUE,,,,,,,,,,,,,,,,,,SensorCyber
2007,08083462XX0001,AP083462XX,Approved,09/10/2007 12:00:00 AM,9/10/2007,07/31/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,East West Bank,East West Bank,"Quintum Technologies, Inc.",Eatontown,NJ,New Jersey,"Quintum Technologies, Inc.","Quintum Technologies, Inc.",Yes,1800000,1800000,0,0,1800000,0,0,,,334210,,,Telephone Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2007,08083477XX0001,AP083477XX,Approved,09/17/2007 12:00:00 AM,9/17/2007,08/29/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,511210,Software Publishers,Short Term,Silicon Valley Bank,Silicon Valley Bank,Vmonitor Inc.,Houston,TX,Texas,Vmonitor Inc.,Vmonitor Inc.,Yes,3375000,3375000,0,0,3375000,0,0,,,511210,,,Software Publishers,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08083497XX0001,AP083497XX,Approved,09/27/2007 12:00:00 AM,9/27/2007,04/05/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electric,Short Term,Sovereign Bank,Sovereign Bank,"Global Power Technology, Inc.",Edison,NJ,New Jersey,"Global Power Technology, Inc.","Global Power Technology, Inc.",Yes,1125000,1125000,0,0,0,0,0,,,334515,,,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08404458XX0001,404458,Approved,06/19/2007 12:00:00 AM,12/4/2007,03/30/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,BA-CA Export Leasing GmbH,BA-CA Export Leasing GmbH,"Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Clinica Med Rad Ltda.,Mult-Imagem Ltda.,,595410,595410,0,0,0,0,0,,,334510,,,Electromedical and Electrotherapeutic Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08404458XX0002,404458,Approved,06/19/2007 12:00:00 AM,12/4/2007,03/30/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,BA-CA Export Leasing GmbH,BA-CA Export Leasing GmbH,"Philips Medical Systems Export, Inc.",Andover,MA,Massachusetts,Clinica Med Rad Ltda.,Mult-Imagem Ltda.,,36347,36347,0,0,0,0,0,,,334510,,,Electromedical and Electrotherapeutic Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08404790XX0001,404790,Approved,05/22/2007 12:00:00 AM,8/2/2007,09/05/2007 12:00:00 AM,No,Yes,Mexico,Guarantee,,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Medium Term,"Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero","Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero","New Brunswick Scientific Co., Inc.",Edison,NJ,New Jersey,"Laboratorios Avi-Mex, S.A. de C.V.","Avifarma, S.A. de C.V.",,489314,0,0,0,489314,0,0,,,334516,,,Analytical Laboratory Instrument Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08408928XX0001,408928,Approved,07/06/2007 12:00:00 AM,7/25/2007,11/25/2007 12:00:00 AM,No,Yes,Brazil,Guarantee,,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,UPS Capital Business Credit,UPS Capital Business Credit,"Varian Medical Systems, Inc.",Palo Alto,CA,California,Associacao Feminina de Educacao e Combate ao Cancer,Associacao Feminina de Educacao e Combate ao Cancer,,699274,0,0,0,0,0,0,,,334510,,,Electromedical and Electrotherapeutic Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08409089XX0001,409089,Approved,06/08/2007 12:00:00 AM,7/16/2007,04/25/2008 12:00:00 AM,No,No,India,Guarantee,,Individual Delegated Authority,541512,Computer Systems Design Services,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,Sysorex Federal Inc.,Herndon,VA,Virginia,Cranes Software International Pte. Ltd.,Cranes Software International Pte. Ltd.,,2900650,2900650,0,0,2900650,0,2900650,,,541512,,,Computer Systems Design Services,,TRUE,,,,,,,,,,,,,,,,,,Computing
2007,08409207XX0001,409207,Approved,06/27/2007 12:00:00 AM,8/8/2007,02/11/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,"Hologic, Inc.",Bedford,MA,Massachusetts,Cepem Centro De Pesquisa Da Mulher S S Ltda,Cepem Centro De Pesquisa Da Mulher S S Ltda,,484814,484814,0,0,0,0,0,,,334510,,,Electromedical and Electrotherapeutic Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08409364XX0001,409364,Approved,06/08/2007 12:00:00 AM,6/21/2007,03/14/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,"Siemens Medical Solutions Usa, Inc.",Hoffman Estates,IL,Illinois,Clinica Villas Boas S.A.,Villas Boas Participacoes S/A,,2026485,1723246.99,0,0,0,0,0,,,334510,,,Electromedical and Electrotherapeutic Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08411934XX0001,411934,Approved,08/24/2007 12:00:00 AM,10/4/2007,03/30/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334517,Irradiation Apparatus Manufacturing,Medium Term,"Atrafin, Llc","Atrafin, Llc","Varian Medical Systems, Inc.",Palo Alto,CA,California,Liga Catarinense De Combate Ao Cancer,Liga Catarinense De Combate Ao Cancer,,551260,551260,0,0,0,0,0,,,334517,,,Irradiation Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08411934XX0002,411934,Approved,08/24/2007 12:00:00 AM,10/4/2007,03/30/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334517,Irradiation Apparatus Manufacturing,Medium Term,"Atrafin, Llc","Atrafin, Llc","Varian Medical Systems, Inc.",Palo Alto,CA,California,Liga Catarinense De Combate Ao Cancer,Liga Catarinense De Combate Ao Cancer,,97282,97282,0,0,0,0,0,,,334517,,,Irradiation Apparatus Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2007,08411981XX0001,411981,Approved,08/17/2007 12:00:00 AM,10/2/2007,01/30/2008 12:00:00 AM,No,No,Brazil,Guarantee,,Individual Delegated Authority,334419,Other Electronic Component Manufacturing,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,"Hologic, Inc.",Bedford,MA,Massachusetts,Grupo Integrado De Patologia Genital Feminino Ltda,Grupo Integrado De Patologia Genital Feminino Ltda,,439833,439833,0,0,0,0,0,,,334419,,,Other Electronic Component Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Microelectronics
2008,08078359XF0001,AP078359XF,Approved,08/06/2008 12:00:00 AM,8/6/2008,05/31/2009 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334516,Analytical Laboratory Instrument Manufacturing,Short Term,Eastern Bank,Eastern Bank,Medica Corporation,Bedford,MA,Massachusetts,Medica Corporation,Medica Corporation,Yes,2700000,2700000,0,0,2700000,0,0,,,334516,,,Analytical Laboratory Instrument Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,High Technology
2008,08080298XD0001,AP080298XD,Approved,12/28/2007 12:00:00 AM,12/28/2007,11/20/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,Comerica Bank,Comerica Bank,"Etm-Electromatic, Inc",Newark,CA,California,"Etm-Electromatic, Inc","Etm-Electromatic, Inc",Yes,675000,675000,0,0,675000,0,0,,,334220,,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2008,08082061XA0001,AP082061XA,Approved,01/29/2008 12:00:00 AM,1/29/2008,09/14/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334220,Radio and Television Broadcasting and Wireless Communications Equipment Man,Short Term,Silicon Valley Bank,Silicon Valley Bank,"Wave7 Optics, Inc.",Alpharetta,GA,Georgia,"Wave7 Optics, Inc.","Wave7 Optics, Inc.",Yes,1999999,1999999,0,0,1999999,0,0,,,334220,,,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,TRUE,,,,,,,,,,,,,,,,,,Modern Telecom
2008,08082127XB0001,AP082127XB,Approved,09/19/2008 12:00:00 AM,9/19/2008,08/29/2009 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,541512,Computer Systems Design Services,Short Term,"Bridge Bank, N.A.","Bridge Bank, N.A.","E2open, Inc.",Foster City,CA,California,"E2open, Inc.","E2open, Inc.",Yes,6750000,6750000,0,0,6750000,0,0,,,541512,,,Computer Systems Design Services,,TRUE,,,,,,,,,,,,,,,,,,Computing
2008,08082327XA0001,AP082327XA,Approved,06/09/2008 12:00:00 AM,6/9/2008,12/31/2008 12:00:00 AM,No,No,United States,Working Capital,,Individual Delegated Authority,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electric,Short Term,Silicon Valley Bank,Silicon Valley Bank,Microwave Instrumentation Tech,Suwanee,GA,Georgia,Microwave Instrumentation Tech,Microwave Instrumentation Tech,Yes,450000,450000,0,0,450000,0,0,,,334515,,,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,TRUE,,,,,,,,,,,,,,,,,,High Technology
