"","Dur.Simple","Ceil.Simple","StartFY","Term","Action.Obligation","Count","metric"
"94","(~2 years+]","100k - <10m",2014,"Complete or Partial Termination",46841346.5416,65,"Contracts within Period"
"95","(~2 years+]","100k - <10m",2015,"Unterminated",961530692.1524,836,"Contracts within Period"
"96","(~2 years+]","100k - <10m",2015,"Complete or Partial Termination",4173697.2387,13,"Contracts within Period"
"97","(~2 years+]","10m+",2007,"Unterminated",42839328444.7436,688,"Contracts within Period"
"98","(~2 years+]","10m+",2007,"Complete or Partial Termination",1961607009.1441,18,"Contracts within Period"
"99","(~2 years+]","10m+",2008,"Unterminated",67895632850.0085,675,"Contracts within Period"
"100","(~2 years+]","10m+",2008,"Complete or Partial Termination",2349853315.1687,23,"Contracts within Period"
"101","(~2 years+]","10m+",2009,"Unterminated",57448635792.1542,722,"Contracts within Period"
"102","(~2 years+]","10m+",2009,"Complete or Partial Termination",5100217378.5835,25,"Contracts within Period"
"103","(~2 years+]","10m+",2010,"Unterminated",40020536191.033,825,"Contracts within Period"
"104","(~2 years+]","10m+",2010,"Complete or Partial Termination",1502297725.6646,36,"Contracts within Period"
"105","(~2 years+]","10m+",2011,"Unterminated",34749943439.1362,784,"Contracts within Period"
"106","(~2 years+]","10m+",2011,"Complete or Partial Termination",1114054995.8134,33,"Contracts within Period"
"107","(~2 years+]","10m+",2012,"Unterminated",29884371255.0873,561,"Contracts within Period"
"108","(~2 years+]","10m+",2012,"Complete or Partial Termination",1654036022.187,31,"Contracts within Period"
"109","(~2 years+]","10m+",2013,"Unterminated",22805415617.8304,439,"Contracts within Period"
"110","(~2 years+]","10m+",2013,"Complete or Partial Termination",194655075.8684,16,"Contracts within Period"
"111","(~2 years+]","10m+",2014,"Unterminated",7615654084.3866,260,"Contracts within Period"
"112","(~2 years+]","10m+",2014,"Complete or Partial Termination",122586525.5008,7,"Contracts within Period"
"113","(~2 years+]","10m+",2015,"Unterminated",2872658870.3607,60,"Contracts within Period"
"114","(~2 years+]","10m+",2015,"Complete or Partial Termination",13363649,1,"Contracts within Period"
"115","<~1 year","0k - <100k",2007,"Unterminated",15270620644.9684,794916,"Contracts within Period"
"116","<~1 year","0k - <100k",2007,"Complete or Partial Termination",39724634.4705,4519,"Contracts within Period"
"117","<~1 year","0k - <100k",2008,"Unterminated",15956595909.6599,842153,"Contracts within Period"
"118","<~1 year","0k - <100k",2008,"Complete or Partial Termination",37952741.0945,4588,"Contracts within Period"
"119","<~1 year","0k - <100k",2009,"Unterminated",14242211057.0875,752559,"Contracts within Period"
"120","<~1 year","0k - <100k",2009,"Complete or Partial Termination",56354982.0284,5043,"Contracts within Period"
"121","<~1 year","0k - <100k",2010,"Unterminated",16496295633.365,747593,"Contracts within Period"
"122","<~1 year","0k - <100k",2010,"Complete or Partial Termination",139082129.3279,7005,"Contracts within Period"
"123","<~1 year","0k - <100k",2011,"Unterminated",13580666396.4066,711632,"Contracts within Period"
"124","<~1 year","0k - <100k",2011,"Complete or Partial Termination",59355735.9925,8680,"Contracts within Period"
"125","<~1 year","0k - <100k",2012,"Unterminated",12268068832.5563,679280,"Contracts within Period"
"126","<~1 year","0k - <100k",2012,"Complete or Partial Termination",35098450.2286,4870,"Contracts within Period"
"127","<~1 year","0k - <100k",2013,"Unterminated",10797183930.1766,619046,"Contracts within Period"
"128","<~1 year","0k - <100k",2013,"Complete or Partial Termination",27859733.6797,6034,"Contracts within Period"
"129","<~1 year","0k - <100k",2014,"Unterminated",11584698428.9461,645190,"Contracts within Period"
"130","<~1 year","0k - <100k",2014,"Complete or Partial Termination",20931051.2911,8830,"Contracts within Period"
"131","<~1 year","0k - <100k",2015,"Unterminated",12602431154.1624,2472367,"Contracts within Period"
"132","<~1 year","0k - <100k",2015,"Complete or Partial Termination",22085384.5906,12546,"Contracts within Period"
"133","<~1 year","0k - <100k",2016,"Unterminated",13374421691.4897,2910977,"Contracts within Period"
"134","<~1 year","0k - <100k",2016,"Complete or Partial Termination",18264518.9532,17494,"Contracts within Period"
"135","<~1 year","100k - <10m",2007,"Unterminated",57972260835.3003,85259,"Contracts within Period"
"136","<~1 year","100k - <10m",2007,"Complete or Partial Termination",838207944.3167,1022,"Contracts within Period"
"137","<~1 year","100k - <10m",2008,"Unterminated",63541009577.021,91659,"Contracts within Period"
"138","<~1 year","100k - <10m",2008,"Complete or Partial Termination",1817204736.8274,984,"Contracts within Period"
"139","<~1 year","100k - <10m",2009,"Unterminated",62244621726.7625,92235,"Contracts within Period"
"140","<~1 year","100k - <10m",2009,"Complete or Partial Termination",985274643.1893,1303,"Contracts within Period"
"141","<~1 year","100k - <10m",2010,"Unterminated",62103940962.8113,90434,"Contracts within Period"
"142","<~1 year","100k - <10m",2010,"Complete or Partial Termination",633243674.1299,1222,"Contracts within Period"
"143","<~1 year","100k - <10m",2011,"Unterminated",54985020698.4544,84921,"Contracts within Period"
"144","<~1 year","100k - <10m",2011,"Complete or Partial Termination",489351842.0838,1143,"Contracts within Period"
"145","<~1 year","100k - <10m",2012,"Unterminated",50789386714.25,81152,"Contracts within Period"
"146","<~1 year","100k - <10m",2012,"Complete or Partial Termination",676199731.006,1111,"Contracts within Period"
"147","<~1 year","100k - <10m",2013,"Unterminated",43767731447.8619,68834,"Contracts within Period"
"148","<~1 year","100k - <10m",2013,"Complete or Partial Termination",327250967.9861,863,"Contracts within Period"
"149","<~1 year","100k - <10m",2014,"Unterminated",45311397957.3,75851,"Contracts within Period"
"150","<~1 year","100k - <10m",2014,"Complete or Partial Termination",349751379.2356,1029,"Contracts within Period"
"151","<~1 year","100k - <10m",2015,"Unterminated",38198407407.3571,68715,"Contracts within Period"
"152","<~1 year","100k - <10m",2015,"Complete or Partial Termination",151229267.975,1001,"Contracts within Period"
"153","<~1 year","100k - <10m",2016,"Unterminated",35480557247.703,69042,"Contracts within Period"
"154","<~1 year","100k - <10m",2016,"Complete or Partial Termination",157427371.6186,803,"Contracts within Period"
"155","<~1 year","10m+",2007,"Unterminated",38964281175.526,1640,"Contracts within Period"
"156","<~1 year","10m+",2007,"Complete or Partial Termination",1484415885.5864,34,"Contracts within Period"
"157","<~1 year","10m+",2008,"Unterminated",53712471470.7401,1746,"Contracts within Period"
"158","<~1 year","10m+",2008,"Complete or Partial Termination",1009665289.6262,40,"Contracts within Period"
"159","<~1 year","10m+",2009,"Unterminated",48282601203.1526,1542,"Contracts within Period"
"160","<~1 year","10m+",2009,"Complete or Partial Termination",1658562974.4448,49,"Contracts within Period"
"161","<~1 year","10m+",2010,"Unterminated",49226457347.8579,1291,"Contracts within Period"
"162","<~1 year","10m+",2010,"Complete or Partial Termination",2625235844.3445,54,"Contracts within Period"
"163","<~1 year","10m+",2011,"Unterminated",40427406017.9874,1114,"Contracts within Period"
"164","<~1 year","10m+",2011,"Complete or Partial Termination",2396739943.7263,54,"Contracts within Period"
"165","<~1 year","10m+",2012,"Unterminated",31185674318.5474,940,"Contracts within Period"
"166","<~1 year","10m+",2012,"Complete or Partial Termination",2932046340.9728,44,"Contracts within Period"
"167","<~1 year","10m+",2013,"Unterminated",23872141883.2611,789,"Contracts within Period"
"168","<~1 year","10m+",2013,"Complete or Partial Termination",496451946.3323,25,"Contracts within Period"
"169","<~1 year","10m+",2014,"Unterminated",19192039517.1113,824,"Contracts within Period"
"170","<~1 year","10m+",2014,"Complete or Partial Termination",1179921027.1208,45,"Contracts within Period"
"171","<~1 year","10m+",2015,"Unterminated",14103291383.6903,636,"Contracts within Period"
"172","<~1 year","10m+",2015,"Complete or Partial Termination",133080861.565,20,"Contracts within Period"
"173","<~1 year","10m+",2016,"Unterminated",10843735641.4927,521,"Contracts within Period"
"174","<~1 year","10m+",2016,"Complete or Partial Termination",190316343.2802,29,"Contracts within Period"
"175","(~1 year,~2 years]","0k - <100k",2007,"Unterminated",2217862567.8194,29990,"Early Results for All Contracts"
"176","(~1 year,~2 years]","0k - <100k",2007,"Complete or Partial Termination",7859329.5897,487,"Early Results for All Contracts"
"177","(~1 year,~2 years]","0k - <100k",2008,"Unterminated",2532695752.2201,34207,"Early Results for All Contracts"
"178","(~1 year,~2 years]","0k - <100k",2008,"Complete or Partial Termination",27086359.0267,848,"Early Results for All Contracts"
"179","(~1 year,~2 years]","0k - <100k",2009,"Unterminated",3468672169.7981,30346,"Early Results for All Contracts"
"180","(~1 year,~2 years]","0k - <100k",2009,"Complete or Partial Termination",546994170.9124,1280,"Early Results for All Contracts"
"181","(~1 year,~2 years]","0k - <100k",2010,"Unterminated",1819374429.3307,29786,"Early Results for All Contracts"
"182","(~1 year,~2 years]","0k - <100k",2010,"Complete or Partial Termination",18134762.9083,831,"Early Results for All Contracts"
"183","(~1 year,~2 years]","0k - <100k",2011,"Unterminated",1364341318.0058,32214,"Early Results for All Contracts"
"184","(~1 year,~2 years]","0k - <100k",2011,"Complete or Partial Termination",9972634.1064,973,"Early Results for All Contracts"
"185","(~1 year,~2 years]","0k - <100k",2012,"Unterminated",2085874533.4347,30772,"Early Results for All Contracts"
"186","(~1 year,~2 years]","0k - <100k",2012,"Complete or Partial Termination",7845641.2449,696,"Early Results for All Contracts"
"187","(~1 year,~2 years]","0k - <100k",2013,"Unterminated",985073971.6565,26916,"Early Results for All Contracts"
"188","(~1 year,~2 years]","0k - <100k",2013,"Complete or Partial Termination",5335131.7969,764,"Early Results for All Contracts"
"189","(~1 year,~2 years]","0k - <100k",2014,"Unterminated",903832769.7495,30105,"Early Results for All Contracts"
"190","(~1 year,~2 years]","0k - <100k",2014,"Complete or Partial Termination",4829702.6087,748,"Early Results for All Contracts"
"191","(~1 year,~2 years]","0k - <100k",2015,"Unterminated",1206224123.716,40161,"Early Results for All Contracts"
"192","(~1 year,~2 years]","0k - <100k",2015,"Complete or Partial Termination",9653840.0025,1003,"Early Results for All Contracts"
"193","(~1 year,~2 years]","0k - <100k",2016,"Unterminated",1262095319.6871,46326,"Early Results for All Contracts"
"194","(~1 year,~2 years]","0k - <100k",2016,"Complete or Partial Termination",5894543.222,1104,"Early Results for All Contracts"
"195","(~1 year,~2 years]","100k - <10m",2007,"Unterminated",29324219449.7464,21591,"Early Results for All Contracts"
"196","(~1 year,~2 years]","100k - <10m",2007,"Complete or Partial Termination",526289878.5984,510,"Early Results for All Contracts"
"197","(~1 year,~2 years]","100k - <10m",2008,"Unterminated",31529087468.7448,22381,"Early Results for All Contracts"
"198","(~1 year,~2 years]","100k - <10m",2008,"Complete or Partial Termination",520288946.3485,883,"Early Results for All Contracts"
"199","(~1 year,~2 years]","100k - <10m",2009,"Unterminated",31146890817.2141,21970,"Early Results for All Contracts"
"200","(~1 year,~2 years]","100k - <10m",2009,"Complete or Partial Termination",460749183.0324,730,"Early Results for All Contracts"
"201","(~1 year,~2 years]","100k - <10m",2010,"Unterminated",31489007391.6547,21481,"Early Results for All Contracts"
"202","(~1 year,~2 years]","100k - <10m",2010,"Complete or Partial Termination",513591406.7718,671,"Early Results for All Contracts"
"203","(~1 year,~2 years]","100k - <10m",2011,"Unterminated",34702065095.5071,23750,"Early Results for All Contracts"
"204","(~1 year,~2 years]","100k - <10m",2011,"Complete or Partial Termination",655389793.6077,627,"Early Results for All Contracts"
"205","(~1 year,~2 years]","100k - <10m",2012,"Unterminated",30919567256.7121,23038,"Early Results for All Contracts"
"206","(~1 year,~2 years]","100k - <10m",2012,"Complete or Partial Termination",788489859.5921,650,"Early Results for All Contracts"
"207","(~1 year,~2 years]","100k - <10m",2013,"Unterminated",25696481073.9686,19322,"Early Results for All Contracts"
"208","(~1 year,~2 years]","100k - <10m",2013,"Complete or Partial Termination",477080198.024,540,"Early Results for All Contracts"
"209","(~1 year,~2 years]","100k - <10m",2014,"Unterminated",25591922789.3397,20419,"Early Results for All Contracts"
"210","(~1 year,~2 years]","100k - <10m",2014,"Complete or Partial Termination",230192105.1655,489,"Early Results for All Contracts"
"211","(~1 year,~2 years]","100k - <10m",2015,"Unterminated",30028882784.0157,23262,"Early Results for All Contracts"
"212","(~1 year,~2 years]","100k - <10m",2015,"Complete or Partial Termination",239830428.1824,464,"Early Results for All Contracts"
"213","(~1 year,~2 years]","100k - <10m",2016,"Unterminated",26297443302.2574,22011,"Early Results for All Contracts"
"214","(~1 year,~2 years]","100k - <10m",2016,"Complete or Partial Termination",110138653.8786,326,"Early Results for All Contracts"
"215","(~1 year,~2 years]","10m+",2007,"Unterminated",47738639889.1964,1164,"Early Results for All Contracts"
"216","(~1 year,~2 years]","10m+",2007,"Complete or Partial Termination",3532952074.7414,31,"Early Results for All Contracts"
"217","(~1 year,~2 years]","10m+",2008,"Unterminated",72363704279.6859,1426,"Early Results for All Contracts"
"218","(~1 year,~2 years]","10m+",2008,"Complete or Partial Termination",3774144631.2799,44,"Early Results for All Contracts"
"219","(~1 year,~2 years]","10m+",2009,"Unterminated",73747144636.7093,1341,"Early Results for All Contracts"
"220","(~1 year,~2 years]","10m+",2009,"Complete or Partial Termination",4406810615.6537,67,"Early Results for All Contracts"
"221","(~1 year,~2 years]","10m+",2010,"Unterminated",61218761607.7929,1333,"Early Results for All Contracts"
"222","(~1 year,~2 years]","10m+",2010,"Complete or Partial Termination",1433273387.2358,45,"Early Results for All Contracts"
"223","(~1 year,~2 years]","10m+",2011,"Unterminated",62437989084.3921,1545,"Early Results for All Contracts"
"224","(~1 year,~2 years]","10m+",2011,"Complete or Partial Termination",20000425629.2597,48,"Early Results for All Contracts"
"225","(~1 year,~2 years]","10m+",2012,"Unterminated",60472191237.8128,1326,"Early Results for All Contracts"
"226","(~1 year,~2 years]","10m+",2012,"Complete or Partial Termination",16963116821.1619,72,"Early Results for All Contracts"
"227","(~1 year,~2 years]","10m+",2013,"Unterminated",43945543991.2703,976,"Early Results for All Contracts"
"228","(~1 year,~2 years]","10m+",2013,"Complete or Partial Termination",595405452.5413,49,"Early Results for All Contracts"
"229","(~1 year,~2 years]","10m+",2014,"Unterminated",38766442822.3701,973,"Early Results for All Contracts"
"230","(~1 year,~2 years]","10m+",2014,"Complete or Partial Termination",296969359.6684,29,"Early Results for All Contracts"
"231","(~1 year,~2 years]","10m+",2015,"Unterminated",38447715820.7695,1236,"Early Results for All Contracts"
"232","(~1 year,~2 years]","10m+",2015,"Complete or Partial Termination",214395959.9334,124,"Early Results for All Contracts"
"233","(~1 year,~2 years]","10m+",2016,"Unterminated",36846973563.0219,1298,"Early Results for All Contracts"
"234","(~1 year,~2 years]","10m+",2016,"Complete or Partial Termination",127877974.5585,18,"Early Results for All Contracts"
"235","(~2 years+]","0k - <100k",2007,"Unterminated",2162708496.3024,7603,"Early Results for All Contracts"
"236","(~2 years+]","0k - <100k",2007,"Complete or Partial Termination",9208326.7467,343,"Early Results for All Contracts"
"237","(~2 years+]","0k - <100k",2008,"Unterminated",631981648.3438,7431,"Early Results for All Contracts"
"238","(~2 years+]","0k - <100k",2008,"Complete or Partial Termination",99229107.8741,140,"Early Results for All Contracts"
"239","(~2 years+]","0k - <100k",2009,"Unterminated",1050397980.7519,5077,"Early Results for All Contracts"
"240","(~2 years+]","0k - <100k",2009,"Complete or Partial Termination",17251190.5212,104,"Early Results for All Contracts"
"241","(~2 years+]","0k - <100k",2010,"Unterminated",1096339189.6146,5925,"Early Results for All Contracts"
"242","(~2 years+]","0k - <100k",2010,"Complete or Partial Termination",5197763.6143,223,"Early Results for All Contracts"
"243","(~2 years+]","0k - <100k",2011,"Unterminated",965489993.9844,7440,"Early Results for All Contracts"
"244","(~2 years+]","0k - <100k",2011,"Complete or Partial Termination",2355751.97,152,"Early Results for All Contracts"
"245","(~2 years+]","0k - <100k",2012,"Unterminated",232785345.0114,7178,"Early Results for All Contracts"
"246","(~2 years+]","0k - <100k",2012,"Complete or Partial Termination",4378162.8501,165,"Early Results for All Contracts"
"247","(~2 years+]","0k - <100k",2013,"Unterminated",175147709.8095,5091,"Early Results for All Contracts"
"248","(~2 years+]","0k - <100k",2013,"Complete or Partial Termination",2732170.136,156,"Early Results for All Contracts"
"249","(~2 years+]","0k - <100k",2014,"Unterminated",334153268.8835,6792,"Early Results for All Contracts"
"250","(~2 years+]","0k - <100k",2014,"Complete or Partial Termination",2240672.5821,184,"Early Results for All Contracts"
"251","(~2 years+]","0k - <100k",2015,"Unterminated",218896250.965,5707,"Early Results for All Contracts"
"252","(~2 years+]","0k - <100k",2015,"Complete or Partial Termination",3039461.5172,284,"Early Results for All Contracts"
"253","(~2 years+]","0k - <100k",2016,"Unterminated",146629327.824,4713,"Early Results for All Contracts"
"254","(~2 years+]","0k - <100k",2016,"Complete or Partial Termination",1154780.983,89,"Early Results for All Contracts"
"255","(~2 years+]","100k - <10m",2007,"Unterminated",11688767369.3763,5972,"Early Results for All Contracts"
"256","(~2 years+]","100k - <10m",2007,"Complete or Partial Termination",182223640.7735,463,"Early Results for All Contracts"
"257","(~2 years+]","100k - <10m",2008,"Unterminated",11201742952.1705,5600,"Early Results for All Contracts"
"258","(~2 years+]","100k - <10m",2008,"Complete or Partial Termination",145446056.0783,126,"Early Results for All Contracts"
"259","(~2 years+]","100k - <10m",2009,"Unterminated",11151864106.2174,5379,"Early Results for All Contracts"
"260","(~2 years+]","100k - <10m",2009,"Complete or Partial Termination",165302813.6237,137,"Early Results for All Contracts"
"261","(~2 years+]","100k - <10m",2010,"Unterminated",10511244772.3779,5465,"Early Results for All Contracts"
"262","(~2 years+]","100k - <10m",2010,"Complete or Partial Termination",239624049.8516,193,"Early Results for All Contracts"
"263","(~2 years+]","100k - <10m",2011,"Unterminated",10453646719.8178,5500,"Early Results for All Contracts"
"264","(~2 years+]","100k - <10m",2011,"Complete or Partial Termination",209086618.797,184,"Early Results for All Contracts"
"265","(~2 years+]","100k - <10m",2012,"Unterminated",9210482726.7704,4945,"Early Results for All Contracts"
"266","(~2 years+]","100k - <10m",2012,"Complete or Partial Termination",206047062.8528,191,"Early Results for All Contracts"
"267","(~2 years+]","100k - <10m",2013,"Unterminated",7062031027.0372,4098,"Early Results for All Contracts"
