Contract_FYear_Agency_2017_2020

"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Dollars Obligated","Number of Actions","Number of Records","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value"
"2018","6300","NATIONAL LABOR RELATIONS BOARD","6300","NATIONAL LABOR RELATIONS BOARD","$28,371,663.82","254","254","$33,833,587.65","$28,957,332.78"
"2018","6500","FEDERAL MARITIME COMMISSION","6500","FEDERAL MARITIME COMMISSION","$2,912,998.29","109","109","$4,186,114.57","$2,735,145.33"
"2018","6800","ENVIRONMENTAL PROTECTION AGENCY","6800","ENVIRONMENTAL PROTECTION AGENCY","$1,243,822,606.14","13,629","13,620","$22,351,665,450.45","$1,441,363,206.26"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6901","OFFICE OF THE SECRETARY","$393,274,432.82","3,249","3,248","$588,340,203.59","$245,434,277.28"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6920","FEDERAL AVIATION ADMINISTRATION","$4,711,420,163.67","21,447","21,433","$322,036,916,254.53","$3,773,727,903.07"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6925","FEDERAL HIGHWAY ADMINISTRATION","$954,941,975.14","3,939","3,939","$2,655,840,904.29","$980,551,104.28"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6930","FEDERAL RAILROAD ADMINISTRATION","$81,336,919.22","540","540","$170,132,009.88","$82,807,129.83"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6938","MARITIME ADMINISTRATION","$440,544,710.87","4,196","4,196","$1,080,475,920.07","$439,304,202.64"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6940","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","$204,783,338.15","756","756","$399,501,019.82","$200,576,950.95"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6947","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","$9,109,623.19","287","287","$5,867,238.01","$9,255,763.03"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6953","FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION","$67,236,425.16","301","301","$219,132,090.07","$59,289,029.59"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6955","FEDERAL TRANSIT ADMINISTRATION","$84,197,668.21","827","827","$96,671,847.39","$107,567,504.38"
"2018","6900","TRANSPORTATION, DEPARTMENT OF","6957","PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATON","$55,151,933.21","391","391","$101,007,959.92","$56,720,353.44"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7001","OFFICE OF PROCUREMENT OPERATIONS","$2,842,540,458.94","9,009","9,009","$15,462,022,337.50","$3,098,581,133.79"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7003","U.S. CITIZENSHIP AND IMMIGRATION SERVICES","$979,997,236.41","3,869","3,869","$4,569,468,982.78","$1,013,926,071.17"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7004","OFFICE OF THE INSPECTOR GENERAL","$32,141,319.93","383","383","$22,556,785.43","$31,753,745.87"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7008","U.S. COAST GUARD","$3,120,027,411.04","32,728","32,664","$30,575,405,248.74","$3,122,746,736.44"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7009","U.S. SECRET SERVICE","$235,984,852.19","1,573","1,570","$257,546,116.19","$249,955,885.23"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7012","U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT","$1,930,866,488.50","5,466","5,464","$4,968,211,647.51","$2,150,009,291.37"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7013","TRANSPORTATION SECURITY ADMINISTRATION","$1,890,216,222.24","3,523","3,133","$3,115,398,633.55","$1,896,275,284.11"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7014","U.S. CUSTOMS AND BORDER PROTECTION","$3,034,163,236.64","8,317","8,317","$5,023,256,262.63","$3,064,549,340.72"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7015","FEDERAL LAW ENFORCEMENT TRAINING CENTER","$187,173,099.53","3,356","3,356","$355,180,121.21","$199,338,559.43"
"2018","7000","HOMELAND SECURITY, DEPARTMENT OF","7022","FEDERAL EMERGENCY MANAGEMENT AGENCY","$3,971,613,276.76","10,147","10,121","$14,179,690,041.26","$4,114,542,527.20"
"2018","7100","OVERSEAS PRIVATE INVESTMENT CORPORATION","7100","OVERSEAS PRIVATE INVESTMENT CORPORATION","$30,634,584.70","357","357","$148,101,890.06","$30,802,437.32"
"2018","7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","$5,118,751,121.52","10,419","10,408","$23,957,390,362.17","$4,690,541,436.42"
"2018","7300","SMALL BUSINESS ADMINISTRATION","7300","SMALL BUSINESS ADMINISTRATION","$152,481,860.63","1,600","1,600","$425,315,178.17","$151,682,187.60"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7504","OFFICE OF THE INSPECTOR GENERAL","$23,678,840.82","167","167","$124,088,577.32","$24,621,405.96"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7505","OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","$1,056,026,940.53","1,337","1,337","$8,861,459,829.30","$921,568,458.05"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7522","SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION","$234,135,130.98","171","171","$116,091,841.08","$231,030,996.72"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7523","CENTERS FOR DISEASE CONTROL AND PREVENTION","$6,021,878,138.32","8,775","8,775","$35,986,489,557.83","$2,998,223,151.45"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7524","FOOD AND DRUG ADMINISTRATION","$1,429,582,345.49","5,200","5,132","$3,149,185,223.99","$1,211,039,171.92"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7526","HEALTH RESOURCES AND SERVICES ADMINISTRATION","$296,915,019.32","2,433","2,433","$19,402,898,818.55","$298,187,881.84"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7527","INDIAN HEALTH SERVICE","$892,362,975.06","18,607","18,599","$1,298,135,836.43","$868,176,277.53"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7528","AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","$131,680,581.86","277","277","$144,700,022.98","$132,179,581.86"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7529","NATIONAL INSTITUTES OF HEALTH","$5,266,093,073.40","36,380","36,319","$1,265,198,642,273.71","$5,250,117,718.59"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7530","CENTERS FOR MEDICARE AND MEDICAID SERVICES","$6,751,875,034.53","3,252","3,252","$14,601,066,650.54","$6,837,929,207.31"
"2018","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7570","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","$2,532,179,832.06","6,085","5,714","$6,558,676,293.44","$2,565,355,876.42"
"2018","8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","$18,040,035,792.73","30,301","30,301","$70,994,172,316.68","$12,161,430,940.58"
"2018","8300","EXPORT-IMPORT BANK OF THE U.S.","8300","EXPORT-IMPORT BANK OF THE U.S.","$45,548,551.26","408","408","$78,792,729.28","$45,452,389.74"
"2018","8600","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8600","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","$862,271,226.75","1,637","1,637","$410,097,576.46","$768,670,281.61"
"2018","8800","NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","8800","NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","$167,281,361.89","1,390","1,390","$156,671,424.74","$163,733,573.56"
"2018","8900","ENERGY, DEPARTMENT OF","8900","ENERGY, DEPARTMENT OF","$31,899,630,506.83","11,280","11,280","$69,389,610,419.93","$47,693,215,003.44"
"2018","8900","ENERGY, DEPARTMENT OF","8960","FEDERAL ENERGY REGULATORY COMMISSION","$63,443,781.78","349","349","$64,027,259.81","$65,070,472.98"
"2018","9000","SELECTIVE SERVICE SYSTEM","9000","SELECTIVE SERVICE SYSTEM","$3,758,024.23","186","186","$3,758,024.23","$3,758,024.23"
"2018","9100","EDUCATION, DEPARTMENT OF","9100","EDUCATION, DEPARTMENT OF","$2,763,247,767.69","3,102","3,100","$3,790,176,422.87","$3,301,396,750.31"
"2018","9300","FEDERAL MEDIATION AND CONCILIATION SERVICE","9300","FEDERAL MEDIATION AND CONCILIATION SERVICE","$4,492,161.01","103","103","$4,434,180.96","$4,477,075.44"
"2018","9504","FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION","9504","FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION","$3,461,971.57","266","266","$3,461,971.57","$3,461,971.57"
"2018","9506","FEDERAL ELECTION COMMISSION","9506","FEDERAL ELECTION COMMISSION","$18,148,306.63","145","145","$30,403,768.03","$18,013,343.12"
"2018","9507","COMMODITY FUTURES TRADING COMMISSION","9507","COMMODITY FUTURES TRADING COMMISSION","$57,090,073.90","611","611","$64,659,837.30","$66,733,677.20"
"2018","9508","NATIONAL TRANSPORTATION SAFETY BOARD","9508","NATIONAL TRANSPORTATION SAFETY BOARD","$13,550,373.82","224","224","$27,912,508.71","$13,479,801.75"
"2018","9511","THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY","9511","THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY","$759,254.59","30","30","$759,254.59","$759,254.59"
"2018","9514","OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION","9514","OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION","$1,736,842.02","104","104","$1,736,842.02","$1,736,842.02"
"2018","9515","ADMINISTRATIVE CONFERENCE OF THE U. S.","9515","ADMINISTRATIVE CONFERENCE OF THE U. S.","$294,906.00","17","17","$294,906.00","$294,906.00"
"2018","9516","DEFENSE NUCLEAR FACILITIES SAFETY BOARD","9516","DEFENSE NUCLEAR FACILITIES SAFETY BOARD","$4,624,393.76","65","65","$3,820,628.66","$4,785,851.34"
"2018","9518","COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED","9518","COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED","$1,258,292.32","37","37","$808,988.70","$658,304.47"
"2018","9523","ELECTION ASSISTANCE COMMISSION","9523","ELECTION ASSISTANCE COMMISSION","$96,162.00","3","3","$96,162.00","$96,162.00"
"2018","9536","VIETNAM EDUCATION FOUNDATION","9536","VIETNAM EDUCATION FOUNDATION","$80,062.00","4","4","$80,062.00","$80,062.00"
"2018","9542","FEDERAL HOUSING FINANCE AGENCY","9542","FEDERAL HOUSING FINANCE AGENCY","($202,232.42)","4","4","($802,761.11)","($202,232.42)"
"2018","9543","MILLENNIUM CHALLENGE CORPORATION","9543","MILLENNIUM CHALLENGE CORPORATION","$102,358,053.45","1,114","1,114","$186,314,391.72","$113,230,452.05"
"2018","955F","CONSUMER FINANCIAL PROTECTION BUREAU","955F","CONSUMER FINANCIAL PROTECTION BUREAU","$78,234,592.28","689","689","$34,561,306.30","$81,343,774.51"
"2018","9565","CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD","9565","CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD","$2,663,139.18","117","117","$7,647,771.41","$2,663,139.18"
"2018","9568","UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG","9568","UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG","$186,849,382.15","6,955","6,945","$241,334,348.18","$188,339,596.57"
"2018","9577","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","9577","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","$68,509,593.10","672","672","$98,963,746.87","$70,527,238.86"
"2018","9594","COURT SERVICES AND OFFENDER SUPERVISION AGENCY","9594","COURT SERVICES AND OFFENDER SUPERVISION AGENCY","$40,891,581.78","383","370","$85,714,453.18","$40,643,798.88"
