parentid,ObligatedAmount,NumberOfActions,FreqCount,Year,Rank
JACOBS ENGINEERING GROUP,12468928,4603895,145,2006,75
AGILENT TECHNOLOGIES,12223314,3778369,119,2006,76
MOOG CLASS A,11868697,3048096,96,2006,77
RICOH,11183740,3714867,117,2006,78
GILL GROUP,11127655,3016345,95,2006,79
CH2M HILL,11112683,3238602,102,2006,80
HALLIBURTON,10592182,3365606,106,2006,81
TETRA TECH,10585550,3810120,120,2006,82
FORCE 3,10492960,2857590,90,2006,83
3M,10472903,2730586,86,2006,84
APPTIS,10217066,3111598,98,2006,85
DYNCORP INTERNATIONAL,10206776,3556112,112,2006,86
IBM,9982777,2921092,92,2006,87
JJMA,9531016,3683528,116,2006,88
AMERIDATA TECHNOLOGIES,9492283,2762535,87,2006,89
iGOV,9475045,2857590,90,2006,90
LB & B ASSOCIATES,9407535,3238602,102,2006,91
SOUTHWEST MARINE,9388661,2762337,87,2006,92
ATK,9234886,2825839,89,2006,93
ALCOA,8816023,2349574,74,2006,94
DRS,8713127,2952843,93,2006,95
STERLING COMPUTERS,8576474,2254321,71,2006,96
QINETIQ GROUP,8432560,2857590,90,2006,97
JOHNS HOPKINS UNIVERSITY,8413959,2571831,81,2006,98
RED RIVER,8384238,2254321,71,2006,99
EATONORAT,8380683,2095566,66,2006,100
IMMIXGROUP,8312002,2190819,69,2006,101
MEGGITT CORP USA,8227629,2540080,80,2006,102
SUMITOMO HEAVY INDUSTRIES,8112313,2190819,69,2006,103
CHENEGA,8018712,2571831,81,2006,104
PRUDENTIAL,8007848,3492610,110,2006,105
CENTRAL TEXAS,8003609,3048096,96,2006,106
B & H PHOTO VIDEO,7987887,2222570,70,2006,107
AMETEK,7957893,2127317,67,2006,108
KIMBALL,7769456,2381325,75,2006,109
MICRON,7650016,2159068,68,2006,110
SIEMENS,7541518,2444827,77,2006,111
SCIENTIFIC RESEARCH,7283681,2190819,69,2006,112
ENVIRONMENTAL SYSTEMS RESEARCH,7077793,2317823,73,2006,113
MILCOM,6616562,2508329,79,2006,114
ARINC [Carlyle Group],6588985,2667084,84,2006,115
KNOLL,6549779,2095566,66,2006,116
NCI INFORMATION SYSTEMS,6415441,1936811,61,2006,117
J & J WORLDWIDE SERVICES,6384831,2000313,63,2006,118
INSIGHT ENTERPRISES,6343161,1841558,58,2006,119
FLIR SYSTEMS,6306299,1841558,58,2006,120
STEELCASE,6263074,1936811,61,2006,121
SYNTHES USA,6119915,1968562,62,2006,122
WASTE MANAGEMENT,6098030,2095715,66,2006,123
FEDERAL REPUBLIC OF GERMANY,6030411,2635333,83,2006,124
BURLINGTON ENV,5989676,1714554,54,2006,125
EARL INDUSTRIES,5932583,2032064,64,2006,126
PITNEY BOWES,5919659,2254321,71,2006,127
SANOFI,5915521,1651052,52,2006,128
GOLDBELT,5659747,1809807,57,2006,129
BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES],5637548,1936811,61,2006,130
FINMECCANICA,5570595,1587550,50,2006,131
ASTRONICS,5485046,1333542,42,2006,132
Alliance Contracting,5483338,2381325,75,2006,133
YORK INTERNATIONAL,5472924,1428795,45,2006,134
GENERAL MOTORS,5455847,1397044,44,2006,135
PHILIPS,5421954,1555799,49,2006,136
WYLE LABORATORIES,5368648,2063815,65,2006,137
NCR,5362509,2032064,64,2006,138
SIUTHWESTERN BELL,5263419,1936811,61,2006,139
TRW [NORTHROP GRUMMAN],5231133,1397044,44,2006,140
PRAXAIR,5194344,1841558,58,2006,141
CENTENNIAL CONTRACTORS ENT,5186612,1492297,47,2006,142
JA JONES CONSTRUCTION [PHILLIP HOLZMANN AG],5169150,1682803,53,2006,143
DAY & ZIMMERMANN,5164711,1651052,52,2006,144
WOODWARD GOVERNOR,5156547,1555799,49,2006,145
INTERPUBLIC GROUP OF COMPANIES,5126086,1365293,43,2006,146
AMERICAN HOSPITAL SERVICE GROUP,5031620,2381325,75,2006,147
SHAW GROUP INC,4995151,1555799,49,2006,148
ORACLE,4945042,1587875,50,2006,149
STERLING MEDICAL,4920133,2190819,69,2006,150
