GlobalVendorName,Amount.max,X500million,StandardizedVendorName,parentid
AFOGNAK NATIVE CORPORATION," 616,822,539 ", Y ,AFOGNAK NATIVE,AFOGNAK NATIVE
EARL INDUSTRIES  L.L.C.," 193,503,967 ", N ,EARL INDUSTRIES,EARL INDUSTRIES
VIASAT  INC.," 376,835,819 ", N ,VIASAT,VIASAT
DCK PACIFIC  LLC," 202,992,424 ", N ,DCK PACIFIC,
THE WHITING-TURNER CONTRACTING COMPANY," 296,399,242 ", N ,THE WHITING TURNER CONTRACTING COMPANY,THE WHITING TURNER CONTRACTING COMPANY
MARITIME HELICOPTER SUPPORT COMPANY  LLC," 197,633,806 ", N ,MARITIME HELICOPTER SUPPORT COMPANY,MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture]
INTERNATIONAL SHIPHOLDING CORPORATION," 173,091,138 ", N ,INTERNATIONAL SHIPHOLDING,INTERNATIONAL SHIPHOLDING
VT MILCOM INC," 161,807,077 ", N ,VT MILCOM,VT GROUP PLC
INTERPUBLIC GROUP OF COMPANIES  INC.," 476,999,180 ", N ,INTERPUBLIC GROUP OF COMPANIES,INTERPUBLIC GROUP OF COMPANIES
RESOURCE CONSULTANTS INC," 179,732,147 ", N ,RESOURCE CONSULTANTS,
J A JONES INC," 138,248,163 ", N ,JA JONES,
SAUER HOLDINGS  INC.," 219,826,382 ", N ,SAUER HOLDINGS,Sauer Holdings Inc
BEARINGPOINT  INC.," 135,395,407 ", N ,BEARINGPOINT,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES]
"ADVANCED MARINE ENTERPRISES, I"," 135,345,048 ", N ,"ADVANCED MARINE ENTERPRISES, I",
WPP GROUP PLC," 134,399,284 ", N ,WPP GROUP PLC,WPP GROUP PLC
M A MORTENSON COMPANIES  INC," 565,827,090 ", Y ,MA MORTENSON COMPANIES,MA MORTENSON COMPANY
CHUGACH ALASKA CORP," 675,361,594 ", Y ,CHUGACH ALASKA,CHUGACH ALASKA
THE PENNSYLVANIA STATE UNIVERSITY," 220,186,678 ", N ,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY
FOSTER FUELS  INC.," 858,803,854 ", Y ,FOSTER FUELS,FOSTER FUELS
BLACK CONSTRUCTION CORPORATION," 111,604,161 ", N ,BLACK CONSTRUCTION,
GENCORP INC," 58,453,641 ", N ,GENCORP,GENCORP
GENCORP INC.," 155,998,134 ", N ,GENCORP,GENCORP
GENERAL ATOMIC TECHNOLOGIES CORPORATION," 2,425,113,676 ", Y ,GENERAL ATOMIC TECHNOLOGIES,GENERAL ATOMICS
MANTECH INTERNATIONAL CORPORATION," 1,743,676,681 ", Y ,MANTECH INTERNATIONAL,MANTECH INTL A
CUBIC CORPORATION," 530,288,070 ", Y ,CUBIC,CUBIC
AT&T INC," 373,554,706 ", N ,AT & T,AT&T
SINGAPORE TECHNOLOGIES ENGINEERING LTD," 195,496,474 ", N ,SINGAPORE TECHNOLOGIES ENGINEERING,ST ENGINEERING
BURCH R A CONSTRUCTION CO INC," 95,703,342 ", N ,BURCH RA CONSTRUCTION CO,
INSIGHT TECHNOLOGY INC," 135,081,791 ", N ,INSIGHT TECHNOLOGY,INSIGHT TECHNOLOGY
THE YATES COMPANIES INC," 118,441,752 ", N ,THE YATES COMPANIES,
TODD SHIPYARDS CORPORATION," 242,372,589 ", N ,TODD SHIPYARDS,TODD SHIPYARDS
ALION SCIENCE AND TECHNOLOGY CORPORATION," 859,389,290 ", Y ,ALION SCIENCE & TECHNOLOGY,ALION SCIENCE & TECHNOLOGY
ELBIT SYSTEMS LTD.," 363,313,824 ", N ,ELBIT SYSTEMS,ELBIT SYSTEMS
WYLE LABORATORIES  INC.," 749,447,875 ", Y ,WYLE LABORATORIES,WYLE LABORATORIES
HARPER CONSTRUCTION COMPANY  INC.," 427,322,377 ", N ,HARPER CONSTRUCTION COMPANY,HARPER CONSTRUCTION COMPANY
ITT INDUSTRIES SYSTEMS DIV," 92,194,090 ", N ,ITT INDUSTRIES SYSTEMS DIV,ITT
INTERNATIONAL BUSINESS MACHINES CORPORATION," 470,981,355 ", N ,INTERNATIONAL BUSINESS MACHINES,IBM
GENERAL ELECTRIC COMPANY," 3,442,880,553 ", Y ,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC
M.C. DEAN  INC.," 150,515,714 ", N ,MC DEAN,M.C. DEAN
LOYAL SOURCE GOVERNMENT SERVICES LLC," 70,446,681 ", N ,LOYAL SOURCE GOVERNMENT SERVICES,LOYAL SOURCE GOVERNMENT SERVICES
DANAHER CORPORATION," 128,309,899 ", N ,DANAHER,DANAHER
MANAGEMENT CONSULTING  INC.," 82,962,558 ", N ,MANAGEMENT CONSULTING,"MANAGEMENT CONSULTING, INC."
DELL INC," 898,765,661 ", Y ,DELL,DELL
ALLIED CONTAINER SYSTEMS  INC," 85,040,315 ", N ,ALLIED CONTAINER SYSTEMS,
SCIENTIFIC RESEARCH CORP," 254,379,306 ", N ,SCIENTIFIC RESEARCH,SCIENTIFIC RESEARCH
THE MANITOWOC COMPANY INC," 82,911,712 ", N ,THE MANITOWOC COMPANY,THE MANITOWOC COMPANY
CONCURRENT TECHNOLOGIES CORPORATION," 126,521,978 ", N ,CONCURRENT TECHNOLOGIES,CONCURRENT TECHNOLOGIES CORPORATION
UNIVERSITY OF TEXAS SYSTEM," 127,249,453 ", N ,UNIVERSITY OF TEXAS SYSTEM,
THE ALEUT CORPORATION," 80,605,916 ", N ,THE ALEUT,THE ALEUT
CNA CORPORATION," 153,876,305 ", N ,CNA,CNA
BATTELLE MEMORIAL INSTITUTE," 536,918,620 ", Y ,BATTELLE MEMORIAL INSTITUTE,BATTELLE
ARINC MANAGEMENT CORPORATION," 569,633,895 ", Y ,ARINC MANAGEMENT,ARINC [Carlyle Group]
PROTECTIVE PRODUCTS INTERNATIONAL CORP.," 75,067,011 ", N ,PROTECTIVE PRODUCTS INTERNATIONAL,
WALTON CONSTRUCTION COMPANY  LLC," 358,082,428 ", N ,WALTON CONSTRUCTION COMPANY,WALTON CONSTRUCTION
ULTRA ELECTRONICS HOLDINGS P L C," 83,356,740 ", N ,ULTRA ELECTRONICS HOLDINGS PLC,ULTRA ELECTRONICS
MANAGEMENT CONSULTING INC," 121,869,315 ", N ,MANAGEMENT CONSULTING,"MANAGEMENT CONSULTING, INC."
IROBOT CORPORATION," 72,629,740 ", N ,IROBOT,IROBOT
CAE INC," 145,931,295 ", N ,CAE,CAE
PEROT SYSTEMS CORPORATION," 70,563,613 ", N ,PEROT SYSTEMS,PEROT SYSTEMS [DELL]
GYROCAM SYSTEMS LLC," 181,058,200 ", N ,GYROCAM SYSTEMS,"GYROCAM SYSTEMS, LLC , UNIVERSAL SYSTEMS & TECHNOLOGY"
FIRSTGROUP PLC," 69,510,706 ", N ,FIRSTGROUP PLC,
SODEXHO ALLIANCE," 145,318,947 ", N ,SODEXHO ALLIANCE,SODEXHO USA
MANSON CONSTRUCTION CO.," 339,172,139 ", N ,MANSON CONSTRUCTION,MANSON CONSTRUCTION
GOVERNMENT OF CANADA," 2,653,702,764 ", Y ,GOVERNMENT OF CANADA,GOVERNMENT OF CANADA
UKPEAGVIK INUPIAT CORPORATION," 65,951,961 ", N ,UKPEAGVIK INUPIAT,UKPEAGVIK INUPIAT
NAVISTAR DEFENSE LLC," 4,727,948,333 ", Y ,NAVISTAR DEFENSE,Navistar International
BECHTEL GROUP  INC.," 3,027,224,892 ", Y ,BECHTEL GROUP,BECHTEL
HEWLETT-PACKARD COMPANY," 1,914,397,307 ", Y ,HEWLETT PACKARD COMPANY,HEWLETT PACKARD
FORCE PROTECTION  INC.," 1,360,427,189 ", Y ,FORCE PROTECTION,FORCE PROTECTION
SAIC  INC.," 5,198,428,455 ", Y ,SAIC,SAIC
OSHKOSH CORPORATION," 7,223,976,311 ", Y ,OSHKOSH,OSHKOSH
JOHNS HOPKINS UNIVERSITY," 902,172,695 ", Y ,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
CLARK  BALFOUR  BEATTY  A JOINT VENTURE," 358,475,382 ", N ,CLARK BALFOUR BEATTY A JOINT VENTURE,Clark Construction & Balfour Beatty
HONEYWELL INTERNATIONAL INC.," 1,690,894,804 ", Y ,HONEYWELL INTERNATIONAL,HONEYWELL
GOVERNMENT OF SINGAPORE," 215,507,072 ", N ,GOVERNMENT OF SINGAPORE,
THALES," 339,815,524 ", N ,THALES,THALES
HENSEL PHELPS CONSTRUCTION CO," 1,371,398,205 ", Y ,HENSEL PHELPS CONSTRUCTION,HENSEL PHELPS CONSTRUCTION
CADDELL YATES JOINT VENTURE," 181,882,000 ", N ,CADDELL YATES JOINT VENTURE,CADDELL YATES JOINT VENTURE
FINMECCANICA SPA," 1,982,775,250 ", Y ,FINMECCANICA SPA,PARAVANT COMPUTER SYSTEMS [FINMECCANICA SPA]
THE INTERPUBLIC GROUP OF COMPANIES INC," 537,209,810 ", Y ,THE INTERPUBLIC GROUP OF COMPANIES,INTERPUBLIC GROUP OF COMPANIES
REPUBBLICA ITALIANA," 158,136,250 ", N ,REPUBBLICA ITALIANA,
CERBERUS CAPITAL MANAGEMENT II  L.P," 1,184,223,787 ", Y ,CERBERUS CAPITAL MANAGEMENT II,CERBERUS
MCKESSON CORPORATION," 2,709,635,574 ", Y ,MCKESSON,MCKESSON
SOLPAC CONSTRUCTION  INC.," 149,588,912 ", N ,SOLPAC CONSTRUCTION,SOLPAC
SODEXO," 300,230,246 ", N ,SODEXO,SODEXO
WPP PLC," 146,098,975 ", N ,WPP PLC,WPP GROUP PLC
QINETIQ GROUP PLC," 523,505,136 ", Y ,QINETIQ GROUP PLC,QINETIQ GROUP
VT MILCOM INC.," 139,399,483 ", N ,VT MILCOM,VT GROUP PLC
CHUGACH ALASKA CORPORATION," 520,551,334 ", Y ,CHUGACH ALASKA,CHUGACH ALASKA
METRO MACHINE CORP.," 220,060,281 ", N ,METRO MACHINE,METRO MACHINE [General Dynamics]
LITTLEJOHN & CO.  L.L.C.," 106,361,308 ", N ,LITTLEJOHN & CO,"LITTLEJOHN & CO , LLC [SYNCHRONOUS AEROSPACE GROUP]"
JOHN DEERE SHARED SERVICES  INC.," 103,097,166 ", N ,JOHN DEERE SHARED SERVICES,
DYNCORP INTERNATIONAL INC.," 1,427,082,560 ", Y ,DYNCORP INTERNATIONAL,DYNCORP INTERNATIONAL
MICROSOFT CORPORATION," 257,269,821 ", N ,MICROSOFT,MICROSOFT
KIEWIT-GENERAL  A JOINT VENTURE," 96,927,901 ", N ,KIEWIT GENERAL A JOINT VENTURE,KIEWIT
KRATOS DEFENSE & SECURITY SOLUTIONS  INC.," 275,580,760 ", N ,KRATOS DEFENSE & SECURITY SOLUTIONS,KRATOS DEFENSE & SECURITY
BALFOUR BEATTY PLC," 401,211,449 ", N ,BALFOUR BEATTY PLC,BALFOUR BEATTY
FUENTEZ SYSTEMS CONCEPTS INCORPORATED," 90,987,557 ", N ,FUENTEZ SYSTEMS CONCEPTS,
WORLD WIDE TECHNOLOGY HOLDING CO.  INC," 90,178,881 ", N ,WORLD WIDE TECHNOLOGY HOLDING CO,WORLD WIDE TECHNOLOGY
JACOBS ENGINEERING GROUP INC.," 1,058,277,741 ", Y ,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
SERCO INC.," 87,851,927 ", N ,SERCO,SERCO GROUP PLC
STRAUB CONSTRUCTION  INC.," 85,794,677 ", N ,STRAUB CONSTRUCTION,
WATTS CONSTRUCTORS  LLC," 85,255,404 ", N ,WATTS CONSTRUCTORS,
W.M.JORDAN COMPANY  INCORPORATED," 98,299,065 ", N ,WM JORDAN COMPANY,
MISSION ESSENTIAL PERSONNEL  LLC," 847,343,740 ", Y ,MISSION ESSENTIAL PERSONNEL,MISSION ESSENTIAL PERSONNEL
COBHAM PLC," 368,239,839 ", N ,COBHAM PLC,COBHAM PLC
FORRESTER CONSTRUCTION COMPANY," 81,615,486 ", N ,FORRESTER CONSTRUCTION COMPANY,
M. C. DEAN  INC.," 78,872,475 ", N ,MC DEAN,M.C. DEAN
DZSP 21 LLC," 133,389,093 ", N ,DZSP 21,DZSP 21
URS-IAT LLC," 76,958,703 ", N ,URS IAT,
CHEMRING GROUP PLC," 427,796,492 ", N ,CHEMRING GROUP PLC,CHEMRING GROUP PLC
THE WALSH GROUP LTD," 616,238,630 ", Y ,THE WALSH GROUP,WALSH GROUP
STANLEY  INC.," 200,260,999 ", N ,STANLEY,STANLEY
NEW MOUNTAIN CAPITAL  L.L.C.," 131,924,355 ", N ,NEW MOUNTAIN CAPITAL,NEW MOUNTAIN CAPITAL
NOVA GROUP/TUTOR-SALIBA A JOINT VENTURE," 74,000,000 ", N ,NOVA GROUP/TUTOR SALIBA A JOINT VENTURE,
ABSHER CONSTRUCTION CO.," 72,209,331 ", N ,ABSHER CONSTRUCTION,
JOHN C. GRIMBERG CO.  INC.," 104,318,145 ", N ,JOHN C GRIMBERG CO,
MOTOROLA  INC," 69,565,615 ", N ,MOTOROLA,MOTOROLA
STRONGHOLD ENGINEERING INC," 109,106,686 ", N ,STRONGHOLD ENGINEERING,
AUSTAL USA  LLC," 287,421,130 ", N ,AUSTAL USA,AUSTAL
TURNER-PENICK," 213,303,344 ", N ,TURNER PENICK,
SWIFTSHIP SHIPBUILDERS  LLC," 183,203,836 ", N ,SWIFTSHIP SHIPBUILDERS,
SIERRA NEVADA CORPORATION," 1,448,952,018 ", Y ,SIERRA NEVADA,SIERRA NEVADA
DRS TECHNOLOGIES  INC.," 1,884,448,151 ", Y ,DRS TECHNOLOGIES,DRS
ARCHER WESTERN/RQ JOINT VENTURE," 151,048,000 ", N ,ARCHER WESTERN/RQ JOINT VENTURE,ARCHER WESTERN/ALBERICI JOINT VENTURE
SOLPAC CONSTRUCTION INC," 141,923,679 ", N ,SOLPAC CONSTRUCTION,SOLPAC
QINETIQ LTD," 137,771,715 ", N ,QINETIQ,QINETIQ GROUP
CAMBER CORPORATION," 135,650,893 ", N ,CAMBER,CAMBER
SERCO GROUP PLC," 476,446,861 ", N ,SERCO GROUP PLC,SERCO GROUP PLC
ATLANTIC CONTINGENCY CONSTRUCTORS  LLC," 126,612,834 ", N ,ATLANTIC CONTINGENCY CONSTRUCTORS,SHAW GROUP INC
"HENSEL PHELPS SOLTEK, JV"," 116,920,072 ", N ,"HENSEL PHELPS SOLTEK, JV",
OCEAN SHIPHOLDINGS  INC.," 205,218,761 ", N ,OCEAN SHIPHOLDINGS,OCEAN SHIPHOLDINGS
TALLEY DEFENSE SYSTEMS  INC.," 114,281,098 ", N ,TALLEY DEFENSE SYSTEMS,
DOUGLAS E BARNHART INC," 108,754,075 ", N ,DOUGLAS E BARNHART,
CADDELL CONSTRUCTION CO.  INC.," 318,751,233 ", N ,CADDELL CONSTRUCTION CO,CADDELL CONSTRUCTION CO
ATLANTIC MARINE HOLDING CO," 96,379,815 ", N ,ATLANTIC MARINE HOLDING,ATLANTIC MARINE HOLDING
STRAUB-MARTIN A JOINT VENTURE," 92,311,448 ", N ,STRAUB MARTIN A JOINT VENTURE,
MWH GLOBAL  INC.," 72,275,907 ", N ,MWH GLOBAL,MWH GLOBAL
UNITED STATES MARINE  INC.," 91,629,981 ", N ,UNITED STATES MARINE,US MARINE
KDH DEFENSE SYSTEMS INC," 90,380,486 ", N ,KDH DEFENSE SYSTEMS,
VERITAS CAPITAL MANAGEMENT II LLC," 1,548,270,236 ", Y ,VERITAS CAPITAL MANAGEMENT II,VERITAS CAPITAL FUND
SRA INTERNATIONAL  INC.," 183,449,751 ", N ,SRA INTERNATIONAL,SRA INTERNATIONAL
VIGOR INDUSTRIAL  LLC," 88,226,359 ", N ,VIGOR INDUSTRIAL,
OCEANEERING INTERNATIONAL INC," 109,470,392 ", N ,OCEANEERING INTERNATIONAL,OCEANEERING INTERNATIONAL
GOODWILL INDUSTRIES OF SOUTHEASTERN WISCONSIN  INC.," 110,731,956 ", N ,GOODWILL INDUSTRIES OF SOUTHEASTERN WISCONSIN,GOODWILL INDUS
BAE SYSTEMS HAWAII SHIPYARDS INCORPORATED," 160,647,894 ", N ,BAE SYSTEMS HAWAII SHIPYARDS,BAE SYSTEMS
CARTER ENTERPRISES LLC," 81,707,283 ", N ,CARTER ENTERPRISES,
THE PARSONS CORPORATION," 177,976,315 ", N ,THE PARSONS,THE PARSONS GROUP
MARINE HYDRAULICS INTERNATIONAL INC.," 78,576,782 ", N ,MARINE HYDRAULICS INTERNATIONAL,
NANA REGIONAL CORPORATION," 131,868,133 ", N ,NANA REGIONAL,NANA REGIONAL
BOOZ ALLEN HAMILTON HOLDING CORPORATION," 2,615,384,287 ", Y ,BOOZ ALLEN HAMILTON HOLDING,BOOZ ALLEN HAMILTON
CLARK/MCCARTHY  A JOINT VENTURE," 393,883,000 ", N ,CLARK/MCCARTHY A JOINT VENTURE,"CLARK-MCCARTHY HEALTHCARE PARTNERS, A JOINT VENTURE"
MARITIME HELICOPTER SUPPORT COMPANY LLC," 534,389,494 ", Y ,MARITIME HELICOPTER SUPPORT COMPANY,MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture]
COMPUTERSHARE LIMITED," 1,365,024,559 ", Y ,COMPUTERSHARE,COMPUTERSHARE
ALLIANT TECHSYSTEMS INC.," 1,589,132,107 ", Y ,ALLIANT TECHSYSTEMS,ALLIANT TECHSYSTEMS OPERATIONS
CLARK ENTERPRISES  INC.," 747,985,884 ", Y ,CLARK ENTERPRISES,CLARK
CERBERUS CAPITAL MANAGEMENT  L.P.," 3,874,962,534 ", Y ,CERBERUS CAPITAL MANAGEMENT,CERBERUS
NANA REGIONAL CORPORATION  INC.," 505,921,033 ", Y ,NANA REGIONAL CORPORATION,NANA REGIONAL
WATTS WEBCOR OBAYASHI A JV," 158,132,500 ", N ,WATTS WEBCOR OBAYASHI A JV,
SKANSKA AB," 154,659,988 ", N ,SKANSKA AB,SKANSKA USA
DELL INC.," 831,685,623 ", Y ,DELL,DELL
COURT SQUARE CAPITAL PARTNERS  L.P.," 755,954,543 ", Y ,COURT SQUARE CAPITAL PARTNERS,COURT SQUARE CAPITAL PARTNERS
APPTIS HOLDINGS  INC.," 593,678,403 ", Y ,APPTIS HOLDINGS,APPTIS
GROUPE CGI INC," 404,178,607 ", N ,GROUPE CGI,CGI GROUP
CDM-FILANC JV," 139,546,000 ", N ,CDM FILANC JV,
AMERICAN MARITIME HOLDINGS  INC.," 132,556,558 ", N ,AMERICAN MARITIME HOLDINGS,AMERICAN MARITIME HOLDINGS
THE SHAW GROUP INC," 1,135,249,237 ", Y ,THE SHAW GROUP,SHAW GROUP INC
WEBCOR / RA BURCH A JV," 124,300,000 ", N ,WEBCOR / RA BURCH A JV,
GOODRICH CORPORATION," 622,770,377 ", Y ,GOODRICH,GOODRICH
T. B. PENICK & SONS  INC.," 99,808,771 ", N ,TB PENICK & SONS,
NEANY  INC," 118,293,365 ", N ,NEANY,
ALION - IPS CORPORATION," 94,908,491 ", N ,ALION IPS,
"BAE SYSTEMS HAWAII SHIPYARDS, INC"," 94,272,243 ", N ,BAE SYSTEMS HAWAII SHIPYARDS,BAE SYSTEMS
EPSILON SYSTEMS SOLUTIONS  INC.," 123,883,906 ", N ,EPSILON SYSTEMS SOLUTIONS,
SYSTEMS ENGINEERING ASSOCIATES CORPORATION," 89,647,597 ", N ,SYSTEMS ENGINEERING ASSOCIATES,
STRAUB-MARTIN HARRIS  A JOINT VENTURE," 87,672,126 ", N ,STRAUB MARTIN HARRIS A JOINT VENTURE,
ERAPSCO," 182,135,404 ", N ,ERAPSCO,
AT&T INC.," 469,109,391 ", N ,AT & T,AT&T
GRYPHON TECHNOLOGIES  L.C.," 93,621,724 ", N ,GRYPHON TECHNOLOGIES LC,
GUAM MACC BUILDERS A JV," 156,006,044 ", N ,GUAM MACC BUILDERS A JV,
J. F. TAYLOR  INC.," 107,375,906 ", N ,JF TAYLOR,
WORLD WIDE TECHNOLOGY HOLDING CO.  INC.," 445,846,985 ", N ,WORLD WIDE TECHNOLOGY HOLDING CO,WORLD WIDE TECHNOLOGY
NOVA GROUP  INC-UNDERGROUND CONSTRUCTION COMPANY  INC  AJV," 81,717,159 ", N ,NOVA GROUP INC UNDERGROUND CONSTRUCTION COMPANY INC AJV,
HUNTINGTON INGALLS INDUSTRIES  INC.," 7,303,499,779 ", Y ,HUNTINGTON INGALLS INDUSTRIES,HUNTINGTON INGALLS INCORPORATED
DCK/TTEC  LLC," 219,530,754 ", N ,DCK/TTEC,DCK/TTEC [Joint Venture - DCK/Tetra Tech]
THE HASKELL COMPANY," 144,942,833 ", N ,THE HASKELL COMPANY,HASKELL COMPANY
BABCOCK INTERNATIONAL GROUP PLC," 135,418,884 ", N ,BABCOCK INTERNATIONAL GROUP PLC,BABCOCK INTERNATIONAL GROUP PLC
CATERPILLAR INC.," 477,182,357 ", N ,CATERPILLAR,CATERPILLAR
VERITAS CAPITAL FUND II L.P.  THE," 3,076,577,865 ", Y ,VERITAS CAPITAL FUND II LP,VERITAS CAPITAL FUND
CARLYLE PARTNERS IV  L.P.," 844,826,996 ", Y ,CARLYLE PARTNERS IV,CARLYLE GROUP
QED SYSTEMS  INC.," 124,756,283 ", N ,QED SYSTEMS,
VIGOR INDUSTRIAL LLC," 149,393,698 ", N ,VIGOR INDUSTRIAL,
STERLING PARENT INC.," 419,996,571 ", N ,STERLING PARENT,STERLING
PII  INC.," 100,722,995 ", N ,PII,
GOLDBERG LINDSAY & CO. LLC," 98,033,769 ", N ,GOLDBERG LINDSAY & CO,
HENSEL PHELPS GRANITE HANGAR JOINT VENTURE," 97,222,000 ", N ,HENSEL PHELPS GRANITE HANGAR JOINT VENTURE,
CENTURUM INC.," 96,770,545 ", N ,CENTURUM,
CASEPRO INC," 94,430,942 ", N ,CASEPRO,CASEPRO
DATA LINK SOLUTIONS L.L.C.," 258,324,906 ", N ,DATA LINK SOLUTIONS,
HOCHTIEF AG," 485,832,520 ", N ,HOCHTIEF AG,HOCHTIEF AG
TCOM  LIMITED PARTNERSHIP A/K/A TCOM  L.P.," 90,930,884 ", N ,TCOM LIMITED PARTNERSHIP A/K/A TCOM,
NAVISTAR INTERNATIONAL CORPORATION," 1,867,806,085 ", Y ,NAVISTAR INTERNATIONAL,Navistar International
HENSEL PHELPS-GRANITE JV," 89,719,000 ", N ,HENSEL PHELPS GRANITE JV,
"BEARINGPOINT, INC."," 89,184,879 ", N ,BEARINGPOINT,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES]
CDI CORP.," 82,315,168 ", N ,CDI,CDI
NAVMAR APPLIED SCIENCES CORPORATION," 253,191,378 ", N ,NAVMAR APPLIED SCIENCES,NAVMAR APPLIED SCIENCES
DAKOTA CREEK INDUSTRIES  INC.," 146,807,690 ", N ,DAKOTA CREEK INDUSTRIES,
EMCOR GROUP  INC.," 180,526,923 ", N ,EMCOR GROUP,EMCOR COMPANY
CH2M HILL COMPANIES  LTD.," 370,903,805 ", N ,CH2M HILL COMPANIES,CH2M HILL
CGI TECHNOLOGIES AND SOLUTIONS INC.," 351,953,934 ", N ,CGI TECHNOLOGIES & SOLUTIONS,CGI GROUP
PAE HOLDING CORPORATION," 112,034,101 ", N ,PAE HOLDING,PAE GOVERNMENT SERVICESORP
OFFSHORE SERVICE VESSELS  L.L.C.," 100,868,966 ", N ,OFFSHORE SERVICE VESSELS,
