fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,ASSOCIATION OF AM RAILROADS,3900,2,1
2006,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,15e3,2,1
2006,ASSURANCE TECHNOLOGY TRUST,23949863,5149,88
2006,ASTARIS,17230,1134,2
2006,ASTRONAUTICS OF AMERICA,6003032,6477,73
2006,ASTRONICS,6888344.8125,8648,545
2006,AT&T,310444892.4806,21482,5814
2006,ATK,1244718367.8438,13295,719
2006,ATLANTIC COAST,1451460,2600,5
2006,ATLANTIC DIVING SUPPLY,159946973.4832,6515,2104
2006,ATLANTIC MANAGEMENT CENTER,472264,3121,7
2006,ATLANTIC MARINE HOLDING,660053,2885,6
2006,ATLANTIS,212287,3580,48
2006,ATLAS COPCO NORTH AMERICA,616524.4702,3029,57
2006,ATMOS ENERGY,8419557.6875,1137,12
2006,AURORA FLIGHT SCIENCES,10751467,4732,9
2006,AUSTAL,16499917,3512,9
2006,AUTODESK,17750,1136,3
2006,AUTOMATIC COATING,72532,1798,4
2006,AVALON SYSTEMS PTY,115063,3171,72
2006,AVAYA,28243159.4795,11720,240
2006,AVERSTAR,-162339,561,14
2006,AVIALL,472327,8133,35
2006,AVID TECHNOLOGY,5406236.3496,13622,137
2006,Avis Budget Group,31320,1134,2
2006,AVISTA,-29828,438,14
2006,AVNET,5784897.2,7455,363
2006,AVOCENT HUNTSVILLE,3057545.4395,5443,60
2006,AVTRON MANUFACTURING,2450973,7719,47
2006,AWK CONSULTING,0,2,1
2006,AZIMA HOLDINGS,646400,2446,45
2006,B & H PHOTO VIDEO,9033587.8962,14616,597
2006,B & K RENTALS AN,44050,1798,3
2006,B BRAUN OF AME,462860,6557,26
2006,BAE SYSTEMS,5796368724.9455,22811,8150
2006,BAHRAIN PETROLEUM COMPANY,477535380,1807,19
2006,BAKER COMMODITIES,58604,3,2
2006,BALFOUR BEATTY,2831497.5698,2913,25
2006,BALL CORP,92115087,4773,212
2006,BALLANTYNE OF OMAHA,6270,2,1
2006,BALLARD ASSO,98847,2600,5
2006,BAPTIST HEALTH CARE,380627,2600,5
2006,BARBER COLMAN,107077,2602,6
2006,BART & ASSOCIATES,1429452,1138,4
2006,BASIC COMMERCE & INDUSTRIES,15293659.8062,2517,47
2006,BASIC MARINE,10889945,3320,9
2006,BATAVIA,12012,1134,2
2006,BATTELLE,570317891.25,11596,1741
2006,BAX GLOBAL,89068264,1850,32
2006,BAXTER INTERNATIONAL,1656528,4027,72
2006,BAY STATE GAS,192062,3,10
2006,BAYER,14396505,8054,119
2006,BBA AVIATION PLC,6545031.3984,3906,229
2006,BBDO WORLDWIDE,30970,2602,6
2006,BC Partners,1600842,5171,9
2006,BCP INTERNATIONAL,22320880,4187,73
2006,BEACON AUTO PARTS,629072,7052,15
2006,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES],226206780.2491,22046,462
2006,BECHTEL,1274905520.3125,5172,232
2006,BECK COMPANY,31200,3318,8
2006,"BEHRMAN CAPITAL [PELICAN PRODUCTS, INC ]",10188970.6195,8762,314
2006,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],1110561999,149,111
2006,BELL CONSTRUCTORS,509386,2600,5
2006,BELL COUNTY WA,5019658,3121,7
2006,BELL HOWELL,7110,1134,2
2006,BELLSOUTH,13607972.8321,9710,221
2006,BERGER GROUP,7676844.7207,4426,59
2006,BERING STRAIT,5931076.1797,3322,76
2006,BERKSHIRE HATHAWAY,132660501,8079,189
2006,BERWIND,13420,2,1
2006,BETAC INTERNATIONALORATIO,-982,2,1
2006,BETHEL NATIVE,418119,1134,2
2006,BFM AEROSPACE,4093099,3896,190
2006,BINSWANGER GLASS COMPANY,4394,2,1
2006,BITWISE DESIGNS,3173471,12090,83
2006,BL HARBERT INTERNATIONAL,123202073,4602,90
2006,BLACK & DECKER,104861,2889,8
2006,BLACK & VEATCH HOLDING,11412572.3301,1153,115
2006,BLACK BOX,16268750.53,12011,265
2006,BLACK EEL,23097837,3121,7
2006,BLACKWATER WORLDWIDE,30152968.490199998,8905,162
2006,BLUE RIDGE NETWORKS,147334,4,2
2006,BLUE TEE,24046,4,3
2006,BMC SOFTWARE,9259939.5205,8976,199
2006,BMT GROUP,5270188.6719,3124,18
2006,BOB CROWE,6503969.4062,12876,280
2006,BOEING,23385759899.1528,30613,10869
2006,BONNEVILLE INTERNATIONAL,42450,3596,6
2006,BOOZ ALLEN HAMILTON,1306768672.3711,21202,3023
2006,BP GLOBAL,946327155,2966,74
2006,BRANCH GROUP1049 PG BLVD,70203,5171,9
2006,BRIGHTON MARINE HEALTH CENTER,96004971,3320,9
2006,BRISTOL BAY NATIVE,38898463.9144,6111,330
2006,BRITISH TELECOMMUNICATIONS,8145380.1543000005,3373,56
2006,BRIX,200,1134,4
2006,BROADMOOR,-1461805,160,11
2006,BROADSMART,26115,2239,5
2006,BROOKHAVEN SCIENCE  [BATTELLE/RESEARCH FOUNDATION OF SUNY],4e3,2,1
2006,BROOKS RANGE CONTRACT SERVICES,2498736,4,2
2006,BROWNING FERRIS,14206,3,10
2006,BRTRC,18600704.83,9416,69
2006,BRUTON STREET,69538772.9609,9416,92
2006,BURLINGTON ENV,2347255,4731,484
2006,BURLINGTON INDUSTRIES,12164910,3738,9
2006,BURNS & MCDONNELL,59553806.1386,7956,166
2006,BUSINESS PLUS,9297778,3334,41
2006,BUTLER MANUFACTURING,2114008,3368,18
2006,BW/IP INTERNATIONAL,80691,1798,3
2006,C & D,1559457.4844,673,15
2006,C & D TECHNOLOGIES,384812,2268,6
2006,C3I SYSTEMS GROUP,5549229,6257,35
2006,CACI,895263487.5216,31206,2446
2006,CADDELL CONSTRUCTION CO,96328298,5637,47
2006,CAE,89115666.2598,7459,86
2006,CAJUN INDUSTRIES,35065469,2359,44
2006,CALCASIEU REFINING,251056696,1134,3
2006,CALIAN,862765,3121,7
2006,CALIBRE SYSTEMS,62874637,3038,231
2006,CALIFORNIA INSTITUTE OF TECHNOLOGY,6686433,2475,20
2006,CALISTA,16005642,867,19
2006,"CAMBER COPORATION/DYNETICS, INC. (JV)",77415688.8203,2032,349
2006,CAMBRIDGE INFORMATION GROUP,413629,6258,13
2006,CAMECA USA,151599,3375,7
2006,CAMP DRESSER & MCKEE,13424785,7798,107
2006,CANADIAN COMMERCIAL CORPORATION,564691117.5006,9392,1519
2006,CANON,40200564.6872,19537,1630
2006,CAPE ENVIRONME,78225806,9455,159
2006,CapRock Communications,96096402.8291,8295,144
2006,CAPTARIS,331125,3740,10
2006,CARAHSOFT TECHNOLOGY,12517285.1974,20877,177
2006,CARDINAL HEALTH,647067509.7998,5237,37719
2006,CARGILL,51966506,3524,34
2006,CARGOTEC,56220960,3610,212
2006,CARLISLE,6369727,2605,22
2006,CARLYLE GROUP,8799978.4188,8217,80
2006,CARMEL MARINA,872014.9688,1134,5
2006,CARNEGIE MELLON UNIVERSITY,72629006,7083,53
2006,CARNIVAL,6439e3,1798,3
2006,CAROTHERS CONSTRUCTION,75829845.20120001,6641,63
2006,CARRIER,608097,7499,45
2006,CARSON ALEXIOU,11275225,5123,23
2006,CASALS & ASSOCIATES,186393,2,1
2006,CASELLA WASTE MANAGEMENT,52949,561,14
2006,CASEPRO,1304679,5124,11
2006,CATAPULT TECHNOLOGY,2916818,3320,9
2006,CATERPILLAR,158567135.6784,5925,1312
2006,CATERPILLAR MITSUBISHI JV,1091795,3424,20
2006,CB & I,180080,2885,6
2006,CB RICHARD ELLIS,2e4,1134,2
2006,CCI,33864929,2556,127
2006,CDI MARINE,34638237.4707,2676,361
2006,CDM FEDERAL PROGRAMS,200437,2,1
2006,CDW,143252595.2991,32408,3217
2006,CELLULIFE,56218,6,3
2006,CELTEL,12e3,2239,4
2006,CENTECH GROUP,108521713.2109,7779,338
2006,CENTENNIAL CONTRACTORS ENT,50744136.895100005,5378,383
2006,CENTER FOR ENTR,18240,2,1
2006,CENTERRA GROUP,35345652.1636,2264,265
2006,CENTEX CONSTRUCTION,781519,2600,5
2006,CENTRA TECHNOLOGY,1288533,7633,13
2006,CENTRAL HUDSON,345642,3512,9
2006,CENTRAL PARKING,22219,4868,9
2006,CENTRAL TEXAS,34496556,6933,786
2006,CENTURION GROUP,1123216.379,3797,24
2006,CENTURYTEL,784776,7684,57
2006,CERADYNE,436231154,4460,53
2006,CERES ENVIRONMENTAL,454718958.4375,3189,76
2006,CERIDIAN,34208702,4398,8
2006,CES,705,1134,2
2006,CESPA,7372383,1134,4
2006,CETROM,92286.625,3318,8
2006,CF BEAN,51347812,1799,30
2006,CFM INTERNATIONAL,35221449,3351,188
2006,CGI GROUP,15910155.3594,8217,35
2006,CH2M HILL,465737699.128,5902,1060
2006,CHANNEL TECHNOLOGIES,3986183,2938,69
2006,CHARLENE OWENSBY,19414,2,1
2006,CHARLES BESELER,261557,2932,5
2006,CHARLES E SMITH MANAGEMENT,-271,2,1
2006,CHARLES RIVER LABORATORIES,3008443,5174,28
2006,CHARLES STARK DRAPER LABORATORY,275506775,11758,96
2006,CHARLES T BRYANT & ASSOCIATES,-2237,1134,2
2006,CHAS KURZ &,30980206,2125,37
2006,CHELTON AVIONICS,2155562.5598,9159,36
2006,CHEMRING GROUP PLC,204532791.12,6294,148
2006,CHENEGA,262075229.7843,9544,881
2006,CHENEGA BLACKWATER SOLUTIONS,534e4,1134,5
2006,CHEROKEE NATION BUSINESSES,2634883,1139,23
2006,CHEVRON,163960646.75,5741,69
2006,CHILDREN'S NATIONAL MEDICAL CT,-76380,2,1
2006,CHIRON,3372810,160,12
2006,CHOCTAW MANAGEMENT,66739141.7599,6152,554
2006,CHOICEPOINT,452340,5175,11
2006,CHRISTUS HEALTH,132433573,5200,10
2006,CHUCK FUNKE,1816110.875,1137,12
2006,CHUGACH ALASKA,624551640.3774,9203,2274
2006,CILCORP,-811,2,1
2006,CINCINNATI BELL,63370,6916,15
2006,"CIRCOR INTERNATIONAL, INC [AEROSPACE]",141965.34960000002,5586,12
2006,CISCO SYSTEMS,163178,768,16
2006,CITIZENS COMMUNICATIONS,17995.9609,1798,3
2006,CITRIX SYSTEMS,2711783.6924,10863,107
2006,CLARCOR,500304,5692,36
2006,CLARK,116514957,2675,58
2006,Classified Domestic Contractor,521263020.5904,6051,2597
2006,CLEAN HARBORS,4090608.3203,8362,988
2006,CLEAN METRO,875130,301,12
2006,CLEAN VENTURE,53606,1798,5
2006,CLEARBROOK,210474,1798,3
2006,CLIENT NETWORK SERVICES,656468,4019,8
2006,CLIENT SOLUTION ARCHITECTS,2843013,1139,13
2006,CMC Electronics,1115686,7866,50
2006,CNA,84990335.8502,2209,393
2006,COBB'S AUTOMOTIVE,-6406,1134,2
2006,COBHAM PLC,24463582,8457,244
2006,COLLAZO ENTERPRISES,59400767,8464,154
2006,COLONNA SHIPYARD,11711846,2343,36
2006,COLT DEFENSE,95826986,3467,64
2006,COLT INDUSTRIES,8487438.6006,11131,78
2006,COLTEC INDUSTRIES,1097328,3735,52
2006,COMBAT SUPPORT ASSOCIATES,356999708,768,16
2006,COMCAST CABLE COMMUNICATIONS,2104122.6832999997,13363,179
2006,COMCEL S.A.,184366,2913,63
2006,COMFORT SYSTEMS,-650,2,1
2006,CommScope,99898,4683,12
2006,COMPASS GROUP,6701,2239,4
2006,COMPUNETICS I,452196,2887,7
2006,COMPUTER ASSOCIATES,30763261.1953,15637,134
2006,COMPUTER EQUITY,382648,6637,12
2006,COMPUTER OF AMERICA,4350773,2934,6
2006,COMPUTER SCIENCES,2038549908.1426,39607,3368
2006,COMPUTER TECHNOLOGY SERVICES,-452534,2,1
2006,COMPUTER TEMPORARIES,2844819.0603,14085,72
2006,COMPUWARE,2752087.3984,13996,30
2006,COMTECH,163830692,2139,204
2006,COMTEQ FEDERAL,5855218.7702,24172,374
2006,CON-WAY,0,1,1
2006,CONCORD PERSONNEL SERVICES,250556,7519,15
2006,CONCURRENT COMPUTER,670043.1399,9039,20
2006,CONCURRENT TECHNOLOGIES CORPORATION,154236560.5,11228,324
2006,CONFEDERATED SALISH & KOOTENAI,39643712,7937,93
2006,CONOCOPHILIPPS,180690596,436,15
2006,CONSOLIDATED RIGGING & MARINE,57422,3318,8
2006,CONSTELLATION ENERGY,2905277,2,2
2006,CONSTRUCTION COST SERVICES,173394,6006,14
2006,CONSTRUCTION PARTNERS,7815198,1055,19
2006,CONTINENTAL SHELF ASSOCIATES,91e4,1798,3
2006,CONTINENTAL WASTE,10116,2,1
2006,CONTRACK INTERNATIONAL,52682872,486,135
2006,CONTRACT MANAGEMENT,2004260,4076,26
2006,CORNELL COMPANIES [GEO GROUP],0,1,1
2006,CORNING,235856.0503,8,26
2006,CORPORATE EXPRESS,3808648,4678,42
2006,CORRPRO COMPANIES,7527632,5979,81
2006,Cort Business Services,106559.13029999999,7162,16
2006,CORT FURNITURE,-20990,2,1
2006,COUNTERTRADE PRODUCTS,26634700.0596,10711,420
2006,COX COMMUNICATIONS,5042709.3236,5320,169
2006,CPI HOLDING COMPANY,17912821.25,8694,149
2006,CR ASSOCIATES,32485463.8125,2812,71
2006,CRANE COMPANY,9252523,2038,144
2006,CREATIVE ASSOCIATES INTERNATIONAL,103381,2,1
2006,CREATIVE INFORMATION TECHNOLOGY,2501,2,14
2006,CREDENCE,242782,2,1
2006,CREE,168924,2,1
2006,CRITICAL SOLUTIONS INTERNATIONAL,34072657,3318,8
2006,CROWLEY MARITIME,12506609,4499,33
2006,CSC GOVERNMENT SOLUTIONS,681859622.9132,17769,984
2006,"CSP, INC [MODCOMP]",5337,2,1
2006,CSRA,1487262,2239,4
2006,CSX,800,1134,2
2006,CTA,3363627.5771,3039,66
2006,CUBIC,318406095.0217,4916,475
2006,CURRAN RAIL MANAGEMENT,7443,2,1
2006,CURTISS WRIGHT,40587132.0444,7973,168
2006,CUTLER INDUSTR,39133,1136,3
2006,CUTTING EDGE OPTRONICS,82483.75,1134,2
2006,CW GROUP,2082271,6930,38
2006,D & B,10766,2,1
2006,DAIMLER,139391080.4388,13733,248
2006,DALE CARNEGIE TRAINING,30372,1134,2
2006,DAMES & MOORE,-103045,675,16
2006,DANAHER,2196081.25,9337,182
2006,DANKA HOLDING COMPANY,2146380.3907,12159,124
2006,DASSAULT SYSTÃˆMES,493732,5753,14
2006,DATA GENERAL,-10364,1134,2
2006,DATALINE,15951455,4843,157
2006,DATASCOPE,290234.5,2605,16
2006,DAVIS BACON,2594123,4019,19
2006,DAY & ZIMMERMANN,98966712.6609,2665,465
2006,DAYTON POWER & LIGHT,12980298,4683,9
2006,DBA PESTMASTER SERVICES,135815,1134,2
2006,DDL OMNI ENGINEERING,19318771,966,170
2006,DECISIONS SYS,0,2,1
2006,DEFENSE SUPPORT SERVICES,42432740.1185,7788,310
2006,DEL JEN,404087.5938,2,1
2006,DEL MONTE FOODS,68895380,626,17
2006,DELL,643408777.8119,28881,9678
2006,DELMAR SYSTEMS,-1e5,2,1
2006,DELOITTE,74534052,9187,124
2006,DEPARTMENT OF ENERGY,885519649,5360,11
2006,DEPARTMENT OF ONCOLOGY,1776523,3320,9
2006,DEUTSCHE TELEKOM AG,15775891.4063,8292,16
2006,DEVELOPMENT EC,25636,2,1
2006,DEWBERRY,4609971,2620,52
2006,DHL,1263089,8176,72
2006,DICK ENTERPRISES,98769085,3087,179
2006,"DIEHL STIFTUNG & CO KG, THALES SA",273052,2566,19
2006,DIGICON,9663082,8112,57
2006,DigitalGlobe,49130950,4326,247
2006,DILLINGHAM CONSTRUCTION,4299530,160,11
2006,DIMCO,2267775,2320,45
2006,DIVERSIFIED DISTRIBUTORS INTL,404226,2103,15
2006,DLT SOLUTIONS,91628819.0741,21036,744
2006,DMD,2e4,1798,3
2006,DMS,-212052,1286,22
2006,DOCUPAK,103807156,4,102
2006,DODSON STILSON,982020,160,11
2006,DOGOG FARM,338526947,2661,53
2006,DONALD L MOONEY ENTERPRISES,488348,4037,7
2006,DONALDSON COMPANY,271199,1569,27
2006,DOORWAYS,863,2239,4
2006,DOVER,63215,3318,8
2006,DOVER ELEVATOR,130257,4019,13
2006,DRS,963774410.5879999,11870,983
2006,DSCI,3228010,865,18
2006,DTM,16969526.25,5977,41
2006,DUCOMMUN,3394901,5173,10
2006,DUKE ENERGY,-2086,2,1
2006,DUKE UNIVERSITY,8435646.25,1873,29
2006,DUKES,200656,2241,5
2006,DUN & BRADSTREET,3237618,8008,67
2006,DYNAMAC INTERNATIONAL,1260955.3799,2639,32
2006,DYNAMIC STRUCTURES & MATERIA,210366,1800,4
2006,DYNAMIC SYSTEMS,17144427.1285,14133,244
2006,DYNAMICS RESEARCH,131103128.1001,13133,465
2006,DYNAMICS TECHNOLOGY OF DE,7053807,3527,27
2006,DYNATECH,5418976.044,8355,111
2006,DYNCORP INTERNATIONAL,832743416.0859,15348,1196
2006,DYNETICS,82959450,7295,378
2006,DZSP 21,55275445,673,15
2006,E & D SERVICES,144481.0062,6591,29
2006,EADS NV,59421484.1191,5117,47
2006,EAGLE CONSTRUCTION & ENVIRONME,1469119.1499,5166,24
2006,EAGLE GROUP,184353969.8706,1216,201
2006,EAGLE INDUSTRIES UNLIMITED,2955922,4582,23
2006,EAI INTERNATIONAL,0,2239,4
2006,EARL INDUSTRIES,153932267.6085,3832,534
2006,EARTH TECH,91871794,3801,322
2006,EASTERN RESEARCH GROUP,205356.5199,1288,23
2006,EASTERN SHIPBUILDING GROUP,54847,4,2
2006,EASTMAN KODAK,6308288,4496,52
2006,EATONORAT,23354603.0913,9518,564
2006,EBREX FOOD SERVICES SARL,18329133,71,1050
2006,EBSCO INDUSTRIES,6121779,8181,87
2006,EC AMERICA,18507066.3048,14837,250
2006,ECOLOGY & ENVIRONMENT,14055816,4640,91
2006,EDAC TECHNOLOGIES,1259304.5,3377,8
2006,EDAW,9489034,5018,66
2006,EDO ACQUISITION II,11299087.3519,6034,71
2006,EDUCATION DEVELOPMENT CENTER,839948,2602,6
2006,EDUCATIONAL TESTING SERVICE,3311137,2600,5
2006,EDWARDS & KELCEY,189114,1798,4
2006,EG & G [URS],2616717,3365,31
2006,EI KANE,345897,2270,5
2006,ELBIT SYSTEMS,195106945.6699,8571,117
2006,ELECTRO SWITCH,77856,4921,11
2006,ELECTRONIC CABLE SPECIALISTS,10467,1136,3
2006,ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],1982109575.0307999,12591,6821
2006,ELECTROPHYSICS,3644575,4986,23
2006,ELLING HALVORSON,385e3,2239,4
2006,ELMA ELECTRONIC,576503,1747,29
2006,ELMHURST REASEARCH,11851351,9115,36
2006,ELMHURST RESEARCH,1709740.2188,2446,45
2006,EMASS,54458,1800,4
2006,EMC,40364267.375,16556,224
2006,EMCON,6331,1798,3
2006,EMCOR COMPANY,77140336.2383,4017,102
2006,EMERGENT BIOSOLUTIONS,54506375,2885,6
2006,EMERSON CONSTRUCTION,7659308,2515,47
2006,EMR,242252,6399,16
2006,EMS TECHNOLOGIES,4473039,8891,19
2006,ENCOMPASS SERVICES,130606,1136,3
2006,ENDEVCOOR,-44092,1134,2
