fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,CORNING,86113.0503,10,10
2006,CORPORATE EXPRESS,3628648,36,37
2006,CORRPRO COMPANIES,7466319,59,72
2006,Cort Business Services,56237.1303,7,7
2006,COUNTERTRADE PRODUCTS,10829882,165,166
2006,COX COMMUNICATIONS,2956794.3236,118,118
2006,CPI HOLDING COMPANY,11097399.25,54,59
2006,CR ASSOCIATES,3458763.8125,57,61
2006,CRANE COMPANY,738607,19,19
2006,CREATIVE ASSOCIATES INTERNATIONAL,103381,1,1
2006,CREATIVE INFORMATION TECHNOLOGY,2501,1,14
2006,CREE,168924,1,1
2006,CROWLEY MARITIME,9472727,26,27
2006,CSC GOVERNMENT SOLUTIONS,190950232.8458,411,388
2006,CTA,2267089.9472,50,52
2006,CUBIC,96451208,150,150
2006,CURTISS WRIGHT,6415137.0444,90,84
2006,CUTLER INDUSTR,31538,2,2
2006,CUTTING EDGE OPTRONICS,82483.75,2,2
2006,CW GROUP,1449900,7,12
2006,DAIMLER,2017969,30,31
2006,DAMES & MOORE,-1080,1,1
2006,DANAHER,851019.25,92,92
2006,DANKA HOLDING COMPANY,75564.4698,24,24
2006,DATALINE,14215511,124,124
2006,DATASCOPE,107375.5,5,5
2006,DAVIS BACON,1712162,2,13
2006,DAY & ZIMMERMANN,7770786.4192,188,193
2006,DDL OMNI ENGINEERING,19318771,181,170
2006,DEFENSE SUPPORT SERVICES,6652999.1185,92,99
2006,DELL,110368317.0767,2437,2438
2006,DELOITTE,14986134,35,35
2006,DEPARTMENT OF ENERGY,885288649,7,7
2006,DEPARTMENT OF ONCOLOGY,1765273,8,8
2006,DEWBERRY,2744334,31,32
2006,DHL,96202,2,2
2006,DICK ENTERPRISES,54715315,55,56
2006,"DIEHL STIFTUNG & CO KG, THALES SA",232955,16,16
2006,DLT SOLUTIONS,19274786.0541,237,237
2006,DOVER ELEVATOR,-582,2,7
2006,DRS,51094222.7813,384,384
2006,DTM,3142616,3,5
2006,DUCOMMUN,40186,4,4
2006,DUKE UNIVERSITY,4913860.25,13,14
2006,DUN & BRADSTREET,143071,13,13
2006,DYNAMAC INTERNATIONAL,-28490,2,2
2006,DYNAMIC STRUCTURES & MATERIA,2e5,3,3
2006,DYNAMIC SYSTEMS,6246383.5333,75,75
2006,DYNAMICS RESEARCH,14600619.1001,65,65
2006,DYNAMICS TECHNOLOGY OF DE,6506495,22,22
2006,DYNATECH,3390018.0938,63,64
2006,DYNCORP INTERNATIONAL,220288985,329,290
2006,DYNETICS,74235,2,2
2006,DZSP 21,55275445,15,15
2006,E & D SERVICES,36967.0062,8,8
2006,EADS NV,2689382.1191,23,23
2006,EAGLE CONSTRUCTION & ENVIRONME,1056809,3,3
2006,EAGLE GROUP,1343588,11,11
2006,EAGLE INDUSTRIES UNLIMITED,295709,6,6
2006,EARL INDUSTRIES,153827071.6085,532,532
2006,EARTH TECH,8782587,130,134
2006,EASTERN RESEARCH GROUP,53314.5199,22,22
2006,EASTERN SHIPBUILDING GROUP,23512,1,1
2006,EASTMAN KODAK,162353,14,14
2006,EATONORAT,1551847.2412,26,26
2006,EBSCO INDUSTRIES,2776376,20,20
2006,EC AMERICA,9720622.6251,67,67
2006,ECOLOGY & ENVIRONMENT,4506432,37,40
2006,EDAC TECHNOLOGIES,4952,1,1
2006,EDAW,9396900,56,61
2006,EDO ACQUISITION II,11271462.3519,61,64
2006,EDUCATIONAL TESTING SERVICE,3311137,5,5
2006,EI KANE,16797,2,2
2006,ELBIT SYSTEMS,137121177,22,30
2006,ELECTRO SWITCH,67459,7,7
2006,ELECTRONIC CABLE SPECIALISTS,7185,2,2
2006,ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],1820975531.2638,14596,6326
2006,ELECTROPHYSICS,1297246,12,13
2006,ELMA ELECTRONIC,576503,29,29
2006,ELMHURST REASEARCH,6538203,8,8
2006,EMASS,47395,3,3
2006,EMC,3226727,31,31
2006,EMCOR COMPANY,57713929.2383,81,87
2006,EMR,3300,1,1
2006,EMS TECHNOLOGIES,920174,6,6
2006,ENERTEK INTERNATIONAL,2566328.4375,17,17
2006,ENFIELD ENTERPRISES,1854039.0498,12,13
2006,ENGINEERED SUPPORT SYSTEMS,10701404,33,34
2006,ENGINEERING SUPPORT PERSONNEL,17623071,83,83
2006,ENGINEOUS SOFTWARE,49860,1,1
2006,ENSIGN BICKFORD INDUSTRIES,427803,2,2
2006,ENSR INTERNATIONAL,411407,11,12
2006,ENTERGY,0,1,1
2006,ENVIRONMENTAL CHEMICAL,16038462.4209,87,89
2006,ENVIRONMENTAL SYSTEMS RESEARCH,3991233.0391,100,100
2006,EOD TECHNOLOGY,543800,2,2
2006,EQE,-4875,1,1
2006,EQUIFAX,2520,4,4
2006,EQUITABLE RESOURCES,0,2,2
2006,ERAPSCO,80920,1,1
2006,ERDAS,835626.7839,18,18
2006,ESCGOV,3065401,5,5
2006,ESCO ELECTRONICS,4507695,19,19
2006,ESCO TECH,1180971,8,8
2006,ESSEX INDUSTRIES,435761,3,3
2006,EST GROUP,160329,11,12
2006,ESTERLINE,9174,1,1
2006,EVERETT SHIPYARD,3105907,21,22
2006,EVERGREEN INTERNATIONAL,6368077,2,2
2006,EWA,-139936,2,2
2006,EWA SERVICES,-2e4,1,1
2006,EXIDE ELECTRONICS,10857773.1933,113,113
2006,EXPRESS SCRIPTS,10106,2,2
2006,EXXON MOBIL,1428230,26,26
2006,EyakTek,9356372.9414,43,43
2006,F5 NETWORKS,45377,5,5
2006,FATIGUE TECHNOLOGY,54542,10,10
2006,FCN,4669941.3808,29,29
2006,FEDERAL RADIO SERIVCES,12828,2,2
2006,FEDERAL SIGNAL,2795,1,1
2006,FEDERATED SOFTWARE GROUP,873995,2,2
2006,FEDEX,2680315,112,112
2006,FEMCO,0,0,1
2006,FERGUSON ENTERPRISES,266720.4004,34,34
2006,FIBER MATERIALS,3171970,6,6
2006,FIBERTEK,11528773.5,117,118
2006,FIDELITY TECHNOLOGIES,31940530.1992,82,82
2006,FIGGIE INTERNATIONAL,5526,1,1
2006,FINMECCANICA,28464384.1257,152,153
2006,FIRST COAST TECHNICAL INSTITUT,0,0,1
2006,FIRST DATA,700700,2,2
2006,FISHER SCIENTIFIC CO,0,0,1
2006,FLIGHTLINE ELECTRONICS,27881334,26,26
2006,FLIR SYSTEMS,44675157.4219,185,197
2006,FLUOR,6651576.6699,81,94
2006,FMC,5824,3,3
2006,FORCE 3,21117656.043,260,260
2006,FORCE PROTECTION,82936868,15,16
2006,FORD MOTOR COMPANY,62300,4,4
2006,Foreign Contractor,27861684.381,1266,1266
2006,FOREIGN UTILITY CONSOLIDATED REPORTING,618728,23,24
2006,FORMAC INTERNATIONAL,15951,2,2
2006,FORMATION,3680,4,4
2006,FOSTER WHEELER,5602137,34,34
2006,FOUR POINTS TECHNOLOGY,1503372,14,14
2006,FUJI PHOTO FILM USA,279511,17,17
2006,Fujitsu,311881,22,22
2006,FUTRON,3057442,15,17
2006,G & P TEST ENGINEERING & DESIGN,46287,3,3
2006,G4S PLC,908456,9,9
2006,GALAXY SCIENTIFIC,3020946.7305,10,10
2006,GALE ASSOCIATES,875892,24,24
2006,GANNETT,13948,2,2
2006,GANNETT FLEMING AFFILIATES,182198.7402,2,2
2006,GARTNER,7700778.1307,62,62
2006,GATEWAY,15260193,63,63
2006,GC INVESTMENT,91960,2,2
2006,GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE],352213692,10,11
2006,GEAC COMPUTER,83719,2,2
2006,GENCORP,468656,1,1
2006,GENERAL ATOMICS,100242508,42,43
2006,GENERAL DYNAMICS,5732159564.9552,5645,5602
2006,GENERAL ELECTRIC,985324476.9035,1116,1121
2006,GENERAL MOTORS,1565543,16,16
2006,GENTEK,3587,1,1
2006,GEO MARINE,4754756.1299,59,60
2006,GEOMETRICS,36720,1,1
2006,GEONEX,107896,16,17
2006,GEORGE G SHARP,20402025.5167,107,99
2006,GEORGE WASHINGTON UNIVERSITY,814278.2202,27,28
2006,GEORGIA INSTITUTE OF TECHNOLOGY,10689898,55,68
2006,GERBER SCIENTIFIC,49810,9,9
2006,GESTALT,134436,4,9
2006,GETINGE,933295.3095,55,55
2006,GILBERT ASSOCIATES,102491904.3387,1069,1069
2006,GILL GROUP,1565293.4302,123,123
2006,GIOIA ENTERPRISES INTERNATIONA,76684,1,1
2006,GLAXOSMITHKLINE,218013.6999,12,12
2006,GLOBAL CONTAINER LINE,6267500,3,3
2006,GLOBAL INSIGHT,149775,6,6
2006,GLOBAL KNOWLEDGE,100398.25,3,3
2006,GLOBAL MARITIME SERVICES,9175592,26,26
2006,GLOBAL STRATEGIES GROUP,22080986.7958,139,140
2006,GLOBAL TECHNOLOGY RESOURCES,200316,13,13
2006,GLOBALSIM,401997,1,1
2006,GLOBECOMM SYSTEMS,2082650,6,7
2006,GOLDBELT,5422925.297,64,64
2006,GOMEZ & ASSOCIATE,21490,2,2
2006,GOODRICH,19920188.3592,247,250
2006,GOODWILL INDUS,84103385,12,12
2006,GOVERNMENT ACQUISITIONS,66783,8,8
2006,GOVERNMENT OF CANADA,34444,3,3
2006,GOVPLACE,438773.7002,42,55
2006,GP STRATEGIES,2740921.4302,84,84
2006,GPC CONSOLIDATED REPORTING,22039,4,2
2006,GRANT THORNTON,1814622,15,15
2006,GRAYBAR,1039027.0805,98,98
2006,GRIMCOM,83280481,62,63
2006,GRUNLEY WALSH JOINT VENTURE [Grunley Construction/William V. Walsh Construction],1048804,7,7
2006,GTE [VERIZON],-2103,5,5
2006,GTS DURATEK,19830593.9205,132,132
2006,GTSI,36461279.2691,426,424
2006,"GYROCAM SYSTEMS, LLC , UNIVERSAL SYSTEMS & TECHNOLOGY",28145507,7,11
2006,HAGLER BAILLY SERVICES,0,2,2
2006,HALIFAX,97092,3,3
2006,HALLIBURTON,274934405.5191,211,215
2006,HAMILTON PRODUCTS,459123,69,69
2006,HAMILTON SUNDSTRAND,1727071,11,11
2006,HANSON GROUP,448713,8,8
2006,HARDING SECURITY ASSOCIATES,2182669,3,3
2006,HARPER CONSTRUCTION COMPANY,26494502,15,16
2006,HARRIS,684965371.1229,427,434
2006,HARRIS ACOUSTIC PRODUCTS,6183680,23,24
2006,HARSCO,24934,3,3
2006,HART CROWSER,-1200,2,2
2006,HASKELL COMPANY,2674371,56,57
2006,HAWAIIAN ELECT,360814,7,7
2006,HAWORTH,2666970,83,83
2006,HAYES SEAY MATTERN & MATTERN,2391639,16,16
2006,HEALTH NET,4643350,3,3
2006,HEICO,4004440,14,14
2006,HENSEL PHELPS CONSTRUCTION,58403960,39,40
2006,HERLEY INDUSTRIES,3890527,8,9
2006,HERMAN MILLER,7738971.1016,279,272
2006,HEROUX DEVTEK,838469,7,9
2006,HERSTAL GROUP,8152653.6297,23,25
2006,HEWLETT PACKARD,34234456.0975,475,475
2006,HG HOLDINGS,142950,2,2
2006,HIGHLAND ACQUISITION,2188658.4297,15,15
2006,HILLENBRAND IND,1011785,59,61
2006,HILLER INVESTMENTS,785787,54,55
2006,HITACHI,1534156,18,19
2006,HNTB,926184,9,9
2006,HOFMANN MONDIAL,83707,7,7
2006,HOLMES TUCKER INTERNATIONAL,1789276,34,34
2006,HONCAD,79240,1,1
2006,HONEYWELL,246241162.9385,1081,1101
2006,HOWDEN GROUP OF AMERICA,14080,1,1
2006,HUGHES,24670,1,1
2006,HUMANA,2515880.8125,6,6
2006,HUNT COMPANIES,1837812,11,11
2006,Hydroid,8359505,20,21
2006,HYSTER YALE,176420,3,3
2006,I2,1657716.75,36,36
2006,IBM,37627404.1814,213,213
2006,"ICON SYSTEMS, INC , SM CONSULTING",2781593,6,6
2006,IDEAL SCANNERS & SYSTEMS,42252,3,3
2006,IDENTIX COMPANY,1481223,6,6
2006,IDX SYSTEMS,1784727,3,3
2006,iGOV,27399043.4199,176,176
2006,IKON,144411,18,18
2006,ILC INDUSTRIES,2618939.7383,27,27
2006,ILLINOIS TOOL WORKS,1555503.9502,16,16
2006,IMMIXGROUP,17952964.0048,198,198
2006,IMO INDUSTRIES,2405289.9917,46,46
2006,IN Q TEL,82373,1,1
2006,"INDUSTRIAL ECONOMICS, INC.",19180,1,1
2006,INFOPRO,5065747,5,5
2006,INFORMATION HANDLING SERVICES,7896276,98,98
2006,INNOVATIVE LOGISTICS TECHNIQUES,1897017.5,14,14
2006,Innovative Technical Solutions [Gilbane Building Company],18729913,42,44
2006,INSIGHT ENTERPRISES,2044390,89,89
2006,INSIGHT TECHNOLOGY,22441418,56,60
2006,INSTRUMENTARIUM,308217,17,17
2006,INTEGRA LIFE SC,23520,3,3
2006,INTEGRAL SYSTEMS,74025.3599,3,3
2006,INTELLIGENCE ENTERPRISE SOLUTI,8431340,44,44
2006,INTELLIGENT DECISIONS,2116183.8201,39,43
2006,INTERAD,257678,5,5
2006,INTERFACE,148507.5,7,7
2006,INTERGRAPH [HEXAGON AB],68618095.1041,277,278
2006,INTERMAGNETICS GENERAL,168259,2,2
2006,INTERNATIONAL PAPER COMPANY,57145,15,15
2006,INTERNATIONAL SHIPHOLDING,82629324,20,20
2006,INTERNATIONAL SYSTEMS MARKETING,69428,7,7
2006,INTERPUBLIC GROUP OF COMPANIES,80479553,19,20
2006,INVISION TECHNOLOGIES [GENERAL ELECTRIC],2166207,3,3
2006,IOWA STATE UNIVERSITY,0,0,1
2006,IPSEN INTERNATIONAL,99050,1,1
2006,IRIDIUM COMMUNICATIONS,99300,1,1
2006,IROBOT,50430745,40,41
2006,IRON MOUNTAIN,26801,4,4
2006,ISO,176528,10,10
2006,ISRAEL AIRCRAFT INDUSTRIES,2939207,6,6
2006,ISYS,5274,1,1
2006,IT GROUP,9504485,39,40
2006,IT RESEARCH INSTITUTE,55945661,107,107
2006,ITOCHU,16674,3,3
2006,ITT,187574531.5638,613,625
2006,IVILLAGE INTEGRATED PROPERTIES,2500,2,2
2006,JA JONES CONSTRUCTION [PHILLIP HOLZMANN AG],93283402.6802,329,329
2006,JACOBS ENGINEERING GROUP,48882109.3351,424,427
2006,JAMES W SEWALL,139228,1,1
2006,JBL TYPEWRITER,4925,1,1
2006,JBT HOLDING,1633817,9,9
2006,JCAHO,12031,4,4
2006,JEOL,538264,24,24
