Fiscal_Year,Customer,PlatformPortfolioRemote,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2000,Defense,Aircraft,N,PDuns-2+,1,1,0,1,1,1,10,14,63,5755107,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9298699.319536906
2013,Defense,Ships & Submarines,N,PDuns-2+,1,0,1,1,1,1,184,315,4583,243932144.3689,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,301663310.68171734
2004,Defense,Facilities and Construction,N,PID,1,1,1,1,1,1,150,150,13482,3396844702.1516,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5052736277.206053
2004,Defense,Land Vehicles,N,PID,1,1,1,1,1,1,30,30,629,555065062,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,825647805.8006488
2018,Defense,Facilities and Construction,M,PDuns-1,1,1,0,1,1,1,783,783,5761,145188741.2642,2018-01-01,Medium Vendor,Other Than Small,Medium,165792693.0133809
2019,Defense,Other Services,S,PDuns-1,1,0,0,1,1,1,1167,1167,3006,64752899.059,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,72521634.47105052
2006,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,0,1,1,1,1,354,591,4459,860158336.0184,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1202617288.7662492
2002,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,0,1,1,1,19,19,177,7189082,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,11164398.769965952
2004,Defense,Facilities and Construction,N,PID,1,0,0,0,1,1,9,9,26,244746,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,364054.6157785114
2007,Defense,Space Systems,M,PDuns-2+,1,0,1,1,1,1,2,2,13,733726.6016,2007-01-01,Medium Vendor,Other Than Small,Medium,998467.5916600298
2011,Defense,Land Vehicles,N,PDuns-2+,1,1,0,0,1,1,3,3,6,79913.6099,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,102479.84613139083
2009,Defense,Other R&D and Knowledge Based,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,3,3,0,0,2009-01-01,Medium Vendor,Other Than Small,Medium,0
2006,Defense,Missile Defense,S,PDuns-1,1,1,1,1,1,1,1,1,8,1324584,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1851946.9638541962
2016,Defense,Other Products,N,Duns,1,0,0,0,1,0,1,1,3,0,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2013,Defense,Other Products,M,PDuns-2+,1,0,0,0,1,0,13,13,18,63948.97,2013-01-01,Medium Vendor,Other Than Small,Medium,79083.70606422352
2014,Defense,Aircraft,M,PDuns-1,1,0,0,0,1,1,17,17,28,298313.15,2014-01-01,Medium Vendor,Other Than Small,Medium,361913.0538273712
2004,Defense,Remotely Operated,N,PID,1,1,1,1,1,1,1,1,2,-18820,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-27994.360965864955
2007,Defense,Space Systems,N,PID,1,0,0,1,1,1,4,4,7,761497,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1036258.0203420795
2018,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,0,1,0,4,4,7,32218.7998,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,36791.017939750505
2011,Defense,"Electronics, Comms, & Sensors",M,PDuns-2+,1,0,0,0,0,0,6,6,9,-6689.02,2011-01-01,Medium Vendor,Other Than Small,Medium,-8577.884808702604
2003,Defense,Ordnance and Missiles,M,PID,1,1,1,1,1,1,4,4,25,11833918,2003-01-01,Medium Vendor,Other Than Small,Medium,18032977.90962271
2014,Defense,Remotely Operated,L,PID,1,1,1,1,1,1,6,6,121,218145702.0375,2014-01-01,Large Vendor,Other Than Small,Large,264654029.51129514
2009,Defense,Other Services,M,PDuns-2+,1,1,0,0,1,0,9,9,16,49178.3389,2009-01-01,Medium Vendor,Other Than Small,Medium,64896.030823504625
2016,Defense,Other R&D and Knowledge Based,S,PDuns-2+,1,0,0,0,1,1,6,6,12,83764.5104,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,99645.42603872479
2002,Defense,Ordnance and Missiles,N,PID,1,0,0,1,1,1,9,9,18,1739616,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2701564.223445092
2017,Defense,Space Systems,M,PID,1,1,1,1,1,1,5,5,26,37931993.6298,2017-01-01,Medium Vendor,Other Than Small,Medium,44332027.47269714
2014,Defense,Land Vehicles,S,PDuns-1,1,0,0,0,0,0,66,66,97,-88004.27,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-106766.64473406054
2006,Defense,Other Services,S,PDuns-1,1,1,0,1,1,1,19,19,29,1713980,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2396375.055947237
2006,Defense,Facilities and Construction,M,PID,1,0,0,0,1,1,7,7,17,195517,2006-01-01,Medium Vendor,Other Than Small,Medium,273359.11843407503
2014,Defense,Missile Defense,N,PDuns-2+,1,1,0,1,1,1,2,2,3,4475,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5429.063103243977
2012,Defense,Land Vehicles,M,PDuns-1,1,0,0,0,1,1,23,23,77,501449.8512,2012-01-01,Medium Vendor,Other Than Small,Medium,631475.7974956743
2000,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,0,0,1,1,1,1,3,1890,2000-01-01,Medium Vendor,Other Than Small,Medium,3053.7297940637336
2012,Defense,Facilities and Construction,M,PDuns-2+,1,0,0,0,1,1,102,112,186,1466788.142,2012-01-01,Medium Vendor,Other Than Small,Medium,1847126.3068681683
2003,Defense,Other Services,M,PDuns-2+,1,0,1,1,1,1,39,46,180,61208608,2003-01-01,Medium Vendor,Other Than Small,Medium,93272023.34364289
2009,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,0,1,0,21,22,36,120080.7599,2009-01-01,Medium Vendor,Other Than Small,Medium,158459.29061626477
2001,Defense,Ships & Submarines,M,PDuns-2+,1,0,0,1,1,1,17,18,45,4132977,2001-01-01,Medium Vendor,Other Than Small,Medium,6519676.7368222065
2014,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,1,1,26,26,62,570401.19,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,692009.844620214
2003,Defense,Remotely Operated,S,PDuns-1,1,0,1,1,1,1,3,3,13,6193585,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,9438022.258255513
2020,Defense,"Electronics, Comms, & Sensors",J,PID,1,0,1,1,1,1,3,3,143,1482271.2528,2020-01-01,Large: Big 5 JV,Other Than Small,Large,1638251.8778916139
2011,Defense,Facilities and Construction,S,PID,1,0,1,1,1,1,41,41,846,150559731.2107,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,193075223.44896722
2011,Defense,Aircraft,M,PDuns-2+,1,1,1,1,1,1,27,34,484,121225612.9464,2011-01-01,Medium Vendor,Other Than Small,Medium,155457652.05046272
2006,Defense,Land Vehicles,M,PDuns-1,1,1,0,0,0,0,50,50,163,162341,2006-01-01,Medium Vendor,Other Than Small,Medium,226974.59886202315
2017,Defense,Aircraft,N,PDuns-1,1,0,0,0,1,0,32,32,790,78651.7002,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,91922.12168098279
2004,Defense,Ships & Submarines,S,PDuns-2+,1,0,1,1,1,1,23,27,218,47848838,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,71174157.42663102
2007,Defense,Other Products,N,PID,1,1,1,1,1,1,155,155,31482,1790606627.0972,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2436687838.044211
2008,Defense,Aircraft,N,PDuns-2+,1,1,1,1,1,1,189,460,7117,956810751.7103,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1275443822.5161161
2009,Defense,Ordnance and Missiles,S,PDuns-1,1,0,1,1,1,1,417,417,2223,556950822.4291,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,734955644.0495213
2011,Defense,Ships & Submarines,N,PID,1,0,1,1,1,1,67,67,2568,552135414.6293,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,708049009.4954695
2018,Defense,Ships & Submarines,M,PDuns-2+,1,1,1,1,1,1,26,32,928,128869902.243,2018-01-01,Medium Vendor,Other Than Small,Medium,147158023.1028999
2004,Defense,Land Vehicles,S,PDuns-1,1,0,1,1,1,1,235,235,2068,461215120.3799,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,686047957.6423899
2002,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,1,1,701,701,1289,12213957,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,18967857.997337773
2005,Defense,Aircraft,S,PDuns-2+,1,0,0,1,1,1,103,119,4978,40039642,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,57803417.605074346
2009,Defense,Aircraft,M,PDuns-2+,1,0,0,0,0,0,2,2,5,1653.42,2009-01-01,Medium Vendor,Other Than Small,Medium,2181.8629438132366
2010,Defense,Unlabeled,N,PID,1,0,1,1,1,1,5,5,6,-202752.2069,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-265246.05656438856
2020,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,0,0,0,0,0,1,1,3,1,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1.105230823843455
2016,Defense,Other Products,S,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,3,3,0,0,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2003,Defense,Ordnance and Missiles,N,PID,1,1,0,1,1,1,2,2,2,340370,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,518668.8543133628
2014,Defense,Land Vehicles,M,PDuns-2+,1,0,0,0,1,0,2,2,2,14024.62,2014-01-01,Medium Vendor,Other Than Small,Medium,17014.64736961286
2005,Defense,Other Services,M,PID,1,0,0,1,1,1,4,4,7,11454,2005-01-01,Medium Vendor,Other Than Small,Medium,16535.621004017008
2005,Defense,Aircraft,M,PDuns-2+,1,1,0,0,1,0,4,4,7,25033,2005-01-01,Medium Vendor,Other Than Small,Medium,36139.00825856101
2003,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,0,0,0,0,0,6,6,10,13727,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,20917.728833797137
2015,Defense,Facilities and Construction,S,PDuns-1,1,1,0,0,1,0,8,8,18,33608.9502,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,40312.17354935429
2013,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,3,3,0,0,2013-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Remotely Operated,N,PDuns-1,1,0,0,1,1,1,1,1,4,111044.5273,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,142401.60200092563
2004,Defense,Facilities and Construction,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,17,17,0,0,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2004,Defense,Missile Defense,S,PDuns-1,1,1,0,1,1,1,1,1,1,67789,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,100834.73621227521
2009,Defense,Other R&D and Knowledge Based,J,PID,1,0,1,1,1,1,3,3,40,8859985.5631,2009-01-01,Large: Big 5 JV,Other Than Small,Large,11691690.06232424
2004,Defense,Missile Defense,S,PDuns-2+,1,0,0,0,1,1,2,2,2,27288,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,40590.335921175494
2016,Defense,Space Systems,N,PDuns-2+,1,1,0,1,1,1,2,2,3,500870.9609,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,595831.099005695
2020,Defense,Missile Defense,S,PDuns-1,1,0,0,0,1,0,1,1,2,4319.88,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4774.464531304864
2011,Defense,Facilities and Construction,N,PDuns-1,1,1,0,0,0,0,3,3,9,5494.58,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7046.155387814829
2013,Defense,Space Systems,N,PDuns-1,1,0,1,1,1,1,73,73,519,115676369.1284,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,143053374.81943813
2015,Defense,Land Vehicles,M,PID,1,0,1,1,1,1,17,17,1093,1067472085.0724,2015-01-01,Medium Vendor,Other Than Small,Medium,1280376795.3611856
2005,Defense,"Electronics, Comms, & Sensors",N,Duns,1,0,1,1,1,1,2,2,245,1930358,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2786770.4112163666
2018,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,1,0,277,277,413,1690429.472,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1930320.8504444347
2013,Defense,Aircraft,S,PDuns-1,1,0,0,0,0,0,200,200,417,-215354.9501,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-266322.7816364192
2013,Defense,Other Services,M,PDuns-2+,1,0,0,1,1,1,61,67,325,12827718.46,2013-01-01,Medium Vendor,Other Than Small,Medium,15863641.215257322
2018,Defense,Other Services,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,15,18,NA,0,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2005,Defense,Missile Defense,S,PDuns-1,1,0,0,0,1,0,8,8,13,40090,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,57876.11716876566
2018,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,1,0,1,1,1,33,33,133,2158061.0689,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2464314.7477199645
2009,Defense,Other R&D and Knowledge Based,B,PID,1,1,1,1,1,1,5,5,8332,4248350663.6238,2009-01-01,Big Five,Other Than Small,Large,5606149003.45051
2016,Defense,Other R&D and Knowledge Based,S,PDuns-1,1,0,0,0,1,1,724,724,1276,9525965.7641,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,11331993.853497783
2020,Defense,"Electronics, Comms, & Sensors",N,PID,1,0,1,1,1,1,117,117,12576,1520232028.2782,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1680207297.0471213
2019,Defense,Ships & Submarines,N,PDuns-2+,1,0,0,1,1,1,120,153,1726,26852117.0536,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,30073702.429302707
2021,Defense,Aircraft,M,PDuns-2+,1,0,1,1,1,1,42,53,461,267886738.2667,2021-01-01,Medium Vendor,Other Than Small,Medium,286447966.07331383
2005,Defense,Facilities and Construction,N,PDuns-2+,1,1,0,1,1,1,112,225,2572,47827467.5398,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,69046348.59612875
2007,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,1,1,1,1,47,47,372,290375731.5177,2007-01-01,Medium Vendor,Other Than Small,Medium,395148215.551624
2008,Defense,Ordnance and Missiles,S,PDuns-1,1,0,0,1,1,1,727,727,2557,80559313.5834,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,107386835.56013817
2008,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,1,1,1,1,1,112,112,511,162010375.1123,2008-01-01,Medium Vendor,Other Than Small,Medium,215962385.1959662
2013,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,0,1,1,1,1,2191,2191,12594,2476967831.8295,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3063189226.3931885
2013,Defense,Other Services,N,PDuns-1,1,0,0,0,1,0,31,31,125,339573.77,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,419940.34014621726
2006,Defense,"Electronics, Comms, & Sensors",N,Duns,1,1,1,1,1,1,5,4,1221,115956677.5341,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,162123064.22083956
2013,Defense,Ordnance and Missiles,N,PID,1,1,1,1,1,1,72,72,800,237510262.7095,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,293721568.98468584
2004,Defense,Ordnance and Missiles,M,PDuns-2+,1,0,0,0,1,1,2,2,2,44150,2004-01-01,Medium Vendor,Other Than Small,Medium,65672.21236147384
2010,Defense,Other Products,N,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,2,2,0,0,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2013,Defense,Other Services,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,4,5,0,0,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2003,Defense,Missile Defense,M,PDuns-1,1,1,0,1,1,1,1,1,1,139610,2003-01-01,Medium Vendor,Other Than Small,Medium,212743.07004344853
2007,Defense,Ships & Submarines,N,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2016,Defense,Other Products,M,PID,1,0,0,0,0,0,1,1,1,-4769.6499,2016-01-01,Medium Vendor,Other Than Small,Medium,-5673.92794480013
2003,Defense,Other R&D and Knowledge Based,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,2,2,1,15300,2003-01-01,Medium Vendor,Other Than Small,Medium,23314.726535812355
2008,Defense,Other Products,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,2,2,0,0,2008-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Other Services,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,108,108,0,0,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2011,Defense,Facilities and Construction,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,54,54,0,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2011,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,0,1,0,14,14,19,84112.62,2011-01-01,Medium Vendor,Other Than Small,Medium,107864.58484474178
2012,Defense,Other R&D and Knowledge Based,S,PDuns-2+,1,0,0,0,1,0,8,8,7,26247.4902,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,33053.4644025534
2012,Defense,Aircraft,M,PDuns-1,1,0,0,0,0,0,9,9,19,170.7996,2012-01-01,Medium Vendor,Other Than Small,Medium,215.08793623896122
2019,Defense,Other Products,S,PDuns-1,1,1,0,0,0,0,7,7,14,-69173.5016,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-77472.59923523957
2000,Defense,Land Vehicles,B,PID,1,1,1,1,1,1,5,5,153,837983431,2000-01-01,Big Five,Other Than Small,Large,1353955010.6753707
2003,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,0,0,1,1,5,5,10,124222,2003-01-01,Medium Vendor,Other Than Small,Medium,189294.24573409688
2016,Defense,Other Services,M,Duns,1,0,0,1,1,1,4,4,5,80007.6201,2016-01-01,Medium Vendor,Other Than Small,Medium,95176.26681202378
2007,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,1,0,0,1,1,215,215,352,2492808.4199,2007-01-01,Medium Vendor,Other Than Small,Medium,3392255.935739263
2010,Defense,Other Products,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,20,20,0,0,2010-01-01,Medium Vendor,Other Than Small,Medium,0
2016,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,4,4,15,21078558.5525,2016-01-01,Medium Vendor,Other Than Small,Medium,25074842.999930773
2017,Defense,Other Services,S,PDuns-1,1,0,0,0,0,0,131,131,244,218038.5815,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,254826.90099294105
2003,Defense,Ordnance and Missiles,N,PDuns-2+,1,1,1,1,1,1,39,62,216,87204030,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,132884843.93926644
2019,Defense,Ordnance and Missiles,S,PDuns-2+,1,0,0,1,1,1,25,26,78,3159382.1332,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3538429.3143312535
2008,Defense,Other Services,S,PDuns-1,1,0,1,1,1,1,894,894,5748,783861635.0141,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1044899922.2667848
2021,Defense,Ships & Submarines,B,PID,1,1,1,1,1,1,5,5,6599,11390458878.7619,2021-01-01,Big Five,Other Than Small,Large,12179676379.555397
2018,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,1,1,1,1,237,237,3807,1070175097.2216,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1222045248.270053
2000,Defense,Other R&D and Knowledge Based,S,PID,1,0,0,1,1,1,24,24,77,9909209,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,16010606.750743119
2010,Defense,Other Products,M,PDuns-2+,1,1,1,1,1,1,51,56,314,132652176.6032,2010-01-01,Medium Vendor,Other Than Small,Medium,173539254.0315755
2017,Defense,Other Products,M,PDuns-2+,1,1,0,0,1,1,23,24,8123,7124535.1819,2017-01-01,Medium Vendor,Other Than Small,Medium,8326614.532753033
2005,Defense,Other Services,S,PDuns-1,1,0,0,0,0,0,423,423,845,126127,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,182083.83712010243
2014,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,1,1,1,1,1,13,19,181,40613574.8599,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,49272326.42742352
2007,Defense,Facilities and Construction,M,PDuns-1,1,1,0,1,1,1,1074,1074,4929,171198987.9713,2007-01-01,Medium Vendor,Other Than Small,Medium,232970483.61281374
2007,Defense,Other Services,N,PDuns-2+,1,1,1,1,1,1,163,353,4403,277827841.3086,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,378072833.94466853
2014,Defense,Facilities and Construction,N,PDuns-1,1,0,0,1,1,1,1035,1035,6129,125733816.6322,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,152540072.56042928
2003,Defense,Facilities and Construction,S,PDuns-1,1,0,0,0,1,1,4529,4529,11768,84689578.3999,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,129053226.1978372
2003,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,0,0,1,1,1,278,278,834,40122801,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,61140662.298419505
2016,Defense,Ships & Submarines,N,PID,1,1,1,1,1,1,75,75,12152,2438695232.6125,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2901047523.2513223
2011,Defense,Aircraft,S,PDuns-1,1,1,0,0,1,0,2,2,2,14862,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,19058.774533031457
2004,Defense,Other R&D and Knowledge Based,N,Duns,1,0,1,1,1,1,1,1,25,251800,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,374547.29496306035
2007,Defense,"Electronics, Comms, & Sensors",M,PID,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2007-01-01,Medium Vendor,Other Than Small,Medium,0
2007,Defense,Ships & Submarines,S,PDuns-2+,1,1,1,1,1,1,2,2,5,359797,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,489617.85397055955
2015,Defense,Aircraft,N,PDuns-1,1,1,0,0,0,0,3,3,48,25544.91,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,30639.780150664625
