Fiscal_Year,Customer,PlatformPortfolio,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2006,Defense,Ships & Submarines,S,PDuns-1,1,1,0,0,1,1,1,1,1,16522,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,23099.982890325588
2004,Defense,Unlabeled,N,PDuns-1,1,1,0,0,1,0,3,3,3,10610.1299,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,15782.348900920118
2004,Defense,Other Services,N,Name,1,1,0,0,1,1,1,1,1,11641.4297,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,17316.38603509782
2002,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,1,0,0,1,1,2,2,24,47610,2002-01-01,Medium Vendor,Other Than Small,Medium,73936.70366231445
2017,Defense,Ships & Submarines,M,PDuns-1,1,0,0,0,1,0,15,15,22,37454.1005,2017-01-01,Medium Vendor,Other Than Small,Medium,43773.50235097344
2004,Defense,Land Vehicles,M,PDuns-2+,1,0,0,0,1,1,4,4,7,112167,2004-01-01,Medium Vendor,Other Than Small,Medium,166846.09386068938
2007,Defense,"Electronics, Comms, & Sensors",M,PID,1,0,0,0,1,1,7,7,25,343169,2007-01-01,Medium Vendor,Other Than Small,Medium,466990.18982710515
2010,Defense,Ships & Submarines,M,PDuns-2+,1,1,0,0,0,0,1,1,3,2729.79,2010-01-01,Medium Vendor,Other Than Small,Medium,3571.186937097168
2008,Defense,Land Vehicles,S,PDuns-1,1,1,0,0,1,1,12,12,17,155021.6298,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,206646.27747061072
2005,Defense,Aircraft,S,PDuns-1,1,1,1,1,1,1,16,16,37,12546585,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,18112936.481114436
2013,Defense,Other Products,N,PDuns-2+,1,1,0,1,1,1,40,61,392,9942062.8692,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,12295040.524027886
2006,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,1,0,0,1,1,2,2,10,56806,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,79422.444502350525
2002,Defense,Other Products,L,PID,1,1,0,0,1,1,1,1,1,26193,2002-01-01,Large Vendor,Other Than Small,Large,40676.83425807609
2019,Defense,Ordnance and Missiles,M,PDuns-1,1,1,1,1,1,1,11,11,23,71851119.2519,2019-01-01,Medium Vendor,Other Than Small,Medium,80471464.32740156
2010,Defense,Ordnance and Missiles,N,PDuns-2+,1,1,0,1,1,1,17,17,22,668546.0283,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,874610.4437019528
2017,Defense,Other Products,M,PID,1,1,1,1,1,1,19,19,42878,1139108108.5639,2017-01-01,Medium Vendor,Other Than Small,Medium,1331302869.44776
2009,Defense,Aircraft,N,PDuns-1,1,1,1,1,1,1,152,152,1507,190222972.8857,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,251019375.35610968
2014,Defense,Other Products,M,PDuns-2+,1,0,1,1,1,1,85,102,937,209817300.4,2014-01-01,Medium Vendor,Other Than Small,Medium,254550025.48020065
2011,Defense,"Electronics, Comms, & Sensors",M,PDuns-2+,1,1,1,1,1,1,57,76,676,72629382.9637,2011-01-01,Medium Vendor,Other Than Small,Medium,93138678.13069266
2011,Defense,Other Products,M,PDuns-2+,1,1,0,1,1,1,55,63,208,7061208.7756,2011-01-01,Medium Vendor,Other Than Small,Medium,9055173.326929318
2019,Defense,Ships & Submarines,S,PDuns-2+,1,1,1,1,1,1,4,5,120,33536130.4868,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,37559631.02935585
2006,Defense,Other Services,N,PDuns-1,1,1,1,1,1,1,75,75,1797,75214453.9133,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,105159944.22602665
2014,Defense,Aircraft,N,PDuns-1,1,1,1,1,1,1,146,146,3607,152269613.152,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,184733260.0019569
2001,Defense,Facilities and Construction,S,PDuns-2+,1,0,0,1,1,1,178,194,495,35055358,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,55299025.872530684
2016,Defense,"Electronics, Comms, & Sensors",J,PID,1,1,1,1,1,1,1,1,168,47990047.346,2016-01-01,Large: Big 5 JV,Other Than Small,Large,57088481.63232079
2020,Defense,Missile Defense,N,PDuns-2+,1,0,1,1,1,1,21,23,148,172095755.6971,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,190205533.8490678
2001,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,1,1,1,1,1,9,14,68,10074463,2001-01-01,Medium Vendor,Other Than Small,Medium,15892235.078268295
2019,Defense,Ships & Submarines,M,PDuns-2+,1,1,0,0,1,0,1,1,2,3045.99,2019-01-01,Medium Vendor,Other Than Small,Medium,3411.4329488352423
2011,Defense,Ships & Submarines,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,Ships & Submarines,M,PDuns-1,1,0,0,0,0,0,1,1,1,-157103,2001-01-01,Medium Vendor,Other Than Small,Medium,-247826.39109411428
2016,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,0,0,1,1,4,4,15,161383.8798,2016-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,191980.65364031962
2000,Defense,Other Products,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,9,9,0,0,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2015,Defense,Land Vehicles,M,PID,1,1,1,1,1,1,14,14,187,16457785.6759,2015-01-01,Medium Vendor,Other Than Small,Medium,19740250.988409564
2015,Defense,Other Products,S,PDuns-1,1,0,1,1,1,1,1056,1056,128678,1485380848.1183,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1781636444.4561548
2018,Defense,Other Products,S,PDuns-1,1,0,0,0,0,0,537,537,17627,6478488.4174,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,7397860.412759052
2019,Defense,Ships & Submarines,S,PDuns-1,1,1,1,1,1,1,32,32,566,107532349.1961,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,120433553.3318338
2000,Defense,Facilities and Construction,N,PDuns-2+,1,0,1,1,1,1,197,343,2994,644871694.5893,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1041938575.1934994
2010,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,1,1,1,1,1,152,152,1449,225526649.5844,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,295040213.7025558
2012,Defense,Facilities and Construction,M,PID,1,0,1,1,1,1,134,134,3639,1324219693.0946,2012-01-01,Medium Vendor,Other Than Small,Medium,1667589859.1958535
2010,Defense,Aircraft,M,PDuns-2+,1,1,0,0,1,0,1,1,1,7696.2998,2010-01-01,Medium Vendor,Other Than Small,Medium,10068.512709674938
2010,Defense,Space Systems,N,Duns,1,1,1,1,1,1,1,1,5,91430,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,119611.26008183563
2017,Defense,Other Services,M,PDuns-2+,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2017-01-01,Medium Vendor,Other Than Small,Medium,0
2010,Defense,Missile Defense,S,PID,1,0,0,1,1,1,2,2,4,489498.9004,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,640376.0284973964
2017,Defense,Ordnance and Missiles,S,PDuns-1,1,1,0,0,1,0,2,2,2,-10509.52,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-12282.727185708341
2020,Defense,Missile Defense,U,Duns,1,1,1,1,1,1,1,1,26,77045.2216,2020-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,85152.75374216955
2013,Defense,Other Products,S,PDuns-1,1,1,0,0,1,0,4,4,5,13312.91,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,16463.662531225473
2012,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,0,0,0,1,0,8,9,16,55984.3398,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,70501.0790966884
2007,Defense,Aircraft,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,3,3,0,0,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2004,Defense,Land Vehicles,S,PDuns-1,1,1,0,0,0,0,1,1,1,2625,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3904.633237799974
2016,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,1,0,0,0,0,3,3,5,-20713.6301,2016-01-01,Medium Vendor,Other Than Small,Medium,-24640.727752920207
2017,Defense,Facilities and Construction,N,PID,1,1,0,0,1,1,2,2,12,29212.8002,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,34141.69773569165
2009,Defense,Other Products,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,25,25,0,0,2009-01-01,Medium Vendor,Other Than Small,Medium,0
2008,Defense,Other R&D and Knowledge Based,M,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,12,12,0,0,2008-01-01,Medium Vendor,Other Than Small,Medium,0
2016,Defense,Other Services,S,PDuns-1,1,1,0,1,1,1,56,56,110,2739417.3483,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3258783.552434245
2018,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,0,1,0,10,10,14,51549.9196,2018-01-01,Medium Vendor,Other Than Small,Medium,58865.44590640823
2014,Defense,Other R&D and Knowledge Based,M,PDuns-2+,1,0,0,0,1,0,11,11,13,43118.54,2014-01-01,Medium Vendor,Other Than Small,Medium,52311.346274804375
2002,Defense,Other Services,S,PDuns-2+,1,0,1,1,1,1,13,14,70,18085909,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,28086798.86991359
2005,Defense,Space Systems,S,PDuns-1,1,0,0,1,1,1,91,91,141,24062143,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,34737425.98153141
2010,Defense,"Electronics, Comms, & Sensors",M,PID,1,1,0,1,1,1,3,3,22,497555.0057,2010-01-01,Medium Vendor,Other Than Small,Medium,650915.2487345719
2004,Defense,Space Systems,N,PID,1,0,1,1,1,1,36,36,275,670640277,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,997563549.0215547
2003,Defense,Ordnance and Missiles,N,PDuns-2+,1,0,0,1,1,1,39,41,139,5673467,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,8645446.510781419
2002,Defense,"Electronics, Comms, & Sensors",N,PDuns-2+,1,0,0,0,1,1,12,18,30,234400,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,364015.19299404556
2018,Defense,Space Systems,S,PDuns-1,1,0,1,1,1,1,229,229,801,142269850.3702,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,162459577.9404436
2016,Defense,Facilities and Construction,M,PDuns-2+,1,1,0,0,1,0,19,20,28,-240164.0483,2016-01-01,Medium Vendor,Other Than Small,Medium,-285696.7562725512
2012,Defense,Aircraft,N,PDuns-2+,1,1,0,1,1,1,29,35,318,5685555.1396,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7159819.585932187
2006,Defense,Space Systems,S,PID,1,0,1,1,1,1,16,16,60,17922376.5234,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,25057898.017462354
2000,Defense,Aircraft,M,PDuns-2+,1,1,0,1,1,1,12,14,44,6063313,2000-01-01,Medium Vendor,Other Than Small,Medium,9796677.015256062
2010,Defense,Missile Defense,S,PDuns-1,1,0,0,1,1,1,81,81,172,8022213.214,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,10494881.67091428
2008,Defense,"Electronics, Comms, & Sensors",N,PDuns-1,1,0,0,0,1,1,552,552,1965,15442723.5075,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,20585393.99275989
2009,Defense,Other R&D and Knowledge Based,M,PID,1,0,1,1,1,1,88,88,3815,3164190010.8925,2009-01-01,Medium Vendor,Other Than Small,Medium,4175484106.851464
2020,Defense,Other Products,S,PDuns-1,1,0,0,0,1,0,356,356,20632,12081171.1171,2020-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,13352482.706746185
2016,Defense,Aircraft,M,Duns,1,0,0,0,1,1,3,3,13,131194.3201,2016-01-01,Medium Vendor,Other Than Small,Medium,156067.45455561497
2001,Defense,Land Vehicles,M,PDuns-2+,1,0,1,1,1,1,8,8,56,18135488,2001-01-01,Medium Vendor,Other Than Small,Medium,28608317.739130486
2002,Defense,Aircraft,L,PID,1,0,1,1,1,1,14,14,1277,804852538,2002-01-01,Large Vendor,Other Than Small,Large,1249908498.087958
2013,Defense,Facilities and Construction,S,PDuns-1,1,0,1,1,1,1,4682,4682,61276,8444312355.3253,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,10442818957.413029
2019,Defense,Other R&D and Knowledge Based,M,PDuns-1,1,0,1,1,1,1,302,302,1771,776638341.5264,2019-01-01,Medium Vendor,Other Than Small,Medium,869815602.6815318
2018,Defense,Aircraft,L,PID,1,0,1,1,1,1,10,10,736,171933923.1708,2018-01-01,Large Vendor,Other Than Small,Large,196333323.74561602
2003,Defense,Other R&D and Knowledge Based,N,PDuns-2+,1,1,1,1,1,1,60,114,778,172890666,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,263457424.73101115
2001,Defense,Ordnance and Missiles,N,PDuns-2+,1,1,1,1,1,1,30,46,269,173268357,2001-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,273326872.218332
2011,Defense,"Electronics, Comms, & Sensors",M,PDuns-1,1,1,0,0,1,1,186,186,382,3103066.1755,2011-01-01,Medium Vendor,Other Than Small,Medium,3979318.9745613458
2017,Defense,Unlabeled,M,PDuns-1,1,0,1,1,1,1,1,1,1,1325852,2017-01-01,Medium Vendor,Other Than Small,Medium,1549554.9182670356
2007,Defense,Land Vehicles,N,PID,1,1,0,1,1,1,3,3,19,186392.2002,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,253645.66424615795
2018,Defense,Other R&D and Knowledge Based,M,Duns,1,1,0,0,0,0,1,1,1,-22200,2018-01-01,Medium Vendor,Other Than Small,Medium,-25350.43525309907
2003,Defense,Ships & Submarines,L,PID,1,1,0,1,1,1,2,2,11,1032442,2003-01-01,Large Vendor,Other Than Small,Large,1573274.6989599462
2008,Defense,Aircraft,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,11,11,0,0,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2000,Defense,Unlabeled,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,0,2,2,2,7681.65,2000-01-01,Medium Vendor,Other Than Small,Medium,12411.472736809352
2014,Defense,Aircraft,M,PDuns-1,1,0,0,0,0,0,6,6,6,-9577.5,2014-01-01,Medium Vendor,Other Than Small,Medium,-11619.408239400937
2014,Defense,Other R&D and Knowledge Based,M,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,4,4,0,0,2014-01-01,Medium Vendor,Other Than Small,Medium,0
2000,Defense,"Electronics, Comms, & Sensors",N,PID,1,0,0,0,1,1,1,1,2,52000,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,84017.9625879969
2007,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,13,13,0,0,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2012,Defense,Other Services,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,42,42,0,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2001,Defense,Ordnance and Missiles,L,PID,1,0,0,1,1,1,1,1,1,28000,2001-01-01,Large Vendor,Other Than Small,Large,44169.35991442048
2015,Defense,Aircraft,N,PDuns-2+,1,0,0,0,1,0,2,2,2,4554.79,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5463.231784040176
2016,Defense,Other Services,S,Duns,Unlabeled,Unlabeled,0,1,1,1,6,6,0,0,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2009,Defense,Facilities and Construction,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,5,5,0,0,2009-01-01,Medium Vendor,Other Than Small,Medium,0
2013,Defense,Missile Defense,M,PDuns-2+,1,0,1,1,1,1,13,14,28,2930392.81,2013-01-01,Medium Vendor,Other Than Small,Medium,3623925.8214597357
2013,Defense,Other Services,S,PDuns-2+,1,0,0,0,1,1,29,30,69,727537.39,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,899722.9056463669
2003,Defense,"Electronics, Comms, & Sensors",L,PID,1,0,0,1,1,1,5,5,159,2803830,2003-01-01,Large Vendor,Other Than Small,Large,4272583.640712859
2013,Defense,"Electronics, Comms, & Sensors",S,PDuns-1,1,0,0,0,0,0,214,214,300,-528688.1899,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-653812.2726554937
2006,Defense,Missile Defense,S,PDuns-1,1,0,0,0,1,0,5,5,5,-54087.75,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-75621.9646275395
2007,Defense,Land Vehicles,S,PID,1,0,0,0,1,1,5,5,7,83254.4395,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,113294.05192792542
2014,Defense,Land Vehicles,M,PID,1,0,1,1,1,1,11,11,907,331516274.7391,2014-01-01,Medium Vendor,Other Than Small,Medium,402195033.5890371
2014,Defense,Ships & Submarines,N,PDuns-1,1,0,0,1,1,1,439,439,5485,77252078.3786,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,93722102.42998192
2005,Defense,Missile Defense,M,PDuns-1,1,1,0,1,1,1,2,2,15,384957,2005-01-01,Medium Vendor,Other Than Small,Medium,555744.9847078205
2009,Defense,Facilities and Construction,M,PDuns-1,1,0,0,0,0,0,122,122,197,-104215.7004,2009-01-01,Medium Vendor,Other Than Small,Medium,-137523.66299325175
2006,Defense,Unlabeled,M,PDuns-2+,1,1,1,1,1,1,4,4,5,-112619.0429,2006-01-01,Medium Vendor,Other Than Small,Medium,-157456.6011448277
2010,Defense,"Electronics, Comms, & Sensors",S,PDuns-2+,1,0,0,0,0,0,11,11,13,4594,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,6009.99812770374
2002,Defense,Other R&D and Knowledge Based,N,PDuns-1,1,1,1,1,1,1,31,31,618,137390059,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,213362068.4400525
2005,Defense,Land Vehicles,M,PDuns-1,1,1,0,0,0,0,54,54,201,129972,2005-01-01,Medium Vendor,Other Than Small,Medium,187634.6894651736
2003,Defense,Space Systems,S,PDuns-1,1,0,1,1,1,1,96,96,269,58891624.0781,2003-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,89741314.42031136
2019,Defense,Ordnance and Missiles,N,PDuns-1,1,1,0,1,1,1,33,33,97,1252234.8904,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1402471.8941269172
2011,Defense,Other Services,S,PID,1,0,0,1,1,1,8,8,32,734047.2895,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,941329.6855849394
2018,Defense,Aircraft,M,PDuns-2+,1,0,1,1,1,1,33,39,5675,78895677.3123,2018-01-01,Medium Vendor,Other Than Small,Medium,90091881.05652516
2003,Defense,Other Products,N,PID,1,1,1,1,1,1,57,57,1250,166936641,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,254384453.1844497
2008,Defense,Facilities and Construction,M,PDuns-2+,1,0,0,1,1,1,144,159,460,14196700.2943,2008-01-01,Medium Vendor,Other Than Small,Medium,18924425.397719685
2005,Defense,Facilities and Construction,S,PDuns-1,1,1,0,1,1,1,46,46,539,17414285,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,25140214.49414513
2007,Defense,Ordnance and Missiles,N,PDuns-2+,1,0,1,1,1,1,131,154,656,132284373.4192,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,180014816.76431108
2011,Defense,Other Services,M,PDuns-2+,1,0,0,1,1,1,75,102,265,-20372023.7233,2011-01-01,Medium Vendor,Other Than Small,Medium,-26124734.687386807
2004,Defense,"Electronics, Comms, & Sensors",N,Duns,1,1,1,1,1,1,3,3,119,335801125.1361,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,499497232.1893502
2007,Defense,Missile Defense,M,PDuns-1,1,0,0,0,1,0,1,1,1,7500,2007-01-01,Medium Vendor,Other Than Small,Medium,10206.12707937864
2005,Defense,Space Systems,M,PID,1,0,0,1,1,1,1,1,3,72993,2005-01-01,Medium Vendor,Other Than Small,Medium,105376.6879645725
2017,Defense,Other Products,M,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,2,2,0,0,2017-01-01,Medium Vendor,Other Than Small,Medium,0
2012,Defense,Aircraft,N,PID,1,0,0,0,1,1,2,2,4,7246.1001,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9125.013854188946
2001,Defense,Missile Defense,M,PDuns-1,1,0,0,1,1,1,1,1,1,27020,2001-01-01,Medium Vendor,Other Than Small,Medium,42623.43231741576
2016,Defense,Other Products,S,Duns,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2007,Defense,Aircraft,S,PID,1,0,0,0,0,0,1,1,1,5860.5,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,7975.06769982647
2018,Defense,Land Vehicles,M,PDuns-2+,1,1,0,0,1,0,1,1,2,5999.9902,2018-01-01,Medium Vendor,Other Than Small,Medium,6851.457796591394
2008,Defense,Other Services,N,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,2,2,0,0,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2000,Defense,Missile Defense,N,PDuns-1,1,0,1,1,1,1,6,6,28,10069912,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,16270259.416931173
2003,Defense,Land Vehicles,N,PDuns-2+,1,0,0,0,0,0,1,2,5,4480,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,6826.795743819564
2018,Defense,Facilities and Construction,NA,PDuns-1,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,1,1,1,18481,2018-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,21103.66639245603
2011,Defense,Other Products,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,8,8,0,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2016,Defense,Land Vehicles,S,Duns,1,0,0,0,1,0,1,1,1,5448.0498,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,6480.945698945903
2008,Defense,Land Vehicles,M,PDuns-1,1,0,0,0,1,0,31,31,38,133984.4699,2008-01-01,Medium Vendor,Other Than Small,Medium,178603.41153314395
2002,Defense,Facilities and Construction,U,Duns,Unlabeled,Unlabeled,1,1,1,1,1,1,8,474042,2002-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,736171.0329235637
2016,Defense,Land Vehicles,S,PDuns-1,1,1,0,0,1,1,4,4,10,155540,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,185028.83252169352
2010,Defense,Facilities and Construction,N,PDuns-2+,1,0,0,0,1,1,132,154,387,2694830.3424,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3525451.7440799363
2007,Defense,Land Vehicles,L,PID,1,0,1,1,1,1,10,10,168,1669235809.2506,2007-01-01,Large Vendor,Other Than Small,Large,2271524372.6214757
2004,Defense,Land Vehicles,N,PDuns-1,1,1,0,0,1,0,2,2,3,11514,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,17126.836990487198
2003,Defense,Aircraft,M,PDuns-2+,1,1,1,1,1,1,8,9,46,32196197,2003-01-01,Medium Vendor,Other Than Small,Medium,49061799.25151256
2019,Defense,Other Services,M,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,4,4,NA,0,2019-01-01,Medium Vendor,Other Than Small,Medium,0
