Fiscal_Year,Customer,SubCustomer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,SubCustomer.sum,SubCustomer.platform,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2000,Defense,DLA,N,PDuns-2,1,0,0,0,1,1,1,2,51937,2000-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,83916.17159486144
2000,Defense,DLA,N,PID,1,0,1,1,1,108,108,5533,757623746,2000-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1224115452.830886
2000,Defense,DLA,N,PID,1,1,0,1,1,2,2,16,1106198,2000-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1787317.3495945574
2000,Defense,DLA,S,PDuns-1,1,0,0,0,0,15,15,23,-789080,2000-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,-1274940.2676718575
2000,Defense,DLA,S,PDuns-1,1,0,0,1,1,1835,1835,7072,481594195,2000-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,778126212.6558939
2000,Defense,DLA,S,PDuns-2,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2000-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2000,Defense,DLA,S,PDuns-2,1,0,0,1,1,94,104,465,31975123,2000-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,51663167.07616537
2000,Defense,DLA,S,PDuns-3+,1,0,0,1,1,9,11,35,2080579,2000-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,3361654.011218692
2000,Defense,MDA,N,PDuns-3+,1,0,1,1,1,2,2,3,779189,2000-01-01,Other DoD,MDA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1258959.0817495906
2000,Defense,MilitaryHealth,M,PDuns-1,1,0,1,1,1,1,1,3,407002,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,657605.3617161522
2000,Defense,Navy,L,PID,1,1,1,1,1,70,70,13360,9285765619.0469,2000-01-01,Navy,Navy,Large Vendor,Other Than Small,Large,15003290545.807505
2000,Defense,Navy,M,PDuns-1,1,0,0,0,1,123,123,177,2901899,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,4688685.415695108
2000,Defense,Navy,M,PDuns-1,1,1,0,0,1,82,82,95,2387757,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,3857970.7364466866
2000,Defense,Navy,M,PDuns-2,1,0,0,0,0,1,1,2,-4245,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,-6858.774061270131
2000,Defense,Navy,M,PDuns-2,1,0,0,1,1,61,61,151,9928544,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,16041846.891255405
2000,Defense,Navy,M,PDuns-2,1,0,1,1,1,42,46,203,149728341,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,241920579.85578543
2000,Defense,Navy,M,PID,1,0,0,0,0,2,2,2,-37535,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,-60646.42741808584
2000,Defense,Navy,M,PID,1,0,0,1,1,38,38,89,5800230,2000-01-01,Navy,Navy,Medium Vendor,Other Than Small,Medium,9371605.90657264
2000,Defense,Navy,N,Duns,1,0,1,1,1,2,2,0,0,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2000,Defense,Navy,N,Duns,1,1,1,1,1,1,1,0,0,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2000,Defense,Navy,N,PDuns-1,1,0,0,0,0,1,1,6,-29465,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-47607.485916448626
2000,Defense,Navy,N,PDuns-1,1,0,0,1,1,584,584,3016,181317381,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,292959941.02714574
2000,Defense,Navy,N,PDuns-1,1,1,0,1,1,33,33,109,8419846,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13604198.196628757
2000,Defense,Navy,N,PDuns-2,1,1,0,0,1,1,1,1,27738,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,44817.12012049727
2000,Defense,Navy,N,PDuns-3+,1,1,0,1,1,10,12,42,3160035,2000-01-01,Navy,Navy,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,5105763.507822323
2000,Defense,Navy,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,1,1,20487,2000-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,33101.46152962101
2000,Defense,Navy,S,PDuns-1,1,0,0,0,1,926,926,1793,21224309,2000-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,34292753.836886264
2000,Defense,Navy,S,PDuns-1,1,0,1,1,1,1434,1434,10998,1999875711,2000-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,3231259282.0661864
2000,Defense,Navy,S,PDuns-1,1,1,1,1,1,12,12,91,16435441,2000-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,26555235.904908277
2000,Defense,Navy,S,PID,1,0,0,0,1,6,6,9,135771,2000-01-01,Navy,Navy,Always Small Vendor,Always Small Vendor,Always Small Vendor,219369.28458721013
2000,Defense,Other DoD,J,PID,1,0,1,1,1,1,1,9,19835277,2000-01-01,Other DoD,Other DoD,Large: Big 5 JV,Other Than Small,Large,32048453.094395295
2000,Defense,Other DoD,M,PDuns-1,1,0,0,1,1,100,100,287,28501709,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,46051067.70107643
2000,Defense,Other DoD,M,PDuns-1,1,1,0,1,1,96,96,238,28900039,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,46694661.45180099
2000,Defense,Other DoD,M,PDuns-2,1,0,1,1,1,12,12,27,15664765,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,25310031.53307237
2000,Defense,Other DoD,M,PDuns-2,1,1,1,1,1,5,5,13,6536106,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,10560582.872676577
2000,Defense,Other DoD,M,PDuns-3+,1,0,1,1,1,10,12,15,5116052,2000-01-01,Other DoD,Other DoD,Medium Vendor,Other Than Small,Medium,8266158.952581667
2000,Defense,Other DoD,N,PDuns-1,1,0,0,1,1,93,93,219,15629668.9297,2000-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,25253325.75765985
2000,Defense,Other DoD,N,PDuns-1,1,1,0,1,1,9,9,13,650483,2000-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1051004.9299639997
2000,Defense,Other DoD,N,PDuns-3+,1,1,0,1,1,1,1,1,54740,2000-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,88445.06292436442
2000,Defense,Other DoD,N,PID,1,0,0,1,1,23,23,90,7039633.7998,2000-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,11374147.869707594
2000,Defense,Other DoD,N,PID,1,1,0,1,1,1,1,7,739428,2000-01-01,Other DoD,Other DoD,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1194716.0392407186
2000,Defense,Other DoD,S,PDuns-1,1,0,0,0,1,54,54,61,1854425.09,2000-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,2996250.3429588997
2000,Defense,Other DoD,S,PID,1,0,1,1,1,23,23,82,33695538.625,2000-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,54442894.29957028
2000,Defense,Other DoD,S,PID,1,1,1,1,1,6,6,27,6437343,2000-01-01,Other DoD,Other DoD,Always Small Vendor,Always Small Vendor,Always Small Vendor,10401008.525771225
2000,Defense,Other DoD,U,Duns,Unlabeled,Unlabeled,1,1,1,1,1,11,2172000,2000-01-01,Other DoD,Other DoD,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,3509365.6680986397
2001,Defense,Uncategorized,L,PID,1,1,1,1,1,1,1,0,0,2001-01-01,Other DoD,Other DoD,Large Vendor,Other Than Small,Large,0
2001,Defense,Air Force,B,PID,1,1,1,1,1,5,5,8467,20771622956,2001-01-01,Air Force,Air Force,Big Five,Other Than Small,Large,32766760369.65009
2001,Defense,Air Force,J,PID,1,1,1,1,1,2,2,18,67824075,2001-01-01,Air Force,Air Force,Large: Big 5 JV,Other Than Small,Large,106990927.84063028
2001,Defense,Air Force,L,PID,1,0,0,1,1,4,4,325,21656743,2001-01-01,Air Force,Air Force,Large Vendor,Other Than Small,Large,34163017.005039506
2001,Defense,Air Force,L,PID,1,1,0,1,1,2,2,6,373404,2001-01-01,Air Force,Air Force,Large Vendor,Other Than Small,Large,589036.2739101523
2001,Defense,Air Force,M,PDuns-1,1,0,0,0,0,5,5,8,2462615,2001-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,3884718.8666303777
2001,Defense,Air Force,M,PDuns-2,1,0,0,0,1,5,5,6,129655,2001-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,204527.7985608638
2001,Defense,Air Force,M,PID,1,0,1,1,1,77,77,954,690508510,2001-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,1089261389.3628647
2001,Defense,Air Force,M,PID,1,1,1,1,1,24,24,509,279884394,2001-01-01,Air Force,Air Force,Medium Vendor,Other Than Small,Medium,441511233.32198095
2001,Defense,Air Force,N,PDuns-1,1,0,0,1,1,338,338,1118,85260596,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,134496641.11578566
2001,Defense,Air Force,N,PDuns-1,1,0,1,1,1,362,362,2887,809637050,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1277183937.9107018
2001,Defense,Air Force,N,PDuns-1,1,1,0,1,1,29,29,69,6382584,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,10068380.35285791
2001,Defense,Air Force,N,PDuns-1,1,1,1,1,1,41,41,348,83512329,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,131738789.88901766
2001,Defense,Air Force,N,PDuns-2,1,0,0,0,1,1,1,1,26000,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,41014.40563481901
2001,Defense,Air Force,N,PDuns-3+,1,0,1,1,1,157,281,1578,446010487,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,703571347.3538913
2001,Defense,Air Force,N,PDuns-3+,1,1,1,1,1,61,172,1057,327804659,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,517104355.892674
2001,Defense,Air Force,N,PID,1,0,0,1,1,51,51,243,18817789,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,29684631.96909366
2001,Defense,Air Force,N,PID,1,1,0,1,1,7,7,22,1098188,2001-01-01,Air Force,Air Force,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1732366.4652034855
2001,Defense,Air Force,S,Duns,1,0,0,1,1,2,2,3,140516,2001-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,221660.77777623956
2001,Defense,Air Force,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,12,12,0,0,2001-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,Air Force,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,0,0,2001-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,Air Force,S,PDuns-1,1,0,0,0,0,35,35,56,-5395058,2001-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,-8510580.662899053
2001,Defense,Air Force,S,PDuns-2,1,0,0,0,0,2,2,3,-192505,2001-01-01,Air Force,Air Force,Always Small Vendor,Always Small Vendor,Always Small Vendor,-303672.23679733975
2001,Defense,Army,L,PID,1,1,1,1,1,77,77,13127,8628075327.4021,2001-01-01,Army,Army,Large Vendor,Other Than Small,Large,13610591589.455523
2001,Defense,Army,M,Duns,1,0,0,1,1,2,2,14,606680,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,957023.8311743076
2001,Defense,Army,M,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,4,75571,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,119211.52493188107
2001,Defense,Army,M,PDuns-1,1,0,0,0,1,177,177,247,3932835,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,6203957.307108209
2001,Defense,Army,M,PDuns-1,1,0,1,1,1,567,567,3896,2121990759.2477,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,3347391913.581644
2001,Defense,Army,M,PDuns-1,1,1,1,1,1,282,282,2671,1096187212,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,1729210267.871898
2001,Defense,Army,M,PDuns-2,1,0,0,0,0,2,2,3,629,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,992.23312093466
2001,Defense,Army,M,PDuns-2,1,0,0,1,1,118,121,280,19088408,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,30111527.255189396
2001,Defense,Army,M,PDuns-2,1,0,1,1,1,93,102,628,246223492,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,388411929.9119082
2001,Defense,Army,M,PDuns-3+,1,1,1,1,1,9,19,93,41752478,2001-01-01,Army,Army,Medium Vendor,Other Than Small,Medium,65863579.57503296
2001,Defense,Army,N,PDuns-2,1,0,0,0,1,5,5,11,98879,2001-01-01,Army,Army,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,155979.3621063565
2001,Defense,Army,N,PDuns-3+,1,0,0,0,1,4,6,10,-23981,2001-01-01,Army,Army,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,-37829.479289561335
2001,Defense,Army,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,0,2001-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,Army,S,PDuns-1,1,0,0,0,1,1807,1807,3059,34587891,2001-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,54561607.36641946
2001,Defense,Army,S,PDuns-1,1,1,0,1,1,21,21,94,4808788,2001-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,7585753.140148079
2001,Defense,Army,S,PDuns-3+,1,0,0,1,1,16,20,40,3089884,2001-01-01,Army,Army,Always Small Vendor,Always Small Vendor,Always Small Vendor,4874221.374636043
2001,Defense,Army,U,Duns,Unlabeled,Unlabeled,1,1,1,1,1,5,5054797,2001-01-01,Army,Army,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,7973826.713833317
2001,Defense,DLA,L,PID,1,0,1,1,1,40,40,14982,2267911037,2001-01-01,Other DoD,DLA,Large Vendor,Other Than Small,Large,3577577815.96927
2001,Defense,DLA,L,PID,1,1,1,1,1,70,70,5921,2766223073.4224,2001-01-01,Other DoD,DLA,Large Vendor,Other Than Small,Large,4363653661.913156
2001,Defense,DLA,M,Duns,1,0,0,1,1,1,1,4,162748,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,256731.2495482894
2001,Defense,DLA,M,PDuns-1,1,0,0,0,1,31,31,34,884401,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,1395122.3599169066
2001,Defense,DLA,M,PDuns-1,1,1,1,1,1,25,25,72,214849618,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,338920360.8899197
2001,Defense,DLA,M,PDuns-2,1,0,0,0,0,1,1,1,-48058,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,-75810.39638454354
2001,Defense,DLA,M,PDuns-2,1,0,0,1,1,34,35,131,11280875,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,17795322.429449573
2001,Defense,DLA,M,PDuns-3+,1,0,1,1,1,25,38,1213,110915480,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,174966634.15002522
2001,Defense,DLA,M,PID,1,0,1,1,1,19,19,122,263231023,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,415240921.2688605
2001,Defense,DLA,M,PID,1,1,1,1,1,15,15,142,60562078,2001-01-01,Other DoD,DLA,Medium Vendor,Other Than Small,Medium,95535293.58382879
2001,Defense,DLA,N,PDuns-1,1,0,0,1,1,437,437,4550,273730187,2001-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,431803112.4658793
2001,Defense,DLA,N,PDuns-2,1,0,0,1,1,65,73,657,42647290,2001-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,67275125.04945233
2001,Defense,DLA,N,PDuns-3+,1,1,1,1,1,50,153,1832,242948710,2001-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,383246036.16907734
2001,Defense,DLA,N,PID,1,0,0,1,1,27,27,310,22973486,2001-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,36240148.986532144
2001,Defense,DLA,N,PID,1,1,0,1,1,1,1,2,118603,2001-01-01,Other DoD,DLA,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,187093.52121178614
2001,Defense,DLA,S,PDuns-1,Unlabeled,Unlabeled,1,1,1,3,3,0,0,2001-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2001,Defense,DLA,S,PDuns-1,1,0,0,0,0,13,13,18,-2644366,2001-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,-4171426.9142663004
2001,Defense,DLA,S,PDuns-1,1,0,0,1,1,2002,2002,8641,555448647,2001-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,876207542.975746
2001,Defense,DLA,S,PID,Unlabeled,Unlabeled,0,0,0,1,1,0,0,2001-01-01,Other DoD,DLA,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
