Fiscal_Year,Customer,EntitySizeCode,EntityCategory,AnyEntityUSplaceOfPerformance,AnyEntityForeignPlaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,IsEntityAbove2018constant10ThousandThreshold,EntityCount,AllContractorCount,NumberOfActions,Action_Obligation_Then_Year,dFYear,EntitySizeText,EntitySmall,EntitySizeText.sum,Action_Obligation_OMB24_GDP22
2009,Defense,M,PDuns-1,1,1,0,0,0,0,477,477,1097,538396.7995,2009-01-01,Medium Vendor,Other Than Small,Medium,710471.6441658471
2012,Energy,S,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,7,7,0,-23890.5,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-30085.306644259723
2005,GSA,N,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,1,1,2,102.9,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,148.55206926081283
2019,NASA,S,PDuns-1,1,1,1,1,1,1,18,18,77,3086073.7405,2019-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3456325.740030966
2018,GSA,N,PID,1,1,1,1,1,1,108,108,10917,1140368133.5039,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1302199483.4724348
2010,VA,N,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2005,Defense,N,PDuns-2+,1,1,0,1,1,1,150,394,5672,122450789.196,2005-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,176776658.09218058
2003,DHS,M,PID,1,0,0,0,1,0,1,1,2,-17816,2003-01-01,Medium Vendor,Other Than Small,Medium,-27148.703788368162
2006,Defense,S,PID,1,0,0,0,0,0,8,8,12,10702,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,14962.838451293092
2015,State and IAP,M,PID,1,1,1,1,1,1,74,74,1374,2600868552.8824,2015-01-01,Medium Vendor,Other Than Small,Medium,3119605458.038176
2019,GSA,N,PID,1,0,0,0,1,1,1,1,3,12367.4902,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13851.281049076644
2004,Other Agencies,S,PDuns-2+,1,1,0,0,1,1,1,2,2,34300,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,51020.540973919655
2012,GSA,N,PDuns-2+,1,1,0,0,1,1,5,5,9,7976.83,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,10045.222017083372
2020,Defense,M,PID,1,0,1,1,1,1,184,184,11332,16509902085.5912,2020-01-01,Medium Vendor,Other Than Small,Medium,18247252683.632736
2018,GSA,L,PID,1,1,0,1,1,1,2,2,1,5700,2018-01-01,Large Vendor,Other Than Small,Large,6508.895537957869
2018,DHS,U,Name,1,0,0,0,1,1,1,1,1,0,2018-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,0
2008,VA,M,PDuns-2+,1,1,0,0,1,0,1,1,1,688.32,2008-01-01,Medium Vendor,Other Than Small,Medium,917.5414159435627
2013,State and IAP,M,PDuns-2+,1,0,0,0,1,0,3,3,3,-300.71,2013-01-01,Medium Vendor,Other Than Small,Medium,-371.8787222151139
2007,GSA,S,PDuns-1,1,1,1,1,1,1,99,99,5422,28180224.8976,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,38348127.52405007
2000,GSA,S,PDuns-2+,1,0,1,1,1,1,60,71,481,102415972,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,165476563.53671804
2013,Energy,M,PDuns-1,1,0,0,0,0,0,7,7,7,-32880.8,2013-01-01,Medium Vendor,Other Than Small,Medium,-40662.664658344314
2006,DHS,M,PDuns-1,1,0,0,0,1,1,352,352,563,7012734.4949,2006-01-01,Medium Vendor,Other Than Small,Medium,9804748.023640363
2019,VA,L,PID,1,1,1,1,1,1,57,57,53065,9346226921.8079,2019-01-01,Large Vendor,Other Than Small,Large,10467541412.922056
2009,Other Agencies,S,PDuns-2+,1,1,1,1,1,1,15,20,124,19829967.9332,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,26167744.560035467
2013,Defense,S,PID,1,1,0,1,1,1,1,1,1,-87312.32,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,-107976.43575284207
2013,NASA,M,PDuns-1,1,1,0,0,0,0,1,1,2,0,2013-01-01,Medium Vendor,Other Than Small,Medium,0
2009,DHS,M,PDuns-2+,1,1,1,1,1,1,12,13,65,12084120.9515,2009-01-01,Medium Vendor,Other Than Small,Medium,15946278.448691199
2017,Defense,S,PDuns-1,1,0,0,0,0,0,1733,1733,9904,179667.0502,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,209981.17534079246
2011,Defense,M,Duns,1,1,0,0,0,0,1,1,1,0,2011-01-01,Medium Vendor,Other Than Small,Medium,0
2001,HHS,N,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,1,1,0,0,2001-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2014,DHS,B,PID,1,1,1,1,1,1,5,5,769,654300933.0841,2014-01-01,Big Five,Other Than Small,Large,793796883.625697
2010,VA,N,PID,1,0,1,1,1,1,147,147,99990,485144289.6672,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,634679206.0439775
2013,HHS,N,PDuns-1,1,1,0,1,1,1,94,94,388,6068947.7307,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7505279.263353501
2009,GSA,M,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,8,8,0,0,2009-01-01,Medium Vendor,Other Than Small,Medium,0
2003,DHS,M,PDuns-1,1,0,0,1,1,1,81,81,389,15736012.105,2003-01-01,Medium Vendor,Other Than Small,Medium,23979138.496229276
2014,VA,N,PDuns-2+,1,1,0,1,1,1,42,62,624,9134917.4594,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,11082467.783241956
2000,State and IAP,N,PDuns-1,1,1,0,0,1,1,2,2,4,97000,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,156725.8148276096
2004,Defense,N,PDuns-1,1,0,0,1,1,1,2304,2304,23354,839155223.5168,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1248226048.539872
2009,NASA,S,PDuns-2+,1,0,1,1,1,1,35,38,226,43711624.6921,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,57682121.98326177
2011,Other Agencies,S,PDuns-1,1,0,0,0,1,0,7853,7853,19932,51718505.4846,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,66322926.60586343
2015,Energy,N,PDuns-1,1,1,0,0,1,1,10,10,17,132511.3101,2015-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,158940.36850944257
2007,GSA,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,20,20,0,57343.289,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,78033.71929113804
2015,Defense,S,PDuns-1,1,0,0,1,1,1,11325,11325,133073,1849680514.7034,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2218594793.2280974
2017,Defense,M,PDuns-1,1,0,0,0,1,0,374,374,4524,5346368.868,2017-01-01,Medium Vendor,Other Than Small,Medium,6248429.06619982
2004,GSA,N,PDuns-2+,1,0,0,0,1,1,39,41,951,995805.5895,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1481240.2297709319
2014,HHS,S,PDuns-1,1,0,0,0,1,1,1172,1172,2482,14964631.9898,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,18155068.466915686
2016,GSA,S,PDuns-1,Unlabeled,Unlabeled,0,0,1,1,24,24,0,37593.5996,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,44720.97109602677
2008,GSA,NA,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled,NA,0,22,28400,44806291.4426,2008-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,59727493.16222561
2006,GSA,N,PDuns-2+,1,1,1,1,1,1,202,398,128210,195282103.7028,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,273030701.7504822
2006,State and IAP,S,PDuns-2+,1,0,0,0,1,1,7,7,15,118045.74,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,165043.85511898214
2018,State and IAP,M,Duns,1,0,0,0,1,0,4,4,5,19354,2018-01-01,Medium Vendor,Other Than Small,Medium,22100.555130111683
2014,Other Agencies,M,PDuns-1,1,0,0,1,1,1,1574,1575,8313,203218688.0919,2014-01-01,Medium Vendor,Other Than Small,Medium,246544599.19762692
2005,Defense,S,PDuns-2+,1,0,1,1,1,1,318,457,6891,1610232947.6905,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2324620372.8995333
2010,DHS,S,PDuns-2+,1,0,0,0,1,1,49,52,96,523181.2485,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,684440.2098247072
2014,Energy,N,PID,1,1,1,1,1,1,69,69,834,107251036.7502,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,130116792.49277647
2010,VA,N,PID,1,1,0,1,1,1,7,7,163,1869853.9487,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2446194.7607240845
2011,DHS,S,PDuns-2+,1,0,0,0,1,1,67,69,135,956652.6796,2011-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1226795.0293982495
2004,Defense,S,PDuns-2+,1,1,1,1,1,1,8,15,293,74376092,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,110632899.39842618
2012,Other Agencies,S,PDuns-2+,1,0,0,1,1,1,256,293,28041,46305138.001,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,58312060.27353336
2001,Defense,M,PDuns-2+,1,1,0,0,0,0,2,2,2,4386,2001-01-01,Medium Vendor,Other Than Small,Medium,6918.814735166007
2007,GSA,S,PID,1,0,1,1,1,1,74,74,287,42606123.1683,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,57979134.32204378
2012,VA,N,PDuns-2+,1,0,1,1,1,1,452,1310,53729,733532734.2519,2012-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,923737772.0671684
2016,Other Agencies,S,PDuns-1,1,0,0,0,0,0,2641,2641,7051,4028455.4189,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4792210.383340342
2013,HHS,S,PDuns-1,1,0,0,0,1,1,1206,1206,2316,15879487.648,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,19637669.435565576
2016,NASA,M,PID,1,0,0,0,1,0,1,1,1,-33.12,2016-01-01,Medium Vendor,Other Than Small,Medium,-39.39922163506807
2006,DHS,S,PID,1,0,0,1,1,1,9,9,30,999176.5959,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1396983.5534259633
2008,VA,M,PID,1,0,0,0,1,1,5,5,22,152237.4099,2008-01-01,Medium Vendor,Other Than Small,Medium,202934.86843216314
2019,Defense,N,PID,1,1,0,0,1,1,1,1,4,56826,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,63643.70492040732
2016,NASA,M,PDuns-1,1,0,0,0,0,0,19,19,25,-12103.25,2016-01-01,Medium Vendor,Other Than Small,Medium,-14397.905472664183
2015,Other Agencies,M,PDuns-2+,Unlabeled,Unlabeled,0,0,1,0,2,2,0,0,2015-01-01,Medium Vendor,Other Than Small,Medium,0
2015,GSA,S,PDuns-1,1,0,1,1,1,1,4336,4336,14582,1474846773.2498,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1769001373.9837406
2006,GSA,S,PDuns-2+,Unlabeled,Unlabeled,0,1,1,1,19,20,0,0,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2005,Other Agencies,S,PID,1,0,0,1,1,1,54,54,167,7329388.0074,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,10581105.489938345
2016,Defense,S,PID,1,0,0,0,1,1,9,9,37,202250.8583,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,240595.60362453043
2006,State and IAP,N,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2018,HHS,L,PID,1,0,1,1,1,1,45,45,1796,2393328455.652,2018-01-01,Large Vendor,Other Than Small,Large,2732969281.7299824
2002,Defense,S,PDuns-1,1,0,1,1,1,1,4457,4457,50100,10130234297.2208,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,15731907819.017616
2006,State and IAP,U,Name,1,0,0,1,1,1,1,1,8,515584,2006-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,720855.9241330122
2016,DHS,S,PDuns-1,1,0,1,1,1,1,1656,1656,10092,1912169647.8459,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,2274697939.593318
2010,Defense,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,308,308,0,0,2010-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2017,HHS,S,PID,1,0,0,1,1,1,5,5,11,385887,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,450995.3590184361
2010,Defense,N,PDuns-2+,1,1,0,0,1,1,46,73,284,2313755.6237,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,3026919.235176534
2008,HHS,S,PID,1,0,0,0,1,0,3,3,3,11306.65,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,15071.942774550036
2011,HHS,N,PDuns-2+,1,0,1,1,1,1,325,550,5113,568959545.6618,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,729623987.2954019
2006,Other Agencies,M,PDuns-1,1,1,0,1,1,1,151,151,2843,12811834.5596,2006-01-01,Medium Vendor,Other Than Small,Medium,17912671.536160395
2000,Other Agencies,S,PID,1,0,0,0,1,1,18,18,85,614806,2000-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,993360.528978385
2016,Defense,S,Duns,Unlabeled,Unlabeled,0,0,1,1,1,1,0,0,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2012,Other Agencies,M,Duns,1,1,0,1,1,1,1,1,1,0,2012-01-01,Medium Vendor,Other Than Small,Medium,0
2020,DHS,N,PDuns-2+,1,0,0,0,1,0,7,8,33,60016.8701,2020-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,66332.49478512861
2005,Defense,M,PDuns-2+,Unlabeled,Unlabeled,0,0,1,1,1,1,0,0,2005-01-01,Medium Vendor,Other Than Small,Medium,0
2009,DHS,S,PID,1,0,0,0,0,0,4,4,8,5279.97,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,6967.480064016146
2008,Defense,N,PID,1,0,0,1,1,1,112,112,2308,44849744.906,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,59785417.31427073
2010,State and IAP,N,PDuns-1,1,1,0,1,1,1,287,287,1841,46193902.9554,2010-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,60432144.16048808
2004,VA,N,PID,1,0,0,1,1,1,35,35,109,9021847.6198,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13419811.841004822
2007,GSA,N,PDuns-2+,1,0,0,0,1,1,56,60,974,2082099.238,2007-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,2833355.9219873906
2003,Energy,N,PDuns-1,1,1,1,1,1,1,9,9,33,5210739,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7940323.845391655
2017,DHS,U,PDuns-2+,1,0,0,1,1,1,1,1,1,0,2017-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,0
2005,Defense,M,PDuns-1,1,1,0,0,1,0,1247,1247,3246,9424253.51,2005-01-01,Medium Vendor,Other Than Small,Medium,13605367.931476953
2000,DHS,N,PDuns-2+,1,0,0,1,1,1,1,1,1,39000,2000-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,63013.471940997675
2018,State and IAP,S,PDuns-1,1,1,0,0,1,0,11,11,14,79947.8493,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,91293.36834703476
2017,Energy,S,PID,1,0,1,1,1,1,2,2,34,344443.9248,2017-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,402559.8466050818
2018,NA,M,PDuns-1,1,0,1,1,1,1,1,1,4,5833.3698,2018-01-01,Medium Vendor,Other Than Small,Medium,6661.192046048805
2015,Other Agencies,M,PID,1,0,1,1,1,1,188,188,5152,3823664913.4452,2015-01-01,Medium Vendor,Other Than Small,Medium,4586285577.744099
2010,State and IAP,M,PID,1,1,0,1,1,1,11,11,93,2161413.0805,2010-01-01,Medium Vendor,Other Than Small,Medium,2827620.4978231112
2015,Defense,S,Duns,Unlabeled,Unlabeled,0,0,1,1,1,1,0,0,2015-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,0
2013,DHS,N,Duns,1,1,1,1,1,1,4,3,670,5896395.22,2013-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,7291888.929829089
2003,NASA,N,PID,1,1,0,1,1,1,1,1,8,169591,2003-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,258429.26718529104
2006,DHS,S,PID,Unlabeled,Unlabeled,1,1,1,1,1,1,0,15000,2006-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,20972.021750083757
2008,Energy,N,PDuns-1,1,1,0,0,1,0,2,2,2,12743.1099,2008-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,16986.76647659581
2007,HHS,S,Duns,1,0,0,1,1,1,1,1,1,60312,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,82073.59152153127
2002,Other Agencies,M,PDuns-2+,1,0,0,0,1,0,6,6,9,33000,2002-01-01,Medium Vendor,Other Than Small,Medium,51247.87273380334
2012,Defense,S,PDuns-2+,1,0,0,0,1,0,192,206,397,1181815.6298,2012-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1488260.42232318
2014,State and IAP,M,PID,1,1,0,0,1,0,12,12,28,-12848.22,2014-01-01,Medium Vendor,Other Than Small,Medium,-15587.440702650576
2006,DHS,N,Duns,1,0,1,1,1,1,1,1,3,6964,2006-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,9736.610631172218
2005,Other Agencies,U,Name,1,0,0,0,1,0,5,1,5,13226.38,2005-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,19094.325732068315
2017,DHS,N,PDuns-1,1,1,0,1,1,1,206,206,1447,13590270.7903,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,15883274.259638479
2009,VA,S,PDuns-1,Unlabeled,Unlabeled,0,0,0,0,278,278,0,1202,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,1586.1664056703744
2002,GSA,N,PDuns-1,Unlabeled,Unlabeled,0,1,1,1,1,1,0,0,2002-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2006,GSA,M,PDuns-2+,1,0,0,0,1,0,18,19,143,374747.2302,2006-01-01,Medium Vendor,Other Than Small,Medium,523947.1375025363
2007,VA,S,PDuns-2+,1,0,0,0,1,1,132,150,1460,2750355.6813,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,3742730.6129118423
2001,GSA,S,PDuns-1,1,1,1,1,1,1,10,10,190,20843662,2001-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,32880400.31473319
2005,GSA,S,PDuns-2+,Unlabeled,Unlabeled,1,1,1,1,12,12,1,12775,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,18442.688870815196
2014,State and IAP,N,PDuns-1,1,1,0,0,1,0,37,37,138,519169.39,2014-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,629855.5038173593
2007,Energy,S,PDuns-2+,1,0,1,1,1,1,12,13,91,13279807.557,2007-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,18071387.13552464
2008,Defense,S,PDuns-2+,1,1,1,1,1,1,19,29,1162,189458343.4186,2008-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,252550959.84807062
2004,DHS,N,Name,Unlabeled,Unlabeled,0,0,0,0,1,1,6,0,2004-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2011,HHS,N,PDuns-1,Unlabeled,Unlabeled,1,1,1,1,1,1,0,0,2011-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,0
2006,Defense,L,PID,1,0,1,1,1,1,108,108,108603,16887016647.6147,2006-01-01,Large Vendor,Other Than Small,Large,23610325361.853466
2005,Other Agencies,U,Name,Unlabeled,Unlabeled,0,0,1,1,1,1,1,-1200,2005-01-01,Unlabeled Vendor,Unlabeled Vendor,Unlabeled Vendor,-1732.3856473564178
2012,GSA,M,PDuns-2+,1,1,0,1,1,1,4,4,18,89703.4132,2012-01-01,Medium Vendor,Other Than Small,Medium,112963.50822120655
2016,Other Agencies,S,PDuns-1,1,1,0,1,1,1,103,103,1078,8154561.2204,2016-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,9700584.687779916
2009,HHS,N,PDuns-1,1,0,0,0,1,1,328,328,1275,10433857.0656,2009-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,13768580.331964387
2002,Other Agencies,S,PDuns-1,1,0,1,1,1,1,2028,2028,15456,3117506389.8928,2002-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,4841380930.78924
2002,Energy,L,PID,1,1,0,1,1,1,1,1,1,60000,2002-01-01,Large Vendor,Other Than Small,Large,93177.95042509699
2004,GSA,S,PDuns-1,1,1,0,0,1,1,7,7,23,99765.9203,2004-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,148399.74415355548
2014,DHS,S,PID,1,0,1,1,1,1,23,23,217,80016181.6251,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,97075508.2286702
2018,HHS,S,Duns,1,0,0,0,1,0,2,2,2,17117.5498,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,19546.72693227923
2018,NASA,S,PDuns-1,1,0,0,1,1,1,707,707,2098,123985277.7578,2018-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,141580214.24038798
2006,DHS,M,PDuns-2+,1,0,0,1,1,1,91,98,219,8331612.6291,2006-01-01,Medium Vendor,Other Than Small,Medium,11648717.418050513
2017,NASA,N,PDuns-2+,1,0,0,1,1,1,68,83,182,4245900.4905,2017-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,4962285.373877849
2014,Energy,S,Duns,1,0,0,0,1,0,1,1,1,18000,2014-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,21837.572258858458
2019,GSA,M,PID,Unlabeled,Unlabeled,1,1,1,1,2,2,NA,0,2019-01-01,Medium Vendor,Other Than Small,Medium,0
2000,State and IAP,M,PID,1,0,0,0,1,0,13,13,16,53000,2000-01-01,Medium Vendor,Other Than Small,Medium,85633.69263776607
2013,GSA,S,PDuns-1,1,1,1,1,1,1,223,223,1301,42138445.2117,2013-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,52111307.11136504
2019,DHS,N,PDuns-1,1,0,1,1,1,1,680,680,6496,1545130882.6947,2019-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1730508111.808503
2018,GSA,N,PDuns-1,1,1,0,0,1,1,7,7,27,938780.5317,2018-01-01,Sometimes Small Vendor,Sometimes Small Vendor,Sometimes Small Vendor,1072004.2831410256
2005,DHS,S,PDuns-1,1,1,0,0,0,0,3,3,10,18973.85,2005-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,27391.687845911303
2020,NASA,M,PDuns-2+,1,0,0,0,1,1,8,8,10,49913.3477,2020-01-01,Medium Vendor,Other Than Small,Medium,55165.770399255816
2009,NASA,S,PDuns-1,1,1,0,0,1,1,4,4,10,70581.3308,2009-01-01,Always Small Vendor,Always Small Vendor,Always Small Vendor,93139.54723998976
