SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
0182,pt,.   Other Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover
0191,,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming (pt)
02,,Agricultural production- livestock,,
0211,,Beef Cattle Feedlots,112112,Cattle Feedlots
0212,,"Beef Cattle, Except Feedlots",112111,Beef Cattle Ranching and Farming (pt)
0213,,Hogs,11221,Hog and Pig Farming
0214,,Sheep and Goats,,
0214,pt,.   Sheep Farms,11241,Sheep Farming
0214,pt,.   Goat Farms,11242,Goat Farming
0219,,"General Livestock,  Except Dairy and Poultry",11299,All Other Animal Production  (pt)
0241,,Dairy Farms,,
0241,pt,.   Dairy Heifer Replacement Farms,112111,Beef Cattle Ranching and Farming (pt)
0241,pt,.   Dairy Farms,11212,Dairy Cattle and Milk Production
0251,,"Broiler, Fryers, and Roaster Chickens",11232,Broilers and Other Meat-Type Chicken Production
0252,,Chicken Eggs,11231,Chicken Egg Production
0253,,Turkey and Turkey Eggs,11233,Turkey Production
0254,,Poultry Hatcheries,11234,Poultry Hatcheries
0259,,"Poultry and Eggs, NEC",11239,Other Poultry Production
0271,,Fur-Bearing Animals and Rabbits,11293,Fur-Bearing Animal and Rabbit Production
0272,,Horses and Other Equines,11292,Horse and Other Equine Production
0273,,Animal Aquaculture,,
0273,pt,.   Finfish Farms,112511,Finfish Farming and Fish Hatcheries (pt)
0273,pt,.   Shellfish Farms,112512,Shellfish Farming (pt)
0273,pt,.   Other Animal Aquaculture,112519,Other Animal Aquaculture (pt)
0279,,"Animal Specialities, NEC",,
0279,pt,.   Alligator and Frog Production,112519,Other Animal Aquaculture (pt)
0279,pt,.   Bee Farms,11291,Apiculture
0279,pt,.   Other,11299,All Other Animal Production (pt)
0291,,"General Farms, Primarily Livestock and Animal Specialties",11299,All Other Animal Production (pt)
07,,Agricultural services,,
0711,,Soil Preparation Services,115112,"Soil Preparation, Planting, and Cultivating (pt)"
0721,,"Crop Planting, Cultivating, and Protecting",115112,"Soil Preparation, Planting, and Cultivating (pt)"
0722,,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily By Machine"
0723,,"Crop Preparation Services For Market, except Cotton Ginning",,
0723,pt,.   Other,115114,Postharvest Crop Activities (except Cotton Ginning)
0723,pt,.   Custom Grain Grinding,311119,Other Animal Food Manufacturing (pt)
0724,,Cotton Ginning,115111,Cotton Ginning
0741,,Veterinary Services For Livestock,54194,Veterinary Services (pt)
0742,,Veterinary Services for Animal Specialties,54194,Veterinary Services (pt)
0751,,"Livestock Services, Except Veterinary",,
0751,pt,.   Custom Slaughtering,311611,Animal (except Poultry) Slaughtering (pt)
0751,pt,".   Other Livestock Service, Except Veterinary",11521,Support Activities for Animal Production (pt)
0752,,"Animal Specialty Services, Except Veterinary",,
0752,pt,.   Horses and Equines Services and Animal Production Breeding,11521,Support Activities for Animal Production (pt)
0752,pt,.   Pet Care Services,81291,Pet Care (except Veterinary) Services
0761,,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders
0762,,Farm Management Services,115116,Farm Management Services
0781,,Landscape Counseling and Planning,,
0781,pt,.   Horticulture Consulting,54169,Other Scientific and Technical Consulting Services (pt)
0781,pt,.   Landscape Architectural Services,54132,Landscape Architectural Services (pt)
0782,,Lawn and Garden Services,56173,Landscaping Services (pt)
0783,,Ornamental Shrub and Tree Services,56173,Landscaping Services (pt)
08,,Forestry,,
0811,,Timber Tracts,,
0811,pt,.   Short Rotation Woody Crops,111421,Nursery and Tree Production (pt)
0811,pt,.   Long Term Timber Farming,11311,Timber Tract Operations
0831,,Forest Nurseries and Gathering of Forest Products,,
0831,pt,.   Maple Sap,111998,All Other Miscellaneous Crop Farming (pt)
0831,pt,.   Other Forest Products,11321,Forest Nurseries and Gathering of Forest Products
0851,,Forestry Services,11531,Support Activities for Forestry
09,,"Fishing, hunting, and trapping",,
0912,,Finfish,114111,Finfish Fishing
0913,,Shellfish,114112,Shellfish Fishing
0919,,Miscellaneous Marine Products,,
0919,pt,.   Except Plant Aquaculture,114119,Other Marine Fishing
0919,pt,.   Plant Aquaculture,111998,All Other Miscellaneous Crop Farming (pt)
0921,,Fish Hatcheries and Preserves,,
0921,pt,.   Finfish Hatcheries,112511,Finfish Farming and Fish Hatcheries (pt)
0921,pt,.   Shellfish Hatcheries,112512,Shellfish Farming (pt)
0971,,"Hunting and Trapping, and Game Propagation",11421,Hunting and Trapping
,,Mining,,
10,,Metal mining,,
1011,,Iron Ores,21221,Iron Ore Mining
1021,,Copper Ores,212234,Copper Ore and Nickel Ore Mining (pt)
1031,,Lead and Zinc Ores,212231,Lead Ore and Zinc Ore Mining
1041,,Gold Ores,212221,Gold Ore Mining
1044,,Silver Ores,212222,Silver Ore Mining
1061,,"Ferroalloy Ores, Except Vanadium",,
1061,pt,.   Nickel Ore Mining,212234,Copper Ore and Nickel Ore Mining (pt)
1061,pt,.   Other Ferroalloys (except nickel),212299,Other Metal Ore Mining (pt)
1081,,Metal Mining Services,,
1081,pt,.   Metal Mining (except geophysical surveying),213114,Support Activities for Metal Mining
1081,pt,.   Geophysical Surveying and Mapping,54136,Geophysical Surveying and Mapping Services (pt)
1094,,Uranium-Radium-Vanadium Ores,212291,Uranium-Radium-Vanadium Ore Mining
1099,,"Miscellaneous Metal Ores, NEC",212299,Other Metal Ore Mining (pt)
12,,Coal mining,,
1221,,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining
1222,,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining
1231,,Anthracite Mining,212113,Anthracite Mining
1241,,Coal Mining Services,213113,Support Activities for Coal Mining
13,,Oil and gas extraction,,
1311,,Crude Petroleum and Natural Gas,211111,Crude Petroleum and Natural Gas Extraction
1321,,Natural Gas Liquids,211112,Natural Gas Liquid Extraction (pt)
1381,,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells
1382,,Oil and Gas Field Exploration Services,,
1382,pt,.   Geophysical Mapping and Surveying,54136,Geophysical Surveying and Mapping Services (pt)
1382,pt,.   Other Oil and Gas Field Exploration Services,213112,Support Activities for Oil and Gas Field Operations (pt)
1389,,"Oil and Gas Field Services, NEC",213112,Support Activities for Oil and Gas Field Operations (pt)
14,,"Nonmetallic minerals, except fuels",,
1411,,Dimension Stone,212311,Dimension Stone Mining and Quarrying
1422,,Crushed and Broken Limestone,212312,Crushed and Broken Limestone Mining and Quarrying
1423,,Crushed and Broken Granite,212313,Crushed and Broken Granite Mining and Quarrying
1429,,"Crushed and Broken Stone, NEC",212319,Other Crushed and Broken Stone Mining and Quarrying (pt)
1442,,Construction Sand and Gravel,212321,Construction Sand and Gravel Mining
1446,,Industrial Sand,212322,Industrial Sand Mining
1455,,Kaolin and Ball Clay,212324,Kaolin and Ball Clay Mining
1459,,"Clay, Ceramic, and Refractory Minerals, NEC",212325,Clay and Ceramic and Refractory Minerals Mining
1474,,"Potash, Soda, and Borate Minerals",212391,"Potash, Soda, and Borate Mineral Mining"
1475,,Phosphate Rock,212392,Phosphate Rock Mining
1479,,"Chemical and Fertilizer Mineral Mining, NEC",212393,Other Chemical and Fertilizer Mineral Mining
1481,,Nonmetallic Minerals Services Except Fuels,,
1481,pt,.   Except Geophysical Mapping and Surveying,213115,Support Activities for Nonmetallic Minerals (except Fuels)
1481,pt,.   Geophysical Surveying and Mapping Services,54136,Geophysical Surveying and Mapping Services (pt)
1499,,"Miscellaneous Nonmetallic Minerals, Except Fuels",,
1499,pt,.   Bituminous Limestone and Bituminous Sandstone,212319,Other Crushed and Broken Stone Mining or Quarrying (pt)
1499,pt,.   Except Bituminous Limestone and Bituminous Sandstone,212399,All Other Nonmetallic Mineral Mining (pt)
,,Construction,,
15,,General building contractors,,
1521,,General Contractors-Single-Family Houses,23321,Single Family Housing Construction (pt)
1522,,"General Contractors-Residential Buildings, Other Than Single-Family",,
1522,pt,.   Hotel and Motel Construction,23332,Commercial and Institutional Building Construction (pt)
1522,pt,.   Except Hotel and Motel Construction,23322,Multifamily Housing Construction (pt)
1531,,Operative Builders,,
1531,pt,.   Single Family Housing,23321,Single Family Housing Construction (pt)
1531,pt,.   Multifamily Housing,23322,Multifamily Housing Construction (pt)
1531,pt,.   Manufacturing and Light Industrial Buildings,23331,Manufacturing and Industrial Building Construction (pt)
1531,pt,.   Commercial and Institutional Buildings,23332,Commercial and Institutional Building Construction (pt)
1541,,General Contractors-Industrial Buildings and Warehouses,,
1541,pt,.   Public Warehouse Construction,23332,Commercial and Institutional Building Construction  (pt)
1541,pt,.   Except Public Warehouse Construction,23331,Manufacturing and Industrial Building Construction  (pt)
1542,,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses",23332,Commercial and Institutional Building Construction  (pt)
16,,Heavy construction contractors,,
1611,,"Highway and Street Construction, Except Elevated Highways",23411,Highway and Street Construction (pt)
1622,,"Bridge, Tunnel, and Elevated Highway Construction",23412,Bridge and Tunnel Construction (pt)
1623,,"Water, Sewer, Pipeline, and Communications and Power Line Construction",,
1623,pt,".   Water, Sewer and Pipelines",23491,"Water, Sewer, and Pipeline Construction (pt)"
1623,pt,.   Power and Communication Transmission Lines,23492,Power and Communication Transmission Line Construction (pt)
1629,,"Heavy Construction, NEC",,
1629,pt,.   Industrial Nonbuilding Structures Construction,23493,Industrial Nonbuilding Structure Construction (pt)
1629,pt,.   Nonbuilding Structures Except Industrial Construction,23499,All Other Heavy Construction (pt)
17,,Special trade contractors,,
1711,,"Plumbing, Heating, and Air-Conditioning",23511,"Plumbing, Heating, and Air-Conditioning Contractors (pt)"
1721,,Painting and Paper Hanging,23521,Painting and Wall Covering Contractors (pt)
1731,,Electrical Work,23531,Electrical Contractors
1741,,"Masonry, Stone Setting, and Other Stone Work",23541,Masonry and Stone Contractors
1742,,"Plastering, Drywall, Acoustical, and Insulation Work",23542,"Drywall, Plastering, Acoustical, and Insulation Contractors (pt)"
1743,,"Terrazzo, Tile, Marble, and Mosaic Work",,
1743,pt,.   Fresco Work,23542,"Drywall, Plastering, Acoustical, and Insulation Contractors (pt)"
1743,pt,.   Except Fresco Work,23543,"Tile, Marble, Terrazzo, and Mosaic Contractors"
1751,,Carpentry Work,23551,Carpentry Contractors
1752,,"Floor Laying and Other Floor Work, NEC",23552,Floor Laying and Other Floor Contractors
1761,,"Roofing, Siding, and Sheet Metal Work",23561,"Roofing, Siding, and Sheet Metal Contractors"
1771,,Concrete Work,,
1771,pt,.   Stucco Construction,23542,"Drywall, Plastering, Acoustical, and Insulation Contractors (pt)"
1771,pt,.   Except Stucco Construction,23571,Concrete Contractors
1781,,Water Well Drilling,23581,Water Well Drilling Contractors
1791,,Structural Steel Erection,23591,Structural Steel Erection Contractors
1793,,Glass and Glazing Work,23592,Glass and Glazing Contractors (pt)
1794,,Excavation Work,23593,Excavation Contractors
1795,,Wrecking and Demolition Work,23594,Wrecking and Demolition Contractors
1796,,"Installation or Erection of Building Equipment, NEC",23595,Building Equipment and Other Machinery Installation Contractors
1799,,"Special Trade Contractors, NEC",,
1799,pt,.   Paint and Wallpaper Stripping and Wallpaper Removal Contractors,23521,Painting and Wall Covering Contractors (pt)
1799,pt,.   Tinted Glass Work,23592,Glass and Glazing Contractors (pt)
1799,pt,.   Asbestos Abatement and Lead Paint Removal Contractors,56291,Remediation Services (pt)
1799,pt,.   All Other Special Trade Contractors,23599,All Other Special Trade Contractors
,,Manufacturing,,
20,,Food and kindred products,,
2011,,Meat Packing Plants,311611,Animal (except Poultry) Slaughtering (pt)
2013,,Sausages and Other Prepared Meats,,
2013,pt,.   Lard Made From Purchased Material,311613,Rendering and Meat Byproduct Processing (pt)
2013,pt,.   Except Lard Made From Purchased Material,311612,Meat Processed from Carcasses (pt)
2015,,Poultry Slaughtering and Processing,,
2015,pt,.   Poultry Processing,311615,Poultry Processing
2015,pt,.   Egg Processing,311999,All Other Miscellaneous Food  Manufacturing (pt)
2021,,Creamery Butter,311512,Creamery Butter Manufacturing
2022,,"Natural, Processed, and Imitation Cheese",311513,Cheese Manufacturing
2023,,"Dry, Condensed, and Evaporated Dairy Products",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2024,,Ice Cream and Frozen Desserts,31152,Ice Cream and Frozen Dessert Manufacturing
2026,,Fluid Milk,,
2026,pt,.   Ultra-High Temperature,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing (pt)"
2026,pt,.   Except Ultra-High Temperature,311511,Fluid Milk Manufacturing
2032,,Canned Specialties,,
2032,pt,.   Canned Specialties,311422,Specialty Canning
2032,pt,.   Canned Pudding,311999,All Other Miscellaneous Food Manufacturing (pt)
2033,,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",311421,Fruit and Vegetable Canning  (pt)
2034,,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",,
2034,pt,.   Dried and Dehydrated Fruits and Vegetables,311423,Dried and Dehydrated Food Manufacturing (pt)
2034,pt,.   Soup Mixes Made from Purchased Dried and Dehydrated Vegetables,311999,All Other Miscellaneous Food Manufacturing (pt)
2034,pt,.   Vegetable Flours,311211,Flour Milling (pt)
2035,,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",,
2035,pt,.   Pickled Fruits and Vegetables,311421,Fruit and Vegetable Canning (pt)
2035,pt,.   Sauces and Salad Dressings,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing (pt)"
2037,,"Frozen Fruits, Fruit Juices, and Vegetables",311411,"Frozen Fruit, Juice, and Vegetable Processing"
2038,,"Frozen Specialties, NEC",311412,Frozen Specialty Food Manufacturing
2041,,Flour and Other Grain Mill Products,311211,Flour Milling (pt)
2043,,Cereal Breakfast Foods,,
2043,pt,.   Coffee Substitute,31192,Coffee and Tea Manufacturing (pt)
2043,pt,.   Breakfast Cereal,31123,Breakfast Cereal Manufacturing
2044,,Rice Milling,311212,Rice Milling
2045,,Prepared Flour Mixes and Doughs,311822,Flour Mixes and Dough Manufacturing from Purchased Flour
2046,,Wet Corn Milling,311221,Wet Corn Milling
2046,pt,.   Refining Purchased Oil,311225,Fats and Oils Refining and Blending (pt)
2046,pt,.   Except Refining Purchased Oil,311221,Wet Corn Milling
2047,,Dog and Cat Food,311111,Dog and Cat Food Manufacturing
2048,,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats",,
2048,pt,.   Animal Slaughtering for Pet Food,311611,Animal (except Poultry) Slaughtering (pt)
2048,pt,.   Except Slaughtering Animals for Pet Food,311119,Other Animal Food Manufacturing (pt)
2051,,"Bread and Other Bakery Products, Except Cookies and Crackers",311812,Commercial Bakeries (pt)
2052,,Cookies and Crackers,,
2052,pt,.   Cookie and Cracker,311821,Cookie and Cracker Manufacturing
2052,pt,".   Pretzels, Except Soft",311919,Other Snack Food Manufacturing (pt)
2052,pt,.   Unleavened Bread and Soft Pretzels,311812,Commercial Bakeries (pt)
2053,,"Frozen Bakery Products, Except Bread",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
2061,,"Cane Sugar, Except Refining",311311,Sugarcane Mills
2062,,Cane Sugar Refining,311312,Cane Sugar Refining
2063,,Beet Sugar,311313,Beet Sugar Manufacturing
2064,,Candy and Other Confectionery Products,,
2064,pt,.   Chocolate Confectionery,31133,Confectionery Manufacturing from Purchased Chocolate (pt)
2064,pt,.   Nonchocolate Confectionery Manufacturing,31134,Nonchocolate Confectionery Manufacturing (pt)
2066,,Chocolate and Cocoa Products,,
2066,pt,.   Chocolate Products Made From Purchased Chocolate,31133,Confectionery Manufacturing From Purchased Chocolate (pt)
2066,pt,.   Chocolate and Confectionery Products Made From Cacao Beans,31132,Chocolate and Confectionery Manufacturing from Cacao Beans
2067,,Chewing Gum,31134,Nonchocolate  Confectionery Manufacturing (pt)
2068,,Salted and Roasted Nuts and Seeds,311911,Roasted Nuts and Peanut Butter Manufacturing (pt)
2074,,Cottonseed Oil Mills,,
2074,pt,.   Cottonseed Processing,311223,Other Oilseed Processing (pt)
2074,pt,.   Processing Purchased Cottonseed Oil,311225,Fats and Oils Refining and Blending (pt)
2075,,Soybean Oil Mills,,
2075,pt,.   Soybean Processing,311222,Soybean Processing (pt)
2075,pt,.   Processing Purchased Soybean Oil,311225,Fats and Oils Refining and Blending (pt)
2076,,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybeans",,
2076,pt,".   Vegetable Oilseed Processing, except Corn, Cottonseed, and Soybeans",311223,Other Oilseed Processing (pt)
2076,pt,".   Processing Purchased Vegetable Oils, except Corn, Cottonseed, and Soybeans",311225,Fats and Oils Refining and Blending (pt)
2077,,Animal and Marine Fats and Oils,,
2077,pt,.   Animal Fats and Oils,311613,Rendering and Meat Byproduct Processing
2077,pt,.   Canned Marine Fats and Oils,311711,Seafood Canning (pt)
2077,pt,.   Fresh and Frozen Marine Fats and Oils,311712,Fresh and Frozen Seafood Processing (pt)
2079,,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC",,
2079,pt,.   Processing Fats and Oils from Purchased Fats and Oils,311225,Fats and Oils Refining and Blending (pt)
2079,pt,.   Processing Soybean Oil from Soybeans Crushed in the Same Establishment,311222,Soybean Processing (pt)
2079,pt,".   Processing Vegetable Oils, except Soybeans, from Oilseeds Crushed in the Same Establishment",311223,Other Oilseed Processing (pt)
2082,,Malt Beverages,,
2082,pt,.   Malt Extract,311942,Spice and Extract Manufacturing (pt)
2082,pt,.   Except Malt Extract,31212,Breweries
2083,,Malt,311213,Malt Manufacturing
2084,,"Wines, Brandy, and Brandy Spirits",31213,Wineries (pt)
2085,,Distilled and Blended Liquors,,
2085,pt,.   Applejack,31213,Wineries (pt)
2085,pt,.   Except Applejack,31214,Distilleries
2086,,Bottled and Canned Soft Drinks and Carbonated Waters,,
2086,pt,.   Soft Drinks,312111,Soft Drink Manufacturing
2086,pt,.   Bottled Water,312112,Bottled Water Manufacturing (pt)
2087,,Flavoring Extracts and Flavoring Syrups NEC,,
2087,pt,.   Coffee Flavoring and Syrups,31192,Coffee and Tea Manufacturing (pt)
2087,pt,".   Flavoring Syrup and Concentrate, Except Coffee",31193,Flavoring Syrup and Concentrate Manufacturing
2087,pt,".   Flavoring Extracts, Except Coffee, and Natural Food Colorings",311942,Spice and Extract Manufacturing (pt)
2087,pt,.   Powdered Drink Mix,311999,All Other Miscellaneous Food Manufacturing (pt)
2091,,Canned and Cured Fish and Seafood,311711,Seafood Canning (pt)
2092,,Prepared Fresh or Frozen Fish and Seafoods,311712,Fresh and Frozen Seafood Processing (pt)
2095,,Roasted Coffee,31192,Coffee and Tea Manufacturing (pt)
2096,,"Potato Chips, Corn Chips, and Similar Snacks",311919,Other Snack Food Manufacturing (pt)
2097,,Manufactured Ice,312113,Ice Manufacturing
2098,,"Macaroni, Spaghetti, Vermicelli, and Noodles",311823,Dry Pasta Manufacturing (pt)
2099,,"Food Preparations, NEC",,
2099,pt,.   Reducing Maple Sap to Maple Syrup,111998,All Other Miscellaneous Crop Farming (pt)
2099,pt,.   Marshmallow Creme,31134,Nonchocolate Confectionery Manufacturing (pt)
2099,pt,.   Peanut Butter,311911,Roasted Nuts and Peanut Butter Manufacturing (pt)
2099,pt,".   Potatoes, Dried and Packaged with Other Ingredients Made in Dehydration Plants, and Bouillon",311423,Dried and Dehydrated Food Manufacturing (pt)
2099,pt,.   Perishable Prepared Food,311991,Perishable Prepared Food Manufacturing
2099,pt,".   Rice, Uncooked and Packaged with Other Ingredients Made in Rice Mills",311212,Rice Milling (pt)
2099,pt,.   Tortillas,31183,Tortilla Manufacturing
2099,pt,.   Dry Pasta Packaged with Other Ingredients Made in Dry Pasta Plants,311823,Dry Pasta Manufacturing (pt)
2099,pt,.   Tea,31192,Coffee and Tea Manufacturing (pt)
2099,pt,".   Vinegar, Prepared Dips Except Dairy and Cider",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing (pt)"
2099,pt,.   Spices and Extracts,311942,Spice and Extract Manufacturing (pt)
2099,pt,.   Other,311999,All Other Miscellaneous Food Manufacturing (pt)
21,,Tobacco manufactures,,
2111,,Cigarettes,312221,Cigarette Manufacturing
2121,,Cigars,312229,Other Tobacco Product Manufacturing (pt)
2131,,Chewing and Smoking Tobacco and Snuff,312229,Other Tobacco Product Manufacturing (pt)
2141,,Tobacco Stemming and Redrying,,
2141,pt,.   Reconstituted Tobacco,312229,Other Tobacco Product Manufacturing (pt)
2141,pt,.   Redrying and Stemming,31221,Tobacco Stemming and Redrying
22,,Textile mill products,,
2211,,"Broadwoven Fabric Mills, Cotton",31321,Broadwoven Fabric Mills (pt)
2221,,"Broadwoven Fabric Mills, Manmade Fiber and Silk",31321,Broadwoven Fabric Mills (pt)
2231,,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)",,
2231,pt,.   Except Wool Finishing only,31321,Broadwoven Fabric Mills (pt)
2231,pt,.   Wool Broadwoven Fabric Finishing only,313311,Broadwoven Fabric Finishing Mills (pt)
2231,pt,".   Wool Finishing only, Except Broadwoven Fabric",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2241,,"Narrow  Fabric and Other Smallware Mills:  Cotton, Wool, Silk, and Manmade Fiber",313221,Narrow Fabric Mills (pt)
2251,,"Women's Full-Length and Knee-Length Hosiery, Except Socks",,
2251,pt,.   Dyeing and Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2251,pt,.   Except Dyeing and Finishing Only,315111,Sheer Hosiery Mills (pt)
2252,,"Hosiery, NEC",,
2252,pt,.   Dyeing and Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric )Mills (pt)
2252,pt,".   Girls' Hosiery, Except Dyeing and Finishing Only",315111,Sheer Hosiery Mills (pt)
2252,pt,".   Socks, Except Dyeing and Finishing Only",315119,Other Hosiery and Sock Mills
2253,,Knit Outerwear Mills,,
2253,pt,.   Dyeing and Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2253,pt,.   Bathrobes and Lounging Robes Made in Knitting Mills Except Dyeing and Finishing Only,315192,Underwear and Nightwear Knitting Mills (pt)
2253,pt,.   Except Dyeing and Finishing Only and Bathrobes and Lounging Robes,315191,Outerwear Knitting Mills (pt)
2254,,Knit Underwear and Nightwear Mills,,
2254,pt,.   Dyeing and Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2254,pt,.   Except Dyeing and Finishing Only,315192,Underwear and Nightwear Knitting Mills (pt)
2257,,Weft Knit Fabric Mills,,
2257,pt,.   Except Finishing,313241,Weft Knit Fabric Mills (pt)
2257,pt,.   Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2258,,Lace and Warp Knit Fabric Mills,,
2258,pt,.   Except Finishing,313249,Other Knit Fabric and Lace Mills (pt)
2258,pt,.   Finishing Only,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2259,,"Knitting Mills, NEC",,
2259,pt,.   Knit Gloves and Mittens,315191,Outerwear Knitting Mills (pt)
2259,pt,.   Girdles,315192,Underwear and Nightwear Knitting Mills (pt)
2259,pt,.   Finished Articles of Weft Knit Fabric,313241,Weft Knit Fabric Mills (pt)
2259,pt,".   Knit Gloves and Mittens, Dyeing and Finishing Only",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2259,pt,.   Finished Articles of Warp Knit Fabric,313249,Other Knit Fabric and Lace Mills (pt)
2261,,Finishers of Broadwoven Fabrics of Cotton,313311,Broadwoven Fabric Finishing Mills (pt)
2262,,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,313311,Broadwoven Fabric Finishing Mills (pt)
2269,,"Finishers of Textiles, NEC",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2273,,Carpets and Rugs,31411,Carpet and Rug Mills
2281,,Yarn Spinning Mills,313111,Yarn Spinning Mills (pt)
2282,,"Yarn Texturizing, Throwing, Twisting, and Winding Mills",313112,"Yarn Texturing, Throwing, and Twisting Mills"
2284,,Thread Mills,,
2284,pt,.   Except Finishing,313113,Thread Mills (pt)
2284,pt,.   Finishing,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2295,,"Coated Fabrics, Not Rubberized",31332,Fabric Coating Mills (pt)
2296,,Tire Cord and Fabrics,314992,Tire Cord and Tire Fabric Mills
2297,,Nonwoven Fabrics,31323,Nonwoven Fabric Mills (pt)
2298,,Cordage and Twine,314991,"Rope, Cordage and Twine Mills"
2299,,"Textile Goods, NEC",,
2299,pt,".   Broadwoven Fabric of Jute, Linen, Hemp, and Ramie and Handwoven",31321,Broadwoven Fabric Mills (pt)
2299,pt,.   Nonwoven Felt,31323,Nonwoven Fabric Mills (pt)
2299,pt,".   Finishing Thread and Yarn of Flax, Hemp, Jute, Linen, and Ramie",313312,Textile and Fabric Finishing (except Broadwoven Fabrics) Mills (pt)
2299,pt,".   Narrow Woven Fabric of Jute, Linen, Hemp, and Ramie",313221,Narrow Fabric Mills (pt)
2299,pt,".   Thread of Hemp, Linen, and Ramie",313113,Thread Mills (pt)
