SIC,Part.Indicator,SIC.Titles.and.Part.Descriptions,X1997.NAICS,X1997.NAICS.Titles.and.Part.Indicators
2092,NA,Prepared Fresh or Frozen Fish and Seafoods,311712,Fresh and Frozen Seafood Processing (pt)
2095,NA,Roasted Coffee,31192,Coffee and Tea Manufacturing (pt)
2096,NA,"Potato Chips, Corn Chips, and Similar Snacks",311919,Other Snack Food Manufacturing (pt)
2097,NA,Manufactured Ice,312113,Ice Manufacturing
2098,NA,"Macaroni, Spaghetti, Vermicelli, and Noodles",311823,Dry Pasta Manufacturing (pt)
2099,NA,"Food Preparations, NEC",NA,NA
21,NA,Tobacco manufactures,NA,NA
2111,NA,Cigarettes,312221,Cigarette Manufacturing
2121,NA,Cigars,312229,Other Tobacco Product Manufacturing (pt)
2131,NA,Chewing and Smoking Tobacco and Snuff,312229,Other Tobacco Product Manufacturing (pt)
2141,NA,Tobacco Stemming and Redrying,NA,NA
22,NA,Textile mill products,NA,NA
2211,NA,"Broadwoven Fabric Mills, Cotton",31321,Broadwoven Fabric Mills (pt)
2221,NA,"Broadwoven Fabric Mills, Manmade Fiber and Silk",31321,Broadwoven Fabric Mills (pt)
2231,NA,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)",NA,NA
2241,NA,"Narrow  Fabric and Other Smallware Mills:  Cotton, Wool, Silk, and Manmade Fiber",313221,Narrow Fabric Mills (pt)
2251,NA,"Women's Full-Length and Knee-Length Hosiery, Except Socks",NA,NA
2252,NA,"Hosiery, NEC",NA,NA
2253,NA,Knit Outerwear Mills,NA,NA
2254,NA,Knit Underwear and Nightwear Mills,NA,NA
2257,NA,Weft Knit Fabric Mills,NA,NA
2258,NA,Lace and Warp Knit Fabric Mills,NA,NA
2259,NA,"Knitting Mills, NEC",NA,NA
2261,NA,Finishers of Broadwoven Fabrics of Cotton,313311,Broadwoven Fabric Finishing Mills (pt)
2262,NA,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,313311,Broadwoven Fabric Finishing Mills (pt)
2269,NA,"Finishers of Textiles, NEC",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills (pt)
2273,NA,Carpets and Rugs,31411,Carpet and Rug Mills
2281,NA,Yarn Spinning Mills,313111,Yarn Spinning Mills (pt)
2282,NA,"Yarn Texturizing, Throwing, Twisting, and Winding Mills",313112,"Yarn Texturing, Throwing, and Twisting Mills"
2284,NA,Thread Mills,NA,NA
2295,NA,"Coated Fabrics, Not Rubberized",31332,Fabric Coating Mills (pt)
2296,NA,Tire Cord and Fabrics,314992,Tire Cord and Tire Fabric Mills
2297,NA,Nonwoven Fabrics,31323,Nonwoven Fabric Mills (pt)
2298,NA,Cordage and Twine,314991,"Rope, Cordage and Twine Mills"
2299,NA,"Textile Goods, NEC",NA,NA
23,NA,Apparel and other textile products,NA,NA
2311,NA,"Men's and Boys' Suits, Coats, and Overcoats",NA,NA
2321,NA,"Men's and Boys' Shirts, Except Work Shirts",NA,NA
2322,NA,Men's and Boys' Underwear and Nightwear,NA,NA
2323,NA,Men's and Boys' Neckwear,NA,NA
2325,NA,Men's and Boys' Trousers and Slacks,NA,NA
2326,NA,Men's and Boys' Work Clothing,NA,NA
2329,NA,"Men's and Boys' Clothing, NEC",NA,NA
2331,NA,"Women's, Misses', and Juniors' Blouses and Shirts",NA,NA
2335,NA,"Women's, Misses', and Juniors' Dresses",NA,NA
2337,NA,"Women's, Misses' and Juniors' Suits, Skirts, and Coats",NA,NA
2339,NA,"Women's, Misses', and Juniors' Outerwear, NEC",NA,NA
2341,NA,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",NA,NA
2342,NA,"Brassieres, Girdles, and Allied Garments",NA,NA
2353,NA,"Hats, Caps, and Millinery",NA,NA
2361,NA,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",NA,NA
2369,NA,"Girls', Children's, and Infants' Outerwear, NEC",NA,NA
2371,NA,Fur Goods,NA,NA
2381,NA,"Dress and Work Gloves, Except Knit and All-Leather",NA,NA
2384,NA,Robes and Dressing Gowns,NA,NA
2385,NA,Waterproof Outerwear,NA,NA
2386,NA,Leather and Sheep-Lined Clothing,NA,NA
2387,NA,Apparel Belts,NA,NA
2389,NA,"Apparel and Accessories, NEC",NA,NA
2391,NA,Curtains and Draperies,314121,Curtain and Drapery Mills (pt)
2392,NA,"Housefurnishings, Except Curtains and Draperies",NA,NA
2393,NA,Textile Bags,314911,Textile Bag Mills (pt)
2394,NA,Canvas and Related Products,314912,Canvas and Related Product Mills (pt)
2395,NA,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade",NA,NA
2396,NA,"Automotive Trimmings, Apparel Findings, and Related Products",NA,NA
2397,NA,Schiffli Machine Embroideries,313222,Schiffli Machine Embroidery
2399,NA,"Fabricated Textile Products, NEC",NA,NA
24,NA,Lumber and wood products,NA,NA
2411,NA,Logging,11331,Logging
2421,NA,"Sawmills and Planing Mills, General",NA,NA
2426,NA,Hardwood Dimension and Flooring Mills,NA,NA
2429,NA,"Special Product Sawmills, NEC",NA,NA
2431,NA,Millwork,NA,NA
2434,NA,Wood Kitchen Cabinets,33711,Wood Kitchen Cabinet and Countertop Manufacturing (pt)
2435,NA,Hardwood Veneer and Plywood,321211,Hardwood Veneer and Plywood Manufacturing
2436,NA,Softwood Veneer and Plywood,321212,Softwood Veneer and Plywood Manufacturing
2439,NA,"Structural Wood Members, NEC",NA,NA
2441,NA,Nailed and Lock Corner Wood Boxes and Shook,32192,Wood Container and Pallet Manufacturing (pt)
2448,NA,Wood Pallets and Skids,32192,Wood Container and Pallet Manufacturing (pt)
2449,NA,"Wood Containers, NEC",32192,Wood Container and Pallet Manufacturing (pt)
2451,NA,Mobile Homes,321991,Manufactured Home (Mobile Home)  Manufacturing
2452,NA,Prefabricated Wood Buildings and Components,321992,Prefabricated Wood Building Manufacturing
2491,NA,Wood Preserving,321114,Wood Preservation
2493,NA,Reconstituted Wood Products,321219,Reconstituted Wood Product Manufacturing
2499,NA,"Wood Products, NEC",NA,NA
25,NA,Furniture and fixtures,NA,NA
2511,NA,"Wood Household Furniture, Except Upholstered",NA,NA
2512,NA,"Wood Household Furniture, Upholstered",337121,Upholstered Household Furniture Manufacturing (pt)
2514,NA,Metal Household Furniture,NA,NA
2515,NA,"Mattresses, Foundations, and Convertible Beds",NA,NA
2517,NA,"Wood Television, Radio, Phonograph and Sewing Machine Cabinets",337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing"
2519,NA,"Household Furniture, NEC",337125,Household Furniture (except Wood and Metal) Manufacturing
2521,NA,Wood Office Furniture,337211,Wood Office Furniture Manufacturing
2522,NA,"Office Furniture, Except Wood",337214,Office Furniture (except Wood) Manufacturing
2531,NA,Public Building and Related Furniture,NA,NA
2541,NA,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers",NA,NA
2542,NA,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood",NA,NA
2591,NA,Drapery Hardware and Window Blinds and Shades,33792,Blind and Shade Manufacturing
2599,NA,"Furniture and Fixtures, NEC",NA,NA
26,NA,Paper and allied products,NA,NA
2611,NA,Pulp Mills,NA,NA
2621,NA,Paper Mills,NA,NA
2631,NA,Paperboard Mills,32213,Paperboard Mills (pt)
2652,NA,Setup Paperboard Boxes,322213,Setup Paperboard Box Manufacturing
2653,NA,Corrugated and Solid Fiber Boxes,322211,Corrugated and Solid Fiber Box Manufacturing (pt)
2655,NA,"Fiber Cans, Tubes, Drums, and Similar Products",322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing"
2656,NA,"Sanitary Food Containers, Except Folding",322215,Nonfolding Sanitary Food Container Manufacturing
2657,NA,"Folding Paperboard Boxes, Including Sanitary",322212,Folding Paperboard Box Manufacturing
2671,NA,"Packaging Paper and Plastics Film, Coated and Laminated",NA,NA
2672,NA,"Coated and Laminated Paper, NEC",322222,Coated and Laminated Paper Manufacturing (pt)
2673,NA,"Plastics, Foil, and Coated Paper Bags",NA,NA
2674,NA,Uncoated Paper and Multiwall Bags,322224,Uncoated Paper and Multiwall Bag Manufacturing
2675,NA,Die-Cut Paper and Paperboard and Cardboard,NA,NA
2676,NA,Sanitary Paper Products,322291,Sanitary Paper Product Manufacturing (pt)
2677,NA,Envelopes,322232,Envelope Manufacturing
2678,NA,"Stationery, Tablets, and Related Products",322233,"Stationery, Tablet, and Related Product Manufacturing"
2679,NA,"Converted Paper and Paperboard Products, NEC",NA,NA
27,NA,Printing and publishing,NA,NA
2711,NA,"Newspapers:  Publishing, or Publishing and Printing",51111,Newspaper Publishers
2721,NA,"Periodicals: Publishing, or Publishing and Printing",51112,Periodical Publishers (pt)
2731,NA,"Books: Publishing, or Publishing and Printing",NA,NA
2732,NA,Book Printing,323117,Books Printing
2741,NA,Miscellaneous Publishing,NA,NA
2752,NA,"Commercial Printing, Lithographic",NA,NA
2754,NA,"Commercial Printing, Gravure",323111,Commercial Gravure Printing (pt)
2759,NA,"Commercial Printing, NEC",NA,NA
2761,NA,Manifold Business Forms,323116,Manifold Business Forms Printing (pt)
2771,NA,Greeting Cards,NA,NA
2782,NA,"Blankbooks, Loose-leaf Binders and Devices",NA,NA
2789,NA,Bookbinding and Related Work,323121,Tradebinding and Related Work
2791,NA,Typesetting,323122,Prepress Services (pt)
2796,NA,Platemaking and Related Services,323122,Prepress Services (pt)
28,NA,Chemicals and allied products,NA,NA
2812,NA,Alkalies and Chlorine,325181,Alkalies and Chlorine Manufacturing
2813,NA,Industrial Gases,32512,Industrial Gas Manufacturing (pt)
2816,NA,Inorganic Pigments,NA,NA
2819,NA,"Industrial Inorganic Chemicals, NEC",NA,NA
2821,NA,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",325211,Plastics Material and Resin Manufacturing
2822,NA,Synthetic Rubber,325212,Synthetic Rubber Manufacturing
2823,NA,Cellulosic Manmade Fibers,325221,Cellulosic Organic Fiber Manufacturing
2824,NA,"Manmade Organic Fibers, Except Cellulosic",325222,Noncellulosic Organic Fiber Manufacturing
2833,NA,Medicinal Chemicals and Botanical Products,325411,Medicinal and Botanical Manufacturing
2834,NA,Pharmaceutical Preparations,325412,Pharmaceutical Preparation Manufacturing (pt)
2835,NA,In Vitro and In Vivo Diagnostic Substances,NA,NA
2836,NA,"Biological Products, Except Diagnostic Substances",325414,Biological Product (except Diagnostic) Manufacturing
2841,NA,"Soaps and Other Detergents, Except Speciality Cleaners",325611,Soap and Other Detergent Manufacturing (pt)
2842,NA,"Speciality Cleaning, Polishing, and Sanitary Preparations",325612,Polish and Other Sanitation Good Manufacturing
2843,NA,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",325613,Surface Active Agent Manufacturing
2844,NA,"Perfumes, Cosmetics, and Other Toilet Preparations",NA,NA
2851,NA,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",32551,Paint and Coating Manufacturing (pt)
2861,NA,Gum and Wood Chemicals,325191,Gum and Wood Chemical Manufacturing
2865,NA,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",NA,NA
2869,NA,"Industrial Organic Chemicals, NEC",NA,NA
2873,NA,Nitrogenous Fertilizers,325311,Nitrogenous Fertilizer Manufacturing
2874,NA,Phosphatic Fertilizers,325312,Phosphatic Fertilizer Manufacturing
2875,NA,"Fertilizers, Mixing Only",325314,Fertilizer (Mixing Only) Manufacturing
2879,NA,"Pesticides and Agricultural Chemicals, NEC",32532,Pesticide and Other Agricultural Chemical Manufacturing
2891,NA,Adhesives and Sealants,32552,Adhesive Manufacturing
2892,NA,Explosives,32592,Explosives Manufacturing
2893,NA,Printing Ink,32591,Printing Ink Manufacturing
2895,NA,Carbon Black,325182,Carbon Black Manufacturing (pt)
2899,NA,"Chemicals and Chemical Preparations, NEC",NA,NA
29,NA,Petroleum and coal products,NA,NA
2911,NA,Petroleum Refining,32411,Petroleum Refineries
2951,NA,Asphalt Paving Mixtures and Blocks,324121,Asphalt Paving Mixture and Block Manufacturing
2952,NA,Asphalt Felts and Coatings,324122,Asphalt Shingle and Coating Materials Manufacturing
2992,NA,Lubricating Oils and Greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
2999,NA,"Products of Petroleum and Coal, NEC",324199,All Other Petroleum and Coal Products Manufacturing (pt)
30,NA,Rubber and miscellaneous plastics products,NA,NA
3011,NA,Tires and Inner Tubes,326211,Tire Manufacturing (except Retreading)
3021,NA,Rubber and Plastics Footwear,316211,Rubber and Plastics Footwear Manufacturing
3052,NA,Rubber and Plastics Hose and Belting,32622,Rubber and Plastics Hoses and Belting Manufacturing
3053,NA,"Gaskets, Packing, and Sealing Devices",339991,"Gasket, Packing, and Sealing Device Manufacturing"
3061,NA,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",326291,Rubber Product Manufacturing for Mechanical Use
3069,NA,"Fabricated Rubber Products, NEC",NA,NA
3081,NA,Unsupported Plastics Film and Sheet,326113,Unsupported Plastics Film and Sheet (except Packaging) Manufacturing
3082,NA,Unsupported Plastics Profile Shapes,326121,Unsupported Plastics Profile Shape Manufacturing (pt)
3083,NA,"Laminated Plastics Plate, Sheet, and Profile Shapes",32613,"Laminated Plastics Plate, Sheet, and Shape Manufacturing"
3084,NA,Plastics Pipe,326122,Plastics Pipe and Pipe Fitting Manufacturing (pt)
3085,NA,Plastics Bottles,32616,Plastics Bottle Manufacturing
3086,NA,Plastics Foam Products,NA,NA
3087,NA,Custom Compounding of Purchased Plastics Resins,325991,Custom Compounding of Purchased Resin
3088,NA,Plastics Plumbing Fixtures,326191,Plastics Plumbing Fixtures Manufacturing
3089,NA,"Plastics Products, NEC",NA,NA
31,NA,Leather and leather products,NA,NA
3111,NA,Leather Tanning and Finishing,31611,Leather and Hide Tanning and Finishing (pt)
3131,NA,Boot and Shoe Cut Stock and Findings,NA,NA
3142,NA,House Slippers,316212,House Slipper Manufacturing
3143,NA,"Men's Footwear, Except Athletic",316213,Men's Footwear (except Athletic) Manufacturing
3144,NA,"Women's Footwear, Except Athletic",316214,Women's Footwear (except Athletic) Manufacturing
3149,NA,"Footwear, Except Rubber, NEC",316219,Other Footwear Manufacturing
3151,NA,Leather Gloves and Mittens,NA,NA
3161,NA,Luggage,316991,Luggage Manufacturing
3171,NA,Women's Handbags and Purses,316992,Women's Handbag and Purse Manufacturing
3172,NA,"Personal Leather Goods, Except Women's Handbags and Purses",316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing
3199,NA,"Leather Goods, NEC",316999,All Other Leather Good Manufacturing (pt)
32,NA,"Stone, clay, glass, and concrete products",NA,NA
3211,NA,Flat Glass,327211,Flat Glass Manufacturing
3221,NA,Glass Containers,327213,Glass Container Manufacturing
3229,NA,"Pressed and Blown Glass and Glassware, NEC",327212,Other Pressed and Blown Glass and Glassware Manufacturing
3231,NA,"Glass Products, Made of Purchased Glass",327215,Glass Product Manufacturing Made of Purchased Glass
3241,NA,"Cement, Hydraulic",32731,Cement Manufacturing
3251,NA,Brick and Structural Clay Tile,NA,NA
3253,NA,Ceramic Wall and Floor Tile,327122,Ceramic Wall and Floor Tile Manufacturing
3255,NA,Clay Refractories,327124,Clay Refractory Manufacturing
3259,NA,"Structural Clay Products, NEC",327123,Other Structural Clay Product Manufacturing
3261,NA,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
3262,NA,Vitreous China Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product  Manufacturing (pt)"
3263,NA,Fine Earthenware (Whiteware) Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing (pt)"
3264,NA,Porcelain Electrical Supplies,327113,Porcelain Electrical Supply Manufacturing
3269,NA,"Pottery Products, NEC",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing (pt)"
3271,NA,Concrete Block and Brick,327331,Concrete Block and Brick Manufacturing
