Name,City,State,Manager,"Vintage year","Fund size","Average investment","Investment strategy","Making new investments?","Investor relations name","Investor relations email","Investor relations phone"
"Brightwood Capital SBIC III, L.P.","New York",NY,"Brightwood Capital Advisors, LLC",2022,190030000,3504548,"Direct Lending",Yes,"Selassie Sengal",sba@brightwoodlp.com,646-957-9534
"Brookside Mezzanine Fund II, L.P.",Stamford,CT,"Brookside Capital Partners",2008,8121128,556623,Mezzanine,No,"David D. Buttolph",csclar@brooksidemp.com,203-595-4530
"Brookside Mezzanine Fund III, L.P.",Stamford,CT,"Brookside Capital Partners",2013,95115278,2720046,Mezzanine,No,"David D. Buttolph",csclar@brooksidemp.com,203-595-4530
"Brookside Mezzanine Fund IV, L.P.",Stamford,CT,"Brookside Mezzanine Partners Management, LLC",2019,371965000,4505535,Mezzanine,Yes,"Corey Sclar",csclar@brooksidemp.com,203-595-4530
"BSCP SBIC I, L.P.",Alexandria,VA,"Boundary Street Capital",2020,329108214,7446193,Mezzanine,Yes,"Rashad Kawmy",rashad@boundarystreetcapital.com,703-837-6021
"BSCP SBIC II, L.P.",Alexandria,VA,"Boundary Street Capital",2023,100742644,,Mezzanine,Yes,"Rashad Kawmy",muhammedf@boundarystreetcapital.com,703-837-6021
"C3 Capital Partners II, L.P.","Kansas City",MO,"C3 Capital, LLC",2008,28697697,7446193,Mezzanine,No,"Julie Webb, CFO",jwebb@C3cap.com,816-756-2225
"C3 Capital Partners III, L.P.","Kansas City",MO,"C3 Capital, LLC",2012,59850857,586117,Mezzanine,No,"Julie Webb, CFO",jwebb@C3cap.com,816-756-2225
"C3 Capital Partners, LP","Kansas City",MO,"C3 Capital, LLC",2004,18257778,100655,Mezzanine,No,"Julie Webb, CFO",jwebb@C3cap.com,816-756-2225
"Caltius Partners V (SBIC), L.P.","Los Angeles",CA,"Caltius Structured Capital",2016,139500000,4990952,Mezzanine,No,"James B. Upchurch",jupchurch@caltius.com,310-996-9572
"Caltius Partners VI (SBIC), L.P.","Los Angeles",CA,"Caltius Management, LP",2022,249090000,6904074,Mezzanine,Yes,"James B. Upchurch",jupchurch@caltius.com,310-996-9572
"Cambridge Ventures, LP",Indianapolis,IN,"Cambridge Ventures, Inc.",1992,5874104,272000,Mezzanine,No,"Ms. Jean Wojtowicz, President",jwojtowicz@cambridgecapitalmgmt.com,317-814-6192
"Canapi Ventures SBIC Fund II, L.P.",Washington,DC,"Canapi Ventures",2022,269607907,5999993,"Balanced Venture",Yes,"Walker Forehand",sara@canapi.com,202-315-1818
"Canapi Ventures SBIC Fund, L.P.",Washington,DC,"CenterHarbor Canapi Ventures Investment Advisors LLC",2019,524335318,8299418,Venture,Yes,"Walker Forehand",sara@canapi.com,202-315-1818
"Capital Alignment Partners III, L.P.",Nashville,TN,"CCSC Management Services, Inc.",2017,67994440,2393423,Mezzanine,No,"R. Burton Harvey",bharvey@capfunds.com,615-915-1098
"Capital Alignment Partners IV-A, L.P.",Nashville,TN,"Capital Alignment Partners",2023,204068748,4580718,Mezzanine,Yes,"Burton Harvey",bharvey@capfunds.com,615-915-1098
"Capital Alignment Partners IV-B, L.P.",Nashville,TN,"Capital Alignment Partners",2023,84662500,2053656,Mezzanine,Yes,"Burton Harvey",bharvey@capfunds.com,615-915-1098
"Capital Southwest SBIC I, L.P.",Dallas,TX,"Capital Southwest Corporation",2021,217500000,6052381,"Direct Lending",Yes,"Michael Sarner",msarner@capitalsouthwest.com,214-238-5700
"Capitala SBIC Fund VI, L.P.",Charlotte,NC,Capitala Group,2023,97324000,479685,Mezzanine,Yes,"Joseph Alala, III",jalala@capitalgroup.com,704-376-5502
"CapitalSouth SBIC Fund IV, L.P.",Charlotte,NC,"Capital Private Advisors, LLC",2013,151651055,2303031,Mezzanine,No,"Joseph B. Alala",JAlala@capitalagroup.com,704-376-5502
"CapitalSpring SBIC II, L.P.",Nashville,TN,CapitalSpring,2023,45554000,,Mezzanine,Yes,"Richard Fitzgerald",rfitizgerald@capitalspring.com,646-651-2122
"CCP III-SBIC, L.P.",Indianapolis,IN,"Centerfield Capital Partners",2011,13608255,631888,Mezzanine,No,"Faraz Abbasi",faraz@centerfieldcapital.com,317-513-2763
"CCP IV-SBIC, L.P.",Indianapolis,IN,"Centerfield Capital Partners",2016,251861732,3457979,"Hybrid Debt/Equity",No,"Faraz Abbasi",Faraz@centerfieldcapital.com,317-513-2763
"CCP V-SBIC, L.P.",Indianapolis,IN,"Centerfield Capital Partners",2022,304748198,5130722,Mezzanine,Yes,"Faraz Abbasi",Faraz@centerfieldcapital.com,317-513-2763
"Central Valley Fund III (SBIC), L.P. (The)",Davis,CA,"CVF Capital Partners",2017,111800500,1061676,Mezzanine,No,"Edward F. McNulty",emcnulty@cvfcapitalpartners.com,530-757-7004
"Cephas Capital Partners II, L.P.",Pittsford,NY,"Chephas, LLC",2010,11700000,627727,Mezzanine,No,"Jeff Holmes",ccampbell@cephascapital.com,585-383-1610
"CFB Venture Fund L.P.","Saint Louis",MO,"CFB Partners, LLC",1959,89058832,569599,"Growth Equity",No,"Bill Witzofsky, Managing Partner",Bill.witzofsky@cfb.com,314-746-7427
"Champlain Capital Partners II, L.P.","San Francisco",CA,"Champlain Capital Partners",2014,61871194,2370065,"Hybrid Debt/Equity",No,"Dennis M. Leary",dleary@champlaincapital.com,415-281-4181
"Champlain Capital Partners III, L.P.","San Francisco",CA,"Champlain Capital Partners",2019,260200000,6445267,"Hybrid Debt/Equity",Yes,"Dennis M. Leary",dleary@champlaincapital.com,415-281-4181
"Concentric Partners I, L.P.",Raleigh,NC,"Concentric Investment Partners",2021,230618572,4715599,Mezzanine,Yes,"Corbin Graves",cgraves@concentricpartners.com,919-619-3238
"Convergent Capital Partners III, L.P.",Scottsdale,AZ,"CC Management, LLC",2014,28040670,1552509,Mezzanine,No,"Keith Bares",kbares@cvcap.com,763-432-4081
"Convergent Capital Partners IV, L.P.","Eden Prairie",MN,"MinCal Management, Inc.",2020,165703875,3479088,Mezzanine,Yes,"Matthew Grossman",mgrossman@cvcap.com,763-432-4083
"Corbel Capital Partners SBIC II, L.P.","Los Angeles",CA,"Corbel Management LLC",2022,344925642,7132143,Mezzanine,Yes,"Michael Jones",michael@corbelcap.com,310-299-2476
"Corbel Capital Partners SBIC, L.P.","Los Angeles",CA,"Corbel Capital",2017,298208903,3668577,Mezzanine,No,"Jeffrey Schwartz",jeff@corbelcap.com,310-442-7011
"Crescent Direct Lending SBIC Fund, L.P.",Boston,MA,"Crescent SBIC Management, LLC",2014,73562739,1325639,"Direct Lending",No,"Michael Rogers",michael.rogers@crescentcap.com,617-854-1501
"Crystal Financial SBIC LP",Boston,MA,"Crystal SBIC GP LLC",2013,46396366,8049420,"Direct Lending",No,"Josh Franklin, CFA, CPA",jfranklin@slrcreditsolutions.com,617-428-8708
"Cultivation Twain Seed Fund I, L.P.","St. Louis",MO,"Cultivation Twain Seed Fund I Manager, LLC",2018,10915584,217910,"Early Venture",No,"Ricky Vigil",bmatthews@cultivationcapital.com,314-565-8062
"DCA Capital Partners II, L.P.",Roseville,CA,"DCA Partners",2016,20452431,1660000,"Growth Equity",No,"Steven Mills",smills@dcacapital.com,916-650-5352
"DCA Capital Partners III SBIC, L.P.",Roseville,CA,"DCA Partners",2021,14646464,986231,Buyout,Yes,"Steven Mills",smills@dcacapital.com,916-650-5352
"Deerpath Funding Advantage IV, L.P.","New York",NY,"Deerpath Capital Management, LP",2016,218575000,810395,"Direct Lending",No,"James H. Kirby",jkirby@deerpathcapital.com,646-786-1022
"Deerpath Funding V, L.P.","New York",NY,"Deerpath Capital",2021,259958487,1393752,"Hybrid Debt/Equity",Yes,"James H. Kirby",jkirby@deerpathcapital.com,646-786-1022
"Diamond State Ventures III, L.P.","Little Rock",AR,"Diamond State Ventures",2014,31961720,457908,Mezzanine,No,"Joe T. Hays, Managing Director",jhays@dsvlp.com,501-374-9247
"Dos Rios Partners - A, L.P.",Austin,TX,"Dos Rios Partners",2013,62518976,931866,"Hybrid Debt/Equity",No,"Kevin Benoit",kevin@dosriospartners.com,512-298-1280
"Dos Rios Partners, L.P.",Austin,TX,"Dos Rios Partners",2013,62679026,931866,"Hybrid Debt/Equity",No,"Kevin Benoit",kevin@dosriospartners.com,512-298-1280
"Eagle Fund III, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2012,43699852,1327432,Mezzanine,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund III-A, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2012,25154548,387597,Mezzanine,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund IV, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2018,207042092,1853026,Mezzanine,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund IV-A, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2018,56906061,534266,Mezzanine,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund V, L.P.","St. Louis",MO,"Eagle Private Capital, LLC",2022,254459818,2631877,Mezzanine,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund V-A, L.P.","St. Louis",MO,"Eagle Private Capital, LLC",2022,60606061,593675,Mezzanine,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"East Coast Capital Holdings Ltd.","New York",NY,"Veritas Capital Service, LLC",1986,8715545,200562,Multiple,No,"Yitzhak Zelmanovitch, CFO",yz@eastcoastcapitalholdings.com,212-686-1515
"Emigrant Capital Corporation","New York",NY,"Emigrant Capital",1999,51330537,811773,Multiple,No,"Christopher Hammond",hammondc@emigrant.com,212-850-4470
"Energy Impact Credit Fund I LP","New York",NY,"Energy Impact Partners",2018,165109841,6084087,Mezzanine,No,"Hans Kobler",sbic@energyimpactpartners.com,212-899-9700
"Energy Impact Credit Fund II LP","New York",NY,"Energy Impact Partners",2022,140807828,13666667,Mezzanine,Yes,"Harry Giovani",giovani@energyimpactpartners.com,212-899-9714
"Enhanced SBIC II, L.P.","San Francisco",CA,"Tree Line Capital Partners, LLC",2020,239951862,1894525,Mezzanine,Yes,"Michael Korengold",mkorengold@enhancedcap.com,415-795-7580
"Enhanced Small Business Investment Company, L.P.","New York",NY,"Enhanced Capital",2012,60853834,1894303,Mezzanine,No,"Michael Korengold",mkorengold@enhancedcap.com,212-207-3385
"Enlightenment Capital Solutions SBIC Fund, L.P.","Chevy Chase",MD,"Enlightenment Capital SBIC, LLC",2019,187280760,5115129,Mezzanine,Yes,"Jason Rigoli",jfrigoli@enlightenment-cap.com,240-752-9618
"Enterprise Ohio Investment Company",Dayton,OH,"CityWide Development Corporation",1981,2189500,40080,Multiple,No,"Janet White",jwhite@citywidedev.com,937-853-2541
"EPIC Venture Fund IV, LLC","Salt Lake City",UT,"Wasatch Management Partners, LLC",2009,17730906,297405,Venture,No,"Nick Efstratis",epic@cornerstone.vc,801-524-8939
"Escalate Capital IV, LP",Austin,TX,"EC Management Services, Inc.",2019,287936685,4913559,"Direct Lending",Yes,"Simon James CFO",simon@escalatecapital.com,650-269-0546
"Farragut Mezzanine Partners III, L.P.","Chevy Chase",MD,"Farragut Capital Partners",2012,5977948,1537659,Mezzanine,No,"Philip McNeill",pmcneill@farragutcapitalpartners.com,301-913-5293
"Farragut SBIC Fund II, L.P.","Chevy Chase",MD,"Farragut Capital Partners",2018,180812500,2631088,Mezzanine,No,"Philip McNeill",pmcneill@farragutcapitalpartners.com,301-913-5293
"FCP Fund II, L.P.",Omaha,NE,"First Capital Partners",2011,18783520,561852,Mezzanine,No,"Andrew B. Kemp",akemp@fcpcapital.com,402-718-8868
"FCP Fund III, L.P.",Omaha,NE,"First Capital Partners",2018,149435315,2580561,Mezzanine,No,"Andrew B. Kemp",akemp@fcpcapital.com,402-718-8868
"Fidus Mezzanine Capital II, L.P.",Evanston,IL,"Fidus Investment Advisors, LLC",2013,75750000,3781552,Mezzanine,No,"Shelby E. Sherard",ssherard@fidusinv.com,847-859-3938
"Fidus Mezzanine Capital III, L.P.",Evanston,IL,"Fidus Investment Advisors, LLC",2019,262500000,7058304,Mezzanine,Yes,"Shelby E. Sherard",ssherard@fidusinv.com,847-859-3938
"Firmament Capital Partners SBIC III, L.P.","New York",NY,Firmament,2020,329661474,6019598,Mezzanine,Yes,"Christopher D. Smith",csmith@thefirmamentgroup.com,212-956-1061
"Five Points Capital Partners IV, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2019,227635656,11255063,Mezzanine,Yes,"Brad Clark",jhanson@fivepointscapital.com,336-733-0355
"Five Points Credit SBIC IV, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2021,352797529,2544699,Mezzanine,Yes,"Stewart Edwards",wedwards@fivepointscapital.com,336-733-2676
"Five Points Mezzanine Fund III, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2016,232965811,3750653,Mezzanine,No,"Brad Clark",jhanson@fivepointscapital.com,336-733-0355
"GarMark SBIC Fund II, L.P.",Stamford,CT,"GarMark Partners",2018,273450000,4242677,Mezzanine,No,"Steven C. Pickhardt",mrich@garmark.com,203-325-8500
"GarMark SBIC Fund, L.P.",Stamford,CT,"GarMark Partners",2014,50207502,3423680,Mezzanine,No,"Steven C. Pickhardt",mrich@garmark.com,203-325-8500
"Gemini Investors VI, L.P.",Wellesley,MA,"Gemini Managers, Inc.",2015,88424675,1980537,"Hybrid Debt/Equity",No,"Matthew Keis",mkeis@gemini-investors.com,781-237-7001
"Gemini Investors VII, L.P.",Wellesley,MA,"Gemini Managers, Inc.",2021,185744100,2867015,Venture,Yes,"Matthew Keis",mkeis@gemini-investors.com,781-237-7001
"GMB Mezzanine Capital II, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2010,17669641,1062902,Mezzanine,No,"Tom Kreimer, CFO",tkreimer@gmbmezz.com,612-243-4415
"GMB Mezzanine Capital III, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2015,171831865,3474842,Mezzanine,No,"Tom Kreimer, CFO",tkreimer@gmbmezz.com,612-243-4415
"GMB Mezzanine Capital IV, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2019,344600272,4003170,Mezzanine,Yes,"Tom Kreimer, CFO",tkreimer@gmbmezz.com,612-243-4415
"GMB Mezzanine Capital V, L.P.",Minneapolis,MN,"GMB Capital Partners",2023,333661375,7003250,Mezzanine,Yes,"Tom Kreimer",tkreimer@gmbcapitalpartners.com,612-243-4405
"GP Capital Partners, LP",Houston,TX,"GPCP MGMT, LLC",2021,240642780,5995972,"Direct Lending",Yes,"Curtis Hartman",curtis.hartman@gpcapitalpartners.com,713-489-4650
"Granite Creek FlexCap II, L.P.",Chicago,IL,"Granite Creek Capital Partners, LLC",2018,198014167,4502441,Mezzanine,No,"Mark A. Radzik",Mark@GraniteCreek.com,312-895-4503
"Granite Creek FlexCap III, L.P.",Chicago,IL,"Granite Creek Capital Partners",2023,214550000,11500000,Mezzanine,Yes,"Mark A. Radzik",Mark@GraniteCreek.com,312-895-4503
"Graycliff Mezzanine II LP","New York",NY,"Graycliff Partners",2012,38908334,2836622,Mezzanine,No,"Andrew P. Trigg",atrigg@graycliffpartners.com,212-300-2903
"Graycliff Mezzanine III (SBIC) LP","New York",NY,"Graycliff Partners",2018,285690011,3040981,Mezzanine,No,"Andrew P. Trigg",atrigg@graycliffpartners.com,212-300-2903
"Graycliff Mezzanine IV (SBIC) LP","New York",NY,"Graycliff Partners",2022,154862743,4637844,Mezzanine,Yes,"Andrew P. Trigg",atrigg@graycliffpartners.com,212-300-2903
"Grayhawk Ventures Fund III, L.P.",Scottsdale,AZ,"Grayhawk Capital, LLC",2021,54787470,2799998,Venture,Yes,"Sherman I. Chu",schu@grayhawkcapital.us,602-615-2489
"Hamilton Lane National Small Business Credit Fund, L.P.",Conshohocken,PA,"Hamilton Lane Advisors, LLC",2022,64132010,,Mezzanine,Yes,"Trevor Messerly",tmesserly@hamiltonlane.com,610-617-5338
"Harbert Mezzanine Partners II SBIC, L.P.",Birmingham,AL,"Harbert Credit Solutions Funds",2006,59471219,759147,Mezzanine,No,"Amanda Brown",abrown@harbert.net,205-987-5535
"Hatteras Venture Partners IV SBIC, LP",Durham,NC,"Hatteras Venture Management, LLC",2012,12975446,752293,Venture,No,"Douglas Reed, M.D.",doug@hatterasvp.com,919-484-0730
"HCAP Partners IV, L.P.","La Jolla",CA,"HCAP Partners, LLC",2018,126944957,2958756,Mezzanine,No,"Frank N. Mora Crespo",frank@hcapllc.com,858-259-7654
"HCAP Partners V, L.P.","La Jolla",CA,"HCAP Partners, LLC",2021,257821993,7333333,Mezzanine,Yes,"Frank N. Mora Crespo",frank@hcapllc.com,858-529-7654
"Hercules Capital IV, L.P.","Palo Alto",CA,"Hercules Capital, Inc.",2020,262500000,10208333,"Balanced Venture",Yes,"Seth H. Meyer",smeyer@htgc.com,857-206-8966
"Hidden River Strategic Capital I, LP",Chesterbrook,PA,"Hidden River Strategic Capital",2022,133972000,,Mezzanine,Yes,"Steven Gord",sgord@hiddenrivercap.com,267-303-2964
"High Peaks Seed Ventures, L.P.",Williamstown,MA,"High Peaks Management Company, LLC",2011,2729942,98890,"Early Stage",No,"Anne Davey",anne@primary.vc,917-873-8147
"High Street Capital IV SBIC, L.P.",Chicago,IL,"High Street Capital",2011,12318107,2096638,"Hybrid Debt/Equity",No,"Joseph R. Katcha",chris@highstreetcapital.com,312-423-2650
"High Street Capital V SBIC, L.P.",Chicago,IL,"High Peaks Management Company, LLC",2018,147836472,7089742,"Hybrid Debt/Equity",No,"Joseph R. Katcha",chris@highstreetcapital.com,312-267-2861
"Holleway IPA Fund, L.P.","St. Louis",MO,"Holleway Capital Partners, LLC",2018,58379445,1561448,"Hybrid Debt/Equity",No,"Holly Huels",hhuels@holleway.com,314-764-4876
"Hudson Ferry Capital II, L.P.","Rye Brook",NY,"Hudson Ferry Capital Management, LLC",2010,60331805,3090000,"Hybrid Debt/Equity",No,"Timothy Ross",tross@hudsonferry.com,212-682-5205
"Hudson Venture Partners II, L.P.","New York",NY,"Hudson Management Associates, LLC",2000,10855806,500000,Venture,No,"John P. Truehart, Jr.",jtruehart@hudsonptr.com,212-644-9797
"Independent Bankers Capital Fund III, L.P.",Dallas,TX,"IBC Funds",2015,52123180,1236164,Mezzanine,No,"Barry Conrad",Bconrad@ibcfund.com,214-722-6200
"Independent Bankers Capital Fund IV, L.P.",Dallas,TX,"IBC Funds",2021,109079153,2679171,Mezzanine,Yes,"Barry Conrad",Bconrad@ibcfund.com,214-722-6203
"Innovate Capital Growth Fund, L.P.",Philadelphia,PA,"Innovate Capital Partners LLC",2022,16437375,40083,"Growth Equity",Yes,"Della Clark",dclark@theenterprisecenter.com,215-895-4005
"Invision Capital I, L.P.",Chicago,IL,"Invision Management, Inc.",2009,14680591,148522,Mezzanine,No,"Robert J. Castillo",rcastillo@invcg.com,312-236-3363
"Invision Capital II, L.P.",Chicago,IL,"Invision Management , Inc.",2016,240536619,4876585,Mezzanine,No,"Robert J. Castillo",rcastillo@invcg.com,312-543-3363
"Invision Capital III-A, L.P.",Chicago,IL,"Invision Management, Inc.",2022,242225000,16087668,Mezzanine,Yes,"Robert J. Castillo",rcastillo@invcg.com,312-543-2430
"Ironwood Capital Partners V SBIC, L.P.",Avon,CT,"Ironwood Capital",2021,133673035,1833512,Mezzanine,Yes,"Carolyn  Galiette",galiette@ironwoodcap.com,860-409-2105
"Ironwood Mezzanine Fund II LP",Avon,CT,"Ironwood Capital",2007,11789550,159910,Mezzanine,No,"Carolyn  Galiette",galiette@ironwoodcap.com,860-409-2101
"Ironwood Mezzanine Fund III-A LP",Avon,CT,"Ironwood Capital",2012,32860514,982688,Mezzanine,No,"Carolyn  Galiette",galiette@ironwoodcap.com,860-409-2101
"Ironwood Mezzanine Fund IV-A, L.P.",Avon,CT,"Ironwood Capital",2017,78845075,1649987,Mezzanine,No,"Carolyn  Galiette",galiette@ironwoodcap.com,860-409-2105
"Kansas Venture Capital, Inc.","Overland Park",KS,na,1977,23733221,318050,Mezzanine,No,"Marshall D. Parker",mparker@kvci.com,913-262-7117
"Keswick Partners Fund I, L.P.",Tampa,FL,"Keswick Partners",2023,34990000,,Buyout,Yes,"Christopher Hart",chris@keswickpartners.com,614-378-2451
"Kian Growth Partners III, L.P.",Charlotte,NC,"Kian Capital",2023,388454636,15500000,Buyout,Yes,"Kevin McCarthy",kmccarthy@kiancapital.com,704-943-2501
"Kian Mezzanine Partners I, L.P.",Charlotte,NC,"Kian Capital",2013,22756739,2872087,Mezzanine,No,"Charlie Edmondson",cedmondson@kiancapital.com,704-943-2501
"Kian Mezzanine Partners II, L.P.",Charlotte,NC,"Kian Capital Partners, LLC",2018,248235987,4070785,Mezzanine,No,"Charlie Edmondson",cedmondson@kiancapital.com,704-943-2503
"KLH Capital Fund III, L.P.",Tampa,FL,"KLH Capital Partners, L.P.",2016,72776939,2246845,Mezzanine,No,"James B. Darnell",james@klhcapital.com,813-222-0160
"Lafayette Square SBIC, LP",Miami,FL,"Lafayette Square",2023,73922500,2803301,"Direct Lending",Yes,"Damien Dwin",dwin@lafayettesquare.com,786-688-0975
