"Fiscal_Year","Contracting_Agency_ID","ProductOrServiceCode","PlatformPortfolio","ProjectID","majorprogramcode...6","Vehicle","CompetitionClassification","ClassifyNumberOfOffers","informationtechnologycommercialitemcategory","commercialitemacquisitionprocedures","commercialitemtestprogram","PricingUCA","VendorSize","fundedbyforeignentity","PlaceISOalpha3","pop_state_code","placeofperformancezipcode","VendorISOalpha3","VendorStateCode","OriginISOalpha3","PlaceOfManufacture","IsSiliconValley","majorprogramcode...24","IsZipTraditionalSiliconValley","EntityText","EntityID","Action_Obligation_Then_Year","NumberOfActions","ContractingAgencyName","PricingUCA.sum","Action_Obligation_OMB23_GDP21","dFYear","ContractingAgencyName.1","ContractingAgencyName.2","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","Vehicle.sum","Vehicle.sum7","Vehicle.AwardTask","informationtechnologycommercialitemcategoryText","Commercial","ITcategory","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","ProjectName","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","PlaceOfManufactureText","PlaceOfManufacture_Sum","PlaceIsForeign","VendorIsForeign"
2005,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Incentive","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,384118,5,"DEPT OF THE NAVY","Incentive",518348.443602452,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Other CB","Large: Big 6","","USA","CA","","USA","FL",,"",0,"",,"RAYTHEON",668856,12407339,2,"DEPT OF THE NAVY","Other CB",16743096.8085276,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Unlabeled Exception)","No competition","","D","0","UCA","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,6022,1,"DEPT OF THE NAVY","UCA",8126.39430428661,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Unlabeled)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Unlabeled)","No Comp. (Unlabeled)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","AC65","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Other CB","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,45206098,16,"DEPT OF THE NAVY","Other CB",61003417.0219566,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","AC65","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Unlabeled Exception)","No competition","","D","0","UCA","Large: Big 6","","USA","FL","","USA","CA",,"",0,"",,"RAYTHEON",668856,151431,1,"DEPT OF THE NAVY","UCA",204348.723994093,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Unlabeled)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Unlabeled)","No Comp. (Unlabeled)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","R425","Electronics, Comms, & Sensors",1843,"","DCA","Full Competition (Multiple Offers)","Two Offers","","D","0","UCA","Large: Big 6","","USA","VA","","USA","VA",,"",0,"",,"GENERAL DYNAMICS",649342,1343873,3,"DEPT OF THE NAVY","UCA",1813490.8490343,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Big Five",,,0,0
2005,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","","D","0","Other CB","Large","","USA","CA","","USA","VA",,"",,"",,"CACI",684093,3526804,4,"DEPT OF THE NAVY","Other CB",4759249.4084914,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large",,,0,0
2005,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","","D","0","Other CB","Medium <1B","","USA","CA","","USA","VA",,"",,"",,"JJMA HOLDINGS",656853,292185,3,"DEPT OF THE NAVY","Other CB",394289.358983391,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Medium",,,0,0
2005,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","3-4 Offers","Z: NOT IT PRODUCTS OR SERVICES","D","0","Other CB","Large","","USA","CA","930434307","USA","VA","USA","C",,"",,"CACI",684093,0,2,"DEPT OF THE NAVY","Other CB",0,2005-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","Multi-Awd.","Multi-Awd.","Task Order","NOT IT PRODUCTS OR SERVICES","Not IT","Not IT","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large","NOT A MANUFACTURED END PRODUCT","Not Manufactured End Product",0,0
2005,"2100","C111","Electronics, Comms, & Sensors",1843,"","DCA","Full Competition (Multiple Offers)","10-24 Offers","","D","0","FFP","Small","","USA","TN","","USA","TN",,"",,"",,"185991700",406270,-2990,1,"DEPT OF THE ARMY","FFP",-4034.85867981019,2005-01-01,"DEPT OF THE ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","BLDGS & FAC / ADMIN & SVC BLDGS","Services","PAMS","PAMS","PAMS","CEC",0,"Army","Small",,,0,0
2005,"5700","R425","Electronics, Comms, & Sensors",1843,"","PO","No Competition (Unlabeled Exception)","No competition","","A","0","FFP","Medium <1B","","USA","SD","","USA","SD",,"",,"",,"929538999",639934,5000,1,"DEPT OF THE AIR FORCE","FFP",6747.25531740835,2005-01-01,"DEPT OF THE AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","No Comp. (Unlabeled)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Unlabeled)","No Comp. (Unlabeled)","No Comp.","Pur. Order","Pur. Order","Award","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Air Force","Medium",,,0,0
2006,"1700","1230","Electronics, Comms, & Sensors",1843,"","DCA","Full Competition (Multiple Offers)","Two Offers","","D","0","Other CB","Large: Big 6","","USA","VA","","USA","VA",,"",0,"",,"GENERAL DYNAMICS",649342,16463986,3,"DEPT OF THE NAVY","Other CB",21462811.045807,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONTROL SYSTEMS, COMPLETE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2006,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","FFP","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,20849891,8,"DEPT OF THE NAVY","FFP",27180372.4115577,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2006,"1700","1265","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Other CB","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,41684096,9,"DEPT OF THE NAVY","Other CB",54340296.2115785,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Big Five",,,0,0
2006,"1700","1265","Electronics, Comms, & Sensors",1843,"CEC","DCA","Full Competition (Multiple Offers)","3-4 Offers","Z: NOT IT PRODUCTS OR SERVICES","D","0","FFP","Small","","USA","PA","175438902","USA","PA","USA","D",,"CEC",,"121724546",246240,2151039,1,"DEPT OF THE NAVY","FFP",2804141.33060862,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","Definitive","Definitive","Award","NOT IT PRODUCTS OR SERVICES","Not IT","Not IT","FIRE CONT EQ EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Navy","Small","MFG IN U.S.","Manufactured in U.S.",0,0
2006,"1700","AC65","Electronics, Comms, & Sensors",1843,"","DCA","No Competition (Only One Source Exception)","No competition","","D","0","Other CB","Large: Big 6","","USA","FL","","USA","FL",,"",0,"",,"RAYTHEON",668856,3768134,2,"DEPT OF THE NAVY","Other CB",4912221.62344411,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","Definitive","Definitive","Award","Unlabeled","Unlabeled","Unlabeled","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D","CEC",0,"Navy","Big Five",,,0,0
2006,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","","D","0","Other CB","Large","","USA","CA","","USA","VA",,"",,"",,"CACI",684093,339304,1,"DEPT OF THE NAVY","Other CB",442324.090842066,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large",,,0,0
2006,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","","D","0","Other CB","Medium <1B","","USA","CA","","USA","VA",,"",,"",,"JJMA HOLDINGS",656853,-132,1,"DEPT OF THE NAVY","Other CB",-172.078077450171,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Medium",,,0,0
2006,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","Z: NOT IT PRODUCTS OR SERVICES","D","0","Other CB","Large","","USA","CA","930434307","USA","VA","USA","A",,"",,"CACI",684093,1733289,2,"DEPT OF THE NAVY","Other CB",2259553.3241328,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","NOT IT PRODUCTS OR SERVICES","Not IT","Not IT","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large","PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT","In U.S. but Foreign Services or Content",0,0
2006,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","Z: NOT IT PRODUCTS OR SERVICES","D","0","Other CB","Large","","USA","CA","930434307","USA","VA","USA","C",,"",,"CACI",684093,0,1,"DEPT OF THE NAVY","Other CB",0,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","NOT IT PRODUCTS OR SERVICES","Not IT","Not IT","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Large","NOT A MANUFACTURED END PRODUCT","Not Manufactured End Product",0,0
2006,"1700","R425","Electronics, Comms, & Sensors",1843,"","MULTIPLE AWARD IDC","Limited Competition with multiple offers","10-24 Offers","Z: NOT IT PRODUCTS OR SERVICES","D","0","Other CB","Medium <1B","","USA","CA","930434307","USA","VA","USA","A",,"",,"JJMA HOLDINGS",656853,154399,1,"DEPT OF THE NAVY","Other CB",201277.902122946,2006-01-01,"DEPT OF THE NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Multi-Awd.","Multi-Awd.","Task Order","NOT IT PRODUCTS OR SERVICES","Not IT","Not IT","ENGINEERING AND TECHNICAL SERVICES","Services","PAMS","PAMS","PAMS","CEC",0,"Navy","Medium","PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT","In U.S. but Foreign Services or Content",0,0
2006,"2100","5820","Electronics, Comms, & Sensors",1843,"","SINGLE AWARD IDC","Full Competition (Multiple Offers)","25-99 Offers","","D","1","FFP","Large (Small Subsidiary)","","USA","GA","","USA","GA",,"",,"",,"ROCKWELL COLLINS",669508,1013318,1,"DEPT OF THE ARMY","FFP",1320983.43398221,2006-01-01,"DEPT OF THE ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","Single-Awd.","Single-Awd.","Task Order","Unlabeled","Unlabeled","Unlabeled","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Products","Electronics & Communications","Electronics & Communications","Electronics & Communications","CEC",0,"Army","Large",,,0,0
