"","Primary.Export.Product.NAICS","Product.Description"
"189","311320","Chocolate And Confectionery Manufacturing From Ca"
"190","311330","Confectionery Manufacturing From Purchased Chocol"
"191","311340","Nonchocolate Confectionery Manufacturing"
"192","311351","Chocolate and Confectionery Manufacturing from Cacao Beans"
"193","311352","Confectionery Manufacturing from Purchased Chocolate"
"194","311411","Frozen Fruit, Juice, and Vegetable Manufacturing"
"195","311412","Frozen Specialty Food Manufacturing"
"196","311421","Fruit and Vegetable Canning"
"197","311422","Specialty Canning"
"198","311423","Dried and Dehydrated Food Manufacturing"
"199","311511","Fluid Milk Manufacturing"
"200","311512","Creamery Butter Manufacturing"
"201","311513","Cheese Manufacturing"
"202","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing"
"203","311520","Ice Cream and Frozen Dessert Manufacturing"
"204","311611","Animal (except Poultry) Slaughtering"
"205","311612","Meat Processed from Carcasses"
"206","311613","Rendering and Meat Byproduct Processing"
"207","311615","Poultry Processing"
"208","311710","Seafood Product Preparation and Packaging"
"209","311711","Seafood Canning"
"210","311712","Fresh And Frozen Seafood Processing"
"211","311811","Retail Bakeries"
"212","311812","Commercial Bakeries"
"213","311813","Frozen Cakes, Pies, and Other Pastries Manufacturing"
"214","311821","Cookie and Cracker Manufacturing"
"215","311823","Dry Pasta Manufacturing"
"216","311830","Tortilla Manufacturing"
"217","311911","Roasted Nuts and Peanut Butter Manufacturing"
"218","311919","Other Snack Food Manufacturing"
"219","311920","Coffee and Tea Manufacturing"
"220","311930","Flavoring Syrup and Concentrate Manufacturing"
"221","311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
"222","311942","Spice and Extract Manufacturing"
"223","311991","Perishable Prepared Food Manufacturing"
"224","311999","All Other Miscellaneous Food Manufacturing"
"225","312111","Soft Drink Manufacturing"
"226","312112","Bottled Water Manufacturing"
"227","312113","Ice Manufacturing"
"228","312120","Breweries"
"229","312130","Wineries"
"230","312140","Distilleries"
"231","312230","Tobacco Manufacturing"
"232","313110","Fiber, Yarn, and Thread Mills"
"233","313111","Yarn Spinning Mills"
"234","313112","Yarn Texturizing, Throwing, And Twisting Mills"
"235","313113","Thread Mills"
"236","313210","Broadwoven Fabric Mills"
"237","313221","Narrow Fabric Mills"
"238","313230","Nonwoven Fabric Mills"
"239","313240","Knit Fabric Mills"
"240","313241","Weft Knit Fabric Mills"
"241","313249","Other Knit Fabric And Lace Mills"
"242","313310","Textile and Fabric Finishing Mills"
"243","313311","Broadwoven Fabric Finishing Mills"
"244","313312","Textile And Fabric Finishing (Except Broadwoven F"
"245","313320","Fabric Coating Mills"
"246","314110","Carpet and Rug Mills"
"247","314121","Curtain And Drapery Mills"
"248","314129","Other Household Textile Product Mills"
"249","314910","Textile Bag and Canvas Mills"
"250","314912","Canvas And Related Product Mills"
"251","314991","Rope, Cordage, And Twine Mills"
"252","314994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
"253","314999","All Other Miscellaneous Textile Product Mills"
"254","315110","Hosiery and Sock Mills"
"255","315119","Other Hosiery And Sock Mills"
"256","315190","Other Apparel Knitting Mills"
"257","315191","Outerwear Knitting Mills"
"258","315220","Men’s and Boys’ Cut and Sew Apparel Manufacturing"
"259","315223","Men's And Boys' Cut And Sew Shirt (Except Work Sh"
"260","315224","Men's And Boys' Cut And Sew Trouser, Slack, And J"
"261","315228","Men's And Boys' Cut And Sew Other Outerwear Manuf"
"262","315231","Women's And Girls' Cut And Sew Lingerie, Loungewe"
"263","315232","Women's And Girls' Cut And Sew Blouse And Shirt M"
"264","315233","Women's And Girls' Cut And Sew Dress Manufacturin"
"265","315239","Women's And Girls' Cut And Sew Other Outerwear Ma"
"266","315240","Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
"267","315280","Other Cut and Sew Apparel Manufacturing"
"268","315291","Infants' Cut And Sew Apparel Manufacturing"
"269","315299","All Other Cut And Sew Apparel Manufacturing"
"270","315990","Apparel Accessories and Other Apparel Manufacturing"
"271","315999","Other Apparel Accessories And Other Apparel Manuf"
"272","316110","Leather and Hide Tanning and Finishing"
"273","316210","Footwear Manufacturing"
"274","316211","Rubber And Plastics Footwear Manufacturing"
"275","316213","Men's Footwear (Except Athletic) Manufacturing"
"276","316219","Other Footwear Manufacturing"
"277","316991","Luggage Manufacturing"
"278","316992","Women's Handbag and Purse Manufacturing"
"279","316998","All Other Leather Good and Allied Product Manufacturing"
"280","321113","Sawmills"
"281","321114","Wood Preservation"
"282","321211","Hardwood Veneer and Plywood Manufacturing"
"283","321212","Softwood Veneer and Plywood Manufacturing"
"284","321213","Engineered Wood Member (except Truss) Manufacturing"
"285","321219","Reconstituted Wood Product Manufacturing"
"286","321911","Wood Window and Door Manufacturing"
"287","321912","Cut Stock, Resawing Lumber, and Planing"
"288","321918","Other Millwork (including Flooring)"
"289","321920","Wood Container and Pallet Manufacturing"
"290","321991","Manufactured Home (Mobile Home) Manufacturing"
"291","321992","Prefabricated Wood Building Manufacturing"
"292","321999","All Other Miscellaneous Wood Product Manufacturing"
"293","322110","Pulp Mills"
"294","322121","Paper (except Newsprint) Mills"
"295","322122","Newsprint Mills"
"296","322130","Paperboard Mills"
"297","322211","Corrugated and Solid Fiber Box Manufacturing"
"298","322212","Folding Paperboard Box Manufacturing"
"299","322214","Fiber Can, Tube, Drum, And Similar Products Manuf"
"300","322215","Nonfolding Sanitary Food Container Manufacturing"
"301","322219","Other Paperboard Container Manufacturing"
"302","322220","Paper Bag and Coated and Treated Paper Manufacturing"
"303","322221","Coated And Laminated Packaging Paper And Plastics"
"304","322222","Coated And Laminated Paper Manufacturing"
"305","322223","Plastics, Foil, And Coated Paper Bag Manufacturin"
"306","322226","Surface-Coated Paperboard Manufacturing"
"307","322230","Stationery Product Manufacturing"
"308","322233","Stationery, Tablet, And Related Product Manufactu"
"309","322291","Sanitary Paper Product Manufacturing"
"310","322299","All Other Converted Paper Product Manufacturing"
"311","323110","Commercial Lithographic Printing"
"312","323111","Commercial Printing (except Screen and Books)"
"313","323112","Commercial Flexographic Printing"
"314","323113","Commercial Screen Printing"
"315","323114","Quick Printing"
"316","323115","Digital Printing"
"317","323118","Blankbook, Looseleaf Binders, And Devices Manufac"
"318","323119","Other Commercial Printing"
"319","323120","Support Activities for Printing"
"320","323122","Prepress Services"
"321","324110","Petroleum Refineries"
"322","324121","Asphalt Paving Mixture and Block Manufacturing"
"323","324122","Asphalt Shingle and Coating Materials Manufacturing"
"324","324191","Petroleum Lubricating Oil and Grease Manufacturing"
"325","324199","All Other Petroleum and Coal Products Manufacturing"
"326","325110","Petrochemical Manufacturing"
"327","325120","Industrial Gas Manufacturing"
"328","325130","Synthetic Dye and Pigment Manufacturing"
"329","325131","Inorganic Dye And Pigment Manufacturing"
"330","325132","Synthetic Organic Dye And Pigment Manufacturing"
"331","325180","Other Basic Inorganic Chemical Manufacturing"
"332","325188","All Other Basic Inorganic Chemical Manufacturing"
"333","325191","Gum And Wood Chemical Manufacturing"
"334","325194","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
"335","325199","All Other Basic Organic Chemical Manufacturing"
"336","325211","Plastics Material and Resin Manufacturing"
"337","325212","Synthetic Rubber Manufacturing"
"338","325222","Noncellulosic Organic Fiber Manufacturing"
"339","325311","Nitrogenous Fertilizer Manufacturing"
"340","325312","Phosphatic Fertilizer Manufacturing"
"341","325314","Fertilizer (Mixing Only) Manufacturing"
"342","325320","Pesticide and Other Agricultural Chemical Manufacturing"
"343","325411","Medicinal and Botanical Manufacturing"
"344","325412","Pharmaceutical Preparation Manufacturing"
"345","325413","In-Vitro Diagnostic Substance Manufacturing"
"346","325414","Biological Product (except Diagnostic) Manufacturing"
"347","325510","Paint and Coating Manufacturing"
"348","325520","Adhesive Manufacturing"
"349","325611","Soap and Other Detergent Manufacturing"
"350","325612","Polish and Other Sanitation Good Manufacturing"
"351","325613","Surface Active Agent Manufacturing"
"352","325620","Toilet Preparation Manufacturing"
"353","325910","Printing Ink Manufacturing"
"354","325920","Explosives Manufacturing"
"355","325991","Custom Compounding of Purchased Resins"
"356","325992","Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing"
"357","325992","Photographic Film, Paper, Plate, and Chemical Manufacturing"
"358","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing"
"359","326111","Plastics Bag and Pouch Manufacturing"
"360","326112","Plastics Packaging Film and Sheet (including Laminated) Manufacturing"
"361","326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing"
"362","326121","Unlaminated Plastics Profile Shape Manufacturing"
"363","326122","Plastics Pipe and Pipe Fitting Manufacturing"
"364","326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
"365","326140","Polystyrene Foam Product Manufacturing"
"366","326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing"
"367","326160","Plastics Bottle Manufacturing"
"368","326191","Plastics Plumbing Fixture Manufacturing"
"369","326192","Resilient Floor Covering Manufacturing"
"370","326199","All Other Plastics Product Manufacturing"
"371","326211","Tire Manufacturing (except Retreading)"
"372","326212","Tire Retreading"
"373","326220","Rubber and Plastics Hoses and Belting Manufacturing"
"374","326291","Rubber Product Manufacturing for Mechanical Use"
"375","326299","All Other Rubber Product Manufacturing"
"376","3271","Concrete Block and Brick"
"377","327120","Clay Building Material and Refractories Manufacturing"
"378","327122","Ceramic Wall And Floor Tile Manufacturing"
"379","327124","Clay Refractory Manufacturing"
"380","327125","Nonclay Refractory Manufacturing"
"381","3272","Concrete Products - Except Block and Brick"
"382","327210","Glass And Glass Product Manufacturing"
"383","327211","Flat Glass Manufacturing"
"384","327215","Glass Product Manufacturing Made of Purchased Glass"
"385","327310","Cement Manufacturing"
"386","327320","Ready-Mix Concrete Manufacturing"
"387","327331","Concrete Block and Brick Manufacturing"
"388","327390","Other Concrete Product Manufacturing"
"389","327410","Lime Manufacturing"
"390","327910","Abrasive Product Manufacturing"
"391","327991","Cut Stone and Stone Product Manufacturing"
"392","327992","Ground or Treated Mineral and Earth Manufacturing"
"393","327993","Mineral Wool Manufacturing"
"394","327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing"
"395","3291","Abrasive Products"
"396","331110","Iron and Steel Mills and Ferroalloy Manufacturing"
"397","331111","Iron And Steel Mills"
"398","3312","Steel Works - Blast Furnaces - and Rolling Mills"
"399","331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel"
"400","331221","Rolled Steel Shape Manufacturing"
"401","331222","Steel Wire Drawing"
"402","331312","Primary Aluminum Production"
"403","331313","Alumina Refining and Primary Aluminum Production"
"404","331314","Secondary Smelting and Alloying of Aluminum"
"405","331315","Aluminum Sheet, Plate, and Foil Manufacturing"
"406","331316","Aluminum Extruded Product Manufacturing"
"407","331318","Other Aluminum Rolling, Drawing, and Extruding"
"408","331319","Other Aluminum Rolling And Drawing"
"409","331410","Nonferrous Metal (except Aluminum) Smelting and Refining"
"410","331411","Primary Smelting And Refining Of Copper"
"411","331419","Primary Smelting And Refining Of Nonferrous Metal"
"412","331420","Copper Rolling, Drawing, Extruding, and Alloying"
"413","331421","Copper Rolling, Drawing, And Extruding"
"414","331422","Copper Wire (Except Mechanical) Drawing"
"415","331423","Secondary Smelting, Refining, And Alloying Of Cop"
"416","331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extrudi"
"417","331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copp"
"418","331511","Iron Foundries"
"419","331513","Steel Foundries (except Investment)"
"420","331521","Aluminum Die-Casting Foundries"
"421","331522","Nonferrous (Except Aluminum) Die-Casting Foundrie"
"422","331523","Nonferrous Metal Die-Casting Foundries"
"423","331524","Aluminum Foundries (except Die-Casting)"
"424","331525","Copper Foundries (Except Die-Casting)"
"425","331529","Other Nonferrous Metal Foundries (except Die-Casting)"
"426","332111","Iron and Steel Forging"
"427","332112","Nonferrous Forging"
"428","332114","Custom Roll Forming"
"429","332116","Metal Stamping"
"430","332117","Powder Metallurgy Part Manufacturing"
"431","332119","Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
"432","332211","Cutlery And Flatware (Except Precious) Manufactur"
"433","332212","Hand And Edge Tool Manufacturing"
"434","332213","Saw Blade And Handsaw Manufacturing"
"435","332214","Kitchen Utensil, Pot, And Pan Manufacturing"
"436","332215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Ma"
"437","332216","Saw Blade and Handtool Manufacturing"
"438","332311","Prefabricated Metal Building and Component Manufacturing"
"439","332312","Fabricated Structural Metal Manufacturing"
"440","332313","Plate Work Manufacturing"
"441","332321","Metal Window and Door Manufacturing"
"442","332322","Sheet Metal Work Manufacturing"
"443","332323","Ornamental and Architectural Metal Work Manufacturing"
"444","332410","Power Boiler and Heat Exchanger Manufacturing"
"445","332420","Metal Tank (Heavy Gauge) Manufacturing"
"446","332431","Metal Can Manufacturing"
"447","332439","Other Metal Container Manufacturing"
"448","332510","Hardware Manufacturing"
"449","332610","Spring And Wire Product Manufacturing"
"450","332611","Spring (Heavy Gauge) Manufacturing"
"451","332612","Spring (Light Gauge) Manufacturing"
"452","332613","Spring Manufacturing"
"453","332618","Other Fabricated Wire Product Manufacturing"
"454","332710","Machine Shops"
"455","332721","Precision Turned Product Manufacturing"
"456","332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
"457","332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Servic"
"458","332813","Electroplating, Plating, Polishing, Anodizing, and Coloring"
"459","332911","Industrial Valve Manufacturing"
"460","332912","Fluid Power Valve and Hose Fitting Manufacturing"
"461","332913","Plumbing Fixture Fitting and Trim Manufacturing"
"462","332919","Other Metal Valve and Pipe Fitting Manufacturing"
"463","332990","All Other Fabricated Metal Product Manufacturing"
"464","332991","Ball and Roller Bearing Manufacturing"
"465","332992","Small Arms Ammunition Manufacturing"
"466","332993","Ammunition (except Small Arms) Manufacturing"
"467","332994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
"468","332996","Fabricated Pipe and Pipe Fitting Manufacturing"
"469","332997","Industrial Pattern Manufacturing"
"470","332999","All Other Miscellaneous Fabricated Metal Product Manufacturing"
"471","333111","Farm Machinery and Equipment Manufacturing"
"472","333112","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing"
"473","333120","Construction Machinery Manufacturing"
"474","333131","Mining Machinery and Equipment Manufacturing"
"475","333132","Oil and Gas Field Machinery and Equipment Manufacturing"
"476","333210","Sawmill And Woodworking Machinery Manufacturing"
"477","333220","Plastics And Rubber Industry Machinery Manufactur"
"478","333241","Food Product Machinery Manufacturing"
"479","333242","Semiconductor Machinery Manufacturing"
"480","333243","Sawmill, Woodworking, and Paper Machinery Manufacturing"
"481","333244","Printing Machinery and Equipment Manufacturing"
"482","333248","All Other Industrial Machinery Manufacturing"
"483","333249","Other Industrial Machinery Manufacturing"
"484","333290","Other Industrial Machinery Manufacturing"
"485","333291","Paper Industry Machinery Manufacturing"
"486","333292","Textile Machinery Manufacturing"
"487","333293","Printing Machinery And Equipment Manufacturing"
"488","333294","Food Product Machinery Manufacturing"
"489","333295","Semiconductor Machinery Manufacturing"
"490","333298","All Other Industrial Machinery Manufacturing"
"491","333311","Automatic Vending Machine Manufacturing"
"492","333312","Commercial Laundry, Drycleaning, And Pressing Mac"
"493","333313","Office Machinery Manufacturing"
"494","333314","Optical Instrument and Lens Manufacturing"
"495","333315","Photographic And Photocopying Equipment Manufactu"
"496","333316","Photographic and Photocopying Equipment Manufacturing"
"497","333318","Other Commercial and Service Industry Machinery Manufacturing"
"498","333319","Other Commercial And Service Industry Machinery M"
"499","333411","Air Purification Equipment Manufacturing"
"500","333412","Industrial And Commercial Fan And Blower Manufact"
"501","333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Man"
"502","333414","Heating Equipment (except Warm Air Furnaces) Manufacturing"
"503","333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industri"
"504","333510","Metalworking Machinery Manufacturing"
"505","333511","Industrial Mold Manufacturing"
"506","333512","Machine Tool (Metal Cutting Types) Manufacturing"
"507","333513","Machine Tool (Metal Forming Types) Manufacturing"
"508","333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
"509","333515","Cutting Tool and Machine Tool Accessory Manufacturing"
"510","333516","Rolling Mill Machinery And Equipment Manufacturin"
"511","333517","Machine Tool Manufacturing"
"512","333518","Other Metalworking Machinery Manufacturing"
"513","333519","Rolling Mill and Other Metalworking Machinery Manufacturing"
"514","333611","Turbine and Turbine Generator Set Units Manufacturing"
"515","333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
"516","333613","Mechanical Power Transmission Equipment Manufacturing"
"517","333618","Other Engine Equipment Manufacturing"
"518","333911","Pump And Pumping Equipment Manufacturing"
"519","333912","Air and Gas Compressor Manufacturing"
"520","333913","Measuring And Dispensing Pump Manufacturing"
"521","333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
"522","333921","Elevator and Moving Stairway Manufacturing"
"523","333922","Conveyor and Conveying Equipment Manufacturing"
"524","333923","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
"525","333924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
"526","333991","Power-Driven Handtool Manufacturing"
"527","333992","Welding and Soldering Equipment Manufacturing"
"528","333993","Packaging Machinery Manufacturing"
"529","333994","Industrial Process Furnace and Oven Manufacturing"
"530","333995","Fluid Power Cylinder and Actuator Manufacturing"
"531","333996","Fluid Power Pump and Motor Manufacturing"
"532","333997","Scale and Balance Manufacturing"
"533","333999","All Other Miscellaneous General Purpose Machinery Manufacturing"
"534","3341","Secondary Smelting and Refining of Nonferrous Meta"
"535","334111","Electronic Computer Manufacturing"
"536","334112","Computer Storage Device Manufacturing"
"537","334113","Computer Terminal Manufacturing"
"538","334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing"
"539","334119","Other Computer Peripheral Equipment Manufacturing"
"540","334210","Telephone Apparatus Manufacturing"
"541","334220","Radio and Television Broadcasting and Wireless Communications Equipment Man"
"542","334290","Other Communications Equipment Manufacturing"
"543","334310","Audio and Video Equipment Manufacturing"
"544","334410","Semiconductor And Other Electronic Component Manu"
"545","334412","Bare Printed Circuit Board Manufacturing"
"546","334413","Semiconductor and Related Device Manufacturing"
"547","334415","Electronic Resistor Manufacturing"
"548","334416","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
"549","334417","Electronic Connector Manufacturing"
"550","334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing"
"551","334419","Other Electronic Component Manufacturing"
"552","334510","Electromedical and Electrotherapeutic Apparatus Manufacturing"
"553","334511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System"
"554","334512","Automatic Environmental Control Manufacturing for Residential, Commercial,"
"555","334513","Instruments and Related Products Manufacturing for Measuring, Displaying, a"
"556","334514","Totalizing Fluid Meter and Counting Device Manufacturing"
"557","334515","Instrument Manufacturing for Measuring and Testing Electricity and Electric"
"558","334516","Analytical Laboratory Instrument Manufacturing"
"559","334517","Irradiation Apparatus Manufacturing"
"560","334518","Watch, Clock, And Part Manufacturing"
"561","334519","Other Measuring and Controlling Device Manufacturing"
"562","334611","Software Reproducing"
"563","334613","Blank Magnetic and Optical Recording Media Manufacturing"
"564","334614","Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
"565","3351","Rolling - Drawing - and Extruding of Copper"
"566","335110","Electric Lamp Bulb and Part Manufacturing"
"567","335121","Residential Electric Lighting Fixture Manufacturing"
"568","335122","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufac"
"569","335129","Other Lighting Equipment Manufacturing"
"570","335210","Small Electrical Appliance Manufacturing"
