"","NaicsCode","NaicsDescription"
"121",237130,"Power and Communication Line and Related Structures Construction"
"122",237210,"Land Subdivision"
"123",237310,"Highway, Street, and Bridge Construction"
"124",237990,"Other Heavy and Civil Engineering Construction"
"125",238100,NA
"126",238110,"Poured Concrete Foundation and Structure Contractors"
"127",238120,"Structural Steel and Precast Concrete Contractors"
"128",238130,"Framing Contractors"
"129",238130,NA
"130",238140,"Masonry Contractors"
"131",238150,"Glass and Glazing Contractors"
"132",238160,"Roofing Contractors"
"133",238160,NA
"134",238170,"Siding Contractors"
"135",238190,"Other Foundation, Structure, and Building Exterior Contractors"
"136",238210,"Electrical Contractors"
"137",238210,NA
"138",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"139",238220,NA
"140",238290,"Other Building Equipment Contractors"
"141",238310,"Drywall and Insulation Contractors"
"142",238320,"Painting and Wall Covering Contractors"
"143",238330,"Flooring Contractors"
"144",238340,"Tile and Terrazzo Contractors"
"145",238340,NA
"146",238350,"Finish Carpentry Contractors"
"147",238390,"Other Building Finishing Contractors"
"148",238910,"Site Preparation Contractors"
"149",238990,"All Other Specialty Trade Contractors"
"150",311111,"Dog and Cat Food Manufacturing"
"151",311119,"Other Animal Food Manufacturing"
"152",311211,"Flour Milling"
"153",311212,"Rice Milling"
"154",311213,"Malt Manufacturing"
"155",311222,"Soybean Processing"
"156",311223,"Other Oilseed Processing"
"157",311225,"Fats and Oils Refining and Blending"
"158",311311,"Sugarcane Mills"
"159",311320,"Chocolate and Confectionery Manufacturing from Cacao Beans"
"160",311330,"Confectionery Manufacturing from Purchased Chocolate"
"161",311340,"Nonchocolate Confectionery Manufacturing"
"162",311351,"Chocolate and Confectionery Manufacturing from Cacao Beans"
"163",311352,"Confectionery Manufacturing from Purchased Chocolate"
"164",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
"165",311412,"Frozen Specialty Food Manufacturing"
"166",311421,"Fruit and Vegetable Canning"
"167",311422,"Specialty Canning"
"168",311423,"Dried and Dehydrated Food Manufacturing"
"169",311511,"Fluid Milk Manufacturing"
"170",311512,"Creamery Butter Manufacturing"
"171",311513,"Cheese Manufacturing"
"172",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
"173",311520,"Ice Cream and Frozen Dessert Manufacturing"
"174",311611,"Animal (except Poultry) Slaughtering"
"175",311612,"Meat Processed from Carcasses"
"176",311613,"Rendering and Meat Byproduct Processing"
"177",311615,"Poultry Processing"
"178",311710,"Seafood Product Preparation and Packaging"
"179",311711,"Seafood Canning"
"180",311712,"Fresh and Frozen Seafood Processing"
"181",311811,"Retail Bakeries"
"182",311812,"Commercial Bakeries"
"183",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
"184",311821,"Cookie and Cracker Manufacturing"
"185",311822,"Flour Mixes and Dough Manufacturing"
"186",311823,"Dry Pasta Manufacturing"
"187",311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
"188",311830,"Tortilla Manufacturing"
"189",311911,"Roasted Nuts and Peanut Butter Manufacturing"
"190",311919,"Other Snack Food Manufacturing"
"191",311920,"Coffee and Tea Manufacturing"
"192",311930,"Flavoring Syrup and Concentrate Manufacturing"
"193",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
"194",311942,"Spice and Extract Manufacturing"
"195",311991,"Perishable Prepared Food Manufacturing"
"196",311999,"All Other Miscellaneous Food Manufacturing"
"197",312111,"Soft Drink Manufacturing"
"198",312112,"Bottled Water Manufacturing"
"199",312113,"Ice Manufacturing"
"200",312120,"Breweries"
"201",312130,"Wineries"
"202",312140,"Distilleries"
"203",312221,"Cigarette Manufacturing"
"204",313110,"Fiber, Yarn, and Thread Mills"
"205",313111,"Yarn Spinning Mills"
"206",313112,"Yarn Texturizing, Throwing, and Twisting Mills"
"207",313113,"Thread Mills"
"208",313210,"Broadwoven Fabric Mills"
"209",313221,"Narrow Fabric Mills"
"210",313222,"Schiffli Machine Embroidery"
"211",313230,"Nonwoven Fabric Mills"
"212",313240,"Knit Fabric Mills"
"213",313241,"Weft Knit Fabric Mills"
"214",313310,"Textile and Fabric Finishing Mills"
"215",313311,"Broadwoven Fabric Finishing Mills"
"216",313312,"Textile and Fabric Finishing (except Broadwoven Fabric) Mills"
"217",313320,"Fabric Coating Mills"
"218",314110,"Carpet and Rug Mills"
"219",314110,NA
"220",314120,"Curtain and Linen Mills"
"221",314121,"Curtain and Drapery Mills"
"222",314129,"Other Household Textile Product Mills"
"223",314910,"Textile Bag and Canvas Mills"
"224",314910,NA
"225",314911,"Textile Bag Mills"
"226",314912,"Canvas and Related Product Mills"
"227",314991,"Rope, Cordage, and Twine Mills"
"228",314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
"229",314999,"All Other Miscellaneous Textile Product Mills"
"230",315111,"Sheer Hosiery Mills"
"231",315119,"Other Hosiery and Sock Mills"
"232",315191,"Outerwear Knitting Mills"
"233",315210,"Cut and Sew Apparel Contractors"
"234",315211,"Men's and Boys' Cut and Sew Apparel Contractors"
"235",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors"
"236",315220,"Men¿s and Boys¿ Cut and Sew Apparel Manufacturing"
"237",315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing"
"238",315223,"Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing"
"239",315224,"Men's and Boys' Cut and Sew Trouser, Slack and Jean Manufacturing"
"240",315225,"Men's and Boys' Cut and Sew Work Clothing Manufacturing"
"241",315228,"Men's and Boys' Cut and Sew Other Outerwear Manufacturing"
"242",315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Man"
"243",315232,"Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing"
"244",315233,"Women's and Girls' Cut and Sew Dress Manufacturing"
"245",315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt"
"246",315239,"Women's and Girls' Cut and Sew Other Outerwear Manufacturing"
"247",315240,"Women¿s, Girls¿, and Infants¿ Cut and Sew Apparel Manufacturing"
"248",315250,NA
"249",315280,"Other Cut and Sew Apparel Manufacturing"
"250",315299,"All Other Cut and Sew Apparel Manufacturing"
"251",315990,"Apparel Accessories and Other Apparel Manufacturing"
"252",315991,"Hat, Cap, and Millinery Manufacturing"
"253",315999,"Other Apparel Accessories and Other Apparel Manufacturing"
"254",316110,"Leather and Hide Tanning and Finishing"
"255",316210,"Footwear Manufacturing"
"256",316211,"Rubber and Plastics Footwear Manufacturing"
"257",316213,"Men's Footwear (except Athletic) Manufacturing"
"258",316214,"Women's Footwear (except Athletic) Manufacturing"
"259",316219,"Other Footwear Manufacturing"
"260",316991,"Luggage Manufacturing"
"261",316992,"Women's Handbag and Purse Manufacturing"
"262",316993,"Personal Leather Good (except Women's Handbag and Purse) Manufacturing"
"263",316998,"All Other Leather Good and Allied Product Manufacturing"
"264",316999,"All Other Leather Good Manufacturing"
"265",321113,"Sawmills"
"266",321114,"Wood Preservation"
"267",321211,"Hardwood Veneer and Plywood Manufacturing"
"268",321212,"Softwood Veneer and Plywood Manufacturing"
"269",321213,"Engineered Wood Member (except Truss) Manufacturing"
"270",321214,"Truss Manufacturing"
"271",321215,NA
"272",321219,"Reconstituted Wood Product Manufacturing"
"273",321911,"Wood Window and Door Manufacturing"
"274",321912,"Cut Stock, Resawing Lumber, and Planning"
"275",321918,"Other Millwork (including Flooring)"
"276",321920,"Wood Container and Pallet Manufacturing"
"277",321991,"Manufactured Home (Mobile Home) Manufacturing"
"278",321992,"Prefabricated Wood Building Manufacturing"
"279",321999,"All Other Miscellaneous Wood Product Manufacturing"
"280",322110,"Pulp Mills"
"281",322121,"Paper (except Newsprint) Mills"
"282",322122,"Newsprint Mills"
"283",322130,"Paperboard Mills"
"284",322211,"Corrugated and Solid Fiber Box Manufacturing"
"285",322211,NA
"286",322212,"Folding Paperboard Box Manufacturing"
"287",322213,"Setup Paperboard Box Manufacturing"
"288",322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing"
"289",322215,"Nonfolding Sanitary Food Container Manufacturing"
"290",322219,"Other Paperboard Container Manufacturing"
"291",322220,"Paper Bag and Coated and Treated Paper Manufacturing"
"292",322221,"Coated and Laminated Packaging Paper and Plastics Film Manufacturing"
"293",322222,"Coated and Laminated Paper Manufacturing"
"294",322223,"Plastics, Foil, and Coated Paper Bag Manufacturing"
"295",322224,"Uncoated Paper and Multiwall Bag Manufacturing"
"296",322230,"Stationery Product Manufacturing"
"297",322231,"Die-Cut Paper and Paperboard Office Supplies Manufacturing"
"298",322232,"Envelope Manufacturing"
"299",322233,"Stationery, Tablet, and Related Product Manufacturing"
"300",322291,"Sanitary Paper Product Manufacturing"
"301",322299,"All Other Converted Paper Product Manufacturing"
"302",323100,NA
"303",323110,"Commercial Lithographic Printing"
"304",323111,"Commercial Gravure Printing"
"305",323112,"Commercial Flexographic Printing"
"306",323113,"Commercial Screen Printing"
"307",323114,"Quick Printing"
"308",323115,"Digital Printing"
"309",323116,"Manifold Business Forms Printing"
"310",323117,"Books Printing"
"311",323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing"
"312",323119,"Other Commercial Printing"
"313",323120,"Support Activities for Printing"
"314",323121,"Tradebinding and Related Work"
"315",323122,"Prepress Services"
"316",324110,"Petroleum Refineries"
"317",324121,"Asphalt Paving Mixture and Block Manufacturing"
"318",324122,"Asphalt Shingle and Coating Materials Manufacturing"
"319",324191,"Petroleum Lubricating Oil and Grease Manufacturing"
"320",324199,"All Other Petroleum and Coal Products Manufacturing"
"321",325110,"Petrochemical Manufacturing"
"322",325120,"Industrial Gas Manufacturing"
"323",325131,"Inorganic Dye and Pigment Manufacturing"
"324",325180,"Other Basic Inorganic Chemical Manufacturing"
"325",325181,"Alkalies and Chlorine Manufacturing"
"326",325182,"Carbon Black Manufacturing"
"327",325188,"All Other Basic Inorganic Chemical Manufacturing"
"328",325191,"Gum and Wood Chemical Manufacturing"
"329",325193,"Ethyl Alcohol Manufacturing"
"330",325199,"All Other Basic Organic Chemical Manufacturing"
"331",325211,"Plastics Material and Resin Manufacturing"
"332",325212,"Synthetic Rubber Manufacturing"
"333",325221,"Cellulosic Organic Fiber Manufacturing"
"334",325222,"Noncellulosic Organic Fiber Manufacturing"
"335",325311,"Nitrogenous Fertilizer Manufacturing"
"336",325312,"Phosphatic Fertilizer Manufacturing"
"337",325314,"Fertilizer (Mixing Only) Manufacturing"
"338",325320,"Pesticide and Other Agricultural Chemical Manufacturing"
"339",325411,"Medicinal and Botanical Manufacturing"
"340",325412,"Pharmaceutical Preparation Manufacturing"
"341",325413,"In-Vitro Diagnostic Substance Manufacturing"
"342",325414,"Biological Product (except Diagnostic) Manufacturing"
"343",325510,"Paint and Coating Manufacturing"
"344",325520,"Adhesive Manufacturing"
"345",325611,"Soap and Other Detergent Manufacturing"
"346",325612,"Polish and Other Sanitation Good Manufacturing"
"347",325613,"Surface Active Agent Manufacturing"
"348",325620,"Toilet Preparation Manufacturing"
"349",325620,NA
"350",325910,"Printing Ink Manufacturing"
"351",325920,"Explosives Manufacturing"
"352",325991,"Custom Compounding of Purchased Resins"
"353",325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
"354",325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing"
"355",326111,"Unsupported Plastics Bag Manufacturing"
"356",326112,"Unsupported Plastics Packaging Film and Sheet Manufacturing"
"357",326113,"Unsupported Plastics Film and Sheet Manufacturing"
"358",326121,"Unsupported Plastics Profile Shapes Manufacturing"
"359",326122,"Plastics Pipe and Pipe Fitting Manufacturing"
"360",326130,"Laminated Plastics Plate, Sheet, and Shape Manufacturing"
"361",326140,"Polystyrene Foam Product Manufacturing"
"362",326150,"Urethane and Other Foam Product Manufacturing"
"363",326160,"Plastics Bottle Manufacturing"
"364",326191,"Plastics Plumbing Fixture Manufacturing"
"365",326192,"Resilient Floor Covering Manufacturing"
"366",326199,"All Other Plastics Product Manufacturing"
"367",326199,NA
"368",326211,"Tire Manufacturing (except Retreading)"
"369",326212,"Tire Retreading"
"370",326220,"Rubber and Plastics Hoses and Belting Manufacturing"
"371",326291,"Rubber Product Manufacturing for Mechanical Use"
"372",326299,"All Other Rubber Product Manufacturing"
"373",327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
"374",327111,"Vitreous China Plumbing Fixture and China and Earthenware Bathroom Acc"
"375",327112,"Vitreous China, Fine Earthenware, and Other Pottery Manufacturing"
"376",327113,"Porcelain Electrical Supply Manufacturing"
"377",327120,"Clay Building Material and Refractories Manufacturing"
"378",327121,"Brick and Structural Clay Tile Manufacturing"
"379",327122,"Ceramic Wall and Floor Tile Manufacturing"
"380",327123,"Other Structural Clay Product Manufacturing"
"381",327124,"Clay Refractory Manufacturing"
"382",327125,"Nonclay Refractory Manufacturing"
"383",327211,"Flat Glass Manufacturing"
"384",327212,"Other Pressed and Blown Glass and Glassware Manufacturing"
"385",327213,"Glass Container Manufacturing"
"386",327215,"Glass Product Manufacturing Made of Purchased Glass"
"387",327310,"Cement Manufacturing"
"388",327320,"Ready-Mix Concrete Manufacturing"
"389",327331,"Concrete Block and Brick Manufacturing"
"390",327332,"Concrete Pipe Manufacturing"
"391",327390,"Other Concrete Product Manufacturing"
"392",327410,"Lime Manufacturing"
"393",327420,"Gypsum Product Manufacturing"
"394",327910,"Abrasive Product Manufacturing"
"395",327991,"Cut Stone and Stone Product Manufacturing"
"396",327992,"Ground or Treated Mineral and Earth Manufacturing"
"397",327993,"Mineral Wool Manufacturing"
"398",327999,"All Other Miscellaneous Nonmetallic Mineral Product Manufacturing"
"399",331110,"Iron and Steel Mills and Ferroalloy Manufacturing"
"400",331111,"Iron and Steel Mills"
"401",331112,"Electrometallurgical Ferroalloy Product Manufacturing"
"402",331210,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel"
"403",331221,"Rolled Steel Shape Manufacturing"
"404",331222,"Steel Wire Drawing"
"405",331312,"Primary Aluminum Production"
"406",331313,"Alumina Refining and Primary Aluminum Production"
"407",331314,"Secondary Smelting and Alloying of Aluminum"
"408",331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
"409",331316,"Aluminum Extruded Product Manufacturing"
"410",331318,"Other Aluminum Rolling, Drawing, and Extruding"
"411",331319,"Other Aluminum Rolling and Drawing"
"412",331410,"Nonferrous Metal (except Aluminum) Smelting and Refining"
"413",331411,"Primary Smelting and Refining of Copper"
"414",331419,"Primary Smelting and Refining of Nonferrous Metal (except Copper and A"
"415",331421,"Copper Rolling, Drawing, and Extruding"
"416",331422,"Copper Wire (except Mechanical) Drawing"
"417",331423,"Secondary Smelting, Refining, and Alloying of Copper"
"418",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Ex"
"419",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except"
"420",331511,"Iron Foundries"
"421",331512,"Steel Investment Foundries"
"422",331513,"Steel Foundries (except Investment)"
"423",331521,"Aluminum Die-Casting Foundries"
"424",331522,"Nonferrous (except Aluminum) Die-Casting Foundries"
"425",331523,"Nonferrous Metal Die-Casting Foundries"
"426",331523,NA
"427",331524,"Aluminum Foundries (except Die-Casting)"
"428",331525,"Copper Foundries (except Die-Casting)"
"429",331528,"Other Nonferrous Foundries (except Die-Casting)"
"430",331529,"Other Nonferrous Metal Foundries (except Die-Casting)"
"431",332111,"Iron and Steel Forging"
"432",332112,"Nonferrous Forging"
"433",332114,"Custom Roll Forming"
"434",332115,"Crown and Closure Manufacturing"
"435",332116,"Metal Stamping"
"436",332117,"Powder Metallurgy Part Manufacturing"
"437",332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
"438",332211,"Cutlery and Flatware (except Precious) Manufacturing"
"439",332212,"Hand and Edge Tool Manufacturing"
"440",332213,"Saw Blade and Handsaw Manufacturing"
"441",332214,"Kitchen Utensil, Pot, and Pan Manufacturing"
"442",332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Preciou"
"443",332216,"Saw Blade and Handtool Manufacturing"
"444",332311,"Prefabricated Metal Building and Component Manufacturing"
"445",332312,"Fabricated Structural Metal Manufacturing"
"446",332313,"Plate Work Manufacturing"
"447",332321,"Metal Window and Door Manufacturing"
"448",332322,"Sheet Metal Work Manufacturing"
"449",332323,"Ornamental and Architectural Metal Work Manufacturing"
"450",332410,"Power Boiler and Heat Exchanger Manufacturing"
"451",332420,"Metal Tank (Heavy Gauge) Manufacturing"
"452",332431,"Metal Can Manufacturing"
"453",332439,"Other Metal Container Manufacturing"
"454",332510,"Hardware Manufacturing"
"455",332611,"Spring (Heavy Gauge) Manufacturing"
"456",332612,"Spring (Light Gauge) Manufacturing"
"457",332613,"Spring Manufacturing"
"458",332618,"Other Fabricated Wire Product Manufacturing"
"459",332710,"Machine Shops"
"460",332721,"Precision Turned Product Manufacturing"
"461",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
"462",332811,"Metal Heat Treating"
"463",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied S"
"464",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
"465",332911,"Industrial Valve Manufacturing"
"466",332912,"Fluid Power Valve and Hose Fitting Manufacturing"
"467",332913,"Plumbing Fixture Fitting and Trim Manufacturing"
"468",332919,"Other Metal Valve and Pipe Fitting Manufacturing"
"469",332991,"Ball and Roller Bearing Manufacturing"
"470",332992,"Small Arms Ammunition Manufacturing"
"471",332994,"Small Arms Manufacturing"
"472",332995,"Other Ordnance and Accessories Manufacturing"
"473",332996,"Fabricated Pipe and Pipe Fitting Manufacturing"
"474",332997,"Industrial Pattern Manufacturing"
"475",332998,"Enameled Iron and Metal Sanitary Ware Manufacturing"
"476",332999,"All Other Miscellaneous Fabricated Metal Product Manufacturing"
"477",333111,"Farm Machinery and Equipment Manufacturing"
"478",333112,"Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturi"
"479",333120,"Construction Machinery Manufacturing"
"480",333131,"Mining Machinery and Equipment Manufacturing"
"481",333131,NA
"482",333132,"Oil and Gas Field Machinery and Equipment Manufacturing"
"483",333210,"Sawmill and Woodworking Machinery Manufacturing"
"484",333220,"Plastics and Rubber Industry Machinery Manufacturing"
"485",333241,"Food Product Machinery Manufacturing"
"486",333242,"Semiconductor Machinery Manufacturing"
"487",333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
"488",333244,"Printing Machinery and Equipment Manufacturing"
"489",333248,NA
"490",333249,"Other Industrial Machinery Manufacturing"
"491",333291,"Paper Industry Machinery Manufacturing"
"492",333292,"Textile Machinery Manufacturing"
"493",333293,"Printing Machinery and Equipment Manufacturing"
"494",333294,"Food Product Machinery Manufacturing"
"495",333295,"Semiconductor Machinery Manufacturing"
"496",333298,"All Other Industrial Machinery Manufacturing"
"497",333310,NA
"498",333311,"Automatic Vending Machine Manufacturing"
"499",333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing"
"500",333313,"Office Machinery Manufacturing"
"501",333314,"Optical Instrument and Lens Manufacturing"
"502",333315,"Photographic and Photocopying Equipment Manufacturing"
"503",333318,"Other Commercial and Service Industry Machinery Manufacturing"
"504",333319,"Other Commercial and Service Industry Machinery Manufacturing"
"505",333410,NA
"506",333411,"Air Purification Equipment Manufacturing"
"507",333412,"Industrial and Commercial Fan and Blower Manufacturing"
"508",333413,"Industrial and Commercial Fan and Blower and Air Purification Equipmen"
"509",333414,"Heating Equipment (except Warm Air Furnaces) Manufacturing"
"510",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Ind"
"511",333511,"Industrial Mold Manufacturing"
"512",333512,"Machine Tool (Metal Cutting Types) Manufacturing"
"513",333513,"Machine Tool (Metal Forming Types) Manufacturing"
"514",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
"515",333515,"Cutting Tool and Machine Tool Accessory Manufacturing"
"516",333516,"Rolling Mill Machinery and Equipment Manufacturing"
"517",333517,"Machine Tool Manufacturing"
"518",333518,"Other Metalworking Machinery Manufacturing"
"519",333519,"Rolling Mill and Other Metalworking Machinery Manufacturing"
"520",333611,"Turbine and Turbine Generator Set Units Manufacturing"
"521",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
"522",333613,"Mechanical Power Transmission Equipment Manufacturing"
"523",333618,"Other Engine Equipment Manufacturing"
"524",333911,"Pump and Pumping Equipment Manufacturing"
"525",333912,"Air and Gas Compressor Manufacturing"
"526",333914,NA
"527",333921,"Elevator and Moving Stairway Manufacturing"
"528",333922,"Conveyor and Conveying Equipment Manufacturing"
"529",333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
"530",333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturin"
"531",333991,"Power-Driven Handtool Manufacturing"
"532",333992,"Welding and Soldering Equipment Manufacturing"
"533",333993,"Packaging Machinery Manufacturing"
"534",333994,"Industrial Process Furnace and Oven Manufacturing"
"535",333995,"Fluid Power Cylinder and Actuator Manufacturing"
"536",333996,"Fluid Power Pump and Motor Manufacturing"
"537",333997,"Scale and Balance (except Laboratory) Manufacturing"
"538",333998,NA
"539",333999,"All Other Miscellaneous General Purpose Machinery Manufacturing"
"540",334111,"Electronic Computer Manufacturing"
"541",334112,"Computer Storage Device Manufacturing"
"542",334113,"Computer Terminal Manufacturing"
"543",334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturin"
"544",334119,"Other Computer Peripheral Equipment Manufacturing"
"545",334210,"Telephone Apparatus Manufacturing"
"546",334220,"Radio and Television Broadcasting and Wireless Communications Equipmen"
"547",334290,"Other Communications Equipment Manufacturing"
"548",334310,"Audio and Video Equipment Manufacturing"
"549",334411,"Electron Tube Manufacturing"
"550",334412,"Bare Printed Circuit Board Manufacturing"
"551",334413,"Semiconductor and Related Device Manufacturing"
"552",334414,"Electronic Capacitor Manufacturing"
"553",334415,"Electronic Resistor Manufacturing"
"554",334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing"
"555",334417,"Electronic Connector Manufacturing"
"556",334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing"
"557",334418,NA
"558",334419,"Other Electronic Component Manufacturing"
"559",334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing"
"560",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Sy"
"561",334512,"Automatic Environmental Control Manufacturing for Residential, Commerc"
"562",334513,"Instruments and Related Products Manufacturing for Measuring, Displayi"
"563",334514,"Totalizing Fluid Meter and Counting Device Manufacturing"
"564",334515,"Instrument Manufacturing for Measuring and Testing Electricity and Ele"
"565",334516,"Analytical Laboratory Instrument Manufacturing"
