"SimpleArea","No.Competition.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"R&D","No Comp. (Only 1 Source)",3647692000,4847931081,5384465081,5871572897,6750769836,6135404986,6814307799,6580308845,6216377290,6321627483.4,5460204691.8922,9241228404.3648,13584584761.1246,12730380927.571,9886132186.1236,11484392253.4542,13834858443.0634,14707180017.4367,14324572694.5128,15251513060.4977,13916369586.6502,12593105104.6833,10965028652.428,8971368737.2049,7965124193.2049,8377040786.0326,8945660357.9559,10096703916.3343,10787892581.4395,11054152217.8803,12189896540.1028,13125761245.4539
"R&D","No Comp. (Other)",656109000,827764005,710969271,735088456,754542996,840166726,2145217175,2145817631,2516861294,1777519640,4189289895.9961,7106599751.8968,8209393789.2007,12784108785.1956,9769973463.3238,9604195189.4098,8850203091.6049,6712072409.985,4380210260.6608,4837646047.4791,5114150377.6539,6335944451.8507,6053418758.5891,5088437094.7432,5610851349.1548,4416494516.1289,5882392091.0311,5899558128.8835,5815730674.2883,6411112439.147,6859318412.7743,6507747911.4031
"R&D","No Comp. (Unlabeled)",2601012000,2141853000,2244517560,2749057869,3172494547,2582658756,-136976544,42822209,12910544,130840716,7575559564.75,4153237233.5206,1924236901.5821,3763979923.9003,246532434.9367,488036664.1286,232835410.3071,303290281.6805,334684059.2441,550129379.576,436100034.0739,491186966.3909,679236249.8818,319250568.51,321047366.8111,469579746.0422,234668156.6436,253786081.777,127892483.3438,185724871.521,46160273.3189,9368481.3067
"R&D","Unlabeled",3580069000,2660705000,1291831242,588628941,350078087,494750017,23589175,45990075,36849403,18643560,896452335.6017,85131664.902,336949705.8934,536446941.6982,2570086057.2851,2838266693.4111,2625358360.9183,2805161054.9533,3362971198.8995,3120193619.9176,2721157634.3179,2534656001.2374,2384943379.5133,1530655466.0157,1504753705.1864,1543294817.5163,2212714354.4973,1895520946.2884,1015275730.6035,1170902218.312,1423072558.8044,1472919601.5409
"Services (Non-R&D)","1 Offer",2272196000,2126931747,2137685491,2066133828,2400381803,2699112471,2808742295,2738401393,3171823877,3742589371,8120797375.0989,11790412068.6105,12602208697.8908,15329380056.2285,20395399198.5202,26243002301.2651,30871477572.4722,32985173965.3456,34774854274.3638,38659241068.4123,38788642534.8464,32550477358.9081,28234917920.1521,24525434266.3851,23706846297.6714,22959254648.577,23041813733.2243,27069126146.5801,31426190352.347,33420013792.1391,42796728539.3475,35329600841.2159
"Services (Non-R&D)","2+ Offers",18295233825,27030063048,26450374077,25346853246,29422804329,29739987615,30518038439,30960560923,30892018726,33080050374,60667020368.74,64617794428.4971,76800292059.2843,91681730016.3972,94678050005.77,102646977270.621,111788328654.821,125183903682.677,142830613231.278,165474570271.511,168359241283.241,163907108199.073,161210283989.181,146488863472.047,150171098514.783,146622550154.338,154626041486.229,169701555914.103,184441024936.278,203035877918.705,211093550266.789,211018576612.945
"Services (Non-R&D)","Follow on to Competed Action",,,,,,,,,,,5691841.961,33307977.1274,262099236.1407,454861365.6609,1391890325.9147,1029413825.485,1562787038.2374,2094328112.6785,2795283407.0846,3334037007.8036,4137683053.1951,3949729314.0784,3562822242.1691,3030935477.645,3262563430.9158,3604292961.4098,2718825207.4091,2549854562.4417,3049392106.7931,2558836003.1434,3467848227.0052,1917247866.3692
"Services (Non-R&D)","No Comp. (Only 1 Source)",5973385781,6791860332,7327868355,6752009441,6256106773,6066547820,6462393970,6407724491,7083394033,5503254209,4949623413.6023,8932591451.9212,9965156493.9161,9687657143.2718,11654086388.6103,14505259569.3241,17973527079.7926,19000394035.8442,21332775128.6894,24062781187.6688,23750541483.9836,26054121639.9306,26459791239.1444,26322603574.7268,27382833657.2697,28737671637.5831,30408228815.2098,30425095336.94,33198703638.7013,36101751127.451,36601335663.3475,38158849014.251
"Services (Non-R&D)","No Comp. (Other)",2273899920,3486454395,3834216389,3177090734,3582761859,3899080199,3786870555,5184242989,4948885939,5617350904,1974041157.1044,7608132377.4482,12155338246.6126,14814244264.4159,13907518366.2123,15086349244.2902,18270672502.2929,16801174314.4075,19483548412.0764,21951907472.5479,22361071273.0161,23059759097.3599,22805595893.4759,18898981215.9532,20496206859.1326,21373022080.2366,21675549918.6793,23458841614.0888,25924512489.1976,26180759625.6141,29554373156.0179,37433275773.7377
"Services (Non-R&D)","No Comp. (Unlabeled)",1750172000,3118695941,2814592462,2521777161,2593574640,2607128453,2572374197,1399247805,987646325,888793969,11433020620.2564,2608410602.8266,4008435351.5874,4897371789.6098,4028122293.1212,4506414601.5408,3356080556.9966,2414473953.5324,1866256456.5141,1398294758.3664,696562552.2255,385969053.2196,370029991.1157,218611669.8264,106781479.3914,149050234.9527,130729196.9363,117743572.4222,90985384.9051,71020328.0851,162285425.2313,88478072.208
"Services (Non-R&D)","Unlabeled",1272396000,331079130,184083233,46839529,128743062,516047087,178493225,688940378,2132538408,2623671269,4630149787.7109,7632133199.6844,9800452606.565,12878908677.0596,15639492689.7592,17585179131.2619,17457329611.0975,12871243915.9787,13222765523.507,13104453800.1562,11384657035.2984,7971104637.3634,5904047259.0905,5392788761.4225,3998260192.7661,3518195041.7473,3539084015.0951,3610618511.5089,3150290682.719,2489957059.2805,3097983702.0729,3305357401.3649
"Unlabeled","1 Offer",,,,,,,,,,,10338040.9335,3257445.85,30999233.2973,47087800.4663,55347523.0895,33752950.7769,59468889.4473,50274023.967,32932786.2928,15481598.2722,6929066.6479,2172204.2742,-1105943.2356,253304.0489,-41221.06,-932699.7875,-2689055.5177,-105528.9092,-234095.4781,61147.1638,0,376316
"Unlabeled","2+ Offers",,,,,,,,,,,31963060.3556,23521153.19,72860381.9119,31920208.6809,36327293.378,54987112.2368,100044007.1692,68621102.8744,54458409.5561,23984091.876,11228719.4727,-610751.6659,-539184.0296,-227534.5095,-113098.75,-6791.98,1054524.0217,-76359.3577,-1114.08,0,0,-303.22
"Unlabeled","Follow on to Competed Action",,,,,,,,,,,95280,16995,35010,169956,6800,-1e+06,,0,,0,,,,,,,42246.2313,,,,,
"Unlabeled","No Comp. (Only 1 Source)",,,,,,,,,,,1042699.4004,1664318.3165,49440955.3048,42555716.1898,-391727.9201,40762981.1133,70802405.8746,53706494.2236,43851385.209,21298493.8504,7369288.9177,1025096.3934,766573.6797,896077.8,922411.48,799517.6845,3043901.1835,582083.1046,-19214.54,0,0,-20538.29
"Unlabeled","No Comp. (Other)",,,,,,,,,,,442287.98,206495.81,6663940.4376,49863697.8728,35372966.1793,31649266.9354,95303156.2647,44700263.8358,15792348.4385,12266713.113,7817407.8881,425793.2026,-28714.5505,-2161491.38,-19148.06,-62040.4,-36842.8892,-81036.0892,-8743,0,-231.09,-815.16
"Unlabeled","No Comp. (Unlabeled)",,,,,,,,,,,13361087.0925,187387665.3989,114588068.662,101081199.1023,59155724.5969,77410941.1272,65916530.91,24105230.3837,10777461.1301,10401411.8534,-585312.0356,842165.9389,-843028.3714,-5699153.69,-16179.94,-3091.8601,-50660.2411,-473.879699999999,-100,,,0
"Unlabeled","Unlabeled",0,,,,,,,,,,73159456.1416,190126375.7801,391553900.4551,402822874.6687,164251949.7904,202728955.7529,134679773.718,70538517.5154,49898657.2559,24544489.6182,718679.4443,-1463056.1572,-1793534.4356,-395490.39,-1358076.02,-189456.7801,3413124.2158,1227503.4395,18751.5809,-24036.0699,322620.625,-38899.1899
