"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Dollars Obligated","Number of Actions","Number of Records","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12F2","FOOD AND NUTRITION SERVICE","$52,725,210.89","382","382","$68,109,022.67","$47,687,750.58"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12G2","FOOD SAFETY AND INSPECTION SERVICE","$28,758,847.19","1,009","1,009","$96,755,169.38","$28,486,161.77"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12H2","AGRICULTURAL RESEARCH SERVICE","$417,499,357.73","10,557","4,661","$687,412,740.22","$431,732,066.63"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12K2","AGRICULTURAL MARKETING SERVICE","$890,023,655.20","1,510","1,510","$912,368,470.97","$890,073,795.80"
"2006","1200","AGRICULTURE, DEPARTMENT OF","12K3","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","$108,594,124.67","3,661","3,173","$155,878,677.40","$114,912,233.60"
"2006","1300","COMMERCE, DEPARTMENT OF","1300","COMMERCE, DEPARTMENT OF","$36,129.00","3","3","$218,927.00","$54,169.00"
"2006","1300","COMMERCE, DEPARTMENT OF","1301","OFFICE OF THE SECRETARY","$177,897,933.29","1,334","1,332","$42,607,397,825.77","$9,836,140,769.03"
"2006","1300","COMMERCE, DEPARTMENT OF","1323","US CENSUS BUREAU","$268,273,113.92","2,613","2,612","$898,063,388.81","$350,360,081.96"
"2006","1300","COMMERCE, DEPARTMENT OF","1330","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","$961,942,226.82","17,343","17,305","$4,455,353,572.03","$2,629,466,421.78"
"2006","1300","COMMERCE, DEPARTMENT OF","1341","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","$183,343,624.92","5,240","5,240","$185,045,397.13","$186,859,513.78"
"2006","1300","COMMERCE, DEPARTMENT OF","1342","NATIONAL TECHNICAL INFORMATION SERVICE","$238,102.00","1","1","$0.00","$238,102.00"
"2006","1300","COMMERCE, DEPARTMENT OF","1344","PATENT AND TRADEMARK OFFICE","$622,060,194.68","1,990","1,990","$1,049,589,731.21","$539,723,366.71"
"2006","1300","COMMERCE, DEPARTMENT OF","1344","US PATENT AND TRADEMARK OFFICE","$41,269,700.15","162","162","$166,339,320.59","$27,995,048.79"
"2006","1300","COMMERCE, DEPARTMENT OF","1350","INTERNATIONAL TRADE ADMINISTRATION","$38,840.00","1","1","$116,520.00","$38,840.00"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1406","DEPARTMENTAL OFFICES","$1,000,539,758.22","6,280","6,236","$916,066,393.82","$991,810,642.67"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1406","OFFICE OF POLICY, BUDGET AND ADMINISTRATION","$1,305,328,751.53","7,167","7,167","$3,417,364,709.44","$1,594,336,476.68"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1406","OFFICE OF POLICY, MANAGEMENT, AND BUDGET","$225,093,444.03","1,346","1,346","$390,828,229.52","$268,144,426.38"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1422","BUREAU OF LAND MANAGEMENT","$347,352,540.95","13,933","13,927","$671,771,485.10","$378,084,656.93"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1425","BUREAU OF RECLAMATION","$362,995,133.62","7,227","7,207","$947,182,749.22","$408,842,046.79"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1434","GEOLOGICAL SURVEY","$194,089,466.72","8,457","8,441","$234,883,957.84","$249,983,381.24"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1434","US GEOLOGICAL SURVEY","$28,015,485.24","920","920","$23,855,628.65","$28,162,382.79"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1435","BUREAU OF OCEAN ENERGY MANAGEMENT","$131,588,419.11","1,389","1,388","$93,328,360.30","$85,716,937.48"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1438","OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","$15,467,893.77","860","856","$18,065,174.48","$15,115,740.37"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1443","NATIONAL PARK SERVICE","$537,040,278.25","17,413","17,279","$920,042,936.16","$759,724,578.55"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1448","U.S. FISH AND WILDLIFE SERVICE","$340,908,916.93","16,271","16,224","$407,172,472.60","$360,904,500.92"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1450","BUREAU OF INDIAN AFFAIRS","$243,447,035.07","7,066","7,012","$281,985,235.61","$265,401,678.67"
"2006","1400","INTERIOR, DEPARTMENT OF THE","1450","BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION","$10,261,108.24","114","114","$10,261,108.24","$10,261,108.24"
"2006","1500","JUSTICE, DEPARTMENT OF","1500","JUSTICE, DEPARTMENT OF","$10,820,123.00","2","2","$11,820,123.00","$10,820,123.00"
"2006","1500","JUSTICE, DEPARTMENT OF","1501","OFFICES, BOARDS AND DIVISIONS","$1,342,358,435.63","4,167","4,167","$1,364,523,578.14","$1,332,084,136.02"
"2006","1500","JUSTICE, DEPARTMENT OF","1524","DRUG ENFORCEMENT ADMINISTRATION","$295,239,890.82","13,467","13,457","$348,360,228.96","$282,977,186.03"
"2006","1500","JUSTICE, DEPARTMENT OF","1540","FEDERAL PRISON SYSTEM","$1,887,595,354.99","73,104","71,782","$4,608,676,119.94","$2,852,814,638.24"
"2006","1500","JUSTICE, DEPARTMENT OF","1540","FEDERAL PRISON SYSTEM / BUREAU OF PRISONS","$51,007,418.27","1,349","1,347","$169,804,248.56","$82,600,331.41"
"2006","1500","JUSTICE, DEPARTMENT OF","1544","U.S. MARSHALS SERVICE","$430,025,360.94","969","969","$1,002,632,164.39","$519,427,456.82"
"2006","1500","JUSTICE, DEPARTMENT OF","1549","FEDERAL BUREAU OF INVESTIGATION","$666,946,544.60","1,745","1,744","$1,452,124,620.75","$729,302,511.23"
"2006","1500","JUSTICE, DEPARTMENT OF","1550","OFFICE OF JUSTICE PROGRAMS","$105,114,536.45","539","539","$216,671,564.81","$199,257,554.10"
"2006","1500","JUSTICE, DEPARTMENT OF","1560","ATF ACQUISITION AND PROPERTY MGMT DIV","$152,523,028.25","2,514","2,512","$287,394,009.00","$150,897,216.48"
"2006","1600","LABOR, DEPARTMENT OF","1601","IMMEDIATE OFFICE OF THE SECRETARY OF LABOR","$622,759.00","3","3","$622,759.00","$622,759.00"
"2006","1600","LABOR, DEPARTMENT OF","1604","OFFICE OF INSPECTOR GENERAL","$7,322,113.57","143","143","$52,797,024.44","$29,082,511.17"
"2006","1600","LABOR, DEPARTMENT OF","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT","$274,739,141.73","4,003","4,000","$676,799,458.36","$370,851,915.42"
"2006","1600","LABOR, DEPARTMENT OF","1605","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","$92,248,769.22","923","923","$226,828,175.20","$133,252,027.61"
"2006","1600","LABOR, DEPARTMENT OF","1606","OFFICE OF THE ASSISTANT SECRETARY FOR POLICY","$6,669.00","1","1","$6,669.00","$6,669.00"
"2006","1600","LABOR, DEPARTMENT OF","1615","BENEFITS REVIEW BOARD","$0.00","1","1","$25,000.00","$0.00"
"2006","1600","LABOR, DEPARTMENT OF","1621","EMPLOYEE BENEFITS SECURITY ADMINISTRATION","$0.00","2","2","$0.00","$0.00"
"2006","1600","LABOR, DEPARTMENT OF","1625","BUREAU OF LABOR STATISTICS","$60,585,610.37","1,080","1,045","$37,329,735.65","$60,410,265.64"
"2006","1600","LABOR, DEPARTMENT OF","1630","EMPLOYMENT AND TRAINING ADMINISTRATION","$1,319,642,085.61","1,875","1,875","$1,837,816,816.66","$1,595,287,226.12"
"2006","1600","LABOR, DEPARTMENT OF","1635","EMPLOYMENT STANDARDS ADMINISTRATION","$7,754.00","2","2","$7,754.00","$7,754.00"
"2006","1600","LABOR, DEPARTMENT OF","1645","MINE SAFETY AND HEALTH ADMINISTRATION","$20,503,478.98","964","964","$71,232,656.38","$32,517,718.81"
"2006","1600","LABOR, DEPARTMENT OF","1650","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","$26,847.00","6","6","$30,297.00","$30,297.00"
"2006","1665","PENSION BENEFIT GUARANTY CORPORATION","1665","PENSION BENEFIT GUARANTY CORPORATION","$90,149,838.93","94","94","$106,029,598.62","$92,606,157.33"
"2006","1900","STATE, DEPARTMENT OF","1900","STATE, DEPARTMENT OF","$5,396,408,825.01","189,473","57,382","$29,963,660,460.84","$7,575,067,158.70"
"2006","1900","STATE, DEPARTMENT OF","19BM","INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","$3,317,621.00","1","1","$21,329,232.36","$10,421,769.36"
"2006","2000","TREASURY, DEPARTMENT OF THE","2000","TREASURY, DEPARTMENT OF THE","$0.00","1","1","$0.00","$0.00"
"2006","2000","TREASURY, DEPARTMENT OF THE","2001","DEPARTMENTAL OFFICES","$198,703,914.66","1,318","1,313","$602,085,966.12","$292,629,963.93"
"2006","2000","TREASURY, DEPARTMENT OF THE","2033","FINANCIAL MANAGEMENT SERVICE","$107,933,220.61","1,094","1,090","$179,365,354.34","$89,918,482.93"
"2006","2000","TREASURY, DEPARTMENT OF THE","2036","BUREAU OF THE FISCAL SERVICE","$773,672,172.87","41,513","41,486","$2,153,913,406.76","$792,190,653.47"
"2006","2000","TREASURY, DEPARTMENT OF THE","2041","BUREAU OF ENGRAVING AND PRINTING","$291,409,305.95","1,407","1,266","$12,626,607,751.81","$8,969,886,450.45"
"2006","2000","TREASURY, DEPARTMENT OF THE","2044","UNITED STATES MINT","$1,180,859,671.17","1,076","1,074","$1,322,406,187.18","$1,151,838,139.13"
"2006","2000","TREASURY, DEPARTMENT OF THE","2046","OFFICE OF THE COMPTROLLER OF THE CURRENCY","$64,240,395.35","735","735","$242,778,893.28","$70,302,345.66"
"2006","2000","TREASURY, DEPARTMENT OF THE","2047","OFFICE OF THRIFT SUPERVISION","$15,243,263.64","564","564","$20,921,248.18","$12,327,759.84"
"2006","2000","TREASURY, DEPARTMENT OF THE","2050","INTERNAL REVENUE SERVICE","$1,525,223,914.44","13,449","13,442","$19,039,695,126.04","$16,542,899,863.65"
"2006","2400","OFFICE OF PERSONNEL MANAGEMENT","2400","OFFICE OF PERSONNEL MANAGEMENT","$575,941,558.17","7,061","7,055","$15,529,623,006.56","$2,855,217,822.30"
"2006","2700","FEDERAL COMMUNICATIONS COMMISSION","2700","FEDERAL COMMUNICATIONS COMMISSION","$85,702,393.13","1,042","1,042","$197,707,949.55","$103,048,936.24"
"2006","2800","SOCIAL SECURITY ADMINISTRATION","2800","SOCIAL SECURITY ADMINISTRATION","$857,751,967.87","9,388","9,388","($89,080,342,869.36)","$709,081,902.17"
"2006","2900","FEDERAL TRADE COMMISSION","2900","FEDERAL TRADE COMMISSION","$22,642,691.14","521","521","$31,696,665.68","$23,835,356.86"
"2006","3100","NUCLEAR REGULATORY COMMISSION","3100","NUCLEAR REGULATORY COMMISSION","$135,546,308.23","2,077","2,077","$240,527,703.86","$148,295,448.40"
"2006","3300","SMITHSONIAN INSTITUTION","3300","SMITHSONIAN INSTITUTION","$232,075,420.80","3,743","944","$268,717,130.83","$230,331,596.67"
"2006","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","$11,618,756.85","141","141","$26,530,916.74","$10,553,647.14"
"2006","3355","NATIONAL GALLERY OF ART","3355","NATIONAL GALLERY OF ART","$9,604,574.67","94","94","$2,300,881,165.12","$2,293,422,480.32"
"2006","3400","INTERNATIONAL TRADE COMMISSION","3400","INTERNATIONAL TRADE COMMISSION","$477,876.54","9","9","$477,876.54","$477,876.54"
"2006","3400","INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)","3400","INTERNATIONAL TRADE COMMISSION","$37,630.99","1","1","$37,630.99","$37,630.99"
"2006","3600","VETERANS AFFAIRS, DEPARTMENT OF","3600","VETERANS AFFAIRS, DEPARTMENT OF","$10,612,476,167.89","2,955,148","956,283","$123,336,650,863.05","$11,840,330,135.08"
"2006","4100","MERIT SYSTEMS PROTECTION BOARD","4100","MERIT SYSTEMS PROTECTION BOARD","$2,781,295.90","160","158","$3,678,907.62","$3,676,101.54"
"2006","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","$54,102,280.99","3,839","3,839","$59,890,143.69","$54,708,929.94"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4700","GENERAL SERVICES ADMINISTRATION","$10,000.00","1","1","$10,000.00","$10,000.00"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4704","OFFICE OF INSPECTOR GENERAL","$1,869,369.12","109","105","$1,873,369.12","$1,873,369.12"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4730","FEDERAL ACQUISITION SERVICE","$2,331,570,445.83","627,722","627,722","$63,034,228,552.58","$2,331,450,445.83"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4732","FEDERAL ACQUISITION SERVICE","$225,775.43","6","6","$2,594,619.17","$225,775.43"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4735","FEDERAL ACQUISITION SERVICE","$3,849,410,569.61","21,472","21,422","$18,017,283,400.58","$8,579,322,104.86"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4740","PUBLIC BUILDINGS SERVICE","$7,764,751,141.05","145,993","145,952","$112,666,411,772.82","$7,559,221,663.96"
"2006","4700","GENERAL SERVICES ADMINISTRATION","4745","OFFICE OF GOVERNMENT WIDE POLICY","$84,796,669.10","560","560","$115,428,129.40","$113,494,486.23"
"2006","4900","NATIONAL SCIENCE FOUNDATION","4900","NATIONAL SCIENCE FOUNDATION","$401,553,161.97","1,307","1,307","$323,557,806.05","$284,444,954.67"
"2006","5000","SECURITIES AND EXCHANGE COMMISSION","5000","SECURITIES AND EXCHANGE COMMISSION","$116,612,350.76","670","670","$254,379,937.29","$143,330,459.29"
"2006","5920","NATIONAL ENDOWMENT FOR THE ARTS","5920","NATIONAL ENDOWMENT FOR THE ARTS","$1,720,609.36","53","53","$5,718,593.46","$3,173,384.78"
"2006","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","$4,748,284.00","93","93","$4,748,284.00","$4,748,284.00"
"2006","6000","RAILROAD RETIREMENT BOARD","6000","RAILROAD RETIREMENT BOARD","$11,498,516.77","507","507","$11,498,517.17","$11,498,517.17"
"2006","6100","CONSUMER PRODUCT SAFETY COMMISSION","6100","CONSUMER PRODUCT SAFETY COMMISSION","$10,622,154.40","737","737","$13,406,486.58","$9,471,126.27"
"2006","6300","NATIONAL LABOR RELATIONS BOARD","6300","NATIONAL LABOR RELATIONS BOARD","$19,482,000.85","430","426","$19,483,045.87","$19,482,045.85"
"2006","6500","FEDERAL MARITIME COMMISSION","6500","FEDERAL MARITIME COMMISSION","$787,513.05","100","100","$787,513.05","$787,513.05"
"2006","6800","ENVIRONMENTAL PROTECTION AGENCY","6800","ENVIRONMENTAL PROTECTION AGENCY","$1,618,232,505.90","24,777","24,775","$5,127,811,799.97","$1,891,117,252.24"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6901","OFFICE OF THE SECRETARY","$527,143,296.26","2,229","2,223","$839,271,399.49","$507,087,527.91"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6920","FEDERAL AVIATION ADMINISTRATION","$753,984,649.39","647","647","$5,705,541,303.44","$417,152,156.48"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6925","FEDERAL HIGHWAY ADMINISTRATION","$567,174,930.73","3,088","3,069","$1,704,624,350.43","$558,451,117.92"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6930","FEDERAL RAILROAD ADMINISTRATION","$42,559,307.72","1,058","1,058","$80,066,558.75","$41,300,275.22"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6938","MARITIME ADMINISTRATION","$337,456,861.51","3,488","3,488","$665,369,199.34","$403,424,421.06"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6940","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","$109,072,972.90","889","889","$316,405,521.21","$118,115,269.71"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6947","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","$2,725,283.87","682","677","$2,938,367.26","$2,737,157.33"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6953","FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION","$52,854,585.35","294","294","$98,860,799.05","$56,367,353.80"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6955","FEDERAL TRANSIT ADMINISTRATION","$211,683,020.03","247","239","$260,273,080.99","$229,129,081.24"
"2006","6900","TRANSPORTATION, DEPARTMENT OF","6957","PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATON","$25,105,102.35","325","325","$29,528,436.52","$23,781,414.87"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7001","OFFICE OF PROCUREMENT OPERATIONS","$1,110,928,596.66","2,695","2,680","$1,893,687,925.69","$1,065,901,077.42"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7003","U.S. CITIZENSHIP AND IMMIGRATION SERVICES","$475,552,117.26","2,757","2,755","$1,026,260,708.94","$474,778,524.04"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7008","U.S. COAST GUARD","$2,270,435,322.17","39,026","38,944","$13,368,902,550.88","$7,585,009,526.57"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7009","U.S. SECRET SERVICE","$111,090,230.35","1,934","1,924","$169,613,627.02","$108,498,897.35"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7012","U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT","$1,596,305,382.19","8,124","8,052","$3,064,350,070.28","$1,694,940,198.34"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7013","TRANSPORTATION SECURITY ADMINISTRATION","$1,632,921,028.53","2,594","2,594","$13,838,769,528.40","$3,118,013,574.38"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7014","U.S. CUSTOMS AND BORDER PROTECTION","$1,851,886,291.50","7,287","7,154","$76,799,164,668.58","$49,450,598,326.10"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7015","FEDERAL LAW ENFORCEMENT TRAINING CENTER","$361,239,114.04","2,932","2,871","$969,751,243.45","$518,624,449.59"
"2006","7000","HOMELAND SECURITY, DEPARTMENT OF","7022","FEDERAL EMERGENCY MANAGEMENT AGENCY","$7,085,427,045.68","12,287","12,156","$23,779,914,528.17","$10,497,417,912.90"
"2006","7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","$3,120,422,131.83","6,259","6,259","$41,697,242,787.24","$15,356,340,966.94"
"2006","7300","SMALL BUSINESS ADMINISTRATION","7300","SMALL BUSINESS ADMINISTRATION","$80,824,538.04","989","989","$82,909,757.72","$76,591,982.04"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7505","OFFICE OF ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT","$1,535,064,203.40","38","38","$2,305,104,506.54","$2,039,315,794.70"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7505","OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","$265,232,389.00","5","5","$533,803,441.00","$533,803,441.00"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7520","PUBLIC HEALTH SERVICE","$31,253,014.20","5,718","5,604","$34,267,924.29","$26,869,747.86"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7522","SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION","$339,812,872.00","571","571","$216,597,308.00","$322,672,366.00"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7523","CENTERS FOR DISEASE CONTROL AND PREVENTION","$3,126,630,730.16","8,712","8,712","$85,035,347,560.65","$38,873,545,310.75"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7524","FOOD AND DRUG ADMINISTRATION","$323,023,926.53","5,764","5,756","$565,967,111.99","$312,619,312.35"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7526","HEALTH RESOURCES AND SERVICES ADMINISTRATION","$135,243,238.43","2,104","2,101","$155,711,243.28","$128,951,851.85"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7527","INDIAN HEALTH SERVICE","$432,260,147.38","16,810","16,598","$583,606,989.61","$474,898,995.07"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7528","AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","$163,835,872.13","467","467","$171,915,210.15","$136,075,377.59"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7529","NATIONAL INSTITUTES OF HEALTH","$4,007,123,310.54","30,785","28,056","$6,648,441,026,769.99","$53,060,529,057.06"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7530","CENTERS FOR MEDICARE AND MEDICAID SERVICES","$1,367,875,045.62","2,223","2,165","$15,868,858,380.37","$7,926,048,417.98"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7555","PROGRAM SUPPORT CENTER","$162,241.00","6","6","$126,362.50","$24,761.00"
"2006","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7570","OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA)","$962,029,636.95","4,869","4,862","$1,213,147,462.46","$1,037,546,531.15"
"2006","8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","$12,975,835,709.65","28,139","27,036","$16,514,469,165.15","$14,950,352,848.28"
"2006","8600","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8600","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","$1,084,984,552.62","3,990","3,990","$1,481,436,924.94","$1,117,198,191.74"
"2006","8600","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8656","OFFICE OF FEDERAL HOUSING ENTERPRISE OVERSIGHT","$21,911,243.62","265","265","$84,561,002.84","$38,513,390.72"
"2006","8800","NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","8800","NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","$173,235,467.61","1,355","1,355","$230,502,185.92","$237,916,186.36"
"2006","8900","ENERGY, DEPARTMENT OF","8900","ENERGY, DEPARTMENT OF","$22,948,865,246.97","11,244","11,240","$61,558,638,809.90","$36,507,727,099.49"
"2006","8900","ENERGY, DEPARTMENT OF","8960","FEDERAL ENERGY REGULATORY COMMISSION","$13,574,998.43","280","280","$50,797,402.52","$29,459,151.16"
"2006","9000","SELECTIVE SERVICE SYSTEM","9000","SELECTIVE SERVICE SYSTEM","$2,535,670.32","279","268","$2,535,670.32","$2,535,670.32"
"2006","9100","EDUCATION, DEPARTMENT OF","9100","EDUCATION, DEPARTMENT OF","$1,417,067,813.39","4,840","4,840","$2,567,311,220.69","$2,577,149,317.71"
"2006","9100","EDUCATION, DEPARTMENT OF","9121","OFFICE OF BILINGUAL EDUCATION AND MINORITY LANGUAGES AFFAIRS","($656.48)","1","1","($656.48)","($656.48)"
"2006","9502","NATIONAL CAPITAL PLANNING COMMISSION","9502","NATIONAL CAPITAL PLANNING COMMISSION","$1,249,073.69","49","47","$1,249,073.69","$1,249,073.69"
"2006","9506","FEDERAL ELECTION COMMISSION","9506","FEDERAL ELECTION COMMISSION","$5,255,044.08","750","750","$6,334,581.09","$5,550,720.33"
"2006","9507","COMMODITY FUTURES TRADING COMMISSION","9507","COMMODITY FUTURES TRADING COMMISSION","$20,593,871.77","272","272","$24,560,089.25","$22,324,432.88"
