Competition

Report Filter:
{New Com Report} (ID) = "1" And {Date Signed} (ID) Between 10/1/2019 and 9/30/2020

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"MERIT SYSTEMS PROTECTION BOARD","4100","226","$3,111,703.67","86","38.0531%","$2,194,556.60","70.5259%","140","61.9469%","$917,147.07","29.4741%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION","9504","187","$3,209,172.16","0","0.0000%","$0.00","0.0000%","187","100.0000%","$3,209,172.16","100.0000%","0","0.0000%","$0.00","0.0000%"
"DEFENSE NUCLEAR FACILITIES SAFETY BOARD","9516","19","$3,413,415.30","8","42.1053%","$2,423,007.76","70.9849%","11","57.8947%","$990,407.54","29.0151%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ENDOWMENT FOR THE ARTS","5920","70","$3,554,767.76","48","68.5714%","$2,695,101.62","75.8165%","22","31.4286%","$859,666.14","24.1835%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MEDIATION AND CONCILIATION SERVICE","9300","129","$4,247,559.08","70","54.2636%","$1,821,899.32","42.8929%","59","45.7364%","$2,425,659.76","57.1071%","0","0.0000%","$0.00","0.0000%"
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","5300","53","$5,533,312.32","40","75.4717%","$5,212,597.32","94.2039%","13","24.5283%","$320,715.00","5.7961%","0","0.0000%","$0.00","0.0000%"
"SELECTIVE SERVICE SYSTEM","9000","131","$6,010,844.66","110","83.9695%","$5,718,505.51","95.1365%","21","16.0305%","$292,339.15","4.8635%","0","0.0000%","$0.00","0.0000%"
"OVERSEAS PRIVATE INVESTMENT CORPORATION","7100","177","$7,044,355.31","118","66.6667%","$5,648,972.31","80.1915%","38","21.4689%","$369,383.00","5.2437%","0","0.0000%","$0.00","0.0000%"
"THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY","9511","23","$7,162,960.09","23","100.0000%","$7,162,960.09","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","74","$8,692,562.76","57","77.0270%","$6,473,077.87","74.4669%","17","22.9730%","$2,219,484.89","25.5331%","0","0.0000%","$0.00","0.0000%"
"INTERNATIONAL TRADE COMMISSION","3400","210","$10,405,642.92","99","47.1429%","$6,734,694.19","64.7216%","111","52.8571%","$3,670,948.73","35.2784%","0","0.0000%","$0.00","0.0000%"
"NATIONAL TRANSPORTATION SAFETY BOARD","9508","204","$10,464,975.55","131","64.2157%","$8,423,312.09","80.4905%","73","35.7843%","$2,041,663.46","19.5095%","0","0.0000%","$0.00","0.0000%"
"FEDERAL ELECTION COMMISSION","9506","149","$11,087,155.44","78","52.3490%","$5,863,696.82","52.8873%","71","47.6510%","$5,223,458.62","47.1127%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","259","$25,672,064.43","206","79.5367%","$20,340,374.84","79.2316%","53","20.4633%","$5,331,689.59","20.7684%","0","0.0000%","$0.00","0.0000%"
"NATIONAL LABOR RELATIONS BOARD","6300","230","$28,250,715.74","166","72.1739%","$11,517,563.20","40.7691%","64","27.8261%","$16,733,152.54","59.2309%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CORPORATION","7700","367","$30,859,681.40","281","76.5668%","$24,666,430.33","79.9309%","86","23.4332%","$6,193,251.07","20.0691%","0","0.0000%","$0.00","0.0000%"
"INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","600","$31,260,462.43","423","70.5000%","$22,938,264.57","73.3779%","177","29.5000%","$8,322,197.86","26.6221%","0","0.0000%","$0.00","0.0000%"
"CONSUMER PRODUCT SAFETY COMMISSION","6100","646","$34,205,300.17","198","30.6502%","$13,116,297.20","38.3458%","448","69.3498%","$21,089,002.97","61.6542%","0","0.0000%","$0.00","0.0000%"
"COURT SERVICES AND OFFENDER SUPERVISION AGENCY","9594","424","$40,094,416.08","310","73.1132%","$28,409,436.80","70.8563%","114","26.8868%","$11,684,979.28","29.1437%","0","0.0000%","$0.00","0.0000%"
"RAILROAD RETIREMENT BOARD","6000","524","$42,211,792.84","419","79.9618%","$39,327,150.26","93.1663%","105","20.0382%","$2,884,642.58","6.8337%","0","0.0000%","$0.00","0.0000%"
"EXPORT-IMPORT BANK OF THE U.S.","8300","409","$45,351,088.43","258","63.0807%","$37,313,654.25","82.2773%","151","36.9193%","$8,037,434.18","17.7227%","0","0.0000%","$0.00","0.0000%"
"EXECUTIVE OFFICE OF THE PRESIDENT","1100","586","$45,436,670.10","290","49.4881%","$15,082,643.35","33.1949%","296","50.5119%","$30,354,026.75","66.8051%","0","0.0000%","$0.00","0.0000%"
"NATIONAL GALLERY OF ART","3355","521","$48,335,889.60","343","65.8349%","$42,123,716.65","87.1479%","178","34.1651%","$6,212,172.95","12.8521%","0","0.0000%","$0.00","0.0000%"
"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","884","$64,266,033.19","356","40.2715%","$24,280,139.16","37.7807%","528","59.7285%","$39,985,894.03","62.2193%","0","0.0000%","$0.00","0.0000%"
"COMMODITY FUTURES TRADING COMMISSION","9507","567","$66,164,167.53","339","59.7884%","$48,090,266.93","72.6832%","228","40.2116%","$18,073,900.60","27.3168%","0","0.0000%","$0.00","0.0000%"
"CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","9577","403","$70,276,775.50","275","68.2382%","$38,477,337.18","54.7511%","128","31.7618%","$31,799,438.32","45.2489%","0","0.0000%","$0.00","0.0000%"
"GOVERNMENT ACCOUNTABILITY OFFICE","0500","500","$83,631,241.82","410","82.0000%","$78,326,041.81","93.6564%","90","18.0000%","$5,305,200.01","6.3436%","0","0.0000%","$0.00","0.0000%"
"FEDERAL TRADE COMMISSION","2900","647","$83,748,675.81","298","46.0587%","$61,450,466.15","73.3749%","344","53.1685%","$22,341,715.73","26.6771%","5","0.7728%","($43,506.07)","(0.0519%)"
"MILLENNIUM CHALLENGE CORPORATION","9543","712","$96,243,718.41","670","94.1011%","$92,120,348.12","95.7157%","42","5.8989%","$4,123,370.29","4.2843%","0","0.0000%","$0.00","0.0000%"
"CONSUMER FINANCIAL PROTECTION BUREAU","955F","739","$98,635,262.24","557","75.3721%","$71,947,499.56","72.9430%","182","24.6279%","$26,687,762.68","27.0570%","0","0.0000%","$0.00","0.0000%"
"PEACE CORPS","1145","19,550","$126,545,299.94","19,338","98.9156%","$116,170,113.68","91.8012%","212","1.0844%","$10,375,186.26","8.1988%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","8800","1,237","$145,279,597.36","822","66.4511%","$102,484,583.18","70.5430%","415","33.5489%","$42,795,014.18","29.4570%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG","9568","4,919","$160,719,537.30","4,242","86.2370%","$90,937,093.38","56.5812%","677","13.7630%","$69,782,443.92","43.4188%","0","0.0000%","$0.00","0.0000%"
"NUCLEAR REGULATORY COMMISSION","3100","1,754","$176,376,779.39","992","56.5564%","$122,916,619.52","69.6898%","762","43.4436%","$53,460,159.87","30.3102%","0","0.0000%","$0.00","0.0000%"
"FEDERAL COMMUNICATIONS COMMISSION","2700","764","$195,120,995.69","513","67.1466%","$127,929,497.61","65.5642%","251","32.8534%","$67,191,498.08","34.4358%","0","0.0000%","$0.00","0.0000%"
"OFFICE OF PERSONNEL MANAGEMENT","2400","1,696","$357,887,974.64","1,101","64.9175%","$256,159,211.12","71.5752%","593","34.9646%","$101,868,404.42","28.4638%","2","0.1179%","($139,640.90)","(0.0390%)"
"PENSION BENEFIT GUARANTY CORPORATION","1665","956","$359,226,653.43","753","78.7657%","$333,272,588.52","92.7750%","203","21.2343%","$25,954,064.91","7.2250%","0","0.0000%","$0.00","0.0000%"
"SMITHSONIAN INSTITUTION","3300","3,624","$407,370,770.65","1,116","30.7947%","$276,711,957.91","67.9263%","2,505","69.1225%","$130,691,298.85","32.0817%","3","0.0828%","($32,486.11)","(0.0080%)"
"NATIONAL SCIENCE FOUNDATION","4900","770","$503,324,517.29","486","63.1169%","$454,200,645.61","90.2401%","284","36.8831%","$49,123,871.68","9.7599%","0","0.0000%","$0.00","0.0000%"
"SECURITIES AND EXCHANGE COMMISSION","5000","1,835","$521,537,777.09","1,079","58.8011%","$394,440,573.08","75.6303%","756","41.1989%","$127,097,204.01","24.3697%","0","0.0000%","$0.00","0.0000%"
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8600","1,480","$728,506,933.27","717","48.4459%","($144,692,071.93)","(19.8615%)","759","51.2838%","$873,207,613.53","119.8626%","4","0.2703%","($8,608.33)","(0.0012%)"
"ENVIRONMENTAL PROTECTION AGENCY","6800","13,423","$1,161,738,097.45","11,041","82.2543%","$982,746,188.11","84.5927%","2,241","16.6952%","$185,088,689.74","15.9320%","141","1.0504%","($6,096,780.40)","(0.5248%)"
"SMALL BUSINESS ADMINISTRATION","7300","1,323","$1,525,603,201.28","927","70.0680%","$1,163,924,134.52","76.2927%","396","29.9320%","$361,679,066.76","23.7073%","0","0.0000%","$0.00","0.0000%"
"SOCIAL SECURITY ADMINISTRATION","2800","11,189","$2,127,489,591.31","9,535","85.2176%","$1,721,971,358.54","80.9391%","1,654","14.7824%","$405,518,232.77","19.0609%","0","0.0000%","$0.00","0.0000%"
"LABOR, DEPARTMENT OF","1600","6,249","$2,187,113,472.39","4,532","72.5236%","$1,884,581,843.29","86.1675%","1,630","26.0842%","$283,018,415.23","12.9403%","0","0.0000%","$0.00","0.0000%"
"EDUCATION, DEPARTMENT OF","9100","2,700","$2,977,803,342.71","2,144","79.4074%","$2,767,568,720.57","92.9399%","555","20.5556%","$210,620,714.05","7.0730%","1","0.0370%","($386,091.91)","(0.0130%)"
"INTERIOR, DEPARTMENT OF THE","1400","52,028","$4,510,105,521.74","40,715","78.2559%","$3,647,756,111.98","80.8796%","11,182","21.4923%","$862,707,960.27","19.1283%","129","0.2479%","($358,356.67)","(0.0079%)"
"COMMERCE, DEPARTMENT OF","1300","21,420","$5,813,358,188.09","15,310","71.4753%","$4,428,956,209.33","76.1858%","5,992","27.9739%","$1,371,541,141.99","23.5929%","113","0.5275%","$12,256,830.62","0.2108%"
"AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","9,339","$6,146,081,704.16","7,728","82.7498%","$5,622,813,879.33","91.4862%","1,576","16.8755%","$519,693,493.19","8.4557%","21","0.2249%","$13,415,725.54","0.2183%"
"TREASURY, DEPARTMENT OF THE","2000","18,734","$6,568,252,032.26","12,059","64.3696%","$5,674,967,690.87","86.4000%","6,665","35.5770%","$893,316,410.89","13.6005%","9","0.0480%","($32,069.50)","(0.0005%)"
"TRANSPORTATION, DEPARTMENT OF","6900","30,364","$7,781,301,702.53","22,469","73.9988%","$6,500,861,333.59","83.5447%","7,863","25.8958%","$1,279,204,364.47","16.4395%","28","0.0922%","$1,926,988.57","0.0248%"
"JUSTICE, DEPARTMENT OF","1500","95,651","$8,877,454,664.88","63,774","66.6736%","$6,448,982,510.87","72.6445%","31,761","33.2051%","$2,417,437,324.59","27.2312%","114","0.1192%","$11,026,912.75","0.1242%"
"STATE, DEPARTMENT OF","1900","54,824","$9,235,725,470.31","37,628","68.6342%","$6,779,692,289.74","73.4073%","16,921","30.8642%","$2,187,993,055.60","23.6905%","272","0.4961%","$268,186,379.11","2.9038%"
"AGRICULTURE, DEPARTMENT OF","1200","64,016","$12,033,264,291.14","51,244","80.0487%","$10,510,671,538.25","87.3468%","12,768","19.9450%","$1,505,359,738.32","12.5100%","4","0.0062%","$17,233,014.57","0.1432%"
"GENERAL SERVICES ADMINISTRATION","4700","1,519,438","$17,619,644,873.58","1,107,205","72.8694%","$14,882,088,180.30","84.4630%","408,975","26.9162%","$2,731,226,628.57","15.5010%","95","0.0063%","$6,024,053.92","0.0342%"
"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","8000","25,231","$19,013,322,697.11","17,713","70.2033%","$13,120,617,700.02","69.0075%","7,513","29.7769%","$5,892,705,286.21","30.9925%","5","0.0198%","($289.12)","(0.0000%)"
"HOMELAND SECURITY, DEPARTMENT OF","7000","65,348","$19,637,882,951.09","46,061","70.4857%","$14,443,133,569.99","73.5473%","18,938","28.9802%","$5,176,593,199.64","26.3602%","347","0.5310%","$24,750,568.57","0.1260%"
"ENERGY, DEPARTMENT OF","8900","10,932","$35,978,717,526.43","7,206","65.9166%","$34,846,208,678.21","96.8523%","3,719","34.0194%","$1,131,383,200.66","3.1446%","7","0.0640%","$1,125,647.56","0.0031%"
"VETERANS AFFAIRS, DEPARTMENT OF","3600","4,690,794","$37,005,125,749.25","4,231,510","90.2088%","$28,827,028,361.45","77.9001%","459,190","9.7892%","$8,168,103,987.29","22.0729%","15","0.0003%","$965.57","0.0000%"
"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7500","77,359","$40,589,502,454.95","52,419","67.7607%","$29,430,921,603.99","72.5087%","24,758","32.0040%","$11,155,956,138.98","27.4848%","167","0.2159%","$2,884,420.62","0.0071%"
"DEPT OF DEFENSE","9700","48,844,945","$422,511,258,343.39","48,358,860","99.0048%","$210,797,321,222.19","49.8915%","486,066","0.9951%","$211,711,671,152.53","50.1079%","8","0.0000%","$320,372.86","0.0001%"
"Total","","55,664,958","$668,013,904,456.26","54,138,205","97.2572%","$407,351,567,190.18","60.9795%","1,521,854","2.7340%","$260,294,420,958.33","38.9654%","1,490","0.0027%","$352,054,051.25","0.0527%"
