Competition

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","8,762","$5,565,984,650.76","7,178","81.9219%","$5,088,791,167.71","91.4266%","1,564","17.8498%","$464,814,820.36","8.3510%","13","0.1484%","$12,641,010.72","0.2271%"
"TRANSPORTATION, DEPARTMENT OF","6900","30,012","$7,870,229,902.64","22,473","74.8800%","$6,574,662,284.70","83.5384%","7,529","25.0866%","$1,293,974,366.54","16.4414%","10","0.0333%","$1,593,251.40","0.0202%"
"AGRICULTURE, DEPARTMENT OF","1200","49,199","$9,227,757,887.05","38,911","79.0890%","$8,176,654,436.78","88.6093%","10,284","20.9029%","$1,027,908,747.27","11.1393%","4","0.0081%","$23,194,703.00","0.2514%"
"TREASURY, DEPARTMENT OF THE","2000","19,548","$9,563,916,917.87","12,877","65.8737%","$8,272,955,131.77","86.5017%","6,671","34.1263%","$1,290,961,786.10","13.4983%","0","0.0000%","$0.00","0.0000%"
"JUSTICE, DEPARTMENT OF","1500","92,648","$9,573,383,325.67","66,251","71.5083%","$7,341,612,549.10","76.6878%","26,322","28.4108%","$2,207,803,311.42","23.0619%","73","0.0788%","$23,929,002.94","0.2500%"
"STATE, DEPARTMENT OF","1900","55,906","$10,338,116,990.05","39,872","71.3197%","$7,202,248,913.90","69.6669%","15,770","28.2081%","$2,846,151,728.21","27.5307%","261","0.4669%","$289,401,265.75","2.7994%"
"GENERAL SERVICES ADMINISTRATION","4700","1,339,447","$17,883,985,112.75","895,661","66.8680%","$14,923,318,315.11","83.4452%","440,885","32.9154%","$2,957,085,434.23","16.5348%","52","0.0039%","$1,813,483.93","0.0101%"
"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","8000","25,033","$19,336,709,130.64","17,392","69.4763%","$13,468,130,892.78","69.6506%","7,641","30.5237%","$5,868,578,237.86","30.3494%","0","0.0000%","$0.00","0.0000%"
"HOMELAND SECURITY, DEPARTMENT OF","7000","59,601","$19,782,137,548.25","42,618","71.5055%","$15,069,863,596.05","76.1791%","16,648","27.9324%","$4,620,604,473.02","23.3575%","329","0.5520%","$91,530,030.73","0.4627%"
"VETERANS AFFAIRS, DEPARTMENT OF","3600","1,834,472","$34,440,884,728.37","1,654,520","90.1905%","$27,469,077,067.24","79.7572%","179,784","9.8003%","$6,942,836,232.28","20.1587%","4","0.0002%","($88,591.21)","(0.0003%)"
"ENERGY, DEPARTMENT OF","8900","10,742","$38,558,745,871.30","7,204","67.0639%","$37,220,922,250.11","96.5304%","3,534","32.8989%","$1,337,473,868.89","3.4687%","4","0.0372%","$349,752.30","0.0009%"
"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7500","71,046","$38,855,809,565.18","46,622","65.6223%","$25,860,889,469.21","66.5560%","24,383","34.3200%","$13,002,829,568.48","33.4643%","31","0.0436%","$125,098.57","0.0003%"
"DEPT OF DEFENSE","9700","64,873,080","$385,776,394,713.04","64,432,884","99.3215%","$199,492,399,869.75","51.7119%","440,179","0.6785%","$186,281,151,435.68","48.2873%","7","0.0000%","$15,817.24","0.0000%"
"Total","","68,608,009","$630,633,652,214.29","67,388,218","98.2221%","$394,091,462,281.36","62.4913%","1,215,687","1.7719%","$236,072,804,294.02","37.4342%","1,045","0.0015%","$443,377,838.89","0.0703%"
