fiscal_year	Customer	SubCustomer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1990	Defense	Air Force	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	301	1166	NULL	2602235000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	6	6	NULL	1370000.0000
1990	Defense	Air Force	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	67	67	NULL	1527115000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	8	8	NULL	-1981000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	127	136	NULL	18055000.0000
1990	Defense	Air Force	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	1	1	10	13	NULL	875000.0000
1990	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	243	243	NULL	897931000.0000
1990	Defense	Army	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	8	8	NULL	-6435000.0000
1990	Defense	Army	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	251	251	NULL	755231000.0000
1990	Defense	Army	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	68	68	NULL	1421927000.0000
1990	Defense	Army	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	7	7	NULL	334000.0000
1990	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	6	6	NULL	-431000.0000
1990	Defense	Army	S	Always Small Vendor	PID	NULL	NULL	1	1	1	18	18	NULL	24974000.0000
1990	Defense	DLA	L	Large Vendor	PID	NULL	NULL	1	1	1	53	53	NULL	2184080000.0000
1990	Defense	DLA	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	16	16	NULL	-995000.0000
1990	Defense	DLA	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	399	399	NULL	212659000.0000
1990	Defense	DLA	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	186	428	NULL	1026864000.0000
1990	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	0	1	1	8	8	NULL	32158000.0000
1990	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	1	1	1	40	40	NULL	1244457000.0000
1990	Defense	DLA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	2	2	NULL	-1416000.0000
1990	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	2	2	NULL	-171000.0000
1990	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	109	115	NULL	25932000.0000
1990	Defense	DLA	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	1	1	8	11	NULL	3827000.0000
1990	Defense	DLA	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	2	NULL	1058000.0000
1990	Defense	DLA	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	53000.0000
1990	Defense	Navy	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	6691	6691	NULL	3222013316.0000
1990	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	258	258	NULL	515679958.0000
1990	Defense	Navy	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	5	5	NULL	3936000.0000
1990	Defense	Navy	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	5	5	NULL	-5382000.0000
1990	Defense	Navy	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	279	279	NULL	57285000.0000
1990	Defense	Navy	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	334	1460	NULL	2909304708.0000
1990	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	473	473	NULL	1023344184.0000
1990	Defense	Navy	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	27	48	NULL	97855000.0000
1990	Defense	Other DoD	NULL	NULL	PID	NULL	NULL	NULL	NULL	NULL	2	2	NULL	236000.0000
1990	Defense	Other DoD	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	36	36	NULL	261903000.0000
1990	Defense	Other DoD	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	28	31	NULL	38379000.0000
1990	Defense	Other DoD	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	4	6	NULL	6293000.0000
1990	Defense	Other DoD	S	Always Small Vendor	PID	NULL	NULL	1	1	1	7	7	NULL	17183000.0000
1991	Defense	Air Force	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	9190484000.0000
1991	Defense	Air Force	L	Large Vendor	PID	NULL	NULL	1	1	1	73	73	NULL	17387845000.0000
1991	Defense	Air Force	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	123	131	NULL	13824000.0000
1991	Defense	Air Force	M	Medium Vendor	PID	NULL	NULL	1	1	1	77	77	NULL	2223360000.0000
1991	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	144	172	NULL	485979000.0000
1991	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	6	6	NULL	-1377000.0000
1991	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	3	3	NULL	-96000.0000
1991	Defense	Army	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	233	284	NULL	841224000.0000
1991	Defense	Army	M	Medium Vendor	PID	NULL	NULL	0	1	1	18	18	NULL	2836000.0000
1991	Defense	Army	M	Medium Vendor	PID	NULL	NULL	1	1	1	82	82	NULL	1860609000.0000
1991	Defense	Army	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	158	195	NULL	681133000.0000
1991	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	219	237	NULL	35060000.0000
1991	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	155	182	NULL	275587000.0000
1991	Defense	Army	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	30	50	NULL	52129000.0000
1991	Defense	Army	S	Always Small Vendor	PID	NULL	NULL	1	1	1	35	35	NULL	111687000.0000
1991	Defense	DLA	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	3	3	NULL	128000.0000
1991	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	1	1	1	30	30	NULL	1394212000.0000
1991	Defense	DLA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-28000.0000
1991	Defense	DLA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	107	107	NULL	50736000.0000
1991	Defense	DLA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	71	71	NULL	224096000.0000
1991	Defense	DLA	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	218	582	NULL	855935000.0000
1991	Defense	DLA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	17	17	NULL	171000.0000
1991	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	7	7	NULL	-1501000.0000
1991	Defense	Navy	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	6866	6866	NULL	4610257417.0000
1991	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	3	3	NULL	-26000.0000
1991	Defense	Navy	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	7	7	NULL	110678.0000
1991	Defense	Navy	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	357	1445	2	3010518051.0000
1991	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	544	544	NULL	1039601685.0000
1991	Defense	Navy	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	43	73	NULL	134718963.0000
1991	Defense	Navy	S	Always Small Vendor	PID	NULL	NULL	1	1	1	31	31	NULL	95547115.0000
1991	Defense	Other DoD	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	1	NULL	25000.0000
1991	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	761000.0000
1991	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	8	9	NULL	1062000.0000
1991	Defense	Other DoD	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	4	4	NULL	591000.0000
1991	Defense	Other DoD	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	78	78	NULL	90078000.0000
1991	Defense	Other DoD	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	21	25	NULL	37768000.0000
1991	Defense	Other DoD	S	Always Small Vendor	PID	NULL	NULL	1	1	1	14	14	NULL	103965000.0000
1992	Defense	Air Force	L	Large Vendor	PID	NULL	NULL	1	1	1	84	84	NULL	12081955435.0000
1992	Defense	Air Force	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	157	157	NULL	16106025.0000
1992	Defense	Air Force	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	66	85	NULL	10097333.0000
1992	Defense	Air Force	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	83	83	NULL	12275851.0000
1992	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	136	164	NULL	374089473.0000
1992	Defense	Air Force	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	33	43	NULL	4908295.0000
1992	Defense	Air Force	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	2	2	NULL	3506924.0000
1992	Defense	Air Force	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	351	351	NULL	485789010.0000
1992	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	1	6	6	NULL	79230.0000
1992	Defense	Air Force	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	49	81	NULL	127950817.0000
1992	Defense	Air Force	S	Always Small Vendor	PID	NULL	NULL	0	0	1	1	1	NULL	26152.0000
1992	Defense	Army	B	Big Five	PID	NULL	NULL	1	1	1	6	6	NULL	2616260659.0000
1992	Defense	Army	L	Large Vendor	PID	NULL	NULL	1	1	1	85	85	NULL	8319876892.0000
1992	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	0	1	1	2	2	NULL	397004.0000
1992	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	8	8	NULL	280148.0000
1992	Defense	Army	M	Medium Vendor	PID	NULL	NULL	0	1	1	21	21	NULL	3481339.0000
1992	Defense	Army	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	150	189	NULL	451222957.0000
1992	Defense	Army	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	101	101	NULL	2728048682.0000
1992	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	327	345	NULL	45717832.0000
1992	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	224	264	NULL	487783232.0000
1992	Defense	Army	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	0	0	1	2	NULL	-463090.0000
1992	Defense	DLA	L	Large Vendor	PID	NULL	NULL	1	1	1	66	66	NULL	1757707855.0000
1992	Defense	DLA	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	1	NULL	25617.0000
1992	Defense	DLA	M	Medium Vendor	Duns	NULL	NULL	1	1	1	2	2	NULL	425641.0000
1992	Defense	DLA	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	67	67	NULL	148121198.0000
1992	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	1	1	1	29	29	NULL	392810117.0000
1992	Defense	DLA	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	41	45	NULL	13304194.0000
1992	Defense	DLA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	14	14	NULL	172179.0000
1992	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	5	5	NULL	-1352717.0000
1992	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	238	246	NULL	46067399.0000
1992	Defense	DLA	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	0	0	1	2	NULL	0.0000
1992	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	0	0	0	1	1	NULL	1002387.0000
1992	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	0	1	1	8	8	NULL	1024059.0000
1992	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	3	3	NULL	78141.0000
1992	Defense	Navy	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	7	7	NULL	26342.0000
1992	Defense	Navy	M	Medium Vendor	PID	NULL	NULL	0	1	1	18	18	NULL	4321925.0000
1992	Defense	Navy	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	65	123	NULL	18545467.0000
1992	Defense	Navy	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	10	10	NULL	2421138.0000
1992	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	14	14	NULL	376109.0000
1992	Defense	Navy	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	1	12	12	NULL	-247377.0000
1992	Defense	Other DoD	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	880	878	NULL	1277800707.0000
1992	Defense	Other DoD	L	Large Vendor	PID	NULL	NULL	1	1	1	56	56	NULL	1849940238.0000
1992	Defense	Other DoD	M	Medium Vendor	PID	NULL	NULL	1	1	1	48	48	NULL	953297575.0000
1992	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	13	13	NULL	1490761.0000
1992	Defense	Other DoD	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	2	2	NULL	396000.0000
1992	Defense	Other DoD	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	2	2	NULL	-59160.0000
1992	Defense	Other DoD	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	16	24	NULL	31507938.0000
1993	Defense	Air Force	NULL	NULL	PID	NULL	NULL	NULL	NULL	NULL	8	8	NULL	30593553.0000
1993	Defense	Air Force	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	1	NULL	5655716.0000
1993	Defense	Air Force	M	Medium Vendor	Duns	NULL	NULL	1	1	1	13	13	NULL	14989117.0000
1993	Defense	Air Force	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	6	6	NULL	45283.0000
1993	Defense	Air Force	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	2	2	NULL	51800.0000
1993	Defense	Air Force	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	192	240	NULL	467137535.0000
1993	Defense	Air Force	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	342	814	NULL	1421400053.0000
1993	Defense	Air Force	M	Medium Vendor	PID	NULL	NULL	0	0	1	1	1	NULL	27300.0000
1993	Defense	Air Force	N	Sometimes Small Vendor	Duns	NULL	NULL	0	1	1	1	1	NULL	3298262.0000
1993	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	51	61	NULL	8634769.0000
1993	Defense	Air Force	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	100	100	NULL	2764838959.0000
1993	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	151	162	NULL	19956233.0000
1993	Defense	Air Force	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	190	282	NULL	332890023.0000
1993	Defense	Air Force	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	54	85	NULL	135719843.0000
1993	Defense	Army	NULL	NULL	PID	NULL	NULL	NULL	NULL	NULL	7	7	NULL	27192305.0000
1993	Defense	Army	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	3883129276.0000
1993	Defense	Army	L	Large Vendor	Duns	NULL	NULL	1	1	1	1	1	NULL	149124276.0000
1993	Defense	Army	L	Large Vendor	PID	NULL	NULL	1	1	1	86	86	NULL	8821934186.0000
1993	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	1	1	1	16	16	NULL	20551346.0000
1993	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	25	25	NULL	588292.0000
1993	Defense	Army	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	368	435	NULL	51602811.0000
1993	Defense	Army	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	455	1249	NULL	1393387123.0000
1993	Defense	Army	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	6	6	NULL	6649578.0000
1993	Defense	Army	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	56	86	NULL	9382575.0000
1993	Defense	Army	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	8	8	NULL	1075740.0000
1993	Defense	Army	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	55	55	NULL	54371953.0000
1993	Defense	Army	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	1	11	11	NULL	-196344.0000
1993	Defense	DLA	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	2572	2572	NULL	1302426700.0000
1993	Defense	DLA	L	Large Vendor	PID	NULL	NULL	0	1	1	7	7	NULL	5304946.0000
1993	Defense	DLA	M	Medium Vendor	Duns	NULL	NULL	0	0	1	1	1	NULL	39508.0000
1993	Defense	DLA	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	3	3	NULL	-218036.0000
1993	Defense	DLA	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	63	125	NULL	90781296.0000
1993	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	1	1	1	31	31	NULL	390407368.0000
1993	Defense	DLA	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	46	54	NULL	193100776.0000
1993	Defense	DLA	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	43	43	NULL	319159592.0000
1993	Defense	DLA	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	5	5	NULL	1394072.0000
1993	Defense	DLA	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	77	94	NULL	322456345.0000
1993	Defense	DLA	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	24	41	NULL	26720355.0000
1993	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	1	1	1	36	36	NULL	62840940.0000
1993	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	330	330	160	47317183.0000
1993	Defense	Navy	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	234	234	257	241762867.0000
1993	Defense	Navy	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	344	882	103	1304783314.0000
1993	Defense	Navy	M	Medium Vendor	PID	NULL	NULL	1	1	1	95	95	54	2351192620.0000
1993	Defense	Navy	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	39	39	8	9829821.0000
1993	Defense	Navy	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	66	66	40	147146483.0000
1993	Defense	Navy	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	184	282	64	698837474.0000
1993	Defense	Navy	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	114	114	107	4016845316.0000
1993	Defense	Navy	S	Always Small Vendor	Duns	NULL	NULL	0	0	0	3	3	NULL	8628022.0000
1993	Defense	Navy	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	120	120	NULL	48094957.0000
1993	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	543	543	369	61537147.0000
1993	Defense	Navy	S	Always Small Vendor	PID	NULL	NULL	1	1	1	43	43	7	87359964.0000
1993	Defense	Other DoD	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	40910876.0000
1993	Defense	Other DoD	L	Large Vendor	PID	NULL	NULL	1	1	1	53	53	NULL	1723032411.0000
1993	Defense	Other DoD	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	2	2	NULL	-1007596.0000
1993	Defense	Other DoD	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	27	30	NULL	2534454.0000
1993	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	10	11	NULL	487684.0000
1993	Defense	Other DoD	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	8	9	NULL	400220.0000
1993	Defense	Other DoD	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	7	7	NULL	5949490.0000
1993	Defense	Other DoD	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-210000.0000
1994	Defense	Air Force	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	904	904	4085	1206407577.0000
1994	Defense	Air Force	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	56	79	116	9398538.0000
1994	Defense	Air Force	M	Medium Vendor	PID	NULL	NULL	1	1	1	139	139	2380	2714210988.0000
1994	Defense	Air Force	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	155	202	1562	433821652.0000
1994	Defense	Air Force	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	119	119	130	714628.0000
1994	Defense	Air Force	S	Always Small Vendor	PID	NULL	NULL	1	1	1	50	50	271	92323607.0000
1994	Defense	Army	L	Large Vendor	PID	NULL	NULL	0	1	1	6	6	7	456002.0000
1994	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	1	1	1	1	1	32	19726407.0000
1994	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1316	1316	2103	161199482.0000
1994	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	974	974	4655	1867140509.0000
1994	Defense	Army	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	1	1	223	126662790.0000
1994	Defense	Army	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	91	91	2197	824940651.0000
1994	Defense	Army	S	Always Small Vendor	PID	NULL	NULL	0	1	1	11	11	15	1277142.0000
1994	Defense	DLA	B	Big Five	PID	NULL	NULL	1	1	1	5	5	135	11365024.0000
1994	Defense	DLA	M	Medium Vendor	PID	NULL	NULL	0	1	1	2	2	3	262957.0000
1994	Defense	DLA	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	43	47	334	49699796.0000
1994	Defense	DLA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	73	73	87	1347124.0000
1994	Defense	DLA	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	1	1	12	14	28	2426897.0000
1994	Defense	MDA	B	Big Five	PID	NULL	NULL	1	1	1	2	2	15	28567484.0000
1994	Defense	MDA	L	Large Vendor	PID	NULL	NULL	1	1	1	6	6	45	120782224.0000
1994	Defense	MDA	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	3	3	44	16230817.0000
1994	Defense	MilitaryHealth	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	8	8	123	108381515.0000
1994	Defense	MilitaryHealth	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	2	2	19	29751717.0000
1994	Defense	MilitaryHealth	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	1	100274.0000
1994	Defense	MilitaryHealth	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	3	3	6	587643.0000
1994	Defense	Navy	B	Big Five	PID	NULL	NULL	1	1	1	5	5	2834	4249497444.0000
1994	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	1	1	1	1	1	36	59689959.0000
