fiscal_year,Customer,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove2016constantOneMillionThreshold,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
1990,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,111,113,NULL,-28009000.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,5,6,NULL,-1189000.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,2381,2781,2,694758806.0000
1990,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,1496,3391,NULL,10371102158.0000
1990,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,NULL,-1137000.0000
1990,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,NULL,34000.0000
1990,Defense,M,Medium Vendor,PID,NULL,0,1,1,42,42,NULL,44643000.0000
1990,Defense,M,Medium Vendor,PID,NULL,1,1,1,139,139,NULL,11687636493.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,0,16,16,NULL,-16815000.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,1,1,NULL,-943000.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,819,1175,NULL,353998000.0000
1990,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1079,21657,NULL,24121728944.0000
1990,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,17,17,NULL,7868000.0000
1990,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,92,92,NULL,4825771734.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,102,102,NULL,-23008000.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,18,18,NULL,1127000.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,2472,2587,1,437331513.0000
1990,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,1127,1270,NULL,3076423162.0000
1990,Defense,S,Always Small Vendor,PID,NULL,0,0,0,1,1,NULL,0.0000
1990,Defense,S,Always Small Vendor,PID,NULL,0,1,1,22,22,NULL,5622000.0000
1990,Defense,S,Always Small Vendor,PID,NULL,1,1,1,48,48,NULL,848476000.0000
1991,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,15,15,NULL,230268453.0000
1991,Defense,B,Big Five,PID,NULL,1,1,1,6,6,NULL,18455984964.0000
1991,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,2,2,NULL,337699000.0000
1991,Defense,L,Large Vendor,PID,NULL,0,1,1,12,12,NULL,8190000.0000
1991,Defense,L,Large Vendor,PID,NULL,1,1,1,99,99,2,48042557264.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,24,24,NULL,-2543208.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,28,28,NULL,816678.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,1503,1822,NULL,340787173.0000
1991,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,1456,2978,NULL,10287007947.0000
1991,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,NULL,97000.0000
1991,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,NULL,26000.0000
1991,Defense,M,Medium Vendor,PID,NULL,0,1,1,35,35,NULL,9214000.0000
1991,Defense,M,Medium Vendor,PID,NULL,1,1,1,132,132,1,9165598454.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,0,3,5,NULL,-2072000.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,1,2,NULL,-1282000.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,512,749,NULL,282336781.0000
1991,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1039,24135,2,33233776485.0000
1991,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,15,15,NULL,7088603.0000
1991,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,118,118,NULL,9037006321.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,108,108,NULL,-95488380.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,76,76,NULL,-12552025.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,2953,3111,NULL,638044000.0000
1991,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,1610,1830,1,5113969873.0000
1991,Defense,S,Always Small Vendor,PID,NULL,0,1,1,41,41,NULL,53898346.0000
1991,Defense,S,Always Small Vendor,PID,NULL,1,1,1,70,70,NULL,1023764115.0000
1992,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,16,16,NULL,149340701.0000
1992,Defense,B,Big Five,PID,NULL,1,1,1,6,6,4,18797646629.0000
1992,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,3,3,NULL,609360462.0000
1992,Defense,L,Large Vendor,PID,NULL,0,1,1,13,13,NULL,6956883.0000
1992,Defense,L,Large Vendor,PID,NULL,1,1,1,108,108,8,42274129493.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,22,22,1,-7293296.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,45,45,NULL,979434.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,1737,2029,NULL,403978476.0000
1992,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,1881,3452,3,9511407325.0000
1992,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,NULL,25509.0000
1992,Defense,M,Medium Vendor,PID,NULL,0,1,1,37,37,NULL,13413078.0000
1992,Defense,M,Medium Vendor,PID,NULL,1,1,1,161,161,2,8538665205.0000
1992,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,2,3,NULL,1194956.0000
1992,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,434,655,NULL,178611544.0000
1992,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1033,27766,NULL,29748124925.0000
1992,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,10,10,NULL,6149477.0000
1992,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,132,132,1,7861491930.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,92,93,1,-26339532.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,98,99,NULL,1042812.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,2931,3087,1,534800125.0000
1992,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,1719,1977,7,4192147001.0000
1992,Defense,S,Always Small Vendor,PID,NULL,0,0,0,1,1,NULL,1162211.0000
1992,Defense,S,Always Small Vendor,PID,NULL,0,0,1,2,2,NULL,52132.0000
1992,Defense,S,Always Small Vendor,PID,NULL,0,1,1,42,42,NULL,70723568.0000
1992,Defense,S,Always Small Vendor,PID,NULL,1,1,1,81,81,NULL,538889502.0000
1993,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,15,15,NULL,96796012.0000
1993,Defense,B,Big Five,PID,NULL,0,1,1,1,1,NULL,139775.0000
1993,Defense,B,Big Five,PID,NULL,1,1,1,5,5,36,16833684152.0000
1993,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,3,3,NULL,671254155.0000
1993,Defense,L,Large Vendor,PDuns,NULL,1,1,1,1,3,NULL,155773355.0000
1993,Defense,L,Large Vendor,PID,NULL,0,1,1,18,18,3,8808905.0000
1993,Defense,L,Large Vendor,PID,NULL,1,1,1,113,113,337,43339979925.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,24,24,NULL,-3542811.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,69,69,3,1397207.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,1875,2336,200,441235707.0000
1993,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,1892,4211,411,9439655166.0000
1993,Defense,M,Medium Vendor,PID,NULL,0,0,1,3,3,NULL,-75236.0000
1993,Defense,M,Medium Vendor,PID,NULL,0,1,1,32,32,NULL,8434721.0000
1993,Defense,M,Medium Vendor,PID,NULL,1,1,1,178,178,54,7525570442.0000
1993,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,328,612,18,166389734.0000
1993,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,899,27234,316,28460367446.0000
1993,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,14,14,NULL,8520751.0000
1993,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,140,140,107,9614236476.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,48,48,6,-2689762.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,72,73,10,1396172.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,2105,2391,403,365347729.0000
1993,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,1247,1860,585,3363098232.0000
1993,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,1,NULL,26100.0000
1993,Defense,S,Always Small Vendor,PID,NULL,0,1,1,39,39,4,36287957.0000
1993,Defense,S,Always Small Vendor,PID,NULL,1,1,1,97,97,7,841289832.0000
1994,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,9,9,295,33947490.0000
1994,Defense,B,Big Five,PID,NULL,1,1,1,5,5,7618,18810007110.0000
1994,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,1,20,248145948.0000
1994,Defense,L,Large Vendor,PID,NULL,0,1,1,15,15,190,12611574.0000
1994,Defense,L,Large Vendor,PID,NULL,1,1,1,119,119,35885,40583362873.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,38,38,61,-50526065.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,201,203,210,4513527.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,4245,4490,9862,778848938.0000
1994,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,3489,5116,38362,14949720710.0000
1994,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,2,0.0000
1994,Defense,M,Medium Vendor,PID,NULL,0,1,1,43,43,94,7727272.0000
1994,Defense,M,Medium Vendor,PID,NULL,1,1,1,213,213,9135,7788364821.0000
1994,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,1,1347,1307484010.0000
1994,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,757,957,4378,323790160.0000
1994,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1451,3458,49829,13267810261.0000
1994,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,10,10,240,30822407.0000
1994,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,125,125,10197,6403968882.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,192,193,283,-22452584.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,486,486,548,6055681.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,10873,10986,20860,1859565141.0000
1994,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,5008,5211,36369,10082290431.0000
1994,Defense,S,Always Small Vendor,PID,NULL,0,0,1,1,1,1,39233.0000
1994,Defense,S,Always Small Vendor,PID,NULL,0,1,1,40,40,79,7685035.0000
1994,Defense,S,Always Small Vendor,PID,NULL,1,1,1,118,118,1914,728119870.0000
1994,Other Agencies,NULL,NULL,PID,NULL,NULL,NULL,NULL,1,1,44,3015149.0000
1994,Other Agencies,L,Large Vendor,PID,NULL,0,1,1,1,1,2,104806.0000
1994,Other Agencies,L,Large Vendor,PID,NULL,1,1,1,9,9,172,22944944.0000
1994,Other Agencies,M,Medium Vendor,PDuns,NULL,0,0,1,3,3,3,81902.0000
1994,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,1,52,53,82,7593305.0000
1994,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,1,99,110,1188,157263847.0000
1994,Other Agencies,M,Medium Vendor,PID,NULL,1,1,1,4,4,16,4976585.0000
1994,Other Agencies,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,1,7179,501915543.0000
1994,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,5,7,8,258656.0000
1994,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,38,91,607,64466605.0000
1994,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,1,2,2,9,1145841.0000
1994,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,1,3,3,3,81509.0000
1994,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,1,91,91,163,10905213.0000
1994,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,1,55,57,227,27459909.0000
1995,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,12,12,281,51732965.0000
1995,Defense,B,Big Five,PID,NULL,1,1,1,6,6,8796,18598105521.0000
1995,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,1,1,32,231653159.0000
1995,Defense,L,Large Vendor,PID,NULL,0,1,1,11,11,42,2387158.0000
1995,Defense,L,Large Vendor,PID,NULL,1,1,1,121,121,36175,36093613038.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,61,61,87,-6464942.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,249,250,265,5768072.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,4472,4641,8376,643467635.0000
1995,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,3785,5288,36916,13837841291.0000
1995,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,1,59222.0000
1995,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,1,27789.0000
1995,Defense,M,Medium Vendor,PID,NULL,0,1,1,40,40,113,9895280.0000
1995,Defense,M,Medium Vendor,PID,NULL,1,1,1,189,189,7949,10249827770.0000
1995,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,2,2,2700,2470804144.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,0,2,2,4,-1445688.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,5,6,16,-1640722.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,803,1023,4403,343041294.0000
1995,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1559,3743,57459,14704243714.0000
1995,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,12,12,91,5983283.0000
1995,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,149,149,13119,6375647060.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,160,160,230,-19135926.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,646,647,696,10456547.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,11043,11083,20366,1876489345.0000
1995,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,5291,5396,38947,10258605439.0000
1995,Defense,S,Always Small Vendor,PID,NULL,0,0,1,2,2,2,-249020.0000
1995,Defense,S,Always Small Vendor,PID,NULL,0,1,1,46,46,97,8456017.0000
1995,Defense,S,Always Small Vendor,PID,NULL,1,1,1,128,128,2724,842845423.0000
1995,Other Agencies,NULL,NULL,PID,NULL,NULL,NULL,NULL,1,1,82,5197446.0000
1995,Other Agencies,L,Large Vendor,PID,NULL,0,1,1,1,1,1,48010.0000
1995,Other Agencies,L,Large Vendor,PID,NULL,1,1,1,14,14,3331,185848569.0000
1995,Other Agencies,M,Medium Vendor,PDuns,NULL,0,0,1,1,1,1,25963.0000
1995,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,1,45,45,76,3061167.0000
1995,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,1,181,214,7465,626511419.0000
1995,Other Agencies,M,Medium Vendor,PID,NULL,0,1,1,1,1,1,50478.0000
1995,Other Agencies,M,Medium Vendor,PID,NULL,1,1,1,4,4,18,9344128.0000
1995,Other Agencies,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,1,4345,364092767.0000
1995,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,7,7,11,594908.0000
1995,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,45,97,1915,172799719.0000
1995,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,1,4,4,650,30946611.0000
1995,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,1,2,2,2,52321.0000
1995,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,1,54,54,113,5166779.0000
1995,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,1,55,56,458,44620855.0000
1996,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,14,14,318,38804636.0000
1996,Defense,B,Big Five,PID,NULL,1,1,1,6,6,13003,22307858656.0000
1996,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,2,2,77,480900547.0000
1996,Defense,L,Large Vendor,Duns,NULL,1,1,1,1,1,72,72276628.0000
1996,Defense,L,Large Vendor,PID,NULL,0,1,1,19,19,132,11300662.0000
1996,Defense,L,Large Vendor,PID,NULL,1,1,1,138,138,43934,37940362038.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,41,41,55,-1835027.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,425,426,451,11687460.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,4557,4825,8486,658943616.0000
1996,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,3746,5112,35650,12548300324.0000
1996,Defense,M,Medium Vendor,PID,NULL,0,0,0,1,1,2,-3503827.0000
1996,Defense,M,Medium Vendor,PID,NULL,0,0,1,2,2,3,83471.0000
1996,Defense,M,Medium Vendor,PID,NULL,0,1,1,56,56,126,10060712.0000
1996,Defense,M,Medium Vendor,PID,NULL,1,1,1,205,205,6130,4765657548.0000
1996,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,1,3306,2942679507.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,0,1,1,2,-658168.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,11,12,36,-1870314.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,1099,1522,6421,430598985.0000
1996,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1724,4438,55380,13816207793.0000
1996,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,23,23,202,12985010.0000
1996,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,218,218,20630,9230556259.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,185,187,305,-10703737.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,1284,1290,1404,28902455.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,12150,12605,22953,1887164550.0000
1996,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,5215,5757,39080,10397159777.0000
1996,Defense,S,Always Small Vendor,PID,NULL,0,0,1,4,4,4,155686.0000
1996,Defense,S,Always Small Vendor,PID,NULL,0,1,1,62,62,215,1127675.0000
1996,Defense,S,Always Small Vendor,PID,NULL,1,1,1,128,128,2149,873576176.0000
1996,Other Agencies,NULL,NULL,PID,NULL,NULL,NULL,NULL,1,1,323,15643892.0000
1996,Other Agencies,B,Big Five,PID,NULL,1,1,1,1,1,1,43625.0000
1996,Other Agencies,L,Large Vendor,PID,NULL,1,1,1,13,13,5211,290057431.0000
1996,Other Agencies,M,Medium Vendor,PDuns,NULL,0,0,1,7,7,7,127870.0000
1996,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,1,65,65,134,5558376.0000
1996,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,1,208,249,11082,617593582.0000
1996,Other Agencies,M,Medium Vendor,PID,NULL,1,1,1,6,6,28,8444019.0000
1996,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,10,10,25,1062783.0000
1996,Other Agencies,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,71,137,3469,161272576.0000
1996,Other Agencies,N,Sometimes Small Vendor,PID,NULL,1,1,1,3,3,1608,82022173.0000
1996,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,0,1,1,1,1,25634.0000
1996,Other Agencies,S,Always Small Vendor,PDuns,NULL,0,1,1,37,37,47,2184364.0000
1996,Other Agencies,S,Always Small Vendor,PDuns,NULL,1,1,1,40,40,184,33979448.0000
1997,Defense,NULL,NULL,PID,NULL,NULL,NULL,NULL,24,24,788,224422417.0000
1997,Defense,B,Big Five,PID,NULL,1,1,1,6,6,19504,32119314085.0000
1997,Defense,J,Large: Big 5 JV,PID,NULL,1,1,1,4,4,92,809779189.0000
1997,Defense,L,Large Vendor,PID,NULL,0,0,0,1,1,1,-39000.0000
1997,Defense,L,Large Vendor,PID,NULL,0,1,1,20,20,276,12941867.0000
1997,Defense,L,Large Vendor,PID,NULL,1,1,1,159,159,46090,29305273994.0000
1997,Defense,M,Medium Vendor,Duns,NULL,1,1,1,1,1,116,119725780.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,0,0,0,44,44,68,-2949550.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,0,0,1,529,530,568,14218383.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,0,1,1,4523,4728,8179,616556084.0000
1997,Defense,M,Medium Vendor,PDuns,NULL,1,1,1,3315,4181,25280,9813439736.0000
1997,Defense,M,Medium Vendor,PID,NULL,0,0,1,1,1,1,27960.0000
1997,Defense,M,Medium Vendor,PID,NULL,0,1,1,79,79,215,15168456.0000
1997,Defense,M,Medium Vendor,PID,NULL,1,1,1,314,314,8803,6648103339.0000
1997,Defense,N,Sometimes Small Vendor,Duns,NULL,1,1,1,2,2,2861,2697298445.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,0,1,1,2,1270.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,0,1,13,16,28,591973.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,936,1237,5521,368455592.0000
1997,Defense,N,Sometimes Small Vendor,PDuns,NULL,1,1,1,1712,3677,40650,9012616810.0000
1997,Defense,N,Sometimes Small Vendor,PID,NULL,0,1,1,40,40,273,19378057.0000
1997,Defense,N,Sometimes Small Vendor,PID,NULL,1,1,1,349,349,31335,11640662106.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,0,0,0,191,191,284,-3638217.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,0,0,1,1329,1330,1445,33567704.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,0,1,1,11896,12056,23408,1803715507.0000
1997,Defense,S,Always Small Vendor,PDuns,NULL,1,1,1,4923,5086,35597,9310741649.0000
1997,Defense,S,Always Small Vendor,PID,NULL,0,0,0,1,1,1,26195.0000
1997,Defense,S,Always Small Vendor,PID,NULL,0,0,1,11,11,11,302662.0000
1997,Defense,S,Always Small Vendor,PID,NULL,0,1,1,97,97,258,22264801.0000
1997,Defense,S,Always Small Vendor,PID,NULL,1,1,1,199,199,3888,1380184585.0000
1997,Other Agencies,NULL,NULL,PID,NULL,NULL,NULL,NULL,1,1,635,32381016.0000
1997,Other Agencies,B,Big Five,PID,NULL,1,1,1,2,2,3,605329.0000
1997,Other Agencies,L,Large Vendor,PID,NULL,1,1,1,11,11,6614,445680905.0000
1997,Other Agencies,M,Medium Vendor,PDuns,NULL,0,0,1,6,6,6,168279.0000
1997,Other Agencies,M,Medium Vendor,PDuns,NULL,0,1,1,51,52,108,4438335.0000
1997,Other Agencies,M,Medium Vendor,PDuns,NULL,1,1,1,162,195,8054,441212842.0000
1997,Other Agencies,M,Medium Vendor,PID,NULL,1,1,1,12,12,105,27901993.0000
