fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1988	Defense	Ships & Submarines	L	Large Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	1255000.0000
1988	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	160000.0000
1988	Defense	Ships & Submarines	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	-263000.0000
1988	Defense	Space Systems	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	NULL	222000.0000
1989	Defense	NULL	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	5	5	NULL	NULL
1989	Defense	NULL	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	NULL
1989	Defense	NULL	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	NULL
1989	Defense	Aircraft	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	4	4	NULL	2192000.0000
1989	Defense	Aircraft	B	Big Five	PID	NULL	NULL	1	1	1	3	3	NULL	3136000.0000
1989	Defense	Aircraft	L	Large Vendor	PID	NULL	NULL	1	1	1	11	11	NULL	45101000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	-37000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-2088000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	1	1	NULL	44000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	42000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	7	7	NULL	6397000.0000
1989	Defense	Aircraft	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	4	4	NULL	360000.0000
1989	Defense	Aircraft	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	30000.0000
1989	Defense	Aircraft	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	5257000.0000
1989	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	1	1	NULL	153000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	2	2	NULL	-247029.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	3	3	NULL	181000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	15946000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-775000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	150000.0000
1989	Defense	Aircraft	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	314000.0000
1989	Defense	Electronics, Comms, & Sensors	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	33	33	NULL	5923000.0000
1989	Defense	Electronics, Comms, & Sensors	B	Big Five	PID	NULL	NULL	1	1	1	2	2	NULL	2399000.0000
1989	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	34000.0000
1989	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	NULL	NULL	1	1	1	21	21	NULL	50758000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	8	8	NULL	338000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	9	9	NULL	3880000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	2	2	NULL	-12000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	18	19	NULL	1563000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	9	11	NULL	7404000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	3	5	NULL	494000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	16	31	NULL	23932000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	NULL	NULL	0	1	1	3	3	NULL	436000.0000
1989	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	NULL	NULL	1	1	1	4	4	NULL	19653975.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	3080000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	245000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	3	4	NULL	7411000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	1	1	NULL	41000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	73000.0000
1989	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	1097000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	9	9	NULL	1064000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	14	14	NULL	6251000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	408000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	3	3	NULL	181000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	28000.0000
1989	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	600000.0000
1989	Defense	Facilities and Construction	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	512	512	NULL	247033000.0000
1989	Defense	Facilities and Construction	L	Large Vendor	PID	NULL	NULL	1	1	1	5	5	NULL	9526000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-139000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	51	51	NULL	4952000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	15	15	NULL	6344000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	44	44	NULL	5975000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	25	26	NULL	22452000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	2	5	NULL	291000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	13	25	NULL	2424000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PID	NULL	NULL	0	1	1	7	7	NULL	1874000.0000
1989	Defense	Facilities and Construction	M	Medium Vendor	PID	NULL	NULL	1	1	1	3	3	NULL	376000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	3	3	NULL	596000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	41260000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	2	3	NULL	536000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	2	4	NULL	345000.0000
1989	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	2	3	NULL	3162000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	2	2	NULL	-401000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	101	101	NULL	14587000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	32	32	NULL	50068000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-174000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	24	24	NULL	4995000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	3	3	NULL	2571000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	132000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PID	NULL	NULL	0	1	1	3	3	NULL	368000.0000
1989	Defense	Facilities and Construction	S	Always Small Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	479000.0000
1989	Defense	Land Vehicles	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	5	5	NULL	9267000.0000
1989	Defense	Land Vehicles	B	Big Five	PID	NULL	NULL	1	1	1	1	1	NULL	25000.0000
1989	Defense	Land Vehicles	L	Large Vendor	PID	NULL	NULL	1	1	1	4	4	NULL	58595000.0000
1989	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	2	2	NULL	59000.0000
1989	Defense	Land Vehicles	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	178000.0000
1989	Defense	Land Vehicles	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	50000.0000
1989	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	196000.0000
1989	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	112000.0000
1989	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-90000.0000
1989	Defense	Land Vehicles	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	102000.0000
1989	Defense	Missile Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	948000.0000
1989	Defense	Ordnance and Missiles	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	17	17	NULL	4394000.0000
1989	Defense	Ordnance and Missiles	B	Big Five	PID	NULL	NULL	1	1	1	3	3	NULL	53339000.0000
1989	Defense	Ordnance and Missiles	L	Large Vendor	PID	NULL	NULL	1	1	1	12	12	NULL	34184000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	NULL	271000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	3	3	NULL	2359000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	322000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	534000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	2	2	NULL	386000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	-595000.0000
1989	Defense	Ordnance and Missiles	M	Medium Vendor	PID	NULL	NULL	1	1	1	3	3	NULL	177430000.0000
1989	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	97000.0000
1989	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	201000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	2	2	NULL	292000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	3	3	NULL	4989000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	300000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	1	2	NULL	2939000.0000
1989	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	1958000.0000
1989	Defense	Other Products	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	20	20	NULL	1588000.0000
1989	Defense	Other Products	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	52000.0000
1989	Defense	Other Products	L	Large Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	235000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	7	7	NULL	492000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	2	2	NULL	780000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-55000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	7	7	NULL	810000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	6	6	NULL	577000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	2	3	NULL	354000.0000
1989	Defense	Other Products	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	3	3	NULL	125000.0000
1989	Defense	Other Products	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	40000.0000
1989	Defense	Other Products	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	1	1	NULL	408000.0000
1989	Defense	Other Products	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	2	2	NULL	71000.0000
1989	Defense	Other R&D and Knowledge Based	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	18	18	NULL	3084000.0000
1989	Defense	Other R&D and Knowledge Based	B	Big Five	PID	NULL	NULL	1	1	1	3	3	NULL	2231000.0000
1989	Defense	Other R&D and Knowledge Based	L	Large Vendor	PID	NULL	NULL	1	1	1	12	12	NULL	8324000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	44000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	6	6	NULL	365000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	12	12	NULL	43646000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	675000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	11	11	NULL	3713000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	1	2	NULL	68000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	1	2	NULL	1164000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	NULL	0	1	1	5	5	NULL	597000.0000
1989	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	NULL	1	1	1	7	7	NULL	3365000.0000
1989	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	1429000.0000
1989	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	674000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	7	7	NULL	1392000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	6	6	NULL	2660000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	258000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	3	3	NULL	286000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	242000.0000
1989	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PID	NULL	NULL	1	1	1	3	3	NULL	1136000.0000
1989	Defense	Other Services	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	28	28	NULL	185013000.0000
1989	Defense	Other Services	B	Big Five	PID	NULL	NULL	1	1	1	1	1	NULL	52000.0000
1989	Defense	Other Services	L	Large Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	210000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	2	2	NULL	332000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	3	3	NULL	883000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	3	3	NULL	1083000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	4	5	NULL	4562000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	2	3	NULL	547000.0000
1989	Defense	Other Services	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	5	8	NULL	182995000.0000
1989	Defense	Other Services	M	Medium Vendor	PID	NULL	NULL	1	1	1	2	2	NULL	109000.0000
1989	Defense	Other Services	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	2	2	NULL	355000.0000
1989	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	1	1	NULL	26000.0000
1989	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	5	5	NULL	561000.0000
1989	Defense	Other Services	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	7	7	NULL	8337000.0000
1989	Defense	Other Services	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	25000.0000
1989	Defense	Ships & Submarines	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	44	44	NULL	9642000.0000
1989	Defense	Ships & Submarines	B	Big Five	PID	NULL	NULL	1	1	1	3	3	NULL	18627000.0000
1989	Defense	Ships & Submarines	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	118000.0000
1989	Defense	Ships & Submarines	L	Large Vendor	PID	NULL	NULL	1	1	1	10	10	NULL	42505000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	3	3	NULL	133000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	6	6	NULL	2052000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	4	4	NULL	1323000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	8	8	NULL	177000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	3	3	NULL	548000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	1	2	NULL	229000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	3	3	NULL	129000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	256000.0000
1989	Defense	Ships & Submarines	M	Medium Vendor	PID	NULL	NULL	1	1	1	7	7	NULL	88342000.0000
1989	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	2	2	NULL	2826000.0000
1989	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	337000.0000
1989	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	1	2	NULL	307000.0000
1989	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	1	NULL	-28000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	13	13	NULL	1396000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	12	12	NULL	2244000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	-39000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	3	3	NULL	104000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	6	7	NULL	13470000.0000
1989	Defense	Ships & Submarines	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	186000.0000
1989	Defense	Space Systems	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	NULL	-32000.0000
1990	Defense	NULL	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	1074	1074	NULL	NULL
1990	Defense	NULL	B	Big Five	PID	NULL	NULL	1	1	1	3	3	NULL	NULL
1990	Defense	NULL	L	Large Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	NULL
1990	Defense	NULL	L	Large Vendor	PID	NULL	NULL	1	1	1	19	19	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	15	15	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	11	11	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	9	9	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	14	15	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	3	3	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	9	11	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	10	16	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	29	50	NULL	NULL
1990	Defense	NULL	M	Medium Vendor	PID	NULL	NULL	1	1	1	3	3	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	5	5	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	10	10	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	4	4	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	5	5	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	3	4	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	39	85	NULL	NULL
1990	Defense	NULL	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	2	2	NULL	NULL
