"casorffp","CriticalTech","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CAS Status Unknown, but FFP","FutureG",,,,,,,,,,,,,,,28504.6204,61614,22923.5701,23023.1699,445647.5027,1572002.2209,812784.1258,2615185.085,50711051.0044,2034294359.4353,3808573400.5141,4131061755.5275,3456317248.1176,3389319018.6356,3716674593.7918,3862590715.1306,3614999245.4807,5008433675.2672,5029856470.3387,4214016838.8807,3585607671.385,3943402865.6411,823097126.5587
"CAS Status Unknown, but FFP","High Technology",,,,,,,,,,,,,,,,,91021.0488,163527.5005,112760.8096,336259.2402,525442.1015,6017300.8125,58246221.7553,640973404.7802,2257910026.3667,2419827081.0965,1911069062.7679,2577182651.3502,2771275933.5915,2544575752.1106,2341709029.2746,2313775756.385,2248685756.0516,2382174722.0592,2577357864.9355,2554439150.1837,1020586978.1744
"CAS Status Unknown, but FFP","Microelectronics",,,,,,,,,,,,,,,,,,41611.8999,104334.5,124775.8801,1456326.5,1757363.8592,36197027.2196,411693272.9292,800784644.88,715819733.6135,789901168.8886,945096490.8372,895421165.5492,969561628.8239,918185302.1449,1133422784.0109,1758031913.168,1023685035.3328,893082191.4703,1101080415.6943,482657590.1327
"CAS Status Unknown, but FFP","Renewables",,,,,,,,,,,,,,,,,,,,8100,,25946.0801,831097.6676,31853456.8261,142581913.2264,101252001.5396,149271549.8824,121806761.8108,179363543.9891,148328349.9628,205882431.4001,222736618.6375,228766297.9417,170577060.7534,201997863.323,246439470.6001,64807314.1221
"CAS Status Unknown, but FFP","Rest of Defense",,,,,,,,,,,,,,43704649.265,221314.0207,3841618.4915,267921455.5877,431754591.5523,31780899.0378,174211760.9611,268578835.7271,255469649.8833,1901809264.5882,21391952885.2758,80556528814.8915,83105739132.0941,70634600275.9612,72368919406.379,67904753243.8617,68747466136.0843,73363724058.7994,90024566557.7329,93399339561.6288,100473967887.156,87146956028.5892,95534119159.4149,30825415057.9999
"CAS Status Unknown, but FFP","SensorCyber",,,,,,,,,,,,,,,,10763955,1843125,20000,,30326,435722,399371.2495,23778052.3533,1117885383.0758,2197389321.8323,2049545817.5627,1904759433.2395,2011377700.3052,2515773236.4059,2607718535.7917,2820618210.0024,3409158441.7804,3585302107.0998,3490242726.415,2876365456.6742,2548647250.7373,929589698.1288
"CAS Status Unknown, but FFP","Space",,,,,,,,,,,,,,,,,39367,500375,,265281.4004,0,7055018.75,72399903.022,150440172.5428,516481715.5921,485332743.0181,493429916.8235,512631046.4369,579804832.1522,543109299.7069,947626716.0552,1256838839.2059,1334065837.6021,1338511920.5245,2284304159.4776,2085365532.5968,450694832.3064
"CAS Status Unknown, but FFP",,,,,,,,,,,,,,,-516045.2328,2519096.1941,4200948.3053,3478974.405,4545064.3984,8371800.4498,12620062.2983,12067537.875,348434.1909,19078581.3902,17479564.5195,44222818.383,14418795.3301,21444840.2122,28698165.1503,112849051.2527,108621824.0581,122994730.1184,113171811.1354,117937665.3985,109123067.2464,1147136585.1245,1012067406.9908,226300898.7041
"CAS Clause","Biotechnology",,,,,,,,,,,,,,,,,619000,1331967,1371306,0,11369674,72869219.0748,130950061.8569,216950379.5367,214816243.599,248223621.2871,226542279.83,188301317.7893,156157663.9857,185264598.6408,137519951.4591,127487608.8735,1068408969.7875,1042404760.154,1583991195.4907,2444864037.0545,266264410.9817
"CAS Clause","Computing",,,,,,,,,,,,,,4167296,420345186,674955689.2734,941115825.711,1445511431.2547,1049865948.7891,1178584571.2591,2473975614.5113,3002160203.7711,2922800347.4003,3610771293.4527,2285380229.2308,1589834920.5146,1330203086.5831,1088882534.2738,953935216.7518,980873623.5842,919077184.917,1318444266.9402,1271510311.6842,1185585708.6905,979004081.6889,1139787993.4374,1431200819.4005
"CAS Clause","FutureG",,,,,,,,,,,,,,,495249718,212498734,465409066,697324809,909017622,1049015163.8008,2049859130.4682,2481318115.6649,1910926831.0056,2103754560.4178,2102501433.3749,2051480716.8595,1017085182.7357,507271470.9501,474073031.3244,662976093.6201,657524119.9103,619027444.7073,1364642442.3719,1422137272.7386,821819507.1657,591238173.7605,538297639.6761
"CAS Clause","High Technology",,,,,,,,,,,,,,24345182,1744551324,2873161982.9375,5479942090.5782,5520282509.5547,4661831023.875,4924409988.3253,6759367546.5318,6883214707.6954,8166435583.1727,13706746738.9225,13461959630.684,11600707271.1958,8684076417.8862,8770512472.8041,8888736787.0076,9652246743.6331,9986979094.5332,10394758636.6827,8603187511.7595,10662899012.9589,9975138410.9047,10730909925.809,9473911984.8879
"CAS Clause","Microelectronics",,,,,,,,,,,,,,3131560,98704176,93618523,320948249,378303549.2901,70478462,82040790,241150809.6953,222717223.0645,532614174.9868,1119310458.6091,377936837.4047,852475276.5094,441352901.3769,535031889.1345,405522537.5575,434283878.3143,496414550.4441,348002715.4601,17210697.1762,48111950.2616,330794918.7119,42674660.5525,230914097.1653
"CAS Clause","Renewables",,,,,,,,,,,,,,,,,944116,1106353,71092,306440,3521517,3011358,3392953.8125,3315473.6314,2928756.4926,852163,8300185.44,5056740.24,546705.3101,13038126.4688,10280154.765,4425606.1465,17337442.5522,14747607,25013049.3242,18312980.75,7439529.6375
"CAS Clause","Rest of Defense",,,,,,,,,,,,,,554454042,12173606564.5937,15150247895.5236,33652069895.2319,39952117604.1579,32049554408.1115,39565401584.3715,60745193344.7239,68404111541.4624,78971258259.4592,94677097112.3518,84917584590.5659,81489465776.5564,86309743314.2677,70828040735.5406,70362742799.1535,85123233774.6591,93180728612.0376,88590319163.9112,95175882550.8248,111883859449.471,72799876048.6005,79617071226.8802,84023755146.0559
"CAS Clause","SensorCyber",,,,,,,,,,,,,,9484495,367485038.875,1232783842,2173881058.0469,2920411245.75,2925432431.5625,2056253408.0959,3845837033.8468,3834689870.353,4873275370.3357,5463264717.623,4329243086.3253,4970873370.9996,4775821148.5429,4232338185.919,4537573259.9444,5984902991.8497,6226819218.8501,6321405404.2426,7809409871.0854,10014801789.6845,7569929671.8584,8460087795.3212,7920173015.1344
"CAS Clause","Space",,,,,,,,,,,,,,8e+06,368034378,1061446873,1449870681,2474548361,2208157770,2246256784.0313,1891562517.8643,3774119876.5535,7606309959.2894,9182176970.836,9572477376.126,11876117417.1441,11801322495.8401,10198225963.33,11091270396.4735,12071299665.7277,9632352829.9581,13975319131.1164,18702950851.31,19660959709.0189,13120116350.3737,16238526287.538,17877997938.5608
"CAS Clause",,,,,,,,,,,,,,,3286373307.375,2045063080,3384155031.3201,3120128670,2568123144.2276,276086425.4805,6602962444.373,440599335.9556,98562634.7369,129580767.0448,11716830.5399,-10626236.4858,-26259136.6391,-13384815.6,-1097776.2209,-588441.9014,-3628.96,,-295259.0049,0,,0,,58556310.9219
"Other Unlabeled","Biotechnology",,,,,,,,,,,,,,,,,,,,,,,,2736255.9912,20599242.4247,17888887.3685,34014317.9488,52318165.8916,40556217.1137,44937343.4569,35690029.1966,39155334.7751,24993872.9946,18264946.3709,37777166.3646,28095171.7825,5291671.2713
"Other Unlabeled","Computing",,,,,,,,,,,,,,0,298636.9688,2055542.8276,1561629.6626,-26487620.0937,3246892.75,2870172,1661054,11500,5656644.8456,183049324.4883,2553610060.9259,3159911509.4233,2753737489.579,3142637015.1186,2728411102.3457,3558175225.7812,3539331019.154,3867266694.1245,4155331021.7431,4681505545.3166,5263563766.1945,4978444934.3645,2423087330.0465
"Other Unlabeled","FutureG",,,,,,,,,,,,,,,,,,,,,24651.6406,321724,962828.2098,130137492.0893,290784435.3839,626812625.5088,641155859.0938,740835589.82,563906198.8471,635216731.6823,1032072173.6895,674056548.0745,702122543.0844,793759458.6104,740565264.973,770776245.8667,296983538.9864
"Other Unlabeled","High Technology",,,,,,,,,,,,,,-444500.2,-6782.4696,,141854,13000,1562117.7031,91335.8809,154627,1317175,21557781.2955,454446072.1469,4159879352.4218,6662630411.9824,7267893482.7682,7445663543.9468,7138752224.1086,8591423875.5856,9347338751.7199,10741646236.5584,12922261250.0856,13092610696.0354,13294682739.4176,13750026407.4916,7815188203.4681
"Other Unlabeled","Microelectronics",,,,,,,,,,,,,,29928,2842,,14768,,,,568272,6380,761383.0004,30594691.3952,346973142.4072,226653538.8874,197415509.58,316684855.5105,154411287.3146,207547893.7771,246190131.3054,265540804.0049,216663754.9167,127722327.6903,167824034.2814,161963602.8079,43094927.2966
"Other Unlabeled","Renewables",,,,,,,,,,,,,,,,,,,,,,,1e+05,118650,2732261.6108,323959.7813,9691574.1,9651183.6103,15505947.3119,7857700.0793,22481291.2581,6751571.4708,6586174.866,4006687.416,2483509.9887,250877.9417,0
"Other Unlabeled","Rest of Defense",,,,,,,,,,,,,,4248496.3223,19091132.745,42561854.5322,-2943916.7056,9150823.0106,293461476.094,655877328.9149,69249368.8455,68309896.2447,573132821.533,11011358911.6229,42151401322.0423,58721695237.4583,43036886113.2232,36140683833.6941,34658994108.2196,36923985214.8646,42273813860.3552,54517349924.533,52684735156.0222,55584460397.5259,55242697883.5965,59367456787.2997,24815386010.7545
"Other Unlabeled","SensorCyber",,,,,,,,,,,,,,,,,0,,778566,4429914,765500,5456079,7472195.6992,261340011.7859,734203295.0801,610071537.3426,694149257.3193,781643092.7875,644114926.4489,1141168612.7928,1541683834.8153,1638398428.3605,1784564497.6889,1681183111.1353,1565200612.0359,1491009279.2454,824118078.7699
"Other Unlabeled","Space",,,,,,,,,,,,,,,,0,1968369,910763,,184477,,11283238,33679276,69797613.4231,165736571.7265,351694523.9745,371195430.95,420667979.215,341133295.3697,489116493.2131,469450274.1731,495492206.8472,581963705.1766,798800701.006,946315418.0838,1611641582.1819,680856833.3547
"Other Unlabeled",,,,,,,,,,,,,,,20977973.9587,6674110.9287,32607882.0971,14386577.9611,3912015.3634,1940025.6188,0,3168667.0508,95357,-549842.2951,-123390.1251,189930909.9334,187550806.8038,144926863.5787,110375923.4956,2936947.1682,-680.300200000001,1345772.78,-26765.1993,2890.8,1708621.5859,1937172.21,21492.9102,4223735.667
,,-171000,7652670,1636683946,120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,,,,,,,,,,,,,,,,,,,,,,,,
