"PlatformPortfolio","Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","C130-J",631,,,,1899047,270801127,50061515,237388730,862238710.4574,1134314989.6053,784149435.3913,2910898572.6128,3185095001.3643,823593233.472,1185346709.83,2214070332.43,1421063812.9974,5508991431.5154,1582463979.6789,1770858003.6807,1772923719.7829,3176123652.5744,2302183818.1519,1208865544.8658,1834002010.9475
"Aircraft","CGN-38",14,,,,,,,,202390.1367,,,,,,,,,,,,,,,,
"Aircraft","CH-47D",15,,,,,,,,,-601.9,,,,,,,,,,,,,,,
"Aircraft","CH-47F",683,,,,,,,,,12062,510645,,191088,0,,3232.44,,,,,,,,,
"Aircraft","CH-53 SEA STALLION",760,162975,622770,684116,78900,,,,,,,,,,,,,,,,,,,,
"Aircraft","CHEYENNE",17,,,,,,,,,167131,,,,,,,,,,,,,,,
"Aircraft","CNQ",1919,,,,4686000,5823230,2337431,,,,,,,,,,,,,,,,,,
"Aircraft","COMANCHE",661,,,,,-1507139,-36596,,,,,,,,,,,,,,,,,,
"Aircraft","CX-3",1406,,8596942,7348636,617150,,,,,,,,,,,,,,,,,,,,
"Aircraft","DEAMS Inc 1",2101,,,,,,,,,,,,,,,,,,,,,,44839.25,,
"Aircraft","DEF METEOR SAT PROG",1517,11864181,15442830,19784855,6410987,,,,,,0,,,,,,,,,,,,,,
"Aircraft","DMS",1960,,,,,,,3000,,,0,,,,,,,,,,,,,,
"Aircraft","DNC",2074,,,,317727,320088,324756,334956,342348,-51632.2891,,,,,,,,,,,,,,,
"Aircraft","E-10",1371,,,,,2447877,1170650,-95000,27233257,417706,544000,,,,,,,,,,,,,,
"Aircraft","E-2 HAWKEYE",732,,,36073,,,,,,,,,,,,,,,,,,,,,
"Aircraft","E-2C REPRODUCTION",681,,,,,,,,1602000,0,0,1452000,,0,,,,,,,,,,,
"Aircraft","E-3A",4,35403039,62557259,78775172,334044752,,,406012,91980344.8354,48657495.876,26162604.0547,29416626.8922,37336886.2238,37041777.1043,30269631.8,35613407.385,2084533.7514,2487212.6125,1552738.4766,79226,0,,0,,967439.875
"Aircraft","E-4 (AABNCP)",21,,,,,,,6e+05,62824454.75,148017116.4513,140246992.1406,184216402.7149,108502721.8827,135680229.8907,124675134.29,122888362.16,8070857.3594,1819652,0,0,,71256,,,
"Aircraft","EF-111A",5,,,,,,,,,,,498460.7598,190584,,165000,153068,,,,,,,,,
"Aircraft","ENGINE GAS TURB AN/32 85-",1761,,,55748,903876,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-100 Engine",1507,840087508,1047840017,830195023,835596708,,,,,,-352619.79,,-245105.6523,,,,,,,,,,,,
"Aircraft","F-100 SUPER SABRE",1893,989561,86884,52931,-156773,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-100 UPGRADE",1509,,63111,,45063389,,,,,,,155947.6094,0,,,,,,,,,,,,
"Aircraft","F-101",1505,146256311,196818009,93573225,91902000,,,,,-16644,16644,0,,,,,,,,,,,,,
"Aircraft","F-101 VOODOO",1443,404460,,,81891,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-104 STARFIGHTER",1444,,,96817,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-106 DELTA DART",1446,551893,198113,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-108",1508,111241288,84570112,114793061,57281400,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-110",1504,217651918,213603293,278176998,282851315,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-111",1447,3457341,3965987,-70384,-22971,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-111A/D/E/F",1319,,,,,,,,,0,,,,,,,,,,,,,,,
"Aircraft","F-117 STEALTH",1453,2423141,851239,3029640,-20048,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-12",1438,247846,123755,769872,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-14 TOMCAT",744,275818,,27225,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F-15",23,,,,,,43719.5586,286908.3198,353925741.5496,294075803.9132,251610893.0679,334842150.0904,249061941.1345,2227759210.5392,466381304.9288,541186468.1297,611919599.6005,138609494.5994,632230887.2898,-29754190.5,1039822.0469,484408.0322,-577834.6875,1179680,128589650.8719
"Aircraft","F-15 EAGLE",1892,691019503,855643702,508048195,617296915,35572261,9870874,3403977,-761144.9717,-906818.8955,-957805,,-1752464.13,-1253793.02,-1919.64,0,,,,,,,,,
"Aircraft","F-16",24,,,,,738060.7598,4049362,294069.8381,585781031.3221,459118243.9531,305155139.4648,323521940.6702,481411636.2787,357794726.126,317176538.7322,381592269.7216,56533087.8982,46026396.6344,26605844.5337,-3568226.3616,-2439410.9861,-8382183.5518,227257.1118,36748554.4268,126827077
"Aircraft","F-16 FALCON",1894,610242379,601404861,705392972,759611862.5,155275786,116116565.5039,57910655,62605640.8496,3357204.4268,-1549337.3992,-724377.7175,-543158.0599,-2699791.198,-3190666.52,-607003.4,-177369.95,-826608.68,-6573824.29,-128368.3477,5493,,,,
"Aircraft","F-22 Raptor",1436,994261420,837891938,587909377,3109521257,,,,,,0,-1056562.75,-2539199.5,-83911,,,,,0,,,,,,
"Aircraft","F-4 PHANTOM II",1891,23127608,31477514,18338796,24286668,4448538,1166126,17628,0,,,-514390,,29427.9805,0,,197529,,,,,,,,
"Aircraft","F-5 FREEDOM FIGHTER",738,9990999,12228460,16428747,7751013,417267,,,,,,,-119466.2578,,,,,,,,,,,,
"Aircraft","F-5E",1320,,,,,,,,1409122.7987,605543.4123,737474.1677,366880.5518,327149.7752,844378.927,1453713.17,97268.72,-5685.12,0,,,,,,,
"Aircraft","F-86 SABRE",1449,,57472,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","F/A-18 E/F",1828,,,,,,,,,37000,32500,,,,,,,,,,,,,,
"Aircraft","F/A-18A/B/C/D",25,,,,,,,,1047582,1127000,-56939,,8000,1332361.9766,,375761,0,0,,,,,,,
"Aircraft","F/A-22",671,,,,278982781,4245781339,2172292783,4938170349,6407898428.9843,4584560934.3672,4439598618.0391,2352786706.3597,2195560560.3017,1663615021.229,1471521274.36,1438385977.71,1447827207.62,1452869687.0727,1736714388.7863,42357732.0332,-11578955.1799,-17170445.5487,2722228.418,-23473584.2453,71078802
"Aircraft","FB-111A",1796,,,,,,,,150000,0,101514.7891,,,,,,,,,,,,,,
"Aircraft","FCA",79,,,,,,,,,0,1742700,-1389268.4063,-53295.9102,-112156.8828,77530.7,0,0,,0,-352310,,,,,
"Aircraft","GLOBAL HAWK",659,,,,,7143692,202818044,104409504,406138791,457551546.2851,588476341.5548,570615597.168,597911934.6563,271904410.1621,245633407.23,246246924.19,323015813.6531,380839967.5743,401262947.5938,478555048.5747,490214752.6252,361634678.9126,376947825.7422,44335206.7031,16592974.5
"Aircraft","H-1 UPGRADE",2,,,,,47370,1380032,5331495,23867.1055,81226,,1372460.6251,100255.9981,1109357.3723,8175.36,1492656.81,1540861.84,2858204.4444,8337826.4063,301701.5801,105436.2896,1237209.7656,51836,288095.3398,301412.3438
"Aircraft","H-3 JOLLY GREEN GIANT",1456,5751338,3271901,1591,,,,,,,,,,,,,,,,,,,,,
"Aircraft","H-3 SEA KING",1455,,87990,,1495000,,,,,,,,,,,,,,,,,,,,
"Aircraft","HAEUAV",701,,,,,,1105144,1845282,,,434711,858272,0,0,0,0,0,,,,,,,0,
"Aircraft","HH-53 SUPER JOLLY",1901,22344713,19528028,42728164,49218215,6208135,9103165,2472517,497499.3863,860676.1563,,0,,,,,,,,,,,,,
"Aircraft","HHD-60",621,,,,,,,,,,,54009.1201,417699,463283,114750,255850,0,,,,,,,,
"Aircraft","J-58",1483,636798,,2953443,1500851,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-69",1485,7070520,12076287,5239364,6742990,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-79",809,290458,515077,4e+05,4e+05,,,,,,,,,,,,,,,,,,,,
"Aircraft","J-85",810,15141756,32589798,82818178,48860431,,,,,,,,,,,,,,,,,,,,
"Aircraft","JOINT C2",2184,,,,,,,,,,,,,,,,,,,6966686,0,20547,-399186.6719,,
"Aircraft","JPATS",1834,21991056,4517727,3512841,16972589,29515796,4685556,43237279,218244316.1046,751688127.7892,771861629.4942,277379557.0928,473343741.983,372144603.1251,260300557.24,478864743.98,189657050.8256,198124945.4441,53566667.0007,328258.7619,13014.54,215336,22142.5996,-9859689,
"Aircraft","JSF (F-35)",87,,,,,375000,1100938,,18155,5658528.0391,9849326,2927417,-5000,6652363.7969,6560714,12804773.37,800784.2519,4090675.5,2381132.9609,520071,565495.2813,998498.25,-43317,9323850,749851.875
"Aircraft","JSTARS",679,,,,167290061,272895225,264934758,243422867,371031944.6823,413053043.0032,456720624.2092,489885239.8408,419769927.418,315367354.2549,243643822.35,337276592.58,3590661.8438,16687715,6817469.1954,27645184.1563,241877.4502,0,,,
"Aircraft","JSTARS RECAP",2191,,,,,,,,,,,,,,,,,,,,20710,,,,
"Aircraft","KC-10A",625,,,,,,,,119967.1,0,1463.5,401460513.8145,425402134.8828,433208386.8945,375055193.08,349456810.89,3141064.9258,1304489.9609,559326.5781,,,,27767.9805,,
"Aircraft","KC-135 STRATOLIFTER",1419,478866968,339331706,597831384,591086033,1974712,,,,-28000,0,-718919.6365,,,,,,,,,,,,,
"Aircraft","KC-135R",77,,,,,271360,550892,855307,75371462.3323,165637972.5549,218036668.4634,137497991.2581,73154862.7448,102062126.4932,202330858.16,117881867.3154,63196861.1374,64179958.5141,67097382.6031,68548285.214,54427712.0352,56908601.001,21371914.4298,-1475600.3495,0
"Aircraft","KC-45A",1380,,,,,,,,,,,,809688296,706461993.6875,1594565096.45,1396058579.2,467329244.3125,2979022875.7129,2379470666.75,3271457200.3125,2931195070.75,172437610.6328,4468002993.7608,3249060358.2579,2728880820.3594
"Aircraft","LLLBGK",626,,,,,,,,235564.9531,,,,,,,,,,,,,,,,
"Aircraft","LOADER A/C 40K",1568,,,438129,-124552,,,,,,,,,,,,,,,,,,,,
"Aircraft","LONGBOW APACHE",1872,,,,,,,,,,,,,,,18020.2,,,,,,,,,
"Aircraft","LONGBOW APACHE BLK III",616,,,,,,,,,,,,,,,,3823847,198239,,,238762630,27161788,69122917.25,1876763.8437,3374256.3125
"Aircraft","MH-60R",84,,,,,9564934,18053230,88255,,48751,0,,,,,,,,,,,,,,
"Aircraft","MH-60S",687,,,,,,,-4777,,,18407013.9063,327731.4913,1077931.6387,485995,493948.84,2228113.63,0,0,548790,0,,,,,
"Aircraft","MMA",1333,,,,,29131,155490,583153,,,3343.5,,624150,,,,,,,,,1169683.625,1166956.75,1182437,1169069.625
"Aircraft","MOBILE ARRESTING BARRIERS",1777,372000,849150,377400,533000,,,,,,,,,,,,,,,,,,,,
"Aircraft","MODERNIZATION",1778,,49998,2113480,25551,,,,,,,,,,,,,,,,,,,,
"Aircraft","MQ-9 Reaper",1805,,,,,21498250,4057886,426167.4339,103335043,35569233,59004728,211807492,240264258,154326826,412843460.73,68847944,497563052.915,424295840.9244,977749294.6007,936532829.4365,1408041834,897146294.5692,748048795.6927,561922444.653,121525514.6277
"Aircraft","MROI",2148,,,,,,,,,,,,,,,,,8775094,0,6782925.5196,13122321.0547,16829875.27,11962822.0937,24827934.5352,16311803.2129
"Aircraft","NCES",664,,,,,,,,,,,,,,,,,,,,11373537,81100830,37913416,110421,46297
"Aircraft","O-2",1463,64860,-35735,,63000,,,,,,,,,,,,,,,,,,,,
"Aircraft","OV-10 LARA (NOW BRONCO)",1480,33850,,59700,211844,,,,,,,,,,,,,,,,,,,,
"Aircraft","Other UAS",2258,,,,,,,,,19259444,2234995,57042,,,333004601.65,270051214.61,88216300.04,330497082,45764912,255732748,47047506,24294781,20570187.25,,
"Aircraft","PREDATOR",676,,,,,,,,,,,,24144,5373,0,135003.96,69265.9766,0,,,,,,,
"Aircraft","PREDATOR B",1386,,,,,,,,,,,,3020644,1565528,,,,,,,,,,,
"Aircraft","PREDATOR UAV",880,,,,44209967,,,,155193851,92503699.375,52667283.605,164433586.25,63541490,21154972,,,,,,,,,,,
"Aircraft","PRV",1328,,,,,12139434,1392849,,,,,41600,0,0,,298458978,150655703,139909692,244664129,310231656.1875,850452624.0313,721165753.2344,708261897.75,457306167.1445,609886804
"Aircraft","RF-4C",1465,11640476,13498776,14719986,2420690,,,,,,,,,,,,,,,,,,,,
"Aircraft","SHILLELAGH MISSILE",1373,,,,,,,,,60400000,,1208995.125,0,-27251.3906,17670117.36,41486059.53,62616146.04,9685,33258924,40234499.4688,25712916.875,58754862.75,58122402.5625,57099095.7423,21213033.7188
"Aircraft","SPS",1961,,,,,,,,,,25098,,,,,,,,,,,,,,
"Aircraft","STATUS OF FORCES AGREEMENT",2202,,,,,,,,,,,,,,,,,,,,,51099.4004,,,
"Aircraft","T-37",1466,21886180,3420512,3286586,3777963,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-38 TALON",782,44344532,27412866,23767291,162757627,,,,,,-24728,,,,,,,,,,,,,,
"Aircraft","T-39 SABRELINER",783,1183104,329453,102381,,,,,,,,,,,,,,,,,,,,,
"Aircraft","T-45TS",651,,,,,,,,,34800,,,,,,,,,,,,,,,
"Aircraft","T-46A",637,,,,,,,,,5300000,,,,,,,,,,,,,,,
"Aircraft","T-56",818,16334852,15876761,61044623,51045391,,,,,,,,,,,,,,,,,,,,
"Aircraft","TACTICAL UAV",677,,,,,15315,7199897,6705686,,1059515.3438,5115101.1875,7257358.4688,51231982.5547,50466057.01,31820042.45,12681305.86,4436952,0,68738,,,,0,0,0
"Aircraft","TF-30",815,2136965,6991910,3055080,261880,,,,,,,,,,,,,,,,,,,,
"Aircraft","TF-33",1500,33991290,54808751,57300751,89230519,,,,,,,,,,,,,,,,,,,,
"Aircraft","TF-34",816,3735368,29932332,19047319,12517995,,,,,,,,,,,,,,,,,,,,
"Aircraft","TF-39",1502,155996227,65530921,48676482,38276569,,,,,,,,,,,,,,,,,,,,
"Aircraft","TF-41",1503,26122,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft","TOW FLIGHTLINE",1565,8382328,762953,12308658,11580531,,,,,,,,,,,,,,,,,,,,
"Aircraft","U-2",1476,189142298,79527134,132915362,484679750,,,,,0,4073.8601,229693,,,,,,,,,,,,,
"Aircraft","UH-1 IROQUOIS",1897,686243,5203381,17804089,11851687,,,,,,,,,,,,,,,,,,,,
"Aircraft","UH-1N REPLACEMENT",2196,,,,,,,,,,,,,,,,,,,9.8e+07,239438182,117498316,15537756,4097683,306087102
"Aircraft","UH-60 UTTAS BLACK HAWK",769,1157358,-65248,7681629,10035122,,,,,,,,,,,,,,,,,,,,
"Aircraft","V22",624,,,,,,,,,,142297.832,-109133.2813,,,217515,,,,16363.8398,,3127.99,,,,6593524
"Aircraft","ZBL",2015,,,,,,,,0,34936372,-4012831.5,31582493,39331383.2656,40312808.4727,98644357.1,93208645.54,127294371.6726,88550250.5469,125979320.002,42439459.9138,5661632.0293,-13393117.5,-7509887,0,0
"Aircraft",,,10814082550,11926712019,13905402972.8184,14179185649.732,15462816201.6988,15386144240.9996,16764842980.1159,15229876465.3346,13725703594.8436,12378699601.0079,12282078126.6388,11999699918.1221,16393542680.583,11851726615.0978,10488605580.6998,14157192649.7194,15725201347.4908,15153695022.4761,20074411052.7036,20447776275.9426,23804793395.8528,18623510671.1288,18143678383.9237,11137338309.0272
"Electronics, Comms, & Sensors","404L TRAFF CNTRL & LAND S",1708,222247,1450545,,5357235,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","411L AWACS",1713,4916474,,,7373691,,,,,,0,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","421",2037,,,,,,,,,,,,,,,,,,,222939.9844,,,,,
"Electronics, Comms, & Sensors","427M CHEYENNE",1724,26522402,2893555,52500,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","433L WEATHER SYSTEM",1710,,,9175569,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","439",2041,,,,,,,,,,,,,,,,137500,,,,,,,,
"Electronics, Comms, & Sensors","474L BMEWS",1714,8081129,,271606,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors","483",2049,,,,,,,,,,,,,,,,39832,,,,,,,,
"Electronics, Comms, & Sensors","522",2242,,,,,,,,,,,,,,,,,,,,388118,5712323,6121634,6063916.5234,10344027.0469
"Electronics, Comms, & Sensors","586",2249,,,,,,,,,,,,,,,,,,,,,9954157,9e+05,2522735,963047
"Electronics, Comms, & Sensors","589",2250,,,,,,,,,,,,,,,,,,,,,21854769.2032,33766017.125,35691816.2656,19281980.3281
"Electronics, Comms, & Sensors","750 KW",1753,186612,19971368,30414004,92090924,,,,,,,,,,,,,,,,,,,,
