PROGRAM,BUSINESS_STATE,BUSINESS_COUNTY,BUSINESS_CITY,BUSINESS_ZIP,RURAL,URBAN,SBA_DISTRICT_OFFICE,CONGRESSIONAL_DISTRICT,PROJECT_NAICS,BUSINESS_NAICS,BUSINESS_STARTED,QUICK_BOND,BUSINESS_8A,BUSINESS_HUBZONE,PRINCIPAL_1_VETERAN,PRINCIPAL_1_GENDER,PRINCIPAL_1_RACE,PRINCIPAL_1_HISPANIC,PRINCIPAL_2_VETERAN,PRINCIPAL_2_GENDER,PRINCIPAL_2_RACE,PRINCIPAL_2_HISPANIC,PRINCIPAL_3_VETERAN,PRINCIPAL_3_GENDER,PRINCIPAL_3_RACE,PRINCIPAL_3_HISPANIC,PRINCIPAL_4_VETERAN,PRINCIPAL_4_GENDER,PRINCIPAL_4_RACE,PRINCIPAL_4_HISPANIC,PRINCIPAL_5_VETERAN,PRINCIPAL_5_GENDER,PRINCIPAL_5_RACE,PRINCIPAL_5_HISPANIC,LARGEST_CONTRACT_Then_Year,PROJECT_START_DATE,PROJECT_END_DATE,PROJECT_NAICS_TEXT,PROJECT_STATE,PROJECT_COUNTY,PROJECT_ZIP,OBLIGEE_TYPE,APPLICANT_CATEGORY,PERCENT_SUBCONTRACT,CONTRACTOR_JOB_STARTED,GUARANTY_PERCENT,INSTANCE_NUMBER,INSTANCE_TYPE,INSTANCE_DATE,INSTANCE_CONTRACT_AMOUNT_Then_Year,BOND_STATUS,BOND_TYPE,JOB_RETAINED,JOB_CREATED,BOND_DECISION,BOND_LINE,ProjectStartYear,count,AnyTag,ProjectStartFiscalYear,LARGEST_CONTRACT_OMB24_GDP22,InstanceStartYear,InstanceFiscalYear,INSTANCE_CONTRACT_AMOUNT_OMB24_GDP22,CriticalTech
PSB,CA,VENTURA,CAMARILLO,93012,No,Yes,914,26,221111,221310,12/16/2009,No,No,No,Non-Veteran,Male,White,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-02,10/31/2010,Hydroelectric Power Generation,CA,VENTURA,91362,Local,Prime,NA,No,70,1,Original,2010-07-08,578537,Active,FINAL,2,5,Approve,No,2010,1,TRUE,2010,NA,2010,2010,756858.1381818325,Renewables
PSB,CA,ALAMEDA,HALF MOON BAY,94019,No,Yes,912,14,221111,236220,11/8/2009,No,Yes,No,Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CA,NA,93955,Federal,Prime,NA,No,70,0,Original,2010-07-28,211500,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2010,2010,276690.1619524033,Renewables
SBG,PA,LEHIGH,ALLENTOWN,18103,No,Yes,303,7,541512,541512,10/18/1954,No,No,No,Unknown/NotStated,Male,White,No,Non-Veteran,Male,White,No,Non-Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,8000000,2010-06-01,6/30/2011,Computer Systems Design Services,NY,NEW YORK,10119,State,Prime,18,No,80,1,Increase,2010-07-29,3543748,Active,FINAL,4,2,Approve,No,2010,1,TRUE,2010,10465821.728696108,2010,2010,4636029.352427921,Computing
PSB,CA,ALAMEDA,HALF MOON BAY,94019,No,Yes,912,14,221111,236220,11/8/2009,No,Yes,No,Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CA,NA,93955,Federal,Prime,NA,No,70,1,Decrease,2010-08-04,211500,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2010,2010,276690.1619524033,Renewables
PSB,CA,VENTURA,CAMARILLO,93012,No,Yes,914,26,221111,221310,12/16/2009,No,No,No,Non-Veteran,Male,White,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-02,10/31/2010,Hydroelectric Power Generation,CA,VENTURA,91362,Local,Prime,NA,No,70,2,Increase,2010-10-29,621137.51,Active,FINAL,2,5,Approve,No,2010,1,TRUE,2010,NA,2010,2011,796536.1160744565,Renewables
PSB,CA,SAN BERNARDINO,HELENDALE,92342,No,Yes,920,8,221111,NA,1/1/2000,No,No,Yes,Non-Veteran,Male,White,No,Non-Veteran,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01,12/1/2008,Hydroelectric Power Generation,TX,DALLAS,75236,Federal,NA,NA,NA,70,3,Increase,2010-11-08,563573,Active,FINAL,1,1,Approve,No,2008,1,TRUE,2008,NA,2010,2011,722716.3732945861,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,IA,PLYMOUTH,51001,Local,Prime,NA,No,70,0,Original,2010-11-12,300000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2010,2011,384714.86744108715,Renewables
SBG,CO,DENVER,DENVER,80211,No,Yes,811,1,334210,NA,4/1/1990,No,Yes,Yes,Veteran,Male,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-10-01,4/30/2005,Telephone Apparatus Manufacturing,CO,DENVER,80202,Private,Prime,0,No,90,3,Increase,2010-12-16,623366.88,Closed,FINAL,10,5,Approve,No,2004,1,TRUE,2005,NA,2010,2011,799395.0220212137,Modern Telecom
SBG,VA,FAIRFAX,GREAT FALLS,22066,Yes,No,353,10,541512,541512,5/9/2001,No,Yes,No,Non-Veteran,Male,Black,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545347,2011-01-24,7/24/2011,Computer Systems Design Services,DC,DISTRICT OF COLUMBIA,20036,Federal,Prime,0,No,90,0,Original,2011-02-02,743271,Active,FINAL,1,1,Approve,No,2011,1,TRUE,2011,699343.6627146485,2011,2011,953158.0141260143,Computing
PSB,CA,SAN DIEGO,ENCINITAS,92024,No,Yes,954,49,221111,236220,3/29/1989,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CA,LOS ANGELES,90012,Local,Prime,NA,No,70,0,Original,2011-02-14,950000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,1218263.7468967761,Renewables
SBG,PA,YORK,SEVEN VALLEYS,17360,Yes,No,303,11,541711,541711,1/1/2002,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,2011-02-15,6/1/2011,Research and Development in Biotechnology,PA,PHILADELPHIA,19102,Private,SubContractor,2,No,80,0,Original,2011-02-18,526267,Closed,FINAL,12,0,Approve,No,2011,1,TRUE,2011,1538859.4697643486,2011,2011,674875.7971453954,Biotechnology
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,NE,DAWSON,68850,Local,Prime,NA,No,70,0,Original,2011-02-28,275000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,352655.2951543299,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,NE,YORK,68467,Local,Prime,NA,No,70,0,Original,2011-03-01,475000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,609131.8734483881,Renewables
SBG,VA,FAIRFAX,GREAT FALLS,22066,Yes,No,353,10,541512,541512,5/9/2001,No,Yes,No,Non-Veteran,Male,Black,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545347,2011-01-24,7/24/2011,Computer Systems Design Services,DC,DISTRICT OF COLUMBIA,20036,Federal,Prime,0,No,90,1,Increase,2011-03-04,743271,Active,FINAL,1,1,Approve,No,2011,1,TRUE,2011,699343.6627146485,2011,2011,953158.0141260143,Computing
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-01,11/1/2011,Hydroelectric Power Generation,CO,MESA,81502,Local,Prime,NA,No,70,0,Original,2011-03-08,315000,Active,BID,0,0,Approve,No,2011,1,TRUE,2011,NA,2011,2011,403950.6108131415,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,NE,PLATTE,68602,Local,Prime,NA,No,70,0,Original,2011-03-11,1600000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,2051812.6263524648,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CO,LARIMER,80539,Federal,Prime,NA,No,70,1,Increase,2011-03-23,1400000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,1795336.0480584067,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CO,LARIMER,80539,Federal,Prime,NA,No,70,0,Original,2011-03-23,1100000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,1410621.1806173197,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,CO,LARIMER,80539,Federal,Prime,NA,No,70,2,Decrease,2011-03-28,1400000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,1795336.0480584067,Renewables
PSB,CO,BOULDER,LONGMONT,80501,No,Yes,811,4,221111,237130,3/1/2005,No,No,No,Unknown/NotStated,Female,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric Power Generation,NE,BURT,68061,Local,Prime,NA,No,70,0,Original,2011-03-28,350000,Cancelled,BID,NA,NA,Approve,No,NA,1,TRUE,NA,NA,2011,2011,448834.01201460167,Renewables
SBG,PA,YORK,SEVEN VALLEYS,17360,Yes,No,303,11,541711,541711,1/1/2002,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,2011-02-15,6/1/2011,Research and Development in Biotechnology,PA,PHILADELPHIA,19102,Private,SubContractor,2,No,80,1,Increase,2011-03-29,526267.18,Closed,FINAL,12,0,Approve,No,2011,1,TRUE,2011,1538859.4697643486,2011,2011,674876.0279743159,Biotechnology
SBG,PA,LEHIGH,ALLENTOWN,18103,No,Yes,303,7,541519,541512,10/18/1954,No,No,No,Unknown/NotStated,Male,White,No,Non-Veteran,Male,White,No,Non-Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,2011-06-15,9/30/2011,Other Computer Related Services,PA,BUCKS,18974,Local,Prime,0,No,80,0,Original,2011-05-20,750000,Cancelled,BID,NA,NA,Approve,No,2011,1,TRUE,2011,NA,2011,2011,961787.1686027179,Computing
SBG,CO,ARAPAHOE,Highlands Ranch,80129,No,Yes,811,6,541512,541512,4/24/1988,No,No,No,Non-Veteran,Female,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417000,2011-08-22,11/10/2011,Computer Systems Design Services,HI,KAUAI,96766,Local,Prime,0,No,80,0,Original,2011-08-16,337404.94,Cancelled,FINAL,2,2,Approve,No,2011,1,TRUE,2011,1817136.5572134017,2011,2011,432682.3225535599,Computing
SBG,CO,ARAPAHOE,Highlands Ranch,80129,No,Yes,811,6,541512,541512,4/24/1988,No,No,No,Non-Veteran,Female,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-15,1/15/2012,Computer Systems Design Services,IL,LA SALLE,61364,Local,Prime,5,No,80,0,Original,2011-08-26,200000,Cancelled,BID,NA,NA,Approve,No,2011,1,TRUE,2012,NA,2011,2011,256476.5782940581,Computing
SBG,FL,ESCAMBIA,PENSACOLA,32505,No,Yes,491,1,221111,236220,3/1/1986,No,Yes,Yes,Non-Veteran,Male,Black,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700000,2011-10-30,3/27/2012,Hydroelectric Power Generation,FL,OKALOOSA,32542,Federal,Prime,25,No,90,0,Original,2011-10-19,156404.18,Active,FINAL,6,1,Approve,No,2011,1,TRUE,2012,881509.9998318078,2011,2012,196959.78383642004,Renewables
SBG,CO,ARAPAHOE,Highlands Ranch,80129,No,Yes,811,6,541512,541512,4/24/1988,No,No,No,Non-Veteran,Female,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,2011-11-07,4/5/2012,Computer Systems Design Services,VA,CHESTERFIELD,23832,State,Prime,5,No,80,0,Original,2011-11-07,1624956.11,Active,FINAL,4,0,Approve,No,2011,1,TRUE,2012,1763019.9996636156,2011,2012,2046307.2289325646,Computing
SBG,CO,ARAPAHOE,Highlands Ranch,80129,No,Yes,811,6,541512,541512,4/24/1988,No,No,No,Non-Veteran,Female,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400000,2011-11-07,4/5/2012,Computer Systems Design Services,VA,CHESTERFIELD,23832,State,Prime,5,No,80,1,Decrease,2012-03-29,1624956.11,Active,FINAL,4,0,Withdraw,No,2011,1,TRUE,2012,1763019.9996636156,2012,2012,2046307.2289325646,Computing
SBG,VA,FAIRFAX,GREAT FALLS,22066,Yes,No,353,10,541512,541512,5/9/2001,No,Yes,No,Non-Veteran,Male,Black,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800000,2012-06-01,8/1/2012,Computer Systems Design Services,DC,DISTRICT OF COLUMBIA,20016,Federal,Prime,0,No,90,0,Original,2012-06-08,127362.59,Active,FINAL,10,0,Approve,No,2012,1,TRUE,2012,1007439.9998077804,2012,2012,160387.709556398,Computing
SBG,FL,SAINT LUCIE,FORT PIERCE,34950,No,Yes,455,18,334514,238220,8/17/2009,No,No,No,Service Disabled Veteran,Male,White,No,Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,1324845,2012-08-31,2/28/2013,Totalizing Fluid Meter and Counting Device Manufacturing,ID,BONNEVILLE,83415,Federal,Prime,49,No,90,0,Original,2012-07-17,1500000,Cancelled,BID,NA,NA,Approve,No,2012,1,TRUE,2012,1668377.3081816735,2012,2012,1888949.9996395882,High Technology
SBG,FL,SAINT LUCIE,FORT PIERCE,34950,No,Yes,455,18,334514,238220,8/17/2009,No,No,No,Service Disabled Veteran,Male,White,No,Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,1324845,2012-08-31,2/28/2013,Totalizing Fluid Meter and Counting Device Manufacturing,ID,BONNEVILLE,83415,Federal,Prime,49,No,82,1,Increase,2012-07-26,2200000,Cancelled,BID,NA,NA,Withdraw,No,2012,1,TRUE,2012,1668377.3081816735,2012,2012,2770459.999471396,High Technology
SBG,CA,LOS ANGELES,WOODLAND HILLS,91364,No,Yes,914,30,221111,236220,9/13/2001,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-20,4/20/2013,Hydroelectric Power Generation,CA,SANTA BARBARA,93101,Local,Prime,50,No,80,0,Original,2012-11-09,1000000,Cancelled,BID,NA,NA,Approve,No,2012,1,TRUE,2013,NA,2012,2013,1236668.957517588,Renewables
SBG,MI,KENT,WYOMING,49509,No,Yes,515,2,518210,541512,5/10/1993,No,No,No,Non-Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875000,2013-04-30,4/30/2014,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",GA,CHATTAHOOCHEE,31905,Private,SubContractor,0,No,80,0,Original,2013-04-18,451208.12,Active,FINAL,18,0,Approve,No,2013,1,TRUE,2013,1082085.3378278895,2013,2013,557995.0753838707,Computing
SBG,MI,KENT,WYOMING,49509,No,Yes,515,2,518210,541512,5/10/1993,No,No,No,Non-Veteran,Male,White,No,Non-Veteran,Female,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875000,2013-04-30,4/30/2014,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",GA,CHATTAHOOCHEE,31905,Private,SubContractor,0,No,80,1,Decrease,2013-04-24,451208.12,Active,FINAL,18,0,Approve,No,2013,1,TRUE,2013,1082085.3378278895,2013,2013,557995.0753838707,Computing
SBG,FL,OKALOOSA,DESTIN,32541,No,Yes,491,1,221111,238210,6/3/1996,No,No,No,Service Disabled Veteran,Male,White,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-09-01,6/1/2014,Hydroelectric Power Generation,TN,RUTHERFORD,37129,Federal,Prime,20,No,90,0,Original,2013-07-19,250000,Cancelled,BID,NA,NA,Approve,No,2013,1,TRUE,2013,NA,2013,2013,309167.239379397,Renewables
SBG,SD,LINCOLN,SIOUX FALLS,57108,No,Yes,876,0,541519,541519,1/30/2003,No,No,No,Non-Veteran,Male,White,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,2014-04-01,1/30/2015,Other Computer Related Services,MN,WRIGHT,55313,Local,Prime,0,No,80,0,Original,2014-01-10,850000,Reinstate,BID,0,1,Approve,No,2014,1,TRUE,2014,2426396.9176509394,2014,2014,1031218.6900016493,Computing
SBG,SD,LINCOLN,SIOUX FALLS,57108,No,Yes,876,0,541519,541519,1/30/2003,No,No,No,Non-Veteran,Male,White,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,3/13/2015,Other Computer Related Services,MN,ITASCA,55744,Local,Prime,0,No,80,0,Original,2014-02-07,500000,Cancelled,BID,NA,NA,Approve,No,2014,1,TRUE,2014,NA,2014,2014,606599.2294127349,Computing
SBG,SD,LINCOLN,SIOUX FALLS,57108,No,Yes,876,0,541519,541519,1/30/2003,No,No,No,Non-Veteran,Male,White,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,2014-04-01,1/30/2015,Other Computer Related Services,MN,WRIGHT,55313,Local,Prime,0,No,80,1,Original,2014-08-04,785731,Reinstate,FINAL,0,1,Approve,No,2014,1,TRUE,2014,2426396.9176509394,2014,2014,953247.6382513952,Computing
SBG,OH,LORAIN,NORTH RIDGEVILLE,44039,Yes,No,549,7,541512,541512,10/16/1997,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435030,2014-09-01,12/19/2014,Computer Systems Design Services,OH,LORAIN,44089,Local,Prime,10,No,80,0,Original,2014-08-18,825000,Cancelled,BID,NA,NA,Approve,No,2014,1,TRUE,2014,527777.7255428442,2014,2014,1000888.7285310125,Computing
SBG,OH,LORAIN,NORTH RIDGEVILLE,44039,Yes,No,549,7,541512,541512,10/16/1997,No,No,No,Non-Veteran,Male,White,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-06,2/14/2015,Computer Systems Design Services,OH,LORAIN,44011,Local,Prime,0,No,80,0,Original,2014-09-16,800000,Cancelled,BID,NA,NA,Approve,No,2014,1,TRUE,2015,NA,2014,2014,970558.7670603759,Computing
