AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,CDC_Name,CDC_Street,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_Name,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval_Then_Year,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,JobsSupported,GrossApproval_OMB24_GDP22,AnyTag,CriticalTech
20230930,504,"PHARMACEUTICAL EXPRESS, INC.",3935 FIRST AVENUE,SAN DIEGO,CA,92103,CDC Small Business Finance Cor,2448 Historic Decatur Road,San Diego,CA,92106,NA,NA,NA,NA,321000,1991-06-12,1991,08/14/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,325412,Pharmaceutical Preparation Manufacturing,NA,NA,SAN DIEGO,CA,SAN DIEGO DISTRICT OFFICE,53,CORPORATION,NA,PIF,05/31/2005,NA,0,30,616024.5357084005,TRUE,Biotechnology
20230930,504,"JDK CONTROLS, INC.",424 CROWN POINT CIRCLE,GRASS VALLEY,CA,95945,SBA - EDF Enforcement Action,SBA Denver Finance Center,Denver,CO,80202,NA,NA,NA,NA,562000,1991-07-12,1991,05/13/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334411,Electron Tube Manufacturing,NA,NA,NEVADA,CA,SACRAMENTO DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,20,1078522.7073773243,TRUE,Microelectronics
20230930,504,"ARGOSY INDUSTRIES, INC.",2640 BUSINESS PARK DR.,VISTA,CA,92083,CDC Small Business Finance Cor,2448 Historic Decatur Road,San Diego,CA,92106,NA,NA,NA,NA,522000,1991-07-15,1991,11/13/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334411,Electron Tube Manufacturing,NA,NA,SAN DIEGO,CA,SAN DIEGO DISTRICT OFFICE,49,CORPORATION,NA,PIF,05/31/2005,NA,0,85,1001759.525357586,TRUE,Microelectronics
20230930,504,RIF PHARMACEUTICAL,COMMERICAL DRIVE-ROUTE 211,WALKILL,NY,12589,Empire State Certified Develop,50 Beaver Street,Albany,NY,12207,NA,NA,NA,NA,750000,1991-08-01,1991,11/13/1991,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,325412,Pharmaceutical Preparation Manufacturing,NA,NA,ORANGE,NY,NEW YORK DISTRICT OFFICE,18,CORPORATION,NA,PIF,10/31/2005,NA,0,63,1439309.6628700946,TRUE,Biotechnology
20230930,504,"ISI DATA SERVICES, INC.",467 PATTERSON RD,DAYTON,OH,45429,Citywide Small Business Develo,8 North Main Street,Dayton,OH,45402,NA,NA,NA,NA,244000,1991-08-22,1991,05/13/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,MONTGOMERY,OH,CINCINNATI BRANCH OFFICE,10,CORPORATION,NA,PIF,05/31/2005,NA,0,10,468255.41032040416,TRUE,Computing
20230930,504,"ENGINEERING DESKTOP, L.C.",1776 NORTH STATE STREET,OREM,UT,84057,Mountain West Small Business F,2595 East 3300 South,Salt Lake City,UT,84109,NA,NA,NA,NA,295000,1991-09-20,1991,03/17/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,UTAH,UT,UTAH DISTRICT OFFICE,03,CORPORATION,NA,PIF,05/31/2005,NA,0,11,566128.4673955706,TRUE,Computing
20230930,504,"SOUTHTRONICS, INC.",1265 KENNESTONE CIRCLE,KENNESAW,GA,30066,Capital Partners Certified Dev,1775 The Exchange SE,Atlanta,GA,30339,NA,NA,NA,NA,245000,1991-09-30,1991,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,COBB,GA,GEORGIA DISTRICT OFFICE,06,CORPORATION,NA,CANCLD,NA,NA,0,10,470174.4898708976,TRUE,Microelectronics
20230930,504,"FLUENT, INC.",38 CAVENDISH COURT,LEBANON,NH,03766,Capital Regional Development C,20 Montgomery St,Concord,NH,03301,NA,NA,NA,NA,715000,1991-10-10,1992,01/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,541511,Custom Computer Programming Services,NA,NA,GRAFTON,NH,NEW HAMPSHIRE DISTRICT OFFICE,02,CORPORATION,NA,PIF,05/31/2005,NA,0,54,1338684.952666253,TRUE,Computing
20230930,504,"COMPUTATIONAL SYSTEMS, INCORPO",835 INNOVATION DRIVE,KNOXVILLE,TN,37932,Areawide Development Corporati,523 West Lamar Alexander Parkw,Maryville,TN,37801,NA,NA,NA,NA,1000000,1991-10-15,1992,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334513,"Instruments and Related Products Manufacturing for Measuring, Displayi",NA,NA,KNOX,TN,TENNESSEE DISTRICT OFFICE,02,CORPORATION,NA,CANCLD,NA,NA,0,30,1872286.6470856688,TRUE,High Technology
20230930,504,"SSDS, INC.",6595 SOUTH DAYTON,ENGLEWOOD,CO,80112,Preferred Lending Partners,1580 Logan St.,Denver,CO,80203,NA,NA,NA,NA,247000,1991-11-15,1992,04/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,ARAPAHOE,CO,COLORADO DISTRICT OFFICE,04,CORPORATION,NA,PIF,05/31/2005,NA,0,100,462454.8018301602,TRUE,Computing
20230930,504,INTN'L CLINICAL RESEARCH CORP.,5160 CARROL CANYON ROAD,SAN DIEGO,CA,92121,CDC Small Business Finance Cor,2448 Historic Decatur Road,San Diego,CA,92106,NA,NA,NA,NA,695000,1991-11-22,1992,04/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,300,541710,"Research and Development in the Physical, Engineering, and Life Scienc",NA,NA,SAN DIEGO,CA,SAN DIEGO DISTRICT OFFICE,49,CORPORATION,NA,PIF,05/31/2005,NA,0,45,1301239.21972454,TRUE,High Technology
20230930,504,"JAMPRO ANTENNAS, INC.",6340 SKY CREEK DRIVE,SACRAMENTO,CA,95828,SBA - EDF Enforcement Action,SBA Denver Finance Center,Denver,CO,80202,NA,NA,NA,NA,286000,1991-12-13,1992,04/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,NA,NA,SACRAMENTO,CA,SACRAMENTO DISTRICT OFFICE,06,CORPORATION,NA,PIF,05/31/2005,NA,0,10,535473.9810665012,TRUE,Modern Telecom
20230930,504,"VIDEO GRAPHIC TECHNOLOGIES, IN",P. O. BOX 1039,BEAVER,WV,25901,Regional Development Funding C,3816 South Water Street,Pittsburgh,PA,15203,NA,NA,NA,NA,281000,1991-12-19,1992,01/13/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,NA,NA,RALEIGH,WV,WEST VIRGINIA DISTRICT OFFICE,03,CORPORATION,NA,CHGOFF,NA,11/29/2001,225938,75,526112.5478310729,TRUE,Modern Telecom
20230930,504,COLT REDEVELOPMENT CORPORATION,800 N.W. TECHNOLOGY DRIVE,LEE'S SUMMIT,MO,64063,"Rural Missouri, Inc.",3324 Emerald Lane,Jefferson City,MO,65109,NA,NA,NA,NA,999000,1992-01-14,1992,09/15/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,JACKSON,MO,KANSAS CITY DISTRICT OFFICE,05,CORPORATION,NA,PIF,05/31/2005,NA,0,190,1870414.3604385832,TRUE,Microelectronics
20230930,504,"UPSTATE BIOTECHNOLOGY, INC.",SARANAC AVENUE & OLD BARD RO,SARANAC LAKE,NY,12946,Empire State Certified Develop,50 Beaver Street,Albany,NY,12207,NA,NA,NA,NA,427000,1992-01-21,1992,02/16/1994,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,325414,Biological Product (except Diagnostic) Manufacturing,NA,NA,ESSEX,NY,SYRACUSE DISTRICT OFFICE,21,CORPORATION,NA,PIF,05/31/2005,NA,0,34,799466.3983055806,TRUE,Biotechnology
20230930,504,"ROBERTS - SLADE, INC.",619 NORTH 500 WEST,PROVO,UT,84604,Mountain West Small Business F,2595 East 3300 South,Salt Lake City,UT,84109,NA,NA,NA,NA,134000,1992-01-24,1992,06/17/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,UTAH,UT,UTAH DISTRICT OFFICE,03,CORPORATION,NA,PIF,05/31/2005,NA,0,21,250886.41070947962,TRUE,Computing
20230930,504,"INFO SYSTEMS, INC.",590 CENTURY BOULEVARD,WILMINGTON,DE,19804,NA,NA,NA,NA,NA,NA,NA,NA,NA,509000,1992-02-03,1992,04/15/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541512,Computer Systems Design Services,82285,TODAYS COMPUTERS BUSINESS CENT,NEW CASTLE,DE,DELAWARE DISTRICT OFFICE,00,PARTNERSHIP,NA,PIF,05/31/2005,NA,0,36,952993.9033666054,TRUE,Computing
20230930,504,ITC INTERCIRCUIT NORTH AMERICA,215 GRANADA,LAKEVILLE,MN,55044,Twin Cities-Metro Certified De,3495 Vadnais Center Drive,Vadnais Heights,MN,55110,NA,NA,NA,NA,364000,1992-03-03,1992,10/14/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,334411,Electron Tube Manufacturing,NA,NA,DAKOTA,MN,MINNESOTA DISTRICT OFFICE,02,CORPORATION,NA,PIF,05/31/2005,NA,0,12,681512.3395391834,TRUE,Microelectronics
20230930,504,ITC INTERCIRCUIT NORTH AMERICA,215 GRANADA,LAKEVILLE,MN,55044,Twin Cities-Metro Certified De,3495 Vadnais Center Drive,Vadnais Heights,MN,55110,NA,NA,NA,NA,370000,1992-03-03,1992,02/17/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334411,Electron Tube Manufacturing,NA,NA,DAKOTA,MN,MINNESOTA DISTRICT OFFICE,02,CORPORATION,NA,PIF,07/31/2005,NA,0,12,692746.0594216974,TRUE,Microelectronics
20230930,504,WILLIAM J. MAGUIRE,3001 N. STONE AVE,TUCSON,AZ,85705,Arizona Capital Source,333 N. Wilmot Road,Tucson,AZ,85711,NA,NA,NA,NA,101000,1992-03-18,1992,06/17/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,PIMA,AZ,ARIZONA DISTRICT OFFICE,02,CORPORATION,NA,PIF,05/31/2012,NA,0,16,189100.95135565253,TRUE,Computing
20230930,504,"CIRCUIT TECHNOLOGY, INC.",6 CONTINENTAL BLVD.,MERRIMACK,NH,03054,Granite State Economic Develop,One Cate Street,Portsmouth,NH,03802,NA,NA,NA,NA,176000,1992-04-06,1992,06/17/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,HILLSBOROUGH,NH,NEW HAMPSHIRE DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,35,329522.44988707773,TRUE,Microelectronics
20230930,504,SYSTEMS ENGINEERING SERVICES,"11710 BOWMAN GREEN DR., LOT",RESTON,VA,22090,"Business Finance Group, Inc.",3930 Pender Drive,Fairfax,VA,22030,NA,NA,NA,NA,114000,1992-04-28,1992,10/14/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,FAIRFAX,VA,WASHINGTON DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,6,213440.67776776623,TRUE,Computing
20230930,504,"RAS BUILDERS, INC.",2650 - 18TH STREET,DENVER,CO,80202,Preferred Lending Partners,1580 Logan St.,Denver,CO,80203,NA,NA,NA,NA,165000,1992-05-01,1992,08/12/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334111,Electronic Computer Manufacturing,NA,NA,DENVER,CO,COLORADO DISTRICT OFFICE,01,CORPORATION,NA,PIF,05/31/2005,NA,0,18,308927.29676913534,TRUE,Computing
20230930,504,"WILSON ANTENNA, INC.",504 PLAYA DELLA ROSITA,WASHINGTON,UT,84780,Mountain West Small Business F,2595 East 3300 South,Salt Lake City,UT,84109,NA,NA,NA,NA,190000,1992-05-05,1992,08/12/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,NA,NA,WASHINGTON,UT,UTAH DISTRICT OFFICE,02,CORPORATION,NA,PIF,05/31/2005,NA,0,25,355734.46294627705,TRUE,Modern Telecom
20230930,504,MEDICAL & TECH RSCH ASSOC INC,110 CEDAR ST,WELLESLEY,MA,02181,Bay Colony Development Corpora,230 Third Avenue,Waltham,MA,02451,NA,NA,NA,NA,1000000,1992-05-08,1992,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541710,"Research and Development in the Physical, Engineering, and Life Scienc",NA,NA,NORFOLK,MA,MASSACHUSETTS DISTRICT OFFICE,04,CORPORATION,NA,CANCLD,NA,NA,0,35,1872286.6470856688,TRUE,High Technology
20230930,504,"D & M COMPUTING, INC.",1100 32ND AVENUE SOUTH,MOORHEAD,MN,56560,Dakota Business Lending,5630 36th Ave S,Fargo,ND,58104,NA,NA,NA,NA,272000,1992-05-15,1992,09/16/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334111,Electronic Computer Manufacturing,NA,NA,CLAY,MN,NORTH DAKOTA DISTRICT OFFICE,07,CORPORATION,NA,PIF,05/31/2005,NA,0,19,509261.9680073019,TRUE,Computing
20230930,504,OPTA FOOD INGREDIENTS INC,64 SIDNEY ST,CAMBRIDGE,MA,02159,New England Certified Developm,500 Edgewater Dr.,Wakefield,MA,01880,NA,NA,NA,NA,516000,1992-05-20,1992,07/14/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,541710,"Research and Development in the Physical, Engineering, and Life Scienc",NA,NA,MIDDLESEX,MA,MASSACHUSETTS DISTRICT OFFICE,NA,CORPORATION,NA,PIF,05/31/2005,NA,0,38,966099.9098962051,TRUE,High Technology
20230930,504,"AMERICAN DATA TECHNOLOGY, INC.",1700 NW 65 AVENUE,PLANTATION,FL,33313,Florida Business Development C,1715 North Westshore Blvd,Tampa,FL,33607,NA,NA,NA,NA,610000,1992-05-28,1992,08/12/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,BROWARD,FL,SOUTH FLORIDA DISTRICT OFFICE,20,CORPORATION,NA,PIF,05/31/2005,NA,0,58,1142094.854722258,TRUE,Computing
20230930,504,"ELECTRONICS AID, INC.",ROXBURY ROAD,MARLBOROUGH,NH,03455,Granite State Economic Develop,One Cate Street,Portsmouth,NH,03802,NA,NA,NA,NA,77000,1992-06-04,1992,12/16/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,CHESHIRE,NH,NEW HAMPSHIRE DISTRICT OFFICE,02,CORPORATION,NA,PIF,05/31/2005,NA,0,3,144166.0718255965,TRUE,Microelectronics
20230930,504,"CHEMAQUA,FILTRONICS & AQUARIAN",1721 IVES AVENUE,OXNARD,CA,93033,California Statewide Certified,426 D Street,Davis,CA,95616,NA,NA,NA,NA,459000,1992-06-26,1992,09/16/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,325411,Medicinal and Botanical Manufacturing,NA,NA,VENTURA,CA,LOS ANGELES DISTRICT OFFICE,26,INDIVIDUAL,NA,PIF,12/01/2009,NA,0,14,859379.571012322,TRUE,Biotechnology
20230930,504,ETI SYSTEMS,215 VIA DEL NORTE,CARLSBAD,CA,92008,CDC Small Business Finance Cor,2448 Historic Decatur Road,San Diego,CA,92106,NA,NA,NA,NA,286000,1992-06-26,1992,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334513,"Instruments and Related Products Manufacturing for Measuring, Displayi",NA,NA,SAN DIEGO,CA,SAN DIEGO DISTRICT OFFICE,49,CORPORATION,NA,PIF,10/31/2018,NA,0,30,535473.9810665012,TRUE,High Technology
20230930,504,"SOUTHTRONICS, INC.",3675 KENNESAW NORTH IND PKWY,KENNESAW,GA,30144,Capital Partners Certified Dev,1775 The Exchange SE,Atlanta,GA,30339,NA,NA,NA,NA,317000,1992-06-30,1992,10/13/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,COBB,GA,GEORGIA DISTRICT OFFICE,06,CORPORATION,NA,CHGOFF,NA,06/17/1996,306697,10,593514.867126157,TRUE,Microelectronics
20230930,504,"NOBL LABORATORIES, INC.",1568 N. MAIN AVENUE,SIOUX CENTER,IA,51250,Siouxland Economic Development,"617 Pierce St., Suite 201",Sioux City,IA,51101,NA,NA,NA,NA,724000,1992-06-30,1992,07/14/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,325411,Medicinal and Botanical Manufacturing,NA,NA,SIOUX,IA,DES MOINES DISTRICT OFFICE,04,CORPORATION,NA,PIF,05/31/2005,NA,0,96,1355535.532490024,TRUE,Biotechnology
20230930,504,COMPUSPEAK INC,15065 W 116 STREET,OLATHE,KS,66062,"Heartland Business Capital, In",8900 Indian Creek Pkwy,Overland Park,KS,66210,NA,NA,NA,NA,364000,1992-07-07,1992,09/16/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541512,Computer Systems Design Services,NA,NA,JOHNSON,KS,KANSAS CITY DISTRICT OFFICE,03,CORPORATION,NA,PIF,10/01/2009,NA,0,20,681512.3395391834,TRUE,Computing
20230930,504,"JIMGAR PROPERTIES, INC.","2245 FIRST ST., SUITE 106",SIMI VALLEY,CA,93065,California Statewide Certified,426 D Street,Davis,CA,95616,NA,NA,NA,NA,413000,1992-07-07,1992,01/13/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541511,Custom Computer Programming Services,NA,NA,VENTURA,CA,LOS ANGELES DISTRICT OFFICE,25,CORPORATION,NA,PIF,06/30/2006,NA,0,30,773254.3852463812,TRUE,Computing
20230930,504,"SNOW, GARY C.","LOT 16, PERFORMANCE DRIVE, H",CICERO,NY,13039,Greater Syracuse Business Deve,224 Harrison St,Syracuse,NY,13202,NA,NA,NA,NA,511000,1992-07-15,1992,09/15/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,NA,NA,ONONDAGA,NY,SYRACUSE DISTRICT OFFICE,22,CORPORATION,NA,PIF,05/31/2005,NA,0,15,956738.4766607768,TRUE,Modern Telecom
20230930,504,SUMMIT ENVIROSOLUTIONS,10201 WAYZATA BLVD,MINNETONKA,MN,55343,Twin Cities-Metro Certified De,3495 Vadnais Center Drive,Vadnais Heights,MN,55110,NA,NA,NA,NA,408000,1992-07-15,1992,10/14/1992,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,541710,"Research and Development in the Physical, Engineering, and Life Scienc",NA,NA,HENNEPIN,MN,MINNESOTA DISTRICT OFFICE,03,CORPORATION,NA,PIF,05/31/2005,NA,0,70,763892.9520109529,TRUE,High Technology
20230930,504,"RPI, INC.",2914 CARLISLE AVE,RACINE,WI,53404,Racine County Business Develop,2320 Renaissance Blvd.,Sturtevant,WI,53177,NA,NA,NA,NA,155000,1992-08-13,1992,NA,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334411,Electron Tube Manufacturing,NA,NA,RACINE,WI,MILWAUKEE,01,CORPORATION,NA,CANCLD,NA,NA,0,45,290204.4302982787,TRUE,Microelectronics
20230930,504,NGUYEN ELECTRONICS INCORPORAT,1701 93RD LANE N.E.,BLAINE,MN,55434,Central Minnesota Development,1885 Station Parkway,Andover,MN,55304,NA,NA,NA,NA,310000,1992-08-18,1992,04/14/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,334412,Bare Printed Circuit Board Manufacturing,NA,NA,ANOKA,MN,MINNESOTA DISTRICT OFFICE,03,CORPORATION,NA,PIF,10/01/2009,NA,0,100,580408.8605965574,TRUE,Microelectronics
20230930,504,KABCO PHARMACEUTICALS INC.,2000 NEW HORIZON BLVD.,NORTH AMITYVILLE,NY,11701,Empire State Certified Develop,50 Beaver Street,Albany,NY,12207,NA,NA,NA,NA,705000,1992-08-31,1992,05/12/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,240,325411,Medicinal and Botanical Manufacturing,NA,NA,SUFFOLK,NY,MELVILLE BRANCH OFFICE,02,CORPORATION,NA,PIF,04/30/2013,NA,0,49,1319962.0861953965,TRUE,Biotechnology
20230930,504,MICROSIGNAL CORP.,106 SOUTH MAIN STREET,BUTLER,PA,16001,NA,NA,NA,NA,NA,NA,NA,NA,NA,53000,1992-09-16,1992,10/13/1993,504,Sec. 504 - Loan Guarantees - Private Sector Financed,120,334113,Computer Terminal Manufacturing,NA,NA,BUTLER,PA,PITTSBURGH DISTRICT OFFICE,15,CORPORATION,NA,PIF,05/31/2005,NA,0,5,99231.19229554044,TRUE,Computing
