Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2007,NA,Defense,Air Force,Aircraft,Aircraft,FALSE,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,Y,X,2008,FALSE,1900,NA,>1-2 Years,1,9600,NA,1,2007-01-01,2007,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Air Force,Small,13591.649272564737,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2011,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,NA,2011,FALSE,2011,<=2 Months,>2-7 Months,12,11244.9399,NA,12,2011-01-01,2011,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Small,15005.135706945786,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2014,TRUE,2014,>2-4 Years,>2-4 Years,3,386731,NA,3,2012-01-01,2012,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Medium,506852.6217316896,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,DISA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,N,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,1,26672.75,NA,1,2007-01-01,2007,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Other DoD,Small,37763.19407654178,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,BPA,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2018,NA,2018,>2-4 Years,>2-4 Years,5,0,NA,5,2018-01-01,2018,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,4,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2025,NA,2024,>7-12 Months,>2-4 Years,2,0,NA,2,2024-01-01,2024.4,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2007,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,X,2007,FALSE,2007,>2-7 Months,>1-2 Years,1,3638,NA,1,2007-01-01,2007,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,5150.668755582345,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2009,NA,Defense,Army,Aircraft,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,Y,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,4,1126223.52,NA,4,2009-01-01,2009,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,Army,Small,1546261.4442426946,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Air Force,Clothing & Subsistence,Other Products,NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2021,FALSE,2021,>7-12 Months,>7-12 Months,10,198817.9989,NA,11,2021-01-01,2021,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Air Force,Small,222453.8324994263,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,R,Medium >1B (Small Subsidiary),TRUE,N,N,X,2007,FALSE,2012,>4 years,>7-12 Months,1,1000000,NA,1,2006-01-01,2006,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Medium,1454772.9704578673,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2017,NA,Defense,Navy,Fuels,Other Products,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2017,FALSE,2017,>7-12 Months,>2-7 Months,1,8461.5498,NA,1,2017-01-01,2017,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Fuels,Products (All),Products (All),Other Products,Navy,Small,10329.013842844204,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Army,R&D administrative and operational expenses,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,X,2009,FALSE,2009,>7-12 Months,>7-12 Months,1,470000,NA,1,2008-01-01,2008,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Small,651890.6939754534,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,DLA,Other,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,Y,N,N,NA,FALSE,NA,NA,NA,1,0,NA,NA,2014-01-01,2014,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2006,NA,Defense,Air Force,ERS,Land Vehicles,NA,NA,PO,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,FALSE,Y,N,X,2005,FALSE,1900,NA,>7-12 Months,1,-48515,NA,1,2006-01-01,2006,Full Year,Air Force,Air Force,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Air Force,Medium,-70578.31066176342,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2015,NA,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2016,NA,2016,>7-12 Months,>2-7 Months,1,79973,NA,1,2015-01-01,2015,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,100064.61777201614,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Navy,Electronics & Communications,Aircraft,NA,NA,BOA,Competition with single offer (Overrode blank Fair Opportunity),One Offer,FFP,J,Large: Big 5,TRUE,N,Y,NA,2020,NA,2015,>2-7 Months,>4 years,2,-48926.1602,NA,2,2020-01-01,2020,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Navy,Big Five,-56626.68412561258,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2003,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,N,N,X,2004,FALSE,1900,NA,>7-12 Months,2,120152,NA,2,2003-01-01,2003,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,DLA,Large,190504.67113562732,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2008,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,NA,NO,Medium <1B,FALSE,Y,N,X,2009,FALSE,2008,>2-7 Months,>2-7 Months,1,2469,NA,1,2008-01-01,2008,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,3424.5066455859455,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,TRUE,N,N,X,2016,FALSE,2011,>2-7 Months,>4 years,1,-11209.21,NA,1,2020-01-01,2020,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,-12973.435711549211,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2008,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,X,2008,FALSE,2008,>2-7 Months,>2-7 Months,7,299356.33,NA,7,2008-01-01,2008,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,415207.6717226486,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,1,Defense,Army,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,NA,2022,FALSE,2020,>1-2 Years,>2-4 Years,1,1550234.625,NA,1,2023-01-01,2023.1,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,1550234.625,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2000,NA,Defense,Navy,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2001,FALSE,NA,NA,>7-12 Months,1,2497,NA,1,2000-01-01,2000,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,4197.88995826778,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2002,NA,Defense,DLA,Ground Vehicles,Land Vehicles,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,2003,FALSE,1900,NA,>7-12 Months,1,93756,NA,1,2002-01-01,2002,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,DLA,Small,151506.41942763343,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2010,NA,Defense,Air Force,Commercialization,"Electronics, Comms, & Sensors",FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Incentive,V,Large: Big 5,NA,N,N,X,2010,FALSE,2009,>2-7 Months,>1-2 Years,1,-116000,NA,1,2010-01-01,2010,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Incentive,CB-Incentive,Cost-Based,Incentive,Incentive,No Government Furnished,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Air Force,Big Five,-157896.07487522252,Cost-Based,>1 year,Cost-Based,Cost-Based,Incentive,<=1 year
2011,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,NA,2011,FALSE,2006,>2-7 Months,>4 years,1,-7106.2998,NA,1,2011-01-01,2011,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,-9482.575613698184,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2009,NA,Defense,Air Force,Launchers & Munitions,Ships & Submarines,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,1,19035,NA,1,2009-01-01,2009,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ships & Submarines,Air Force,Small,26134.32064636662,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Navy,Other,"Electronics, Comms, & Sensors",NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,NA,2016,NA,2016,>1-2 Years,>1-2 Years,2,44068,NA,2,2015-01-01,2015,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,55139.204181126224,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,Navy,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),25-99 Offers,Other CB,U,Small,TRUE,N,N,Y,2020,FALSE,2022,>4 years,>2-4 Years,1,711831,NA,1,2019-01-01,2019,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,834628.8560725556,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2019,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Large,TRUE,Y,N,NA,2019,FALSE,2019,>7-12 Months,>7-12 Months,15,97782.941,NA,15,2019-01-01,2019,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,114651.46107747513,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
