"TopAgencyText","SWpsc","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"DEPT OF THE NAVY","Software Development Related",0.51396363511923,0.516028113910848,0.424079945195432,0.344442779911182,0.438479395994144,0.620371919296907,0.772724613657015,0.920430319924417,1.0204320312246,1.16196111832467,1.1186876741002,1.09504673109284,2.06205002845011,1.58241370250414,0.945078352594901,1.03013507934557,1.21574892276402,1.15405015114615,1.41704049903547,1.52144691242594,1.37854957955273,0.699546331932943,0.3670308207791
"DEPT OF THE NAVY","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,1.07658074051408,1.1020967786904
"DEPT OF THE NAVY","Teleprocessing / Cloud Computing",,,,,0.0013358412234815,0.00112448141811611,0.000620641817267629,,,-3.65807990996297e-06,0.000387170097364992,,,0.000230957375967245,0.0016415135036571,0.000532938831110327,0.000195606869137236,0.00143773449302596,0.0474853679842175,0.0619445606392849,0.100303034820494,0.0279335343440034,0.0030063450676
"Other Labeled
Agency","ADP Hardware as a product",0.199522561464673,0.197025650975914,0.235488711742421,0.452093770861118,0.421333129567854,0.247793166726081,0.236325557007915,0.128513788600702,0.119529378386846,0.148948362387501,0.148004961211722,0.165475415133022,0.133867900277912,0.114746750011534,0.151279041445589,0.118793330222438,0.13922797520724,0.112007857422047,0.102662195672864,0.0966104043344739,0.13806113531881,0.0309220655798231,0.0020523705451
"Other Labeled
Agency","Annual Software Maint.",,,,,,,,,,,,,0.00559975093803872,0.0107769521843147,0.0137903714711772,0.0231518191758571,0.0316375833393463,0.0272048535263933,0.0418510219455304,0.047233432743331,0.0543445328656489,0.0237628971354444,0.0029849987522
"Other Labeled
Agency","Other ADP Services",0.0454256739123596,0.065161490345537,0.110815195219601,0.111898167212585,0.0478669612906561,0.0374855338027252,0.0768994430360916,0.0381023410000526,0.0283957240518506,0.0205385476767173,0.0256325028788826,0.0403033191877908,0.0211577821988415,0.0317381309615335,0.0304713438107983,0.020573543485391,0.0253465637171826,0.0298768088489958,0.0353490839986204,0.0219616414332637,0.0565231714282615,0.29152549156883,0.5213808662744
"Other Labeled
Agency","Software as a product",0.0899424472109082,0.05376501453784,0.136744706580437,0.102773993477655,0.15821999695275,0.159540012805621,0.228069717150273,0.0613227689373545,0.0783272718188225,0.0944605040102081,0.160061832869783,0.180968425761805,0.24107653822286,0.229190136875992,0.182724442002289,0.189063807404325,0.161098555317502,0.153709821438599,0.12057033622393,0.187783784630155,0.148474374016106,0.143575153008425,0.1329306109445
"Other Labeled
Agency","Software Development Related",0.245965593968299,0.20191142486872,0.210323875607268,0.627225555996189,0.375964172134975,0.315828901299815,0.174367259069796,0.17196143993612,0.137090728028177,0.154712980924846,0.191316193184977,0.225114773317902,0.258665694393585,0.24878489310615,0.206057286738303,0.291161416361015,0.3108206840815,0.301415377244054,0.268946493806137,0.282732265572594,0.451644408345371,0.353472975330243,0.275705359263
"Other Labeled
Agency","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,0.09032601950381,0.1006991992093
"Other Labeled
Agency","Teleprocessing / Cloud Computing",,,,,,0.00028873094122607,,1.71530975780757e-05,,-1.36457814064251e-05,,,,,1.81217396125493e-05,0.00121727169352775,0.000731822713128805,0.00092977245382799,0.00733447824566045,0.0125839845694535,0.0137159091944742,0.0176818740670359,0.0165005299229
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","ADP Hardware as a product",0.0138594964703327,0.0144944609792794,0.0347884319394403,0.0447345829587891,0.0336013890081971,0.0337331779019607,0.0954131332605255,0.124949029240549,0.170692598411532,0.216111884131024,0.191618625233153,0.158475901106638,0.197484190039321,0.208651233504383,0.132672567052235,0.164356884722044,0.215344952861686,0.162306705725754,0.150847545469514,0.205200721824399,0.156782799333472,0.0124886305402378,0.0112180668965
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Annual Software Maint.",,,,,,,,,,,,,0.00272219032779121,0.000338262349942913,0.000108892835693075,0.00576837565931114,0.0014345381135508,2.54454567180273e-05,4.85181753068675e-05,0.00208348575494433,0.0107719406774782,1.80106959469432e-05,1.68436406e-05
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Other ADP Services",0.00141535851910715,0.00163060656986922,0.00205074885200844,0.0105940806877763,0.0146061976569969,0.000459061985383565,0.00220917459540164,0.00524987255404993,4.15543675194679e-05,0.00027462727573625,0.00202977932041722,0.000318193819711849,0.00135046609853834,0.0020267263107488,0.00081007105157434,,0.000148640927894304,0.00221828602311332,0.00354637162012196,0.00514615730983191,0.0183405819817707,0.172984427670915,0.2097632221039
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Software as a product",0.00553141627932366,0.00157102841325323,0.0021633326635754,0.0026996670437618,0.0271921589014668,0.00709170110429176,0.010274322389678,0.0227693493816889,0.024345060405883,0.023059963072832,0.0365083221588774,0.023311678583152,0.0556602302175946,0.12024367159685,0.0883669706328935,0.0959601973382234,0.207577655173263,0.226043782557857,0.175461422421555,0.189490081596066,0.260459099582882,0.1452754959682,0.1362279408184
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Software Development Related",0.00235803359642427,0.00416006276895118,0.0301678491914003,0.0902026914057066,0.0724839323311441,0.0806177239108052,0.209651463316316,0.291801934556419,0.294109324110869,0.319447835623485,0.265151852303205,0.341431890139627,0.340485736966841,0.346711535992324,0.350057680077868,0.362952120062677,0.398677731789523,0.398787761128594,0.380193748261789,0.420091692395099,0.424808865312962,0.372273685144949,0.2812952865008
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Software/ADP Hardware as a product",,,,,,,,,,,,,,,,,,,,,,0.181508560130195,0.2198652160978
"U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)","Teleprocessing / Cloud Computing",,,,,,,,,,,,,0.00486636822121392,0.00130221241226602,,,0.000548185462780688,0.00049787966779472,0.00171592582115047,0.0025183002283534,0.00261581406692567,0.00108204685246984,-3.97494609e-05
