"","ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","SpaceArea"
"17487","4430","INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS","Other",NA
"17795","6099","MISC FIBER OPTIC COMPONENTS","Electronics & Communications",NA
"17831","1730","AIRCRAFT GROUND SERVICING EQUIPMENT","Aircraft",NA
"17951","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","Clothing & Subsistence",NA
"18888","N099","INSTALL OF MISC EQ","ERS",NA
"19078","2610","TIRES & TUBES PNEUMATIC EXCEPT AIR","Ground Vehicles",NA
"19181","D301","ADP FACILITY MANAGEMENT","ICT",NA
"19390","AJ14","PHYSICAL SCIENCES (ENGINEERING)","Engineering Development",NA
"19714","6615","AUTO PILOT MECHANISMS AIRBORNE GYRO","Aircraft",NA
"19766","6695","COMBINATION & MISC INSTRUMENTS","Other",NA
"19988","S113","TELEPHONE AND-OR COMMUNICATIONS SER","ICT",NA
"20100","R706","LOGISTICS SUPPORT SERVICES","PAMS",NA
"20287","Z219","MAINT-REP-ALT/OTHER CONSV STRUCTURE","FRS&C",NA
"20299","6135","BATTERIES, NONRECHARGEABLE","Engines & Power Plants",NA
"20303","G002","CHAPLAIN SERVICES","MED",NA
"20349","L059","TECH REP SVCS/ELECT-ELCT EQ","PAMS",NA
"20806","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS","Other",NA
"21752","Z223","MAINT-REP-ALT/TUNNELS-SUBSURF STRUC","FRS&C",NA
"21933","V214","MARINE PASSENGER SERVICE","PAMS",NA
"21941","6105","MOTORS, ELECTRICAL","Engines & Power Plants",NA
"21967","6310","TRAFFIC AND TRANSIT SIGNAL SYSTEMS","Electronics & Communications",NA
"22021","6940","COMMUNICATION TRAINING DEVICES","Other",NA
"22177","5945","RELAYS AND SOLENOIDS","Electronics & Communications",NA
"22212","4240","SAFETY AND RESCUE EQUIPMENT","Other",NA
"22704","Z300","MAINT, REP-ALT/RESTORATION","FRS&C",NA
"23907","C215","A/E PROD ENG SVCS (INCL DESIGN-CONT","PAMS",NA
"24080","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","ICT",NA
"24777","AR20","R&D-SPACE SCIENCE & APPL","Uncategorized R&D",NA
"25169","5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR","Electronics & Communications",NA
"26049","5915","FILTERS AND NETWORKS","Electronics & Communications",NA
"26181","2995","MISC ENGINE ACCESSORIES - AIRCRAFT","Engines & Power Plants",NA
"26619","7045","ADP SUPPLIES","Electronics & Communications",NA
"27028","6505","DRUGS AND BIOLOGICALS","Clothing & Subsistence",NA
"27099","W066","LEASE OR RENTAL OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT","ERS",NA
"28064","4520","SPACE AND WATER HEATING EQUIPMENT","Other",NA
"28254","D320","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS","ICT",NA
"28376","D313","COMPUTER AIDED DESGN/MFG SVCS","ICT",NA
"29261","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","Electronics & Communications",NA
"30338","AR90","R&D-OTHER SPACE","Uncategorized R&D",NA
"30827","J998","NON-NUCLEAR SHIP REPAIR (EAST)","ERS",NA
"31987","5836","VIDEO RECORDING AND REPRODUCING EQU","Electronics & Communications",NA
"32538","L017","TECH REP SVCS/AIRCRAFT GROUND EQ","PAMS",NA
"33364","6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES","Electronics & Communications",NA
"34863","6115","GENERATORS & GENERATOR SETS ELECT","Engines & Power Plants",NA
"34929","W038","LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT","ERS",NA
"35064","S215","HOUSEKEEPING- WAREHOUSING/STORAGE","FRS&C",NA
"36196","Z126","MAINT-REP-ALT/MISSILE SYSTEMS FAC","FRS&C",NA
"36255","6110","ELECTRICAL CONTROL EQUIPMENT","Engines & Power Plants",NA
"36257","J016","MAINT-REP OF AIRCRAFT COMPONENTS","ERS",NA
"37424","6710","CAMERAS, MOTION PICTURE","Other",NA
"37590","3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT","Other",NA
"37679","2090","MISC SHIP & MARINE EQ","Ships",NA
"37911","AD66","CONSTRUCTION (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"37918","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","PAMS",NA
"39197","D304","ADP SVCS/TELECOMM & TRANSMISSION","ICT",NA
"39308","AN95","OTHER MEDICAL (OPERATIONAL)","Operational Systems Development",NA
"39980","J087","MAINT-REP OF AGRICULTURAL SUPPLIES","ERS",NA
"40567","AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","Operational Systems Development",NA
"40671","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE","Fuels",NA
"41300","AC16","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","R&D administrative and operational expenses",NA
"41395","J039","MAINT-REP OF MATERIALS HANDLING EQ","ERS",NA
"41692","6640","LABORATORY EQUIPMENT AND SUPPLIES","Other",NA
"41913","J070","MAINT-REP OF ADP EQ & SUPPLIES","ICT",NA
"41929","K059","MOD OF ELECT-ELCT EQ","ERS",NA
"43251","4940","MISC MAINT EQ","Other",NA
"43562","4440","DRIERS DEHYDRATORS & ANHYDRATORS","Other",NA
"44368","Y216","CONSTRUCTION OF DREDGING","FRS&C",NA
"44697","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","PAMS",NA
"44840","AC51","R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH)","Basic Research (6.1)",NA
"44929","Y161","CONSTRUCT/FAMILY HOUSING","FRS&C",NA
"45132","2541","VEH ACCESSORY/WEAPONS SYS SPECIFIC","Ground Vehicles",NA
"45692","5930","SWITCHES","Electronics & Communications",NA
"45758","AR57","R&D-SPACE & TERRESTRIAL-COMERCLIZ","Commercialization",NA
"46267","5865","ELEC COUNTERMEASURE & QUICK REAC EQ","Electronics & Communications",NA
"46278","6685","PRESSURE TEMP HUMIDITY INSTRUMENTS","Other",NA
"46447","M199","OPER OF GOVT MISC BLDGS","FRS&C",NA
"46665","D308","IT AND TELECOM- PROGRAMMING","ICT",NA
"47115","N059","INSTALL OF ELECT-ELCT EQ","ERS",NA
"47164","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING","Aircraft",NA
"47690","6675","DRAFTING SURVEYING & MAPPING INSTRU","Other",NA
"47857","4310","COMPRESSORS AND VACUUM PUMPS","Other",NA
"48493","AC11","DEFENSE AIRCRAFT (BASIC)","Basic Research (6.1)",NA
"49129","2540","VEHICULAR FURNITURE AND ACCESSORIES","Ground Vehicles",NA
"49671","J019","MAINT-REP OF SHIPS-SML CRAFT-DOCKS","ERS",NA
"50020","7830","RECREATIONAL & GYMNASTIC EQ","Other",NA
"50121","AD94","OTHER DEFENSE (ENGINEERING)","Engineering Development",NA
"50478","Y127","CONSTRUCT/ELCT & COMM SYSTEM FAC","FRS&C",NA
"50747","AS13","AIR TRANSPORTATION (ADVANCED)","Advanced Development",NA
"52898","9390","MISC FABRICATED NONMETAL MATERIALS","Other",NA
"53683","W070","LEASE OR RENTAL OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","ICT",NA
"54004","3010","TORQUE CONVERTERS & SPEED CHANGERS","Ground Vehicles",NA
"54290","4510","PLUMBING FIXTURES AND ACCESSORIES","Other",NA
"54695","2040","MARINE HARDWARE AND HULL ITEMS","Ships",NA
"54894","J055","MAINT-REP OF LUMBER & MILLWORK","ERS",NA
"55706","AR27","R&D-SPACE SCIENCE-COMERCLIZ","Commercialization",NA
"56151","R406","POLICY REVIEW/DEVELOPMENT SERVICES","PAMS",NA
"56661","6635","PHYSICAL PROPERTIES TEST EQ","Other",NA
"56848","2915","ENGINE FUEL SYSTEM COMPONENTS AIR","Engines & Power Plants",NA
"57105","5835","SOUND RECORDING & REPRODUCING EQ","Electronics & Communications",NA
"57128","1910","TRANSPORT VESSELS, PASSENGER AND TROOP","Ships",NA
"58292","D302","ADP SYSTEMS DEVELOPMENT SERVICES","ICT",NA
"59383","5280","SETS, KITS & OUTFITS OF MEASURING T","Other",NA
"59771","F109","ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT","FRS&C",NA
"61197","Z299","MAINT, REP/ALTER/ALL OTHER","FRS&C",NA
"61716","8970","COMPOSITE FOOD PACKAGES","Clothing & Subsistence",NA
"62691","B553","COMMUNICATIONS STUDIES","PAMS",NA
"63926","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","Basic Research (6.1)",NA
"64623","W058","LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","ICT",NA
"65028","5120","HAND TOOLS, NONEDGED, NONPOWERED","Other",NA
"65426","V124","MARINE CHARTER FOR THINGS","ERS",NA
"66312","8460","LUGGAGE","Clothing & Subsistence",NA
"66560","6610","FLIGHT INSTRUMENTS","Aircraft",NA
"66763","B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","PAMS",NA
"68605","Q301","LABORATORY TESTING SERVICES","MED",NA
"69290","7641","AERO MAPS, CHARTS, GEODETIC PRODS","Other",NA
