"DISAprodserv","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Other Services and R&D","Unlabeled",66158917.0441676,29472904.2124287,20849725.7670377,14377700.9222661,12262800.4915103,1093349.65825774,453208.328260075,4934374.27660087,1545685.68218164,1013505.00549901,806653.924675623,781567.042507611,651618.716150442,692389.32295082,310081.346724418,814965.960646671,1705760.02311056,20491697.0644832,10919185.5934
"Software as a product","Commercial",78087072.4801812,77610093.1461143,89100604.6361662,52075561.2648221,133042338.07762,126709049.436063,202499895.973457,289177643.094969,236673067.521423,333054205.070785,333983124.499713,439109137.785545,593908806.105973,666823799.026776,644751169.393611,816419927.602744,497986239.182594,435557850.651464,189389371.1352
"Software as a product","Non-Commercial",8878421.57417894,5319705.26901154,8207679.88053217,334728.590250329,7545183.19928508,114200.472225674,2851303.14075247,598223.262879153,1457799.87552214,43282972.8969229,9357494.32851074,4797862.88194836,2530666.92477876,18146653.5303825,14372145.9931781,15202669.4408636,13085725.262336,16484022.1364147,38385965.9247
"Software as a product","Non-Developmental",1337910.53227633,NA,NA,NA,19089.7484999362,NA,NA,NA,NA,NA,1795844.20461591,1991017.49915436,720510.17699115,0,-15522.3282079047,238296.557434588,NA,NA,NA
"Software as a product","Not IT",NA,NA,NA,NA,NA,592854.479930409,2030942.87751126,1801097.13288397,522543.384174723,505179.902304902,1035374.80985188,679220.588566919,-74652.9646017699,NA,NA,NA,-4515.68811159692,NA,NA
"Software as a product","Unlabeled",0,-376258.862783262,568053.217485745,3709747.03557312,39113450.8838248,63855601.7133093,31692252.5443809,54639631.5136013,47883517.3012293,2417440.91552592,-1058685.20714204,-0.676513699402413,-21.1615044247788,0,1299167.02761234,0,33233.2900270664,1211125.39944904,3833547.3311
"Other Products","Commercial",511474556.908267,405456920.617267,553447865.870214,230836387.351779,131829345.251245,234350073.800795,257667136.604529,199131538.09533,299780588.662609,193380626.039897,188409390.017338,329327552.393731,332430587.34458,294781214.790492,349256878.920087,220396428.703574,350474294.770352,378964436.579839,359163676.7047
"Other Products","Non-Commercial",25659030.2944507,49559147.7825664,182814869.671463,22681338.6034256,14678590.9865952,8159619.59786256,18864844.490442,895953.212806933,41164653.2114811,5859242.12987013,25617894.1768286,8932395.85049047,6566241.01769911,5573028.81125683,11305653.5308067,25314668.6332695,15956630.6988341,146468966.402204,131775920.5
"Other Products","Non-Developmental",1661548.69762174,237587.932712359,22874.0157480315,NA,NA,NA,NA,NA,48432.86597446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other Products","Not IT",NA,NA,NA,124932.806324111,89673764.6067918,72909355.4819187,75841682.9172044,78646050.349663,129487958.714166,65487034.8542178,67905048.871627,52877223.4566467,166861388.152876,128299081.150383,66831398.224797,90571161.791321,131801440.529253,235898919.54321,215799169.7322
"Other Products","Unlabeled",18854825.8776897,34133381.0649242,66262635.0800977,323370878.787879,109223159.824716,21494443.0841307,13360421.5754292,8076030.54814637,2891840.14536341,1587432.15607816,1501709.77138592,-2581138.07644605,898652.931415929,5040217.24590164,9090.92582566324,9875263.19931929,1990893.20737039,66869.7071727375,210473.4782
"Unlabeled","Commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538415.249741647,2203399.96617432,110088859.037611,120097057.483279,43796343.258798,65946704.5012763,101486335.68884,478499830.664932,994265811.8788
"Unlabeled","Non-Commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37542.3948584959,4708.24115044248,NA,NA,1729103.87024037,5176672.49604414,11262750.2897664,85815082.0705
"Unlabeled","Non-Developmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14230.8547117635,11094.6283572767,NA,NA
"Unlabeled","Unlabeled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423681.862871136,2683888.0625
