"NAICS_Code","naics_text","mismatch","exclude","obl","rcp","pay","EMP","minyear","maxyear","NAICS.display.label"
"422",NA,"Reassigned in 2002","Not in sample",45357581.2749,NA,NA,NA,2007,2016,NA
"423","Merchant Wholesalers, Durable Goods",NA,"No",35570935013.307,30251159030000,2117965115000,34869055,2007,2016,"Merchant wholesalers, durable goods"
"424","Merchant Wholesalers, Nondurable Goods",NA,"No",74947235211.8747,35496337555000,1238871565000,22817255,2007,2016,"Merchant wholesalers, nondurable goods"
"425","Wholesale Electronic Markets and Agents and Brokers",NA,"No",48078524.6845,6330939140000,134804500000,2860200,2007,2016,"Wholesale electronic markets and agents and brokers"
"441","Motor Vehicle and Parts Dealers",NA,"No",617397370.9053,8799210090000,714849285000,18122320,2007,2016,"Motor vehicle and parts dealers"
"442","Furniture and Home Furnishings Stores",NA,"No",446202738.1102,986387970000,131840235000,4910640,2007,2016,"Furniture and home furnishings stores"
"443","Electronics and Appliance Stores",NA,"No",5980845271.9384,1049305660000,105882735000,4510760,2007,2016,"Electronics and appliance stores"
"444","Building Material and Garden Equipment and Supplies Dealers",NA,"No",1086538296.8835,2987301205000,356257880000,12380190,2007,2016,"Building material and garden equipment and supplies dealers"
"445","Food and Beverage Stores",NA,"No",32370603.9446,5796155690000,575972920000,28459060,2007,2016,"Food and beverage stores"
"446","Health and Personal Care Stores",NA,"No",3413368436.1945,2522439005000,297050245000,10351755,2007,2016,"Health and personal care stores"
"447","Gasoline Stations",NA,"No",16892906.8381,5023346675000,151215935000,8736835,2007,2016,"Gasoline stations"
"448","Clothing and Clothing Accessories Stores",NA,"No",104682535.54,2247295180000,274277015000,16540695,2007,2016,"Clothing and clothing accessories stores"
"451","Sporting Goods, Hobby, Musical Instrument, and Book Stores",NA,"No",664785740.1049,802424360000,94236455000,5769240,2007,2016,"Sporting goods, hobby, musical instrument, and book stores"
"452","General Merchandise Stores",NA,"No",135702266.359,6088624815000,562308440000,27680430,2007,2016,"General merchandise stores"
"453","Miscellaneous Store Retailers",NA,"No",542438515.2681,1008283300000,142871130000,7527100,2007,2016,"Miscellaneous store retailers"
"454","Nonstore Retailers",NA,"No",273066425.29,3376652685000,252337910000,6105600,2007,2016,"Nonstore retailers"
"481","Air Transportation",NA,"No",42431813680.4709,1639425120000,261778345000,4613660,2007,2016,"Air transportation"
"482",NA,"Not tracked: Railroads","Not in stats",4691693.5353,NA,NA,NA,2007,2016,NA
"483","Water Transportation",NA,"No",17322243522.3208,380777270000,46731875000,717125,2007,2016,"Water transportation"
"484","Truck Transportation",NA,"No",3585851512.1364,2279183220000,580636845000,14355125,2007,2016,"Truck transportation"
"485","Transit and Ground Passenger Transportation",NA,"No",1146144646.0422,275759185000,105599870000,4700150,2007,2016,"Transit and ground passenger transportation"
"486","Pipeline Transportation",NA,"No",4429358.5093,311004625000,41521530000,421755,2007,2016,"Pipeline transportation"
"487","Scenic and Sightseeing Transportation",NA,"No",2953972.7312,27699295000,7428870000,261555,2007,2016,"Scenic and sightseeing transportation"
"488","Support Activities for Transportation",NA,"No",46348093334.4775,950174675000,265070985000,6130240,2007,2016,"Support activities for transportation"
"491",NA,"Not tracked: Postal Service","Not in stats",328157285.1741,NA,NA,NA,2007,2016,NA
"492","Couriers and Messengers",NA,"No",1041610232.8605,736193455000,207935765000,5433420,2007,2016,"Couriers and messengers"
"493","Warehousing and Storage",NA,"No",5271291121.5658,252071705000,268415880000,7166205,2007,2016,"Warehousing and storage"
"511","Publishing Industries (except Internet)",NA,"No",9058381157.7279,2771875765000,806465535000,9846665,2007,2016,"Publishing industries (except internet)"
"512","Motion Picture and Sound Recording Industries",NA,"No",717526092.5027,934800815000,169437235000,3201520,2007,2016,"Motion picture and sound recording industries"
"513",NA,"Reassigned in 2002","Not in sample",2026842029.5128,NA,NA,NA,2007,2016,NA
"514",NA,"Reassigned in 2002","Not in sample",786478334.2582,NA,NA,NA,2007,2016,NA
"515","Broadcasting (except Internet)",NA,"No",250498251.5997,1133209970000,192042325000,2865220,2007,2016,"Broadcasting (except internet)"
"516",NA,"Reassigned in 2007","Not in sample",11634868.9268,NA,NA,NA,2007,2016,NA
"517","Telecommunications",NA,"No",51020189814.2812,5183589240000,756481995000,11927295,2007,2016,"Telecommunications"
"518","Data Processing, Hosting, and Related Services",NA,"No",2590807202.8946,873230590000,337774345000,4455205,2007,2016,"Data processing, hosting, and related services"
"519","Other Information Services",NA,"No",1538626945.83,657324155000,227329620000,1794090,2007,2016,"Other information services"
"521","Monetary Authorities-Central Bank",NA,"No",81562.5596,280039340000,7100674000,93705,2007,2014,"Monetary authorities - central bank"
"522","Credit Intermediation and Related Activities",NA,"No",96344912.7298,12192672435000,1825495200000,30477435,2007,2016,"Credit intermediation and related activities"
"523","Securities, Commodity Contracts, and Other Financial Investments and Related Activities",NA,"No",3798961878.827,5634806240000,1673665150000,8942365,2007,2016,"Securities, commodity contracts, and other financial investments and related activities"
"524","Insurance Carriers and Related Activities",NA,"No",101885812637.422,17973914865000,1615269500000,23639560,2007,2016,"Insurance carriers and related activities"
"525","Funds, Trusts, and Other Financial Vehicles","Not tracked: Pension and Other Funds","Not in stats",13130170.792,NA,NA,NA,2007,2016,NA
"531","Real Estate",NA,"No",1118154378.1012,3278877660000,611460895000,14657605,2007,2016,"Real estate"
"532","Rental and Leasing Services",NA,"No",4530579013.9145,1255103260000,211874810000,5576910,2007,2016,"Rental and leasing services"
"533","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",NA,"No",8758542.8414,329588310000,27118395000,326730,2007,2016,"Lessors of nonfinancial intangible assets (except copyrighted works)"
"541","Professional, Scientific, and Technical Services",NA,"No",797446909187.808,13656402825000,5417402290000,80370745,2007,2016,"Professional, scientific, and technical services"
"551","Management of Companies and Enterprises",NA,"No",351004.3792,753242094000,1865082682000,19485599,2007,2014,"Management of companies and enterprises"
"561","Administrative and Support Services",NA,"No",146493805505.191,5747103410000,2978295625000,96353225,2007,2016,"Administrative and support services"
"562","Waste Management and Remediation Services",NA,"No",32160906202.2193,771934725000,174019995000,3772860,2007,2016,"Waste management and remediation services"
"611","Educational Services",NA,"No",20216243644.6113,983409610000,315424720000,11822850,2007,2016,"Educational services"
"621","Ambulatory Health Care Services",NA,"No",18614879913.4859,7412736350000,3072134930000,60892200,2007,2016,"Ambulatory health care services"
"622","Hospitals",NA,"No",5281665465.5792,7899048810000,2911545230000,56400920,2007,2016,"Hospitals"
"623","Nursing and Residential Care Facilities",NA,"No",48680401.1658,1861153040000,806104640000,32174200,2007,2016,"Nursing and residential care facilities"
"624","Social Assistance",NA,"No",1866628437.4735,1370651855000,530012500000,26566835,2007,2016,"Social assistance"
"711","Performing Arts, Spectator Sports, and Related Industries",NA,"No",201960201.558,820967175000,296916515000,4355350,2007,2016,"Performing arts, spectator sports, and related industries"
"712","Museums, Historical Sites, and Similar Institutions",NA,"No",94024984.0143,135057395000,39294680000,1327095,2007,2016,"Museums, historical sites, and similar institutions"
"713","Amusement, Gambling, and Recreation Industries",NA,"No",114106751.7465,997026635000,275842390000,15032635,2007,2016,"Amusement, gambling, and recreation industries"
"721","Accommodation",NA,"No",1684845887.3638,1881247965000,482569730000,19603710,2007,2016,"Accommodation"
"722","Food Services and Drinking Places",NA,"No",9116529421.3645,4728423685000,1352081210000,98438490,2007,2016,"Food services and drinking places"
"811","Repair and Maintenance",NA,"No",23116570695.2323,1408380915000,406718295000,12276025,2007,2016,"Repair and maintenance"
"812","Personal and Laundry Services",NA,"No",954684776.5141,845681250000,277167455000,13434550,2007,2016,"Personal and laundry services"
"813","Religious, Grantmaking, Civic, Professional, and Similar Organizations",NA,"No",366468295.1152,3811652900000,705318550000,17676070,2007,2016,"Religious, grantmaking, civic, professional, and similar organizations"
"814",NA,"Not tracked: Private Households","Not in stats",518560.7574,NA,NA,NA,2007,2016,NA
"921",NA,"Not tracked: Public Administration","No",5225609521.8824,NA,NA,NA,2007,2016,NA
"922",NA,"Not tracked: Public Administration","No",242628504.0619,NA,NA,NA,2007,2016,NA
"923",NA,"Not tracked: Public Administration","No",209621842.779,NA,NA,NA,2007,2016,NA
"924",NA,"Not tracked: Public Administration","No",1007031831.2183,NA,NA,NA,2007,2016,NA
"925",NA,"Not tracked: Public Administration","No",42937365.9812,NA,NA,NA,2007,2016,NA
"926",NA,"Not tracked: Public Administration","No",1192477205.804,NA,NA,NA,2007,2016,NA
"927",NA,"Not tracked: Public Administration","No",4340397872.416,NA,NA,NA,2007,2016,NA
"928",NA,"Not tracked: Public Administration","No",1540035483.1047,NA,NA,NA,2007,2016,NA
"999",NA,"Not tracked: Industries not classified","Not in stats",14236.8701,NA,NA,NA,2008,2008,NA
NA,NA,NA,"Not in stats",13039212289.3119,NA,NA,NA,2007,2016,NA
