"Dur.Simple","Ceil.Simple","StartFY","Term","Action_Obligation_OMB20_GDP18","Count","metric",".group"
"<~1 year","10m+",2010,"Complete or Partial Termination",3005513436.8042,57,"Contracts within Period",26
"<~1 year","10m+",2011,"Unterminated",44123694752.8656,1131,"Contracts within Period",27
"<~1 year","10m+",2011,"Complete or Partial Termination",2462752685.01661,56,"Contracts within Period",27
"<~1 year","10m+",2012,"Unterminated",32845168478.5192,921,"Contracts within Period",28
"<~1 year","10m+",2012,"Complete or Partial Termination",2932362518.6828,45,"Contracts within Period",28
"<~1 year","10m+",2013,"Unterminated",27554275748.0039,822,"Contracts within Period",29
"<~1 year","10m+",2013,"Complete or Partial Termination",691547571.033288,28,"Contracts within Period",29
"<~1 year","10m+",2014,"Unterminated",25165161759.1076,838,"Contracts within Period",30
"<~1 year","10m+",2014,"Complete or Partial Termination",1190021534.49986,47,"Contracts within Period",30
"<~1 year","10m+",2015,"Unterminated",16631984015.5912,654,"Contracts within Period",31
"<~1 year","10m+",2015,"Complete or Partial Termination",142309188.614638,21,"Contracts within Period",31
"<~1 year","10m+",2016,"Unterminated",11779693378.2452,563,"Contracts within Period",32
"<~1 year","10m+",2016,"Complete or Partial Termination",188658754.422199,26,"Contracts within Period",32
"<~1 year","10m+",2017,"Unterminated",11497566074.0644,546,"Contracts within Period",33
"<~1 year","10m+",2017,"Complete or Partial Termination",108591951.380048,20,"Contracts within Period",33
"(~1 year,~2 years]","0k - <100k",2007,"Unterminated",1545471576.62944,28479,"Contracts within Period",34
"(~1 year,~2 years]","0k - <100k",2007,"Complete or Partial Termination",7801702.63030303,468,"Contracts within Period",34
"(~1 year,~2 years]","0k - <100k",2008,"Unterminated",2569835047.74806,33079,"Contracts within Period",35
"(~1 year,~2 years]","0k - <100k",2008,"Complete or Partial Termination",28444702.5409819,836,"Contracts within Period",35
"(~1 year,~2 years]","0k - <100k",2009,"Unterminated",1094722710.75912,29149,"Contracts within Period",36
"(~1 year,~2 years]","0k - <100k",2009,"Complete or Partial Termination",570495879.411321,1282,"Contracts within Period",36
"(~1 year,~2 years]","0k - <100k",2010,"Unterminated",1750719249.84847,28994,"Contracts within Period",37
"(~1 year,~2 years]","0k - <100k",2010,"Complete or Partial Termination",18598394.7527541,731,"Contracts within Period",37
"(~1 year,~2 years]","0k - <100k",2011,"Unterminated",1314369277.38119,31609,"Contracts within Period",38
"(~1 year,~2 years]","0k - <100k",2011,"Complete or Partial Termination",10240582.2054208,885,"Contracts within Period",38
"(~1 year,~2 years]","0k - <100k",2012,"Unterminated",2083935064.5377,30577,"Contracts within Period",39
"(~1 year,~2 years]","0k - <100k",2012,"Complete or Partial Termination",9544263.2495,744,"Contracts within Period",39
"(~1 year,~2 years]","0k - <100k",2013,"Unterminated",915291775.274352,26830,"Contracts within Period",40
"(~1 year,~2 years]","0k - <100k",2013,"Complete or Partial Termination",7952054.57531422,707,"Contracts within Period",40
"(~1 year,~2 years]","0k - <100k",2014,"Unterminated",845854980.235045,29576,"Contracts within Period",41
"(~1 year,~2 years]","0k - <100k",2014,"Complete or Partial Termination",4744247.16125614,772,"Contracts within Period",41
"(~1 year,~2 years]","0k - <100k",2015,"Unterminated",1023005131.75483,39295,"Contracts within Period",42
"(~1 year,~2 years]","0k - <100k",2015,"Complete or Partial Termination",9999666.98667555,1085,"Contracts within Period",42
"(~1 year,~2 years]","0k - <100k",2016,"Unterminated",1033761864.18644,43175,"Contracts within Period",43
"(~1 year,~2 years]","0k - <100k",2016,"Complete or Partial Termination",6158080.97934742,1308,"Contracts within Period",43
"(~1 year,~2 years]","0k - <100k",2017,"Unterminated",546776418.310022,23434,"Contracts within Period",44
"(~1 year,~2 years]","0k - <100k",2017,"Complete or Partial Termination",2638404.65561319,576,"Contracts within Period",44
"(~1 year,~2 years]","100k - <10m",2007,"Unterminated",29502180153.6463,21976,"Contracts within Period",45
"(~1 year,~2 years]","100k - <10m",2007,"Complete or Partial Termination",501979356.81829,525,"Contracts within Period",45
"(~1 year,~2 years]","100k - <10m",2008,"Unterminated",31894500879.4774,23269,"Contracts within Period",46
"(~1 year,~2 years]","100k - <10m",2008,"Complete or Partial Termination",552419358.385007,775,"Contracts within Period",46
"(~1 year,~2 years]","100k - <10m",2009,"Unterminated",30692619941.4628,22511,"Contracts within Period",47
"(~1 year,~2 years]","100k - <10m",2009,"Complete or Partial Termination",506930948.606709,783,"Contracts within Period",47
"(~1 year,~2 years]","100k - <10m",2010,"Unterminated",31449217128.0347,21983,"Contracts within Period",48
"(~1 year,~2 years]","100k - <10m",2010,"Complete or Partial Termination",539588752.911037,596,"Contracts within Period",48
"(~1 year,~2 years]","100k - <10m",2011,"Unterminated",33380281019.144,23990,"Contracts within Period",49
"(~1 year,~2 years]","100k - <10m",2011,"Complete or Partial Termination",691563751.68117,657,"Contracts within Period",49
"(~1 year,~2 years]","100k - <10m",2012,"Unterminated",30000112199.7278,22588,"Contracts within Period",50
"(~1 year,~2 years]","100k - <10m",2012,"Complete or Partial Termination",815802130.5433,705,"Contracts within Period",50
"(~1 year,~2 years]","100k - <10m",2013,"Unterminated",24013912690.2101,18653,"Contracts within Period",51
"(~1 year,~2 years]","100k - <10m",2013,"Complete or Partial Termination",432531407.168892,551,"Contracts within Period",51
"(~1 year,~2 years]","100k - <10m",2014,"Unterminated",22223148341.0157,18731,"Contracts within Period",52
"(~1 year,~2 years]","100k - <10m",2014,"Complete or Partial Termination",225799530.173297,486,"Contracts within Period",52
"(~1 year,~2 years]","100k - <10m",2015,"Unterminated",23226607745.028,20241,"Contracts within Period",53
"(~1 year,~2 years]","100k - <10m",2015,"Complete or Partial Termination",236102657.202817,470,"Contracts within Period",53
"(~1 year,~2 years]","100k - <10m",2016,"Unterminated",17928073107.1061,16688,"Contracts within Period",54
"(~1 year,~2 years]","100k - <10m",2016,"Complete or Partial Termination",109357818.9139,350,"Contracts within Period",54
"(~1 year,~2 years]","100k - <10m",2017,"Unterminated",8037856626.65506,9247,"Contracts within Period",55
"(~1 year,~2 years]","100k - <10m",2017,"Complete or Partial Termination",47754876.5505743,171,"Contracts within Period",55
"(~1 year,~2 years]","10m+",2007,"Unterminated",51969303962.6926,1255,"Contracts within Period",56
"(~1 year,~2 years]","10m+",2007,"Complete or Partial Termination",1693077073.28885,35,"Contracts within Period",56
"(~1 year,~2 years]","10m+",2008,"Unterminated",76320115446.3058,1369,"Contracts within Period",57
"(~1 year,~2 years]","10m+",2008,"Complete or Partial Termination",3997838076.68307,45,"Contracts within Period",57
"(~1 year,~2 years]","10m+",2009,"Unterminated",66895749002.0608,1364,"Contracts within Period",58
"(~1 year,~2 years]","10m+",2009,"Complete or Partial Termination",3513619717.7892,67,"Contracts within Period",58
"(~1 year,~2 years]","10m+",2010,"Unterminated",57570057984.9487,1340,"Contracts within Period",59
"(~1 year,~2 years]","10m+",2010,"Complete or Partial Termination",793734766.840054,42,"Contracts within Period",59
"(~1 year,~2 years]","10m+",2011,"Unterminated",59074055272.5483,1403,"Contracts within Period",60
"(~1 year,~2 years]","10m+",2011,"Complete or Partial Termination",595677171.337375,47,"Contracts within Period",60
"(~1 year,~2 years]","10m+",2012,"Unterminated",51794391075.8338,1222,"Contracts within Period",61
"(~1 year,~2 years]","10m+",2012,"Complete or Partial Termination",3857012657.9507,69,"Contracts within Period",61
"(~1 year,~2 years]","10m+",2013,"Unterminated",28318182714.3987,831,"Contracts within Period",62
"(~1 year,~2 years]","10m+",2013,"Complete or Partial Termination",578916781.55813,46,"Contracts within Period",62
"(~1 year,~2 years]","10m+",2014,"Unterminated",21712943851.2832,715,"Contracts within Period",63
"(~1 year,~2 years]","10m+",2014,"Complete or Partial Termination",248536436.571525,26,"Contracts within Period",63
"(~1 year,~2 years]","10m+",2015,"Unterminated",19851776058.1317,705,"Contracts within Period",64
"(~1 year,~2 years]","10m+",2015,"Complete or Partial Termination",114828627.158751,24,"Contracts within Period",64
"(~1 year,~2 years]","10m+",2016,"Unterminated",16027973659.8006,583,"Contracts within Period",65
"(~1 year,~2 years]","10m+",2016,"Complete or Partial Termination",63888296.7759336,17,"Contracts within Period",65
"(~1 year,~2 years]","10m+",2017,"Unterminated",7777324615.56456,250,"Contracts within Period",66
"(~1 year,~2 years]","10m+",2017,"Complete or Partial Termination",11992586.1811782,5,"Contracts within Period",66
"(~2 years+]","0k - <100k",2007,"Unterminated",2255644045.07522,6283,"Contracts within Period",67
"(~2 years+]","0k - <100k",2007,"Complete or Partial Termination",9767098.31168831,322,"Contracts within Period",67
"(~2 years+]","0k - <100k",2008,"Unterminated",351967426.129043,5972,"Contracts within Period",68
"(~2 years+]","0k - <100k",2008,"Complete or Partial Termination",105100119.206129,130,"Contracts within Period",68
"(~2 years+]","0k - <100k",2009,"Unterminated",319498792.222222,3926,"Contracts within Period",69
"(~2 years+]","0k - <100k",2009,"Complete or Partial Termination",17205413.9163522,96,"Contracts within Period",69
"(~2 years+]","0k - <100k",2010,"Unterminated",919160039.607774,4800,"Contracts within Period",70
"(~2 years+]","0k - <100k",2010,"Complete or Partial Termination",5363876.13188526,209,"Contracts within Period",70
"(~2 years+]","0k - <100k",2011,"Unterminated",404872739.980334,6426,"Contracts within Period",71
"(~2 years+]","0k - <100k",2011,"Complete or Partial Termination",2371770.80568575,146,"Contracts within Period",71
"(~2 years+]","0k - <100k",2012,"Unterminated",185277670.5319,6552,"Contracts within Period",72
"(~2 years+]","0k - <100k",2012,"Complete or Partial Termination",4522090.5606,167,"Contracts within Period",72
"(~2 years+]","0k - <100k",2013,"Unterminated",109301494.62176,3561,"Contracts within Period",73
"(~2 years+]","0k - <100k",2013,"Complete or Partial Termination",3173898.98419089,180,"Contracts within Period",73
"(~2 years+]","0k - <100k",2014,"Unterminated",111390599.132935,4144,"Contracts within Period",74
"(~2 years+]","0k - <100k",2014,"Complete or Partial Termination",2176392.45149793,172,"Contracts within Period",74
"(~2 years+]","0k - <100k",2015,"Unterminated",73788914.9158656,2689,"Contracts within Period",75
"(~2 years+]","0k - <100k",2015,"Complete or Partial Termination",2819439.01532312,305,"Contracts within Period",75
"(~2 years+]","0k - <100k",2016,"Unterminated",30213446.3077141,1229,"Contracts within Period",76
"(~2 years+]","0k - <100k",2016,"Complete or Partial Termination",285774.756789891,40,"Contracts within Period",76
"(~2 years+]","100k - <10m",2007,"Unterminated",10963941715.3431,5361,"Contracts within Period",78
"(~2 years+]","100k - <10m",2007,"Complete or Partial Termination",198403748.838095,386,"Contracts within Period",78
"(~2 years+]","100k - <10m",2008,"Unterminated",9872110148.76545,4887,"Contracts within Period",79
"(~2 years+]","100k - <10m",2008,"Complete or Partial Termination",127037418.225639,122,"Contracts within Period",79
"(~2 years+]","100k - <10m",2009,"Unterminated",10932511899.6527,5053,"Contracts within Period",80
"(~2 years+]","100k - <10m",2009,"Complete or Partial Termination",135278917.136373,134,"Contracts within Period",80
"(~2 years+]","100k - <10m",2010,"Unterminated",9306850304.99699,5080,"Contracts within Period",81
"(~2 years+]","100k - <10m",2010,"Complete or Partial Termination",231293057.073477,194,"Contracts within Period",81
"(~2 years+]","100k - <10m",2011,"Unterminated",9311920145.42134,5081,"Contracts within Period",82
"(~2 years+]","100k - <10m",2011,"Complete or Partial Termination",222193853.477991,189,"Contracts within Period",82
"(~2 years+]","100k - <10m",2012,"Unterminated",7793425721.5537,4562,"Contracts within Period",83
"(~2 years+]","100k - <10m",2012,"Complete or Partial Termination",176665149.5728,195,"Contracts within Period",83
"(~2 years+]","100k - <10m",2013,"Unterminated",5631503796.7825,3461,"Contracts within Period",84
"(~2 years+]","100k - <10m",2013,"Complete or Partial Termination",55914925.3478987,110,"Contracts within Period",84
"(~2 years+]","100k - <10m",2014,"Unterminated",5110964400.0445,3040,"Contracts within Period",85
"(~2 years+]","100k - <10m",2014,"Complete or Partial Termination",50011158.6308641,90,"Contracts within Period",85
"(~2 years+]","100k - <10m",2015,"Unterminated",3416164410.93119,2239,"Contracts within Period",86
"(~2 years+]","100k - <10m",2015,"Complete or Partial Termination",37158810.0790901,86,"Contracts within Period",86
"(~2 years+]","100k - <10m",2016,"Unterminated",879774242.175594,693,"Contracts within Period",87
"(~2 years+]","100k - <10m",2016,"Complete or Partial Termination",8903220.58053565,14,"Contracts within Period",87
"(~2 years+]","10m+",2007,"Unterminated",60475114768.1005,751,"Contracts within Period",89
"(~2 years+]","10m+",2007,"Complete or Partial Termination",2122951308.59751,18,"Contracts within Period",89
"(~2 years+]","10m+",2008,"Unterminated",73573177559.8821,737,"Contracts within Period",90
"(~2 years+]","10m+",2008,"Complete or Partial Termination",2483505235.88739,25,"Contracts within Period",90
"(~2 years+]","10m+",2009,"Unterminated",65974186706.9597,767,"Contracts within Period",91
"(~2 years+]","10m+",2009,"Complete or Partial Termination",2247667348.22589,26,"Contracts within Period",91
"(~2 years+]","10m+",2010,"Unterminated",44343122293.7243,780,"Contracts within Period",92
"(~2 years+]","10m+",2010,"Complete or Partial Termination",1575630391.03606,34,"Contracts within Period",92
"(~2 years+]","10m+",2011,"Unterminated",48934136862.8079,793,"Contracts within Period",93
"(~2 years+]","10m+",2011,"Complete or Partial Termination",1126198237.77634,35,"Contracts within Period",93
"(~2 years+]","10m+",2012,"Unterminated",37954644947.5326,594,"Contracts within Period",94
"(~2 years+]","10m+",2012,"Complete or Partial Termination",3892395999.4053,35,"Contracts within Period",94
"(~2 years+]","10m+",2013,"Unterminated",30072952700.4837,532,"Contracts within Period",95
"(~2 years+]","10m+",2013,"Complete or Partial Termination",205605327.875884,16,"Contracts within Period",95
"(~2 years+]","10m+",2014,"Unterminated",13443801026.7646,374,"Contracts within Period",96
"(~2 years+]","10m+",2014,"Complete or Partial Termination",137853667.19449,10,"Contracts within Period",96
"(~2 years+]","10m+",2015,"Unterminated",8065540930.84306,219,"Contracts within Period",97
"(~2 years+]","10m+",2015,"Complete or Partial Termination",146839363.298848,10,"Contracts within Period",97
"(~2 years+]","10m+",2016,"Unterminated",3312147595.14089,69,"Contracts within Period",98
"(~2 years+]","10m+",2016,"Complete or Partial Termination",23637548.1834214,5,"Contracts within Period",98
"<~1 year","0k - <100k",2007,"Unterminated",15337899845.3364,782837,"Early Results for All Contracts",1
"<~1 year","0k - <100k",2007,"Complete or Partial Termination",37662392.290368,4267,"Early Results for All Contracts",1
"<~1 year","0k - <100k",2008,"Unterminated",15990759840.9536,832974,"Early Results for All Contracts",2
"<~1 year","0k - <100k",2008,"Complete or Partial Termination",117076717.035627,4433,"Early Results for All Contracts",2
"<~1 year","0k - <100k",2009,"Unterminated",14092497760.709,744194,"Early Results for All Contracts",3
"<~1 year","0k - <100k",2009,"Complete or Partial Termination",61144119.6137317,5064,"Early Results for All Contracts",3
"<~1 year","0k - <100k",2010,"Unterminated",16474163339.5783,740770,"Early Results for All Contracts",4
"<~1 year","0k - <100k",2010,"Complete or Partial Termination",150319440.631158,7072,"Early Results for All Contracts",4
"<~1 year","0k - <100k",2011,"Unterminated",13607159477.7512,708352,"Early Results for All Contracts",5
"<~1 year","0k - <100k",2011,"Complete or Partial Termination",274889665.843285,8580,"Early Results for All Contracts",5
"<~1 year","0k - <100k",2012,"Unterminated",12772251658.9815,678478,"Early Results for All Contracts",6
"<~1 year","0k - <100k",2012,"Complete or Partial Termination",38946826.3348,4752,"Early Results for All Contracts",6
"<~1 year","0k - <100k",2013,"Unterminated",10852975366.7627,620613,"Early Results for All Contracts",7
"<~1 year","0k - <100k",2013,"Complete or Partial Termination",34033608.0417321,6217,"Early Results for All Contracts",7
"<~1 year","0k - <100k",2014,"Unterminated",12232162878.8602,648766,"Early Results for All Contracts",8
"<~1 year","0k - <100k",2014,"Complete or Partial Termination",26038814.9136885,8779,"Early Results for All Contracts",8
"<~1 year","0k - <100k",2015,"Unterminated",12467281530.9806,2476598,"Early Results for All Contracts",9
"<~1 year","0k - <100k",2015,"Complete or Partial Termination",25325415.1303893,12983,"Early Results for All Contracts",9
"<~1 year","0k - <100k",2016,"Unterminated",13493817000.7873,2918761,"Early Results for All Contracts",10
"<~1 year","0k - <100k",2016,"Complete or Partial Termination",24647293.0411166,18650,"Early Results for All Contracts",10
"<~1 year","0k - <100k",2017,"Unterminated",13325850111.4751,2903339,"Early Results for All Contracts",11
"<~1 year","0k - <100k",2017,"Complete or Partial Termination",16076754.0552983,16196,"Early Results for All Contracts",11
"<~1 year","100k - <10m",2007,"Unterminated",62212091758.4204,94619,"Early Results for All Contracts",12
"<~1 year","100k - <10m",2007,"Complete or Partial Termination",1569051439.3434,980,"Early Results for All Contracts",12
"<~1 year","100k - <10m",2008,"Unterminated",69306931304.304,100416,"Early Results for All Contracts",13
"<~1 year","100k - <10m",2008,"Complete or Partial Termination",1919848942.55657,1042,"Early Results for All Contracts",13
"<~1 year","100k - <10m",2009,"Unterminated",66436164175.5456,99869,"Early Results for All Contracts",14
"<~1 year","100k - <10m",2009,"Complete or Partial Termination",1086231798.78281,1346,"Early Results for All Contracts",14
"<~1 year","100k - <10m",2010,"Unterminated",66056156559.1403,97047,"Early Results for All Contracts",15
"<~1 year","100k - <10m",2010,"Complete or Partial Termination",684287451.348368,1347,"Early Results for All Contracts",15
"<~1 year","100k - <10m",2011,"Unterminated",62080458355.4374,87768,"Early Results for All Contracts",16
"<~1 year","100k - <10m",2011,"Complete or Partial Termination",554748699.135724,1242,"Early Results for All Contracts",16
"<~1 year","100k - <10m",2012,"Unterminated",52625914432.5365,80879,"Early Results for All Contracts",17
"<~1 year","100k - <10m",2012,"Complete or Partial Termination",700033731.9672,1164,"Early Results for All Contracts",17
"<~1 year","100k - <10m",2013,"Unterminated",46142573837.4233,68059,"Early Results for All Contracts",18
"<~1 year","100k - <10m",2013,"Complete or Partial Termination",406405303.055283,964,"Early Results for All Contracts",18
"<~1 year","100k - <10m",2014,"Unterminated",47776882910.7899,74696,"Early Results for All Contracts",19
"<~1 year","100k - <10m",2014,"Complete or Partial Termination",420921647.047972,1097,"Early Results for All Contracts",19
"<~1 year","100k - <10m",2015,"Unterminated",43066096336.319,67823,"Early Results for All Contracts",20
"<~1 year","100k - <10m",2015,"Complete or Partial Termination",250012583.286285,992,"Early Results for All Contracts",20
"<~1 year","100k - <10m",2016,"Unterminated",44395389022.5331,71472,"Early Results for All Contracts",21
"<~1 year","100k - <10m",2016,"Complete or Partial Termination",239855631.662297,934,"Early Results for All Contracts",21
"<~1 year","100k - <10m",2017,"Unterminated",43128388745.1188,74606,"Early Results for All Contracts",22
"<~1 year","100k - <10m",2017,"Complete or Partial Termination",196888581.864209,800,"Early Results for All Contracts",22
"<~1 year","10m+",2007,"Unterminated",56725807079.3759,1757,"Early Results for All Contracts",23
"<~1 year","10m+",2007,"Complete or Partial Termination",1619258568.40216,36,"Early Results for All Contracts",23
"<~1 year","10m+",2008,"Unterminated",75886655281.0179,1706,"Early Results for All Contracts",24
"<~1 year","10m+",2008,"Complete or Partial Termination",1600009290.14495,46,"Early Results for All Contracts",24
"<~1 year","10m+",2009,"Unterminated",63350484639.587,1600,"Early Results for All Contracts",25
"<~1 year","10m+",2009,"Complete or Partial Termination",1940142868.99507,53,"Early Results for All Contracts",25
"<~1 year","10m+",2010,"Unterminated",57093121041.5605,1358,"Early Results for All Contracts",26
"<~1 year","10m+",2010,"Complete or Partial Termination",23225521559.7311,58,"Early Results for All Contracts",26
"<~1 year","10m+",2011,"Unterminated",49840896350.2978,1156,"Early Results for All Contracts",27
"<~1 year","10m+",2011,"Complete or Partial Termination",2462752685.01661,56,"Early Results for All Contracts",27
"<~1 year","10m+",2012,"Unterminated",54588517630.45,945,"Early Results for All Contracts",28
"<~1 year","10m+",2012,"Complete or Partial Termination",2950196610.8859,46,"Early Results for All Contracts",28
"<~1 year","10m+",2013,"Unterminated",43922484051.7259,893,"Early Results for All Contracts",29
"<~1 year","10m+",2013,"Complete or Partial Termination",998717287.978397,30,"Early Results for All Contracts",29
"<~1 year","10m+",2014,"Unterminated",41439511291.9403,988,"Early Results for All Contracts",30
"<~1 year","10m+",2014,"Complete or Partial Termination",1201934504.65177,49,"Early Results for All Contracts",30
"<~1 year","10m+",2015,"Unterminated",37779460114.4525,857,"Early Results for All Contracts",31
"<~1 year","10m+",2015,"Complete or Partial Termination",170873138.448273,23,"Early Results for All Contracts",31
"<~1 year","10m+",2016,"Unterminated",25463517636.6315,922,"Early Results for All Contracts",32
"<~1 year","10m+",2016,"Complete or Partial Termination",269988688.44785,32,"Early Results for All Contracts",32
"<~1 year","10m+",2017,"Unterminated",23397133532.2195,982,"Early Results for All Contracts",33
"<~1 year","10m+",2017,"Complete or Partial Termination",245086992.295109,23,"Early Results for All Contracts",33
"(~1 year,~2 years]","0k - <100k",2007,"Unterminated",2330674431.67803,28490,"Early Results for All Contracts",34
"(~1 year,~2 years]","0k - <100k",2007,"Complete or Partial Termination",7801702.63030303,468,"Early Results for All Contracts",34
"(~1 year,~2 years]","0k - <100k",2008,"Unterminated",2573505378.17962,33095,"Early Results for All Contracts",35
"(~1 year,~2 years]","0k - <100k",2008,"Complete or Partial Termination",28511418.6898526,837,"Early Results for All Contracts",35
"(~1 year,~2 years]","0k - <100k",2009,"Unterminated",3821525143.22065,29166,"Early Results for All Contracts",36
"(~1 year,~2 years]","0k - <100k",2009,"Complete or Partial Termination",570570556.559644,1284,"Early Results for All Contracts",36
"(~1 year,~2 years]","0k - <100k",2010,"Unterminated",1794328881.44762,29011,"Early Results for All Contracts",37
"(~1 year,~2 years]","0k - <100k",2010,"Complete or Partial Termination",18603838.5274371,732,"Early Results for All Contracts",37
"(~1 year,~2 years]","0k - <100k",2011,"Unterminated",1321453824.12655,31624,"Early Results for All Contracts",38
"(~1 year,~2 years]","0k - <100k",2011,"Complete or Partial Termination",10289404.5518647,886,"Early Results for All Contracts",38
"(~1 year,~2 years]","0k - <100k",2012,"Unterminated",2103632383.378,30608,"Early Results for All Contracts",39
"(~1 year,~2 years]","0k - <100k",2012,"Complete or Partial Termination",9544263.2495,745,"Early Results for All Contracts",39
"(~1 year,~2 years]","0k - <100k",2013,"Unterminated",1015539267.25776,26887,"Early Results for All Contracts",40
"(~1 year,~2 years]","0k - <100k",2013,"Complete or Partial Termination",8098777.13049882,714,"Early Results for All Contracts",40
"(~1 year,~2 years]","0k - <100k",2014,"Unterminated",916140711.475869,30098,"Early Results for All Contracts",41
"(~1 year,~2 years]","0k - <100k",2014,"Complete or Partial Termination",4966377.19612754,781,"Early Results for All Contracts",41
"(~1 year,~2 years]","0k - <100k",2015,"Unterminated",1258667263.76064,40350,"Early Results for All Contracts",42
"(~1 year,~2 years]","0k - <100k",2015,"Complete or Partial Termination",10460970.6188255,1102,"Early Results for All Contracts",42
"(~1 year,~2 years]","0k - <100k",2016,"Unterminated",1260400794.09921,46496,"Early Results for All Contracts",43
