"ProjectAbbreviation","ProjectName","ProjectPlatform","Fiscal.Year","Action_Obligation"
"106","PATRIOT ","Missile Defense",2020,-6306976.0216
"107","PERSHING II ","Ordnance and Missiles",2007,799992
"107","PERSHING II ","Ordnance and Missiles",2008,0
"108","LASER HELLFIRE ","Ordnance and Missiles",1998,872270
"108","LASER HELLFIRE ","Ordnance and Missiles",2001,98245
"108","LASER HELLFIRE ","Ordnance and Missiles",2002,1528296
"108","LASER HELLFIRE ","Ordnance and Missiles",2003,6822150
"108","LASER HELLFIRE ","Ordnance and Missiles",2006,127875
"108","LASER HELLFIRE ","Ordnance and Missiles",2007,333851672.0913
"108","LASER HELLFIRE ","Ordnance and Missiles",2008,442269426.4
"108","LASER HELLFIRE ","Ordnance and Missiles",2009,498746979.648
"108","LASER HELLFIRE ","Ordnance and Missiles",2010,499098455.3808
"108","LASER HELLFIRE ","Ordnance and Missiles",2011,219218018.078
"108","LASER HELLFIRE ","Ordnance and Missiles",2012,499119196.2265
"108","LASER HELLFIRE ","Ordnance and Missiles",2013,281413965.62
"108","LASER HELLFIRE ","Ordnance and Missiles",2014,184903011.3663
"108","LASER HELLFIRE ","Ordnance and Missiles",2015,191956295.24
"108","LASER HELLFIRE ","Ordnance and Missiles",2016,14800702.8594
"108","LASER HELLFIRE ","Ordnance and Missiles",2017,45935169.2183
"108","LASER HELLFIRE ","Ordnance and Missiles",2018,1999440.54
"108","LASER HELLFIRE ","Ordnance and Missiles",2019,0
"108","LASER HELLFIRE ","Ordnance and Missiles",2020,-468092.0938
"109","5-INCH GUIDED PROJ ","Ordnance and Missiles",2007,37454288
"109","5-INCH GUIDED PROJ ","Ordnance and Missiles",2008,200609.01
"109","5-INCH GUIDED PROJ ","Ordnance and Missiles",2012,5767427
"109","5-INCH GUIDED PROJ ","Ordnance and Missiles",2013,0
"109","5-INCH GUIDED PROJ ","Ordnance and Missiles",2014,2110542.84
"110","AEGIS ","Missile Defense",2006,21121886
"110","AEGIS ","Missile Defense",2007,330888265
"110","AEGIS ","Missile Defense",2008,151934450.4375
"110","AEGIS ","Missile Defense",2009,213200521
"110","AEGIS ","Missile Defense",2010,864826086.5
"110","AEGIS ","Missile Defense",2011,987181267.4171
"110","AEGIS ","Missile Defense",2012,793303997.5781
"110","AEGIS ","Missile Defense",2013,711507517.83
"110","AEGIS ","Missile Defense",2014,540615762.32
"110","AEGIS ","Missile Defense",2015,531158905.6407
"110","AEGIS ","Missile Defense",2016,553227831.1249
"110","AEGIS ","Missile Defense",2017,413293430.8508
"110","AEGIS ","Missile Defense",2018,442617025.4854
"110","AEGIS ","Missile Defense",2019,453822260.3638
"110","AEGIS ","Missile Defense",2020,555155650.0418
"111","ALCM ","Ordnance and Missiles",2006,313443.9617
"111","ALCM ","Ordnance and Missiles",2007,3056723.5
"111","ALCM ","Ordnance and Missiles",2008,1475874.6563
"111","ALCM ","Ordnance and Missiles",2009,77692
"111","ALCM ","Ordnance and Missiles",2010,479473.5899
"111","ALCM ","Ordnance and Missiles",2011,794401
"111","ALCM ","Ordnance and Missiles",2012,1029547.19
"111","ALCM ","Ordnance and Missiles",2013,3998926.03
"111","ALCM ","Ordnance and Missiles",2014,8577391.02
"111","ALCM ","Ordnance and Missiles",2015,-22533.1297
"111","ALCM ","Ordnance and Missiles",2016,-40955
"111","ALCM ","Ordnance and Missiles",2017,90824.75
"111","ALCM ","Ordnance and Missiles",2019,0
"115","CH-47D ","Aircraft",2005,525393
"115","CH-47D ","Aircraft",2007,-15696.92
"115","CH-47D ","Aircraft",2008,481383.5
"115","CH-47D ","Aircraft",2009,0
"115","CH-47D ","Aircraft",2010,235097.4063
"120","DSCS III ","Space Systems",2008,0
"120","DSCS III ","Space Systems",2010,4623.6201
"120","DSCS III ","Space Systems",2012,331905
"121","APS ","Missile Defense",2008,250589
"121","APS ","Missile Defense",2009,8325
"121","APS ","Missile Defense",2014,21661163.4
"121","APS ","Missile Defense",2015,111898841.9887
"121","APS ","Missile Defense",2016,13745786.8399
"121","APS ","Missile Defense",2017,54465425.0506
"121","APS ","Missile Defense",2018,211435020.6185
"121","APS ","Missile Defense",2019,308746368.3141
"121","APS ","Missile Defense",2020,329626122.855
"124","F-15 ","Aircraft",2007,1227779.1251
"124","F-15 ","Aircraft",2008,1811695.8945
"124","F-15 ","Aircraft",2009,5263063.5647
"124","F-15 ","Aircraft",2010,22349327.8282
"124","F-15 ","Aircraft",2011,24081347.3732
"124","F-15 ","Aircraft",2012,3389925.1291
"124","F-15 ","Aircraft",2013,2913288.98
"124","F-15 ","Aircraft",2014,1001847.39
"124","F-15 ","Aircraft",2015,0
"124","F-15 ","Aircraft",2016,0
"125","F-16 ","Aircraft",2007,2471394.9922
"125","F-16 ","Aircraft",2008,13342718.1299
"125","F-16 ","Aircraft",2009,29791039.5447
"125","F-16 ","Aircraft",2010,22403882.5039
"125","F-16 ","Aircraft",2011,9471372.0623
"125","F-16 ","Aircraft",2012,6980151.5938
"125","F-16 ","Aircraft",2013,5403823.06
"125","F-16 ","Aircraft",2014,15451848.56
"125","F-16 ","Aircraft",2015,174652.1465
"125","F-16 ","Aircraft",2016,-208992.2734
"125","F-16 ","Aircraft",2017,-234424
"125","F-16 ","Aircraft",2018,0
"125","F-16 ","Aircraft",2019,-18314.8799
"125","F-16 ","Aircraft",2020,-108144.9609
"126","F/A-18A/B/C/D ","Aircraft",2006,27718
"126","F/A-18A/B/C/D ","Aircraft",2012,1281130.375
"128","BRADLEY FVS ","Land Vehicles",2006,0
"128","BRADLEY FVS ","Land Vehicles",2007,17139938.3087
"128","BRADLEY FVS ","Land Vehicles",2008,30515752.8663
"128","BRADLEY FVS ","Land Vehicles",2009,13801743.6052
"128","BRADLEY FVS ","Land Vehicles",2010,4786987.2157
"128","BRADLEY FVS ","Land Vehicles",2011,9507787.5429
"128","BRADLEY FVS ","Land Vehicles",2012,1675046.2695
"128","BRADLEY FVS ","Land Vehicles",2013,269922.3
"128","BRADLEY FVS ","Land Vehicles",2014,741920
"128","BRADLEY FVS ","Land Vehicles",2015,0
"128","BRADLEY FVS ","Land Vehicles",2016,-280578
"128","BRADLEY FVS ","Land Vehicles",2017,-66905.4375
"128","BRADLEY FVS ","Land Vehicles",2020,-56102.5195
"130","MLRS ","Ordnance and Missiles",2004,0
"130","MLRS ","Ordnance and Missiles",2006,0
"130","MLRS ","Ordnance and Missiles",2007,40988238.5216
"130","MLRS ","Ordnance and Missiles",2008,135974545.5403
"130","MLRS ","Ordnance and Missiles",2009,121591262.6153
"130","MLRS ","Ordnance and Missiles",2010,539987985.7047
"130","MLRS ","Ordnance and Missiles",2011,687081345.121
"130","MLRS ","Ordnance and Missiles",2012,148108569.3715
"130","MLRS ","Ordnance and Missiles",2013,118141134.67
"130","MLRS ","Ordnance and Missiles",2014,265904068.59
"130","MLRS ","Ordnance and Missiles",2015,117814778.9459
"130","MLRS ","Ordnance and Missiles",2016,70226502.7495
"130","MLRS ","Ordnance and Missiles",2017,15985549.4571
"130","MLRS ","Ordnance and Missiles",2018,7158074.4047
"130","MLRS ","Ordnance and Missiles",2019,-7878183.1482
"130","MLRS ","Ordnance and Missiles",2020,-2068695.8779
"131","HARM (NAVY) ","Ordnance and Missiles",2007,84613.6499
"131","HARM (NAVY) ","Ordnance and Missiles",2009,1041732
"131","HARM (NAVY) ","Ordnance and Missiles",2010,2064905
"131","HARM (NAVY) ","Ordnance and Missiles",2011,309000
"131","HARM (NAVY) ","Ordnance and Missiles",2012,27202
"131","HARM (NAVY) ","Ordnance and Missiles",2013,0
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2007,5421866.1226
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2010,2567288.5556
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2011,1141885.4045
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2012,2285124.5
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2013,0
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2015,-489153.1331
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2016,-35458.75
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2017,-30764.9609
"132","HARM (AIR FORCE) ","Ordnance and Missiles",2018,0
"133","HARPOON ","Ordnance and Missiles",2006,17587208
"133","HARPOON ","Ordnance and Missiles",2007,105288.8984
"133","HARPOON ","Ordnance and Missiles",2008,1690832.106
"133","HARPOON ","Ordnance and Missiles",2009,6136036.0157
"133","HARPOON ","Ordnance and Missiles",2010,70688972.0371
"133","HARPOON ","Ordnance and Missiles",2011,133150811.086
"133","HARPOON ","Ordnance and Missiles",2012,9627912.75
"133","HARPOON ","Ordnance and Missiles",2013,-202199.59
"133","HARPOON ","Ordnance and Missiles",2014,0
"133","HARPOON ","Ordnance and Missiles",2015,0
"133","HARPOON ","Ordnance and Missiles",2019,0
"134","LAMPS MKIII (SH-60B) ","Aircraft",2011,386938.8125
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2006,0
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2007,2435645.3345
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2008,82195898.1592
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2009,2208571.2813
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2010,-11623326.275
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2011,7303016.8029
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2012,11808044.7625
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2013,27311.24
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2014,2771958.69
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2015,845145.7283
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2016,90545.9
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2017,-160058.7187
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2018,0
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",2020,-335645.1861
"137","MAVERICK (IR) ","Ordnance and Missiles",2008,993735
"137","MAVERICK (IR) ","Ordnance and Missiles",2009,77439608
"137","MAVERICK (IR) ","Ordnance and Missiles",2010,40669.5
"137","MAVERICK (IR) ","Ordnance and Missiles",2012,64344
"137","MAVERICK (IR) ","Ordnance and Missiles",2013,1518981.13
"137","MAVERICK (IR) ","Ordnance and Missiles",2014,501444
"137","MAVERICK (IR) ","Ordnance and Missiles",2015,-37105.5796
"137","MAVERICK (IR) ","Ordnance and Missiles",2016,-2250
"137","MAVERICK (IR) ","Ordnance and Missiles",2018,-18292.3203
"138","MK 48 ADCAP ","Ordnance and Missiles",2010,19000
"138","MK 48 ADCAP ","Ordnance and Missiles",2011,50666619
"138","MK 48 ADCAP ","Ordnance and Missiles",2012,22463630
"138","MK 48 ADCAP ","Ordnance and Missiles",2013,39380693
"138","MK 48 ADCAP ","Ordnance and Missiles",2014,36428807
"138","MK 48 ADCAP ","Ordnance and Missiles",2015,21621682
"138","MK 48 ADCAP ","Ordnance and Missiles",2016,740901
"138","MK 48 ADCAP ","Ordnance and Missiles",2017,5646923
"138","MK 48 ADCAP ","Ordnance and Missiles",2018,1601636
"138","MK 48 ADCAP ","Ordnance and Missiles",2019,0
"138","MK 48 ADCAP ","Ordnance and Missiles",2020,0
"139","MK 48 TORPEDO ","Ordnance and Missiles",2005,0
"139","MK 48 TORPEDO ","Ordnance and Missiles",2006,295365.48
"139","MK 48 TORPEDO ","Ordnance and Missiles",2007,203084.4063
"139","MK 48 TORPEDO ","Ordnance and Missiles",2008,58448
"139","MK 48 TORPEDO ","Ordnance and Missiles",2009,84680
"139","MK 48 TORPEDO ","Ordnance and Missiles",2013,7944401
"139","MK 48 TORPEDO ","Ordnance and Missiles",2014,12846874.77
"139","MK 48 TORPEDO ","Ordnance and Missiles",2015,13705459.53
"139","MK 48 TORPEDO ","Ordnance and Missiles",2016,14045194.5938
"139","MK 48 TORPEDO ","Ordnance and Missiles",2017,15727569.5
"139","MK 48 TORPEDO ","Ordnance and Missiles",2018,3539500.9375
"139","MK 48 TORPEDO ","Ordnance and Missiles",2019,218558.3759
"139","MK 48 TORPEDO ","Ordnance and Missiles",2020,-75293.7188
"144","SIDEWINDER (AIM-9L) (N) ","Ordnance and Missiles",2007,341917.1875
"144","SIDEWINDER (AIM-9L) (N) ","Ordnance and Missiles",2010,25520
"144","SIDEWINDER (AIM-9L) (N) ","Ordnance and Missiles",2011,0
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2009,4152
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2010,33000
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2011,54178.8398
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2012,0
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2013,58689
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",2015,-5984.1201
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2007,11784140
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2008,4559948.25
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2009,10973664
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2010,8838602.5898
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2011,7022876.5
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2012,10222357
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2013,5695996
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2014,699000
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2016,-21608.4609
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",2018,0
"148","PATRIOT PAC-3 ","Missile Defense",2004,362356494
"148","PATRIOT PAC-3 ","Missile Defense",2005,229743976
"148","PATRIOT PAC-3 ","Missile Defense",2006,689834169
"148","PATRIOT PAC-3 ","Missile Defense",2007,418880812.1602
"148","PATRIOT PAC-3 ","Missile Defense",2008,452313231.5752
"148","PATRIOT PAC-3 ","Missile Defense",2009,113896240.0763
"148","PATRIOT PAC-3 ","Missile Defense",2010,69442984.6661
"148","PATRIOT PAC-3 ","Missile Defense",2011,71125935.9981
"148","PATRIOT PAC-3 ","Missile Defense",2012,157477895.5738
"148","PATRIOT PAC-3 ","Missile Defense",2013,30031904.92
"148","PATRIOT PAC-3 ","Missile Defense",2014,23469704.97
"148","PATRIOT PAC-3 ","Missile Defense",2015,113187481.8891
"148","PATRIOT PAC-3 ","Missile Defense",2016,184588041.7287
"148","PATRIOT PAC-3 ","Missile Defense",2017,428048659.7694
"148","PATRIOT PAC-3 ","Missile Defense",2018,258006975.427
"148","PATRIOT PAC-3 ","Missile Defense",2019,46381235.5388
"148","PATRIOT PAC-3 ","Missile Defense",2020,15201863.0347
"150","STINGER ","Missile Defense",2005,0
"150","STINGER ","Missile Defense",2006,8392596
"150","STINGER ","Missile Defense",2007,11242310.6119
"150","STINGER ","Missile Defense",2008,5276333.2477
"150","STINGER ","Missile Defense",2009,78690633.8429
"150","STINGER ","Missile Defense",2010,9045300.7307
"150","STINGER ","Missile Defense",2011,31432729.9469
"150","STINGER ","Missile Defense",2012,43576495.5348
"150","STINGER ","Missile Defense",2013,-160326.2
"150","STINGER ","Missile Defense",2014,9608687.77
"150","STINGER ","Missile Defense",2015,10773443.4
"150","STINGER ","Missile Defense",2016,11563264.5469
"150","STINGER ","Missile Defense",2017,242768.3848
"150","STINGER ","Missile Defense",2018,-62424.2109
"150","STINGER ","Missile Defense",2019,-1132566.2852
"152","TACFIRE ","Electronics, Comms, & Sensors",2007,44733
"154","TOMAHAWK ","Ordnance and Missiles",2007,3088817.3594
"154","TOMAHAWK ","Ordnance and Missiles",2008,1474230.375
"154","TOMAHAWK ","Ordnance and Missiles",2009,4168629.2109
"154","TOMAHAWK ","Ordnance and Missiles",2010,-66058.3984
"154","TOMAHAWK ","Ordnance and Missiles",2011,37718522.1801
"154","TOMAHAWK ","Ordnance and Missiles",2012,29129535.0903
"154","TOMAHAWK ","Ordnance and Missiles",2013,1240368.6862
"154","TOMAHAWK ","Ordnance and Missiles",2014,2469285.57
"154","TOMAHAWK ","Ordnance and Missiles",2015,86569.3803
"154","TOMAHAWK ","Ordnance and Missiles",2016,238712.791
"154","TOMAHAWK ","Ordnance and Missiles",2017,460214.83
"154","TOMAHAWK ","Ordnance and Missiles",2018,196608.7101
"154","TOMAHAWK ","Ordnance and Missiles",2019,0
"154","TOMAHAWK ","Ordnance and Missiles",2020,-1168.0699
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2007,610877
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2008,170513.0996
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2010,8358932
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2011,1932169.2266
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2012,499886
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2013,437056.6
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2015,0
"156","BLACK HAWK (UH-60A/L) ","Aircraft",2017,-4554284
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2006,0
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2007,20665357.5151
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2008,20858232.7383
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2009,8830945.3799
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2010,2087132.4235
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2011,-268246.3104
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2012,-8056.68750000001
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2013,178431.33
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2014,2223880.89
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2015,620378.94
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2017,-342175.3281
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2018,-1880
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2019,-23837
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",2020,-231074.6699
"158","APACHE (AH-64A) ","Aircraft",2006,0
"158","APACHE (AH-64A) ","Aircraft",2007,58065408.3321
"158","APACHE (AH-64A) ","Aircraft",2008,102285842.8348
"158","APACHE (AH-64A) ","Aircraft",2009,31629127.6426
"158","APACHE (AH-64A) ","Aircraft",2010,18816927.7923
"158","APACHE (AH-64A) ","Aircraft",2011,45013776.3751
"158","APACHE (AH-64A) ","Aircraft",2012,7690203.5625
"158","APACHE (AH-64A) ","Aircraft",2013,66902484.39
"158","APACHE (AH-64A) ","Aircraft",2014,26456585.02
"158","APACHE (AH-64A) ","Aircraft",2015,-385509.5938
"158","APACHE (AH-64A) ","Aircraft",2016,-1221045
"158","APACHE (AH-64A) ","Aircraft",2017,18126
"158","APACHE (AH-64A) ","Aircraft",2018,-35409.75
"158","APACHE (AH-64A) ","Aircraft",2020,-21653.9902
"161","CVN 68 ","Ships & Submarines",2008,39835
"161","CVN 68 ","Ships & Submarines",2011,69891.3594
"161","CVN 68 ","Ships & Submarines",2012,11402.0996
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",2007,201702
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",2010,2516945.1984
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",2011,0
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",2014,-145232.29
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",2016,-2060.3799
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2007,167342193
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2008,228372534
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2009,260701254
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2010,247655087
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2011,139493434
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2012,141679404
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2013,80088040.81
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2014,39641068.65
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2015,-8226520.25
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2016,0
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2017,-1009404.0625
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2018,217879.4199
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2019,-837026.0827
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",2020,-198719.5938
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",2009,136886
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",2010,142363.2031
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",2011,505213.0781
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",2012,111861.0781
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",2013,45454.68
"166","NAVSTAR GPS","Space Systems",2004,223719545
"166","NAVSTAR GPS","Space Systems",2005,233048777
"166","NAVSTAR GPS","Space Systems",2006,250051053
"166","NAVSTAR GPS","Space Systems",2007,361930826.6172
"166","NAVSTAR GPS","Space Systems",2008,687510417.1691
"166","NAVSTAR GPS","Space Systems",2009,911017190.1799
"166","NAVSTAR GPS","Space Systems",2010,1043143690.2457
"166","NAVSTAR GPS","Space Systems",2011,982302281.8416
"166","NAVSTAR GPS","Space Systems",2012,1240424995.444
"166","NAVSTAR GPS","Space Systems",2013,894775969.045
"166","NAVSTAR GPS","Space Systems",2014,1359417460.3782
"166","NAVSTAR GPS","Space Systems",2015,683197110.1984
"166","NAVSTAR GPS","Space Systems",2016,1017002072.4655
"166","NAVSTAR GPS","Space Systems",2017,626910598.1056
"166","NAVSTAR GPS","Space Systems",2018,709494739.4825
"166","NAVSTAR GPS","Space Systems",2019,553340072.3239
"166","NAVSTAR GPS","Space Systems",2020,446105016.4714
"167","AV-8B ","Aircraft",2009,124852.2031
"168","B1-B ","Aircraft",2007,1531795.5372
"168","B1-B ","Aircraft",2008,351981.2813
"168","B1-B ","Aircraft",2009,755044.9844
"168","B1-B ","Aircraft",2010,2724505.3468
"168","B1-B ","Aircraft",2011,4916661.5301
"168","B1-B ","Aircraft",2012,5861579.4689
"168","B1-B ","Aircraft",2013,1995698.45
"168","B1-B ","Aircraft",2014,1314232.36
"168","B1-B ","Aircraft",2015,32812
"168","B1-B ","Aircraft",2016,-13385
"168","B1-B ","Aircraft",2017,0
"168","B1-B ","Aircraft",2018,0
"168","B1-B ","Aircraft",2019,0
"169","PHOENIX (AIM-54C) ","Missile Defense",2007,31998.3008
"169","PHOENIX (AIM-54C) ","Missile Defense",2015,-18470.1191
"170","JTIDS (ARMY) ","Electronics, Comms, & Sensors",2004,0
"171","JTIDS (NAVY) ","Electronics, Comms, & Sensors",2006,3882
"172","JTIDY (AIR FORCE) ","Electronics, Comms, & Sensors",2007,7935000
"172","JTIDY (AIR FORCE) ","Electronics, Comms, & Sensors",2009,0
"172","JTIDY (AIR FORCE) ","Electronics, Comms, & Sensors",2013,-5766415
"173","BMTC ","Missile Defense",2011,8336
"174","KIOWA WARRIOR ","Aircraft",2007,7174228.8033
"174","KIOWA WARRIOR ","Aircraft",2008,6830301.9492
"174","KIOWA WARRIOR ","Aircraft",2009,2061099.8321
"174","KIOWA WARRIOR ","Aircraft",2010,4548722.6875
"174","KIOWA WARRIOR ","Aircraft",2011,448200
"174","KIOWA WARRIOR ","Aircraft",2012,0
"174","KIOWA WARRIOR ","Aircraft",2013,5317901.45
"174","KIOWA WARRIOR ","Aircraft",2014,1375490
"174","KIOWA WARRIOR ","Aircraft",2015,-138918.38
"174","KIOWA WARRIOR ","Aircraft",2016,-18450
"174","KIOWA WARRIOR ","Aircraft",2017,-9560
"174","KIOWA WARRIOR ","Aircraft",2018,-2650
"175","LAV (ARMY) ","Land Vehicles",2006,0
"175","LAV (ARMY) ","Land Vehicles",2012,-249870.1401
"175","LAV (ARMY) ","Land Vehicles",2014,-39427.14
"175","LAV (ARMY) ","Land Vehicles",2015,39427.14
"176","EELV ","Space Systems",2004,1188918
"176","EELV ","Space Systems",2005,940864
"176","EELV ","Space Systems",2006,887502610.6101
"176","EELV ","Space Systems",2007,309254818.8501
"176","EELV ","Space Systems",2008,1452836014.0667
"176","EELV ","Space Systems",2009,1408366777.7144
"176","EELV ","Space Systems",2010,1309035292.8859
"176","EELV ","Space Systems",2011,1675661578.3354
"176","EELV ","Space Systems",2012,2460436023.9666
"176","EELV ","Space Systems",2013,1295284212.66
"176","EELV ","Space Systems",2014,2574970473.8961
"176","EELV ","Space Systems",2015,1769915183.1825
"176","EELV ","Space Systems",2016,1617007977.7999
"176","EELV ","Space Systems",2017,2094715754.5127
"176","EELV ","Space Systems",2018,1586016399.0235
"176","EELV ","Space Systems",2019,1276084913.7849
