,NASbioEconomyPretty,BioTechCustomer,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,"Biopharmaceuticals
/Other pharmaceuticals",Defense," 3,566,594 "," 57,570,733 "," 57,050,843 "," 71,127,593 "," 64,407,957 "," 102,525,472 "," 92,755,582 "," 79,429,844 "," 57,906,794 "," 67,857,366 "," 72,258,784 "," 86,750,976 "," 110,325,843 "," 256,817,430 "," 55,845,430 "," 113,806,379 "," 104,986,360 "," 80,372,215 "," 93,200,817 "," 73,610,229 "," 1,913,303,696 "
19,"Electromedical
instruments",Defense," 24,833,885 "," 338,566,225 "," 700,312,901 "," 617,774,211 "," 620,279,223 "," 622,040,960 "," 604,910,109 "," 406,857,475 "," 522,852,124 "," 592,700,755 "," 622,636,617 "," 634,623,180 "," 539,091,166 "," 378,840,826 "," 333,199,057 "," 294,868,410 "," 255,276,236 "," 309,544,405 "," 397,270,271 "," 501,746,618 "," 639,396,370 "
20,"Surgical and
Medical Equipment",Defense," 11,066,137 "," 69,943,135 "," 100,403,236 "," 291,705,294 "," 282,204,143 "," 377,884,479 "," 372,699,711 "," 413,210,609 "," 408,847,306 "," 398,284,893 "," 587,104,199 "," 519,428,608 "," 425,212,006 "," 388,840,611 "," 266,448,457 "," 304,828,217 "," 402,585,994 "," 320,679,839 "," 341,581,029 "," 244,515,297 "," 535,822,778 "
21,"Bioeconomy
R&D services",DHS, NA , NA , NA , NA , NA ," 1,241,542 "," 1,148,985 "," 369,082 "," 7,167,819 "," 28,466,620 "," 63,267,139 "," 35,562,369 "," 25,407,345 "," 32,879,642 "," 25,944,132 "," 20,540,737 "," 52,252,554 "," 42,975,990 "," 7,745,151 "," 45,588,324 "," 19,390,457 "
22,Biologics (enzymes),DHS, NA , NA , NA , NA , NA ," 3,464 "," 43,177 ", NA ," 32,257 ", NA ," 229,817 "," 175,500 "," 361,391 "," 242,716 "," 91,843 ", NA ," 52,718 "," 18,165 "," 8,807 "," 8,947 "," 9,284 "
23,"Biopharmaceuticals
/Other pharmaceuticals",DHS, NA , NA , NA , NA , NA ," 385,014 "," 243,760 "," 17,494 "," 3,405,744 "," 4,694,541 "," 76,660 "," 159,180 "," 67,349 "," 938,808 "," 1,284,417 "," 597,453 "," 1,338,515 "," 471,984 "," 859,403 "," 398,939 "," 1,591,685 "
24,"Electromedical
instruments",DHS, NA ," 51,776 "," 28,313 "," 18,739,034 "," 8,065,955 "," 85,083,938 "," 54,217,178 "," 207,802,392 "," 31,366,676 "," 149,913,666 "," 171,010,416 "," 273,565,785 "," 159,909,469 "," 50,775,843 "," 151,320,325 "," 199,260,919 "," 183,463,620 "," 203,858,860 "," 333,526,187 "," 168,133,768 "," 185,232,743 "
25,"Surgical and
Medical Equipment",DHS, NA , NA , NA ," 168,511 "," 2,206,372 "," 974,774 "," 1,099,986 "," 994,876 "," 1,125,554 "," 1,653,923 "," 701,813 "," 945,194 "," 437,004 "," 1,147,005 "," 476,348 "," 231,552 "," 304,149 "," 183,428 "," 160,754 "," 144,125 "," 200,991,959 "
26,"Bioeconomy
R&D services",Other Agencies," 4,040,922 "," 53,725,290 "," 50,837,363 "," 44,164,611 "," 27,256,690 "," 31,660,070 "," 26,211,733 "," 42,377,769 "," 50,021,598 "," 38,579,959 "," 34,578,514 "," 32,362,902 "," 44,859,144 "," 48,870,710 "," 52,498,781 "," 61,303,800 "," 80,317,667 "," 75,851,652 "," 75,307,196 "," 94,702,883 "," 95,088,301 "
27,Biologics (enzymes),Other Agencies," 70,661 "," 1,944,484 "," 1,296,716 "," 2,047,247 "," 1,948,450 "," 7,192,274 "," 8,035,813 "," 14,673,967 "," 17,073,911 "," 16,173,554 "," 14,250,485 "," 12,421,548 "," 12,789,786 "," 9,979,048 "," 13,034,050 "," 11,368,777 "," 33,190,233 "," 11,775,911 "," 9,391,088 "," 11,983,998 "," 36,394,374 "
28,"Biopharmaceuticals
/Other pharmaceuticals",Other Agencies," 340,056 "," 27,979,868 "," 5,570,900 "," 3,246,023 "," 7,223,217 "," 4,135,708 "," 9,509,086 "," 8,313,814 "," 7,782,274 "," 34,327,882 "," 140,952,797 "," 218,117,062 "," 197,526,035 "," 70,554,110 "," 92,296,143 "," 110,393,187 "," 117,555,315 "," 118,521,302 "," 131,256,818 "," 108,777,175 "," 29,225,764 "
29,"Electromedical
instruments",Other Agencies," 32,885,864 "," 101,859,975 "," 102,510,140 "," 111,587,798 "," 106,941,316 "," 140,235,941 "," 159,989,979 "," 198,733,176 "," 191,928,552 "," 228,770,730 "," 303,730,193 "," 193,709,370 "," 206,353,349 "," 171,392,793 "," 205,613,511 "," 209,822,870 "," 189,100,763 "," 198,089,978 "," 177,168,113 "," 179,252,417 "," 260,056,026 "
30,"Surgical and
Medical Equipment",Other Agencies," 643,309 "," 2,939,738 "," 9,625,140 "," 21,469,462 "," 11,209,284 "," 11,042,043 "," 11,763,815 "," 12,937,715 "," 10,508,069 "," 15,790,644 "," 11,948,881 "," 14,655,407 "," 11,247,771 "," 12,547,129 "," 12,605,454 "," 16,214,499 "," 13,627,011 "," 14,462,149 "," 22,198,647 "," 21,555,569 "," 24,589,180 "
