Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2011,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,2011,FALSE,2013,>1-2 Years,>2-7 Months,1,14547.9004,NA,1,2011-01-01,2011,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,19412.5732724575,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2012,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Large,TRUE,N,N,NA,2012,FALSE,2012,>7-12 Months,>7-12 Months,7,178147.1612,NA,7,2012-01-01,2012,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,233481.03903818916,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large: Big 5,TRUE,Y,N,X,2003,FALSE,1900,NA,>2-7 Months,2,44217,NA,2,2002-01-01,2002,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Big Five,71453.126710095,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2018,NA,Defense,MilitaryHealth,Clothing & Subsistence,Other Products,NA,NA,FSS,No Competition (Only One Source Exception),No competition,Other FP,M,Medium <1B,FALSE,N,N,NA,2019,FALSE,2019,<=2 Months,<=2 Months,1,34268.5,NA,1,2018-01-01,2018,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Fixed Price Award Fee,Other FP,All Other,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Other DoD,Medium,40923.06587333793,All Other,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Navy,Advanced Development,Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2006,FALSE,1900,NA,>7-12 Months,2,499481,NA,2,2005-01-01,2005,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,750235.5814316518,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2022,2,Defense,DLA,Other,Other Products,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,N,N,NA,2022,NA,2022,>1-2 Years,>1-2 Years,4,-167234.61,NA,4,2022-01-01,2022.2,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Small,-174885.02392659843,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2017,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,Y,N,NA,2018,NA,2018,>7-12 Months,>7-12 Months,2,119545,NA,2,2017-01-01,2017,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,145928.58152803287,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2023,3,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2022,FALSE,2022,>7-12 Months,>7-12 Months,1,-1549.85,NA,1,2023-01-01,2023.3,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-1549.85,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,4,Defense,Other DoD,Launchers & Munitions,Ordnance and Missiles,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,N,N,NA,2025,NA,2024,>2-7 Months,>7-12 Months,1,0,NA,1,2024-01-01,2024.4,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Other DoD,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2004,NA,Defense,Navy,Ships,Ships & Submarines,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,Y,N,X,2004,FALSE,NA,NA,<=2 Months,2,84,NA,2,2004-01-01,2004,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Large,130.0098896975356,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2007,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,X,2007,FALSE,2007,<=2 Months,<=2 Months,5,313969.8594,NA,5,2007-01-01,2007,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,444517.5219917982,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Air Force,ERS,Aircraft,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,NA,1,Small,TRUE,N,N,X,NA,TRUE,NA,NA,NA,1,0,NA,NA,2021-01-01,2021,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Order Dependent (IDV only),NA,NA,Crosscutting,Crosscutting,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,0,NA,NA,NA,NA,Crosscutting,NA
2023,2,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2024,NA,2025,>4 years,>2-4 Years,2,323672.76,4000,2,2023-01-01,2023.2,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Small,323672.76,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,4,Defense,DLA,Other,Aircraft,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Unlabeled,FALSE,N,N,NA,2023,NA,2023,>1-2 Years,>1-2 Years,4,-8510.64,NA,4,2022-01-01,2022.4,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Unlabeled,-8899.972798876175,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Other DoD,Other,Ships & Submarines,NA,NA,MULTIPLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,X,2012,FALSE,2010,>2-7 Months,>1-2 Years,1,-2399,NA,1,2011-01-01,2011,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Other DoD,Large,-3201.201685476589,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2013,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2013,FALSE,2013,<=2 Months,>1-2 Years,3,1094325.1,NA,3,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,1408670.9365318655,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2017,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,Y,N,NA,2017,NA,2019,>4 years,>2-4 Years,2,4600,NA,2,2017-01-01,2017,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Small,5615.220001078684,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2008,NA,Defense,Army,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Small,TRUE,N,N,X,2008,FALSE,2008,<=2 Months,<=2 Months,1,99964.7,NA,1,2008-01-01,2008,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Small,138651.1865022298,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Other DoD,Applied Research (6.2),Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,Other CB,U,Large: Big 5,TRUE,N,Y,Y,NA,FALSE,NA,NA,NA,1,0,NA,NA,2022-01-01,2022.3,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Ordnance and Missiles,Other DoD,Big Five,0,Cost-Based,NA,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2023,2,Defense,Air Force,R&D facilities and major equipment,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,Y,2024,FALSE,2024,>7-12 Months,>7-12 Months,1,20000,NA,1,2023-01-01,2023.2,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Air Force,Big Five,20000,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,DLA,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,NA,2012,FALSE,2012,>2-7 Months,>2-7 Months,22,7162141.4682,NA,22,2011-01-01,2011,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,DLA,Small,9557090.179084456,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Navy,ERS,Aircraft,FALSE,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,NA,2022,NA,2022,<=2 Months,<=2 Months,1,12527,NA,1,2022-01-01,2022.3,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Navy,Small,13100.0675920403,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Other Exception),No competition,T&M/LH/FPLOE,Y,Small,TRUE,N,N,X,2008,FALSE,2007,>7-12 Months,>2-4 Years,1,0,NA,1,2008-01-01,2008,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,0,All Other,>1 year,All Other,All Other,Cost or Effort-Based,<=1 year
2006,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,TRUE,Y,N,X,2006,FALSE,1900,NA,>1-2 Years,8,2430325,NA,8,2006-01-01,2006,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,3535571.119428016,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2024,1,Defense,Navy,Applied Research (6.2),Aircraft,FALSE,TRUE,BOA,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,Y,NA,2028,NA,2028,>4 years,>4 years,2,3000000,NA,2,2024-01-01,2024.1,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,BOA or BPA,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Remotely Crewed,Navy,Big Five,2921966.010779709,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
1990,NA,Defense,Navy,PAMS,Aircraft,FALSE,NA,NA,Limited Competition with multiple offers,Two Offers,NA,Z,Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31000,NA,NA,1990-01-01,1990,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Labor Hours,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Navy,Large,64116.74005392896,All Other,NA,All Other,All Other,Crosscutting,NA
2009,NA,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Combination/Other,2,Large,TRUE,Y,N,X,2009,FALSE,2006,>2-7 Months,>2-4 Years,1,-0.06,NA,1,2009-01-01,2009,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Large,-0.08237768525253467,All Other,>1 year,All Other,All Other,Crosscutting,<=1 year
2017,NA,Defense,DLA,FRS,Facilities and Construction,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2017,NA,2017,<=2 Months,>2-7 Months,3,0,NA,3,2017-01-01,2017,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,DLA,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,Clothing & Subsistence,Other Products,NA,NA,PO,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Large,TRUE,Y,N,X,2010,FALSE,2009,<=2 Months,>1-2 Years,1,-50,NA,1,2010-01-01,2010,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Army,Large,-68.05865296345797,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2024,3,Defense,Other DoD,PAMS,Other Services,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,NA,Y,N,NA,2022,NA,2022,>2-4 Years,>2-4 Years,1,-345343.23,NA,1,2024-01-01,2024.3,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Other DoD,Medium,-336360.39337095985,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
