"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20","rank"
333512,"Machine Tool (Metal Cutting Types) Manufacturing","",151536.01103872,253
333515,"Cutting Tool and Machine Tool Accessory Manufacturing","",15625.8234519104,390
333517,"Machine Tool Manufacturing","",453763.26852459,199
333518,"Other Metalworking Machinery Manufacturing","",311571.629905829,222
333611,"Turbine and Turbine Generator Set Units Manufacturing","",78581.5171070254,287
333613,"Mechanical Power Transmission Equipment Manufacturing","",386367.064724651,213
333911,"Pump and Pumping Equipment Manufacturing","",6062.80454791554,435
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","",84498,280
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","",573932.862708087,188
333991,"Power-Driven Handtool Manufacturing","",2125.22293306824,464
333993,"Packaging Machinery Manufacturing","",20412.5636868742,372
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing","",899608.826674501,167
334111,"Electronic Computer Manufacturing","",2429610817.22801,10
334112,"Computer Storage Device Manufacturing","",113646313.243587,42
334113,"Computer Terminal Manufacturing","",24097923.8048132,69
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","",13279626.2355856,80
334119,"Other Computer Peripheral Equipment Manufacturing","",124869655.109639,40
334210,"Telephone Apparatus Manufacturing","",438065342.119001,24
334220,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","",380429388.57653,27
334290,"Other Communications Equipment Manufacturing","",113226947.09223,43
334310,"Audio and Video Equipment Manufacturing","",28552623.0737759,60
334412,"Bare Printed Circuit Board Manufacturing","",615566.271982119,186
334413,"Semiconductor and Related Device Manufacturing","",1596772.87688022,146
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","",424876.131853306,207
334417,"Electronic Connector Manufacturing","",196285783.745172,34
334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing","",2359179.4048224,137
334419,"Other Electronic Component Manufacturing","",2840321.37799393,131
334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing","",4127.68015276286,459
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","334511 Aero. & Nautical System & Instr. Manufacturing",12786896.1104594,81
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","",3764959.2665899,120
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","",7614385.65561255,97
334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","",10206583.1378491,89
334516,"Analytical Laboratory Instrument Manufacturing","",1016250.9116887,163
334517,"Irradiation Apparatus Manufacturing","",208630,239
334518,"Watch, Clock, and Part Manufacturing","",4210.26469491736,458
334519,"Other Measuring and Controlling Device Manufacturing","",32552399.6041723,58
334611,"Software Reproducing","",107646736.287418,44
334612,"Prerecorded Compact Disc (Except Software), Tape, and Record Reproducing","",11463.6711846556,405
334613,"Blank Magnetic and Optical Recording Media Manufacturing","",5971559.97814178,105
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","",65173.3063242903,300
335110,"Electric Lamp Bulb and Part Manufacturing","",21378.2270105851,370
335121,"Residential Electric Lighting Fixture Manufacturing","",514753.946976934,192
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","",234861.03910464,229
335129,"Other Lighting Equipment Manufacturing","",44385.4899837574,327
335228,"Other Major Household Appliance Manufacturing","",7414.33488952286,428
335311,"Power, Distribution, and Specialty Transformer Manufacturing","",25022615.1186831,66
335312,"Motor and Generator Manufacturing","",714307.38516207,179
335313,"Switchgear and Switchboard Apparatus Manufacturing","",4548357.22453668,111
335314,"Relay and Industrial Control Manufacturing","",59387.724285326,308
335911,"Storage Battery Manufacturing","",3268791.97037381,124
335912,"Primary Battery Manufacturing","",498152.339899331,196
335921,"Fiber Optic Cable Manufacturing","",14244410.9913799,77
335929,"Other Communication and Energy Wire Manufacturing","",688934.179954029,182
335931,"Current-Carrying Wiring Device Manufacturing","",606501.351800598,187
335932,"Noncurrent-Carrying Wiring Device Manufacturing","",116186.31814899,263
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","",12186027.7350684,82
336111,"Automobile Manufacturing","",83032.4807855749,283
336112,"Light Truck and Utility Vehicle Manufacturing","",113630.888755308,264
336211,"Motor Vehicle Body Manufacturing","",201155.822604198,241
336212,"Truck Trailer Manufacturing","",162744.451617775,249
336310,"Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","",4081216.20242832,118
336320,"Motor Vehicle Electrical and Electronic Equipment Manufacturing","",48177.7094810299,320
336322,"Other Motor Vehicle Electrical and Electronic Equipment Manufacturing","",21127.8285989408,371
336399,"All Other Motor Vehicle Parts Manufacturing","",69223.3850941195,297
336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing","336413 Other Aircraft Parts Equip. Manuf.",400125.643596114,211
336991,"Motorcycle, Bicycle, and Parts Manufacturing","",16001.1016222834,387
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","336992 Mil. Armored Veh. & Component Manufacturing",122347.558953213,260
336999,"All Other Transportation Equipment Manufacturing","",31291.4903129274,350
337122,"Nonupholstered Wood Household Furniture Manufacturing","",3054356.68683029,130
337124,"Metal Household Furniture Manufacturing","",18718.2291500743,380
337125,"Household Furniture (except Wood and Metal) Manufacturing","",19348.3231889247,376
337127,"Institutional Furniture Manufacturing","",1055495.42905843,161
337211,"Wood Office Furniture Manufacturing","",2376727.78340096,135
337214,"Office Furniture (except Wood) Manufacturing","",26514871.7653934,63
337215,"Showcase, Partition, Shelving, and Locker Manufacturing","",15391591.2418297,76
337920,"Blind and Shade Manufacturing","",19027.9767997245,378
339111,"Laboratory Apparatus and Furniture Manufacturing","",159758.818743641,252
339112,"Surgical and Medical Instrument Manufacturing","",79443.2872023897,286
339113,"Surgical Appliance and Supplies Manufacturing","",55060.1380592901,311
339914,"Costume Jewelry and Novelty Manufacturing","",31823.6066356367,349
339920,"Sporting and Athletic Goods Manufacturing","",1023547.14781683,162
339930,"Doll, Toy, and Game Manufacturing","",136.95,471
339940,"Office Supplies (except Paper) Manufacturing","",40399.2284699326,334
339943,"Marking Device Manufacturing","",-3660.0790513834,474
339944,"Carbon Paper and Inked Ribbon Manufacturing","",2345020.71914543,138
339950,"Sign Manufacturing","",2553517.58920666,133
339991,"Gasket, Packing, and Sealing Device Manufacturing","",8953.95567803422,421
339994,"Broom, Brush, and Mop Manufacturing","",12195.592694623,404
339999,"All Other Miscellaneous Manufacturing","",723729.839144544,178
421420,"Office Equipment Wholesalers","",-179750.849377123,476
421430,"Computer and Computer Peripheral Equipment and Software Wholesalers","",218042743.790775,31
421440,"Other Commercial Equipment Wholesalers","",80109.0033975085,285
421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers","",321997.213878904,221
421690,"Other Electronic Parts and Equipment Wholesalers","",13994812.33921,79
421710,"Hardware Wholesalers","",327013.023782559,219
422120,"Stationery and Office Supplies Wholesalers","",3213427.33130486,127
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","",275691.198496662,227
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","",326960.272330553,220
423210,"Furniture Merchant Wholesalers","",41952449.265555,54
423220,"Home Furnishing Merchant Wholesalers","",34082.4262156957,344
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","",3196.94462551605,462
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","",17746.9428261916,384
423390,"Other Construction Material Merchant Wholesalers","",4471.60687338393,453
423410,"Photographic Equipment and Supplies Merchant Wholesalers","",764954.988238207,175
423420,"Office Equipment Merchant Wholesalers","",6374762.56243698,102
423430,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","",619066393.031276,20
423440,"Other Commercial Equipment Merchant Wholesalers","",459862.244195965,198
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","423450 Medical Equipment &  Supplies Wholesalers",6176.99115044248,434
423490,"Other Professional Equipment and Supplies Merchant Wholesalers","",3446162.27178284,122
423510,"Metal Service Centers and Other Metal Merchant Wholesalers","",13275.5152207958,398
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","",4282555.60317643,116
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","",449224.595575025,201
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","",5726391.29986123,107
423710,"Hardware Merchant Wholesalers","",976147.218598025,165
423730,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers","",6911.19691119691,431
423740,"Refrigeration Equipment and Supplies Merchant Wholesalers","",8695.54839479651,423
423830,"Industrial Machinery and Equipment Merchant Wholesalers","",422795.586237829,208
423840,"Industrial Supplies Merchant Wholesalers","",439152.575512007,203
423860,"Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","",432147.847051459,206
423910,"Sporting and Recreational Goods and Supplies Merchant Wholesalers","",67253.3185840708,298
423990,"Other Miscellaneous Durable Goods Merchant Wholesalers","",8196106.4537227,94
424110,"Printing and Writing Paper Merchant Wholesalers","",42056.4456097364,331
424120,"Stationery and Office Supplies Merchant Wholesalers","",1105320.42628043,158
424130,"Industrial and Personal Service Paper Merchant Wholesalers","",34739.9550813164,342
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","",39364.4963987069,335
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","",4431.37943137943,454
424690,"Other Chemical and Allied Products Merchant Wholesalers","",590.282092705356,468
424920,"Book, Periodical, and Newspaper Merchant Wholesalers","",46323.7580835696,324
425110,"Business to Business Electronic Markets","",46224.7353368722,325
425120,"Wholesale Trade Agents and Brokers","",8830.0395256917,422
441110,"New Car Dealers","",7124.62666304643,430
441229,"All Other Motor Vehicle Dealers","",300268.096514745,224
441310,"Automotive Parts and Accessories Stores","",379101.026540185,216
442110,"Furniture Stores","",221684.096122633,232
442210,"Floor Covering Stores","",6580.46061361606,432
442299,"All Other Home Furnishings Stores","",17296.7810380494,385
443111,"Household Appliance Stores","",41826049.9800721,55
443112,"Radio, Television, and Other Electronics Stores","",812337.098665203,172
443120,"Computer and Software Stores","",1182998960.81926,15
443130,"Camera and Photographic Supplies Stores","",96623.5375082325,275
443142,"Electronics Stores","",13140.9836065574,400
444110,"Home Centers","",1243.99,467
444130,"Hardware Stores","",3241301.05200543,126
444190,"Other Building Material Dealers","",58920.7628680661,310
444210,"Outdoor Power Equipment Stores","",43649.2318892469,329
452990,"All Other General Merchandise Stores","",744961.511163102,176
453210,"Office Supplies and Stationery Stores","",10768644.7810362,86
453220,"Gift, Novelty, and Souvenir Stores","",0,472.5
453920,"Art Dealers","",26950.7226028965,361
453998,"All Other Miscellaneous Store Retailers (except Tobacco Stores)","",66840.3813028425,299
454111,"Electronic Shopping","",29643.690569154,353
454113,"Mail-Order Houses","",61063.2989349796,304
454390,"Other Direct Selling Establishments","",14853.9828507518,391
481112,"Scheduled Freight Air Transportation","",5315.90016814345,441
482111,"Line-Haul Railroads","",5086.88569101276,442
484110,"General Freight Trucking, Local","",8687.6037278182,424
484121,"General Freight Trucking, Long-Distance, Truckload","",833371.46632691,169
484122,"General Freight Trucking, Long-Distance, Less Than Truckload","",544927.811088363,190
484210,"Used Household and Office Goods Moving","",4905942.04401389,109
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance","",2103737.21201794,142
485111,"Mixed Mode Transit Systems","",11454334.2418023,84
485113,"Bus and Other Motor Vehicle Transit Systems","",5032.93152727725,444
485310,"Taxi Service","",9653527.31048033,90
485999,"All Other Transit and Ground Passenger Transportation","",1224431.82948099,156
488190,"Other Support Activities for Air Transportation","",4380675.31508501,113
488510,"Freight Transportation Arrangement","",675192.709200745,183
488991,"Packing and Crating","",410840.821566999,209
491110,"Postal Service","",4225.00913186412,457
492110,"Couriers and Express Delivery Services","",1396010.17352902,152
492210,"Local Messengers and Local Delivery","",12368.4137217972,402
493110,"General Warehousing and Storage","",8780634.70950554,92
493190,"Other Warehousing and Storage","",1003115.56600798,164
511110,"Newspaper Publishers","",104979.668329322,270
511120,"Periodical Publishers","",3189814.71726025,129
511130,"Book Publishers","",90022.9176401493,278
511140,"Directory and Mailing List Publishers","",52886.5441253713,316
511199,"All Other Publishers","",7619226.4326963,96
511210,"Software Publishers","",3973043787.194,7
512110,"Motion Picture and Video Production","",6265413.98884699,104
512191,"Teleproduction and Other Postproduction Services","",24689901.22071,67
512199,"Other Motion Picture and Video Industries","",76051.9926423857,290
512210,"Record Production","",44983.6723660564,326
512290,"Other Sound Recording Industries","",4821831.98569094,110
513220,"Cable and Other Program Distribution","",11151340.6002265,85
513310,"Wired Telecommunications Carriers","",2124528891.46325,11
513322,"Cellular and Other Wireless Telecommunications","",14172976.1423651,78
513330,"Telecommunications Resellers","",2740017268.97801,9
513340,"Satellite Telecommunications","",215550481.058232,32
513390,"Other Telecommunications","",128207550.962627,39
514191,"On-Line Information Services","",22772243.7712344,70
514199,"All Other Information Services","",2129531.11567806,141
514210,"Data Processing Services","",1663807073.36477,14
515111,"Radio Networks","",47160.4596125648,323
515120,"Television Broadcasting","",47540.3770878686,322
515210,"Cable and Other Subscription Programming","",1541515.78912732,148
516110,"Internet Publishing and Broadcasting","",10881.0298377847,410
517110,"Wired Telecommunications Carriers","",23509910561.2312,1
517210,"Wireless Telecommunications Carriers (except Satellite)","",391693636.243967,26
517211,"Paging","",542230.354625208,191
517212,"Cellular and Other Wireless Telecommunications","",9337556.93829461,91
517310,"Telecommunications Resellers","",206739552.206265,33
517311,NA,"",454917759.230573,23
517312,NA,"",17168789.8384325,74
517410,"Satellite Telecommunications","",6516427726.75268,5
517510,"Cable and Other Program Distribution","",26456.6929133858,362
517910,"Other Telecommunications","",561050509.522254,21
517911,"Telecommunications Resellers","",170481739.431881,36
517919,"All Other Telecommunications","",417479977.294966,25
518111,"Internet Service Providers","",41192260.1907838,56
518210,"Data Processing, Hosting, and Related Services","",507334121.545465,22
519110,"News Syndicates","",8547.78263585259,426
519120,"Libraries and Archives","",63111.3306343632,303
519130,"Internet Publishing and Broadcasting and Web Search Portals","",4164166.62560858,117
519190,"All Other Information Services","",3253858.72025839,125
522190,"Other Depository Credit Intermediation","",4606.06060606061,451
522220,"Sales Financing","",5573.5056542811,438
522390,"Other Activities Related to Credit Intermediation","",34469.5518958254,343
523991,"Trust, Fiduciary, and Custody Activities","",207153.32786626,240
523999,"Miscellaneous Financial Investment Activities","",104224.160432385,271
525930,"Real Estate Investment Trusts","",53324.4987377809,315
525990,"Other Financial Vehicles","",392427.359933268,212
531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)","",65107.0404519253,301
531130,"Lessors of Miniwarehouses and Self-Storage Units","",2579.41895194135,463
531190,"Lessors of Other Real Estate Property","",70945.2088864575,296
531390,"Other Activities Related to Real Estate","",219422.65271444,235
532112,"Passenger Car Leasing","",141391.114569411,254
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","",447053.980983233,202
532292,"Recreational Goods Rental","",4696.67790081849,449
532299,"All Other Consumer Goods Rental","",43689.2114826178,328
532310,"General Rental Centers","",4706.1701873732,448
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","",170923.141342424,245
532420,"Office Machinery and Equipment Rental and Leasing","",86826557.858245,46
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","",2575386.09064857,132
541110,"Offices of Lawyers","",27839987.585591,61
541199,"All Other Legal Services","",546050.446872319,189
541211,"Offices of Certified Public Accountants","",19174712.3347908,72
541214,"Payroll Services","",156805832.59303,38
541219,"Other Accounting Services","",69947320.4980714,49
541330,"Engineering Services","541330 Engineering Services",3119389060.64867,8
541360,"Geophysical Surveying and Mapping Services","",5801307.37198449,106
541370,"Surveying and Mapping (except Geophysical) Services","",1076587.8917552,160
541380,"Testing Laboratories","",61740264.0256532,50
541410,"Interior Design Services","",75970.3662167488,291
541420,"Industrial Design Services","",6403.53982300885,433
541430,"Graphic Design Services","",2063982.18155224,143
541490,"Other Specialized Design Services","",53434.8616895502,314
541511,"Custom Computer Programming Services","",4048089286.96273,6
541512,"Computer Systems Design Services","",11184021771.2738,3
541513,"Computer Facilities Management Services","",1937712634.18286,12
541519,"Other Computer Related Services","",19934310834.9098,2
541611,"Administrative Management and General Management Consulting Services","",855338827.092814,16
541612,"Human Resources Consulting Services (2007), Human Resources and Executive Search Consulting Services (2002)","",344674.794018534,218
541613,"Marketing Consulting Services","",4080613.70004376,119
541614,"Process, Physical Distribution, and Logistics Consulting Services","",24359783.8884168,68
541618,"Other Management Consulting Services","",717149681.300767,19
541620,"Environmental Consulting Services","",3191812.63271489,128
541690,"Other Scientific and Technical Consulting Services","",180438505.168275,35
541710,"Research and Development In The Physical, Engineering, and Life Sciences","54171* R&D in the Phys., Eng., & Life Sciences",801911780.408858,17
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","54171* R&D in the Phys., Eng., & Life Sciences",8752609728.99588,4
541713,"Research and Development in Nanotechnology","",2332042.47345409,139
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","",736513.3438,177
541720,"Research and Development in the Social Sciences and Humanities","",32938.0764163373,348
541820,"Public Relations Agencies","",929393.372133905,166
541840,"Media Representatives","",10766.9718343765,411
541860,"Direct Mail Advertising","",18598.9682324192,381
541890,"Other Services Related to Advertising","",219435.866381454,234
541910,"Marketing Research and Public Opinion Polling","",85761.0391696759,279
541930,"Translation and Interpretation Services","",3548729.05792758,121
541990,"All Other Professional, Scientific, and Technical Services","",90295116.1098742,45
561110,"Office Administrative Services","",10409744.2183902,87
561210,"Facilities Support Services","",159973939.008411,37
561320,"Temporary Help Services","",1107605.14172056,157
561410,"Document Preparation Services","",1079047.73020876,159
561421,"Telephone Answering Services","",140927.129856988,255
561439,"Other Business Service Centers (including Copy Shops)","",52845869.7560928,52
561450,"Credit Bureaus","",1921180.37692483,144
561492,"Court Reporting and Stenotype Services","",28433.6435328003,358
561499,"All Other Business Support Services","",26340513.562364,64
561611,"Investigation Services","",702493.447355541,180
561612,"Security Guards and Patrol Services","",122898317.578528,41
561621,"Security Systems Services (except Locksmiths)","",78805648.4584426,48
561622,"Locksmiths","",163187.731383133,248
561710,"Exterminating and Pest Control Services","",13249.5753494541,399
561720,"Janitorial Services","",25967693.8040596,65
561730,"Landscaping Services","",825314.027854117,171
561740,"Carpet and Upholstery Cleaning Services","",111384.528593071,268
561790,"Other Services to Buildings and Dwellings","",806900.87704036,173
561910,"Packaging and Labeling Services","",828737.237630508,170
561920,"Convention and Trade Show Organizers","",2281693.2820878,140
561990,"All Other Support Services","",42614639.6867037,53
562111,"Solid Waste Collection","",324.987963408763,470
