"SimpleArea","ProductServiceOrRnDarea","ProductOrServiceCode","ProductOrServiceCodeText","MDAcat","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Products","Launchers & Munitions","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","Launcher, Munition, Missile, or Space Product",17068000,9759000,61156088,2215650,61730298,776807,732571,2599416,11631669,19083174,4857880,19536,257884,1052647,2475139,19533334,19749620,13728006.1289,43763231.2304,34370604.0869,25292729.2558,12943328.461,5810604.8775,31324453.3656,28690602.3712,28410953.0292,25452362.3048,15525035.2336,8267141.7994,18380717.0831,3458725.9764
"Products","Launchers & Munitions","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","Launcher, Munition, Missile, or Space Product",91902000,45530000,35835828,24931099,20848301,8096460,32901074,93897162,16096150,37698415,121920844,182880741,223925929,98672642,92415087.5,57755547.5801,81810948.4282,60191207.8096,40779951.6406,136675183.6099,53464797.6474,42102362.2222,53041637.378,20344562.06,43662641.7,32052566.1975,40235359.35,16850927.7934,9817274.0737,36600024.1259,27245229.6015
"Products","Launchers & Munitions","1070","NETS AND BOOMS, ORDNANCE","Launcher, Munition, Missile, or Space Product",84000,,145100,,159817,,7587428,,4043351,37760309,38899870,,,196552,143249,767782.2092,960502.6217,807201.7064,-409667.2666,592095.2457,597123.0294,3448268.8003,110492.75,291384.16,3074171.16,201103.9706,4514523.4429,145543.0804,247678.3799,116153.5293,154711.3008
"Products","Launchers & Munitions","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","Launcher, Munition, Missile, or Space Product",7963000,16338000,6046392,5187160,5981645,4914101,12963986,6916832,5943308,3479134,2222587,4401872,4335498,5822110,30221574,19884687.5,13510198,54733499.7207,23997021.3813,46328913.0074,21548426.5429,80668927.8767,93691159.2686,39151560.15,41073738.7803,98984192.9874,62333761.8102,45738417.4243,85497969.6419,116738010.6856,49847959.6707
"Products","Launchers & Munitions","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","Launcher, Munition, Missile, or Space Product",49727000,50370074,9352626,13228554,3114710,269119,5083199,-1387153,4820900,8488433,8805889,28573583,38909146,53939514,67317842.29,136507475.6195,101213191.4908,28514789.4357,78381957.9779,59753174.0687,17947252.2545,11339365.2895,2176411.6238,5485201.55,1710021.8,7552393.2821,836026.0349,2946604.7303,8638169.1718,3350286.5208,2716759.1227
"Products","Launchers & Munitions","1090","ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES","Launcher, Munition, Missile, or Space Product",145000,120000,990538,1401330,4280452,1151384,2677136,1470208,707646,593318,679829,427067,680258,860966,2502115,7541860.2998,3607231.1104,16936507.4239,44315960.7996,48709806.6341,20640227.8732,12186432.1736,15285114.2874,3035339.65,3539888.9401,2804386.0682,7611853.8669,4578069.6265,120216954.6473,444485189.5036,258134205.3448
"Products","Launchers & Munitions","1095","MISCELLANEOUS WEAPONS","Launcher, Munition, Missile, or Space Product",563562000,358247602,516465281,315880854,250761592,344893493,396870305,930210057,732007557,557189147,620321219,548686523,492141270,794544654.8125,792507133.5642,861008599.0616,527801753.4899,593959010.843,980269575.571,822786269.6252,552717152.114,626351873.9076,657825263.3492,675148060.4147,509424298.0913,556512793.7756,726195358.3098,555000570.8193,1210552472.6285,797566063.3989,869082571.3423
"Products","Launchers & Munitions","1105","NUCLEAR BOMBS","Launcher, Munition, Missile, or Space Product",4085000,458000,-95804,-52845,,,,,,,,,117449,47721,53818,196469,354267.5,148529.5999,16337.38,249140.1,12818.0303,-2115.3594,-20000,21415.82,2900,55005.83,17837.3496,,2150000,30188822,116189932.5762
"Products","Launchers & Munitions","1110","NUCLEAR PROJECTILES","Launcher, Munition, Missile, or Space Product",,,1868997,624987,1780179,1930141,1420471,,,,,,,59256,,142489.2266,118818.3594,17490.3008,126845.72,25631.8198,1262865.5,-8790.5,-14407.8301,,67770.12,,19515,,3150.49,,0
"Products","Launchers & Munitions","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS","Launcher, Munition, Missile, or Space Product",23573000,1187000,-3835578,26598,461851,,-14156877,187500,,39850,40920,33000,1831320,2547475,1036303,760948,784774,8357998,52656.2002,3197882,0,4187879.875,440188.7813,24538.67,3663047,3378128,3378128,3858579,17047068,3497520.8488,3214924
"Products","Launchers & Munitions","1120","NUCLEAR DEPTH CHARGES","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,35925,,3422,122064.0204,,,36420,,,3880.9,,,10910.7002,6564.2998,37127.1997,21400,
"Products","Launchers & Munitions","1125","NUCLEAR DEMOLITION CHARGES","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,,,2587,,,,,,,4450,,,,,,,
"Products","Launchers & Munitions","1127","NUCLEAR ROCKETS","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,2400000,,,,2500,-887,,11347,,14550,,,,,,36898.01,,,,,
"Products","Launchers & Munitions","1130","CONVERSION KITS, NUCLEAR ORDNANCE","Launcher, Munition, Missile, or Space Product",,,,,,,,,60300,63500,90000,38124,118240,,,70941.4375,2983563,1430180.6992,11909.1299,11270.1201,-119002.9785,19500.8798,1430427.4097,76326.47,7997998.17,39371.25,7157415.67,936683.4307,4686449.8086,0,
"Products","Launchers & Munitions","1135","FUZING & FIRING DEVICES, NUCLEAR OR","Launcher, Munition, Missile, or Space Product",428000,3427000,1107675,1141172,-1428925,62697,316877,720499,186427,,80657,135382,,981083,8463745,3303426,3278043.1201,17497424.25,254924.3291,6458293.29,2240974.25,754558.5463,827168.6093,37620.99,8900116.82,2106179.87,9688256.4172,2196383.3867,2155924.2402,7683380.3604,4976367.0099
"Products","Launchers & Munitions","1140","NUCLEAR COMPONENTS","Launcher, Munition, Missile, or Space Product",,241000,,231969,,304188,429039,356730,234558,,-3410000,-1300172,539497532,140749526,949328587,625649336,196523452,667272,78382.21,207480,16977.5,62834,221148.23,685693.25,278288.82,89264736,1066785914.6895,343641689,-183578,13542248,2387526.0469
"Products","Launchers & Munitions","1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL","Launcher, Munition, Missile, or Space Product",168000,1960000,280000,,,41250,27776,,,,,40000,208651,1073518.875,685731.4995,635309.9302,729011.1274,423681.2994,1324720.6587,50218072.9932,82232948.5767,66044301.2246,6472615.4418,1376733.19,231173.0009,145210.2999,126212.0179,79981.6001,65748.0411,42938.8999,84309.8909
"Products","Launchers & Munitions","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","Launcher, Munition, Missile, or Space Product",1984000,11417000,24057292,20276961,1104878,12642015,1473353,2289746,12535106,567753,4164694,25336530,2412668,6585342,4357345,14539386.0596,7637196.1514,15590076.3742,14823292.2733,1573606.9694,1585184.2764,-3092487.3545,2672263.4251,3943359.7001,2221234.53,4038266.129,94970239.9327,3187280.073,1151794.9395,2242882.6697,9893124.4189
"Products","Launchers & Munitions","1195","MISCELLANEOUS NUCLEAR ORDNANCE","Launcher, Munition, Missile, or Space Product",-1085000,5409000,-1412604,-13390,242512,1770041,,396225,55330,,1378893,65300,,2681720,16561.5,24206,-62944.9302,4378492.7497,10438371.6094,-13223.36,-25494.7801,95817.9102,548291.1875,4900,8034.04,17836.06,20615.2699,21376.5298,35221.9595,25198.3799,
"Products","Electronics & Communications","1210","FIRE CONTROL DIRECTORS","Other via Platform Portfolio",14521000,32116000,1862656,1267497,1838246,3179690,1618360,19546600,9519013,7344350,,,,,,,,,,9476925,11997064,32987868,6789325,33586602.02,11393388,4683571.01,10495635,52886203.75,643300,0,112486345.2305
"Products","Electronics & Communications","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","Other via Platform Portfolio",170000,55918000,17082806,50114491,2105939,-2092285,5886085,4595988,6125198,3378864,2911699,2274095,1775520,2470505,31937172,5220356,7610394.9063,3683433.0368,1276757.48,1424019.8164,3034926.5069,2823527.0403,-840104.5529,1218866.01,68609.77,702285.4005,155199.06,333381.78,2549018,1001176.6,1701780
"Products","Electronics & Communications","1230","FIRE CONTROL SYSTEMS, COMPLETE","Other via Platform Portfolio",,10710000,1405403,-456697,25160,156652,380357,,-77754,,,852000,4999762,112210815,18530553,49937,14757643,142583,8710542.875,12217887.5,67356670.5527,75452265.0762,98025947.5,70517216.5,116778826.02,106142314.9462,-11602078.8438,-889415.0312,38229915.5576,71610188.7794,73759258.595
"Products","Electronics & Communications","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","Other via Platform Portfolio",443000,99586000,93267334,25858379,49564084,12131249,35196335,10129345,7062975,12859762,6287516,14212700,61170628,32028837,92644878,45122427,26523135.6699,18898364.6122,44429768.1764,138834414.8158,85356649.3929,259664663.6626,27463775.5761,19329917.12,9421686.22,6807918.9041,17404875.2671,24924134.001,25245289.8964,37946806.4898,42053430.1945
"Products","Electronics & Communications","1250","FIRE CONTROL STABILIZING MECHANISMS","Other via Platform Portfolio",,,,,58769,,4539984,1047870,1900367,,739992,1e+05,,588642,157984,98396,6240,,,,,,,,,,,,,,
"Products","Electronics & Communications","1260","FIRE CONT DESIGNATING-INDICATING EQ","Other via Platform Portfolio",121000,290000,1029666,656802,,,255609,51384,59133458,221576,,5524608,7644826,86152,960000,,21050098,201238665,75856260,274299288.3995,427694852.5,207890051,238209569.6797,86214959.77,40477689.76,-3234044.25,137847,-2099762.0625,15162.2031,15618352,-426452.1563
"Products","Electronics & Communications","1265","FIRE CONT EQ EXCEPT AIRBORNE","Other via Platform Portfolio",1913000,3120000,,,,,,,,3505306,21344836,9448949,4258368,32140759,12108674,2298514,293027,,,-130478.8281,-63814,12474694,0,0,533303,,,-3587.4299,-24200.3809,-9475.3799,
"Products","Electronics & Communications","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","Other via Platform Portfolio",8731000,1274000,1165668,495487,-340666,-62137,,170866,354346,156680,69712,,,,3107537,2335119,2088637,17863576.0625,1488577.01,0,0,20701537.6748,46060.1406,-3342917.59,405.32,257670,866354.6797,,2535311.3047,-35693.5508,443331.0938
"Products","Electronics & Communications","1280","AIRCRAFT BOMBING FIRE CONT COMPS","Other via Platform Portfolio",,,,,,,,,,,,,315314,,,3663,,,,,,,,,,,,,,,
"Products","Electronics & Communications","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","Other via Platform Portfolio",,8290000,7949427,2315827,4321977,8456183,9522879,23444537,10580227,36125501,15100449,297000,23859098,159083,6298199,24005,380050,96000,224255,24598840,81872632,227689828,372067944.6406,443226214.27,53339846.34,73876642.6599,133486718,135518471.2803,202508489.3984,99908897.4805,53046435.506
"Products","Electronics & Communications","1287","FIRE CONTROL SONAR EQUIPMENT","Other via Platform Portfolio",-815000,815000,,981430,,,,,,,,,,,,,,,,102338.5,0,,,,,,,,,,
"Products","Electronics & Communications","1290","MISC FIRE CONT EQUIPMENT","Other via Platform Portfolio",40021000,12709228,28205869,33396911,81820045,30409093,51775764,39043116,72154544,23984952,23171327,26441517,10885068,28359700,31365779,18365134,2724233,3193755.1299,8417800.2203,28603466.341,64253600.3399,11891706.9952,24531080.5905,15076745.34,17889038.64,37842549.5783,31411269.4106,22553306.7288,41621715.7749,29384680.1729,63717603.3838
"Products","Launchers & Munitions","1305","AMMUNITION, THROUGH 30 MM","Launcher, Munition, Missile, or Space Product",27737000,280055000,227881395,175747620,116891433,134657158,115779194,127689147,149208012,153935988,333327150,352241314.3401,335589796,485736595.5801,474499113.4566,1009213683.4427,921717177.572,1096000059.0391,1366862675.1002,1212677064.3453,1266073681.8792,1221902551.6392,1016808431.0375,793259112.0133,681154634.8809,704304133.1906,645232795.4105,787753049.1712,924377434.3548,800788473.0964,874137528.748
"Products","Launchers & Munitions","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","Launcher, Munition, Missile, or Space Product",2249000,43363000,33948258,54296997,17472622,31559821,355306432,32825496,47045823,74235560,79622806,92486193,49129461,151847336.2002,235777754.1854,349850671.0955,353486007.3853,465925902.9794,480189583.4866,617557645.2785,414059153.5833,269624343.1083,296477777.4209,175327662.11,227904722.88,107449306.7424,211622986.7994,297730078.0527,339920140.8285,241812047.8359,224069047.4912
"Products","Launchers & Munitions","1315","AMMUNITION, 75 MM THROUGH 125 MM.","Launcher, Munition, Missile, or Space Product",2689000,630901000,500173550,310260175,231994208,172145820,232599424,335164803,263640300,394198012,200835923,274412747,343007976,280327660,287852585.1396,352033514.7496,305125843.647,293673759.5523,548664781.9013,345186076.7725,284104328.7481,426652183.0057,376151751.1633,228653727.9297,212804552.77,251809369.7732,235846451.4036,244362550.2358,269853844.1448,239005219.4252,353850278.7625
"Products","Launchers & Munitions","1320","AMMUNITION, OVER 125 MM","Launcher, Munition, Missile, or Space Product",2273000,178360000,190722461,123326984,18170866,39352479,99736258,26185498,43894446,108518712,86585288,99065829,45800732,80843396,90554590.845,139937528.0064,281683877.3504,107414682.536,360284583.2655,548940760.7601,398868701.5233,548380487.5033,400820065.9814,391641329.3465,206063148.42,130646567.2804,223781005.7377,320564154.6875,519654214.3571,614629302.9338,448374911.6195
"Products","Launchers & Munitions","1325","BOMBS","Launcher, Munition, Missile, or Space Product",58266000,500433000,408258542,764577915,313013675,143116749,156143932,107667047,155982543,126156700,358595691,326319472,1092182941.5625,1317489887,1216515484.1201,1076941190.7031,611231561.2646,878687568.2281,601195278.3017,439943678.4261,744201982.2851,881346025.0453,1100854591.6237,998824400.7738,679355078.2419,615305946.6906,2065227118.7201,1684985515.7993,2778092125.814,2504024281.9169,1491939697.9335
"Products","Launchers & Munitions","1330","GRENADES","Launcher, Munition, Missile, or Space Product",1017000,67160000,46178999,14267444,13047831,3384151,14453220,3939312,15565650,6880524,15766346,3644849,30351813,34445101,21651916,57792283.2245,73340553.4614,114696538.3894,150520216.9358,82118326.0978,103910982.7841,55366561.277,26188952.9028,21142850.38,38735759.66,21504292.122,29286512.6825,24202531.0651,33147804.6105,11382810.9584,14824056.673
"Products","Missiles & Space","1336","GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS","Launcher, Munition, Missile, or Space Product",13669000,49292000,15178055,105210830,25259827,51237236,59965849,577884,19911725,16189175,12170389,10145748,22283382,37784230,29216210,21178347.5,7004992,326890395.6853,828456726.3894,750424910.8726,696460798.8589,268546558.0817,227187682.6899,184583951.27,57864259.59,8791250.1081,21484271.7954,33204055.0305,3469130.1602,-588644.6591,1243275.9062
"Products","Missiles & Space","1337","GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS","Launcher, Munition, Missile, or Space Product",40600000,37619000,24650732,12022349,24622892,13291084,42660982,29363081,25535802,9840657,9850896,14867141,16852042,2737445,69823356,172752807.5,275638499,314908531.6797,282570215.4375,290205802.319,167723075.1361,1428145774.9356,481041241.3009,224345362.98,232466149.07,160901402.7498,144880644.1718,168343424.613,114591971.8828,111462765.0392,170659877.2832
"Products","Missiles & Space","1338","GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS","Launcher, Munition, Missile, or Space Product",3233000,6117000,12558639,50978104,34568567,6817579,250287796,248212971,243214668,177425030,196317320,118241106,93584496,75874262,-2451161,1728792,753135,6275523.6133,10092580.5283,-1179155.0824,88494.4809,1581666.9805,230486.51,6339.17,-1399.34,32018594.9096,26743737.55,74601062.0097,100079016.9008,227592026.5938,66422122.3281
"Products","Missiles & Space","1340","ROCKETS & ROCKET AMMUNITION","Launcher, Munition, Missile, or Space Product",274340000,76063000,93586165,71067287,1121274,152646519,101954715,81546776,176405539,240554434,284643204,226916630,287027763,344119399.3594,307966436,368141605.0896,377598791,130400022.274,82901254.7092,118283346.6817,325929822.9148,840071400.969,337539803.9104,199751124.57,162310908.53,300282768.3191,213609072.7964,654483608.4547,425252580.6968,85674027.4606,371422322.7576
"Products","Launchers & Munitions","1345","LAND MINES","Launcher, Munition, Missile, or Space Product",25000,65572000,-49790146,28270124,43178516,91817750,51026288,19890002,25025451,28743045,24782450,24052839,3312033,10471524,9706725.5,15390852.98,36622342,140352745.4102,457377253.8965,367659100.2197,185804988.0911,571079977.2511,477421359.102,21128069.37,5203749.36,852445.9502,1950913.5808,10263.75,,,
"Products","Launchers & Munitions","1346","REMOTE MUNITIONS","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,,,,75531.56,302488.59,112445,,19367774.75,69594253.9473,17120569.9,394212.62,318903.9375,66492.2598,62720.1106,329876.9781,57061.8497,207944.9218
"Products","Launchers & Munitions","1350","UNDERWATER MINE AND COMPONENTS, INERT","Launcher, Munition, Missile, or Space Product",18267000,13082000,11691303,7843761,5583077,1282795,4107160,1585744,6568278,163640,125209,32330,1579000,154322,220512,626984,1049583,280650.4516,977564.8488,283270.3117,340816.8203,644325.2002,190542.7315,785415,3144243.3,1475140.7996,44559349.2425,12646326.5,10495829.4999,2211957.3206,21467670.6248
"Products","Launchers & Munitions","1351","UNDERWATER MINE EXPLOSIVE COMPS","Launcher, Munition, Missile, or Space Product",4545000,4615000,4979419,710859,1732078,586746,1627278,3141718,14586988,15694576,15985256,1442522,3901419,68820,,484784,647539,4924090.77,1360397.7,1067290,34914.019,2242710,0,645954.03,1336559.8,2378459.75,20333.5,6508929,3289632.1719,1914103.1831,5199897.8782
"Products","Launchers & Munitions","1352","UNDERWATER MINE DISPOAL INERT DEVICES","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,,,,,9361563,4906525,1485743,,12843.5,,23015.5,,-194964.5938,10848.5195,-2518.3501,,12711.9199
"Products","Launchers & Munitions","1353","UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,,,,,,10626000,,1222,0,838793,0,0,0,,,,
"Products","Launchers & Munitions","1355","TORPEDO INERT COMPONENTS","Launcher, Munition, Missile, or Space Product",464528000,258512000,115162260,295023599,74157535,85805756,36984722,25388203,27527584,37676980,35470301,5645739,23995099,57346088,11517257,4014328,11467067.0196,37152093.2002,22671256.9063,21456102.836,29419772.4356,21478677.5139,4587901.3626,8395663.83,24086946.74,6866647.6007,68967635.858,16440761.9852,96201463.0988,70543730.4643,99955934.607
"Products","Launchers & Munitions","1356","TORPEDO EXPLOSIVE COMPONENTS","Launcher, Munition, Missile, or Space Product",1353000,235270000,25979338,5992698,4790200,962380,1087313,2607455,901068,1525664,1212340,860802,1640211,1193550,3442824,174400,6159525.4297,25249554.5001,2379219.1924,3264201.633,740130.875,3158485.1279,28525215.2213,49098798.4,32130739.16,21310625.9963,17865582.4355,18830560.81,9759016.2733,13334446.814,9337934.9824
"Products","Launchers & Munitions","1360","DEPTH CHARGE INERT COMPONENTS","Launcher, Munition, Missile, or Space Product",190000,-953000,,108183,,,,,176151,115822,,28800,,,9050,12932.2002,,,,,976697056.1898,5340760.25,19115.1992,-228315.8,-4374545.77,0,1175646.2774,-133517.6724,520.5601,,-69453.5879
"Products","Launchers & Munitions","1361","DEPTH CHARGE EXPLOSIVE COMPONENTS","Launcher, Munition, Missile, or Space Product",3e+05,,,189259,2193032,,,53184,,,,,,,8028.8,104133,3900,,135652,260731.5,-140,92520.6414,143317.1,5839,19864.14,81708,560.5,-7544.02,,,286685
"Products","Launchers & Munitions","1365","MILITARY CHEMICAL AGENTS","Launcher, Munition, Missile, or Space Product",3609000,550000,2497616,340753,,182138,631651,2014096,889374,501856,657117,246289,828598,322199,584375,418493.8104,1060563.9278,478224.3085,2256856.8953,572812.7583,3297044.722,3219762.3882,239521.608,1127761.4401,207796.6301,260637.309,1790235.2007,200378.7002,110611.3307,129189.2183,106083.7318
"Products","Launchers & Munitions","1367","TACTICAL SETS, KITS, AND OUTFITS","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,,,,1199252.8418,1642875.0747,96122026.2907,60155897.6177,162989608.3133,33545020.1299,18989215.8794,41058467.9999,38531515.8402,33150722.2437,22025768.7831,13418252.5559,15875121.7148,7352622.8771
"Products","Launchers & Munitions","1370","PYROTECHNICS","Launcher, Munition, Missile, or Space Product",6543000,59087000,64767918,39844317,31367724,48548331,71039299,89512522,61760578,63669928,70314577,60434344,100061202.7625,136595812,207067482.2747,229693536.5382,439693511.4683,335119948.7972,304582253.1592,396934537.6404,273639831.3141,198579647.5459,180476456.5269,113642228.1,101309954.8413,176183523.912,173240475.5718,179104660.1663,163360045.123,143195369.2448,276573224.0146
"Products","Launchers & Munitions","1375","DEMOLITION MATERIALS","Launcher, Munition, Missile, or Space Product",1575000,8958000,38356820,15767806,10641886,14350115,34170047,27840704,14399242,18477999,11471414,48461730,12897511,48679995,63846665.1001,48494605.01,45502968.4139,87134561.6101,74899503.337,26972074.0716,42224932.9249,127465389.2694,100985371.6622,45647281.101,32357485.0699,34183940.9287,32858151.8556,73993424.9201,57498279.3366,86957752.387,93035046.9555
"Products","Launchers & Munitions","1376","BULK EXPLOSIVES","Launcher, Munition, Missile, or Space Product",827000,127477000,35551938,10552229,-24326011,11695672,11713709,61265905,8713329,7532428,31910644,29132596,57865434,61112373.25,101280596.5502,77459299.1365,67059631.96,99983608.6733,79156139.8174,66006907.1557,115071933.8869,125860771.5538,102746842.6771,127848176.12,175158557.67,149979004.4134,248853069.8482,172309934.6374,228386319.6877,195909764.5863,178971021.7163
"Products","Launchers & Munitions","1377","CARTRIDGE & PROPELLANT DEVICES","Launcher, Munition, Missile, or Space Product",80406000,73057022,55159129,70930923,63021976,68681457,90011447,60436359,73967689,74518425,69037168,106124004,99942902,82777512,131112977.8321,87192704.5317,103530523.5068,156847849.8856,99469106.799,112438389.851,173035558.8019,109619172.6354,124400363.7544,105036527.725,111811300.9766,128133779.4871,172290151.4988,172286550.6975,168640601.5219,203030603.5459,178506075.1303
"Products","Launchers & Munitions","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL","Launcher, Munition, Missile, or Space Product",1406000,4447000,5090181,4586590,5793502,1845916,3208713,3734246,3133778,6320250,10515079,15318204,24908870,21467698,30147656,110621211.6915,214060860,316530608.0419,293138753.4789,232992914.119,254515694.2643,202237874.8729,103149594.2799,106447983.3736,59650387.08,66784457.0995,62287177.7615,31815741.3419,31159183.752,27047786.588,59083737.6037
"Products","Launchers & Munitions","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL","Launcher, Munition, Missile, or Space Product",141000,2951000,1946101,859360,130400,215667,978750,691390,2201834,3923360,4767110,57989,1292091,1137083,1367703,392635,546992,3337966.9805,2970294.8789,951440.2156,871890.2188,4056181.5639,4493011.3897,1256687.71,4484695.49,2842195.4945,3224238.4671,-114109.5173,243876.1745,6708496.9245,29549140.8085
"Products","Launchers & Munitions","1390","FUZES AND PRIMERS","Launcher, Munition, Missile, or Space Product",58497000,140543000,200616540,90765828,34428991,90177199,88136596,36089868,41654520,83863551,69072584,70613734,88015068,205019313,105101426.7806,149617062.551,111244645.2805,160412667.4809,247542532.4682,136112433.2579,185212202.7124,154620275.4292,155408542.2632,183909196.4219,148671348.8523,298647160.522,195822650.0124,305646820.9517,497576503.1712,365625879.0331,307928403.3813
"Products","Launchers & Munitions","1395","MISCELLANEOUS AMMUNITION","Launcher, Munition, Missile, or Space Product",1248000,4058000,1198611,11621968,13073862,1099847,19721951,33781621,3885043,38626384,56749401.9,304635639.24,88839367,42728421.2197,36074638.9807,154564388.9901,182294845.1796,329620414.7038,134971615.4648,362085238.608,289473072.8087,197071902.8112,21196336.0644,122016627.7199,284204739.9004,146474992.1781,335093104.2752,261110336.5816,82844356.33,168169125.4056,124602510.845
