fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,AECOM TECHNOLOGY,274204145.22,5878,110
2006,AEGIS GROUP PLC,3698891,3358,9
2006,AEPCO,17742619,3625,32
2006,AEROFLEX,59800,4,2
2006,AEROQUIP VICKERS,24014824.05,8304,1886
2006,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],282330413.52,1168,21
2006,AEROVIRONMENT,109556181,6000,91
2006,AES,46599659.2188,5743,56
2006,AFFILIATED COMPUTER SERVICES [XEROX],5598,1704,4
2006,AFOGNAK NATIVE,174372650.84960002,3612,396
2006,AGILENT TECHNOLOGIES,49687980.822,9703,1007
2006,AGILITY DEFENSE & GOVERNMENT SERVICES,1765495269.3125,5825,5432
2006,AHTNA,10554171,3297,34
2006,AIRPORT EQUIPMENT RENTALS,246613,3518,18
2006,AKAL SECURITY,101240724,4329,127
2006,ALASKA AIR GROUP,90591,2135,4
2006,ALCATEL LUCENT,49742405.889299996,13643,164
2006,ALCO STANDARD,7648,1101,2
2006,ALCOA,16089971.8125,8891,610
2006,ALEC ACQUISITIONS SUB,159782,3904,7
2006,ALFRED WILLIAMS &,28989,4,2
2006,ALIANT COMMUNICATIONS,1001754.87,3787,102
2006,ALION SCIENCE & TECHNOLOGY,96338651,5440,345
2006,ALL CITIES CONSTR & FENCE,61976373.6055,4734,931
2006,ALL POINTS LOGISTICS,650705.41,3461,34
2006,ALLEGIANCE INTERNET,0,1,1
2006,ALLEN VANGUARD,448705,3839,8
2006,ALLENS SYSTEMS GROUP,880930,1704,4
2006,Alliance Contracting,1023487921,2872,656
2006,ALLIANCE DATACOM,8788,2137,5
2006,ALLIED AEROSPACE INDUS,3585810,2,1
2006,ALLIED TECHNOLOGY GROUP,1866130,3256,127
2006,ALLIED WASTE SYSTEMS,820715,7759,49
2006,ALLTEL,861661.6694,6852,82
2006,ALON USA,60881384,2,2
2006,ALSTOM HOLDINGS USA,353658,282,12
2006,ALTIRIS,226737,3238,7
2006,"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]",27746914.3896,7793,231
2006,ALUMINUM SPECIALTIES,15400,6,3
2006,AM CASTLE,13385,649,15
2006,AM GENERAL,2133768152.1704001,6624,1545
2006,AMEC HOLDING,154497006,2798,180
2006,AMERESCO,-9353706.2187,3298,34
2006,AMERICAN APPAREL,69082066,5629,101
2006,AMERICAN BUREAU OF SHIPPING,35e3,2,1
2006,AMERICAN CHEMICAL SOCIETY,356362.4004,9137,22
2006,AMERICAN ECOLOGY,14747977,2444,49
2006,AMERICAN HOSPITAL SERVICE GROUP,40260126.3866,8943,507
2006,AMERICAN INSTITUTE FOR RESEARCH,5230257,1642,16
2006,AMERICAN INSTITUTE IN TAIWAN,2411673,2135,4
2006,AMERICAN INTERNATIONAL CONTRACTORS,5858307,3161,8
2006,AMERICAN IRAQI LIFE SUPPORT SOLUTIONS,114308,1101,2
2006,AMERICAN MEDICA,1730267,2976,18
2006,AMERICAN MFG,19270,1101,2
2006,AMERICAN ORDINANCE LLC A JOINT,66830482,1784,156
2006,AMERICAN PRESIDENT LINES,84280139,3,16
2006,American Red Cross,-617374.6875,5606,12
2006,American Science & Engineering,96842296,12409,74
2006,AMERICAN STANDARD,11343440.094,13366,188
2006,AMERICAN SYSTEMS,19988396.3594,7987,90
2006,AMERICAN TOWER,13627692.8919,2093,40
2006,AMERICAN WEST HOLDINGS,190392,2135,4
2006,AMERICORP,9558004,2087,44
2006,AMERIDATA TECHNOLOGIES,63243310.268599994,15334,832
2006,AMERIQUAL GROUP,72404349,429,147
2006,AMERISOURCEBERGEN,1344761612.08,2879,65547
2006,AMERITECH,201630,541,14
2006,AMETEK,26245002.9238,6728,525
2006,AMF MECHANICAL,563498,2743,6
2006,AMR,1895827,1433,25
2006,AMS,258453,4,2
2006,AMSTAR,133363,2747,8
2006,AMTEC,153931865,4771,133
2006,ANACOMP,241148,1849,17
2006,ANALEX,40083063.0977,4365,40
2006,ANALOGIC,11310,4,2
2006,ANAMI COMMUNICATIONS,550410,3002,72
2006,ANAREN,16595,6742,13
2006,ANCORE [OSI],1305216,1101,2
2006,ANDERSON TULLY,9932325,741,19
2006,ANDREW,192566,4126,20
2006,ANHAM,865607,2135,5
2006,ANHAM JOINT VENTURE,-526042,2743,6
2006,ANIXTER,5971380.751300001,13953,339
2006,ANTEON [GENERAL DYNAMICS],16552993.1069,1451,139
2006,ANVICOM,21182761.1094,3084,40
2006,AP Moller MAERSK,543551982,1809,154
2006,APAC FLORIDA,229620,741,16
2006,APEX,25574,4074,9
2006,API TECHNOLOGIES,19059606.25,7909,105
2006,APOGEE ENTERPRISES,432722,6209,13
2006,APPLANIXCORP,491878,4675,10
2006,APPLE COMPUTER,1180582.1904,6648,51
2006,Applera,18143734,6883,118
2006,APPLIED INDUSTRIAL TECHNOLOGIES,1903180.23,10349,186
2006,Applied Marine Technology [SAIC],48490723,10973,101
2006,APPLIED MICROSYSTEMS,40782,2745,7
2006,APPLIED RESEARCH ASSOCIATES,105734209.15,11378,344
2006,APPLIED SIGNAL TECHNOLOGY,799939,2357,21
2006,APPROVED TRANSPORTATION & WARE,98275,2135,5
2006,APPTIS,171624362.7256,12589,1109
2006,AQUA PRO,3729409.0102,5009,112
2006,AQUASIS SERVIC,2580997,4074,9
2006,ARAMARK,1422253.3598,11552,127
2006,ARCADIS,47555081.0098,2798,67
2006,ARCH COMMUNICATIONS,5296,4676,10
2006,ARCH WIRELESS,741864.9005,5479,74
2006,ARCHITECTURE TECHNOLOGY,2221238,145,13
2006,ARCTIC SLOPE REGIONAL,153192161,4677,14
2006,ARETE ASSOCIATES,18886916,4679,65
2006,ARINC [Carlyle Group],485604556.8809,10314,1054
2006,"ARLINGTON CAPITAL PARTNERS [TSI GROUP, INC ]",4006206,3238,7
2006,ARMATEC SURVIVABILITY,45701704,3161,8
2006,ARMOR HOLDINGS [BAE],1462557114.6289,8275,2871
2006,ARROW ELECTRIC,0,1,1
2006,ARTAIS,-4720,2,1
2006,ARTEL,303253311.5938,5184,250
2006,ARTHUR ANDERSON,2550,1101,2
2006,ARTIC SLOPE REGIONAL,62114347.015599996,6801,314
2006,ASARCO,1064296,1702,3
2006,ASCOM HOLDING,527188,12359,77
2006,ASHBRITT,457507583,1417,247
2006,ASHLAND OIL,51873,2472,5
2006,ASI,42704769.392000005,2957,189
2006,ASK ASSOICAT,1159994.7402,3573,9
2006,ASL Aviation Group,187255758,2135,5
2006,ASL CONSULTING ENGINEERS,-45138,2472,5
2006,ASM RESEARCH,32201870.6406,5854,98
2006,ASSOCIATION OF AM RAILROADS,3900,2,1
2006,ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,15e3,2,1
2006,ASSURANCE TECHNOLOGY TRUST,23949863,4878,88
2006,ASTARIS,17230,1101,2
2006,ASTRONAUTICS OF AMERICA,6003032,6179,73
2006,ASTRONICS,6888344.8125,8223,545
2006,AT&T,306600084.4806,20292,5695
2006,ATK,1243997984.8438,12648,713
2006,ATLANTIC COAST,1451460,2472,5
2006,ATLANTIC DIVING SUPPLY,159946973.4832,6235,2104
2006,ATLANTIC MANAGEMENT CENTER,472264,2973,7
2006,ATLANTIC MARINE HOLDING,660053,2743,6
2006,ATLANTIS,212287,3425,48
2006,ATLAS COPCO NORTH AMERICA,616524.4702,2902,57
2006,ATMOS ENERGY,8419557.6875,1104,12
2006,AURORA FLIGHT SCIENCES,10751467,4507,9
2006,AUSTAL,16499917,3358,9
2006,AUTODESK,17750,1103,3
2006,AUTOMATIC COATING,72532,1702,4
2006,AVALON SYSTEMS PTY,115063,3015,72
2006,AVAYA,28632322.4795,11130,235
2006,AVERSTAR,-162339,541,14
2006,AVIALL,472327,7750,35
2006,AVID TECHNOLOGY,5406236.3496,12946,137
2006,Avis Budget Group,31320,1101,2
2006,AVISTA,-29828,414,14
2006,AVNET,5784897.2,7130,363
2006,AVOCENT HUNTSVILLE,3057545.4395,5266,60
2006,AVTRON MANUFACTURING,2450973,7387,47
2006,AWK CONSULTING,0,2,1
2006,AZIMA HOLDINGS,646400,2324,45
2006,B & H PHOTO VIDEO,9033587.8962,14027,597
2006,B & K RENTALS AN,44050,1702,3
2006,B BRAUN OF AME,462860,6242,26
2006,BAE SYSTEMS,5584348367.9455,21396,7453
2006,BAHRAIN PETROLEUM COMPANY,477535380,1750,19
2006,BAKER COMMODITIES,58604,3,2
2006,BALFOUR BEATTY,2831497.5698,2785,25
2006,BALL AEROSPACE & TECHNOLOGIES,92115087,4550,212
2006,BALLANTYNE OF OMAHA,6270,2,1
2006,BALLARD ASSO,98847,2472,5
2006,BAPTIST HEALTH CARE,380627,2472,5
2006,BARBER COLMAN,107077,2474,6
2006,BART & ASSOCIATES,1429452,1105,4
2006,BASIC COMMERCE & INDUSTRIES,15293659.8062,2387,47
2006,BASIC MARINE,10889945,3163,9
2006,BATAVIA,12012,1101,2
2006,BATTELLE,544575592.875,10432,1632
2006,BAX GLOBAL,89068264,1745,32
2006,BAXTER INTERNATIONAL,1474170,3553,68
2006,BAY STATE GAS,192062,3,10
2006,BAYER,14396505,7660,119
2006,BBA AVIATION PLC,6545031.3984,3766,229
2006,BBDO WORLDWIDE,30970,2474,6
2006,BC Partners,1600842,4938,9
2006,BCP INTERNATIONAL,22120274,3964,71
2006,BEACON AUTO PARTS,629072,6734,15
2006,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES],218443789.2491,20908,458
2006,BECHTEL,1274905520.3125,4909,232
2006,BECK COMPANY,31200,3161,8
2006,"BEHRMAN CAPITAL [PELICAN PRODUCTS, INC ]",10188970.6195,8344,314
2006,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],1110561999,130,111
2006,BELL CONSTRUCTORS,509386,2472,5
2006,BELL COUNTY WA,5019658,2973,7
2006,BELL HOWELL,7110,1101,2
2006,BELLSOUTH,13607972.8321,9284,221
2006,BERGER GROUP,7676844.7207,4201,59
2006,BERING STRAIT,5931076.1797,3156,76
2006,BERKSHIRE HATHAWAY,132660501,7711,189
2006,BERWIND,13420,2,1
2006,BETAC INTERNATIONALORATIO,-982,2,1
2006,BETHEL NATIVE,418119,1101,2
2006,BFM AEROSPACE,4093099,3723,190
2006,BINSWANGER GLASS COMPANY,4394,2,1
2006,BITWISE DESIGNS,3173471,11508,83
2006,BL HARBERT INTERNATIONAL,123202073,4413,90
2006,BLACK & DECKER,104861,2747,8
2006,BLACK & VEATCH HOLDING,11168134.3301,4603,113
2006,BLACK BOX,16268750.53,11464,265
2006,BLACK EEL,23097837,2973,7
2006,BLACKWATER WORLDWIDE,30431480.490199998,8541,161
2006,BLUE RIDGE NETWORKS,147334,4,2
2006,BLUE TEE,24046,4,3
2006,BMC SOFTWARE,9259939.5205,8549,199
2006,BMT GROUP,5270188.6719,2976,18
2006,BOB CROWE,6354272.4062,12230,277
2006,BOEING,20251086695.809002,29082,10839
2006,BONNEVILLE INTERNATIONAL,42450,3404,6
2006,BOOZ ALLEN HAMILTON,1299998075.3711,20150,2997
2006,BP GLOBAL,946327155,2824,74
2006,BRANCH GROUP1049 PG BLVD,70203,4938,9
2006,BRIGHTON MARINE HEALTH CENTER,96004971,3163,9
2006,BRISTOL BAY NATIVE,38898463.9144,5789,330
2006,BRITISH TELECOMMUNICATIONS,8145380.1543000005,3195,56
2006,BRIX,200,1101,4
2006,BROADMOOR,-1461805,141,11
2006,BROADSMART,26115,2135,5
2006,BROOKHAVEN SCIENCE  [BATTELLE/RESEARCH FOUNDATION OF SUNY],4e3,2,1
2006,BROOKS RANGE CONTRACT SERVICES,2498736,4,2
2006,BROWNING FERRIS,14206,3,10
2006,BRTRC,18600704.83,8975,69
2006,BRUTON STREET,69538772.9609,8967,92
2006,BURLINGTON ENV,2347255,4482,484
2006,BURLINGTON INDUSTRIES,12164910,3577,9
2006,BURNS & MCDONNELL,59553806.1386,7573,166
2006,BUSINESS PLUS,9297778,3192,41
2006,BUTLER MANUFACTURING,2114008,3215,18
2006,BW/IP INTERNATIONAL,80691,1702,3
2006,C & D,1559457.4844,649,15
2006,C & D TECHNOLOGIES,384812,2202,6
2006,C3I SYSTEMS GROUP,5549229,5971,35
2006,CACI,890614189.8732,29767,2417
2006,CADDELL CONSTRUCTION CO,96328298,5375,47
2006,CAE,89115666.2598,7088,86
2006,CAJUN INDUSTRIES,35065469,2248,44
2006,CALCASIEU REFINING,251056696,1101,3
2006,CALIAN,862765,2973,7
2006,CALIBRE SYSTEMS,59993175,2841,222
2006,CALIFORNIA INSTITUTE OF TECHNOLOGY,6686433,2355,20
2006,CALISTA,16005642,850,19
2006,"CAMBER COPORATION/DYNETICS, INC. (JV)",77415688.8203,1931,349
2006,CAMBRIDGE INFORMATION GROUP,413629,5979,13
2006,CAMECA USA,151599,3238,7
2006,CAMP DRESSER & MCKEE,13424785,7413,107
2006,CANADIAN COMMERCIAL CORPORATION,551786773.5006,8951,1516
2006,CANON,40008152.6872,18564,1623
2006,CAPE ENVIRONME,77412501,8988,158
2006,CapRock Communications,96096402.8291,7865,142
2006,CAPTARIS,331125,3579,10
2006,CARAHSOFT TECHNOLOGY,12517285.1974,19974,177
2006,CARDINAL HEALTH,647098130.7998,4977,37717
2006,CARGILL,51966506,3371,34
2006,CARGOTEC,56220960,3448,212
2006,CARLISLE,6369727,2477,22
2006,CARLYLE GROUP,8799978.4188,7823,80
2006,CARMEL MARINA,872014.9688,1101,5
2006,CARNEGIE MELLON UNIVERSITY,72629006,6747,53
2006,CARNIVAL,6439e3,1702,3
2006,CAROTHERS CONSTRUCTION,75829845.20120001,6333,63
2006,CARRIER,608097,7152,45
2006,CARSON ALEXIOU,11275225,4870,23
2006,CASALS & ASSOCIATES,186393,2,1
2006,CASELLA WASTE MANAGEMENT,52949,541,14
2006,CASEPRO,1304679,4878,11
2006,CATAPULT TECHNOLOGY,2916818,3163,9
2006,CATERPILLAR,158567135.6784,5621,1312
2006,CATERPILLAR MITSUBISHI JV,1091795,3257,20
2006,CB & I,180080,2743,6
2006,CB RICHARD ELLIS,2e4,1101,2
2006,CCI,32606158,2339,120
2006,CDI MARINE,34638237.4707,2536,361
2006,CDM FEDERAL PROGRAMS,200437,2,1
2006,CDW,143252595.2991,30883,3217
2006,CELLULIFE,56218,6,3
2006,CELTEL,12e3,2135,4
2006,CENTECH GROUP,100968134.2109,7281,321
2006,CENTENNIAL CONTRACTORS ENT,50744136.895100005,5132,383
2006,CENTER FOR ENTR,18240,2,1
2006,CENTEX CONSTRUCTION,781519,2472,5
2006,CENTRA TECHNOLOGY,1288533,7241,13
2006,CENTRAL HUDSON,345642,3358,9
2006,CENTRAL PARKING,22219,4674,9
2006,CENTRAL TEXAS,32695956,6341,684
2006,CENTURION GROUP,1123216.379,3651,24
2006,CENTURYTEL,784776,7299,57
2006,CERADYNE,436231154,4281,53
2006,CERES ENVIRONMENTAL,454718958.4375,3033,76
2006,CERIDIAN,34208702,4174,8
2006,CES,705,1101,2
2006,CESPA,7372383,1101,4
2006,CETROM,92286.625,3161,8
2006,CF BEAN,51347812,1703,30
2006,CFM INTERNATIONAL,35221449,3189,188
2006,CGI GROUP,8955394.3594,7096,28
2006,CH2M HILL,461594821.128,5589,1057
2006,CHANNEL TECHNOLOGIES,3986183,2796,69
2006,CHARLENE OWENSBY,19414,2,1
2006,CHARLES BESELER,261557,2803,5
2006,CHARLES E SMITH MANAGEMENT,-271,2,1
2006,CHARLES RIVER LABORATORIES,3008443,4941,28
2006,CHARLES STARK DRAPER LABORATORY,275506775,11176,96
2006,CHARLES T BRYANT & ASSOCIATES,-2237,1101,2
2006,CHAS KURZ &,30980206,2017,37
2006,CHELTON AVIONICS,2155562.5598,8716,36
2006,CHEMRING GROUP PLC,204532791.12,6020,148
2006,CHENEGA,262075229.7843,9122,881
2006,CHENEGA BLACKWATER SOLUTIONS,534e4,1101,5
2006,CHEROKEE NATION BUSINESSES,2634883,1106,23
2006,CHEVRON,163960646.75,5466,69
2006,CHILDREN'S NATIONAL MEDICAL CT,-76380,2,1
2006,CHIRON,3372810,141,12
2006,CHOCTAW MANAGEMENT,66383790.7599,5850,547
2006,CHOICEPOINT,452340,4942,11
2006,CHRISTUS HEALTH,132433573,4944,10
2006,CHUCK FUNKE,1816110.875,1104,12
2006,CHUGACH ALASKA,624551014.3774,8755,2273
2006,CILCORP,-811,2,1
2006,CINCINNATI BELL,63370,6567,15
2006,"CIRCOR INTERNATIONAL, INC [AEROSPACE]",141965.34960000002,5363,12
2006,CISCO SYSTEMS,163178,741,16
2006,CITIZENS COMMUNICATIONS,17995.9609,1702,3
2006,CITRIX SYSTEMS,2711783.6924,10349,107
2006,CLARCOR,500304,5446,36
2006,CLARK CONSTRUCTION,116514957,2526,58
2006,Classified Domestic Contractor,521263020.5904,5808,2597
2006,CLEAN HARBORS,4085246.3203,7985,987
2006,CLEAN METRO,875130,282,12
2006,CLEAN VENTURE,53606,1702,5
2006,CLEARBROOK,210474,1702,3
2006,CLIENT NETWORK SERVICES,656468,3844,8
2006,CLIENT SOLUTION ARCHITECTS,2843013,1106,13
2006,CMC Electronics,1115686,7478,50
2006,CNA,84990335.8502,2099,393
2006,COBB'S AUTOMOTIVE,-6406,1101,2
2006,COBHAM PLC,24463582,8043,244
2006,COLLAZO ENTERPRISES,59400767,8069,154
2006,COLONNA SHIPYARD,11711846,2269,36
2006,COLT DEFENSE,95826986,3288,64
2006,COLT INDUSTRIES,8487438.6006,10595,78
2006,COLTEC INDUSTRIES,1097328,3574,52
2006,COMBAT SUPPORT ASSOCIATES,356999708,741,16
2006,COMCAST CABLE COMMUNICATIONS,2104122.6832999997,12765,179
2006,COMCEL S.A.,184366,2776,63
2006,COMFORT SYSTEMS,-650,2,1
2006,CommScope,99898,4445,12
2006,COMPASS GROUP,6701,2135,4
2006,COMPUNETICS I,452196,2745,7
2006,COMPUTER ASSOCIATES,30763261.1953,14886,134
2006,COMPUTER EQUITY,382648,6309,12
2006,COMPUTER OF AMERICA,4350773,2805,6
2006,COMPUTER SCIENCES,2530381727.4191,29415,3963
2006,COMPUTER TECHNOLOGY SERVICES,-452534,2,1
2006,COMPUTER TEMPORARIES,2844819.0603,13402,72
2006,COMPUWARE,2752087.3984,13344,30
2006,COMTECH,163830692,2090,204
2006,COMTEQ FEDERAL,5855218.7702,23059,374
2006,CON-WAY,0,1,1
2006,CONCORD PERSONNEL SERVICES,250556,7147,15
2006,CONCURRENT COMPUTER,670043.1399,8606,20
2006,CONCURRENT TECHNOLOGIES CORPORATION,154236560.5,10739,324
2006,CONFEDERATED SALISH & KOOTENAI,37662865,7260,84
2006,CONOCOPHILIPPS,180690596,412,15
2006,CONSOLIDATED RIGGING & MARINE,57422,3161,8
2006,CONSTELLATION ENERGY,2905277,2,2
2006,CONSTRUCTION COST SERVICES,173394,5716,14
2006,CONSTRUCTION PARTNERS,7815198,1016,19
2006,CONTINENTAL SHELF ASSOCIATES,91e4,1702,3
2006,CONTINENTAL WASTE,10116,2,1
2006,CONTRACK INTERNATIONAL,51775857,229,117
2006,CONTRACT MANAGEMENT,2004260,3915,26
2006,CORNELL COMPANIES [GEO GROUP],0,1,1
2006,CORNING,235856.0503,8,26
2006,CORPORATE EXPRESS,3147356,4175,36
2006,CORRPRO COMPANIES,7527632,5695,81
2006,Cort Business Services,106559.13029999999,6814,16
2006,CORT FURNITURE,-20990,2,1
2006,COX COMMUNICATIONS,5042709.3236,5053,169
2006,CPI HOLDING COMPANY,17912821.25,8274,149
2006,CR ASSOCIATES,32485463.8125,2673,71
2006,CRANE COMPANY,9252523,1971,144
2006,CREATIVE ASSOCIATES INTERNATIONAL,103381,2,1
2006,CREATIVE INFORMATION TECHNOLOGY,2501,2,14
2006,CREDENCE,242782,2,1
2006,CREE,168924,2,1
2006,CRITICAL SOLUTIONS INTERNATIONAL,34072657,3161,8
2006,CROWLEY MARITIME,12506609,4293,33
2006,"CSP, INC [MODCOMP]",5337,2,1
2006,CSX,800,1101,2
2006,CTA,3363627.5771,2887,66
2006,CUBIC,318406095.0217,4708,475
2006,CURRAN RAIL MANAGEMENT,7443,2,1
2006,CURTISS WRIGHT,32185719.0444,7264,161
2006,CUTLER INDUSTR,39133,1103,3
2006,CUTTING EDGE OPTRONICS,82483.75,1101,2
2006,CW GROUP,2082271,6613,38
2006,D & B,10766,2,1
2006,DAIMLER,139391080.4388,13068,248
2006,DALE CARNEGIE TRAINING,30372,1101,2
2006,DAMES & MOORE,-103045,651,16
2006,DANAHER,2196081.25,8929,182
2006,DANKA HOLDING COMPANY,2146380.3907,11596,124
2006,DASSAULT SYSTÃˆMES,493732,5495,14
2006,DATA GENERAL,-10364,1101,2
2006,DATALINE,15951455,4622,157
2006,DATASCOPE,290234.5,2477,16
2006,DAVIS BACON,2594123,3844,19
2006,DAY & ZIMMERMANN,99026712.6609,2541,464
2006,DAYTON POWER & LIGHT,12980298,4445,9
2006,DBA PESTMASTER SERVICES,135815,1101,2
2006,DDL OMNI ENGINEERING,18226183,866,161
2006,DECISIONS SYS,0,2,1
2006,DEFENSE SUPPORT SERVICES,59732373.1185,7584,381
2006,DEL JEN,404087.5938,2,1
2006,DEL MONTE FOODS,68895380,606,17
2006,DELL,643340928.8119,27538,9676
2006,DELMAR SYSTEMS,-1e5,2,1
2006,DELOITTE,64244936,8472,119
2006,DEPARTMENT OF ENERGY,885519649,5108,11
2006,DEPARTMENT OF ONCOLOGY,1776523,3163,9
2006,DEUTSCHE TELEKOM AG,15775891.4063,7911,16
2006,DEVELOPMENT EC,25636,2,1
2006,DEWBERRY,4609971,2488,52
2006,DHL,1263089,7839,72
2006,DICK ENTERPRISES,98769085,2932,179
2006,"DIEHL STIFTUNG & CO KG, THALES SA",273052,2443,19
2006,DIGICON,9663082,7743,57
2006,DigitalGlobe,49130950,4126,247
2006,DILLINGHAM CONSTRUCTION,4299530,141,11
2006,DIMCO,2267775,2211,45
2006,DIVERSIFIED DISTRIBUTORS INTL,404226,1988,15
2006,DLT SOLUTIONS,74982523.0741,20046,740
2006,DMD,2e4,1702,3
2006,DMS,-212052,1235,22
2006,DOCUPAK,103807156,4,102
2006,DODSON STILSON,982020,141,11
2006,DOGOG FARM,338526947,2525,53
2006,DONALD L MOONEY ENTERPRISES,488348,3837,7
2006,DONALDSON COMPANY,271199,1492,27
2006,DOORWAYS,863,2135,4
2006,DOVER,63215,3161,8
2006,DOVER ELEVATOR,130257,3844,13
2006,DRS,961578012.5879999,11261,960
2006,DSCI,3228010,848,18
2006,DTM,16969526.25,5694,41
2006,DUCOMMUN,3394901,4940,10
2006,DUKE ENERGY,-2086,2,1
2006,DUKE UNIVERSITY,8435646.25,1797,29
2006,DUKES,200656,2137,5
2006,DUN & BRADSTREET,3237618,7641,67
2006,DYNAMAC INTERNATIONAL,1260955.3799,2536,32
2006,DYNAMIC STRUCTURES & MATERIA,210366,1704,4
2006,DYNAMIC SYSTEMS,17144427.1285,13469,244
2006,DYNAMICS RESEARCH,131103128.1001,12538,465
2006,DYNAMICS TECHNOLOGY OF DE,7053807,3372,27
2006,DYNATECH,5418976.044,7999,111
2006,DYNCORP INTERNATIONAL,751869503.0859,14067,1093
2006,DYNETICS,82412982,6940,372
2006,DZSP 21,55275445,649,15
2006,E & D SERVICES,144481.0062,6282,29
2006,EADS NV,59421484.1191,4882,47
2006,EAGLE CONSTRUCTION & ENVIRONME,1469119.1499,4915,24
2006,EAGLE GROUP,126344213.8706,894,172
2006,EAGLE INDUSTRIES UNLIMITED,2955922,4387,23
2006,EAI INTERNATIONAL,0,2135,4
2006,EARL INDUSTRIES,153932267.6085,3657,534
2006,EARTH TECH,90993672,3558,318
2006,EASTERN RESEARCH GROUP,205356.5199,1237,23
2006,EASTERN SHIPBUILDING GROUP,54847,4,2
2006,EASTMAN KODAK,6308288,4319,52
2006,EATONORAT,23354603.0913,9056,564
2006,EBREX FOOD SERVICES SARL,18329133,65,1050
2006,EBSCO INDUSTRIES,6121779,7806,87
2006,EC AMERICA,18364010.3048,14204,249
2006,ECOLOGY & ENVIRONMENT,14055816,4402,91
2006,EDAC TECHNOLOGIES,1259304.5,3240,8
2006,EDAW,9489034,4773,66
2006,EDO ACQUISITION II,11299087.3519,5749,71
2006,EDUCATION DEVELOPMENT CENTER,839948,2474,6
2006,EDUCATIONAL TESTING SERVICE,3311137,2472,5
2006,EDWARDS & KELCEY,189114,1702,4
2006,EG & G [URS],2616717,3192,31
2006,EI KANE,345897,2204,5
2006,ELBIT SYSTEMS,195106945.6699,8166,117
2006,ELECTRO SWITCH,77856,4677,11
2006,ELECTRONIC CABLE SPECIALISTS,10467,1103,3
2006,ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD],1980192193.0307999,11968,6819
2006,ELECTROPHYSICS,3644575,4729,23
2006,ELLING HALVORSON,385e3,2135,4
2006,ELMA ELECTRONIC,576503,1653,29
2006,ELMHURST REASEARCH,11851351,8688,36
2006,ELMHURST RESEARCH,1709740.2188,2324,45
2006,EMASS,54458,1704,4
2006,EMC,40364267.375,15787,224
2006,EMCON,6331,1702,3
2006,EMCOR COMPANY,77140336.2383,3834,102
2006,EMERGENT BIOSOLUTIONS,54506375,2743,6
2006,EMERSON CONSTRUCTION,7659308,2385,47
2006,EMR,242252,6103,16
2006,EMS TECHNOLOGIES,4473039,8459,19
2006,ENCOMPASS SERVICES,130606,1103,3
2006,ENDEVCOOR,-44092,1101,2
2006,ENERGY CONVERSION DEVICES,3392354,1101,2
2006,ENERTEK INTERNATIONAL,5472900.4375,4011,26
2006,ENFIELD ENTERPRISES,6994482.0498,1826,41
2006,ENGINEERED SUPPORT SYSTEMS,16217611.4219,9280,61
