Year,Global.Vendor.Name,Number.of.Actions,Dollars.Obligated,ParentID_M,ObligatedAmount,NumberOfActions,FreqCount,Rank,Diff_Amount,Diff_Action,Diff_Freq
2016,VERIZON COMMUNICATIONS INC.,17032,425674089.69,VERIZON,416857047.33889997,159473,7539,66,8817042.351100028,-142441,9493
2016,CSC GOVERNMENT SOLUTIONS LLC,654,416335965.05,NA,NA,NA,NA,NA,NA,NA,NA
2016,CHUGACH ALASKA CORPORATION,1463,405068216.21,CHUGACH ALASKA,NA,NA,NA,NA,NA,NA,NA
2016,JOHNS HOPKINS HEALTH SYS CORP,13,3959e5,NA,NA,NA,NA,NA,NA,NA,NA
2016,HEWLETT PACKARD ENTERPRISE COMPANY,5822,379100091.54,NA,NA,NA,NA,NA,NA,NA,NA
2016,VIASAT  INC.,491,376835818.73,VIASAT,376835816.3181,914,487,67,2.411900043487549,-423,4
2016,PARSONS CORPORATION,669,375465303.67,PARSONS,327145908.8636,919,479,76,48319394.8064,-250,190
2016,THE CHARLES STARK DRAPER LABORATORY INC,284,362647915.06,CHARLES STARK DRAPER LABORATORY,359661414.797,543,280,68,2986500.2630000114,-259,4
2016,BP PRODUCTS NORTH AMERICA INC,199,361041359.63,NA,NA,NA,NA,NA,NA,NA,NA
2016,METLIFE  INC.,62,355231339.59,METLIFE,355231338.8555,124,62,69,0.734499990940094,-62,0
2016,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),1643,348889637.34,BAHRAIN PETROLEUM COMPANY,427136118.8761,5279,2642,64,-78246481.53610003,-3636,-999
2016,"MICHAEL BAKER INTERNATIONAL, LLC",70,348338911.71,MICHAEL BAKER,NA,NA,NA,NA,NA,NA,NA
2016,SERCO GROUP PLC,1003,346712005.02,SERCO GROUP PLC,345127759.5057,1946,999,71,1584245.5142999887,-943,4
2016,CUBIC CORPORATION,777,344081206.28,CUBIC,354722644.2129,1525,810,70,-10641437.932900012,-748,-33
2016,MARTIN'S POINT HEALTH CARE  INC.,15,329475516.84,MARTIN'S POINT HEALTH CARE,329475516.8125,30,15,75,0.0274999737739563,-15,0
2016,MARITIME HELICOPTER SUPPORT COMPANY LLC,22,309184149.75,MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],309184142.75,33,21,82,7,-11,1
2016,DELOITTE LLP,385,308038147.5,DELOITTE,306733579.9068,1647,376,83,1304567.593200028,-1262,9
2016,TORCH TECHNOLOGIES  INC.,600,300963635.03,TORCH TECHNOLOGIES,299237397.6072,2433,587,84,1726237.4227999449,-1833,13
2016,INTERNATIONAL BUSINESS MACHINES CORPORATION,385,297087644.86,IBM,314074917.9176,815,422,80,-16987273.05759996,-430,-37
2016,CISCO SYSTEMS  INC.,57,290923747.64,CISCO SYSTEMS,290923747.0258,112,57,86,0.6141999959945679,-55,0
2016,REDSTONE DEFENSE SYSTEMS,554,290605504.35,REDSTONE DEFENSE SYSTEMS,290413195.8641,1103,553,87,192308.48590004444,-549,1
2016,GEORGIA TECH RESEARCH CORPORATION,689,286807506.94,NA,NA,NA,NA,NA,NA,NA,NA
2016,AT&T INC.,7848,282701717.22,AT&T,263454009.1806,33710,6855,96,19247708.03940004,-25862,993
2016,GREAT LAKES DREDGE & DOCK CORPORATION,134,278063373.04,GREAT LAKES DREDGE DOCK,277313375.2758,261,133,89,749997.7642000318,-127,1
2016,CARAHSOFT TECHNOLOGY CORPORATION,1884,277765078.47,CARAHSOFT TECHNOLOGY,277039824.6423,15526,1805,90,725253.8277000189,-13642,79
2016,KRATOS DEFENSE & SECURITY SOLUTIONS  INC.,542,275580760.09,KRATOS DEFENSE & SECURITY,NA,NA,NA,NA,NA,NA,NA
2016,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,363,272288917.07,INTUITIVE,271936844.7114,712,359,91,352072.3586000204,-349,4
2016,SUPPLYCORE INC.,74351,270684108.45,SUPPLYCORE,269180560.0392,147734,73883,93,1503548.4107999802,-73383,468
2016,GOVERNMENT OF ABU DHABI,94,270209468.86,NA,NA,NA,NA,NA,NA,NA,NA
2016,BATTELLE MEMORIAL INSTITUTE INC,1126,267446995.36,BATTELLE,248458552.976,2142,1102,102,18988442.384000003,-1016,24
2016,SODEXO,132,264832955.23,SODEXO,262288874.5836,150,77,97,2544080.646399975,-18,55
2016,SHAW INFRASTRUCTURE  INC.,525,258821552.22,NA,NA,NA,NA,NA,NA,NA,NA
2016,ARCTIC SLOPE REGIONAL CORPORATION,1120,258404975.51,ARCTIC SLOPE REGIONAL,NA,NA,NA,NA,NA,NA,NA
2016,DATA LINK SOLUTIONS L.L.C.,361,258324905.99,NA,NA,NA,NA,NA,NA,NA,NA
2016,MICROSOFT CORPORATION,345,257269820.55,MICROSOFT,256619735.1918,675,341,100,650085.3582000136,-330,4
2016,CH2M HILL COMPANIES  LTD.,788,252032217.61,CH2M HILL,265647354.267,1586,831,95,-13615136.656999975,-798,-43
2015,LOCKHEED MARTIN CORPORATION,66353,29405035099.95,LOCKHEED MARTIN,29242540808.02,441199,36802,1,162494291.9300003,-374846,29551
2015,THE BOEING COMPANY,12645,14617281593.03,BOEING,14359418541.24,324971,11555,2,257863051.79000092,-312326,1090
2015,RAYTHEON COMPANY,10008,12369896493.05,RAYTHEON,11985397974.64,347169,9727,3,384498518.40999985,-337161,281
2015,GENERAL DYNAMICS CORPORATION,20822,11806173874.13,GENERAL DYNAMICS,11250404601.15,572253,13584,4,555769272.9799995,-551431,7238
2015,NORTHROP GRUMMAN CORPORATION,10397,9513579686.04,NORTHROP GRUMMAN,9622144749.64,359998,11843,5,-108565063.59999847,-349601,-1446
2015,UNITED TECHNOLOGIES CORPORATION,24626,6699330240.58,UNITED TECH,6651962217.26,161985,15156,6,47368023.319999695,-137359,9470
2015,L-3 COMMUNICATIONS HOLDINGS  INC.,7622,5040999557.56,L3 COMMUNICATIONS,5169282498.5,305073,7180,7,-128282940.93999958,-297451,442
2015,BAE SYSTEMS PLC,10133,4294755447.9,BAE SYSTEMS PLC [SURVEILLANCE & ATTACK BUSINESS],NA,NA,NA,NA,NA,NA,NA
2015,HUMANA INC.,206,3553902730.76,HUMANA,3552750066.17,383,192,9,1152664.5900001526,-177,14
2015,HUNTINGTON INGALLS INDUSTRIES  INC.,2729,3079363549.22,HUNTINGTON INGALLS INCORPORATED,2798555697.5,8312,1720,11,280807851.7199998,-5583,1009
2015,BECHTEL GROUP  INC.,155,2916483132.67,BECHTEL,2977434289.25,2705,133,10,-60951156.57999992,-2550,22
2015,HEALTH NET  INC.,120,2764954879.23,HEALTH NET,2764954879.23,239,120,12,0,-119,0
2015,UNITEDHEALTH GROUP INCORPORATED,207,2632864042.66,UnitedHealth Group,2505344546.86,248,124,14,127519495.79999971,-41,83
2015,GENERAL ATOMIC TECHNOLOGIES CORPORATION,730,2302782829.99,GENERAL ATOMICS,2303585286.88,12343,765,15,-802456.8900003433,-11613,-35
2015,MCKESSON CORPORATION,37139,2151090018.64,MCKESSON,2143317543.98,70874,35438,16,7772474.659999847,-33735,1701
2015,BELL BOEING JOINT PROJECT OFFICE,2570,2043291313.12,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2043326817.57,31127,2560,17,-35504.450000047684,-28557,10
2015,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,64563,1921173837.58,NA,NA,NA,NA,NA,NA,NA,NA
2015,AMERISOURCEBERGEN CORPORATION,207112,1860713738.88,AMERISOURCEBERGEN,1843485904.61,663226,198282,18,17227834.27000022,-456114,8830
2015,UNITED LAUNCH ALLIANCE  L.L.C.,74,1723432101.78,UNITED LAUNCH ALLIANCE,1723432101.78,148,74,20,0,-74,0
2015,BOOZ ALLEN HAMILTON HOLDING CORPORATION,4137,1709241519.29,BOOZ ALLEN HAMILTON,1802069369.49,193550,4925,19,-92827850.20000005,-189413,-788
2015,HARRIS CORPORATION,3094,1589976165.98,HARRIS,1138285060.63,66190,2509,29,451691105.3499999,-63096,585
2015,TEXTRON INC.,4453,1584726253.59,TEXTRON,1560251823.8300002,71561,4491,21,24474429.759999752,-67108,-38
2015,"LEIDOS HOLDINGS, INC",4145,1532685593.02,LEIDOS,1045926988.46,100444,2028,33,486758604.55999994,-96299,2117
2015,GENERAL ELECTRIC COMPANY,4734,1502229781.25,GENERAL ELECTRIC,1444631063.29,100269,4088,22,57598717.96000004,-95535,646
2015,CERBERUS CAPITAL MANAGEMENT  L.P.,1573,1445921919.9,CERBERUS,NA,NA,NA,NA,NA,NA,NA
2015,OSHKOSH CORPORATION,7322,1408755629.01,OSHKOSH,1385735642.54,69311,5806,23,23019986.47000003,-61989,1516
2015,COMPUTER SCIENCES CORPORATION,2742,1327098282.4,COMPUTER SCIENCES,1223455816.36,80425,2434,26,103642466.0400002,-77683,308
2015,CACI INTERNATIONAL INC,2209,1257434220.98,CACI,1198852359.68,85616,2171,27,58581861.29999995,-83407,38
2015,ALLIANT TECHSYSTEMS INC.,1108,1164515507.83,ALLIANT TECHSYSTEMS OPERATIONS,NA,NA,NA,NA,NA,NA,NA
2015,HEWLETT-PACKARD COMPANY,18424,1143875462.2,HEWLETT PACKARD,1164663048.75,149659,2883,28,-20787586.549999952,-131235,15541
2015,MACANDREWS & FORBES HOLDINGS INC.,2174,1114068127.96,MACANDREWS AMG HOLDING,NA,NA,NA,NA,NA,NA,NA
2015,ATLANTIC DIVING SUPPLY  INC.,20696,1077054175.99,ATLANTIC DIVING SUPPLY,1070218555.17,80107,15605,32,6835620.820000052,-59411,5091
2015,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,200,967553608.22,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,967553608.22,6903,200,34,0,-6703,0
2015,SIERRA NEVADA CORPORATION,764,928013793.65,SIERRA NEVADA,922365569.63,45362,736,35,5648224.019999981,-44598,28
2015,HONEYWELL INTERNATIONAL INC.,6194,896918452.57,HONEYWELL,898766886.2,139547,5703,38,-1848433.6299999952,-133353,491
2015,VECTRUS SYSTEMS CORPORATION,499,893275093.67,VECTRUS,920872498.72,18941,533,36,-27597405.05000007,-18442,-34
2015,ROYAL DUTCH SHELL PLC,769,889088412.24,ROYAL DUTCH SHELL,859170868.86,14010,505,41,29917543.379999995,-13241,264
2015,CARDINAL HEALTH  INC.,313825,882705392.83,CARDINAL HEALTH,878954996.14,589136,287261,39,3750396.690000057,-275311,26564
2015,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),103,864975051.99,BAHRAIN PETROLEUM COMPANY,864975051.99,5081,103,40,0,-4978,0
2015,AUSTAL LIMITED,127,845997862.19,AUSTAL,841785324.9,2715,138,42,4212537.290000081,-2588,-11
2015,THE AEROSPACE CORPORATION,24,840444751.69,THE AEROSPACE,840444751.69,48,24,43,0,-24,0
2015,FLUOR CORPORATION,444,778467547.89,FLUOR,703458233.28,10799,117,48,75009314.61000001,-10355,327
2015,EXXON MOBIL CORPORATION,278,770793543.46,EXXON MOBIL,770793543.46,5428,279,44,0,-5150,-1
2015,ROCKWELL COLLINS  INC.,2193,769507374.17,ROCKWELL COLLINS,769604024.66,73135,2119,45,-96650.49000000954,-70942,74
2015,JOHNS HOPKINS UNIVERSITY,1536,761023695.47,JOHNS HOPKINS UNIVERSITY,1081374041.93,22600,1545,31,-320350346.46000004,-21064,-9
2015,THE MITRE CORPORATION,192,754934014.1,THE MITRE,758640971.1,2864,213,46,-3706957,-2672,-21
2015,NAVISTAR INTERNATIONAL CORPORATION,1216,722795893.48,Navistar International,536270249.65,18492,714,58,186525643.83000004,-17276,502
2015,INSIGHT ENTERPRISES  INC.,2067,718991955.14,INSIGHT ENTERPRISES,483297393.99,40840,1105,62,235694561.14999998,-38773,962
2015,JACOBS ENGINEERING GROUP INC.,2309,717534628.72,JACOBS ENGINEERING GROUP,575826756.12,60692,2036,53,141707872.60000002,-58383,273
2015,ALION SCIENCE AND TECHNOLOGY CORPORATION,1099,693251139.72,ALION SCIENCE & TECHNOLOGY,688973124.29,30609,1081,50,4278015.430000067,-29510,18
2015,VALERO ENERGY CORPORATION,409,645962647.93,VALERO ENERGY,645962647.9300001,12200,409,51,-1.1920928955078125e-7,-11791,0
2015,AECOM TECHNOLOGY CORPORATION,2158,640999985.27,AECOM TECHNOLOGY,NA,NA,NA,NA,NA,NA,NA
2015,FEDEX CORPORATION,6157422,639200143.72,FEDEX,639725543.64,56779,1363,52,-525399.9199999571,6100643,6156059
2015,GILBANE  INC.,688,637407552.63,Gilbane Building Company,390303148.69,17651,290,69,247104403.94,-16963,398
2015,CDW CORPORATION,3630,620506250.86,CDW,388985350.05,44917,2129,70,231520900.81,-41287,1501
2015,MANTECH INTERNATIONAL CORPORATION,1504,613961808.52,MANTECH INTL A,532578833.55,47267,1284,59,81382974.96999997,-45763,220
2015,ACCENTURE INC.,762,606214682.02,ACCENTURE,353340330.91,12070,345,75,252874351.10999995,-11308,417
2015,FINMECCANICA SPA,2466,591883310.02,PARAVANT COMPUTER SYSTEMS [FINMECCANICA SPA],NA,NA,NA,NA,NA,NA,NA
2015,KBR  INC.,935,569707504.37,NA,NA,NA,NA,NA,NA,NA,NA
2015,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,335,556872920.86,NA,NA,NA,NA,NA,NA,NA,NA
2015,AEROSPACE TESTING ALLIANCE,56,546629951.45,AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation],286359565.3,60,30,92,260270386.15000004,-4,26
2015,EXPRESS SCRIPTS HOLDING COMPANY,133,542892294.96,EXPRESS SCRIPTS,542886337.31,52284,128,56,5957.650000095367,-52151,5
2015,PATRIOT TEAM,668,540062440.73,PATRIOT TEAM,542793308.47,3770,667,57,-2730867.7400000095,-3102,1
2015,ARCTIC SLOPE REGIONAL CORPORATION,1232,536933120.3199999,ARCTIC SLOPE REGIONAL,NA,NA,NA,NA,NA,NA,NA
2015,MARITIME HELICOPTER SUPPORT COMPANY LLC,52,534389494.41,MARITIME HELICOPTER SUPPORT [Lockheed Martin/Sikorsky Joint Venture],303318379.41,11454,37,87,231071115,-11402,15
2015,CARAHSOFT TECHNOLOGY CORPORATION,3324,532336968.68,CARAHSOFT TECHNOLOGY,278609115.7,34727,1635,96,253727852.98000002,-31403,1689
2015,ROLLS-ROYCE CORPORATION,830,529146477.53,ROLLS ROYCE,552768227.87,48855,1672,55,-23621750.340000033,-48025,-842
2015,THE CHARLES STARK DRAPER LABORATORY INC,192,517908128.19,CHARLES STARK DRAPER LABORATORY,517908128.19,6074,192,60,0,-5882,0
2015,EXELIS INC.,1917,517114023.62,EXELIS,703532086.01,96247,1609,47,-186418062.39,-94330,308
2015,DELOITTE LLP,843,516025384.52,DELOITTE,276249417.61,33395,440,98,239775966.90999997,-32552,403
2015,GREAT LAKES DREDGE & DOCK CORPORATION,101,499549010.23,GREAT LAKES DREDGE DOCK,499549010.23,1828,101,61,0,-1727,0
2015,ANHAM FZCO,20267,478876378.69,ANHAM,477726895.15999997,43734,20241,63,1149483.530000031,-23467,26
2015,URS CORPORATION,656,461627451.16,URS,1105538432.29,122369,2532,30,-643910981.1299999,-121713,-1876
2015,WYLE SERVICES CORPORATION,1193,443143713.48,NA,NA,NA,NA,NA,NA,NA,NA
2015,HENSEL PHELPS CONSTRUCTION CO,212,436644793.32,HENSEL PHELPS CONSTRUCTION,436637500.32,10178,211,66,7293,-9966,1
2015,STERLING PARENT INC.,1139,419996570.78,STERLING,NA,NA,NA,NA,NA,NA,NA
2015,REDSTONE DEFENSE SYSTEMS,634,409086090.3,REDSTONE DEFENSE SYSTEMS,409086090.3,6146,634,68,0,-5512,0
2015,ADVANCED TECHNOLOGY INTERNATIONAL,125,405662893.95,NA,NA,NA,NA,NA,NA,NA,NA
2015,CUBIC CORPORATION,612,378395964.46,CUBIC,373840076.46,26425,612,72,4555888,-25813,0
2015,CHUGACH ALASKA CORPORATION,1555,376039697.85,CHUGACH ALASKA,NA,NA,NA,NA,NA,NA,NA
2015,STEYR TRUCKS INTERNATIONAL FZE,8,373996218,NA,NA,NA,NA,NA,NA,NA,NA
2015,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2252,371558518.07,WORLD WIDE TECHNOLOGY,369134733.53000003,27301,2026,73,2423784.539999962,-25049,226
2015,S-OIL CORPORATION,75,355897098.89,S-OIL,355897098.89,4214,75,74,0,-4139,0
2015,ENGILITY CORP.,1473,351129648.56,ENGILITY,314411967.35,56332,1344,83,36717681.20999998,-54859,129
2015,METLIFE  INC.,54,350708878.12,METLIFE,350706019.37,104,52,76,2858.75,-50,2
2015,A.P. MOLLER - MARSK A/S,17150,345088064.71,AP Moller MAERSK,345138064.71,120351,334,77,-5e4,-103201,16816
2015,AAR CORP.,4466,332482774.02,AAR,325669367.24,58251,1875,79,6813406.779999971,-53785,2591
2015,"JOHNS HOPKINS HEALTH SYSTEM CORPORATION, THE",13,3215e5,NA,NA,NA,NA,NA,NA,NA,NA
2015,GOVERNMENT OF CANADA,1440,321444446.31,GOVERNMENT OF CANADA,NA,NA,NA,NA,NA,NA,NA
2015,THE INTERPUBLIC GROUP OF COMPANIES INC,294,321381315.77,INTERPUBLIC GROUP OF COMPANIES,308934383.39,8693,282,86,12446932.379999995,-8399,12
2015,BATTELLE MEMORIAL INSTITUTE INC,1245,309631515.24,BATTELLE,290509874.04,38990,1211,91,19121641.199999988,-37745,34
2015,MANSON CONSTRUCTION CO.,89,294673562.68,MANSON CONSTRUCTION,294673562.68,3430,89,88,0,-3341,0
2015,THE WHITING-TURNER CONTRACTING COMPANY,136,277992376.98,THE WHITING TURNER CONTRACTING COMPANY,277992376.98,3524,136,97,0,-3388,0
2015,SODEXO,126,273535190.08,SODEXO,268683525.69,967,77,101,4851664.389999986,-841,49
2015,TOTAL SA,3440,272759476.23,TOTAL SA,214883215.81,9926,2933,117,57876260.42000002,-6486,507
2015,AASKI TECHNOLOGY INC,167,269299574.7,AASKI,269299574.7,6021,167,100,0,-5854,0
2015,MARTIN'S POINT HEALTH CARE  INC.,12,2667e5,MARTIN'S POINT HEALTH CARE,2667e5,24,12,102,0,-12,0
2015,INTERNATIONAL BUSINESS MACHINES CORPORATION,482,265650029.84,IBM,291290911.06,25437,528,90,-25640881.22,-24955,-46
2015,MISSION ESSENTIAL PERSONNEL  LLC,90,257451581.21,MISSION ESSENTIAL PERSONNEL,NA,NA,NA,NA,NA,NA,NA
2015,NEPTUNE ORIENT LINES LIMITED,11986,256632740.95,NA,NA,NA,NA,NA,NA,NA,NA
2014,LOCKHEED MARTIN CORPORATION,18634,25065461247.84,LOCKHEED MARTIN,25141640835.86,110527,17636,1,-76179588.02000046,-91893,998
2014,THE BOEING COMPANY,12663,18005350332.68,BOEING,16944494741.3,90254,12086,2,1060855591.3800011,-77591,577
