"TopProject","Fiscal_Year","Action_Obligation_OMB23_GDP21"
"F/A-18 E/F",2010,3080283813.51027
"F/A-22",2010,2836996202.17259
"LAV (NAVY)",2010,2541227067.96819
"JSF (F-35)",2010,2260844261.66141
NA,2009,370046897127.124
"Other Labeled Project",2009,56698766038.718
"MISSILE DEFENSE AGENCY SU",2009,6479093864.54405
"F/A-22",2009,5452126288.26545
"C-17A",2009,4833394644.97864
"JSF (F-35)",2009,4531451828.73571
"SSN 774",2009,3763031808.22019
"FCS",2009,3613101589.88809
"V22",2009,3566665744.2691
"F/A-18 E/F",2009,3263935785.63761
"CVN 21",2009,3057403022.895
"STRYKER (IAV)",2009,3005177162.14978
NA,2008,364852309090.624
"Other Labeled Project",2008,55107469918.1822
"MISSILE DEFENSE AGENCY SU",2008,7142245240.5562
"F/A-22",2008,5618968602.41033
"F/A-18 E/F",2008,5435256337.68294
"FMTV",2008,4834986675.5578
"BRADLEY FVS",2008,3729974680.36855
"FCS",2008,3674643475.78804
"V22",2008,3545083211.07613
"JSF (F-35)",2008,3347235169.00696
"CVN 21",2008,3127118711.26385
"C-17A",2008,2821682333.74318
NA,2007,332319463009.205
"Other Labeled Project",2007,44150516519.4992
"F/A-22",2007,8127251043.06627
"MISSILE DEFENSE AGENCY SU",2007,7148870598.46378
"C-17A",2007,4289795380.98931
"F/A-18 E/F",2007,3825102397.97157
"FCS",2007,3814608609.35974
"DD(X)",2007,3050409869.64558
"ABRAMS UPGRADE",2007,2987767789.44858
"V22",2007,2514708328.0608
"TRIDENT II MISSILE",2007,2263949066.80454
"LPD 17",2007,1680869559.50159
NA,2006,315309868209.412
"Other Labeled Project",2006,34704107992.3755
"F/A-22",2006,6440274806.4996
"MISSILE DEFENSE AGENCY SU",2006,5849646614.78157
"HURRICANE KATRINA",2006,4196345307.01843
"FCS",2006,3847240404.79506
"LPD 17",2006,3332520200.10537
"F/A-18 E/F",2006,2795549171.66196
"C-17A",2006,2543689869.95404
"TRIDENT II MISSILE",2006,2060820211.69444
"DD(X)",2006,1933325566.96301
"SUBMARINE NUCLEAR - SSN",2006,1848378044.25201
NA,2005,307653146562.884
"Other Labeled Project",2005,26159723244.6385
"MISSILE DEFENSE AGENCY SU",2005,6614867237.51105
"F/A-22",2005,2931402806.2129
"F/A-18 E/F",2005,2855740329.27737
"SUBMARINE NUCLEAR - SSN",2005,2095093707.25154
"C-17A",2005,2021783357.25593
"OTHER ENVIRONMENTAL PROGR",2005,1889005341.15835
"TRIDENT II MISSILE",2005,1820503271.48568
"V22",2005,1731751030.1706
"HURRICANE KATRINA",2005,1693326509.59113
"SINCGARS",2005,1108795001.02007
NA,2004,280567623721.089
"Other Labeled Project",2004,17418938120.2846
"MISSILE DEFENSE AGENCY SU",2004,6219413368.28312
"F/A-22",2004,5927858722.17665
"OTHER ENVIRONMENTAL PROGR",2004,2212195181.12752
"SUBMARINE NUCLEAR - SSN",2004,2099653012.77857
"C-17A",2004,1759132650.85017
"COMANCHE",2004,1242875622.2186
"TRIDENT II MISSILE",2004,945707987.059537
"THAAD-THEATER HIGH ALT AI",2004,853842448.447194
"SCY",2004,752751093.868111
"TACTICAL TOMAHAWK",2004,670412604.29685
NA,2003,244641696721.963
"Other Labeled Project",2003,37514800457.2432
"F-22 Raptor",2003,4455283807.03876
"MISSILE DEFENSE AGENCY SU",2003,4272134487.16997
"SUBMARINE NUCLEAR - SSN",2003,2318545154.19043
"UGM-96 TRIDENT",2003,2160696297.39734
"F-18 HORNET",2003,1610209947.42748
"UH-60 BLACKHAWK UTTAS",2003,1533085760.8961
"AH-64 APACHE",2003,1204343426.56282
"F-100 Engine",2003,1198347834.73763
"OTHER ENVIRONMENTAL PROGR",2003,1194746398.20348
"RAH 66 COMMANCHE",2003,1111593233.02795
NA,2002,202767294489.477
"Other Labeled Project",2002,33828237857.2924
"MISSILE DEFENSE AGENCY SU",2002,3869515169.16505
"F-18 HORNET",2002,1405582795.48181
"C-17A CARGO TRANSPORT",2002,1259246412.14313
"F-100 Engine",2002,1237640898.08835
"F-16 FALCON",2002,1156700526.28588
"THAAD-THEATER HIGH ALT AI",2002,1136654787.48556
"RAH 66 COMMANCHE",2002,977786453.00932
"KC-135 STRATOLIFTER",2002,941459944.21211
"BALLISTIC MISSILE DEFENSE",2002,914109669.594792
"F-22 Raptor",2002,866858721.100008
NA,2001,169445306109.879
"Other Labeled Project",2001,30955181707.2497
"UH-60 BLACKHAWK UTTAS",2001,3203213599.85223
"BALLISTIC MISSILE DEFENSE",2001,1724490966.18855
"MISSILE DEFENSE AGENCY SU",2001,1642532952.2744
"F-100 Engine",2001,1588127928.37972
"F-15 EAGLE",2001,1360504732.08775
"F-22 Raptor",2001,1254666077.5105
"BLACKHAWK",2001,1227879760.67851
"CH-47 CHINOOK",2001,1180752572.93474
"F-18 HORNET",2001,1086351372.10219
"SCY",2001,979253976.907465
NA,2000,155763579998.532
"Other Labeled Project",2000,30201295423.9484
"AH-64 APACHE",2000,2751250069.47234
"BALLISTIC MISSILE DEFENSE",2000,2649170817.72094
"CH-47 CHINOOK",2000,1869327571.31234
"UGM-96 TRIDENT",2000,1558414147.76784
"UH-60 BLACKHAWK UTTAS",2000,1543601852.13633
"F-22 Raptor",2000,1529043271.03049
"F-18 HORNET",2000,1446437536.08915
"OH-58 KIOWA (AHIP)",2000,1427149349.06692
"F-100 Engine",2000,1314961667.82181
"F-15 EAGLE",2000,1137656574.18618
NA,1999,124226415493.302
"Other Labeled Project",1999,40974683987.7335
"F-18 HORNET",1999,4791008969.84099
"C-17A CARGO TRANSPORT",1999,4756001898.17967
"F-22 Raptor",1999,3615585231.26664
"SUBMARINE NUCLEAR-SSN",1999,2910093242.81386
"BALLISTIC MISSILE DEFENSE",1999,2833739546.77748
"UGM-96 TRIDENT",1999,2201581641.37515
"F-16 FALCON",1999,2116612292.4674
"F-100 Engine",1999,1482016297.55712
"V22 VERTICAL LIFT AIRCRAF",1999,1377238219.53775
"TITAN IV LAUNCH VEH PROGR",1999,1363209654.84278
NA,1998,118087091366.506
"Other Labeled Project",1998,41879756038.1119
"F-18 HORNET",1998,4978594109.56784
"C-17A CARGO TRANSPORT",1998,3785281525.1931
"SUBMARINE NUCLEAR-SSN",1998,3434541440.11395
"F-22 Raptor",1998,2825005793.55472
"BALLISTIC MISSILE DEFENSE",1998,2617396218.42096
"CARRIER ACFT NUCLEAR-CVAN",1998,2246187051.9519
"UGM-96 TRIDENT",1998,2028043549.34125
"V22 VERTICAL LIFT AIRCRAF",1998,1859831866.4027
"TITAN IV LAUNCH VEH PROGR",1998,1467751286.91431
"C-130 HERCULES",1998,1425487570.30302
NA,1997,115997613852.023
"Other Labeled Project",1997,43443978412.5521
"F-18 HORNET",1997,4537088146.92211
"DESTROYER DDG-51",1997,3552424610.52007
"C-17A CARGO TRANSPORT",1997,3449763241.79065
"F-22 Raptor",1997,2777122496.91101
"F-15 EAGLE",1997,2584278520.30887
"BALLISTIC MISSILE DEFENSE",1997,2558817809.90871
"C-130 HERCULES",1997,2236416728.39124
"F-16 FALCON",1997,1959389149.33595
"AN/FSD JOINT STARS",1997,1790395446.03587
"V22 VERTICAL LIFT AIRCRAF",1997,1724295312.91596
NA,1996,116882329141.065
"Other Labeled Project",1996,46067425320.091
"C-17A CARGO TRANSPORT",1996,4908554423.09583
"F-18 HORNET",1996,4672494005.03199
"F-15 EAGLE",1996,4658004730.54006
"F-16 FALCON",1996,3773938609.66887
"F-22 Raptor",1996,3396924647.80311
"UGM-96 TRIDENT",1996,2292691588.58336
"BALLISTIC MISSILE DEFENSE",1996,2241771195.28369
"DESTROYER DDG-51",1996,2169988772.104
"C-130 HERCULES",1996,1770016327.26063
"B-2 STEALTH",1996,1729010893.77777
NA,1995,115922612730.222
"Other Labeled Project",1995,45333276470.1213
"F-18 HORNET",1995,6183559362.40671
"CARRIER ACFT NUCLEAR-CVAN",1995,5034082646.32051
"F-16 FALCON",1995,4711181584.34288
"C-17A CARGO TRANSPORT",1995,3917550432.9207
"F-22 Raptor",1995,3604894807.06904
"F-15 EAGLE",1995,2896871260.15456
"BALLISTIC MISSILE DEFENSE",1995,2137511167.93724
"UGM-96 TRIDENT",1995,2087324303.49686
"DESTROYER DDG-51",1995,2022623758.43033
"SUBMARINE NUCLEAR-SSN",1995,1692732705.90814
NA,1994,116901034444.472
"Other Labeled Project",1994,46888493535.9938
"B-2 STEALTH",1994,6089652161.09634
"F-18 HORNET",1994,5890831117.43934
"C-17A CARGO TRANSPORT",1994,5486143855.14422
"F-22 Raptor",1994,3452897567.29805
"BALLISTIC MISSILE DEFENSE",1994,3351900960.18973
"UGM-96 TRIDENT",1994,3305727691.01394
"F-15 EAGLE",1994,3244851437.00146
"F-16 FALCON",1994,3066766775.08205
"C-130 HERCULES",1994,2385176766.86518
"DESTROYER DDG-51",1994,2281609405.12041
NA,1993,119645981171.163
"Other Labeled Project",1993,57619683523.7429
"F-18 HORNET",1993,5122552307.77353
"F-16 FALCON",1993,4323907906.21906
"B-2 STEALTH",1993,4286455873.59734
"BALLISTIC MISSILE DEFENSE",1993,3955967934.50404
"UGM-96 TRIDENT",1993,3633142617.34551
"F-22 Raptor",1993,3315919965.54398
"F-15 EAGLE",1993,3026342815.9323
"MISCELLANEOUS-AG",1993,2935928075.13735
"C-17A CARGO TRANSPORT",1993,2809940025.35483
"C-130 HERCULES",1993,2641496990.65226
NA,1992,126717424692.186
"Other Labeled Project",1992,57745733419.9448
"B-2 STEALTH",1992,7936394451.84484
"F-18 HORNET",1992,4739258864.15461
"BALLISTIC MISSILE DEFENSE",1992,4180899501.53818
"UGM-96 TRIDENT",1992,4131124681.30775
"F-16 FALCON",1992,3991911490.64898
"DESTROYER DDG-51",1992,3419296835.39396
"C-130 HERCULES",1992,2919212142.85482
"F-22 Raptor",1992,2833750252.07987
"C-17A CARGO TRANSPORT",1992,2378865654.44531
"A-6 INTRUDER",1992,2317100143.67349
NA,1991,141866781226.042
"Other Labeled Project",1991,77769040862.5481
"F-16 FALCON",1991,6532187658.24916
"B-2 STEALTH",1991,5052631783.46574
"F-18 HORNET",1991,3971029974.4855
"UGM-96 TRIDENT",1991,3664488151.8418
"F-15 EAGLE",1991,3656049330.14654
"BALLISTIC MISSILE DEFENSE",1991,3400867275.96015
"PATRIOT MISSILE SYS",1991,2744348927.21505
"C-17A CARGO TRANSPORT",1991,2739597045.84421
"TITAN IV LAUNCH VEH PROGR",1991,2533050233.91334
"M-2 IFV (BRADLEY)",1991,2404546107.58684
"Other Labeled Project",1990,54516342882.2082
"F-16 FALCON",1990,6444045818.1128
"F-15 EAGLE",1990,4419066679.87869
"F-18 HORNET",1990,3940656938.84252
"AH-64 APACHE",1990,3399968081.14069
"F-14 TOMCAT",1990,2635201071.39609
"DESTROYER DDG-51",1990,2547261637.97549
"AIRCRAFT CARRIER CVAN-65",1990,2448316990.05216
"C-130 HERCULES",1990,2354694971.34141
"C-17A CARGO TRANSPORT",1990,2324596348.94269
"BALLISTIC MISSILE DEFENSE",1990,2186941670.38239
"MX-MISSILE",1990,2099848035.39543
NA,1990,NA
