ParentID,contract_award_unique_key,PricingMechanism,ProductOrServiceCodeText,CompetitionClassification,ClassifyNumberOfOffers,anycommercial,Vehicle,Action_Obligation_OMB25_GDP23,baseandexercisedoptionsvalue,baseandalloptionsvalue,MinOfsigneddate
BOEING,CONT_AWD_NNK16MA04T_8000_NNK14MA75C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,299879265.848253,363607889,363607889,2015-12-18
BOEING,CONT_AWD_NNM08AA16C_8000_-NONE-_-NONE-,Cost Plus Award Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,266182196.5507841,277824498,277824498,2007-12-12
BOEING,CONT_AWD_0001_9700_F0470198D0002_9700,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,Y,MULTIPLE AWARD IDC,234826517.0699531,0,0,2003-09-30
BOEING,CONT_AWD_MSFC0200105DNAS801107_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,226662014.41574013,161551989,161551989,2001-05-21
BOEING,CONT_AWD_NNK17MA02T_8000_NNK14MA75C_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,208828659.32216573,34431552,1436431552,2016-12-30
BOEING,CONT_AWD_MSFC0200105DNAS801099_8000_-NONE-_-NONE-,Cost Plus Award Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,169094125.56796876,128511307,136258384,2001-05-21
BOEING,CONT_AWD_2000_9700_F0470198D0002_9700,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,Y,MULTIPLE AWARD IDC,134993489.14328402,0,0,1999-10-01
BOEING,NA,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,NA,NA,118411860.85432811,0,0,NA
BOEING,CONT_AWD_LERC0199902BNAS296006_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),No Competition (Other Exception),No competition,N,PO,69272584.34449235,55849448,55849448,1999-10-15
BOEING,CONT_AWD_MSFC0200201DNAS802001_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,DCA,61889775.29089703,40861400.52,40861400.52,2002-01-04
BOEING,NA,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Limited Competition with multiple offers,Two Offers,NA,NA,53880785.350786716,0,0,NA
BOEING,CONT_AWD_F0470198C0012_9700_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Unlabeled Exception),No competition,N,DCA,49326467.88968994,0,0,1999-11-23
BOEING,NA,Cost Plus Award Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,NA,NA,40165612.32239494,0,0,NA
BOEING,CONT_AWD_DTFAWA10C00030_6920_-NONE-_-NONE-,Cost Sharing,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),3-4 Offers,N,DCA,36718004.850564286,27726516.26,40047626,2010-07-01
BOEING,CONT_AWD_NNM11AA98T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,3-4 Offers,N,MULTIPLE AWARD IDC,34603208.29655497,26738557,26738557,2011-09-16
BOEING,NA,Cost Plus Award Fee,R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT),No Competition (Unlabeled Exception),No competition,NA,NA,29490322.418081965,0,0,NA
BOEING,CONT_AWD_NNA06BC75C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),Competition with single offer,One Offer,N,DCA,23677725.436933037,16602905.87,16602905.87,2006-09-14
BOEING,CONT_AWD_FA880622F0008_9700_FA880621D0001_9700,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,SINGLE AWARD IDC,20690522.263907496,22760415.75,22760415.75,2021-11-29
BOEING,CONT_AWD_NNL14AA57T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,20026977.96470421,16513376,16513376,2014-03-24
BOEING,NA,Firm Fixed Price,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,NA,NA,19448108.26494789,0,0,NA
BOEING,CONT_AWD_NNL11AA68T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,19019616.239810407,14859976,14859976,2011-05-17
BOEING,CONT_AWD_LERC0200108DNAS301140_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,DCA,15837793.998949062,58480931.64,58480931.64,2001-08-08
BOEING,CONT_AWD_NNL17AA46T_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,14400342.82978811,11993610,14058676,2016-12-22
BOEING,CONT_AWD_NNL15AB46T_8000_NNL13AA03B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,13861207.329420589,167845,167845,2015-06-05
BOEING,CONT_AWD_F0470198C0012_9700_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,DCA,13347784.110251352,0,0,2000-10-26
BOEING,CONT_AWD_NNK13MA07C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D-AERO & SPACE TECH-COMERCLIZ,Full Competition (Multiple Offers),3-4 Offers,N,DCA,12819840.059042245,9993000,9993000,2012-12-06
BOEING,CONT_AWD_LARC0199606DNAS120341_8000_-NONE-_-NONE-,Cost No Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,11661835.223244533,0,0,1999-10-15
BOEING,CONT_AWD_NAS900065_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Full Competition (Multiple Offers),3-4 Offers,N,DCA,11296302.694212077,6771922,6771922,2000-02-28
BOEING,CONT_AWD_NNL11AA00T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,BOA,11262997.430119094,8660165,8660165,2011-02-17
BOEING,CONT_IDV_LARC0200006DNAS100106_8000,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,11000642.956660917,0,0,2001-09-30
BOEING,CONT_AWD_NNL10AA00T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,N,BOA,9913734.469275733,7402187,7402187,2009-12-17
BOEING,CONT_AWD_0110_9700_F0470198D0002_9700,Firm Fixed Price,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),No Competition (Follow on to competed action),No competition,Y,MULTIPLE AWARD IDC,9276963.22142747,6552468,6552468,2007-09-30
BOEING,CONT_AWD_NNL10AA71T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,8375623.154044304,6153239,6153239,2010-01-28
BOEING,CONT_AWD_MSFC0200008DNAS800163_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),10-24 Offers,N,DCA,7893448.669538964,4695202,4695202,2000-08-07
BOEING,CONT_AWD_NNL15AB47T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,7746015.609413028,0,0,2015-05-21
BOEING,CONT_AWD_NNL05AD23T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,7660403.238570138,5436444,5436444,2005-09-21
BOEING,CONT_AWD_NNT04AA00C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),100+ Offers,N,DCA,7632299.126237192,4990087,6981971,2004-09-01
BOEING,CONT_AWD_NNC04CB13C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: FLIGHT (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,6816152.827894579,7163536,7163536,2004-05-25
BOEING,CONT_AWD_80LARC20F0113_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,6814479.637854854,6007836,6007836,2020-09-30
BOEING,NA,Cost Plus Incentive,R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT),No Competition (Unlabeled Exception),No competition,NA,NA,6728163.861821117,0,0,NA
BOEING,CONT_AWD_NNL10AB00T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,6511141.396242012,4997767,4997767,2010-02-18
BOEING,CONT_AWD_NNA07BC30C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,6404012.782674308,4523257,4523257,2007-05-04
BOEING,CONT_AWD_NNL14AB51T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,6267858.810482327,4996974,8328362,2014-07-22
BOEING,CONT_AWD_NNL07AA54C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,6218227.855803746,4571585,4571585,2007-09-28
BOEING,CONT_AWD_NNC07CB38C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,5-9 Offers,N,DCA,5903396.465910837,4538075,5488581,2007-05-04
BOEING,CONT_AWD_NNL14AB13T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,5849924.59014875,4661374.7109,4661374.7109,2014-06-11
BOEING,CONT_AWD_FA881606C0001_9700_-NONE-_-NONE-,Cost Plus Fixed Fee,MAINT-REP OF SPACE VEHICLES,No Competition (Only One Source Exception),No competition,N,DCA,5789584.572058573,4174173.33,4174173.33,2008-09-30
BOEING,CONT_AWD_LERC0200304DNAS302204_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,5618697.244729266,6154403,6154403,2003-02-26
BOEING,CONT_AWD_80LARC19F0056_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,5612717.8106117835,4815494,4815494,2019-05-22
BOEING,CONT_AWD_LARC0199701DNAS197040_8000_-NONE-_-NONE-,Cost No Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,5416990.989340607,0,0,1999-11-15
BOEING,CONT_AWD_NNL07AA48C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,5341155.4683636855,3905015,3905015,2007-09-28
BOEING,CONT_AWD_NNC11CA12C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),3-4 Offers,N,DCA,4900896.018887674,3719804.8437,3719804.7812,2011-03-22
BOEING,CONT_AWD_DFRC0199609DNAS450019_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,4843108.798214094,0,0,1999-10-15
BOEING,CONT_AWD_80GRC018C0011_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,4649801.319272027,3949097,5229242,2018-02-02
BOEING,NA,Fixed Price with Economic Price Adjustment,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),No Competition (Only One Source Exception),No competition,NA,NA,4373869.265692823,0,0,NA
BOEING,CONT_AWD_80LARC17F0072_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,3977077.2217639964,3258030,3258030,2017-09-27
BOEING,CONT_AWD_LARC0199902DNAS199070_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,3973270.846517629,48000000,48000000,1999-10-15
BOEING,CONT_AWD_NNL13AB38T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,3870334.9867243473,3312044,3312044,2013-05-09
BOEING,CONT_AWD_NNL13AC06T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,3682730.479967755,2892633,2892633,2013-09-04
BOEING,CONT_AWD_NNL11AB93T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,3548649.523675766,2682463,2682463,2011-06-24
BOEING,CONT_AWD_NNC15CA23C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),No Competition (Only One Source Exception),No competition,N,DCA,3541276.2119633183,1487029.805,715697.43,2015-09-23
BOEING,NA,Fixed Price Incentive,R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT),No Competition (Unlabeled Exception),No competition,NA,NA,3477361.8645765483,0,0,NA
BOEING,CONT_AWD_NNL05AB57T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,3469624.004359261,2309382,2309382,2005-06-07
BOEING,CONT_AWD_MSFC0200111DNAS801091_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,3434974.62250546,2092739,2092739,2001-05-23
BOEING,CONT_AWD_LARC0199806DNAS198103_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,3374987.4830088364,0,0,1999-10-15
BOEING,CONT_AWD_NNC08CA70C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,5-9 Offers,N,DCA,3352562.4951650347,2495884,2495884,2008-08-01
BOEING,CONT_AWD_NNL12AC59T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Competition with single offer,One Offer,N,MULTIPLE AWARD IDC,3283815.746385792,2506541,2506541,2012-07-02
BOEING,CONT_AWD_NNL08AC76T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,N,BOA,3133576.583454567,2276305,2276305,2008-09-23
BOEING,CONT_AWD_NNC12CA26C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),5-9 Offers,N,DCA,3121573.3460771274,2435185,2435185,2012-09-13
BOEING,CONT_AWD_NNL06AA63T_8000_NNL06AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,N,MULTIPLE AWARD IDC,3091101.1881300807,2253779,2253779,2006-07-13
BOEING,CONT_AWD_NNL15AC21T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,2932005.10527841,2395243,2395243,2015-09-16
BOEING,CONT_AWD_NNL13AB86T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,2867027.060578868,2255378,2255378,2013-07-30
BOEING,CONT_AWD_NNA06BA90C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,DCA,2853546.2990407757,1997516.09,1997516.09,2006-06-08
BOEING,CONT_AWD_NNC07CB76C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,2845515.015687911,2457068,2457068,2007-09-18
BOEING,CONT_AWD_NNL04AB78T_8000_NAS100086_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,SINGLE AWARD IDC,2816658.0693499804,1819856,1819856,2004-04-28
BOEING,CONT_AWD_NNL09AD50T_8000_NNL04AA11B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,Y,MULTIPLE AWARD IDC,2763423.1804396883,2017226,2017226,2009-09-29
BOEING,CONT_AWD_NNL10AD09T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,5-9 Offers,N,MULTIPLE AWARD IDC,2742540.4104220504,2042060,2042060,2010-09-28
BOEING,CONT_AWD_LERC0200008DNAS300152_8000_-NONE-_-NONE-,Cost Plus Incentive,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),Two Offers,N,DCA,2709035.7698223353,1647615,1647615,2000-08-09
BOEING,CONT_AWD_NNL17AA45T_8000_NNL16AA04B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,2698431.2649751757,2211757,3401182,2016-12-16
BOEING,CONT_AWD_NNC08CA47C_8000_-NONE-_-NONE-,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,DCA,2648364.915504207,1977630,1977630,2008-03-14
BOEING,CONT_AWD_NNL08AD01T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,N,BOA,2622269.2035648297,1908650,1908650,2008-09-26
BOEING,CONT_AWD_FA255010C8005_9700_-NONE-_-NONE-,Cost No Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Competition with single offer,One Offer,N,DCA,2531644.411761651,1859899,1859899,2010-02-01
BOEING,CONT_AWD_LERC0199905DNAS399135_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,N,DCA,2493292.9105457193,0,0,2000-01-15
BOEING,CONT_AWD_NNL13AB07T_8000_NNL10AA05B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers,Two Offers,N,MULTIPLE AWARD IDC,2480160.410097737,1926711,1926711,2013-03-01
BOEING,CONT_AWD_NNL08AA35T_8000_NNL08AA16B_8000,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,N,BOA,2433091.022429442,1762895,1762895,2008-03-28
BOEING,CONT_AWD_80LARC21F0100_8000_GS00Q14OADU405_4732,Cost Plus Fixed Fee,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),No Competition (Only One Source Exception),No competition,N,MULTIPLE AWARD IDC,2370469.6968699605,2235627,2235627,2021-04-05
