ParentID,contract_award_unique_key,PricingMechanism,ProductOrServiceCodeText,CompetitionClassification,ClassifyNumberOfOffers,anycommercial,Vehicle,Action_Obligation_OMB25_GDP23,baseandexercisedoptionsvalue,baseandalloptionsvalue,MinOfsigneddate
SPACEX,CONT_AWD_FA881122F0018_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,89900985.8679813,85968232,85968232,2022-05-25
SPACEX,CONT_AWD_FA881123F0014_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,88117440,88117440,88117440,2023-06-14
SPACEX,CONT_AWD_FA881123F0020_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,88117440,88117440,88117440,2023-06-14
SPACEX,CONT_AWD_FA881121F0010_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,86203288.01374137,76951763,76951763,2021-03-09
SPACEX,CONT_AWD_FA881123F0023_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,85963656,85963656,85963656,2023-06-15
SPACEX,CONT_AWD_FA881124F0005_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,81938409.81085229,93158696,93158696,2023-11-02
SPACEX,CONT_AWD_FA881122F0029_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,75823911.38096267,74387823,74387823,2022-08-17
SPACEX,CONT_AWD_80MSFC21CA002_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,48826957.37760064,50450000,50450000,2021-05-03
SPACEX,CONT_AWD_FA881124F0006_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,47571967.60403038,90320376,90320376,2023-11-02
SPACEX,CONT_AWD_FA881124F0007_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,47571967.60403038,90320376,90320376,2023-11-02
SPACEX,CONT_AWD_FA881121F0021_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,45259038.576343164,41869305.5,41869305.5,2021-08-17
SPACEX,CONT_AWD_FA881123F0031_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,39101280,39101280,39101280,2023-07-24
SPACEX,CONT_AWD_FA881124F0003_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,32119208.7953421,82442464,82442464,2023-11-07
SPACEX,CONT_AWD_FA881121F0002_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,25869220.53523824,22693400,22693400,2020-11-06
SPACEX,CONT_AWD_FA881123F0002_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,18200000,18200000,18200000,2022-10-31
SPACEX,CONT_AWD_FA881122F0002_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,18195990.748104192,17400000,17400000,2021-10-27
SPACEX,CONT_AWD_FA881124F0001_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,17726593.798730236,18200000,18200000,2023-10-18
SPACEX,CONT_AWD_NNK13MA08C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D-AERO & SPACE TECH-COMERCLIZ,Full Competition (Multiple Offers),3-4 Offers,N,DCA,12284488.016260656,9569525,9569525,2012-12-06
SPACEX,CONT_AWD_80KSC023FA109_8000_80KSC022DA109_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Competition with single offer,One Offer,Y,MULTIPLE AWARD IDC,12041145.348634511,300000000,300000000,2023-03-29
SPACEX,CONT_AWD_80MSFC21CA019_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),5-9 Offers,N,DCA,10876232.764154421,9740396.61,71305931,2021-09-27
SPACEX,CONT_AWD_FA881114C0003_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,No Competition (Only One Source Exception),No competition,N,DCA,7461445.086507865,5924694,7998869,2014-03-10
SPACEX,CONT_AWD_FA881117C0003_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,No Competition (Only One Source Exception),No competition,N,DCA,6706934.1254384015,5494334.5,5494334.5,2017-06-30
SPACEX,CONT_AWD_N0017303C6021_9700_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: FLIGHT (BASIC RESEARCH),No Competition (Other Exception),No competition,N,DCA,5435975.64003366,0,0,2003-09-26
SPACEX,CONT_AWD_FA881119C0003_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,No Competition (Only One Source Exception),No competition,Y,DCA,4651689.374884986,3990191.67,3990191.67,2019-01-10
SPACEX,CONT_AWD_FA881117C0001_9700_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,No Competition (Only One Source Exception),No competition,N,DCA,4010088.306695338,3285072.75,3285072.75,2017-02-03
SPACEX,CONT_AWD_FA881123F0005_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,3491466,3491466,3491466,2023-01-25
SPACEX,CONT_AWD_80LARC20C0011_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Full Competition (Multiple Offers),25-99 Offers,N,DCA,3182012.9952658294,2774228,2774228,2020-04-30
SPACEX,CONT_AWD_FA881121F0019_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,3055314.757282412,2730686,2730686,2021-05-20
SPACEX,CONT_AWD_FA881123F0010_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2912015,2912015,2912015,2023-04-18
SPACEX,CONT_AWD_FA881123F0004_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2888623,2888623,2888623,2022-12-13
SPACEX,CONT_AWD_FA881123F0008_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2888623,2888623,2888623,2023-02-06
SPACEX,CONT_AWD_FA881123F0037_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2868928,2868928,2868928,2023-08-08
SPACEX,CONT_AWD_FA881122F0015_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2857544.39993245,2732540,2732540,2022-03-28
SPACEX,CONT_AWD_FA881122F0026_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2810575.2616206883,2682532.6016,2682532.6016,2022-08-02
SPACEX,CONT_AWD_FA881122F0025_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2604877.3821961023,2490926,2490926,2022-07-06
SPACEX,CONT_AWD_FA881121F0004_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2132709.473507413,1906108,1906108,2021-03-10
SPACEX,CONT_AWD_FA881123F0036_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2092130.122600594,2101381,2101381,2023-08-03
SPACEX,CONT_AWD_FA881122F0013_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,2055372.0563090872,1965459,1965459,2022-03-18
SPACEX,CONT_AWD_FA881123F0044_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1996731,1996731,1996731,2023-09-14
SPACEX,CONT_AWD_FA881121F0024_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1802140.4556780206,1596609,1596609,2021-09-07
SPACEX,CONT_AWD_FA881122F0004_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1770255.5217386205,1692815,1692815,2022-01-11
SPACEX,CONT_AWD_NNK08LA91B_8000_-NONE-_-NONE-,Firm Fixed Price,SPACE TRANSP & LAUNCH,Competition with single offer,One Offer,Y,DCA,1682786.9826853122,1231937,1231937,2008-04-22
SPACEX,CONT_AWD_FA881123F0025_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1660638,1660638,1660638,2023-06-08
SPACEX,CONT_AWD_FA881121F0027_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1414943.0004724325,1165047.25,1165047.25,2021-08-06
SPACEX,CONT_AWD_FA881121F0022_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,1405124.7933547378,1258679,1258679,2021-06-22
SPACEX,CONT_AWD_80KSC022FA065_8000_80KSC022DA109_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,3-4 Offers,Y,MULTIPLE AWARD IDC,1233980.9817679855,1180000,1180000,2022-08-17
SPACEX,CONT_AWD_FA881121F0003_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,604766.7800174449,540510,540510,2020-11-10
SPACEX,CONT_AWD_FA881122F0020_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,601311.6121893763,575007,575007,2022-05-13
SPACEX,CONT_AWD_FA881123F0032_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,589382,589382,589382,2023-07-24
SPACEX,CONT_AWD_80GRC019C0016_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),10-24 Offers,Y,DCA,584538.0167516317,498535.7,498535.7,2019-04-24
SPACEX,CONT_AWD_NNM11AA15C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Full Competition (Multiple Offers),25-99 Offers,N,DCA,393539.6424687124,294921,294921,2010-11-22
SPACEX,CONT_AWD_FA881123F0026_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,346974,346974,346974,2023-06-26
SPACEX,CONT_AWD_FA881123F0041_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,310250.9688,310250.9688,310250.9688,2023-09-14
SPACEX,CONT_AWD_FA881123F0034_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,249700,249700,249700,2023-07-27
SPACEX,CONT_AWD_FA881122F0007_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,241380.2747395493,230821,230821,2022-03-08
SPACEX,CONT_AWD_FA881121F0013_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,224732.82110568325,200854.8438,200854.8438,2021-06-15
SPACEX,CONT_AWD_NNG09WA07C_8000_-NONE-_-NONE-,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Competition with single offer,One Offer,N,DCA,178355.4458037655,129905.65,129905.65,2009-03-12
SPACEX,CONT_AWD_FA881121F0015_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,143970.99156715826,128674,128674,2021-04-13
SPACEX,CONT_AWD_FA881121F0028_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,79777.3883591864,71301,71301,2021-07-30
SPACEX,CONT_AWD_FA881122F0003_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,78336.8774103727,74910,74910,2022-09-28
SPACEX,CONT_AWD_FA881123F0040_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,76782,76782,76782,2023-08-30
SPACEX,CONT_AWD_0001_9700_FA881813D0003_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,3-4 Offers,N,MULTIPLE AWARD IDC,65418.089189902894,50820,50820,2012-12-04
SPACEX,CONT_AWD_FA881820F0001_9700_FA881820D0001_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,5-9 Offers,Y,MULTIPLE AWARD IDC,57869.53635246914,50000,50000,2019-10-10
SPACEX,CONT_AWD_80JSC020F0044_8000_80JSC020D0013_8000,Firm Fixed Price,R&D- SPACE: FLIGHT (COMMERCIALIZED),Limited Competition with multiple offers,5-9 Offers,Y,MULTIPLE AWARD IDC,28934.76817623457,25000,25000,2019-11-18
SPACEX,CONT_AWD_FA881123F0009_9700_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,19976,19976,19976,2023-03-21
SPACEX,CONT_AWD_80KSC022FA057_8000_80KSC022DA109_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers,3-4 Offers,Y,MULTIPLE AWARD IDC,5077.872013768123,0,0,2022-08-01
SPACEX,CONT_IDV_80JSC020D0013_8000,Firm Fixed Price,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,Y,MULTIPLE AWARD IDC,0,0,2600000000,2019-11-15
SPACEX,CONT_IDV_FA881120D0002_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Full Competition (Multiple Offers),3-4 Offers,N,SINGLE AWARD IDC,0,0,3338974597,2020-08-12
SPACEX,CONT_IDV_FA881813D0003_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,N,MULTIPLE AWARD IDC,0,0,900000000,2012-11-30
SPACEX,CONT_IDV_FA881820D0001_9700,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,Y,MULTIPLE AWARD IDC,0,0,986000000,2019-10-10
SPACEX,CONT_IDV_80KSC022DA109_8000,Firm Fixed Price,SPACE TRANSP & LAUNCH,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,Y,MULTIPLE AWARD IDC,-5228.732973593159,0,0,2022-01-28
