"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"Y1DZ","CONSTRUCTION OF OTHER HOSPITAL BUILDINGS",209140435.62,3337903.45
"AN81","R&D- MEDICAL: AIDS RESEARCH (BASIC RESEARCH)",73835831,130558982
"Q201","MEDICAL- GENERAL HEALTH CARE",69844654.54,130569446.59
"AN12","HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH",0,195810715.65
"Z2DA","REPAIR OR ALTERATION OF HOSPITALS AND INFIRMARIES",164991586.26,26452062.25
"3650","CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY",183335326.59,1884446.87
"AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",174086772.31,0
"7030","INFORMATION TECHNOLOGY SOFTWARE",147327176.84,19771672.93
"M1FD","OPERATION OF DINING FACILITIES",8058697.96,153208265.43
"8415","CLOTHING, SPECIAL PURPOSE",123280643.47,34702905.25
"R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT",89614705.51,64948833.97
"M300","OPER OF GOVT RESTORATION",86410018.96,61160014.87
"N065","INSTALLATION OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",57320990.7,88705010.21
"D304","IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION",111483494.47,26772901.4
"6525","IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",126412738.09,8549069.37
"D305","IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING",107690819.66,20474416.61
"R418","SUPPORT- PROFESSIONAL: LEGAL",104009609.43,23424806.58
"AN13","HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPERIMENTAL DEVELOPMENT",0,126200507.11
"G004","SOCIAL- SOCIAL REHABILITATION",9304624.42,115633119.4
"Z2EC","REPAIR OR ALTERATION OF PRODUCTION BUILDINGS",0,118792790
"D308","IT AND TELECOM- PROGRAMMING",95169174.29,20700862.45
"4240","SAFETY AND RESCUE EQUIPMENT",113665802.38,1205190.28
"D310","IT AND TELECOM- CYBER SECURITY AND DATA BACKUP",106057777.21,0
"AN11","HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH",0,104575909.73
"4220","MARINE LIFESAVING AND DIVING EQUIPMENT",62955637.87,34216945.46
"Q701","SPECIALIZED MEDICAL SUPPORT",12301545.86,83107765.69
"V124","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MARINE CHARTER",52591106.56,36332228.68
"5895","MISCELLANEOUS COMMUNICATION EQUIPMENT",87963823.36,91237.17
"7021","INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER, DIGITAL)",84424767.02,-203394.7
"AR11","SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",0,84109481
"S216","HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT",72250243.43,10803383.09
"P400","SALVAGE- DEMOLITION OF BUILDINGS",39074492.47,39766602.57
"R602","SUPPORT- ADMINISTRATIVE: COURIER/MESSENGER",69750294.34,1916424.45
"Z2JZ","REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS",57566667.9,11778900.69
"V999","TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER",81955418.34,-13135189.56
"6530","HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",64948783.4,3577976.61
"R799","SUPPORT- MANAGEMENT: OTHER",53502654.92,14468707.19
"R699","SUPPORT- ADMINISTRATIVE: OTHER",48115602,15814850.86
"AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",38059810.51,23687019.5
"R430","SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING",20991382.01,40421147.92
"7010","INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION",60381469.36,155625.41
"AZ16","R&D- OTHER RESEARCH AND DEVELOPMENT (MANAGEMENT/SUPPORT)",60144578.64,0
"5410","PREFABRICATED AND PORTABLE BUILDINGS",54844755.33,4390407.99
"AB94","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT)",0,58524286.83
"S215","HOUSEKEEPING- WAREHOUSING/STORAGE",766904.56,57303455.39
"Y1AA","CONSTRUCTION OF OFFICE BUILDINGS",48821235,8593423.03
"Z1DA","MAINTENANCE OF HOSPITALS AND INFIRMARIES",40056292.88,16394743.73
"P500","SALVAGE- DEMOLITION OF STRUCTURES/FACILITIES (OTHER THAN BUILDINGS)",52586000,3516000
"S203","HOUSEKEEPING- FOOD",45954161.97,8814737.3
"7C20","IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,51337897.87
"S206","HOUSEKEEPING- GUARD",21347136.84,28538225.84
"DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)",0,49490690.9
"M1PD","OPERATION OF WASTE TREATMENT AND STORAGE FACILITIES",26170000,22670000
"B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)",4542264.97,44211473.7
"Y1DA","CONSTRUCTION OF HOSPITALS AND INFIRMARIES",34933642.74,13572966.46
"7E20","IT AND TELECOM - END USER: HELP DESK;TIER 1-2, WORKSPACE, PRINT, PRODUCTIVITY TOOL (HW/PERPETUAL SW)",0,48275716.75
"D301","IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE",38059933.9,7926414.52
"1540","GLIDERS",43281550.64,0
"Q403","MEDICAL- EVALUATION/SCREENING",6931875.16,35695103.51
"AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)",37120281.35,4161936
"F999","OTHER ENVIRONMENTAL SERVICES",27217746.3,12737885.53
"7050","INFORMATION TECHNOLOGY COMPONENTS",39086386.91,571508.21
"AJ56","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (MANAGEMENT/SUPPORT)",16419194,21917525
"AJ45","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT)",21952384,15718275
"7045","INFORMATION TECHNOLOGY SUPPLIES",36215271.96,-5622.6
"8340","TENTS AND TARPAULINS",19124267.06,16415669.39
"Y1PZ","CONSTRUCTION OF OTHER NON-BUILDING FACILITIES",34411670.59,489487.8
"AJ12","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",34735806.23,0
"8470","ARMOR, PERSONAL",33836385.5,112929
"8970","COMPOSITE FOOD PACKAGES",32953631.87,244633.22
"5340","HARDWARE, COMMERCIAL",27969309.71,5086969.62
"AN15","HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT",0,31674032
"DC10","IT AND TELECOM - DATA CENTER AS A SERVICE",0,31322642
"AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)",29990333.18,956337
"D302","IT AND TELECOM- SYSTEMS DEVELOPMENT",24409363.44,6439777.6
"V111","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: AIR FREIGHT",4249000,24971116.8
"D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT",25921759.04,3271899.38
"AN41","R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH)",28800854,0
"AJ12","GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH",0,28650266.51
"R707","SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT",18347504.17,9988647.83
"AC61","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)",27317899.43,0
"8820","LIVE ANIMALS, NOT RAISED FOR FOOD",4451661.11,22389995.68
"W023","LEASE OR RENTAL OF EQUIPMENT- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",6198276.27,20139967.9
"6545","REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS",24085521.52,2052642.14
"AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)",23687445.75,1707976.21
"DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE",0,24599785.33
"C1AA","ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS",24026850.75,118020.54
"AJ96","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (MANAGEMENT/SUPPORT)",17696536,6373112
"J070","MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",23038724.7,90462.63
"5805","TELEPHONE AND TELEGRAPH EQUIPMENT",19070355.26,3654781.19
"R405","SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS",21820435.25,712966
"AN91","R&D- MEDICAL: OTHER (BASIC RESEARCH)",21702049.01,629558.28
"7195","MISCELLANEOUS FURNITURE AND FIXTURES",19490728.46,2521192.81
"AN86","R&D- MEDICAL: AIDS RESEARCH (MANAGEMENT/SUPPORT)",1621076,20337803
"7020","INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER, ANALOG)",21940039.24,0
"DF01","IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR)",0,21916859.82
"D307","IT AND TELECOM- IT STRATEGY AND ARCHITECTURE",20074662.05,1694486
"B537","SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH",13262158.33,8503364.4
"AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)",21556416.22,0
"M1PZ","OPERATION OF OTHER NON-BUILDING FACILITIES",21415462,0
"6508","MEDICATED COSMETICS AND TOILETRIES",21309047.3,-6968.52
"4210","FIRE FIGHTING EQUIPMENT",19519636.87,725380.12
"J015","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS",20165732.95,0
"DH01","IT AND TELECOM - PLATFORM SUPPORT SERVICES: DATABASE, MAINFRAME, MIDDLEWARE (LABOR)",0,20022987.6
"Q509","MEDICAL- INTERNAL MEDICINE",11667823.25,7792089.12
"DH10","IT AND TELECOM - PLATFORM AS A SERVICE: DATABASE, MAINFRAME, MIDDLEWARE",0,19313275.89
"H266","EQUIPMENT AND MATERIALS TESTING- INSTRUMENTS AND LABORATORY EQUIPMENT",144193.29,19142164.55
"M1DB","OPERATION OF LABORATORIES AND CLINICS",19140359,0
"8405","OUTERWEAR, MEN'S",18204779.8,745885.73
"7F20","IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,18641744.18
"7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)",0,18199459.82
"7025","INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES",17819161.54,-58352.32
"1820","SPACE VEHICLE COMPONENTS",0,17527937.17
"S299","HOUSEKEEPING- OTHER",14218692.05,3077050.57
"6910","TRAINING AIDS",6770228.93,10472934.02
"J065","MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",14415030.88,2805862.58
"Q101","MEDICAL- DEPENDENT MEDICARE",16905957.8,0
"8465","INDIVIDUAL EQUIPMENT",16393518.89,201119.62
"7510","OFFICE SUPPLIES",9368474.87,7167296.64
"Q402","MEDICAL- NURSING HOME CARE CONTRACTS",8702902.93,7785934.66
"D306","IT AND TELECOM- SYSTEMS ANALYSIS",10550258.63,5248473.25
"Q517","MEDICAL- PHARMACOLOGY",4920724.96,10078438.31
"Y1QA","CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)",2692413.73,12110888.2
"D309","IT AND TELECOM- INFORMATION AND DATA BROADCASTING OR DATA DISTRIBUTION",14492974.46,7291.79
"AN45","HEALTH R&D SERVICES; HEALTH CARE - OTHER; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT",0,14132791.07
"U099","EDUCATION/TRAINING- OTHER",11622238.65,2132563.98
"8145","SPECIALIZED SHIPPING AND STORAGE CONTAINERS",10321145.71,3098801.52
"AN41","HEALTH R&D SERVICES; HEALTH CARE - OTHER; BASIC RESEARCH",0,12985699
"Y1JZ","CONSTRUCTION OF MISCELLANEOUS BUILDINGS",10436587.39,2317876.67
"2355","COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",12516166.26,56188
"U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT",9807078.4,2752333.42
"N066","INSTALLATION OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT",4895.17,12381645
"AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)",5567688.8,6728583
"8940","SPECIAL DIETARY FOODS AND FOOD SPECIALTY PREPARATIONS",9075128.18,3104796.4
"4940","MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT",4282696.24,7682617.8
"8530","PERSONAL TOILETRY ARTICLES",11648397.66,161315.43
"R497","SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS",5695863.32,6000692.67
"Q519","MEDICAL- PSYCHIATRY",11074086.3,290491.5
"D311","IT AND TELECOM- DATA CONVERSION",3301867.1,7761697.68
"R431","SUPPORT- PROFESSIONAL: HUMAN RESOURCES",10494409.07,465560.51
"5411","RIGID WALL SHELTERS",10842399.25,36348.37
"R608","SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING",5088645.45,5777311.4
"C1GZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER WAREHOUSE BUILDINGS",353340,10501556.08
"D321","IT AND TELECOM- HELP DESK",10580516.16,-128135.25
"2330","TRAILERS",9446809.12,574774.62
"R703","SUPPORT- MANAGEMENT: ACCOUNTING",5846344.06,4121030.39
"AN94","R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)",9873778,0
"R708","SUPPORT- MANAGEMENT: PUBLIC RELATIONS",9759559.23,0
"D322","IT AND TELECOM- INTERNET",8606475.42,937124.69
"B510","SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS",2799487.62,6713458.04
"7110","OFFICE FURNITURE",7685437.22,1804985.79
"Q523","MEDICAL- SURGERY",8839640.19,569259.65
"9930","MEMORIALS; CEMETERIAL AND MORTUARY EQUIPMENT AND SUPPLIES",9344204.8,20320.5
"6630","CHEMICAL ANALYSIS INSTRUMENTS",5553482.15,3792167.17
"5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",6382617.49,2864060.86
"Q515","MEDICAL- PATHOLOGY",5299176.6,3908528.28
"Z1AZ","MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",9014089.8,44112.52
"AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)",7932074,1002726
"D324","IT AND TELECOM- BUSINESS CONTINUITY",8577000.52,269007.74
"N060","INSTALLATION OF EQUIPMENT- FIBER OPTICS MATERIALS, COMPONENTS, ASSEMBLIES, AND ACCESSORIES",8784851.86,0
"G007","SOCIAL- GOVERNMENT HEALTH INSURANCE PROGRAMS",2238328,6475107
"Q522","MEDICAL- RADIOLOGY",1820957.07,6794170.9
"Y1DB","CONSTRUCTION OF LABORATORIES AND CLINICS",8107880,288964
"W065","LEASE OR RENTAL OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",4914557.07,3430992.37
"5120","HAND TOOLS, NONEDGED, NONPOWERED",7411990.05,915149.63
"7290","MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES",6925790.43,1242457.78
"AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",7977469.75,0
"U009","EDUCATION/TRAINING- GENERAL",4743623.7,3215062.73
"S209","HOUSEKEEPING- LAUNDRY/DRYCLEANING",8185933.04,-235767.39
"1410","GUIDED MISSILES",1578730.6,6125609.58
"1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",7654268.81,-17802.72
"R704","SUPPORT- MANAGEMENT: AUDITING",5325402.14,2266222.43
"8920","BAKERY AND CEREAL PRODUCTS",7511100.17,20352
"DF10","IT AND TELECOM - IT MANAGEMENT AS A SERVICE",0,7503217.1
"DG11","IT AND TELECOM - NETWORK - TELECOM ACCESS SERVICES",0,7488374.62
"V221","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER AIR CHARTER",7223804.98,123407.4
"8945","FOOD, OILS AND FATS",6503186.99,798228.38
"F108","ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION",8192883.61,-1141037.61
"3620","RUBBER AND PLASTICS WORKING MACHINERY",0,6983000.04
"AC33","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT",0,6908898.98
"D325","IT AND TELECOM- DATA CENTERS AND STORAGE",6874045.82,0
"Z1HB","MAINTENANCE OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES",923181.3,5776795.9
"6520","DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",1992425.62,4550822.27
"7G20","IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,6537507.79
"B524","SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL",1594132.89,4936380.23
"3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",1056592.47,5467749
"S205","HOUSEKEEPING- TRASH/GARBAGE COLLECTION",4374111.06,2146196.14
"AJ53","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)",5564009.64,933434.42
"AC33","R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT)",0,6456391.52
"5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",3093929.76,3258085.69
"D317","IT AND TELECOM- WEB-BASED SUBSCRIPTION",6127773.61,88846.65
"7930","CLEANING AND POLISHING COMPOUNDS AND PREPARATIONS",3842349.52,2286475.24
"7910","FLOOR POLISHERS AND VACUUM CLEANING EQUIPMENT",4054636.42,1833012.6
"8520","TOILET SOAP, SHAVING PREPARATIONS, AND DENTIFRICES",5536793.49,347327.67
"7210","HOUSEHOLD FURNISHINGS",5827229.8,-98856
"AN42","HEALTH R&D SERVICES; HEALTH CARE - OTHER; APPLIED RESEARCH",0,5405933
"Z1JZ","MAINTENANCE OF MISCELLANEOUS BUILDINGS",611962.3,4792002.3
"AN46","R&D- MEDICAL: HEALTH SERVICES (MANAGEMENT/SUPPORT)",5404870,-18117.78
"X1GZ","LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS",5192184.92,98260.66
"8105","BAGS AND SACKS",5238283.17,15902.69
"AN22","HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; APPLIED RESEARCH",0,5155198
"DE10","IT AND TELECOM - END USER AS A SERVICE: HELP DESK; TIER 1-2, WORKSPACE, PRINT, PRODUCTIVITY TOOLS",0,5152263.43
"F020","NATURAL RESOURCES/CONSERVATION- FISHERIES RESOURCES MANAGEMENT",5150690.1,-21911.14
"M1HB","OPERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES",5e+06,102954
"W099","LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS",827953.62,4175252.73
"4120","AIR CONDITIONING EQUIPMENT",4583609.95,406140.75
"C1DA","ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES",3175449.65,1754705.55
"H174","QUALITY CONTROL- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",4895664,0
"5965","HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",4998160.77,-219750.3
"D313","IT AND TELECOM- COMPUTER AIDED DESIGN/COMPUTER AIDED MANUFACTURING (CAD/CAM)",4650104.84,0
"4460","AIR PURIFICATION EQUIPMENT",3905938.97,699753.87
"DD01","IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",0,4577753.33
"B542","SPECIAL STUDIES/ANALYSIS- EDUCATIONAL",4532049,0
"J998","NON-NUCLEAR SHIP REPAIR (EAST)",3626681.67,834819.14
"AN92","R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",4453502.15,0
"2310","PASSENGER MOTOR VEHICLES",3383615.26,1037664.9
"Q521","MEDICAL- PULMONARY",2916350.01,1483181.2
"5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",2866154.34,1516977.85
"R603","SUPPORT- ADMINISTRATIVE: TRANSCRIPTION",0,4208816.2
"Q802","CLERICAL MEDICAL SUPPORT",2166012.56,2019515.63
"7B20","IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",0,4163419.14
"7630","NEWSPAPERS AND PERIODICALS",3674840.01,481323.08
"AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)",4134073,0
"V119","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: OTHER",3618754,414476.35
"2320","TRUCKS AND TRUCK TRACTORS, WHEELED",419528,3558191.04
"R416","SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE",3955965.62,0
"Z1AA","MAINTENANCE OF OFFICE BUILDINGS",1953532.16,1997698.93
"N070","INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",3883478.61,0
"J041","MAINT/REPAIR/REBUILD OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",1463944.97,2409561.09
"V222","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MOTOR CHARTER",3536989.9,311406.67
"R604","SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION",195741.33,3641581.54
"AF16","R&D- EDUCATION: EDUCATIONAL (MANAGEMENT/SUPPORT)",3836000,0
"V121","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: AIR CHARTER",4265902.84,-534088.89
"9330","PLASTICS FABRICATED MATERIALS",3152705.46,553154.81
"Z2QA","REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)",3659180,24495
"W085","LEASE OR RENTAL OF EQUIPMENT- TOILETRIES",3756073.32,-82652.92
"C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER",3148556.23,513948.68
"R611","SUPPORT- ADMINISTRATIVE: CREDIT REPORTING",1703998.17,1935788.24
"V212","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER",2603894.2,926211.03
"B550","SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL",3496813.06,0
"Q526","MEDICAL- MEDICAL/PSYCHIATRIC CONSULTATION",3294446.82,199200
"AJ14","GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D ADMINISTRATIVE EXPENSES",0,3492171
