fiscal_year	fiscal_quarter_YTD	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	anycommercial	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	EntityID	parentid	IsEntityTraditional	SumOfobligatedAmount	SumOfNumberOfActions	NumberOfRecords
1990	NULL	5700	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	149380000.0000	NULL	72
1990	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	4108000.0000	NULL	6
1990	NULL	5700	AC24	Space Systems	1545	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	13658000.0000	NULL	9
1990	NULL	5700	AC25	Space Systems	NULL	NULL	Unlabeled: Competition; Unlabeled Offers	NULL	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-147000.0000	NULL	1
1990	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	11791000.0000	NULL	6
1990	NULL	5700	AR35	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	750000.0000	NULL	1
1991	NULL	1700	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2057000.0000	NULL	4
1991	NULL	2100	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	21250000.0000	NULL	5
1991	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	2900000.0000	NULL	2
1991	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	10904000.0000	NULL	3
1991	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	24525000.0000	NULL	22
1991	NULL	5700	AC23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	199000.0000	NULL	2
1991	NULL	5700	AC23	Space Systems	1543	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1536000.0000	NULL	6
1991	NULL	5700	AC23	Space Systems	1543	NULL	Unlabeled: Competition; Unlabeled Offers	NULL	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-42000.0000	NULL	1
1991	NULL	5700	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	47700000.0000	NULL	10
1991	NULL	5700	AC24	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-1296000.0000	NULL	1
1991	NULL	5700	AC24	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-284000.0000	NULL	1
1991	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2484000.0000	NULL	8
1991	NULL	5700	AC24	Space Systems	1545	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	9179000.0000	NULL	4
1991	NULL	5700	AC24	Space Systems	1545	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	16500000.0000	NULL	1
1991	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	4721000.0000	NULL	2
1991	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	84282000.0000	NULL	9
1992	NULL	1700	AC23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	72000.0000	NULL	1
1992	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	116800000.0000	NULL	11
1992	NULL	5700	1840	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	600000.0000	NULL	1
1992	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	34422000.0000	NULL	2
1992	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	16131330.0000	NULL	10
1992	NULL	5700	AC23	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-31500.0000	NULL	1
1992	NULL	5700	AC23	Space Systems	1545	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-89110.0000	NULL	1
1992	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	3622651.0000	NULL	5
1992	NULL	5700	AC24	Space Systems	1545	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	497481.0000	NULL	3
1992	NULL	5700	AC24	Space Systems	1545	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	4500000.0000	NULL	1
1992	NULL	5700	AC24	Space Systems	1545	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-171865.0000	NULL	1
1992	NULL	5700	AC25	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	287300.0000	NULL	1
1992	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	3340000.0000	NULL	4
1992	NULL	5700	AR22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	195000.0000	NULL	1
1992	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	63998348.0000	NULL	4
1993	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	111471756.0000	NULL	23
1993	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	42133000.0000	NULL	2
1993	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	22429363.0000	NULL	10
1993	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	500000.0000	NULL	1
1993	NULL	5700	AC23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	561937.0000	NULL	5
1993	NULL	5700	AC24	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	-1187308.0000	NULL	1
1993	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1781132.0000	NULL	6
1993	NULL	5700	AC24	Space Systems	1545	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-3100000.0000	NULL	1
1993	NULL	5700	AC24	Space Systems	1545	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-2250000.0000	NULL	1
1993	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1186379.0000	NULL	2
1993	NULL	5700	AR22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	239000.0000	NULL	1
1993	NULL	5700	AR35	Space Systems	1542	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	933476.0000	NULL	2
1993	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	53470829.0000	NULL	9
1994	NULL	1700	AC21	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2634532.0000	2	2
1994	NULL	1700	AC23	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	175738.0000	2	2
1994	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	105445122.0000	18	18
1994	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	27053501.0000	3	3
1994	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	12555042.0000	5	5
1994	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	96321.0000	1	1
1994	NULL	5700	AC23	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	399947.0000	2	2
1994	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1266000.0000	6	6
1994	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-250000.0000	1	1
1994	NULL	5700	AR22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	121360.0000	3	3
1994	NULL	5700	AR35	Space Systems	1542	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	3480169.0000	2	2
1994	NULL	5700	AR94	Space Systems	NULL	NULL	Unlabeled: Competition; Zero Offers	Unlabeled: Competition; Zero Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-8274379.0000	1	1
1994	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	52224465.0000	8	8
1995	NULL	1700	AC22	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	654000.0000	4	4
1995	NULL	1700	AC23	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	370000.0000	2	2
1995	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	103421965.0000	20	20
1995	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	56867576.0000	7	7
1995	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2370000.0000	2	2
1995	NULL	5700	AC23	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-30429.0000	1	1
1995	NULL	5700	AC24	Space Systems	1543	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1052001.0000	1	1
1995	NULL	5700	AR23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	150000.0000	1	1
1995	NULL	5700	AR33	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	5000000.0000	1	1
1995	NULL	5700	AR35	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	459447.0000	1	1
1995	NULL	5700	AR35	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	4284935.0000	2	2
1995	NULL	5700	AR35	Space Systems	1542	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	11270730.0000	4	4
1995	NULL	5700	H118	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	96913.0000	1	1
1995	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	51613315.0000	6	6
1996	NULL	1700	AC22	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	100000.0000	2	2
1996	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	115740847.0000	12	12
1996	NULL	5700	1377	Space Systems	1543	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	65977.0000	1	1
1996	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	16147336.0000	4	4
1996	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2779031.0000	3	3
1996	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	632544.0000	2	2
1996	NULL	5700	AC25	Space Systems	1524	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	245095.0000	1	1
1996	NULL	5700	AR23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	120355.0000	2	2
1996	NULL	5700	AR33	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	25000000.0000	4	4
1996	NULL	5700	AR35	Space Systems	1542	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	375015.0000	3	3
1996	NULL	5700	H118	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	34505348.0000	5	5
1997	NULL	1700	AC21	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1756277.0000	2	2
1997	NULL	1700	AC22	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	369317.0000	4	4
1997	NULL	1700	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	1400000.0000	1	1
1997	NULL	1700	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	533166.0000	1	1
1997	NULL	1700	AC26	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	182949.0000	2	2
1997	NULL	2100	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	5698827.0000	2	2
1997	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	77452031.0000	13	13
1997	NULL	2100	R425	Space Systems	2114	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Large: Big 5 (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	10071083.0000	26	26
1997	NULL	5700	1377	Space Systems	1543	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	2546295.0000	1	1
1997	NULL	5700	1377	Space Systems	1543	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665531	NORTHROP GRUMMAN	NULL	34000.0000	1	1
1997	NULL	5700	1810	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	7396441.0000	12	12
1997	NULL	5700	1810	Space Systems	NULL	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	46008.0000	1	1
1997	NULL	5700	1810	Space Systems	1613	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2941560.0000	4	4
1997	NULL	5700	1810	Space Systems	1613	NULL	Unlabeled: Competition; Zero Offers	Unlabeled: Competition; Zero Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	10912671.0000	8	8
1997	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	5733541.0000	4	4
1997	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	-425095.0000	1	1
1997	NULL	5700	AC21	Space Systems	NULL	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	661735.0000	2	2
1997	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	384000.0000	1	1
1997	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	5-9 Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1600000.0000	7	7
