fiscal_year	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	majorprogramcode	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	informationtechnologycommercialitemcategory	commercialitemacquisitionprocedures	commercialitemtestprogram	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	placeofperformancezipcode	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	IsSiliconValley	majorprogramcode	IsZipTraditionalSiliconValley	EntityText	EntityID	SumOfobligatedAmount	SumOfnumberOfActions
2005	1700	AC65	Electronics, Comms, & Sensors	1843		DCA	No Competition (Unlabeled Exception)	No competition		D	0	UCA	Large: Big 6		USA	FL		USA	CA	NULL		0		NULL	RAYTHEON	668856	151431.0000	1
2005	1700	R425	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	UCA	Large: Big 6		USA	VA		USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	1343873.0000	3
2005	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers		D	0	Other CB	Large		USA	CA		USA	VA	NULL		NULL		NULL	CACI	684093	3526804.0000	4
2005	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers		D	0	Other CB	Medium <1B		USA	CA		USA	VA	NULL		NULL		NULL	JJMA HOLDINGS	656853	292185.0000	3
2005	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	0.0000	2
2005	2100	C111	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	10-24 Offers		D	0	FFP	Small		USA	TN		USA	TN	NULL		NULL		NULL	185991700	406270	-2990.0000	1
2005	5700	R425	Electronics, Comms, & Sensors	1843		PO	No Competition (Unlabeled Exception)	No competition		A	0	FFP	Medium <1B		USA	SD		USA	SD	NULL		NULL		NULL	929538999	639934	5000.0000	1
2006	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA		USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	16463986.0000	3
2006	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	FFP	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	20849891.0000	8
2006	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	41684096.0000	9
2006	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438902	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	2151039.0000	1
2006	1700	AC65	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	3768134.0000	2
2006	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers		D	0	Other CB	Large		USA	CA		USA	VA	NULL		NULL		NULL	CACI	684093	339304.0000	1
2006	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers		D	0	Other CB	Medium <1B		USA	CA		USA	VA	NULL		NULL		NULL	JJMA HOLDINGS	656853	-132.0000	1
2006	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	A	NULL		NULL	CACI	684093	1733289.0000	2
2006	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	0.0000	1
2006	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Medium <1B		USA	CA	930434307	USA	VA	USA	A	NULL		NULL	JJMA HOLDINGS	656853	154399.0000	1
2006	2100	5820	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Full Competition (Multiple Offers)	25-99 Offers		D	1	FFP	Large (Small Subsidiary)		USA	GA		USA	GA	NULL		NULL		NULL	ROCKWELL COLLINS	669508	1013318.0000	1
2007	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	NULL	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	-50000.0000	2
2007	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	19590364.0000	13
2007	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	NULL	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	3356887.0000	2
2007	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	0.0000	1
2007	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6 (Small Subsidiary)		USA	MD	207072919	USA	MD	USA	D	0		NULL	RAYTHEON	668856	5000000.0000	2
2007	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6 (Small Subsidiary)		USA	MD	207592522	USA	MD	USA	D	0		NULL	RAYTHEON	668856	2391408.0000	1
2007	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	A	NULL		NULL	CACI	684093	1905767.0000	9
2007	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Medium <1B		USA	CA	930434307	USA	VA	USA	A	NULL		NULL	JJMA HOLDINGS	656853	149670.0000	1
2007	1700	X112	Electronics, Comms, & Sensors	1843		PO	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	NC	283119243	USA	NC	USA	D	NULL		NULL	614857840	521219	4400.0000	1
2008	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	NULL	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	2112622.0000	5
2008	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	1756740.0000	1
2008	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	4744642.0000	5
2008	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337781635	USA	FL	USA	D	0		NULL	RAYTHEON	668856	29437812.0000	1
2008	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2008	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	2755502.0000	4
2008	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	1530127.8281	6
2008	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Medium <1B		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	JJMA HOLDINGS	656853	154371.0000	1
2008	1700	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	DC	203767000	USA	KS	USA	C	NULL		NULL	795166156	555022	257569.5625	1
2008	1700	T010	Electronics, Comms, & Sensors	1843		PO	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	WI	531897515	USA	WI	USA	C	NULL		NULL	794943027	553271	3416.3000	1
2009	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	NULL	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	5618051.0000	2
2009	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	627737.0000	1
2009	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	NJ	080573054	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	5678149.0000	8
2009	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	574584.0000	1
2009	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer		D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	25807278.0000	4
2009	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	2712056.0000	3
2009	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337771255	USA	FL	USA	D	0		NULL	RAYTHEON	668856	4052000.0000	1
2009	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large		USA	FL	337011785	USA	CA	USA	D	NULL		NULL	SAIC	669996	5556809.0000	3
2009	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337104628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	318094.0000	4
2009	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Incentive	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	4461158.0000	1
2009	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6 (Small Subsidiary)		USA	MD	207592522	USA	MD	USA	D	0		NULL	RAYTHEON	668856	14100000.0000	5
2009	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	10-24 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	1682138.0000	5
2009	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	1002303.3281	5
2009	1700	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	DC	203745074	USA	KS	USA	C	NULL		NULL	795166156	555022	256822.6875	1
2009	1700	T010	Electronics, Comms, & Sensors	1843		PO	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	WI	531897515	USA	WI	USA	D	NULL		NULL	794943027	553271	1.8000	1
2010	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	NJ	080573054	USA	VA	USA		0		NULL	GENERAL DYNAMICS	649342	4535768.0000	5
2010	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	NJ	080573054	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	11465531.0000	4
2010	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer		D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	0.0000	1
2010	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	57380401.0000	13
2010	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large		USA	FL	337011785	USA	CA	USA	D	NULL		NULL	SAIC	669996	55834.9883	2
2010	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	6268806.0000	3
2010	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer		D	0	FFP	Large: Big 6 (Small Subsidiary)		USA	MD	207592522	USA	MD	USA	D	0		NULL	RAYTHEON	668856	2603821.0000	1
2010	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6 (Small Subsidiary)		USA	MD	207592522	USA	MD	USA	D	0		NULL	RAYTHEON	668856	14100000.0000	2
2010	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	181412.0000	3
2010	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	0.0000	1
2010	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	-132034.0000	9
2010	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	1881000.0000	9
2010	1700	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	DC	203745074	USA	KS	USA	C	NULL		NULL	795166156	555022	0.0000	1
2011	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	NJ	080573054	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	3065150.0000	8
2011	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	55636900.0000	7
2011	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large		USA	FL	337011785	USA	CA	USA	D	NULL		NULL	SAIC	669996	0.0000	3
2011	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	1175000.0000	2
2011	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	875028.0000	2
2011	1700	AC61	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6 (Small Subsidiary)		USA	MD	207592522	USA	MD	USA	D	0		NULL	RAYTHEON	668856	5120000.0000	4
2011	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	1330130.0000	1
2011	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	214339.0000	5
2011	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	CACI	684093	-12154.8000	2
2011	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	1971208.0000	18
2011	1700	R699	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	A	0	FFP	Small		USA	DC	203745074	USA	KS	USA	C	NULL		NULL	795166156	555022	269300.1875	1
2012	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	NJ	080573054	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	0.0000	1
2012	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	154071.0000	1
2012	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large: Big 6		USA	FL	337105628	USA	FL	USA	D	0		NULL	RAYTHEON	668856	10851012.0000	8
2012	1700	1265	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Large		USA	FL	337011785	USA	CA	USA	D	NULL		NULL	SAIC	669996	2335858.0000	1
2012	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	D	0		NULL	GENERAL DYNAMICS	649342	7380328.0000	9
2012	1700	1265	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438902	USA	PA	USA	D	NULL		NULL	121724546	246240	13765500.0000	2
2012	1700	1265	Electronics, Comms, & Sensors	1843	CEC	DCA	Full Competition (Multiple Offers)	3-4 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	PA	175438477	USA	PA	USA	D	NULL	CEC	NULL	121724546	246240	0.0000	2
2012	1700	3590	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	FL	337771230	USA	FL	USA	D	0		NULL	RAYTHEON	668856	16404156.0000	1
2012	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	2195507.0000	3
2012	1700	AD24	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	Z: NOT IT PRODUCTS OR SERVICES	D	0	UCA	Large: Big 6		USA	VA	220333865	USA	VA	USA	C	0		NULL	GENERAL DYNAMICS	649342	3532755.0000	5
2012	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z: NOT IT PRODUCTS OR SERVICES	D	0	FFP	Small		USA	CA	930434307	USA	VA	USA	C	NULL		NULL	969868082	674028	189127.0000	5
2012	1700	R425	Electronics, Comms, & Sensors	1843		MULTIPLE AWARD IDC	Limited Competition with multiple offers	5-9 Offers	Z: NOT IT PRODUCTS OR SERVICES	D	0	Other CB	Small	X	USA	CA	930434307	USA	CA	USA	C	NULL		NULL	141934278	321322	1976250.0000	18
