"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","ContractBaseAndAllOptionsValue","n_CBre","IsParentCSIScontractID","p_ChangeOrderCeilingGrowth","qGrowth","Why_Outlier","n_CBre_test","p_CBre_test","qp_CBre"
19005830,368017.2422,0,0,2012-02-29,2011-12-30,2012-03-29,2012-01-01,1,2012,"1700","N40080","3590","561210","1700","Defense","Navy",62,"[~2 months,~7 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",40721.6016,40721.6016,40721.6016,2012-02-29,2012-02-29,NA,TRUE,14434412736,1,109601168,"   2",354465.742231514,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",368017.2422,NA,NA,2,1,1,NA,0,1,1,368017.2422,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,14434412736,0,760231824,0,0,0,15194685281.6016,14434412737,NA,354466.742206957,"[10.00,  Inf]",">=$250M, Inspect",14434412736,354465.742231514,"[      10,20440194]"
3413634,29021.7293,0,0,2010-10-20,2010-10-06,2010-10-25,2010-10-06,1,2011,"1700","N49400","J998","336611","1700","Defense","Navy",3,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",2311.2,2311.2,2311.2,2010-10-08,2010-10-08,NA,TRUE,26710.5293,0,0,"   1",11.5569960626514,"Ceiling Breach","[ 0.150,   Inf]","BHR","BHR","Any International","Ships & Submarines","Ships & Submarines","ERS","ERS","Services","Services",NA,29021.7293,NA,1,0,0,0,1,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Urgency Except.","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,26710.5293,0,0,0,0,0,29021.7293,26711.5293,NA,12.5565633869851,"[10.00,  Inf]","Obligations at least half Orig+CRai",26710.5293,11.5569960626514,"[      10,20440194]"
28225249,21522.01,0,0,2014-09-30,2013-10-28,2013-12-02,2013-10-28,1,2014,"2100","W91QVN","S201","561720","2100","Defense","Army",4,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1046.22,1793.5,1793.5,2013-10-31,2013-10-31,NA,TRUE,19728.51,0,0,"   2",11.00000557569,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,21522.01,NA,9,1,1,NA,0,1,1,21522.01,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,2,19728.51,0,0,0,0,0,21522.01,19729.51,NA,11.9994480066908,"[10.00,  Inf]","Obligations at least half Orig+CRai",19728.51,11.00000557569,"[      10,20440194]"
25875326,46792.3,0,0,2014-07-28,2013-03-07,2014-01-08,2013-03-07,1,2013,"1700","N40085","J045","238220","1700","Defense","Navy",207.958333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",4056.91,4056.91,4056.91,2013-09-30,2013-09-30,NA,TRUE,42735.39,1,0,"   1",10.5339753654875,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","ERS","ERS","Services","Services",NA,46792.3,NA,2,0,1,NA,0,0,1,46792.3,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,42735.39,0,0,0,0,0,46792.3,42736.39,NA,11.533728872467,"[10.00,  Inf]","Obligations at least half Orig+CRai",42735.39,10.5339753654875,"[      10,20440194]"
24743386,3510765.6887,0,0,2015-03-31,2010-11-17,2013-03-22,2010-11-17,1,2011,"2100","W9128F","Z300","562910","2100","Defense","Army",365,"[~7 months-~1 year]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",1e+05,1e+05,1e+05,2011-11-16,2011-11-16,NA,TRUE,1041851,7,2392049.1594,"   1",10.41851,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3510765.6887,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Cost-Based","Fixed Fee",0,0,"Not UCA",1,1041851,0,2368914.6887,0,0,0,3510765.6887,1041852,NA,11.4185,"[10.00,  Inf]","Obligations at least half Orig+CRai",1041851,10.41851,"[      10,20440194]"
19011190,545940.54,0,0,2010-05-31,2009-04-20,2010-05-13,2009-04-20,1,2009,"1700","N40080","Z199","236220","1700","Defense","Navy",26,"[0 months,~2 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",41510,41510,41510,2009-05-15,2009-05-15,NA,TRUE,488900,3,15530.54,"[   3,3316]",11.7778848470248,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,545940.54,NA,20,0,1,NA,0,0,1,545940.54,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",6,5e+05,-11100,2399.54,0,0,13131,545940.54,500001,NA,13.0452662009154,"[10.00,  Inf]","Obligations at least half Orig+CRai",488900,11.7778848470248,"[      10,20440194]"
19163277,15975,0,0,2008-12-12,2008-08-06,2008-12-03,2008-08-01,1,2008,"1700","N40085","Z299","562910","1700","Defense","Navy",87,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,2008-10-31,2008-10-31,NA,TRUE,15975,0,0,"   1",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,15975,NA,5,0,1,NA,0,0,1,15975,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,15975,0,0,0,0,0,15975,15976,NA,Inf,"[10.00,  Inf]","No Unmodified Ceiling",15975,NA,NA
24841938,196270.1699,0,0,2011-09-30,2010-10-29,2011-05-25,2010-10-01,1,2011,"2100","W912K6","8970","722310","2100","Defense","Army",337,"[~7 months-~1 year]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",8000,8000,8000,2011-09-30,2011-09-30,NA,TRUE,99000,0,0,"[   3,3316]",12.375,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other Products","Other Products","Clothing & Subsistence","Clothing & Subsistence","Products","Products",196270.1699,NA,NA,1,1,1,NA,0,1,1,196270.1699,NA,NA,"IDV","1","Comp.","1 Offer","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",4,149000,-50000,115000,-25729.8301,0,0,196270.1699,149001,NA,19.624875,"[10.00,  Inf]","Obligations at least half Orig+CRai",99000,12.375,"[      10,20440194]"
25245228,41779,0,0,2014-06-05,2013-09-09,2014-01-06,2013-09-09,1,2013,"1700","N00383","5895","334210","1700","Defense","Navy",NA,NA,"[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,NA,NA,NA,TRUE,145779,3,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Electronics, Comms, & Sensors",NA,"Electronics & Communications",NA,"Products",NA,41779,NA,NA,1,NA,0,NA,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,2,145779,0,43996,0,0,0,189775,145780,NA,Inf,"[10.00,  Inf]","No Unmodified Ceiling",145779,NA,NA
25225113,102468.7,0,0,2013-05-28,2012-09-25,2013-03-07,2012-09-25,1,2012,"1700","N00104","5895","334418","1700","Defense","Navy",182,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1400,1400,1400,2013-03-25,2013-03-25,NA,TRUE,101068.7,0,0,"   1",72.1919285714286,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Electronics & Communications","Electronics & Communications","Products","Products",102468.7,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,101068.7,0,0,0,0,0,102468.7,101069.7,NA,73.1912142857143,"[10.00,  Inf]","Obligations at least half Orig+CRai",101068.7,72.1919285714286,"[      10,20440194]"
24504776,3989307.41,0,0,2012-09-30,2011-08-02,2012-09-28,2011-08-02,1,2011,"2100","W15P7T","R425","541712","2100","Defense","Army",60,"[0 months,~2 months)","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",1e+05,1e+05,1e+05,2011-09-30,2011-09-30,NA,TRUE,5140974,1,14440,"   1",51.40974,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other R&D and Knowledge Based","Other R&D and Knowledge Based","PAMS","PAMS","Services","Services",NA,3989307.41,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Cost-Based","Award Fee",0,0,"Not UCA",1,5140974,0,14440,-1266106.59,0,0,3989307.41,3889308.41,NA,52.40973,"[10.00,  Inf]","Obligations at least half Orig+CRai",3889307.41,38.8930741,"[      10,20440194]"
7887325,0,0,0,2008-10-06,2008-08-15,2008-08-15,2008-08-15,1,2008,"2100","W22G1F","5510","423210","2100","Defense","Army",40,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,2008-09-23,2008-09-23,NA,TRUE,8684,0,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",0,NA,NA,1,0,1,1,0,0,1,0,1,0,"def_detail/Pur","1","Comp.","1 Offer","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,8684,0,0,0,0,0,8684,8685,NA,Inf,"[10.00,  Inf]","No Unmodified Ceiling",8684,NA,NA
24802412,350184.3298,0,0,2013-09-30,2012-09-25,2013-02-26,2012-09-13,1,2012,"2100","W91237","C211","541330","2100","Defense","Army",37,"[0 months,~2 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",28801.8398,28801.8398,28801.8398,2012-10-31,2012-10-31,NA,TRUE,321382.49,0,0,"[   3,3316]",11.1584014157318,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","PAMS","PAMS","Services","Services",NA,350184.3298,NA,4,1,1,NA,0,1,1,350184.3298,NA,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,3,321382.49,0,0,0,0,0,350184.3298,321383.49,NA,12.1583666957275,"[10.00,  Inf]","Obligations at least half Orig+CRai",321382.49,11.1584014157318,"[      10,20440194]"
62236741,86870,0,1,2016-05-09,2015-02-04,2015-09-16,2015-02-04,1,2015,"1700","N00104","4320","333911","1700","Defense","Navy",282,"[~7 months-~1 year]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",5250,5250,5250,2015-11-12,2015-11-12,NA,TRUE,85120,0,0,"   1",16.2133333333333,"Ceiling Breach","[ 0.150,   Inf]","CAN","CAN","Any International","Ships & Submarines","Ships & Submarines","Other","Other","Products","Products",86870,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,85120,0,0,0,-3500,0,86870,85121,NA,17.2131428571429,"[10.00,  Inf]","Obligations at least half Orig+CRai",85120,16.2133333333333,"[      10,20440194]"
8341497,18221646.2694,1,0,2015-09-30,2009-04-23,2015-03-17,2009-04-23,1,2009,"2100","W912GB","Y163","541310","2100","Defense","Army",1348.04166666667,"(~2 years+]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",159159.7031,159159.7031,159159.7031,2012-12-30,2012-12-30,NA,TRUE,18314521.0063,1,157990.59,"[   3,3316]",115.070087777137,"Ceiling Breach","[ 0.150,   Inf]","DEU","DEU","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,18221646.2694,NA,2,1,1,NA,0,1,1,18221646.2694,NA,NA,"def_detail/Pur","2","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",9,18314521.0063,0,157990.59,0,-293936.65,0,18337734.6494,18314522.0063,NA,116.070081494139,"[10.00,  Inf]","Obligations at least half Orig+CRai",18314521.0063,115.070087777137,"[      10,20440194]"
19397145,6014.68,0,0,2012-02-17,2012-02-10,2012-02-15,2012-02-10,1,2012,"1700","N68171","J998","336611","1700","Defense","Navy",7,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",474.7,474.7,474.7,2012-02-16,2012-02-16,NA,TRUE,5539.98,0,0,"   1",11.6704866231304,"Ceiling Breach","[ 0.150,   Inf]","ITA","ITA","Any International","Ships & Submarines","Ships & Submarines","ERS","ERS","Services","Services",NA,6014.68,NA,25,1,1,NA,0,1,1,6014.68,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,5539.98,0,0,0,0,0,6014.68,5540.98,NA,12.6683800294923,"[10.00,  Inf]","Obligations at least half Orig+CRai",5539.98,11.6704866231304,"[      10,20440194]"
3022256,13373,0,0,2011-02-04,2010-02-24,2010-08-19,2010-02-24,1,2010,"1700","N00104","4130","333415","1700","Defense","Navy",210.958333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1024,1024,1024,2010-09-22,2010-09-22,NA,TRUE,12349,0,0,"   1",12.0595703125,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Other","Other","Products","Products",13373,NA,NA,1,0,0,1,0,0,0,NA,1,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,12349,0,0,0,0,0,13373,12350,NA,13.05859375,"[10.00,  Inf]","Obligations at least half Orig+CRai",12349,12.0595703125,"[      10,20440194]"
60905466,93324,0,0,2016-03-02,2015-04-17,2015-05-05,2015-04-17,1,2015,"97AS","SP4500","S222","562211","97AS","Defense","DLA",322.041666666667,"[~7 months-~1 year]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",2790,2790,2790,2016-03-03,2016-03-03,NA,TRUE,90534,0,0,"   1",32.4494623655914,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,93324,NA,5,0,1,NA,0,0,1,93324,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,90534,0,0,0,0,0,93324,90535,NA,33.4491039426523,"[10.00,  Inf]","Obligations at least half Orig+CRai",90534,32.4494623655914,"[      10,20440194]"
