"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Product or Service Code","Product or Service Description","Base and All Options Value (Total Contract Value)"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$31,375.23"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$198,000.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$82,434,222.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$55,659,211.04"
"2013","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$2,337,928.00"
"2013","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","($860,987.00)"
"2013","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$2,800,649.00"
"2013","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$936,798.00"
"2013","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$615,535.63"
"2014","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$0.00"
"2014","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$15,316,416.00"
"2014","2100","DEPT OF THE ARMY","1550","UNMANNED AIRCRAFT","($9,356,382.00)"
"2014","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,136,000.00"
"2014","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$838,122,129.15"
"2014","2100","DEPT OF THE ARMY","AD14","R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT)","$0.00"
"2014","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$720,508,292.70"
"2014","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$100,000,000.00"
"2014","2100","DEPT OF THE ARMY","AZ17","R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)","$0.00"
"2014","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$579,522.00"
"2014","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2014","7001","OFFICE OF PROCUREMENT OPERATIONS","6120","TRANSFORMERS: DISTRIBUTION AND POWER STATION","$0.00"
"2014","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$3,550,000.00"
"2014","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$1,466,407.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($971,580.24)"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$12,881.16"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$1,500,000.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","C119","OTHER BUILDINGS","$0.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$2,415,249.29"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($2,946,618.11)"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","$0.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","($2,201,280.42)"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($352,713.92)"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","$4,501,909.40"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$723,924.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$76,065,715.39"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$9,974,180.57"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$325,578.29"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$43,134,679.49"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","$7,387,789.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT","$0.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","X125","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$4,815.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BZ","LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES","$139,462.27"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$622,456.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$20,075,131.00"
"2014","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$0.00"
"2014","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$40,093,276.00"
"2014","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$11,783,559.00"
"2014","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$29,145,066.00"
"2014","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$762,556.00"
"2014","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD96","R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT)","$999,995.00"
"2014","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$557,172.00"
"2015","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$0.00"
"2015","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$0.00"
"2015","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,118,000.00"
"2015","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$254,824,114.55"
"2015","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$85,551,936.62"
"2015","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$4,264,841.98"
"2015","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$1,300,219,976.00"
"2015","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$5,250,000.00"
"2015","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$984,873.00"
"2015","7001","OFFICE OF PROCUREMENT OPERATIONS","6120","TRANSFORMERS: DISTRIBUTION AND POWER STATION","$0.00"
"2015","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$5,397,575.00"
"2015","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2015","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$125,000,000.00"
"2015","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","$3,003,383.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$3,834,000.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$787,391.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","AS31","R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH)","$749,485.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$1,500,000.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","C119","OTHER BUILDINGS","$0.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$20,589,325.49"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($5,963,340.03)"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","$0.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","($8,834,559.36)"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","J058","MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","$0.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$77,016.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","($54,065.53)"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$1,226,856.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$212,018,461.62"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$17,358,092.81"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$1,076,000.49"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$46,519,856.82"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","$7,537,956.04"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1LZ","LEASE/RENTAL OF PARKING FACILITIES","$2,614,467.00"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$5,089,827.03"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$573,018.35"
"2015","7013","TRANSPORTATION SECURITY ADMINISTRATION","Z2BE","REPAIR OR ALTERATION OF AIRPORT TERMINALS","$60,236,311.00"
"2015","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2015","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$16,522,829.00"
"2015","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$59,131,988.00"
"2015","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$16,241,843.00"
"2015","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$2,726,441.00"
"2015","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD96","R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT)","$499,989.00"
"2015","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","1310","AMMUNITION, OVER 30MM UP TO 75MM","$859,295.89"
"2015","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$0.00"
"2016","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$359,000.00"
"2016","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$0.00"
"2016","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,772,800.00"
"2016","2100","DEPT OF THE ARMY","AC41","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)","$700,000,000.00"
"2016","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$98,568,705.86"
