"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","p_CBre","Why_Outlier","p_ChangeOrderCeilingGrowth"
60444514,312.14,0,0,2015-12-02,2015-01-16,2015-01-20,2015-01-16,1,2015,"97AS","SP4520","S222","562211","97AS","Defense","DLA",NA,NA,"[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,NA,NA,NA,TRUE,312.14,0,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","GBR","GBR","Any International","Facilities and Construction",NA,"FRS&C",NA,"Services",NA,NA,312.14,NA,6,NA,1,NA,0,1,1,312.14,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,312.14,0,0,0,0,0,Inf,"No Unmodified Ceiling",Inf
18782346,26802,0,0,2009-09-12,2009-05-11,2009-08-18,2009-05-11,1,2009,"1700","N00164","5999","334220","1700","Defense","Navy",10,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1400,1400,1400,2009-05-20,2009-05-20,NA,TRUE,25402,0,0,"   1",18.1442857142857,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Electronics & Communications","Electronics & Communications","Products","Products",26802,NA,NA,1,1,1,NA,0,1,1,26802,NA,NA,"IDV","1","Comp.","1 Offer","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,25402,0,0,0,0,0,19.1435714285714,"Obligations at least half Orig+CRai",19.1435714285714
19005830,368017.2422,0,0,2012-02-29,2011-12-30,2012-03-29,2012-01-01,1,2012,"1700","N40080","3590","561210","1700","Defense","Navy",62,"[~2 months,~7 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",40721.6016,40721.6016,40721.6016,2012-02-29,2012-02-29,NA,TRUE,14434412736,1,109601168,"   2",354465.742231514,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",368017.2422,NA,NA,2,1,1,NA,0,1,1,368017.2422,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,14434412736,0,760231824,0,0,0,354466.742206957,">=$250M, Insepect",354466.742206957
3413634,29021.7293,0,0,2010-10-20,2010-10-06,2010-10-25,2010-10-06,1,2011,"1700","N49400","J998","336611","1700","Defense","Navy",3,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",2311.2,2311.2,2311.2,2010-10-08,2010-10-08,NA,TRUE,26710.5293,0,0,"   1",11.5569960626514,"Ceiling Breach","[ 0.150,   Inf]","BHR","BHR","Any International","Ships & Submarines","Ships & Submarines","ERS","ERS","Services","Services",NA,29021.7293,NA,1,0,0,0,1,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Urgency Except.","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,26710.5293,0,0,0,0,0,12.5565633869851,"Obligations at least half Orig+CRai",12.5565633869851
28225249,21522.01,0,0,2014-09-30,2013-10-28,2013-12-02,2013-10-28,1,2014,"2100","W91QVN","S201","561720","2100","Defense","Army",4,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1046.22,1793.5,1793.5,2013-10-31,2013-10-31,NA,TRUE,19728.51,0,0,"   2",11.00000557569,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,21522.01,NA,9,1,1,NA,0,1,1,21522.01,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,2,19728.51,0,0,0,0,0,11.9994480066908,"Obligations at least half Orig+CRai",11.9994480066908
25875326,46792.3,0,0,2014-07-28,2013-03-07,2014-01-08,2013-03-07,1,2013,"1700","N40085","J045","238220","1700","Defense","Navy",207.958333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",4056.91,4056.91,4056.91,2013-09-30,2013-09-30,NA,TRUE,42735.39,1,0,"   1",10.5339753654875,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","ERS","ERS","Services","Services",NA,46792.3,NA,2,0,1,NA,0,0,1,46792.3,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,42735.39,0,0,0,0,0,11.533728872467,"Obligations at least half Orig+CRai",11.533728872467
24743386,3510765.6887,0,0,2015-03-31,2010-11-17,2013-03-22,2010-11-17,1,2011,"2100","W9128F","Z300","562910","2100","Defense","Army",365,"[~7 months-~1 year]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",1e+05,1e+05,1e+05,2011-11-16,2011-11-16,NA,TRUE,1041851,7,2392049.1594,"   1",10.41851,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3510765.6887,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Cost-Based","Fixed Fee",0,0,"Not UCA",1,1041851,0,2368914.6887,0,0,0,11.4185,"Obligations at least half Orig+CRai",11.4185
19011190,545940.54,0,0,2010-05-31,2009-04-20,2010-05-13,2009-04-20,1,2009,"1700","N40080","Z199","236220","1700","Defense","Navy",26,"[0 months,~2 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",41510,41510,41510,2009-05-15,2009-05-15,NA,TRUE,488900,3,15530.54,"[   3,3316]",11.7778848470248,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,545940.54,NA,20,0,1,NA,0,0,1,545940.54,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",6,5e+05,-11100,2399.54,0,0,13131,13.0452662009154,"Obligations at least half Orig+CRai",13.0452662009154
17005211,765636.96,1,0,2007-10-12,2007-02-26,2007-08-29,2007-02-23,1,2007,"2100","W912DR","7110","337214","2100","Defense","Army",74.9583333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",3685,3685,3685,2007-05-11,2007-05-11,NA,TRUE,764572,0,0,"[   3,3316]",207.482225237449,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",765636.96,NA,NA,1,0,1,0,0,0,1,765636.96,0,NA,"IDV","1","Comp.","1 Offer","Not Urgency","FSS/GWAC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",4,764572,0,4437,0,-7057.04,0,208.481953867028,"Obligations at least half Orig+CRai",208.481953867028
66059349,33200,0,0,2016-05-27,2016-01-14,2016-04-13,2016-01-14,1,2016,"1700","N00104","5895","334290","1700","Defense","Navy",102.958333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",2000,2000,2000,2016-04-25,2016-04-25,NA,TRUE,31200,0,0,"   1",15.6,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Electronics & Communications","Electronics & Communications","Products","Products",33200,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,31200,0,0,0,0,0,16.5995,"Obligations at least half Orig+CRai",16.5995
19163277,15975,0,0,2008-12-12,2008-08-06,2008-12-03,2008-08-01,1,2008,"1700","N40085","Z299","562910","1700","Defense","Navy",87,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,2008-10-31,2008-10-31,NA,TRUE,15975,0,0,"   1",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,15975,NA,5,0,1,NA,0,0,1,15975,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,15975,0,0,0,0,0,Inf,"No Unmodified Ceiling",Inf
24841938,196270.1699,0,0,2011-09-30,2010-10-29,2011-05-25,2010-10-01,1,2011,"2100","W912K6","8970","722310","2100","Defense","Army",337,"[~7 months-~1 year]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",8000,8000,8000,2011-09-30,2011-09-30,NA,TRUE,99000,0,0,"[   3,3316]",12.375,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other Products","Other Products","Clothing & Subsistence","Clothing & Subsistence","Products","Products",196270.1699,NA,NA,1,1,1,NA,0,1,1,196270.1699,NA,NA,"IDV","1","Comp.","1 Offer","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",4,149000,-50000,115000,-25729.8301,0,0,19.624875,"Obligations at least half Orig+CRai",19.624875
25245228,41779,0,0,2014-06-05,2013-09-09,2014-01-06,2013-09-09,1,2013,"1700","N00383","5895","334210","1700","Defense","Navy",NA,NA,"[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,NA,NA,NA,TRUE,145779,3,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Electronics, Comms, & Sensors",NA,"Electronics & Communications",NA,"Products",NA,41779,NA,NA,1,NA,0,NA,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,2,145779,0,43996,0,0,0,Inf,"No Unmodified Ceiling",Inf
25225113,102468.7,0,0,2013-05-28,2012-09-25,2013-03-07,2012-09-25,1,2012,"1700","N00104","5895","334418","1700","Defense","Navy",182,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1400,1400,1400,2013-03-25,2013-03-25,NA,TRUE,101068.7,0,0,"   1",72.1919285714286,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Electronics & Communications","Electronics & Communications","Products","Products",102468.7,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,101068.7,0,0,0,0,0,73.1912142857143,"Obligations at least half Orig+CRai",73.1912142857143
24504776,3989307.41,0,0,2012-09-30,2011-08-02,2012-09-28,2011-08-02,1,2011,"2100","W15P7T","R425","541712","2100","Defense","Army",60,"[0 months,~2 months)","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",1e+05,1e+05,1e+05,2011-09-30,2011-09-30,NA,TRUE,5140974,1,14440,"   1",51.40974,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other R&D and Knowledge Based","Other R&D and Knowledge Based","PAMS","PAMS","Services","Services",NA,3989307.41,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Cost-Based","Award Fee",0,0,"Not UCA",1,5140974,0,14440,-1266106.59,0,0,52.40973,"Obligations at least half Orig+CRai",52.40973
7887325,0,0,0,2008-10-06,2008-08-15,2008-08-15,2008-08-15,1,2008,"2100","W22G1F","5510","423210","2100","Defense","Army",40,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,2008-09-23,2008-09-23,NA,TRUE,8684,0,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",0,NA,NA,1,0,1,1,0,0,1,0,1,0,"def_detail/Pur","1","Comp.","1 Offer","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,8684,0,0,0,0,0,Inf,"No Unmodified Ceiling",Inf
8352217,225713,0,0,2010-09-30,2007-03-09,2009-09-23,2007-03-09,1,2007,"2100","W912HZ","AZ12","541710","2100","Defense","Army",205.958333333333,"[~2 months,~7 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",18000,18000,18000,2007-09-30,2007-09-30,NA,TRUE,202200,1,5513,"[   3,3316]",11.2333333333333,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other R&D and Knowledge Based","Other R&D and Knowledge Based","R&D","R&D","R&D","R&D",NA,NA,225713,1,1,1,NA,0,1,1,225713,NA,NA,"def_detail/Pur","1","Comp.","1 Offer","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",6,202200,0,5513,0,0,0,12.2332777777778,"Obligations at least half Orig+CRai",12.2332777777778
24802412,350184.3298,0,0,2013-09-30,2012-09-25,2013-02-26,2012-09-13,1,2012,"2100","W91237","C211","541330","2100","Defense","Army",37,"[0 months,~2 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",28801.8398,28801.8398,28801.8398,2012-10-31,2012-10-31,NA,TRUE,321382.49,0,0,"[   3,3316]",11.1584014157318,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","PAMS","PAMS","Services","Services",NA,350184.3298,NA,4,1,1,NA,0,1,1,350184.3298,NA,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,3,321382.49,0,0,0,0,0,12.1583666957275,"Obligations at least half Orig+CRai",12.1583666957275
62236741,86870,0,1,2016-05-09,2015-02-04,2015-09-16,2015-02-04,1,2015,"1700","N00104","4320","333911","1700","Defense","Navy",282,"[~7 months-~1 year]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",5250,5250,5250,2015-11-12,2015-11-12,NA,TRUE,85120,0,0,"   1",16.2133333333333,"Ceiling Breach","[ 0.150,   Inf]","CAN","CAN","Any International","Ships & Submarines","Ships & Submarines","Other","Other","Products","Products",86870,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,85120,0,0,0,-3500,0,17.2131428571429,"Obligations at least half Orig+CRai",17.2131428571429
8341497,18221646.2694,1,0,2015-09-30,2009-04-23,2015-03-17,2009-04-23,1,2009,"2100","W912GB","Y163","541310","2100","Defense","Army",1348.04166666667,"(~2 years+]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",159159.7031,159159.7031,159159.7031,2012-12-30,2012-12-30,NA,TRUE,18314521.0063,1,157990.59,"[   3,3316]",115.070087777137,"Ceiling Breach","[ 0.150,   Inf]","DEU","DEU","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,18221646.2694,NA,2,1,1,NA,0,1,1,18221646.2694,NA,NA,"def_detail/Pur","2","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",9,18314521.0063,0,157990.59,0,-293936.65,0,116.070081494139,"Obligations at least half Orig+CRai",116.070081494139
19397145,6014.68,0,0,2012-02-17,2012-02-10,2012-02-15,2012-02-10,1,2012,"1700","N68171","J998","336611","1700","Defense","Navy",7,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",474.7,474.7,474.7,2012-02-16,2012-02-16,NA,TRUE,5539.98,0,0,"   1",11.6704866231304,"Ceiling Breach","[ 0.150,   Inf]","ITA","ITA","Any International","Ships & Submarines","Ships & Submarines","ERS","ERS","Services","Services",NA,6014.68,NA,25,1,1,NA,0,1,1,6014.68,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,5539.98,0,0,0,0,0,12.6683800294923,"Obligations at least half Orig+CRai",12.6683800294923
