fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	numberOfActions	ObligatedAmount
1990	Defense	NULL	M	Medium Vendor	Duns	NULL	NULL	0	0	1	0	1	1	NULL	NULL
1996	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	69	69	934	877467084.0000
1993	Defense	Other R&D and Knowledge Based	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	273	273	NULL	25840152.0000
1995	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	33	40	115	14944261.0000
1998	Defense	Space Systems	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	15	16	30	16629760.0000
1990	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	5	5	NULL	1363000.0000
1992	Defense	Land Vehicles	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	1	16	16	NULL	-349590.0000
2015	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	1	1	NULL	0.0000
2005	Defense	Land Vehicles	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	0	0.0000
2016	Defense	Facilities and Construction	S	Always Small Vendor	Duns	1	1	0	0	1	1	1	1	1	11317.7500
1999	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	95	95	163	9472609.0000
1996	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	131	131	195	16308133.0000
