contract_award_unique_key	NY Judgement	reasons																			
CONT_AWD_N0038323F0W80_9700_N0038320DW801_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038324F0TH1_9700_N0038322DTH01_9700	O	"description includes ""PBL"" and ""period performance"""																			
CONT_AWD_SD02_9700_FA861614D6060_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038321F0P61_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_0013_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_FA811019F0003_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_SD90_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_SPRHA123F0101_9700_SPRHA122D0001_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038318F0MC0_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0WP2_9700_N0038320DWP01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_0008_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0006_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0007_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0014_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0002_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0WP0_9700_N0038320DWP01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_0008_9700_N0038307D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038322F0W80_9700_N0038320DW801_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038318F0N91_9700_N0038318DN901_9700	O	"F414 PBL, same company"																			
CONT_AWD_SD1R_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_N0038320F0P62_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038325F0NE0_9700_N0038325DNE01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038318F0N90_9700_N0038318DN901_9700	O	"F414 PBL, same company"																			
CONT_AWD_0026_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0040_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0009_9700_N0038307D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0011_9700_N0038307D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038318F0MF0_9700_N0038316D001F_9700	O	ZBL code																			
CONT_AWD_SD99_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_0011_9700_N0038311D002M_9700	O	"F414 FS PBL awarded in July 2011 (4year), F414 DCS PBL awarded in january 2011 (3year) (https://www.dau.edu/sites/default/files/Migrated/CopDocuments/Component%20USN%20F414%20Engine.pdf)"																			
CONT_AWD_SD13_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_0019_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_SD1E_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_W58RGZ13C0049_9700_-NONE-_-NONE-	O	ZBL code																			
CONT_AWD_N0038319F0BG2_9700_N0038317DBG01_9700	O	"F414 PBL, same company"																			
CONT_AWD_0003_9700_N0038317DAM01_9700	O	"F414 PBL, same company"																			
CONT_AWD_FA811017F0002_9700_FA861614D6060_9700	O	description word 'performance based logistics'																			
CONT_AWD_W58RGZ17C0020_9700_-NONE-_-NONE-	O	PBL transaction description																			
CONT_AWD_SD82_9700_F3365799D0028_9700	O	PBL transaction description																			
CONT_AWD_0004_9700_N0038307D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0020_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0028_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0033_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0035_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0024_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0027_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0029_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0031_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0032_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0039_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_W31P4Q08C0120_9700_-NONE-_-NONE-	O	description word 'performance based logistics'																			
CONT_AWD_SD1T_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_0002_9700_N0038316D001F_9700	O	ZBL code																			
CONT_AWD_0001_9700_N0038316D001F_9700	O	ZBL code																			
CONT_AWD_0004_9700_W31P4Q09D0025_9700	O	PBL transaction description																			
CONT_AWD_0016_9700_FA851914D0001_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038323F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0006_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0US5_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0005_9700_N0038307D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0007_9700_N0038307D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038319F0MF0_9700_N0038316D001F_9700	O	ZBL code																			
CONT_AWD_N0038322F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038318F0P60_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_0005_9700_N0038311D002M_9700	O	"F414 FS PBL awarded in July 2011 (4year), F414 DCS PBL awarded in january 2011 (3year) (https://www.dau.edu/sites/default/files/Migrated/CopDocuments/Component%20USN%20F414%20Engine.pdf)"																			
CONT_AWD_0007_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0003_9700_W31P4Q09D0025_9700	O	PBL transaction description																			
CONT_AWD_N0038320F0MF0_9700_N0038316D001F_9700	O	ZBL code																			
CONT_AWD_0006_9700_N0038307D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0005_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0009_9700_N0038306D003F_9700	O	ZBL code																			
CONT_AWD_N0038320F0WB0_9700_N0038320DWB01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038323F0SS0_9700_N0038322DSS01_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_0013_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_SD07_9700_FA861614D6060_9700	O	description word 'performance based logistics'																			
CONT_AWD_0009_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0011_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0001_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0008_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0012_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0041_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038324F0SS1_9700_N0038322DSS01_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_SD06_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_N0038321F0PV0_9700_N0038318DPV01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_SD66_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_FA811019F0004_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_N0038322F0P61_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_0014_9700_N0038313D046G_9700	O	ZBL code																			
CONT_AWD_N0038320F0PV0_9700_N0038318DPV01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_FA811017F0004_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_SD15_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_FA811018F0004_9700_FA861614D6060_9700	O	description word 'performance based logistics'																			
CONT_AWD_0001_9700_N0038317DAM01_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0P61_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038322F0P60_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_0014_9700_N0038313D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_SD1Y_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_N0038318F0N92_9700_N0038318DN901_9700	O	"F414 PBL, same company"																			
CONT_AWD_0012_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0010_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0013_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_W58RGZ10C0028_9700_-NONE-_-NONE-	O	PBL transaction description																			
CONT_AWD_0002_9700_N0038316D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0007_9700_N0038308D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0009_9700_N0038308D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0MD0_9700_N0038317D002C_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_SD1W_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_N0038322F0WB0_9700_N0038320DWB01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_SD1P_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_W58RGZ13C0020_9700_-NONE-_-NONE-	O	PBL transaction description																			
CONT_AWD_0008_9700_N0038308D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038318F0MD0_9700_N0038317D002C_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038318F0MD1_9700_N0038317D002C_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038318F0MD3_9700_N0038317D002C_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0MD1_9700_N0038317D002C_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038319F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038319F0US1_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038320F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0001_9700_N0010414DZD00_9700	O	ZBL code																			
CONT_AWD_N0038323F0AP0_9700_N0038323DAP01_9700	O	GovTribe																			
CONT_AWD_0009_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0011_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0012_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0VX0_9700_N0038320DVX01_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038320F0US4_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038324F0VX0_9700_N0038320DVX01_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038324F0US0_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0015_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0014_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0WB0_9700_N0038320DWB01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038321F0VX0_9700_N0038320DVX01_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038322F0VX0_9700_N0038320DVX01_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0010418F0BA0_9700_N0010417DBA01_9700	O	"AEGIS SPY-1 Radar, GAO repoart"																			
CONT_AWD_N0038323F0VX0_9700_N0038320DVX01_9700	O	description word 'performance based logistics'																			
CONT_AWD_0015_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0016_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038323F0WB0_9700_N0038320DWB01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_0018_9700_N0010407DZD51_9700	O	PBL transaction description																			
CONT_AWD_N0038321F0PH0_9700_N0038318DPH01_9700	O	2020 PBL award (https://www.dvidshub.net/news/414674/navsup-wss-v-22-h-53-flir-pbl-team-earned-dod-award-2021)																			
CONT_AWD_0036_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0010_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_N0038324F0W90_9700_N0038320DW901_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038320F0US2_9700_N0038319DUS01_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0005_9700_N0010412DZD21_9700	O	"AEGIS SPY-1 Radar, GAO repoart"																			
CONT_AWD_0002_9700_N0010414DZD00_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_N0038322F0PH0_9700_N0038318DPH01_9700	O	2020 PBL award (https://www.dvidshub.net/news/414674/navsup-wss-v-22-h-53-flir-pbl-team-earned-dod-award-2021)																			
CONT_AWD_0013_9700_N0038312D003M_9700	O	ZBL code																			
CONT_AWD_0014_9700_N0038312D003M_9700	O	ZBL code																			
CONT_AWD_N0038320F0PH0_9700_N0038318DPH01_9700	O	2020 PBL award (https://www.dvidshub.net/news/414674/navsup-wss-v-22-h-53-flir-pbl-team-earned-dod-award-2021)																			
CONT_AWD_N0038319F0PH0_9700_N0038318DPH01_9700	O	2020 PBL award (https://www.dvidshub.net/news/414674/navsup-wss-v-22-h-53-flir-pbl-team-earned-dod-award-2021)																			
CONT_AWD_0010_9700_N0038312D003M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0011_9700_N0038312D003M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0003_9700_N0038313D051G_9700	O	ZBL code																			
CONT_AWD_N0038324F0AP0_9700_N0038323DAP01_9700	O	GovTribe																			
CONT_AWD_0002_9700_N0038312D003M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0001_9700_N0038312D003M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0009_9700_N0038310D001M_9700	O	PBL transaction description																			
CONT_AWD_0010_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0011_9700_N0038310D001M_9700	O	PBL transaction description																			
CONT_AWD_0012_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0004_9700_N0038313D051G_9700	O	ZBL code																			
CONT_AWD_0021_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0037_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0038_9700_N0038303D011M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_0012_9700_N0038311D002M_9700	O	"F414 FS PBL awarded in July 2011 (4year), F414 DCS PBL awarded in january 2011 (3year) (https://www.dau.edu/sites/default/files/Migrated/CopDocuments/Component%20USN%20F414%20Engine.pdf)"																			
CONT_AWD_0005_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0007_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0008_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0003_9700_N0038310D001M_9700	O	PBL transaction description																			
CONT_AWD_0018_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0019_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0020_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0001_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0002_9700_N0038310D001M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0022_9700_N0038304D014M_9700	O	PBL transaction description																			
CONT_AWD_0002_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0007_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0005_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0006_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0003_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0004_9700_N0038313D001M_9700	O	ZBL code																			
CONT_AWD_0001_9700_N0038310D027G_9700	O	ZBL code																			
CONT_AWD_0017_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0002_9700_N0001914D0028_9700	O	description word 'performance-based'																			
CONT_AWD_0002_9700_N0038311D002M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0014_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0015_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0016_9700_N0038304D014M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0009_9700_N0038312D003M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0002_9700_N0038310D027G_9700	O	ZBL code																			
CONT_AWD_0003_9700_N0038310D027G_9700	O	ZBL code																			
CONT_AWD_0001_9700_N0038315D004M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0002_9700_N0038315D004M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0003_9700_N0038315D004M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0004_9700_N0038315D004M_9700	O	description word 'performance based logistics'																			
CONT_AWD_0013_9700_N0038310D001M_9700	O	PBL transaction description																			
CONT_AWD_0006_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0010_9700_N0038315D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0005_9700_N0038305D007G_9700	O	ZBL code																			
