"","Filename","Geographic.area.name","X.","X1997.NAICS.code","Meaning.of.1997.NAICS.code","X..1","Meaning.of.Type.of.operation.or.tax.status.code","X..2","Year","Number.of.establishments","Value.of.sales..shipments..receipts..revenue..or.business.done...1.000.","Annual.payroll...1.000.","Paid.employees.for.pay.period.including.March.12..number.","X2002.NAICS.code","Meaning.of.2002.NAICS.code","Number.of.paid.employees.for.pay.period.including.March.12","Relative.standard.error.of.estimate.of.number.of.establishments....","Relative.standard.error.of.estimate.of.the.value.of.business.done","Relative.standard.error.of.estimate.of.total.payroll....","Relative.standard.error.of.estimate.of.total.number.of.employees....","X2007.NAICS.code","Meaning.of.2007.NAICS.code","Number.of.paid.employees.for.period.including.March.12"
"29","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","61","Educational services","","All establishments","","1997","40,936","20,439,028","6,364,527","321,073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","62","Health care and social assistance","","All establishments","","2002","709,133","1,210,941,596","497,380,439","15,143,561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","62","Health care and social assistance","","All establishments","","1997","645,853","885,054,001","378,205,694","13,561,579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","71","Arts, entertainment, and recreation","","All establishments","","2002","110,324","141,923,202","45,174,639","1,848,885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","71","Arts, entertainment, and recreation","","All establishments","","1997","99,099","104,715,028","32,787,273","1,587,660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","72","Accommodation and foodservices","","Total","","2002","565,590","449,498,718","127,554,483","10,120,951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","72","Accommodation and foodservices","","Total","","1997","545,068","350,399,194","97,007,396","9,451,226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","81","Other services (except public administration)","","All establishments","","2002","524,879","302,089,657","80,984,601","3,351,836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","81","Other services (except public administration)","","All establishments","","1997","519,715","265,897,685","65,520,112","3,256,178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","(002)","Data do not include large certificated passenger carriers that report to the Office of Airline Information, U.S. Department of Transportation. Railroad transportation and U.S. Postal Service are out of scope for the 2002 Economic Census.","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","UNIVERSE DESCRIPTION
The universe of this file is all operating establishments with one or more paid employees. This universe includes all establishments classified in the North American Industry Classification System (NAICS) Codes 211111 through 812999.
","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","DATA ITEMS
This file contains data on:

    •  Number of establishments
    •  Sales, receipts, revenue, shipments, or business done
    •  Payroll
    •  Employment
GEOGRAPHIC COVERAGE
The data are shown at the U.S. level and by State.
INDUSTRY DETAIL
The data are shown at the 2- and 3-digit NAICS code levels for all sectors, and by 2- through 8-digit NAICS code levels for selected sectors.
OTHER VARIABLES IDENTIFYING RECORDS
None.
RELEASE SCHEDULE
The data from the Core Business Statistics Comparative Statistics report are to be released in July 2006.
RELATED DATA FILES
Data supersede those released in the Industry, Geographic Area, and Summary Series reports.
CORRESPONDENCE TO PRINTED/PDF REPORTS
These data are exactly the same as are shown in the PDF-format Core Business Statistics Comparative Statistics Report EC02-00-CCOMP. This report is available on the Census Bureau's Internet site at www.census.gov.
DATA LIMITATIONS
There are no special limitations to these data.
FILE SEQUENCE
Data are presented in ascending State by NAICS Code sequence.

","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","","",NA,NA,"","","","","","","",NA,"","","","","","","",NA,NA,NA
"45","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","22,695","413,860,036","40,831,470",NA,"21","Mining ","738,675","N","N","N","N",NA,NA,NA
"46","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","24,087","182,911,093","21,173,895",NA,"21","Mining ","477,840","N","N","N","N",NA,NA,NA
"47","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","16,578","584,192,658","51,653,618",NA,"22","Utilities","637,247","N","N","N","N",NA,NA,NA
"48","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","17,103","398,907,044","42,417,830",NA,"22","Utilities","663,044","N","N","N","N",NA,NA,NA
"49","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","729,346","1,731,843,236","331,002,825",NA,"23","Construction","7,316,242","0","0","0","0",NA,NA,NA
"50","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","710,308","1,208,732,550","254,292,493",NA,"23","Construction","7,193,078","0","0","0","0",NA,NA,NA
"51","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","332,536","5,319,456,312","613,768,568",NA,"31-33","Manufacturing","13,395,670","N","N","N","N",NA,NA,NA
"52","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","350,828","3,916,136,712","576,170,541",NA,"31-33","Manufacturing","14,699,536","N","N","N","N",NA,NA,NA
"53","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Wholesale Trade","","2007","434,983","6,515,708,554","336,206,776",NA,"42","Wholesale trade","6,227,389","N","N","N","N",NA,NA,NA
"54","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Wholesale Trade","","2002","435,521","4,634,755,112","259,653,080",NA,"42","Wholesale trade","5,878,405","N","N","N","N",NA,NA,NA
"55","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","1,128,112","3,917,663,456","362,818,687",NA,"44-45","Retail trade","15,515,396","N","N","N","N",NA,NA,NA
"56","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","1,114,637","3,056,421,997","302,113,581",NA,"44-45","Retail trade","14,647,675","N","N","N","N",NA,NA,NA
"57","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","219,706","639,916,407","173,183,073",NA,"48-49 (102)","Transportation and warehousing (102)","4,454,383","N","N","N","N",NA,NA,NA
"58","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","199,618","382,152,040","115,988,733",NA,"48-49 (102)","Transportation and warehousing (102)","3,650,859","N","N","N","N",NA,NA,NA
"59","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","141,566","1,072,342,856","228,836,587",NA,"51","Information","3,496,773","N","N","N","N",NA,NA,NA
"60","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","137,678","891,845,956","194,670,163",NA,"51","Information","3,736,061","N","N","N","N",NA,NA,NA
"61","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","506,507","3,711,218,495","505,186,570",NA,"52","Finance and insurance","6,649,397","N","N","N","N",NA,NA,NA
"62","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","440,268","2,803,854,868","377,790,172",NA,"52","Finance and insurance","6,578,817","N","N","N","N",NA,NA,NA
"63","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","379,503","443,142,793","81,994,964",NA,"53","Real estate and rental and leasing","2,146,593","N","N","N","N",NA,NA,NA
"64","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","322,815","335,587,706","60,222,584",NA,"53","Real estate and rental and leasing","1,948,657","N","N","N","N",NA,NA,NA
"65","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2007","854,886","1,258,012,450","505,221,964",NA,"54","Professional, scientific, and technical services","7,908,226","N","N","N","N",NA,NA,NA
"66","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2002","771,305","886,801,038","376,090,052",NA,"54","Professional, scientific, and technical services","7,243,505","N","N","N","N",NA,NA,NA
"67","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","51,451","104,442,966","249,510,832",NA,"55","Management of companies and enterprises","2,664,203","N","N","N","N",NA,NA,NA
"68","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","49,308","107,064,264","178,996,060",NA,"55","Management of companies and enterprises","2,605,292","N","N","N","N",NA,NA,NA
"69","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","387,898","623,762,145","298,302,414",NA,"56","Administrative and support and waste management and remediation services","10,213,143","N","N","N","N",NA,NA,NA
"70","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","350,583","432,577,580","206,439,329",NA,"56","Administrative and support and waste management and remediation services","8,741,854","N","N","N","N",NA,NA,NA
"71","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2007","61,385","44,980,656","14,259,109",NA,"61","Educational services","539,951","N","N","N","N",NA,NA,NA
"72","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2002","49,319","30,690,707","10,164,378",NA,"61","Educational services","430,164","N","N","N","N",NA,NA,NA
"73","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2007","784,626","1,668,276,808","662,719,938",NA,"62","Health care and social assistance","16,792,074","N","N","N","N",NA,NA,NA
"74","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2002","704,526","1,207,299,734","495,845,829",NA,"62","Health care and social assistance","15,052,255","N","N","N","N",NA,NA,NA
"75","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2007","124,620","189,416,942","58,359,104",NA,"71","Arts, entertainment, and recreation","2,061,348","N","N","N","N",NA,NA,NA
"76","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2002","110,313","141,904,109","45,169,117",NA,"71","Arts, entertainment, and recreation","1,848,674","N","N","N","N",NA,NA,NA
"77","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2007","634,361","613,795,732","170,826,847",NA,"72","Accommodation and food services","11,600,751","N","N","N","N",NA,NA,NA
"78","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","Total","","2002","565,590","449,498,718","127,554,483",NA,"72","Accommodation and food services","10,120,951","N","N","N","N",NA,NA,NA
"79","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2007","540,147","405,283,270","99,123,041",NA,"81","Other services (except public administration)","3,478,996","N","N","N","N",NA,NA,NA
"80","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","United States","",NA,NA,"","All establishments","","2002","537,576","307,049,461","82,954,939",NA,"81","Other services (except public administration)","3,475,310","N","N","N","N",NA,NA,NA
"81","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","N","Not available or not comparable",NA,NA,"","","","","","","",NA,"","","","","","","",NA,NA,NA
"82","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2007 and 2002).xls","(102)","Railroad transportation and U.S. Postal Service are out of scope for the 2007 Economic Census. Large certificated air passenger carriers are included in the 2007 data, not included in the 2002 data, affecting comparability for this industry.",NA,NA,"","","","","","","",NA,"","","","","","","",NA,NA,NA
