fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
2006	GSA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	18	19	143	374747.2302
2007	VA	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	132	150	1460	2750355.6813
2001	GSA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	10	10	190	20843662.0000
2005	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	12	12	1	12775.0000
2014	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	37	37	138	519169.3900
2007	Energy	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	12	13	91	13279807.5570
2008	Defense	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	19	29	1162	189458343.4186
2004	DHS	N	Sometimes Small Vendor	Name	NULL	NULL	0	0	0	0	1	1	6	0.0000
2011	HHS	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	1	0	0.0000
2006	Defense	L	Large Vendor	PID	1	0	1	1	1	1	108	108	108603	16887016647.6147
2005	Other Agencies	U	Unlabeled Vendor	Name	NULL	NULL	0	0	1	1	1	1	1	-1200.0000
2012	GSA	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	4	4	18	89703.4132
2016	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	103	103	1078	8154561.2204
2009	HHS	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	328	328	1275	10433857.0656
2002	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	2028	2028	15456	3117506389.8928
2002	Energy	L	Large Vendor	PID	1	1	0	1	1	1	1	1	1	60000.0000
2004	GSA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	7	7	23	99765.9203
2014	DHS	S	Always Small Vendor	PID	1	0	1	1	1	1	23	23	217	80016181.6251
2018	HHS	S	Always Small Vendor	Duns	1	0	0	0	1	0	2	2	2	17117.5498
2018	NASA	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	707	707	2098	123985277.7578
2006	DHS	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	91	98	219	8331612.6291
2017	NASA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	68	83	182	4245900.4905
2014	Energy	S	Always Small Vendor	Duns	1	0	0	0	1	0	1	1	1	18000.0000
2019	GSA	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	2	2	NULL	0.0000
2000	State and IAP	M	Medium Vendor	PID	1	0	0	0	1	0	13	13	16	53000.0000
2013	GSA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	223	223	1301	42138445.2117
2019	DHS	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	680	680	6496	1545130882.6947
2018	GSA	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	7	7	27	938780.5317
2005	DHS	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	3	3	10	18973.8500
2020	NASA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	8	8	10	49913.3477
2009	NASA	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	4	4	10	70581.3308
2006	HHS	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	25	26	103	21527644.5079
2012	State and IAP	S	Always Small Vendor	PID	1	0	1	1	1	1	4	4	19	3135347.3126
2014	HHS	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	0.0000
2015	Defense	L	Large Vendor	PID	1	1	0	1	1	1	2	2	10	-52387.3301
2016	HHS	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	0	0.0000
2019	State and IAP	M	Medium Vendor	Duns	1	1	0	0	1	0	27	27	34	137006.4793
2001	State and IAP	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	13	13	120	18673163.4258
2011	Other Agencies	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	335	335	0	14379812.9684
2015	State and IAP	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	41	49	176	3722186.1993
2018	HHS	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	69	78	676	256894070.0537
2001	GSA	M	Medium Vendor	PID	1	0	0	0	1	1	4	4	4	-826675.0000
2008	VA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	386	386	1662	3310612.8020
2006	Other Agencies	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	534	534	269	28860235.3855
2018	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	67	67	86	188557.5907
2019	NASA	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	1	1	1	2701.2000
1996	Defense	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	1	24	24	214	13518890.0000
2006	DHS	N	Sometimes Small Vendor	Name	NULL	NULL	0	0	0	0	1	1	2	-187.1600
2009	HHS	L	Large Vendor	PID	1	1	1	1	1	1	79	79	6690	4645044472.1643
2013	Other Agencies	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	115	115	483	10720834.9724
2014	GSA	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	10	10	28	249770.4400
2018	Other Agencies	L	Large Vendor	PID	1	0	0	0	1	1	1	1	19	94369.7891
2013	Defense	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	327	359	1070	8371783.5616
2010	State and IAP	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	11	11	33	1331487.5189
2019	HHS	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	1418	1418	8104	3120545903.0076
2014	VA	S	Always Small Vendor	PID	1	0	0	1	1	1	8	8	32	1073826.5363
1995	Defense	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	132	132	2786	887533772.0000
2015	State and IAP	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	96	96	168	607138.8903
2008	Defense	M	Medium Vendor	PID	1	0	0	0	0	1	1	1	1	1499990.0000
2009	State and IAP	S	Always Small Vendor	PID	1	0	1	1	1	1	11	11	35	7440580.8974
2013	VA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	10	12	23	182158.0300
2002	VA	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	5	6	0	0.0000
2002	State and IAP	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	5	5	5	369000.0000
2005	HHS	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	19	22	44	375843.9277
2006	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	2976	2976	5575	1531667.5023
2013	State and IAP	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	12	12	0	3.0000
2019	Other Agencies	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	3	3	NULL	0.0000
2005	HHS	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	140	328	5173	181586609.3611
2007	Other Agencies	S	Always Small Vendor	PID	1	0	1	1	1	1	94	94	19748	537876563.8511
2016	Other Agencies	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	361	361	0	-1048.8801
2020	NASA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	24	24	60	2123323.4082
2005	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	3	3	46	8218.5200
2001	GSA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	1	1	3	3000.0000
2015	Defense	L	Large Vendor	PID	1	0	1	1	1	1	99	99	475679	20860663946.7557
2003	State and IAP	S	Always Small Vendor	PID	1	1	1	1	1	1	4	4	60	83576718.8262
2011	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	22	22	0	0.0000
2020	DHS	M	Medium Vendor	Duns	1	0	0	0	1	0	3	3	3	15720.6299
2012	Defense	U	Unlabeled Vendor	Name	1	1	1	1	1	1	2	1	5	4209114.8604
2018	Energy	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	3	4	4	31920.3896
2004	NASA	U	Unlabeled Vendor	Name	1	0	1	1	1	1	1	1	1	6713.0000
2014	State and IAP	M	Medium Vendor	Duns	1	0	0	0	1	0	1	1	1	6000.0000
2010	DHS	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	192	192	7998	1726527354.8290
2015	VA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	9	9	0	0.0000
2001	GSA	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	8	8	0	0.0000
2001	HHS	M	Medium Vendor	PID	1	0	0	1	1	1	11	11	16	1240000.0000
2018	Other Agencies	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	234	234	832	27534463.5942
2019	Other Agencies	U	Unlabeled Vendor	Duns	1	1	1	1	1	1	1	1	437	6624441.0124
2001	Other Agencies	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	36	36	50	1077401.0000
2003	State and IAP	N	Sometimes Small Vendor	Name	1	1	0	0	1	1	1	1	5	18345.0000
2014	State and IAP	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	51	62	281	5702568.8803
2014	Defense	M	Medium Vendor	Duns	1	0	0	1	1	1	4	4	20	12545.2000
2009	Defense	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	802	1560	20085	317674752.7065
2020	State and IAP	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	7	7	10	11545.0200
2000	GSA	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	24	24	29	156550.0000
2007	GSA	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	21	21	307	238242.8588
2018	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	2488	2488	7522	4087397.3600
2014	DHS	U	Unlabeled Vendor	Name	1	0	0	0	1	1	1	1	1	-19443.8500
2009	NASA	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	8	8	11	133248.4805
2004	NASA	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	32	32	145	2304313.7300
2003	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	99	106	692	47075352.7143
2012	VA	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	6	0	0.0000
2004	HHS	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	1	2	2	13608.0000
1997	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	82	82	222	16085573.0000
2016	State and IAP	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	18	18	29	443973.7738
2017	DHS	S	Always Small Vendor	PDuns-2+	1	1	0	1	1	1	7	9	43	127943.9691
2015	Other Agencies	M	Medium Vendor	PID	1	1	0	0	1	1	1	1	6	21616.2898
2014	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	31	30	0	0.0000
2008	Energy	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	2	2	0	31000.0000
2014	GSA	B	Big Five	PID	1	1	1	1	1	1	5	5	547	648710496.0348
2009	Other Agencies	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	1	1	0	203221.2969
2017	HHS	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	4	4	0	11956.0000
2004	HHS	L	Large Vendor	PID	1	0	0	1	1	1	1	1	17	100635.1300
2020	Defense	M	Medium Vendor	PID	1	1	0	1	1	1	10	10	11227	40927649.6154
2011	State and IAP	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	1	1	0	0.0000
2001	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	460	460	1006	12103786.6892
2005	State and IAP	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	5	5	7	83778.9307
2010	Defense	L	Large Vendor	PID	1	1	1	1	1	1	155	155	308965	99974335913.8578
2011	Defense	L	Large Vendor	PID	1	0	0	0	1	1	1	1	2	3723.3701
2013	DHS	S	Always Small Vendor	Duns	1	0	0	0	1	0	2	2	2	-3290.0000
2017	Energy	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	10	11	25	-3032534.9809
2010	NASA	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	15	15	21	1385033.3995
2010	DHS	M	Medium Vendor	PID	1	1	0	0	1	1	1	1	2	-216000.0000
2014	Defense	N	Sometimes Small Vendor	Duns	1	1	0	0	1	0	1	1	3	13515.0000
2017	Defense	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	37	39	114	284267.4802
2013	Energy	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	6	6	8	9828.9200
2015	VA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	221	221	0	12710.0000
2008	GSA	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	0	80	80	856	757488.4617
2014	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	6	6	8	158667.0300
2017	Defense	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	86	86	493	2337592.2393
