"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","ContractBaseAndAllOptionsValue","n_CBre","p_ChangeOrderCeilingGrowth","qGrowth","Why_Outlier"
8496534,12580229.976,0,0,2014-09-30,2011-03-24,2014-03-07,2011-03-25,1,2011,"2100","W912UM","Y119","237990","2100","Defense","Army",1287,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",10780475,10155207680,10155207680,2014-09-30,2014-09-30,NA,TRUE,944281473,11,751412036,"[   3,3316]",0.0929849494717571,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,12580229.976,NA,16,1,1,NA,0,1,1,12580229.976,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,18,954162008,-9880535,751412036,0,0,0,11850901189,954162009,1.0939579019028,"[-1.88, 1.00)","Korean Office W912UM"
10091301,1273034925.7969,0,0,2011-10-26,2010-06-22,2011-05-24,2010-06-22,1,2010,"5700","FA8614","1510","336411","5700","Defense","Air Force",380,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",734400000,1528454016,1528454016,2011-07-06,2011-07-06,NA,TRUE,254938160,6,-346478.2031,"   1",0.166794785666617,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Aircraft","Aircraft","Aircraft","Aircraft","Products","Products",1273034925.7969,NA,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,254938160,0,-785858.2031,0,0,0,1782606317.7969,254152302.7969,1.16679478501236,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
8496479,31043810.543,0,0,2013-10-31,2010-03-07,2014-02-20,2010-03-08,1,2010,"2100","W912UM","Y199","237990","2100","Defense","Army",782.958333333333,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",26390040,30401325056,30401325056,2012-04-27,2012-04-27,NA,TRUE,2785522352,18,2606619008,"[   3,3316]",0.0916250310428574,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,31043810.543,NA,11,1,1,NA,0,1,1,31043810.543,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,38,2803860352,-18338000,2606619008,0,0,0,35793466416,2803860353,1.09222822840239,"[-1.88, 1.00)","Korean Office W912UM"
20431398,582132754,0,0,2013-06-30,2012-05-25,2013-06-04,2012-05-25,1,2012,"97AS","SP0600","9130","324110","97AS","Defense","DLA",251.041666666667,"[~7 months-~1 year]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",284378688,284378688,284378688,2013-01-30,2013-01-30,NA,TRUE,273010500,5,24743566,"   1",0.960024472719981,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other Products","Other Products","Fuels","Fuels","Products","Products",582132754,NA,NA,10,1,1,NA,0,1,1,582132754,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","Other Fee",0,0,"Not UCA",1,273010500,0,24743566,0,0,0,582132754,273010501,1.96002446920354,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
8496620,8874565.16,0,0,2014-09-30,2012-07-26,2014-03-10,2012-07-25,1,2012,"2100","W912UM","Y1NZ","236220","2100","Defense","Army",797,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",7385209.5,8.8e+09,8.8e+09,2014-09-30,2014-09-30,NA,TRUE,1083639513,14,691033179,"   2",0.12314085375,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,8874565.16,NA,2,1,1,NA,0,1,1,8874565.16,NA,NA,"def_detail/Pur","2","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,2,1083639513,0,691033179,0,0,0,10574672692,1083639514,1.12314085363636,"[-1.88, 1.00)","Korean Office W912UM"
8496533,6230262.825,0,0,2011-11-23,2011-01-27,2011-11-21,2011-01-28,1,2011,"2100","W912UM","Z149","237990","2100","Defense","Army",705,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",4632812.5,5336999936,5336999936,2012-12-31,2012-12-31,NA,TRUE,1840262794,0,0,"[   3,3316]",0.344812219611764,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,6230262.825,NA,3,1,1,NA,0,1,1,6230262.825,NA,NA,"def_detail/Pur","3-4","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,5,1840262794,0,0,0,0,0,7177262730,1840262795,1.34481221942439,"[-1.88, 1.00)","Korean Office W912UM"
8496496,4758171.7988,0,0,2012-12-31,2010-06-21,2012-01-26,2010-06-22,1,2010,"2100","W912UM","Z199","237990","2100","Defense","Army",559.041666666667,"(~1 year,~2 years]","[1.0e+06,3.0e+07)","[1.0e+06,1.0e+07)",4608374.5,4608374.5,4608374.5,2011-12-31,2011-12-31,NA,TRUE,5357827980,4,118977664,"[   3,3316]",1162.62859713333,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,4758171.7988,NA,9,1,1,NA,0,1,1,4758171.7988,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,5,5364187370,-6359390,118977664,0,0,0,5481414018.5,5364187371,1165.00856071919,"[10.00,  Inf]","Korean Office W912UM"
24559436,1161156322.4216,0,0,2015-11-29,2008-01-11,2013-10-21,2008-01-11,1,2008,"2100","W56HZV","2350","336992","2100","Defense","Army",19343,"(~2 years+]","[1.0e+06,3.0e+07)","[1.0e+07,7.5e+07)",12440172,12440172,12440172,2060-12-25,2060-12-25,NA,TRUE,761194977.0938,69,331660954.8278,"[   3,3316]",61.188460826249,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Land Vehicles","Land Vehicles","Ground Vehicles","Ground Vehicles","Products","Products",1161156322.4216,NA,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",15,769789464.0938,-8594487,343761478.8278,4284106.5,0,39475588,1161156322.4216,769789465.0938,62.8793263544748,"[10.00,  Inf]","Obligations at least half Orig+CRai"
24604427,1014568626.2075,0,0,2013-12-15,2009-05-29,2015-12-17,2009-05-29,1,2009,"2100","W9113M","AC23","541710","2100","Defense","Army",87,"[~2 months,~7 months)","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",59203980,98041136,764466624,2009-08-23,2010-08-23,NA,TRUE,331327008,4,150809012,"[   3,3316]",0.433409383219849,"Ceiling Breach","[ 0.150,   Inf]","AFG","AFG","Any International","Missile Defense","Missile Defense","R&D","R&D","R&D","R&D",NA,NA,1014568626.2075,3,0,1,0,0,0,1,1014568626.2075,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Combination or Other","Fixed Fee",NA,NA,NA,5,331327008,0,70607614.005,0,0,0,1166401246.005,331327009,1.43340938191175,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
24893030,4440480.2557,0,0,2011-12-31,2008-09-30,2011-03-14,2008-09-30,1,2008,"2100","W912UM","Z199","237990","2100","Defense","Army",367,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",3364036.25,3450482176,3450482176,2009-10-01,2009-10-01,NA,TRUE,425006592,4,679098910,"[   3,3316]",0.123173101706235,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,4440480.2557,NA,3,0,1,0,0,0,1,4440480.2557,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,18,425681592,-675000,679098910,0,0,0,4554587678,425681593,1.12336872624958,"[-1.88, 1.00)","Korean Office W912UM"
24893613,360951.765,0,0,2013-09-30,2012-09-15,2012-09-29,2012-09-17,1,2012,"2100","W912UM","Z1AA","237990","2100","Defense","Army",381,"(~1 year,~2 years]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",348.39,383061,383061,2013-09-30,2013-09-30,NA,TRUE,396490016,0,0,"   1",1035.05712145063,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,360951.765,NA,13,1,1,NA,0,1,1,360951.765,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,396490016,0,0,0,0,0,396873077,396490017,1036.05711884008,"[10.00,  Inf]","Korean Office W912UM"
24563041,1028769674.6251,0,0,2012-08-31,2009-11-10,2012-08-02,2009-11-10,1,2010,"2100","W56HZV","2355","336992","2100","Defense","Army",171.958333333333,"[~2 months,~7 months)","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",438440000,438440000,438440000,2010-04-30,2010-04-30,NA,TRUE,447266825.9688,17,158806751.6563,"[   3,3316]",1.02013234643007,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Land Vehicles","Land Vehicles","Ground Vehicles","Ground Vehicles","Products","Products",1028769674.6251,NA,NA,5,0,1,0,0,0,1,1028769674.6251,0,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,12,447266825.9688,0,158806751.6563,-15743903,0,0,1028769674.6251,447266826.9688,2.02013234414926,"[ 1.00,10.00)","Obligations at least half Orig+CRai"
24892979,2777880.1905,0,0,2010-06-02,2008-09-30,2009-11-19,2008-09-30,1,2008,"2100","W912UM","Z149","237990","2100","Defense","Army",388,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",2144907,2200024832,2200024832,2009-10-22,2009-10-22,NA,TRUE,291130923.7305,4,358109892,"[   3,3316]",0.132330744406116,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,2777880.1905,NA,5,1,1,NA,0,1,1,2777880.1905,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,7,291130923.7305,0,358109892,0,0,0,2849265647.7305,291130924.7305,1.13233074395158,"[-1.88, 1.00)","Korean Office W912UM"
18630531,729645012.0142,0,0,2009-09-30,2008-03-14,2010-09-30,2008-03-14,1,2008,"1700","M67854","2350","336992","1700","Defense","Navy",260.041666666667,"[~7 months-~1 year]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",481835008,481835008,481835008,2008-11-28,2008-11-28,NA,TRUE,267136203.3711,0,0,"[   3,3316]",0.554414268236608,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Land Vehicles","Land Vehicles","Ground Vehicles","Ground Vehicles","Products","Products",729645012.0142,NA,NA,10,1,1,NA,0,1,1,729645012.0142,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",14,318713649.8594,-51577446.4883,-155658.2344,-19170549.2514,0,0,729645003.8853,299387443.3736,1.66145805839704,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
24892236,10365479.6842,0,0,2010-12-26,2008-04-29,2009-12-14,2008-04-30,1,2008,"2100","W912UM","Z199","237990","2100","Defense","Army",607.041666666667,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",9960030,11722955776,11722955776,2009-12-26,2009-12-26,NA,TRUE,279549418,2,197664856,"[   3,3316]",0.0238463253928085,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,10365479.6842,NA,1,0,0,1,0,0,0,NA,1,1,"IDV","1","No Comp.","No Comp.","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,9,279549418,0,197664856,0,0,0,12200170050,279549419,1.02384632530751,"[-1.88, 1.00)","Korean Office W912UM"
24893620,483321.9135,0,0,2013-09-30,2012-09-20,2013-07-01,2012-09-20,1,2012,"2100","W912UM","Z1AA","237990","2100","Defense","Army",376,"(~1 year,~2 years]","[1.0e+05,1.0e+06)","[1.0e+05,1.0e+06)",348.39,383061,383061,2013-09-30,2013-09-30,NA,TRUE,508175456,1,22862760,"   1",1326.61757787924,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,483321.9135,NA,13,1,1,NA,0,1,1,483321.9135,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,508175456,0,22862760,0,0,0,531421277,508175457,1327.61757526869,"[10.00,  Inf]","Korean Office W912UM"
8496542,39553289.8952,0,0,2014-09-30,2011-07-26,2013-06-20,2011-07-27,1,2011,"2100","W912UM","Y169","236115","2100","Defense","Army",1163,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",37718668,37657382912,37657382912,2014-09-30,2014-09-30,NA,TRUE,503008522,33,1192559298,"   1",0.0133575007900963,"Ceiling Breach","[ 0.001, 0.150)","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,39553289.8952,NA,13,1,1,NA,0,1,1,39553289.8952,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,503008522,0,1192559298,0,0,0,39352950732,503008523,1.01335750076354,"[-1.88, 1.00)","Korean Office W912UM"
10090818,936007.7629,0,0,2011-06-29,2010-03-19,2010-09-28,2010-03-19,1,2010,"5700","FA8770","D302","541512","5700","Defense","Air Force",103,"[~2 months,~7 months)","[1.0e+06,3.0e+07)","[1.0e+06,1.0e+07)",446984.7188,446984.7188,8349450,2010-06-29,2014-12-29,NA,TRUE,289097216,2,2890972,"   1",34.6247017468216,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Electronics, Comms, & Sensors","Electronics, Comms, & Sensors","ICT","ICT","Services","Services",NA,936007.7629,NA,4,1,1,NA,0,1,1,936007.7629,NA,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,289097216,0,2890972,0,0,0,300337638,289097217,35.6247016270533,"[10.00,  Inf]",">=$250M, Inspect"
